37, Private, HS-grad, Divorced, Adm-clerical, Wife, Amer-Indian-Eskimo, Female,0,0,40, Philippines, <=50K
36, Self-emp-not-inc, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, Yugoslavia, <=50K
38, Private, Assoc-voc, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,50, Philippines, >50K
55, Self-emp-not-inc, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, United-States, >50K
22, Private, Assoc-voc, Never-married, Other-service, Own-child, White, Female,0,0,40, United-States, <=50K
47, Private, Some-college, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,45, United-States, >50K
31, State-gov, HS-grad, Married-civ-spouse, Exec-managerial, Husband, White, Male,5062,0,40, Peru, >50K
50, Self-emp-not-inc, 10th, Never-married, Sales, Not-in-family, White, Female,0,0,40, United-States, <=50K
36, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,8611,0,40, United-States, >50K
51, Private, Masters, Married-civ-spouse, Tech-support, Husband, White, Male,0,0,40, United-States, >50K
23, Private, Some-college, Never-married, Craft-repair, Own-child, White, Female,0,0,30, United-States, <=50K
29, Private, 10th, Never-married, Adm-clerical, Own-child, White, Female,0,0,36, United-States, <=50K
58, Self-emp-not-inc, HS-grad, Married-civ-spouse, Tech-support, Husband, White, Male,3329,0,15, El-Salvador, <=50K
51, Private, HS-grad, Divorced, Craft-repair, Husband, White, Male,0,0,54, Yugoslavia, >50K
27, Private, Bachelors, Never-married, Prof-specialty, Not-in-family, Black, Female,0,0,40, United-States, >50K
32, Private, Masters, Never-married, Prof-specialty, Not-in-family, Asian-Pac-Islander, Female,0,0,45, United-States, <=50K
18, Private, Some-college, Never-married, Other-service, Own-child, White, Female,0,0,16, United-States, <=50K
47, Self-emp-inc, Masters, Married-civ-spouse, Transport-moving, Husband, White, Male,15024,0,54, United-States, >50K
54, Private, Assoc-acdm, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, United-States, <=50K
28, Federal-gov, Some-college, Never-married, Adm-clerical, Wife, White, Female,0,0,40, United-States, <=50K
53, Self-emp-inc, 7th-8th, Never-married, Craft-repair, Husband, White, Male,0,0,50, United-States, <=50K
47, Private, HS-grad, Married-civ-spouse, Sales, Husband, White, Male,7298,0,40, United-States, >50K
48, Private, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Male,7389,0,60, United-States, >50K
25, Private, Some-college, Never-married, Adm-clerical, Unmarried, Black, Female,0,0,20, United-States, <=50K
44, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, <=50K
58, Local-gov, 11th, Divorced, Adm-clerical, Unmarried, Black, Female,0,0,40, Iran, <=50K
44, Private, Bachelors, Married-civ-spouse, Craft-repair, Husband, White, Male,7687,0,45, United-States, >50K
41, Private, HS-grad, Divorced, Adm-clerical, Unmarried, White, Female,0,0,40, Portugal, <=50K
22, Private, Bachelors, Never-married, Exec-managerial, Own-child, White, Male,0,0,40, United-States, <=50K
60, Self-emp-not-inc, Masters, Married-civ-spouse, Tech-support, Husband, White, Male,7373,0,60, Mexico, <=50K
17, Private, 10th, Never-married, Sales, Own-child, Black, Female,0,0,10, United-States, <=50K
51, Private, 7th-8th, Married-civ-spouse, Craft-repair, Not-in-family, White, Male,0,0,48, United-States, >50K
33, Private, Assoc-voc, Married-civ-spouse, Transport-moving, Husband, Other, Male,0,0,40, El-Salvador, <=50K
36, Private, Some-college, Married-spouse-absent, Craft-repair, Own-child, White, Male,0,0,40, Laos, <=50K
45, Private, HS-grad, Divorced, Adm-clerical, Not-in-family, Black, Female,0,0,8, United-States, <=50K
45, Local-gov, Bachelors, Married-civ-spouse, Exec-managerial, Wife, White, Female,0,1977,35, United-States, >50K
27, Private, Bachelors, Divorced, Machine-op-inspct, Not-in-family, Black, Female,0,0,35, United-States, <=50K
52, Self-emp-not-inc, Assoc-acdm, Married-civ-spouse, Sales, Husband, White, Male,0,0,60, United-States, >50K
46, Private, HS-grad, Divorced, Sales, Not-in-family, White, Female,0,0,40, Ireland, <=50K
45, Private, HS-grad, Married-civ-spouse, Craft-repair, Not-in-family, Black, Male,5388,0,40, England, <=50K
53, Private, Some-college, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, United-States, >50K
34, Private, Masters, Divorced, Exec-managerial, Not-in-family, White, Male,0,0,36, United-States, <=50K
38, Local-gov, HS-grad, Divorced, Tech-support, Unmarried, Black, Male,0,0,40, United-States, <=50K
39, State-gov, HS-grad, Divorced, Exec-managerial, Not-in-family, White, Male,0,0,40, United-States, <=50K
50, Private, HS-grad, Married-civ-spouse, Prof-specialty, Husband, Asian-Pac-Islander, Male,0,0,40, United-States, >50K
52, Private, HS-grad, Divorced, Prof-specialty, Unmarried, Black, Female,0,0,40, France, <=50K
29, Self-emp-not-inc, Bachelors, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,54, United-States, >50K
34, Private, HS-grad, Married-civ-spouse, Farming-fishing, Own-child, White, Male,0,0,40, United-States, <=50K
39, Private, HS-grad, Never-married, Craft-repair, Not-in-family, White, Male,0,1693,35, United-States, <=50K
35, Private, Masters, Never-married, Adm-clerical, Not-in-family, White, Female,0,0,40, United-States, <=50K
34, Private, HS-grad, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,54, United-States, >50K
33, Private, Bachelors, Never-married, Sales, Not-in-family, White, Female,0,0,45, United-States, >50K
33, Local-gov, Assoc-voc, Divorced, Machine-op-inspct, Unmarried, White, Male,2626,0,40, Haiti, <=50K
27, Local-gov, 9th, Married-civ-spouse, Sales, Husband, White, Male,0,0,45, United-States, <=50K
26, Self-emp-not-inc, HS-grad, Married-civ-spouse, Handlers-cleaners, Wife, White, Male,0,0,40, United-States, >50K
34, Private, Some-college, Married-civ-spouse, Sales, Husband, Black, Male,0,0,40, United-States, <=50K
50, Self-emp-not-inc, HS-grad, Married-civ-spouse, Exec-managerial, Husband, Amer-Indian-Eskimo, Male,0,0,15, United-States, <=50K
44, Self-emp-not-inc, Some-college, Married-spouse-absent, Transport-moving, Not-in-family, White, Female,0,0,60, United-States, >50K
27, Private, HS-grad, Never-married, Sales, Not-in-family, White, Male,4907,0,40, United-States, <=50K
28, State-gov, Prof-school, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,42, United-States, <=50K
44, Private, HS-grad, Widowed, Adm-clerical, Unmarried, White, Female,0,0,40, United-States, <=50K
24, Self-emp-not-inc, HS-grad, Never-married, Adm-clerical, Own-child, White, Male,0,0,40, United-States, <=50K
31, State-gov, HS-grad, Never-married, Prof-specialty, Husband, White, Male,4330,0,45, United-States, <=50K
34, Private, Bachelors, Married-civ-spouse, Farming-fishing, Husband, White, Male,7892,0,40, Scotland, >50K
20, Private, HS-grad, Never-married, Sales, Own-child, White, Male,0,0,40, United-States, <=50K
24, Private, Some-college, Divorced, Machine-op-inspct, Own-child, White, Female,0,0,15, United-States, <=50K
25, Private, HS-grad, Never-married, Machine-op-inspct, Own-child, White, Male,0,0,40, United-States, <=50K
41, Private, HS-grad, Widowed, Craft-repair, Unmarried, White, Male,0,0,40, United-States, <=50K
45, Private, HS-grad, Married-civ-spouse, Sales, Husband, White, Male,0,0,45, United-States, >50K
32, Self-emp-not-inc, HS-grad, Never-married, Prof-specialty, Unmarried, White, Male,0,0,43, United-States, <=50K
19, Private, Some-college, Never-married, Sales, Own-child, Other, Male,0,0,20, United-States, <=50K
23, Private, 12th, Never-married, Other-service, Not-in-family, Other, Male,0,1740,54, United-States, <=50K
31, Private, HS-grad, Never-married, Sales, Own-child, Black, Male,0,0,50, England, <=50K
44, Self-emp-not-inc, HS-grad, Divorced, Machine-op-inspct, Not-in-family, White, Female,0,0,50, United-States, <=50K
53, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,35, United-States, <=50K
34, State-gov, HS-grad, Married-civ-spouse, Sales, Husband, Black, Male,0,0,60, United-States, >50K
18, Private, Some-college, Never-married, Handlers-cleaners, Own-child, White, Female,0,0,20, United-States, <=50K
21, Local-gov, 12th, Never-married, Machine-op-inspct, Unmarried, White, Male,0,0,40, United-States, <=50K
43, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, Asian-Pac-Islander, Male,0,0,40, Poland, >50K
24, State-gov, HS-grad, Never-married, Craft-repair, Own-child, White, Male,0,0,40, United-States, <=50K
62, Private, 10th, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,10, United-States, <=50K
31, Local-gov, Masters, Divorced, Tech-support, Not-in-family, White, Female,0,0,40, United-States, >50K
45, Private, HS-grad, Divorced, Other-service, Unmarried, Black, Female,0,0,40, United-States, <=50K
26, Self-emp-not-inc, Masters, Never-married, Other-service, Not-in-family, Black, Female,0,0,45, United-States, <=50K
29, Private, Bachelors, Never-married, Transport-moving, Not-in-family, White, Male,0,0,43, United-States, <=50K
46, Private, HS-grad, Divorced, Other-service, Unmarried, White, Female,0,0,40, Ireland, <=50K
21, Private, HS-grad, Never-married, Handlers-cleaners, Own-child, White, Male,0,0,40, United-States, <=50K
38, Private, Some-college, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, United-States, <=50K
67, Private, Doctorate, Divorced, Exec-managerial, Husband, White, Male,0,2415,75, United-States, >50K
35, Local-gov, 10th, Divorced, Craft-repair, Unmarried, White, Female,0,0,40, United-States, <=50K
33, Federal-gov, Bachelors, Married-civ-spouse, Craft-repair, Husband, Asian-Pac-Islander, Male,0,0,40, United-States, >50K
51, Private, Some-college, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,1902,60, United-States, <=50K
27, Private, Assoc-voc, Never-married, Prof-specialty, Own-child, White, Male,0,0,45, Mexico, <=50K
31, State-gov, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, >50K
53, Self-emp-not-inc, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,60, United-States, >50K
31, Private, Some-college, Divorced, Craft-repair, Unmarried, White, Female,0,0,40, United-States, <=50K
46, Self-emp-not-inc, HS-grad, Married-civ-spouse, Sales, Husband, White, Male,7670,0,45, Nicaragua, >50K
45, Private, HS-grad, Married-civ-spouse, Sales, Not-in-family, White, Male,0,0,40, United-States, <=50K
47, Self-emp-inc, HS-grad, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,40, United-States, <=50K
27, Self-emp-not-inc, Bachelors, Married-civ-spouse, Exec-managerial, Wife, Asian-Pac-Islander, Female,14371,0,45, United-States, >50K
52, Private, HS-grad, Married-civ-spouse, Sales, Husband, White, Female,0,0,40, United-States, <=50K
26, Self-emp-not-inc, HS-grad, Never-married, Farming-fishing, Not-in-family, Asian-Pac-Islander, Female,0,2001,50, United-States, <=50K
66, State-gov, Some-college, Married-civ-spouse, Sales, Not-in-family, White, Male,0,0,30, United-States, <=50K
47, Private, HS-grad, Divorced, Machine-op-inspct, Not-in-family, White, Male,0,0,40, United-States, <=50K
19, Private, Some-college, Never-married, Sales, Own-child, White, Female,0,0,20, United-States, <=50K
38, Private, 9th, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, Jamaica, <=50K
60, Private, Some-college, Married-civ-spouse, Craft-repair, Husband, White, Male,7687,0,40, United-States, >50K
35, Private, Assoc-voc, Married-civ-spouse, Farming-fishing, Husband, White, Male,7298,0,97, United-States, >50K
44, Self-emp-not-inc, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,50, United-States, >50K
53, State-gov, HS-grad, Married-civ-spouse, Prof-specialty, Not-in-family, White, Male,0,0,40, United-States, >50K
35, Private, Assoc-acdm, Married-civ-spouse, Transport-moving, Own-child, White, Male,0,0,40, United-States, <=50K
53, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,4599,0,40, United-States, >50K
46, Private, HS-grad, Divorced, Adm-clerical, Unmarried, Black, Female,0,0,38, United-States, <=50K
31, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,1574,45, Puerto-Rico, >50K
37, Private, HS-grad, Married-spouse-absent, Prof-specialty, Not-in-family, White, Male,0,0,40, United-States, >50K
30, Private, Bachelors, Never-married, Tech-support, Wife, White, Female,0,0,40, United-States, >50K
24, Private, 10th, Married-civ-spouse, Handlers-cleaners, Own-child, White, Male,0,0,40, United-States, <=50K
42, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, United-States, >50K
50, Private, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, United-States, >50K
50, Self-emp-not-inc, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,45, United-States, >50K
76, Self-emp-not-inc, Some-college, Widowed, Exec-managerial, Not-in-family, White, Female,0,0,10, United-States, <=50K
28, Private, Some-college, Never-married, Sales, Other-relative, White, Male,0,0,40, South, <=50K
27, Local-gov, 12th, Married-civ-spouse, Craft-repair, Own-child, White, Male,0,0,40, United-States, <=50K
27, Private, Bachelors, Married-civ-spouse, Sales, Not-in-family, White, Male,0,0,48, United-States, <=50K
43, Local-gov, Some-college, Married-civ-spouse, Adm-clerical, Wife, White, Female,4386,0,15, United-States, >50K
31, Private, Some-college, Never-married, Transport-moving, Not-in-family, White, Female,0,0,12, United-States, <=50K
46, Private, Some-college, Married-civ-spouse, Craft-repair, Husband, Amer-Indian-Eskimo, Male,0,0,50, United-States, >50K
65, Private, Some-college, Married-civ-spouse, Sales, Husband, Black, Male,0,0,40, United-States, >50K
47, Private, HS-grad, Never-married, Exec-managerial, Not-in-family, White, Female,0,0,40, Puerto-Rico, <=50K
53, Private, Some-college, Married-civ-spouse, Farming-fishing, Husband, Black, Male,7687,0,68, United-States, >50K
45, Federal-gov, Bachelors, Married-civ-spouse, Sales, Husband, White, Male,0,0,77, United-States, >50K
17, Private, 10th, Never-married, Handlers-cleaners, Own-child, White, Male,0,0,20, United-States, <=50K
65, Private, Some-college, Married-civ-spouse, Sales, Husband, White, Male,10542,0,40, United-States, >50K
21, Private, HS-grad, Never-married, Transport-moving, Unmarried, White, Male,0,0,60, United-States, <=50K
44, State-gov, Bachelors, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,50, United-States, >50K
31, Self-emp-not-inc, HS-grad, Separated, Craft-repair, Not-in-family, Black, Female,0,0,40, Ecuador, <=50K
30, Private, Bachelors, Divorced, Exec-managerial, Husband, White, Male,0,0,40, United-States, >50K
42, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,60, United-States, <=50K
29, Private, Some-college, Divorced, Sales, Not-in-family, White, Female,0,0,50, United-States, <=50K
47, Self-emp-not-inc, HS-grad, Married-civ-spouse, Sales, Husband, White, Male,0,0,48, Iran, <=50K
40, Private, Some-college, Never-married, Other-service, Not-in-family, White, Female,14279,0,54, United-States, >50K
40, Private, Some-college, Married-civ-spouse, Other-service, Not-in-family, White, Male,0,0,30, United-States, <=50K
40, Private, Bachelors, Separated, Adm-clerical, Unmarried, White, Female,0,0,70, United-States, <=50K
38, Private, HS-grad, Separated, Farming-fishing, Not-in-family, Black, Male,0,0,40, United-States, <=50K
46, Private, HS-grad, Married-civ-spouse, Exec-managerial, Not-in-family, White, Female,0,0,35, United-States, <=50K
46, Self-emp-not-inc, Assoc-acdm, Separated, Adm-clerical, Unmarried, White, Male,7298,0,40, United-States, <=50K
52, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,60, United-States, >50K
24, Private, Bachelors, Never-married, Prof-specialty, Other-relative, White, Female,0,0,35, Yugoslavia, <=50K
34, Private, HS-grad, Never-married, Prof-specialty, Own-child, White, Male,0,0,40, United-States, <=50K
42, Self-emp-inc, Some-college, Married-civ-spouse, Tech-support, Not-in-family, White, Male,0,0,40, Canada, <=50K
31, Self-emp-inc, HS-grad, Never-married, Tech-support, Husband, White, Male,0,1666,40, United-States, <=50K
30, Private, Bachelors, Never-married, Exec-managerial, Not-in-family, White, Female,0,0,40, United-States, <=50K
42, Local-gov, Some-college, Divorced, Sales, Not-in-family, White, Male,0,0,65, United-States, >50K
19, Private, Some-college, Never-married, Sales, Own-child, White, Male,0,0,40, United-States, <=50K
27, Private, Bachelors, Married-civ-spouse, Adm-clerical, Not-in-family, White, Female,7298,0,38, El-Salvador, >50K
31, Private, Bachelors, Never-married, Adm-clerical, Not-in-family, Black, Female,0,0,40, United-States, <=50K
19, Private, Some-college, Never-married, Craft-repair, Own-child, White, Male,0,0,50, United-States, <=50K
24, Private, HS-grad, Married-civ-spouse, Craft-repair, Own-child, White, Male,0,0,50, United-States, <=50K
25, Private, 12th, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,45, Outlying-US(Guam-USVI-etc), >50K
24, State-gov, Some-college, Never-married, Machine-op-inspct, Own-child, White, Male,0,0,40, United-States, <=50K
31, Private, Some-college, Never-married, Sales, Wife, Other, Male,0,0,45, United-States, <=50K
58, Federal-gov, HS-grad, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,0,0,40, Canada, <=50K
32, Private, Masters, Married-civ-spouse, Craft-repair, Not-in-family, White, Male,0,0,50, United-States, >50K
65, State-gov, 11th, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,8, United-States, >50K
56, Private, HS-grad, Married-civ-spouse, Other-service, Husband, White, Male,0,0,18, United-States, >50K
35, Private, Assoc-acdm, Divorced, Other-service, Wife, White, Female,0,0,40, United-States, <=50K
32, Private, HS-grad, Divorced, Exec-managerial, Unmarried, White, Male,0,0,54, United-States, <=50K
30, Local-gov, HS-grad, Never-married, Exec-managerial, Not-in-family, Amer-Indian-Eskimo, Female,0,0,30, United-States, <=50K
20, Private, Some-college, Never-married, Adm-clerical, Own-child, White, Male,0,0,33, United-States, <=50K
38, Self-emp-not-inc, HS-grad, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,45, United-States, <=50K
68, Private, 10th, Married-civ-spouse, Prof-specialty, Husband, White, Female,0,2314,15, United-States, >50K
47, Self-emp-inc, HS-grad, Married-civ-spouse, Sales, Husband, White, Female,0,0,60, Hungary, >50K
38, Private, Bachelors, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, >50K
51, Self-emp-inc, Assoc-acdm, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, United-States, >50K
20, Private, Assoc-acdm, Never-married, Adm-clerical, Not-in-family, Black, Female,0,0,40, United-States, <=50K
37, Self-emp-not-inc, HS-grad, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,60, United-States, <=50K
27, Private, Some-college, Never-married, Prof-specialty, Wife, White, Male,0,0,24, United-States, <=50K
29, Private, Assoc-voc, Married-civ-spouse, Handlers-cleaners, Husband, Black, Female,0,0,35, United-States, <=50K
20, State-gov, HS-grad, Never-married, Other-service, Own-child, White, Male,0,0,30, United-States, <=50K
23, Private, HS-grad, Never-married, Prof-specialty, Husband, Other, Male,0,0,50, United-States, <=50K
37, Private, 11th, Divorced, Machine-op-inspct, Own-child, Black, Female,0,0,15, Guatemala, <=50K
42, Private, HS-grad, Divorced, Tech-support, Unmarried, White, Male,0,0,37, United-States, <=50K
21, Private, 11th, Never-married, Prof-specialty, Own-child, White, Male,0,0,50, United-States, <=50K
43, Private, Some-college, Divorced, Prof-specialty, Not-in-family, White, Female,0,0,60, United-States, <=50K
58, Self-emp-not-inc, Some-college, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,50, United-States, >50K
46, Self-emp-not-inc, HS-grad, Divorced, Exec-managerial, Unmarried, White, Male,0,0,50, United-States, <=50K
35, Self-emp-not-inc, HS-grad, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,48, United-States, >50K
28, Private, Assoc-voc, Never-married, Other-service, Unmarried, Black, Female,0,0,40, United-States, <=50K
47, Self-emp-not-inc, Masters, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,50, United-States, >50K
34, Private, HS-grad, Separated, Craft-repair, Wife, Black, Male,0,0,54, United-States, <=50K
44, Private, Assoc-acdm, Divorced, Adm-clerical, Not-in-family, Black, Female,0,0,45, United-States, <=50K
49, Self-emp-not-inc, Prof-school, Married-civ-spouse, Exec-managerial, Husband, White, Female,99999,0,66, United-States, >50K
39, Private, Bachelors, Married-civ-spouse, Exec-managerial, Not-in-family, White, Male,0,0,99, United-States, <=50K
21, Private, HS-grad, Never-married, Adm-clerical, Own-child, White, Male,0,0,40, England, <=50K
61, Private, 10th, Married-civ-spouse, Farming-fishing, Husband, White, Male,0,0,40, United-States, <=50K
28, Private, HS-grad, Married-civ-spouse, Sales, Husband, White, Male,0,0,50, United-States, >50K
36, Local-gov, HS-grad, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,1902,45, Japan, >50K
24, Private, Prof-school, Never-married, Sales, Not-in-family, Black, Female,0,0,50, United-States, <=50K
28, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,50, United-States, <=50K
38, Self-emp-inc, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,50, United-States, >50K
25, Private, HS-grad, Married-civ-spouse, Handlers-cleaners, Own-child, White, Male,0,0,40, United-States, >50K
33, Private, Masters, Divorced, Tech-support, Wife, White, Female,0,0,15, United-States, >50K
45, Private, HS-grad, Married-civ-spouse, Other-service, Wife, White, Male,7298,0,40, United-States, >50K
46, Private, HS-grad, Divorced, Sales, Unmarried, White, Male,0,0,40, United-States, <=50K
19, Private, HS-grad, Never-married, Other-service, Own-child, White, Male,0,0,25, United-States, <=50K
30, Private, Assoc-acdm, Never-married, Craft-repair, Other-relative, Other, Male,0,0,45, Nicaragua, <=50K
66, Self-emp-not-inc, Some-college, Married-civ-spouse, Exec-managerial, Husband, White, Female,0,0,1, Columbia, <=50K
38, Local-gov, Bachelors, Married-civ-spouse, Adm-clerical, Wife, White, Male,0,1902,40, United-States, >50K
34, Private, HS-grad, Never-married, Exec-managerial, Not-in-family, Black, Female,0,0,40, United-States, <=50K
36, Self-emp-not-inc, HS-grad, Never-married, Exec-managerial, Own-child, White, Male,0,0,40, United-States, <=50K
34, Federal-gov, Bachelors, Never-married, Other-service, Husband, White, Male,0,0,40, United-States, <=50K
37, Private, Some-college, Married-civ-spouse, Sales, Husband, White, Male,15024,0,50, United-States, >50K
39, Private, Some-college, Divorced, Farming-fishing, Husband, White, Male,0,0,50, Mexico, <=50K
58, Self-emp-inc, HS-grad, Married-spouse-absent, Prof-specialty, Husband, White, Male,0,0,70, United-States, >50K
20, Private, HS-grad, Never-married, Prof-specialty, Own-child, White, Male,0,0,40, United-States, <=50K
