39, Self-emp-inc, HS-grad, Divorced, Adm-clerical, Unmarried, Amer-Indian-Eskimo, Male,0,0,50, Dominican-Republic, >50K
35, Private, Assoc-voc, Widowed, Other-service, Wife, Black, Male,0,0,40, Jamaica, <=50K
40, Self-emp-not-inc, HS-grad, Married-civ-spouse, Sales, Husband, Asian-Pac-Islander, Male,0,0,40, Holand-Netherlands, <=50K
47, Self-emp-not-inc, Masters, Married-civ-spouse, Craft-repair, Husband, Black, Female,0,0,50, Yugoslavia, <=50K
30, Private, Assoc-voc, Divorced, Craft-repair, Husband, Other, Male,0,0,40, Cuba, <=50K
45, Self-emp-inc, Bachelors, Married-civ-spouse, Exec-managerial, Husband, Black, Female,15024,0,60, Ecuador, <=50K
36, Self-emp-inc, Assoc-voc, Never-married, Other-service, Not-in-family, Asian-Pac-Islander, Female,0,0,44, Hungary, <=50K
60, Private, Some-college, Divorced, Prof-specialty, Husband, Black, Female,0,0,48, Nicaragua, <=50K
21, State-gov, HS-grad, Never-married, Craft-repair, Not-in-family, Black, Male,0,0,35, Cuba, <=50K
17, Private, 10th, Never-married, Sales, Own-child, Other, Female,0,0,15, Italy, <=50K
29, Private, HS-grad, Divorced, Craft-repair, Husband, Amer-Indian-Eskimo, Female,3773,0,45, Jamaica, >50K
46, Private, Masters, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,35, South, >50K
31, Private, Some-college, Married-civ-spouse, Craft-repair, Not-in-family, Black, Female,0,0,40, Taiwan, <=50K
54, Private, 10th, Married-civ-spouse, Adm-clerical, Unmarried, Other, Female,0,0,30, Ecuador, <=50K
47, Self-emp-inc, HS-grad, Married-civ-spouse, Sales, Husband, Asian-Pac-Islander, Male,0,0,45, Canada, >50K
45, Private, HS-grad, Divorced, Exec-managerial, Husband, Other, Female,0,0,60, Yugoslavia, >50K
35, Private, HS-grad, Never-married, Prof-specialty, Not-in-family, Amer-Indian-Eskimo, Female,0,0,40, Taiwan, >50K
43, Private, Prof-school, Married-civ-spouse, Prof-specialty, Husband, Amer-Indian-Eskimo, Female,0,0,94, Greece, <=50K
24, Private, HS-grad, Married-civ-spouse, Priv-house-serv, Own-child, White, Male,0,0,45, Philippines, <=50K
42, Private, HS-grad, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,40, Haiti, >50K
41, Private, Assoc-acdm, Never-married, Exec-managerial, Husband, Asian-Pac-Islander, Female,0,0,48, Portugal, <=50K
32, Federal-gov, Some-college, Never-married, Adm-clerical, Unmarried, White, Male,0,0,40, Italy, <=50K
22, Private, 11th, Never-married, Adm-clerical, Husband, White, Male,0,0,25, Hungary, <=50K
30, Private, HS-grad, Married-civ-spouse, Sales, Husband, White, Male,0,0,40, France, <=50K
23, Private, Bachelors, Never-married, Protective-serv, Husband, Other, Female,0,0,50, Germany, <=50K
50, Self-emp-not-inc, Some-college, Married-civ-spouse, Craft-repair, Unmarried, Asian-Pac-Islander, Female,0,0,40, Iran, <=50K
51, Private, HS-grad, Married-civ-spouse, Craft-repair, Unmarried, Other, Male,0,0,40, Jamaica, >50K
45, Local-gov, 11th, Divorced, Craft-repair, Unmarried, Asian-Pac-Islander, Female,0,0,40, Columbia, <=50K
48, Private, Doctorate, Divorced, Adm-clerical, Unmarried, Amer-Indian-Eskimo, Male,0,0,40, Italy, <=50K
26, Private, HS-grad, Married-civ-spouse, Craft-repair, Wife, Other, Female,0,0,40, Ecuador, <=50K
52, Private, Bachelors, Married-civ-spouse, Craft-repair, Husband, Asian-Pac-Islander, Male,0,0,40, South, <=50K
19, Private, HS-grad, Never-married, Tech-support, Own-child, Amer-Indian-Eskimo, Male,15024,0,20, Cuba, <=50K
47, Private, Bachelors, Never-married, Sales, Not-in-family, Amer-Indian-Eskimo, Female,0,0,40, Germany, <=50K
54, Private, 1st-4th, Married-civ-spouse, Adm-clerical, Unmarried, White, Female,0,0,10, South, >50K
23, Private, Assoc-acdm, Never-married, Transport-moving, Own-child, Asian-Pac-Islander, Female,0,0,40, Canada, <=50K
30, Private, Some-college, Never-married, Exec-managerial, Own-child, Asian-Pac-Islander, Female,0,0,55, Dominican-Republic, >50K
32, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, Amer-Indian-Eskimo, Female,0,0,60, Holand-Netherlands, <=50K
31, Private, HS-grad, Married-civ-spouse, Craft-repair, Unmarried, Asian-Pac-Islander, Female,0,0,40, Iran, >50K
63, Self-emp-not-inc, Assoc-voc, Divorced, Exec-managerial, Husband, Asian-Pac-Islander, Male,0,0,40, Trinadad&Tobago, <=50K
34, Private, Assoc-acdm, Never-married, Prof-specialty, Own-child, White, Male,0,0,37, Thailand, <=50K
40, Private, HS-grad, Married-civ-spouse, Tech-support, Husband, Black, Female,0,1902,40, Columbia, <=50K
21, Private, HS-grad, Never-married, Craft-repair, Own-child, Amer-Indian-Eskimo, Female,0,0,35, China, <=50K
59, Private, Some-college, Married-civ-spouse, Exec-managerial, Unmarried, Black, Female,0,0,47, Hong, >50K
32, Private, HS-grad, Married-civ-spouse, Craft-repair, Not-in-family, Asian-Pac-Islander, Male,0,0,40, Taiwan, <=50K
24, Private, HS-grad, Married-civ-spouse, Sales, Own-child, Asian-Pac-Islander, Male,0,0,42, Guatemala, <=50K
26, State-gov, HS-grad, Married-civ-spouse, Craft-repair, Other-relative, Other, Male,0,0,40, Guatemala, <=50K
45, Private, HS-grad, Married-civ-spouse, Other-service, Unmarried, Amer-Indian-Eskimo, Female,0,0,20, Thailand, <=50K
59, Private, HS-grad, Married-civ-spouse, Prof-specialty, Unmarried, Amer-Indian-Eskimo, Female,0,0,38, China, <=50K
23, Private, HS-grad, Never-married, Other-service, Unmarried, White, Male,0,0,20, England, <=50K
17, Private, 11th, Never-married, Other-service, Own-child, Other, Female,0,0,8, South, <=50K
27, Private, HS-grad, Never-married, Craft-repair, Not-in-family, Other, Male,0,0,40, South, <=50K
37, Self-emp-not-inc, Masters, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,60, Taiwan, >50K
44, Private, HS-grad, Married-civ-spouse, Prof-specialty, Husband, Other, Female,14945,0,40, Puerto-Rico, >50K
22, Private, HS-grad, Never-married, Tech-support, Not-in-family, White, Female,0,0,12, Germany, <=50K
46, Local-gov, 9th, Divorced, Machine-op-inspct, Not-in-family, Black, Male,0,0,40, China, >50K
25, Local-gov, 5th-6th, Married-civ-spouse, Protective-serv, Other-relative, Black, Female,0,0,40, Italy, <=50K
20, Private, Prof-school, Never-married, Other-service, Wife, Other, Male,0,0,20, Taiwan, <=50K
49, Private, Some-college, Married-civ-spouse, Sales, Husband, Amer-Indian-Eskimo, Male,0,0,40, Poland, <=50K
43, Self-emp-not-inc, Masters, Divorced, Exec-managerial, Husband, Amer-Indian-Eskimo, Male,0,0,70, Iran, >50K
40, Self-emp-not-inc, Some-college, Married-civ-spouse, Transport-moving, Husband, White, Female,0,0,60, Thailand, >50K
39, Self-emp-inc, HS-grad, Never-married, Sales, Husband, Black, Female,0,0,60, England, <=50K
21, State-gov, Some-college, Never-married, Exec-managerial, Own-child, Asian-Pac-Islander, Male,0,0,12, Haiti, <=50K
25, Private, HS-grad, Never-married, Adm-clerical, Unmarried, White, Male,0,0,40, Taiwan, >50K
26, Self-emp-not-inc, Some-college, Never-married, Craft-repair, Own-child, White, Male,0,0,10, Taiwan, <=50K
63, Without-pay, Some-college, Widowed, Prof-specialty, Not-in-family, White, Male,0,0,6, Haiti, <=50K
40, Private, Assoc-acdm, Divorced, Other-service, Husband, Asian-Pac-Islander, Male,0,0,20, El-Salvador, <=50K
31, Private, HS-grad, Never-married, Sales, Husband, Black, Male,0,0,46, Greece, <=50K
38, Private, Some-college, Divorced, Exec-managerial, Husband, Black, Female,0,0,50, Portugal, <=50K
47, Private, HS-grad, Married-civ-spouse, Machine-op-inspct, Not-in-family, Other, Male,0,0,40, Taiwan, >50K
23, Private, Some-college, Never-married, Handlers-cleaners, Own-child, Other, Male,0,0,20, Nicaragua, <=50K
31, Private, HS-grad, Never-married, Sales, Husband, Asian-Pac-Islander, Male,0,0,40, Poland, <=50K
32, Self-emp-not-inc, Masters, Never-married, Prof-specialty, Unmarried, Black, Male,0,0,45, Scotland, <=50K
35, Private, Some-college, Never-married, Sales, Unmarried, Amer-Indian-Eskimo, Male,0,0,40, Peru, <=50K
48, Private, Assoc-acdm, Never-married, Machine-op-inspct, Husband, Amer-Indian-Eskimo, Female,0,0,50, Taiwan, >50K
37, Private, HS-grad, Never-married, Sales, Not-in-family, Amer-Indian-Eskimo, Male,0,0,40, China, <=50K
90, Self-emp-not-inc, HS-grad, Married-civ-spouse, Farming-fishing, Not-in-family, Black, Male,0,0,35, Portugal, <=50K
59, Private, Bachelors, Divorced, Adm-clerical, Husband, Other, Female,0,0,40, Nicaragua, <=50K
39, State-gov, HS-grad, Married-civ-spouse, Prof-specialty, Husband, Amer-Indian-Eskimo, Female,0,0,40, Hungary, <=50K
40, Private, Prof-school, Never-married, Craft-repair, Husband, Asian-Pac-Islander, Female,0,0,40, Jamaica, <=50K
47, Local-gov, 11th, Married-civ-spouse, Other-service, Wife, White, Male,0,0,16, Taiwan, <=50K
46, Self-emp-not-inc, HS-grad, Married-civ-spouse, Exec-managerial, Not-in-family, Amer-Indian-Eskimo, Male,0,0,54, El-Salvador, >50K
19, State-gov, HS-grad, Never-married, Exec-managerial, Own-child, White, Male,0,0,35, Holand-Netherlands, <=50K
39, Private, 10th, Divorced, Prof-specialty, Not-in-family, Amer-Indian-Eskimo, Female,0,0,40, Germany, <=50K
42, Local-gov, HS-grad, Divorced, Transport-moving, Not-in-family, Asian-Pac-Islander, Female,0,0,40, Nicaragua, >50K
84, Private, HS-grad, Married-civ-spouse, Other-service, Wife, Black, Female,0,0,20, Ireland, <=50K
44, Self-emp-not-inc, Masters, Married-civ-spouse, Farming-fishing, Husband, Amer-Indian-Eskimo, Female,0,0,40, Hungary, >50K
30, Private, Bachelors, Married-civ-spouse, Transport-moving, Husband, Other, Male,0,0,54, Outlying-US(Guam-USVI-etc), <=50K
72, Private, HS-grad, Married-civ-spouse, Prof-specialty, Not-in-family, White, Male,0,0,20, Columbia, >50K
63, Private, Assoc-acdm, Married-civ-spouse, Other-service, Husband, White, Male,0,0,10, Haiti, <=50K
20, Private, Some-college, Never-married, Prof-specialty, Husband, Asian-Pac-Islander, Female,0,0,40, United-States, <=50K
44, Private, Bachelors, Divorced, Adm-clerical, Husband, Other, Male,0,0,40, Ireland, >50K
52, Local-gov, 10th, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,54, Honduras, <=50K
25, Local-gov, Assoc-voc, Married-civ-spouse, Adm-clerical, Husband, Amer-Indian-Eskimo, Male,0,0,45, Jamaica, <=50K
40, Private, Some-college, Divorced, Machine-op-inspct, Husband, White, Female,0,0,25, Outlying-US(Guam-USVI-etc), <=50K
52, Private, Assoc-acdm, Married-civ-spouse, Prof-specialty, Not-in-family, Asian-Pac-Islander, Male,0,0,50, Columbia, <=50K
33, Self-emp-not-inc, HS-grad, Married-civ-spouse, Adm-clerical, Husband, White, Female,0,0,45, Italy, >50K
26, Private, Bachelors, Divorced, Craft-repair, Other-relative, Other, Male,0,0,40, Haiti, <=50K
33, Private, Some-college, Divorced, Exec-managerial, Not-in-family, White, Female,0,1887,40, Haiti, >50K
43, Self-emp-inc, HS-grad, Married-civ-spouse, Sales, Husband, Asian-Pac-Islander, Female,0,0,40, Dominican-Republic, <=50K
30, Private, Some-college, Married-spouse-absent, Sales, Own-child, Asian-Pac-Islander, Female,0,1902,30, Honduras, <=50K
19, Private, Bachelors, Never-married, Machine-op-inspct, Other-relative, Asian-Pac-Islander, Female,0,0,45, Italy, <=50K
59, Self-emp-not-inc, Bachelors, Divorced, Craft-repair, Unmarried, Amer-Indian-Eskimo, Female,0,0,40, Thailand, <=50K
25, Private, HS-grad, Married-civ-spouse, Sales, Not-in-family, Black, Female,2878,0,40, Japan, <=50K
27, Self-emp-not-inc, HS-grad, Never-married, Exec-managerial, Not-in-family, Amer-Indian-Eskimo, Female,0,0,48, Outlying-US(Guam-USVI-etc), <=50K
54, State-gov, Some-college, Divorced, Protective-serv, Unmarried, Amer-Indian-Eskimo, Male,0,0,40, Taiwan, <=50K
47, Self-emp-inc, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,70, United-States, <=50K
43, Private, Masters, Married-civ-spouse, Sales, Unmarried, Asian-Pac-Islander, Male,0,0,43, India, >50K
38, Private, 7th-8th, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, Cuba, <=50K
31, Private, Some-college, Never-married, Adm-clerical, Husband, White, Male,0,0,40, Vietnam, <=50K
90, Private, 7th-8th, Widowed, Farming-fishing, Not-in-family, Black, Female,0,0,30, Holand-Netherlands, >50K
49, Self-emp-not-inc, HS-grad, Divorced, Adm-clerical, Husband, Amer-Indian-Eskimo, Male,0,0,40, Peru, <=50K
33, State-gov, HS-grad, Married-civ-spouse, Other-service, Unmarried, White, Male,0,0,35, Italy, >50K
31, Private, 12th, Divorced, Tech-support, Wife, White, Male,0,0,24, Outlying-US(Guam-USVI-etc), <=50K
26, Private, HS-grad, Never-married, Adm-clerical, Not-in-family, Asian-Pac-Islander, Male,4789,0,40, Vietnam, >50K
34, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, Amer-Indian-Eskimo, Female,0,0,40, India, <=50K
32, Private, HS-grad, Married-civ-spouse, Craft-repair, Not-in-family, Other, Female,0,0,50, Ecuador, >50K
38, Self-emp-inc, Masters, Never-married, Sales, Not-in-family, Other, Male,0,0,75, Portugal, >50K
54, Private, HS-grad, Widowed, Transport-moving, Unmarried, Black, Male,0,0,40, India, <=50K
39, Private, 10th, Divorced, Machine-op-inspct, Unmarried, Black, Male,0,0,54, India, <=50K
36, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, Black, Male,0,0,40, South, <=50K
35, Private, Bachelors, Divorced, Other-service, Husband, Asian-Pac-Islander, Male,0,0,40, Outlying-US(Guam-USVI-etc), >50K
34, Private, Bachelors, Never-married, Exec-managerial, Other-relative, Asian-Pac-Islander, Female,7687,0,38, Mexico, >50K
29, Self-emp-not-inc, Some-college, Never-married, Craft-repair, Unmarried, Black, Female,0,0,40, Guatemala, <=50K
34, Private, Some-college, Separated, Sales, Not-in-family, White, Male,0,0,35, El-Salvador, <=50K
40, Local-gov, 11th, Married-civ-spouse, Adm-clerical, Unmarried, Asian-Pac-Islander, Male,0,0,40, Hungary, <=50K
30, Private, Bachelors, Married-civ-spouse, Prof-specialty, Husband, Black, Male,0,0,40, Laos, <=50K
47, Local-gov, Some-college, Married-civ-spouse, Adm-clerical, Unmarried, Other, Female,0,0,35, Puerto-Rico, >50K
48, Private, Some-college, Married-civ-spouse, Transport-moving, Husband, Black, Female,0,0,40, Peru, <=50K
57, Private, Some-college, Separated, Adm-clerical, Husband, Amer-Indian-Eskimo, Male,0,0,40, Taiwan, <=50K
25, Private, Some-college, Never-married, Sales, Own-child, Amer-Indian-Eskimo, Male,0,0,40, Jamaica, >50K
31, Private, Bachelors, Never-married, Exec-managerial, Husband, White, Female,0,0,50, Ecuador, <=50K
40, Private, Some-college, Married-civ-spouse, Machine-op-inspct, Not-in-family, Amer-Indian-Eskimo, Male,4621,0,40, Peru, >50K
29, Federal-gov, Bachelors, Married-civ-spouse, Sales, Husband, White, Male,0,0,50, Taiwan, >50K
19, Private, 11th, Never-married, Adm-clerical, Own-child, Asian-Pac-Islander, Male,0,0,12, India, <=50K
49, Private, Some-college, Married-civ-spouse, Prof-specialty, Husband, Asian-Pac-Islander, Female,0,0,40, Honduras, >50K
52, Private, HS-grad, Married-civ-spouse, Transport-moving, Unmarried, Other, Male,0,0,40, South, <=50K
66, State-gov, Bachelors, Married-civ-spouse, Transport-moving, Husband, Other, Male,0,2178,40, Yugoslavia, >50K
63, Self-emp-not-inc, HS-grad, Widowed, Craft-repair, Husband, Asian-Pac-Islander, Male,0,0,50, Canada, <=50K
42, Private, HS-grad, Divorced, Adm-clerical, Husband, Asian-Pac-Islander, Male,0,0,35, Holand-Netherlands, <=50K
42, Private, Bachelors, Married-civ-spouse, Craft-repair, Husband, White, Male,7298,0,40, Trinadad&Tobago, >50K
19, Private, Some-college, Married-spouse-absent, Sales, Own-child, Other, Male,0,0,25, Guatemala, <=50K
55, Self-emp-inc, HS-grad, Married-civ-spouse, Sales, Husband, Other, Female,0,0,40, Columbia, <=50K
62, Private, Some-college, Married-civ-spouse, Exec-managerial, Unmarried, Black, Male,0,0,40, Haiti, >50K
31, Private, Some-college, Married-civ-spouse, Handlers-cleaners, Husband, Other, Male,0,0,60, Yugoslavia, <=50K
62, Private, Bachelors, Widowed, Adm-clerical, Not-in-family, Black, Male,0,0,48, Mexico, <=50K
56, Private, HS-grad, Widowed, Exec-managerial, Husband, Amer-Indian-Eskimo, Male,0,0,40, Trinadad&Tobago, <=50K
22, Private, HS-grad, Never-married, Craft-repair, Own-child, Other, Female,0,0,35, India, <=50K
23, Private, Assoc-acdm, Never-married, Adm-clerical, Other-relative, White, Male,0,0,40, Puerto-Rico, <=50K
40, Private, Bachelors, Married-civ-spouse, Exec-managerial, Unmarried, Asian-Pac-Islander, Male,0,0,45, Holand-Netherlands, >50K
27, Private, HS-grad, Married-civ-spouse, Prof-specialty, Not-in-family, White, Female,0,0,40, Yugoslavia, <=50K
22, Private, Bachelors, Never-married, Prof-specialty, Own-child, White, Male,0,0,40, Italy, >50K
34, Self-emp-inc, Some-college, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,60, Cambodia, >50K
45, Self-emp-not-inc, HS-grad, Married-civ-spouse, Sales, Husband, White, Male,0,0,40, Laos, <=50K
50, Private, Assoc-voc, Married-civ-spouse, Exec-managerial, Husband, Black, Male,0,0,40, Haiti, <=50K
37, Local-gov, Some-college, Divorced, Sales, Not-in-family, Other, Male,0,0,30, Jamaica, <=50K
27, Private, Some-college, Never-married, Tech-support, Unmarried, Amer-Indian-Eskimo, Male,0,0,40, Japan, <=50K
48, Private, Bachelors, Divorced, Adm-clerical, Husband, White, Male,0,0,54, Canada, >50K
36, Private, Bachelors, Married-civ-spouse, Adm-clerical, Not-in-family, Asian-Pac-Islander, Male,0,0,40, Puerto-Rico, <=50K
69, Self-emp-not-inc, Some-college, Married-civ-spouse, Exec-managerial, Wife, Asian-Pac-Islander, Female,0,1987,30, South, <=50K
18, Private, HS-grad, Never-married, Handlers-cleaners, Wife, Black, Male,1192,0,20, Iran, <=50K
40, Private, 5th-6th, Married-civ-spouse, Craft-repair, Not-in-family, White, Female,0,0,50, Ecuador, >50K
23, State-gov, Some-college, Never-married, Other-service, Not-in-family, Black, Female,0,0,30, South, <=50K
31, Private, Some-college, Never-married, Protective-serv, Wife, Asian-Pac-Islander, Male,0,0,40, Vietnam, <=50K
38, Federal-gov, Some-college, Separated, Other-service, Unmarried, Asian-Pac-Islander, Male,0,0,7, Cambodia, <=50K
62, Private, HS-grad, Married-civ-spouse, Adm-clerical, Unmarried, Asian-Pac-Islander, Male,0,0,30, Outlying-US(Guam-USVI-etc), >50K
60, State-gov, 10th, Divorced, Craft-repair, Unmarried, Other, Female,0,0,25, Jamaica, <=50K
30, Private, HS-grad, Married-civ-spouse, Other-service, Not-in-family, Other, Female,0,0,45, Greece, >50K
23, Private, 11th, Never-married, Other-service, Wife, White, Male,0,0,30, Ireland, <=50K
28, Private, Bachelors, Married-civ-spouse, Exec-managerial, Own-child, Black, Female,7285,0,60, Mexico, >50K
24, Private, HS-grad, Never-married, Craft-repair, Own-child, Amer-Indian-Eskimo, Female,0,0,40, Iran, <=50K
38, Private, Some-college, Married-civ-spouse, Adm-clerical, Husband, White, Male,0,0,55, United-States, <=50K
21, Private, HS-grad, Never-married, Transport-moving, Own-child, Black, Male,0,0,40, Peru, <=50K
29, Private, 12th, Married-civ-spouse, Other-service, Husband, Black, Female,0,0,50, Iran, <=50K
50, Private, HS-grad, Married-civ-spouse, Sales, Not-in-family, White, Female,7298,0,40, China, >50K
20, Private, Bachelors, Married-civ-spouse, Adm-clerical, Own-child, Black, Male,0,0,40, Guatemala, <=50K
43, Private, Assoc-acdm, Separated, Craft-repair, Unmarried, Black, Male,0,0,40, Scotland, >50K
17, Private, 10th, Never-married, Other-service, Own-child, Asian-Pac-Islander, Male,0,0,20, South, <=50K
34, Self-emp-not-inc, HS-grad, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,48, Hungary, <=50K
33, Private, Some-college, Never-married, Prof-specialty, Unmarried, Other, Male,0,0,40, Iran, <=50K
90, Self-emp-inc, 7th-8th, Married-civ-spouse, Exec-managerial, Husband, Amer-Indian-Eskimo, Female,0,0,50, Hong, <=50K
30, State-gov, HS-grad, Never-married, Handlers-cleaners, Not-in-family, Other, Male,0,0,40, Guatemala, <=50K
47, Self-emp-inc, Bachelors, Widowed, Prof-specialty, Husband, Amer-Indian-Eskimo, Male,0,0,48, Hungary, <=50K
35, Private, 12th, Divorced, Exec-managerial, Husband, Asian-Pac-Islander, Male,0,0,38, Columbia, <=50K
30, Private, Doctorate, Married-civ-spouse, Tech-support, Unmarried, Other, Male,0,0,35, Holand-Netherlands, <=50K
37, Private, 7th-8th, Married-civ-spouse, Prof-specialty, Not-in-family, Asian-Pac-Islander, Male,0,0,50, Holand-Netherlands, <=50K
33, Private, Some-college, Divorced, Other-service, Not-in-family, Asian-Pac-Islander, Female,0,0,35, Honduras, <=50K
28, Private, Some-college, Married-civ-spouse, Craft-repair, Other-relative, Other, Male,0,0,54, Guatemala, <=50K
39, Self-emp-not-inc, Bachelors, Married-civ-spouse, Craft-repair, Not-in-family, Black, Male,0,0,40, Mexico, <=50K
19, Private, HS-grad, Never-married, Machine-op-inspct, Not-in-family, White, Female,0,0,25, South, <=50K
54, Private, Bachelors, Married-civ-spouse, Machine-op-inspct, Husband, Asian-Pac-Islander, Female,0,1902,54, Puerto-Rico, >50K
41, Self-emp-inc, Some-college, Divorced, Craft-repair, Not-in-family, Other, Male,0,0,25, India, <=50K
44, Private, Bachelors, Separated, Craft-repair, Wife, Amer-Indian-Eskimo, Male,0,0,40, Taiwan, <=50K
27, Private, Assoc-voc, Married-civ-spouse, Craft-repair, Husband, Asian-Pac-Islander, Male,0,0,70, Yugoslavia, <=50K
