56, Self-emp-not-inc, HS-grad, Married-civ-spouse, Craft-repair, Wife, Amer-Indian-Eskimo, Male,0,0,50, Ecuador, >50K
60, Private, 11th, Divorced, Craft-repair, Not-in-family, Asian-Pac-Islander, Female,0,0,40, Cuba, <=50K
39, Private, Bachelors, Married-civ-spouse, Adm-clerical, Wife, Amer-Indian-Eskimo, Male,7298,0,50, Outlying-US(Guam-USVI-etc), >50K
45, Private, Doctorate, Married-civ-spouse, Exec-managerial, Wife, White, Female,0,1977,60, El-Salvador, >50K
40, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, Asian-Pac-Islander, Male,0,0,40, United-States, <=50K
33, Private, Masters, Married-civ-spouse, Tech-support, Husband, Asian-Pac-Islander, Male,0,1887,40, Ecuador, <=50K
47, Private, Bachelors, Married-spouse-absent, Sales, Husband, Amer-Indian-Eskimo, Female,0,0,40, Haiti, <=50K
48, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, >50K
44, Local-gov, 7th-8th, Divorced, Sales, Unmarried, Asian-Pac-Islander, Female,0,0,35, China, <=50K
43, Private, Some-college, Married-civ-spouse, Exec-managerial, Wife, Asian-Pac-Islander, Female,0,0,40, Ecuador, >50K
30, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, Asian-Pac-Islander, Female,0,0,40, India, <=50K
49, Private, Masters, Married-civ-spouse, Exec-managerial, Husband, Asian-Pac-Islander, Female,0,0,50, Laos, >50K
32, Private, Bachelors, Divorced, Other-service, Unmarried, Asian-Pac-Islander, Female,0,0,30, United-States, <=50K
51, Private, Assoc-acdm, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, United-States, <=50K
20, Private, HS-grad, Never-married, Sales, Own-child, Other, Female,0,0,40, Cuba, <=50K
59, Private, Bachelors, Married-civ-spouse, Exec-managerial, Unmarried, Amer-Indian-Eskimo, Female,1939,0,44, China, <=50K
39, Private, Masters, Married-civ-spouse, Exec-managerial, Husband, Other, Female,0,0,50, Ireland, >50K
49, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, Black, Male,0,0,50, United-States, <=50K
56, Local-gov, HS-grad, Divorced, Sales, Not-in-family, Asian-Pac-Islander, Male,0,2044,65, Hong, <=50K
50, State-gov, Masters, Married-civ-spouse, Exec-managerial, Unmarried, White, Male,0,0,65, Honduras, <=50K
33, Private, HS-grad, Married-civ-spouse, Prof-specialty, Husband, Amer-Indian-Eskimo, Female,0,0,45, United-States, <=50K
25, Private, HS-grad, Never-married, Prof-specialty, Unmarried, Amer-Indian-Eskimo, Female,0,0,40, China, <=50K
46, Self-emp-inc, HS-grad, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,7687,0,40, France, >50K
22, Private, HS-grad, Married-civ-spouse, Other-service, Wife, White, Female,0,0,40, United-States, <=50K
43, Private, HS-grad, Separated, Craft-repair, Own-child, White, Male,0,0,45, United-States, <=50K
59, Self-emp-inc, Masters, Widowed, Exec-managerial, Husband, White, Male,0,0,60, United-States, <=50K
51, Private, HS-grad, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,45, United-States, >50K
36, Private, Bachelors, Married-civ-spouse, Tech-support, Husband, White, Female,0,0,40, Guatemala, >50K
20, Private, 11th, Never-married, Other-service, Own-child, Black, Male,0,0,20, Columbia, <=50K
38, Federal-gov, 5th-6th, Divorced, Prof-specialty, Unmarried, Other, Female,0,0,40, Outlying-US(Guam-USVI-etc), <=50K
34, Self-emp-not-inc, HS-grad, Married-civ-spouse, Handlers-cleaners, Wife, White, Male,7687,0,50, United-States, >50K
22, Private, Some-college, Married-civ-spouse, Sales, Husband, Amer-Indian-Eskimo, Male,0,1887,50, United-States, <=50K
23, Private, Some-college, Never-married, Handlers-cleaners, Own-child, Amer-Indian-Eskimo, Male,0,0,20, Laos, <=50K
22, Self-emp-not-inc, Some-college, Never-married, Transport-moving, Not-in-family, White, Male,0,0,48, United-States, <=50K
42, Private, HS-grad, Married-civ-spouse, Sales, Husband, Other, Male,0,0,40, Greece, <=50K
30, State-gov, Some-college, Never-married, Adm-clerical, Not-in-family, Black, Male,0,0,40, Hungary, <=50K
43, Self-emp-inc, HS-grad, Separated, Adm-clerical, Wife, White, Male,0,0,40, United-States, <=50K
55, Self-emp-not-inc, HS-grad, Widowed, Adm-clerical, Not-in-family, White, Male,1360,0,35, United-States, <=50K
49, Without-pay, Prof-school, Widowed, Prof-specialty, Not-in-family, White, Male,4555,0,40, Hungary, <=50K
52, Private, Bachelors, Married-civ-spouse, Farming-fishing, Husband, Black, Male,0,0,87, England, <=50K
20, Private, HS-grad, Never-married, Sales, Not-in-family, Other, Male,0,0,45, Haiti, <=50K
37, Private, Some-college, Divorced, Exec-managerial, Own-child, Other, Female,0,0,40, United-States, <=50K
62, Self-emp-not-inc, HS-grad, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,1902,40, United-States, >50K
20, Private, Some-college, Never-married, Handlers-cleaners, Own-child, White, Male,0,0,25, Scotland, <=50K
21, Private, HS-grad, Never-married, Sales, Husband, Black, Male,0,0,40, United-States, <=50K
38, Self-emp-not-inc, Masters, Married-civ-spouse, Prof-specialty, Husband, Other, Male,0,0,40, United-States, >50K
18, Private, Some-college, Never-married, Sales, Own-child, Asian-Pac-Islander, Male,0,0,40, Taiwan, <=50K
34, Private, Bachelors, Never-married, Farming-fishing, Not-in-family, Amer-Indian-Eskimo, Male,0,0,40, United-States, <=50K
27, Private, Some-college, Never-married, Prof-specialty, Not-in-family, Amer-Indian-Eskimo, Male,0,0,40, China, <=50K
33, Self-emp-inc, HS-grad, Married-civ-spouse, Handlers-cleaners, Wife, Other, Male,0,0,40, United-States, <=50K
33, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Female,0,0,40, South, <=50K
62, State-gov, HS-grad, Widowed, Prof-specialty, Not-in-family, Amer-Indian-Eskimo, Female,0,0,40, Japan, <=50K
38, Private, Masters, Married-civ-spouse, Exec-managerial, Husband, Asian-Pac-Islander, Female,0,0,48, Peru, <=50K
40, Local-gov, Assoc-acdm, Married-civ-spouse, Farming-fishing, Husband, White, Male,0,0,40, United-States, <=50K
23, Private, HS-grad, Never-married, Craft-repair, Not-in-family, Amer-Indian-Eskimo, Male,0,0,40, France, <=50K
37, State-gov, HS-grad, Never-married, Exec-managerial, Husband, White, Male,3407,0,77, Iran, <=50K
18, Private, 10th, Never-married, Other-service, Own-child, Amer-Indian-Eskimo, Female,0,0,16, Haiti, <=50K
54, Private, HS-grad, Married-civ-spouse, Transport-moving, Husband, Black, Female,0,0,54, Scotland, >50K
47, Private, HS-grad, Married-civ-spouse, Farming-fishing, Other-relative, Black, Female,0,0,25, Outlying-US(Guam-USVI-etc), <=50K
27, Private, Prof-school, Never-married, Handlers-cleaners, Not-in-family, Amer-Indian-Eskimo, Female,0,0,40, Jamaica, <=50K
38, Private, Bachelors, Married-civ-spouse, Tech-support, Husband, White, Male,0,0,40, South, >50K
26, Private, HS-grad, Never-married, Machine-op-inspct, Not-in-family, White, Male,0,0,40, Cuba, <=50K
33, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,1616,40, Hungary, >50K
27, Private, Some-college, Never-married, Other-service, Not-in-family, Black, Female,0,0,40, United-States, <=50K
60, Private, Bachelors, Divorced, Adm-clerical, Not-in-family, White, Male,0,0,48, Nicaragua, >50K
31, Private, 12th, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,50, Ireland, <=50K
54, Federal-gov, Assoc-acdm, Married-civ-spouse, Adm-clerical, Husband, Amer-Indian-Eskimo, Male,0,0,40, Philippines, <=50K
23, Private, Some-college, Never-married, Handlers-cleaners, Not-in-family, White, Female,0,0,30, South, <=50K
49, Private, Assoc-acdm, Divorced, Prof-specialty, Not-in-family, Asian-Pac-Islander, Male,0,0,50, Cuba, <=50K
52, State-gov, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Female,0,0,70, Peru, >50K
24, Private, Bachelors, Divorced, Adm-clerical, Not-in-family, Other, Male,0,0,40, Hungary, <=50K
26, Private, Some-college, Divorced, Craft-repair, Not-in-family, White, Female,0,0,40, Hungary, <=50K
36, Self-emp-inc, HS-grad, Married-civ-spouse, Sales, Husband, Asian-Pac-Islander, Female,0,0,50, Ecuador, >50K
41, Private, Some-college, Never-married, Sales, Unmarried, Black, Female,0,0,40, Iran, <=50K
59, Private, HS-grad, Divorced, Machine-op-inspct, Not-in-family, Black, Female,0,0,40, Outlying-US(Guam-USVI-etc), <=50K
58, Self-emp-not-inc, HS-grad, Divorced, Craft-repair, Not-in-family, Amer-Indian-Eskimo, Female,3349,0,30, United-States, <=50K
46, Private, Bachelors, Divorced, Prof-specialty, Unmarried, Other, Female,0,0,18, Philippines, <=50K
35, Private, HS-grad, Widowed, Handlers-cleaners, Unmarried, Amer-Indian-Eskimo, Female,0,0,38, South, <=50K
57, State-gov, Some-college, Divorced, Prof-specialty, Not-in-family, Amer-Indian-Eskimo, Male,0,0,30, United-States, <=50K
25, Private, Bachelors, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,2347,0,50, United-States, >50K
45, Private, HS-grad, Married-civ-spouse, Sales, Husband, Asian-Pac-Islander, Male,0,0,40, Japan, >50K
26, Private, Bachelors, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, Dominican-Republic, <=50K
63, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, <=50K
27, Private, Assoc-acdm, Never-married, Handlers-cleaners, Not-in-family, Black, Female,0,0,50, Iran, <=50K
28, Private, HS-grad, Never-married, Adm-clerical, Not-in-family, Asian-Pac-Islander, Male,0,0,35, Thailand, <=50K
25, State-gov, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, Outlying-US(Guam-USVI-etc), <=50K
45, Private, 5th-6th, Married-civ-spouse, Tech-support, Wife, White, Male,0,0,35, South, <=50K
38, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, Black, Male,0,1977,45, United-States, >50K
24, Private, Some-college, Never-married, Adm-clerical, Own-child, Amer-Indian-Eskimo, Female,0,0,40, Japan, <=50K
46, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,4807,0,21, El-Salvador, <=50K
26, Private, HS-grad, Never-married, Prof-specialty, Not-in-family, White, Male,0,0,40, United-States, <=50K
63, Private, HS-grad, Separated, Transport-moving, Husband, Other, Male,0,0,40, Japan, <=50K
46, Private, 10th, Married-civ-spouse, Farming-fishing, Husband, Black, Male,0,0,70, Laos, <=50K
31, Private, Bachelors, Never-married, Craft-repair, Not-in-family, Other, Male,0,1852,40, United-States, <=50K
45, Private, Bachelors, Divorced, Prof-specialty, Not-in-family, Black, Male,0,0,60, Taiwan, <=50K
26, Private, HS-grad, Never-married, Craft-repair, Own-child, Asian-Pac-Islander, Male,0,0,30, Puerto-Rico, <=50K
29, Self-emp-not-inc, Some-college, Married-civ-spouse, Craft-repair, Husband, Other, Male,0,0,40, Hong, <=50K
48, Private, Some-college, Widowed, Sales, Other-relative, White, Male,0,0,45, France, <=50K
42, Local-gov, 11th, Never-married, Adm-clerical, Unmarried, Asian-Pac-Islander, Male,0,0,50, Japan, <=50K
47, Private, Bachelors, Married-civ-spouse, Sales, Husband, Other, Male,0,0,65, Portugal, >50K
71, Local-gov, Some-college, Widowed, Adm-clerical, Unmarried, White, Female,0,0,20, United-States, >50K
55, Private, Some-college, Married-spouse-absent, Transport-moving, Husband, Other, Female,0,0,45, Thailand, <=50K
51, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, Amer-Indian-Eskimo, Male,0,0,40, United-States, <=50K
37, Private, Some-college, Married-civ-spouse, Sales, Husband, Amer-Indian-Eskimo, Male,0,0,40, Peru, >50K
39, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Female,0,0,50, England, >50K
19, Private, Some-college, Never-married, Other-service, Own-child, Amer-Indian-Eskimo, Male,0,0,45, Taiwan, <=50K
35, Federal-gov, Bachelors, Married-civ-spouse, Sales, Husband, White, Male,0,0,40, United-States, >50K
27, Private, Bachelors, Married-civ-spouse, Craft-repair, Husband, Asian-Pac-Islander, Male,0,0,40, Laos, <=50K
32, Private, Some-college, Never-married, Prof-specialty, Other-relative, Black, Female,0,0,40, Iran, <=50K
27, Private, HS-grad, Never-married, Transport-moving, Not-in-family, Other, Male,0,0,70, United-States, <=50K
19, State-gov, Bachelors, Never-married, Transport-moving, Own-child, White, Male,0,0,18, Yugoslavia, <=50K
31, Private, HS-grad, Never-married, Adm-clerical, Not-in-family, Asian-Pac-Islander, Male,0,0,35, Canada, <=50K
28, Private, Bachelors, Divorced, Adm-clerical, Not-in-family, Asian-Pac-Islander, Female,0,0,40, Iran, <=50K
47, Private, Bachelors, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,54, United-States, >50K
62, Private, Some-college, Married-civ-spouse, Sales, Husband, White, Male,0,0,45, Hong, <=50K
31, Private, Some-college, Married-civ-spouse, Sales, Husband, White, Male,0,0,40, Cuba, <=50K
18, Private, Some-college, Never-married, Handlers-cleaners, Own-child, Other, Male,0,0,40, Hungary, <=50K
39, Private, Some-college, Married-civ-spouse, Other-service, Husband, White, Male,15024,0,40, Vietnam, >50K
43, Private, Bachelors, Widowed, Adm-clerical, Not-in-family, Other, Male,0,0,40, Puerto-Rico, <=50K
60, Private, HS-grad, Married-civ-spouse, Exec-managerial, Husband, Asian-Pac-Islander, Male,0,1977,40, United-States, >50K
17, Private, 11th, Never-married, Other-service, Own-child, Other, Female,0,0,20, Laos, <=50K
46, Self-emp-not-inc, Assoc-acdm, Married-spouse-absent, Craft-repair, Husband, White, Male,0,0,60, United-States, <=50K
43, Private, Assoc-voc, Divorced, Exec-managerial, Unmarried, Asian-Pac-Islander, Male,0,0,44, India, <=50K
29, Private, HS-grad, Never-married, Other-service, Not-in-family, White, Female,0,0,35, Yugoslavia, <=50K
29, Private, HS-grad, Never-married, Prof-specialty, Own-child, White, Male,0,0,38, Nicaragua, <=50K
44, Private, Some-college, Married-civ-spouse, Sales, Husband, White, Female,0,0,40, Cambodia, >50K
37, Self-emp-not-inc, HS-grad, Married-civ-spouse, Sales, Husband, White, Male,0,0,84, Portugal, <=50K
32, Private, Assoc-voc, Never-married, Exec-managerial, Not-in-family, Other, Male,0,0,40, Hungary, <=50K
39, Local-gov, Some-college, Married-civ-spouse, Sales, Husband, White, Male,7687,0,43, Peru, >50K
34, Private, Some-college, Married-civ-spouse, Transport-moving, Own-child, Asian-Pac-Islander, Male,0,0,50, Poland, <=50K
36, Private, Bachelors, Divorced, Adm-clerical, Not-in-family, White, Male,0,0,40, Canada, <=50K
67, Private, Assoc-voc, Widowed, Adm-clerical, Not-in-family, Asian-Pac-Islander, Male,0,0,30, United-States, <=50K
48, Private, Some-college, Married-civ-spouse, Craft-repair, Wife, Asian-Pac-Islander, Male,0,0,40, United-States, <=50K
31, Private, Some-college, Separated, Machine-op-inspct, Wife, Black, Female,0,0,38, Japan, <=50K
37, Private, 12th, Married-spouse-absent, Craft-repair, Wife, White, Female,0,0,30, El-Salvador, >50K
55, State-gov, Some-college, Married-civ-spouse, Other-service, Husband, Other, Female,0,0,40, United-States, >50K
23, Private, Some-college, Never-married, Prof-specialty, Unmarried, Asian-Pac-Islander, Male,0,0,35, Vietnam, <=50K
26, Federal-gov, Some-college, Never-married, Machine-op-inspct, Not-in-family, Black, Male,0,0,45, Cambodia, <=50K
34, Private, Some-college, Married-civ-spouse, Adm-clerical, Wife, Asian-Pac-Islander, Male,0,0,40, Scotland, >50K
53, State-gov, 5th-6th, Married-civ-spouse, Craft-repair, Husband, White, Female,15024,0,38, Peru, >50K
52, Private, HS-grad, Divorced, Machine-op-inspct, Not-in-family, White, Female,0,0,40, Honduras, <=50K
55, Private, 9th, Married-civ-spouse, Prof-specialty, Wife, White, Male,0,0,40, Nicaragua, <=50K
22, Private, HS-grad, Never-married, Craft-repair, Own-child, Black, Female,0,0,54, Puerto-Rico, <=50K
40, Private, Masters, Married-civ-spouse, Exec-managerial, Husband, Amer-Indian-Eskimo, Male,15024,0,99, Mexico, >50K
32, Private, Some-college, Married-civ-spouse, Adm-clerical, Husband, White, Male,0,0,16, United-States, <=50K
42, Private, HS-grad, Never-married, Transport-moving, Not-in-family, Other, Male,0,0,40, Thailand, <=50K
49, Private, 11th, Divorced, Other-service, Not-in-family, Other, Female,0,0,50, Mexico, <=50K
21, Private, Masters, Never-married, Sales, Own-child, White, Female,0,0,38, Columbia, <=50K
32, Private, Bachelors, Divorced, Adm-clerical, Unmarried, Black, Female,0,0,25, Honduras, <=50K
54, Private, 7th-8th, Widowed, Exec-managerial, Unmarried, Other, Male,0,0,34, United-States, <=50K
45, Private, Assoc-voc, Never-married, Craft-repair, Not-in-family, Asian-Pac-Islander, Male,0,0,40, United-States, <=50K
39, Self-emp-not-inc, Masters, Divorced, Other-service, Not-in-family, White, Male,0,0,45, Jamaica, <=50K
59, Self-emp-not-inc, Some-college, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, Laos, >50K
44, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, Amer-Indian-Eskimo, Female,0,0,40, Italy, <=50K
25, State-gov, HS-grad, Never-married, Other-service, Own-child, White, Male,0,0,40, Hong, <=50K
56, Self-emp-not-inc, Bachelors, Married-civ-spouse, Prof-specialty, Husband, Amer-Indian-Eskimo, Male,0,0,40, Jamaica, >50K
90, Private, 9th, Married-civ-spouse, Exec-managerial, Husband, Black, Male,28480,0,50, Columbia, >50K
25, Private, Bachelors, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,78, Iran, <=50K
19, Private, 11th, Never-married, Prof-specialty, Own-child, Black, Male,0,0,40, India, <=50K
35, Private, Some-college, Married-civ-spouse, Prof-specialty, Husband, Black, Female,0,0,40, Iran, >50K
25, Private, Some-college, Married-spouse-absent, Craft-repair, Own-child, White, Male,0,0,25, Hong, <=50K
22, Self-emp-not-inc, HS-grad, Never-married, Craft-repair, Own-child, Other, Male,0,0,24, Puerto-Rico, <=50K
37, Self-emp-not-inc, HS-grad, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, United-States, >50K
36, Private, Assoc-voc, Never-married, Machine-op-inspct, Not-in-family, Black, Female,0,0,40, United-States, <=50K
52, Self-emp-not-inc, Masters, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,60, Japan, <=50K
62, Private, Assoc-voc, Widowed, Craft-repair, Unmarried, Amer-Indian-Eskimo, Male,0,0,40, United-States, <=50K
43, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, Asian-Pac-Islander, Male,0,0,40, Vietnam, <=50K
24, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, Black, Female,0,0,60, Hungary, <=50K
33, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,45, Mexico, >50K
29, Private, HS-grad, Never-married, Adm-clerical, Not-in-family, Other, Male,0,0,40, China, <=50K
29, Private, 10th, Divorced, Other-service, Unmarried, White, Male,0,0,40, Trinadad&Tobago, <=50K
59, Private, HS-grad, Married-civ-spouse, Sales, Husband, White, Male,7298,0,48, Trinadad&Tobago, >50K
36, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, Cuba, <=50K
31, Private, HS-grad, Married-civ-spouse, Transport-moving, Husband, Asian-Pac-Islander, Female,0,0,48, United-States, <=50K
28, Private, Some-college, Divorced, Adm-clerical, Not-in-family, Other, Female,0,0,40, Thailand, <=50K
