21, Private, HS-grad, Never-married, Adm-clerical, Unmarried, Amer-Indian-Eskimo, Male,0,0,50, Germany, <=50K
27, Self-emp-inc, HS-grad, Never-married, Sales, Not-in-family, Black, Male,0,0,35, Puerto-Rico, <=50K
52, Private, Masters, Divorced, Adm-clerical, Unmarried, White, Female,0,1672,40, Yugoslavia, <=50K
42, Private, Assoc-acdm, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, Germany, >50K
28, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,50, Honduras, <=50K
22, Private, Assoc-acdm, Never-married, Other-service, Own-child, Other, Female,0,0,25, Trinadad&Tobago, <=50K
66, Private, Some-college, Divorced, Prof-specialty, Not-in-family, White, Female,0,0,60, United-States, <=50K
39, State-gov, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, Germany, >50K
30, Self-emp-not-inc, 10th, Married-civ-spouse, Tech-support, Husband, White, Male,0,0,25, United-States, <=50K
27, Private, HS-grad, Divorced, Craft-repair, Not-in-family, Asian-Pac-Islander, Female,0,0,40, United-States, <=50K
19, Private, HS-grad, Never-married, Transport-moving, Own-child, White, Male,0,0,45, United-States, <=50K
32, Self-emp-not-inc, Some-college, Never-married, Exec-managerial, Not-in-family, White, Female,0,0,44, United-States, <=50K
36, Private, Assoc-acdm, Married-civ-spouse, Exec-managerial, Husband, White, Female,0,0,40, Hong, >50K
42, Self-emp-inc, Bachelors, Married-civ-spouse, Sales, Husband, Other, Male,0,0,45, Columbia, >50K
28, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,45, Yugoslavia, <=50K
60, Private, Some-college, Divorced, Machine-op-inspct, Not-in-family, Asian-Pac-Islander, Female,0,0,40, United-States, <=50K
19, Private, HS-grad, Never-married, Machine-op-inspct, Other-relative, Amer-Indian-Eskimo, Female,0,0,40, Mexico, <=50K
21, Private, Some-college, Married-civ-spouse, Prof-specialty, Own-child, White, Male,0,0,40, United-States, <=50K
55, Private, HS-grad, Divorced, Transport-moving, Not-in-family, White, Male,0,0,40, Philippines, <=50K
26, Private, HS-grad, Never-married, Craft-repair, Husband, Black, Female,0,0,40, United-States, <=50K
43, Federal-gov, Some-college, Married-civ-spouse, Craft-repair, Wife, White, Male,0,0,50, United-States, >50K
38, Private, Bachelors, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, >50K
43, Private, HS-grad, Divorced, Sales, Husband, White, Male,0,0,25, Ireland, <=50K
37, Private, Bachelors, Divorced, Prof-specialty, Not-in-family, White, Female,0,0,38, Jamaica, <=50K
36, Self-emp-not-inc, Some-college, Married-civ-spouse, Craft-repair, Husband, Black, Male,0,0,40, United-States, <=50K
43, Private, HS-grad, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, United-States, >50K
28, Private, 11th, Married-civ-spouse, Craft-repair, Husband, Black, Female,0,0,40, El-Salvador, <=50K
58, Self-emp-inc, HS-grad, Married-civ-spouse, Craft-repair, Husband, Asian-Pac-Islander, Male,0,0,48, United-States, <=50K
23, Private, Doctorate, Married-civ-spouse, Farming-fishing, Wife, White, Male,0,0,45, Haiti, <=50K
32, Private, Bachelors, Never-married, Handlers-cleaners, Not-in-family, Black, Male,0,0,35, United-States, <=50K
61, Self-emp-not-inc, Masters, Married-civ-spouse, Transport-moving, Husband, Black, Male,0,0,40, Germany, <=50K
57, Private, Bachelors, Married-civ-spouse, Sales, Husband, Amer-Indian-Eskimo, Female,0,0,60, Laos, >50K
25, Private, Assoc-acdm, Never-married, Adm-clerical, Not-in-family, White, Female,0,0,40, United-States, <=50K
17, Private, 10th, Never-married, Sales, Own-child, Black, Female,0,0,10, Cuba, <=50K
53, Private, Some-college, Widowed, Adm-clerical, Unmarried, Black, Female,0,0,40, Germany, <=50K
48, Private, Doctorate, Married-civ-spouse, Craft-repair, Husband, Asian-Pac-Islander, Male,0,0,40, Portugal, <=50K
45, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, Black, Male,0,0,54, United-States, >50K
21, Private, Bachelors, Divorced, Handlers-cleaners, Own-child, Black, Male,0,0,40, United-States, <=50K
26, Private, HS-grad, Never-married, Other-service, Not-in-family, White, Male,0,0,25, United-States, <=50K
60, Private, HS-grad, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,40, El-Salvador, <=50K
44, Private, HS-grad, Married-civ-spouse, Exec-managerial, Husband, Asian-Pac-Islander, Male,0,0,80, Dominican-Republic, >50K
32, Private, Some-college, Never-married, Other-service, Not-in-family, White, Male,0,0,40, United-States, <=50K
40, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, Other, Male,0,0,45, United-States, <=50K
18, Private, HS-grad, Never-married, Sales, Own-child, Black, Female,0,0,10, Nicaragua, <=50K
31, State-gov, HS-grad, Divorced, Adm-clerical, Unmarried, White, Male,0,0,60, Mexico, <=50K
17, Private, 11th, Never-married, Other-service, Own-child, Amer-Indian-Eskimo, Female,0,0,24, United-States, <=50K
30, Private, Some-college, Divorced, Sales, Unmarried, Asian-Pac-Islander, Female,0,0,40, Cuba, <=50K
36, Private, Bachelors, Never-married, Other-service, Not-in-family, White, Male,0,0,40, Iran, <=50K
30, Private, HS-grad, Divorced, Other-service, Wife, White, Female,0,0,40, United-States, <=50K
26, Private, Bachelors, Never-married, Prof-specialty, Not-in-family, White, Male,0,0,38, United-States, <=50K
26, Self-emp-not-inc, Bachelors, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,40, United-States, >50K
26, Private, HS-grad, Never-married, Other-service, Husband, White, Female,0,0,25, United-States, <=50K
56, Private, HS-grad, Married-civ-spouse, Transport-moving, Husband, White, Female,0,0,35, Italy, >50K
17, Private, 10th, Never-married, Other-service, Own-child, White, Male,0,0,40, Ecuador, <=50K
46, Federal-gov, 11th, Divorced, Sales, Unmarried, White, Female,0,0,18, United-States, <=50K
31, Self-emp-not-inc, Bachelors, Married-civ-spouse, Prof-specialty, Wife, White, Male,0,0,45, United-States, >50K
52, Private, Some-college, Married-civ-spouse, Sales, Husband, Asian-Pac-Islander, Male,15024,0,45, United-States, >50K
33, Self-emp-not-inc, Some-college, Married-civ-spouse, Exec-managerial, Husband, Amer-Indian-Eskimo, Male,0,0,65, United-States, <=50K
24, State-gov, Some-college, Never-married, Tech-support, Not-in-family, White, Female,0,0,40, United-States, <=50K
32, Private, HS-grad, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,54, Ireland, <=50K
32, State-gov, HS-grad, Married-civ-spouse, Craft-repair, Husband, Other, Male,0,0,40, Outlying-US(Guam-USVI-etc), <=50K
41, Self-emp-not-inc, Masters, Never-married, Craft-repair, Own-child, White, Male,0,0,40, United-States, >50K
33, Private, HS-grad, Separated, Craft-repair, Not-in-family, White, Male,0,1602,40, United-States, <=50K
27, State-gov, Some-college, Never-married, Prof-specialty, Not-in-family, White, Male,0,0,40, Portugal, <=50K
38, Private, HS-grad, Married-civ-spouse, Exec-managerial, Husband, Other, Male,0,0,60, Hong, <=50K
54, Private, Some-college, Widowed, Other-service, Not-in-family, White, Female,0,0,40, Mexico, <=50K
52, Self-emp-inc, Some-college, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,60, United-States, >50K
27, Private, Some-college, Never-married, Prof-specialty, Own-child, White, Male,0,0,40, United-States, <=50K
33, Private, Masters, Separated, Prof-specialty, Not-in-family, White, Male,0,1592,50, United-States, <=50K
65, Private, Bachelors, Widowed, Sales, Husband, Other, Female,0,0,40, United-States, <=50K
22, Self-emp-not-inc, Some-college, Never-married, Prof-specialty, Own-child, White, Male,0,0,20, United-States, <=50K
43, Private, Some-college, Never-married, Tech-support, Unmarried, Asian-Pac-Islander, Male,0,0,45, United-States, <=50K
22, Private, Assoc-acdm, Separated, Other-service, Own-child, Asian-Pac-Islander, Male,0,0,35, United-States, <=50K
33, Self-emp-inc, Prof-school, Married-civ-spouse, Sales, Husband, Asian-Pac-Islander, Male,0,0,50, Cuba, <=50K
28, Self-emp-not-inc, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, <=50K
59, Self-emp-inc, Bachelors, Married-civ-spouse, Craft-repair, Husband, White, Female,7298,0,20, United-States, >50K
44, State-gov, Bachelors, Married-civ-spouse, Prof-specialty, Husband, Amer-Indian-Eskimo, Female,0,0,40, United-States, >50K
44, Private, Some-college, Separated, Exec-managerial, Unmarried, Black, Female,0,0,45, United-States, >50K
24, Private, Assoc-acdm, Never-married, Handlers-cleaners, Own-child, White, Male,0,0,35, United-States, <=50K
65, Self-emp-not-inc, HS-grad, Married-civ-spouse, Exec-managerial, Husband, Amer-Indian-Eskimo, Male,0,0,25, India, >50K
22, State-gov, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, Poland, <=50K
42, Private, 10th, Divorced, Prof-specialty, Not-in-family, Asian-Pac-Islander, Female,0,0,40, Laos, <=50K
45, Private, HS-grad, Divorced, Transport-moving, Unmarried, Black, Female,0,0,40, United-States, <=50K
19, Private, HS-grad, Never-married, Other-service, Own-child, White, Female,0,0,40, United-States, <=50K
49, Self-emp-not-inc, Masters, Divorced, Farming-fishing, Not-in-family, Amer-Indian-Eskimo, Female,4177,0,70, United-States, >50K
42, Private, Bachelors, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,40, United-States, >50K
45, Private, HS-grad, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,0,0,40, England, <=50K
29, Local-gov, Bachelors, Married-civ-spouse, Prof-specialty, Not-in-family, White, Male,0,1590,55, Puerto-Rico, >50K
68, Private, Some-college, Married-civ-spouse, Sales, Husband, White, Male,0,0,20, United-States, <=50K
46, Private, HS-grad, Divorced, Adm-clerical, Not-in-family, White, Male,0,0,40, United-States, >50K
36, Federal-gov, 11th, Never-married, Craft-repair, Not-in-family, White, Female,0,0,37, South, <=50K
42, Federal-gov, Assoc-acdm, Married-civ-spouse, Craft-repair, Husband, Amer-Indian-Eskimo, Male,0,0,60, United-States, <=50K
57, Private, Some-college, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,50, United-States, >50K
40, Private, Assoc-acdm, Married-civ-spouse, Sales, Other-relative, Black, Male,0,0,40, England, <=50K
51, State-gov, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Female,0,0,40, United-States, >50K
27, Private, Bachelors, Divorced, Adm-clerical, Unmarried, White, Female,0,0,40, Peru, <=50K
29, Private, Some-college, Divorced, Handlers-cleaners, Own-child, White, Male,0,0,40, Peru, <=50K
27, Self-emp-not-inc, Masters, Married-civ-spouse, Tech-support, Wife, Black, Female,0,1977,20, Greece, >50K
28, Private, HS-grad, Never-married, Sales, Not-in-family, Other, Female,0,0,42, South, <=50K
18, Private, Bachelors, Never-married, Other-service, Own-child, Other, Female,0,0,20, United-States, <=50K
41, Self-emp-not-inc, HS-grad, Married-civ-spouse, Craft-repair, Other-relative, Amer-Indian-Eskimo, Female,1685,0,40, United-States, <=50K
30, Private, HS-grad, Divorced, Other-service, Not-in-family, White, Female,0,0,40, United-States, <=50K
45, Self-emp-not-inc, Bachelors, Married-civ-spouse, Exec-managerial, Husband, Amer-Indian-Eskimo, Female,15024,0,40, United-States, <=50K
27, Self-emp-not-inc, Some-college, Married-civ-spouse, Protective-serv, Husband, Asian-Pac-Islander, Male,0,0,40, United-States, <=50K
26, Private, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, United-States, >50K
35, Private, Some-college, Married-civ-spouse, Tech-support, Own-child, Black, Male,0,0,50, United-States, >50K
31, Private, 9th, Never-married, Exec-managerial, Husband, White, Male,0,0,43, Germany, <=50K
69, Private, Some-college, Widowed, Craft-repair, Not-in-family, White, Male,0,0,40, United-States, <=50K
55, Private, Assoc-acdm, Married-civ-spouse, Other-service, Husband, White, Female,0,0,40, Scotland, >50K
37, Self-emp-not-inc, HS-grad, Never-married, Craft-repair, Not-in-family, Asian-Pac-Islander, Male,0,0,40, United-States, <=50K
34, State-gov, HS-grad, Never-married, Other-service, Not-in-family, White, Male,0,0,60, United-States, <=50K
34, Private, Assoc-acdm, Married-civ-spouse, Transport-moving, Own-child, White, Male,0,0,60, United-States, >50K
51, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, Other, Male,0,1977,40, United-States, >50K
24, Private, Some-college, Never-married, Exec-managerial, Own-child, Asian-Pac-Islander, Male,0,0,35, United-States, <=50K
19, Private, Masters, Never-married, Adm-clerical, Own-child, White, Female,0,0,30, Haiti, <=50K
41, Private, Some-college, Widowed, Sales, Unmarried, White, Female,0,0,48, United-States, >50K
46, Private, HS-grad, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,40, United-States, <=50K
52, Private, 10th, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,0,0,40, United-States, <=50K
49, Private, HS-grad, Divorced, Exec-managerial, Not-in-family, White, Male,0,1709,40, United-States, <=50K
33, Private, HS-grad, Divorced, Machine-op-inspct, Not-in-family, Other, Male,0,0,40, United-States, <=50K
23, Private, HS-grad, Never-married, Adm-clerical, Not-in-family, Black, Female,0,0,40, United-States, <=50K
25, Self-emp-inc, Some-college, Never-married, Exec-managerial, Unmarried, White, Female,0,0,50, Nicaragua, <=50K
46, Private, Masters, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, India, >50K
27, Local-gov, 5th-6th, Never-married, Adm-clerical, Not-in-family, Other, Male,0,0,35, United-States, <=50K
56, Private, Assoc-voc, Divorced, Sales, Unmarried, White, Female,0,0,40, United-States, <=50K
46, Private, Some-college, Married-civ-spouse, Craft-repair, Husband, White, Female,0,0,40, United-States, >50K
47, Private, HS-grad, Never-married, Transport-moving, Not-in-family, White, Female,5013,0,40, United-States, <=50K
30, Private, Some-college, Separated, Craft-repair, Own-child, Amer-Indian-Eskimo, Male,0,0,60, United-States, <=50K
31, Private, Some-college, Never-married, Sales, Not-in-family, Amer-Indian-Eskimo, Male,0,0,40, United-States, <=50K
41, Private, Bachelors, Separated, Handlers-cleaners, Own-child, White, Female,0,0,50, Honduras, <=50K
62, Self-emp-inc, Some-college, Married-civ-spouse, Machine-op-inspct, Husband, Amer-Indian-Eskimo, Male,0,0,80, United-States, >50K
24, Federal-gov, Bachelors, Married-civ-spouse, Sales, Own-child, White, Male,0,0,40, United-States, <=50K
19, Private, 11th, Never-married, Craft-repair, Own-child, Black, Male,0,0,20, United-States, <=50K
48, Private, Some-college, Married-civ-spouse, Sales, Husband, Other, Male,0,0,40, Scotland, >50K
47, Private, HS-grad, Never-married, Transport-moving, Not-in-family, White, Male,0,0,40, United-States, <=50K
27, Self-emp-not-inc, HS-grad, Never-married, Transport-moving, Not-in-family, White, Male,0,0,50, Yugoslavia, <=50K
32, Private, HS-grad, Separated, Handlers-cleaners, Other-relative, Black, Male,0,0,40, China, <=50K
27, Private, HS-grad, Divorced, Exec-managerial, Not-in-family, Black, Female,0,0,40, Poland, <=50K
59, Private, Doctorate, Married-spouse-absent, Craft-repair, Not-in-family, White, Male,0,0,40, United-States, <=50K
24, Private, Some-college, Never-married, Sales, Not-in-family, White, Male,0,0,20, Portugal, <=50K
45, Self-emp-inc, Masters, Married-civ-spouse, Sales, Husband, White, Male,0,1977,50, England, <=50K
34, Private, Some-college, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,0,0,60, Philippines, <=50K
26, Private, Some-college, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,40, Vietnam, <=50K
54, Private, Bachelors, Separated, Craft-repair, Husband, White, Male,0,0,54, United-States, <=50K
42, Private, Masters, Separated, Prof-specialty, Not-in-family, Asian-Pac-Islander, Male,0,2415,40, United-States, >50K
34, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Female,0,0,40, United-States, <=50K
54, Self-emp-not-inc, 7th-8th, Widowed, Adm-clerical, Unmarried, White, Male,0,0,40, United-States, <=50K
33, Private, Assoc-voc, Married-civ-spouse, Craft-repair, Husband, Black, Male,0,0,40, Puerto-Rico, >50K
64, Private, Bachelors, Divorced, Prof-specialty, Not-in-family, White, Female,24616,0,54, Yugoslavia, >50K
51, Private, Assoc-voc, Married-civ-spouse, Sales, Husband, White, Male,0,0,60, United-States, >50K
59, Self-emp-not-inc, Some-college, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,50, Cambodia, >50K
65, Self-emp-not-inc, Masters, Divorced, Sales, Not-in-family, White, Male,0,0,40, United-States, <=50K
49, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, Peru, <=50K
66, Federal-gov, Some-college, Married-civ-spouse, Sales, Husband, White, Male,0,0,15, United-States, >50K
55, Private, Some-college, Married-civ-spouse, Sales, Husband, Black, Male,0,0,54, United-States, >50K
52, Private, Bachelors, Divorced, Adm-clerical, Not-in-family, White, Male,14824,0,40, China, >50K
50, Private, Bachelors, Married-civ-spouse, Craft-repair, Husband, Other, Male,0,0,45, United-States, >50K
42, Private, Some-college, Married-civ-spouse, Craft-repair, Other-relative, Black, Male,0,0,40, United-States, <=50K
35, Private, HS-grad, Separated, Craft-repair, Unmarried, White, Male,0,0,30, United-States, <=50K
54, Private, 5th-6th, Widowed, Adm-clerical, Unmarried, White, Female,0,0,20, Guatemala, <=50K
34, State-gov, Some-college, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,40, United-States, >50K
24, Private, Some-college, Never-married, Sales, Own-child, Black, Male,0,0,40, United-States, <=50K
45, Federal-gov, Some-college, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,52, Cambodia, <=50K
21, Private, Some-college, Never-married, Craft-repair, Own-child, Black, Male,0,0,10, United-States, >50K
68, Self-emp-not-inc, 10th, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,10, United-States, <=50K
39, Private, HS-grad, Married-civ-spouse, Handlers-cleaners, Husband, White, Female,0,0,40, Mexico, >50K
56, Private, HS-grad, Married-civ-spouse, Farming-fishing, Husband, White, Male,0,0,54, United-States, <=50K
39, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, United-States, <=50K
48, Private, Doctorate, Married-civ-spouse, Exec-managerial, Husband, Amer-Indian-Eskimo, Male,0,0,50, United-States, >50K
36, Private, Some-college, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,60, United-States, <=50K
38, Private, Masters, Divorced, Tech-support, Unmarried, White, Female,0,0,40, United-States, <=50K
48, Private, 7th-8th, Never-married, Prof-specialty, Not-in-family, White, Female,0,0,45, United-States, <=50K
67, Self-emp-not-inc, HS-grad, Married-civ-spouse, Tech-support, Husband, White, Female,0,0,40, Dominican-Republic, <=50K
38, Private, Bachelors, Divorced, Craft-repair, Own-child, White, Male,0,0,40, Nicaragua, <=50K
40, Private, Assoc-acdm, Never-married, Adm-clerical, Not-in-family, White, Male,0,0,40, United-States, <=50K
23, Private, Bachelors, Never-married, Prof-specialty, Not-in-family, Other, Male,0,0,40, United-States, <=50K
50, Self-emp-not-inc, Prof-school, Married-civ-spouse, Sales, Husband, White, Male,0,0,60, United-States, <=50K
24, Private, Some-college, Never-married, Prof-specialty, Not-in-family, White, Male,0,0,40, United-States, <=50K
27, Private, HS-grad, Divorced, Machine-op-inspct, Own-child, Amer-Indian-Eskimo, Female,0,0,40, Poland, <=50K
44, State-gov, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, Outlying-US(Guam-USVI-etc), <=50K
29, Private, Bachelors, Separated, Sales, Husband, Asian-Pac-Islander, Male,0,0,40, Thailand, <=50K
51, Private, 11th, Married-civ-spouse, Exec-managerial, Husband, Other, Male,0,0,40, El-Salvador, <=50K
32, Private, Bachelors, Married-civ-spouse, Tech-support, Husband, White, Male,7687,0,54, Scotland, >50K
43, Private, 7th-8th, Married-civ-spouse, Sales, Husband, Other, Male,0,1879,40, Portugal, >50K
28, Private, Some-college, Married-civ-spouse, Other-service, Husband, Other, Male,0,0,40, Poland, <=50K
31, Self-emp-inc, Some-college, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,43, Outlying-US(Guam-USVI-etc), >50K
37, Self-emp-not-inc, Bachelors, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, <=50K
35, Self-emp-not-inc, Bachelors, Never-married, Prof-specialty, Not-in-family, White, Male,0,0,50, United-States, >50K
50, Private, Assoc-acdm, Divorced, Other-service, Not-in-family, Other, Female,0,0,40, United-States, <=50K
42, Self-emp-not-inc, Some-college, Divorced, Exec-managerial, Other-relative, White, Male,0,0,50, United-States, >50K
28, Private, Bachelors, Never-married, Exec-managerial, Wife, Asian-Pac-Islander, Male,0,0,40, United-States, <=50K
42, Private, Assoc-voc, Married-civ-spouse, Exec-managerial, Husband, Black, Male,0,0,50, United-States, >50K
58, Self-emp-not-inc, Some-college, Married-civ-spouse, Exec-managerial, Husband, Black, Female,0,1902,40, Philippines, >50K
39, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,50, United-States, >50K
45, Private, Bachelors, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,60, Columbia, >50K
40, Private, 10th, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,0,0,40, United-States, <=50K
25, Private, Some-college, Never-married, Sales, Not-in-family, White, Male,0,0,40, United-States, <=50K
31, Local-gov, HS-grad, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,0,0,40, El-Salvador, <=50K
21, Private, Some-college, Never-married, Sales, Own-child, Black, Female,0,0,40, United-States, <=50K
52, Private, HS-grad, Divorced, Adm-clerical, Not-in-family, White, Female,0,0,38, United-States, <=50K
21, Private, Bachelors, Never-married, Prof-specialty, Own-child, Other, Female,0,0,40, United-States, <=50K
37, Private, HS-grad, Never-married, Handlers-cleaners, Unmarried, White, Female,0,0,50, United-States, <=50K
22, Private, Some-college, Divorced, Transport-moving, Own-child, Black, Female,0,0,40, Hong, <=50K
38, Private, HS-grad, Never-married, Adm-clerical, Not-in-family, White, Female,0,0,38, United-States, <=50K
33, Private, HS-grad, Never-married, Sales, Not-in-family, White, Female,0,0,40, United-States, <=50K
44, Self-emp-inc, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Female,7687,0,40, United-States, >50K
34, Private, Bachelors, Never-married, Exec-managerial, Not-in-family, Black, Female,0,0,50, Hungary, >50K
27, Private, Some-college, Never-married, Craft-repair, Not-in-family, White, Female,0,0,40, Cambodia, <=50K
26, Private, HS-grad, Never-married, Adm-clerical, Own-child, White, Male,0,0,40, South, <=50K
