62, Self-emp-not-inc, HS-grad, Divorced, Adm-clerical, Wife, Amer-Indian-Eskimo, Male,0,0,48, Cuba, >50K
26, Local-gov, Assoc-voc, Never-married, Adm-clerical, Own-child, Black, Male,0,0,40, Japan, <=50K
27, Private, Bachelors, Never-married, Other-service, Own-child, White, Female,0,0,40, Japan, <=50K
23, Private, Some-college, Never-married, Sales, Own-child, Amer-Indian-Eskimo, Male,0,0,40, France, <=50K
38, Private, Assoc-voc, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,45, Laos, <=50K
21, Private, Assoc-voc, Married-civ-spouse, Machine-op-inspct, Own-child, Black, Male,0,0,40, Poland, <=50K
28, Local-gov, 7th-8th, Divorced, Priv-house-serv, Unmarried, Asian-Pac-Islander, Male,0,0,45, England, <=50K
42, Local-gov, Bachelors, Married-civ-spouse, Other-service, Husband, Black, Female,0,0,40, Hong, <=50K
51, Federal-gov, HS-grad, Widowed, Machine-op-inspct, Husband, Amer-Indian-Eskimo, Male,0,0,40, Mexico, <=50K
34, Self-emp-inc, Bachelors, Separated, Prof-specialty, Wife, Other, Male,0,1976,50, Italy, <=50K
33, Self-emp-not-inc, HS-grad, Married-civ-spouse, Sales, Not-in-family, Asian-Pac-Islander, Male,0,0,35, Honduras, <=50K
18, Private, Some-college, Never-married, Adm-clerical, Own-child, Black, Female,0,0,10, Yugoslavia, <=50K
43, Private, Assoc-acdm, Divorced, Craft-repair, Husband, Other, Male,0,0,40, Cuba, >50K
28, Private, HS-grad, Married-civ-spouse, Craft-repair, Not-in-family, Black, Female,0,0,40, Ecuador, <=50K
51, Self-emp-inc, Bachelors, Married-civ-spouse, Other-service, Not-in-family, Asian-Pac-Islander, Female,0,1902,40, Hungary, >50K
22, Private, Some-college, Married-civ-spouse, Prof-specialty, Own-child, Other, Female,0,0,40, Outlying-US(Guam-USVI-etc), <=50K
56, State-gov, HS-grad, Married-civ-spouse, Craft-repair, Husband, Black, Male,0,0,40, Cuba, >50K
43, Private, 10th, Married-civ-spouse, Tech-support, Not-in-family, Other, Female,0,0,40, Jamaica, <=50K
21, Private, HS-grad, Divorced, Craft-repair, Not-in-family, Amer-Indian-Eskimo, Female,0,0,45, Jamaica, >50K
35, Private, Masters, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,40, South, >50K
24, Private, Some-college, Never-married, Craft-repair, Own-child, Black, Female,0,0,40, Thailand, <=50K
43, Private, 10th, Married-civ-spouse, Adm-clerical, Unmarried, Other, Female,0,0,6, Ecuador, <=50K
59, Self-emp-inc, HS-grad, Married-civ-spouse, Sales, Husband, Asian-Pac-Islander, Male,0,0,40, Canada, >50K
68, Private, HS-grad, Divorced, Craft-repair, Husband, Other, Female,0,0,33, Yugoslavia, >50K
26, Private, HS-grad, Never-married, Prof-specialty, Not-in-family, Amer-Indian-Eskimo, Female,0,0,40, Taiwan, >50K
56, Private, HS-grad, Married-civ-spouse, Other-service, Husband, Amer-Indian-Eskimo, Female,0,0,40, Germany, <=50K
43, Private, HS-grad, Married-civ-spouse, Prof-specialty, Not-in-family, White, Male,15024,0,50, Philippines, <=50K
32, Private, HS-grad, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,54, Haiti, >50K
19, Private, 12th, Never-married, Handlers-cleaners, Own-child, Asian-Pac-Islander, Female,0,0,30, Portugal, <=50K
46, Federal-gov, Some-college, Married-civ-spouse, Adm-clerical, Wife, White, Male,0,0,40, Jamaica, <=50K
36, Private, 9th, Never-married, Adm-clerical, Husband, White, Male,0,0,50, India, <=50K
29, Private, Masters, Married-civ-spouse, Sales, Husband, White, Male,0,1902,50, France, <=50K
39, Private, Bachelors, Married-civ-spouse, Prof-specialty, Husband, Other, Male,7687,0,50, Germany, <=50K
37, Self-emp-not-inc, Some-college, Married-civ-spouse, Exec-managerial, Wife, Asian-Pac-Islander, Female,0,0,10, Ireland, <=50K
38, Private, HS-grad, Married-civ-spouse, Exec-managerial, Not-in-family, Other, Male,0,0,60, Japan, >50K
73, Local-gov, 10th, Married-civ-spouse, Exec-managerial, Not-in-family, Asian-Pac-Islander, Female,0,0,25, Columbia, <=50K
22, Private, HS-grad, Never-married, Adm-clerical, Unmarried, Amer-Indian-Eskimo, Female,0,0,40, Jamaica, <=50K
47, Private, Bachelors, Divorced, Exec-managerial, Unmarried, Other, Female,0,0,50, Ecuador, >50K
40, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, Asian-Pac-Islander, Male,0,0,60, South, <=50K
22, Private, HS-grad, Never-married, Transport-moving, Own-child, Amer-Indian-Eskimo, Male,0,0,44, Dominican-Republic, <=50K
26, Private, Bachelors, Never-married, Sales, Own-child, Amer-Indian-Eskimo, Female,0,0,40, Germany, <=50K
71, Private, 5th-6th, Widowed, Adm-clerical, Not-in-family, White, Female,0,0,36, South, >50K
31, Private, Assoc-acdm, Married-civ-spouse, Transport-moving, Not-in-family, Asian-Pac-Islander, Female,0,0,46, Canada, <=50K
47, Self-emp-inc, Some-college, Never-married, Exec-managerial, Unmarried, Asian-Pac-Islander, Female,0,0,50, Dominican-Republic, >50K
59, Private, HS-grad, Married-civ-spouse, Adm-clerical, Husband, Amer-Indian-Eskimo, Female,0,0,40, Haiti, <=50K
63, Private, HS-grad, Married-civ-spouse, Craft-repair, Unmarried, Asian-Pac-Islander, Female,0,0,44, Ireland, >50K
70, Self-emp-not-inc, 9th, Divorced, Handlers-cleaners, Husband, Amer-Indian-Eskimo, Female,0,0,20, Trinadad&Tobago, <=50K
40, Private, Assoc-voc, Never-married, Prof-specialty, Not-in-family, White, Male,0,0,40, Thailand, <=50K
23, Private, HS-grad, Never-married, Sales, Not-in-family, Black, Female,0,0,40, Columbia, <=50K
44, Private, HS-grad, Married-civ-spouse, Craft-repair, Unmarried, Amer-Indian-Eskimo, Female,0,0,40, China, <=50K
29, Private, Some-college, Never-married, Exec-managerial, Unmarried, Black, Female,0,0,50, Hong, <=50K
21, Private, Some-college, Never-married, Craft-repair, Own-child, Asian-Pac-Islander, Male,0,0,20, Taiwan, <=50K
57, Local-gov, Doctorate, Divorced, Sales, Not-in-family, Asian-Pac-Islander, Male,0,0,40, Guatemala, >50K
33, State-gov, HS-grad, Divorced, Craft-repair, Not-in-family, Other, Male,0,0,40, Greece, <=50K
22, Private, HS-grad, Never-married, Other-service, Own-child, Amer-Indian-Eskimo, Female,0,0,40, Thailand, <=50K
40, Private, HS-grad, Married-civ-spouse, Prof-specialty, Unmarried, Amer-Indian-Eskimo, Female,0,0,40, Canada, <=50K
38, Self-emp-inc, HS-grad, Married-civ-spouse, Machine-op-inspct, Other-relative, White, Male,0,0,50, El-Salvador, >50K
37, Private, HS-grad, Married-civ-spouse, Other-service, Not-in-family, Other, Female,0,0,87, Taiwan, >50K
25, Private, HS-grad, Never-married, Craft-repair, Not-in-family, Other, Male,0,0,41, South, <=50K
29, Private, Masters, Never-married, Exec-managerial, Husband, White, Male,15023,0,45, Taiwan, >50K
22, Private, HS-grad, Never-married, Other-service, Husband, Other, Female,0,0,35, Scotland, <=50K
26, Private, HS-grad, Never-married, Transport-moving, Husband, White, Female,0,0,45, France, >50K
57, Local-gov, Assoc-acdm, Married-civ-spouse, Other-service, Husband, Black, Male,0,0,54, China, >50K
29, Local-gov, 12th, Divorced, Sales, Not-in-family, Black, Male,0,0,50, Jamaica, <=50K
23, Self-emp-inc, Masters, Never-married, Other-service, Wife, Other, Male,0,0,16, Thailand, <=50K
43, Private, Some-college, Never-married, Sales, Not-in-family, Amer-Indian-Eskimo, Male,0,0,40, Portugal, <=50K
56, Self-emp-not-inc, Masters, Married-civ-spouse, Exec-managerial, Husband, Amer-Indian-Eskimo, Male,0,0,60, Ireland, >50K
28, Self-emp-not-inc, Some-college, Never-married, Transport-moving, Not-in-family, White, Female,0,0,35, Thailand, <=50K
48, Private, HS-grad, Married-civ-spouse, Sales, Husband, Black, Male,0,0,45, England, <=50K
41, State-gov, Some-college, Married-civ-spouse, Craft-repair, Husband, Asian-Pac-Islander, Male,0,0,50, Haiti, >50K
44, Self-emp-not-inc, HS-grad, Separated, Adm-clerical, Wife, White, Male,5013,0,40, Taiwan, >50K
22, Self-emp-inc, HS-grad, Never-married, Craft-repair, Own-child, White, Male,0,0,40, Taiwan, <=50K
29, Without-pay, Some-college, Never-married, Prof-specialty, Husband, White, Female,0,0,40, Guatemala, <=50K
48, Private, Bachelors, Divorced, Farming-fishing, Husband, Asian-Pac-Islander, Male,0,1935,45, El-Salvador, >50K
43, Private, HS-grad, Never-married, Sales, Husband, Other, Male,0,0,43, Germany, <=50K
44, Private, Some-college, Divorced, Exec-managerial, Husband, Other, Female,5133,0,40, Puerto-Rico, <=50K
45, Private, HS-grad, Married-civ-spouse, Other-service, Not-in-family, Other, Male,0,0,40, Taiwan, <=50K
38, Private, Some-college, Separated, Exec-managerial, Not-in-family, Other, Male,0,0,45, Outlying-US(Guam-USVI-etc), <=50K
46, Private, Bachelors, Separated, Protective-serv, Husband, Asian-Pac-Islander, Male,0,0,40, Poland, <=50K
79, Self-emp-not-inc, HS-grad, Widowed, Prof-specialty, Not-in-family, Black, Male,0,0,30, Scotland, <=50K
34, Private, Some-college, Never-married, Tech-support, Unmarried, Amer-Indian-Eskimo, Male,0,0,40, Peru, <=50K
51, Private, Assoc-acdm, Widowed, Machine-op-inspct, Husband, Amer-Indian-Eskimo, Female,0,0,40, Taiwan, >50K
51, Private, HS-grad, Married-civ-spouse, Protective-serv, Not-in-family, Amer-Indian-Eskimo, Female,0,0,40, Canada, <=50K
68, Self-emp-not-inc, HS-grad, Married-civ-spouse, Handlers-cleaners, Unmarried, Black, Male,2900,0,20, Portugal, <=50K
40, Private, Bachelors, Married-civ-spouse, Adm-clerical, Husband, White, Female,0,0,50, Outlying-US(Guam-USVI-etc), <=50K
52, State-gov, HS-grad, Married-civ-spouse, Prof-specialty, Husband, Amer-Indian-Eskimo, Female,0,0,40, India, <=50K
48, Private, Masters, Never-married, Craft-repair, Husband, Asian-Pac-Islander, Female,0,0,40, Japan, <=50K
20, Private, 12th, Never-married, Other-service, Unmarried, White, Male,0,0,40, Taiwan, <=50K
37, Private, HS-grad, Never-married, Exec-managerial, Not-in-family, Amer-Indian-Eskimo, Male,7687,0,40, El-Salvador, >50K
23, State-gov, HS-grad, Never-married, Craft-repair, Own-child, White, Male,0,0,30, Honduras, <=50K
36, Private, 10th, Married-civ-spouse, Prof-specialty, Husband, Amer-Indian-Eskimo, Female,7687,0,40, Germany, >50K
42, Local-gov, HS-grad, Divorced, Transport-moving, Unmarried, Asian-Pac-Islander, Female,0,0,40, Nicaragua, >50K
32, Private, HS-grad, Married-civ-spouse, Other-service, Wife, Black, Female,0,0,40, Italy, <=50K
25, Self-emp-inc, Masters, Never-married, Handlers-cleaners, Husband, Amer-Indian-Eskimo, Female,0,0,40, Hungary, <=50K
31, Private, Bachelors, Married-civ-spouse, Transport-moving, Husband, Other, Male,0,0,50, Peru, <=50K
47, Private, Masters, Married-civ-spouse, Protective-serv, Husband, White, Male,0,0,70, Columbia, >50K
35, Private, Bachelors, Divorced, Exec-managerial, Husband, White, Male,0,0,40, Guatemala, <=50K
41, Private, Some-college, Married-civ-spouse, Prof-specialty, Husband, Asian-Pac-Islander, Male,0,0,48, United-States, <=50K
33, Private, Bachelors, Divorced, Adm-clerical, Husband, White, Male,0,0,50, Ireland, >50K
30, Local-gov, 11th, Married-civ-spouse, Exec-managerial, Husband, White, Male,4399,0,40, Hong, <=50K
18, Local-gov, 11th, Never-married, Adm-clerical, Own-child, Amer-Indian-Eskimo, Male,0,0,15, Japan, <=50K
44, Private, Some-college, Married-civ-spouse, Exec-managerial, Husband, White, Female,0,0,40, Outlying-US(Guam-USVI-etc), <=50K
17, Private, 10th, Never-married, Sales, Own-child, Amer-Indian-Eskimo, Female,0,0,20, Cuba, <=50K
20, Self-emp-not-inc, HS-grad, Never-married, Adm-clerical, Not-in-family, White, Female,0,0,40, Jamaica, <=50K
51, Self-emp-not-inc, Bachelors, Divorced, Craft-repair, Not-in-family, Other, Male,0,0,40, Haiti, <=50K
45, Private, Some-college, Divorced, Exec-managerial, Not-in-family, White, Male,0,0,65, Haiti, >50K
62, Self-emp-not-inc, HS-grad, Married-civ-spouse, Sales, Husband, Asian-Pac-Islander, Female,0,0,45, Cuba, >50K
27, Private, Masters, Married-civ-spouse, Sales, Not-in-family, Asian-Pac-Islander, Female,0,0,50, Hong, <=50K
32, Private, Bachelors, Married-civ-spouse, Other-service, Husband, Black, Female,5605,0,40, Jamaica, <=50K
58, Self-emp-not-inc, Bachelors, Married-civ-spouse, Exec-managerial, Unmarried, Amer-Indian-Eskimo, Female,0,0,50, Thailand, <=50K
58, Private, HS-grad, Divorced, Sales, Husband, Black, Female,0,0,40, Japan, <=50K
50, Self-emp-not-inc, HS-grad, Separated, Exec-managerial, Husband, Amer-Indian-Eskimo, Female,0,0,50, Outlying-US(Guam-USVI-etc), <=50K
64, Self-emp-not-inc, Some-college, Married-civ-spouse, Sales, Unmarried, Amer-Indian-Eskimo, Male,0,0,10, Taiwan, <=50K
34, Private, Bachelors, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,40, United-States, <=50K
38, Private, Masters, Married-civ-spouse, Sales, Unmarried, Asian-Pac-Islander, Male,0,0,40, India, >50K
49, Private, 7th-8th, Married-civ-spouse, Adm-clerical, Husband, White, Male,0,1887,20, Dominican-Republic, <=50K
26, Private, Some-college, Never-married, Adm-clerical, Husband, White, Male,0,0,40, Vietnam, <=50K
28, Private, Assoc-voc, Never-married, Handlers-cleaners, Own-child, Black, Female,0,0,54, Honduras, >50K
51, Self-emp-not-inc, HS-grad, Married-civ-spouse, Craft-repair, Husband, Amer-Indian-Eskimo, Male,0,0,40, Peru, <=50K
48, State-gov, HS-grad, Married-civ-spouse, Machine-op-inspct, Unmarried, White, Male,0,0,40, Italy, >50K
29, Private, 9th, Divorced, Tech-support, Unmarried, White, Male,0,0,40, Peru, <=50K
33, Private, HS-grad, Never-married, Adm-clerical, Not-in-family, Asian-Pac-Islander, Male,0,0,45, Vietnam, >50K
59, Private, Masters, Married-civ-spouse, Craft-repair, Husband, Amer-Indian-Eskimo, Male,0,1902,45, India, >50K
32, Private, HS-grad, Married-civ-spouse, Adm-clerical, Own-child, Other, Female,0,0,37, Ecuador, <=50K
44, Self-emp-inc, Masters, Never-married, Sales, Not-in-family, Other, Male,0,0,70, Portugal, >50K
42, Private, HS-grad, Widowed, Transport-moving, Unmarried, Black, Male,0,0,30, India, <=50K
63, Local-gov, 10th, Married-civ-spouse, Machine-op-inspct, Unmarried, Black, Male,0,0,40, Iran, <=50K
25, Private, HS-grad, Married-civ-spouse, Farming-fishing, Husband, Other, Male,0,0,80, South, <=50K
31, Private, Bachelors, Married-civ-spouse, Other-service, Husband, Black, Male,0,0,40, Peru, >50K
43, Private, HS-grad, Never-married, Craft-repair, Unmarried, Asian-Pac-Islander, Female,0,0,35, Mexico, <=50K
26, Self-emp-not-inc, Some-college, Never-married, Craft-repair, Own-child, Black, Female,0,0,40, Guatemala, <=50K
41, Private, Some-college, Separated, Sales, Not-in-family, White, Male,0,0,40, El-Salvador, <=50K
45, Local-gov, 1st-4th, Married-civ-spouse, Adm-clerical, Unmarried, Asian-Pac-Islander, Male,0,0,40, India, <=50K
29, Private, Bachelors, Married-civ-spouse, Prof-specialty, Husband, Black, Male,0,0,35, Mexico, <=50K
30, Private, Some-college, Never-married, Adm-clerical, Own-child, Other, Female,0,0,45, Puerto-Rico, >50K
21, Private, Some-college, Never-married, Transport-moving, Own-child, Black, Female,0,0,16, Philippines, <=50K
22, Private, Some-college, Never-married, Adm-clerical, Other-relative, Amer-Indian-Eskimo, Male,0,0,40, Taiwan, <=50K
56, Private, Some-college, Never-married, Sales, Not-in-family, Amer-Indian-Eskimo, Male,0,0,40, Japan, >50K
36, Private, Bachelors, Never-married, Handlers-cleaners, Husband, White, Female,7687,0,36, Ecuador, <=50K
18, Private, Some-college, Never-married, Prof-specialty, Own-child, Amer-Indian-Eskimo, Female,0,0,10, Peru, >50K
32, Federal-gov, Bachelors, Married-civ-spouse, Sales, Husband, White, Male,0,0,60, Taiwan, >50K
38, Private, 5th-6th, Married-civ-spouse, Adm-clerical, Husband, Asian-Pac-Islander, Male,0,0,50, Iran, <=50K
30, Private, Some-college, Never-married, Prof-specialty, Not-in-family, Asian-Pac-Islander, Female,0,0,25, Honduras, <=50K
23, Private, HS-grad, Never-married, Transport-moving, Unmarried, Black, Male,0,0,38, South, <=50K
22, Self-emp-not-inc, HS-grad, Never-married, Transport-moving, Husband, Other, Male,0,0,40, Yugoslavia, <=50K
41, Self-emp-not-inc, HS-grad, Never-married, Craft-repair, Husband, Asian-Pac-Islander, Male,0,1902,40, Canada, <=50K
54, Private, Bachelors, Divorced, Exec-managerial, Husband, Asian-Pac-Islander, Male,0,0,50, Honduras, >50K
21, Private, HS-grad, Never-married, Adm-clerical, Not-in-family, White, Female,0,0,40, Trinadad&Tobago, <=50K
24, Private, Some-college, Divorced, Sales, Not-in-family, Other, Male,0,0,40, Guatemala, <=50K
48, Private, Masters, Married-civ-spouse, Sales, Not-in-family, White, Female,0,1902,35, Columbia, <=50K
54, Private, Some-college, Married-civ-spouse, Farming-fishing, Unmarried, Black, Male,7298,0,40, Haiti, >50K
27, Private, Some-college, Married-civ-spouse, Machine-op-inspct, Husband, Other, Male,0,0,40, Yugoslavia, <=50K
33, Private, Bachelors, Separated, Adm-clerical, Other-relative, Black, Male,0,0,45, Nicaragua, <=50K
47, Private, Masters, Never-married, Farming-fishing, Husband, Amer-Indian-Eskimo, Male,0,0,60, Trinadad&Tobago, >50K
42, Private, HS-grad, Married-civ-spouse, Craft-repair, Not-in-family, Other, Female,0,0,40, Iran, <=50K
45, Self-emp-not-inc, Assoc-acdm, Never-married, Craft-repair, Husband, White, Male,0,0,50, Puerto-Rico, <=50K
47, Private, Bachelors, Married-civ-spouse, Farming-fishing, Not-in-family, Asian-Pac-Islander, Male,0,0,70, Honduras, >50K
18, Private, Bachelors, Never-married, Sales, Own-child, White, Female,0,0,11, Yugoslavia, <=50K
18, Private, Assoc-acdm, Never-married, Protective-serv, Own-child, White, Male,0,0,25, Italy, <=50K
41, Private, Some-college, Married-civ-spouse, Tech-support, Husband, White, Female,0,0,37, Cambodia, <=50K
55, Self-emp-not-inc, HS-grad, Married-civ-spouse, Sales, Husband, White, Male,0,0,40, Laos, <=50K
63, Private, 9th, Married-civ-spouse, Farming-fishing, Husband, Black, Female,0,0,25, Guatemala, <=50K
25, Local-gov, Some-college, Married-civ-spouse, Sales, Own-child, Other, Female,0,0,7, Jamaica, <=50K
68, Private, Some-college, Widowed, Tech-support, Wife, Amer-Indian-Eskimo, Male,0,0,30, Japan, <=50K
26, Private, Bachelors, Married-civ-spouse, Adm-clerical, Not-in-family, White, Male,0,0,48, Canada, <=50K
44, Private, Bachelors, Married-civ-spouse, Adm-clerical, Husband, Asian-Pac-Islander, Male,15024,0,50, Scotland, >50K
30, Private, Some-college, Never-married, Craft-repair, Wife, Asian-Pac-Islander, Female,0,0,40, South, <=50K
51, Self-emp-not-inc, HS-grad, Married-civ-spouse, Exec-managerial, Unmarried, Black, Male,0,0,54, Iran, <=50K
25, Private, 12th, Never-married, Adm-clerical, Own-child, White, Female,0,0,40, Ecuador, <=50K
63, State-gov, Some-college, Married-civ-spouse, Other-service, Husband, Black, Female,0,0,24, South, >50K
39, Private, Some-college, Married-civ-spouse, Sales, Wife, Asian-Pac-Islander, Male,0,1976,45, Yugoslavia, >50K
46, Federal-gov, Masters, Separated, Machine-op-inspct, Unmarried, Asian-Pac-Islander, Male,0,0,40, Cambodia, <=50K
42, Private, Masters, Divorced, Adm-clerical, Unmarried, Asian-Pac-Islander, Male,0,0,36, Outlying-US(Guam-USVI-etc), >50K
49, State-gov, 11th, Divorced, Craft-repair, Own-child, Other, Female,0,0,40, Jamaica, <=50K
62, Private, HS-grad, Married-civ-spouse, Other-service, Not-in-family, Other, Female,0,0,31, Germany, >50K
27, Private, 9th, Married-civ-spouse, Other-service, Wife, Other, Female,0,0,25, Italy, <=50K
52, Private, Bachelors, Married-civ-spouse, Exec-managerial, Unmarried, Black, Female,0,0,45, Nicaragua, >50K
36, Private, HS-grad, Never-married, Craft-repair, Not-in-family, Amer-Indian-Eskimo, Female,0,0,40, Iran, <=50K
39, Private, Some-college, Married-civ-spouse, Adm-clerical, Husband, White, Male,0,0,45, United-States, <=50K
36, Self-emp-inc, HS-grad, Married-civ-spouse, Transport-moving, Husband, Black, Male,0,0,50, Philippines, <=50K
35, Private, 11th, Married-civ-spouse, Other-service, Not-in-family, Black, Female,0,0,32, Ireland, <=50K
31, Private, HS-grad, Married-civ-spouse, Sales, Unmarried, White, Female,0,0,40, China, <=50K
52, Private, Bachelors, Divorced, Adm-clerical, Own-child, Black, Male,0,0,40, Greece, <=50K
18, Private, 11th, Never-married, Other-service, Own-child, Black, Male,0,0,10, Scotland, <=50K
34, Private, Assoc-voc, Never-married, Craft-repair, Husband, Asian-Pac-Islander, Male,0,0,40, South, <=50K
45, Self-emp-not-inc, Masters, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,44, India, <=50K
36, Private, Some-college, Never-married, Prof-specialty, Unmarried, Other, Male,0,0,40, Iran, <=50K
57, Private, 7th-8th, Married-civ-spouse, Handlers-cleaners, Husband, Amer-Indian-Eskimo, Female,0,0,24, Hong, <=50K
37, State-gov, HS-grad, Never-married, Handlers-cleaners, Not-in-family, Other, Male,0,0,40, Guatemala, <=50K
30, Private, Bachelors, Separated, Prof-specialty, Not-in-family, Amer-Indian-Eskimo, Male,0,0,40, India, <=50K
18, Private, 11th, Never-married, Handlers-cleaners, Own-child, Asian-Pac-Islander, Male,0,0,35, Columbia, <=50K
59, Private, Bachelors, Married-civ-spouse, Transport-moving, Not-in-family, Other, Male,0,0,40, Honduras, >50K
54, Private, 11th, Married-civ-spouse, Prof-specialty, Not-in-family, Asian-Pac-Islander, Male,0,0,20, Haiti, <=50K
19, Private, Some-college, Never-married, Other-service, Own-child, Asian-Pac-Islander, Female,0,0,30, Honduras, <=50K
33, Private, Some-college, Divorced, Craft-repair, Own-child, Other, Male,0,0,40, Greece, <=50K
39, Self-emp-not-inc, Bachelors, Married-civ-spouse, Exec-managerial, Not-in-family, Black, Male,0,0,50, Mexico, >50K
33, Private, HS-grad, Married-civ-spouse, Exec-managerial, Husband, White, Female,0,0,40, South, >50K
36, Private, Assoc-voc, Married-civ-spouse, Other-service, Not-in-family, Black, Female,0,0,50, Puerto-Rico, >50K
28, Private, Some-college, Married-civ-spouse, Craft-repair, Not-in-family, Other, Male,0,0,40, India, <=50K
30, Private, Bachelors, Separated, Craft-repair, Wife, Amer-Indian-Eskimo, Female,0,0,26, Taiwan, <=50K
61, Private, Assoc-acdm, Married-civ-spouse, Adm-clerical, Husband, Asian-Pac-Islander, Male,3292,0,35, Yugoslavia, <=50K
29, Private, Some-college, Married-civ-spouse, Craft-repair, Own-child, Asian-Pac-Islander, Female,0,0,45, Haiti, <=50K
