30, Private, HS-grad, Divorced, Adm-clerical, Wife, Amer-Indian-Eskimo, Female,0,0,34, South, <=50K
46, State-gov, HS-grad, Divorced, Adm-clerical, Not-in-family, White, Female,0,0,40, United-States, <=50K
33, Self-emp-inc, 11th, Married-civ-spouse, Tech-support, Husband, White, Male,0,0,40, United-States, <=50K
23, Private, HS-grad, Divorced, Craft-repair, Own-child, White, Female,0,0,40, United-States, <=50K
28, Private, Some-college, Divorced, Tech-support, Own-child, White, Female,0,0,40, United-States, <=50K
48, Self-emp-not-inc, Some-college, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, United-States, <=50K
27, Private, 11th, Never-married, Adm-clerical, Unmarried, White, Female,0,0,30, United-States, <=50K
42, Private, HS-grad, Divorced, Prof-specialty, Not-in-family, White, Female,0,0,36, Germany, <=50K
19, Private, Some-college, Married-civ-spouse, Exec-managerial, Own-child, White, Male,0,0,24, Yugoslavia, >50K
47, Private, Prof-school, Never-married, Other-service, Not-in-family, Black, Female,0,0,35, United-States, <=50K
41, Private, HS-grad, Married-civ-spouse, Prof-specialty, Husband, Asian-Pac-Islander, Male,7687,0,40, United-States, >50K
27, Private, HS-grad, Married-civ-spouse, Other-service, Husband, White, Male,0,0,40, United-States, <=50K
36, Private, HS-grad, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,40, United-States, >50K
40, Private, Assoc-voc, Separated, Exec-managerial, Husband, White, Male,0,0,40, United-States, <=50K
25, Federal-gov, Some-college, Never-married, Adm-clerical, Wife, White, Female,0,0,40, United-States, <=50K
29, Private, Assoc-acdm, Never-married, Adm-clerical, Husband, White, Male,2542,0,50, United-States, <=50K
47, Private, Some-college, Divorced, Prof-specialty, Not-in-family, White, Female,0,0,40, United-States, <=50K
30, Private, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,45, United-States, <=50K
36, Self-emp-not-inc, Some-college, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,45, United-States, >50K
61, Self-emp-inc, HS-grad, Married-civ-spouse, Exec-managerial, Not-in-family, White, Male,0,0,20, United-States, >50K
46, Local-gov, 5th-6th, Divorced, Adm-clerical, Unmarried, White, Female,0,0,40, Outlying-US(Guam-USVI-etc), <=50K
38, Private, Bachelors, Divorced, Adm-clerical, Wife, Other, Male,0,0,40, United-States, <=50K
60, Private, Bachelors, Married-civ-spouse, Exec-managerial, Wife, White, Male,0,0,50, United-States, >50K
29, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, United-States, <=50K
35, Self-emp-not-inc, HS-grad, Married-civ-spouse, Transport-moving, Not-in-family, White, Male,0,0,60, United-States, <=50K
46, Private, Bachelors, Married-spouse-absent, Sales, Husband, Asian-Pac-Islander, Male,0,0,40, United-States, >50K
31, Private, Assoc-acdm, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, >50K
23, Private, Assoc-voc, Never-married, Tech-support, Own-child, White, Female,0,0,40, Iran, <=50K
61, Private, Some-college, Widowed, Adm-clerical, Wife, White, Female,0,0,40, United-States, <=50K
51, Private, HS-grad, Divorced, Adm-clerical, Not-in-family, Black, Female,3414,0,40, United-States, <=50K
26, Private, HS-grad, Divorced, Craft-repair, Unmarried, White, Male,0,0,40, United-States, <=50K
20, Private, Bachelors, Divorced, Handlers-cleaners, Own-child, White, Male,0,0,30, United-States, <=50K
64, Self-emp-not-inc, 7th-8th, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, United-States, >50K
41, Private, HS-grad, Divorced, Tech-support, Not-in-family, White, Male,0,0,40, Mexico, <=50K
18, Private, HS-grad, Never-married, Adm-clerical, Own-child, Black, Female,0,0,30, Mexico, <=50K
41, Private, Some-college, Married-civ-spouse, Exec-managerial, Other-relative, White, Male,0,0,50, United-States, >50K
36, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,35, United-States, <=50K
22, Private, HS-grad, Married-civ-spouse, Tech-support, Own-child, White, Male,0,0,50, United-States, <=50K
29, State-gov, HS-grad, Divorced, Craft-repair, Other-relative, White, Male,0,0,45, United-States, <=50K
56, Private, HS-grad, Married-civ-spouse, Prof-specialty, Husband, Asian-Pac-Islander, Male,0,0,50, United-States, >50K
33, Private, HS-grad, Never-married, Prof-specialty, Unmarried, White, Female,0,0,45, Japan, <=50K
26, Private, HS-grad, Divorced, Farming-fishing, Unmarried, White, Female,0,0,25, United-States, <=50K
56, Private, Bachelors, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,7298,0,44, United-States, >50K
33, Private, HS-grad, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,45, United-States, <=50K
46, Private, Masters, Never-married, Adm-clerical, Not-in-family, White, Female,0,0,40, United-States, <=50K
26, Private, HS-grad, Never-married, Other-service, Husband, White, Male,0,0,40, United-States, <=50K
42, Self-emp-inc, Bachelors, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,60, United-States, >50K
46, Local-gov, Assoc-voc, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,50, Philippines, >50K
62, Federal-gov, 7th-8th, Divorced, Sales, Unmarried, White, Female,0,1740,20, United-States, <=50K
44, Self-emp-inc, HS-grad, Divorced, Craft-repair, Wife, White, Female,0,0,40, United-States, <=50K
19, Private, Some-college, Never-married, Sales, Own-child, White, Female,0,0,15, United-States, <=50K
55, Private, Some-college, Divorced, Adm-clerical, Unmarried, Amer-Indian-Eskimo, Female,0,0,45, United-States, <=50K
54, Self-emp-not-inc, Some-college, Never-married, Transport-moving, Not-in-family, White, Female,0,0,45, United-States, <=50K
58, Self-emp-inc, Masters, Married-civ-spouse, Sales, Husband, White, Male,0,1596,45, United-States, <=50K
34, State-gov, Some-college, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, <=50K
33, Self-emp-not-inc, HS-grad, Never-married, Craft-repair, Own-child, White, Male,0,0,61, United-States, >50K
46, Self-emp-not-inc, HS-grad, Separated, Craft-repair, Not-in-family, White, Male,0,0,40, United-States, <=50K
35, State-gov, Prof-school, Never-married, Sales, Husband, White, Male,0,0,62, United-States, <=50K
50, Private, Bachelors, Divorced, Machine-op-inspct, Husband, White, Male,0,0,50, United-States, <=50K
36, Private, HS-grad, Separated, Sales, Not-in-family, White, Female,0,0,54, United-States, <=50K
41, Private, Some-college, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,45, United-States, <=50K
46, Private, HS-grad, Divorced, Machine-op-inspct, Unmarried, White, Female,0,0,30, United-States, <=50K
25, Private, Some-college, Separated, Exec-managerial, Own-child, White, Male,0,0,40, United-States, <=50K
37, Private, HS-grad, Separated, Other-service, Not-in-family, White, Female,0,0,38, United-States, <=50K
27, Self-emp-not-inc, Some-college, Never-married, Prof-specialty, Wife, White, Male,0,0,20, United-States, <=50K
40, Private, HS-grad, Married-civ-spouse, Tech-support, Wife, White, Male,4327,0,20, United-States, <=50K
35, Private, Bachelors, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,0,0,50, United-States, >50K
24, Private, HS-grad, Married-civ-spouse, Sales, Husband, White, Male,0,0,45, Mexico, <=50K
25, Self-emp-inc, HS-grad, Married-civ-spouse, Handlers-cleaners, Own-child, White, Male,0,0,40, United-States, <=50K
23, Private, Bachelors, Never-married, Adm-clerical, Not-in-family, White, Female,0,0,40, United-States, <=50K
42, State-gov, HS-grad, Married-civ-spouse, Prof-specialty, Husband, Black, Male,0,0,40, United-States, >50K
33, Private, Masters, Married-civ-spouse, Exec-managerial, Husband, White, Male,7687,0,50, United-States, >50K
46, Federal-gov, 7th-8th, Married-civ-spouse, Other-service, Unmarried, White, Male,0,0,40, United-States, <=50K
41, Private, HS-grad, Married-civ-spouse, Exec-managerial, Husband, Black, Male,0,0,40, United-States, >50K
62, State-gov, HS-grad, Widowed, Adm-clerical, Not-in-family, White, Female,0,0,40, United-States, <=50K
20, Private, 10th, Never-married, Sales, Own-child, White, Male,0,0,70, United-States, <=50K
55, Local-gov, Prof-school, Married-civ-spouse, Transport-moving, Husband, White, Male,7298,0,50, United-States, >50K
50, Private, HS-grad, Married-civ-spouse, Other-service, Wife, White, Male,0,0,40, United-States, >50K
42, Self-emp-not-inc, Prof-school, Separated, Exec-managerial, Not-in-family, Black, Female,0,0,40, United-States, <=50K
24, Private, HS-grad, Never-married, Transport-moving, Own-child, White, Male,0,0,40, United-States, <=50K
19, Private, Some-college, Never-married, Other-service, Own-child, White, Female,0,0,40, Poland, <=50K
44, Private, Bachelors, Divorced, Handlers-cleaners, Not-in-family, White, Male,0,0,30, United-States, <=50K
39, Private, Some-college, Divorced, Prof-specialty, Husband, White, Male,0,0,50, United-States, <=50K
38, Private, Bachelors, Divorced, Adm-clerical, Unmarried, White, Female,0,0,30, United-States, >50K
47, Local-gov, 1st-4th, Married-civ-spouse, Farming-fishing, Husband, White, Male,0,0,72, United-States, <=50K
59, Federal-gov, Bachelors, Married-civ-spouse, Exec-managerial, Husband, Asian-Pac-Islander, Male,99999,0,40, United-States, >50K
37, Private, Some-college, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, United-States, <=50K
26, Private, Bachelors, Never-married, Sales, Not-in-family, White, Male,0,0,66, United-States, <=50K
22, Self-emp-not-inc, HS-grad, Never-married, Craft-repair, Husband, White, Male,0,0,40, United-States, <=50K
28, Self-emp-not-inc, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,45, United-States, >50K
26, Private, Some-college, Divorced, Adm-clerical, Own-child, White, Female,0,0,40, United-States, <=50K
41, Self-emp-not-inc, HS-grad, Never-married, Tech-support, Not-in-family, White, Female,0,0,65, United-States, <=50K
26, Private, Some-college, Never-married, Sales, Own-child, White, Male,0,0,40, United-States, <=50K
46, Private, Bachelors, Divorced, Machine-op-inspct, Not-in-family, White, Female,0,0,35, United-States, <=50K
40, Self-emp-not-inc, Bachelors, Married-civ-spouse, Exec-managerial, Husband, Asian-Pac-Islander, Male,0,0,40, United-States, <=50K
44, Self-emp-not-inc, HS-grad, Divorced, Transport-moving, Not-in-family, White, Female,0,0,99, United-States, <=50K
34, Self-emp-not-inc, HS-grad, Never-married, Exec-managerial, Husband, Asian-Pac-Islander, Male,0,0,60, United-States, <=50K
59, State-gov, Some-college, Married-civ-spouse, Sales, Husband, White, Male,0,0,40, United-States, <=50K
27, Private, Bachelors, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,40, United-States, <=50K
35, Private, HS-grad, Married-civ-spouse, Sales, Husband, White, Male,0,0,50, United-States, >50K
36, Private, Assoc-acdm, Never-married, Exec-managerial, Husband, White, Male,0,0,60, United-States, <=50K
45, Private, Some-college, Never-married, Adm-clerical, Not-in-family, White, Male,0,0,40, United-States, <=50K
40, Private, Bachelors, Married-civ-spouse, Farming-fishing, Husband, White, Male,5178,0,50, United-States, >50K
25, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, <=50K
50, State-gov, HS-grad, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,40, United-States, >50K
62, Private, 7th-8th, Divorced, Tech-support, Wife, White, Female,0,0,40, United-States, <=50K
31, Private, HS-grad, Never-married, Adm-clerical, Own-child, White, Male,0,0,40, United-States, <=50K
53, Private, Masters, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,1875,45, United-States, >50K
29, Private, Bachelors, Never-married, Craft-repair, Own-child, White, Male,0,0,50, United-States, <=50K
43, Private, HS-grad, Married-civ-spouse, Prof-specialty, Husband, White, Male,15024,0,45, United-States, >50K
62, Private, HS-grad, Never-married, Transport-moving, Not-in-family, White, Male,0,0,40, United-States, <=50K
36, Local-gov, 11th, Divorced, Machine-op-inspct, Unmarried, White, Male,0,0,45, United-States, <=50K
75, Private, Bachelors, Separated, Adm-clerical, Not-in-family, White, Female,0,0,7, United-States, <=50K
22, Private, Bachelors, Never-married, Other-service, Not-in-family, White, Male,0,0,35, United-States, >50K
37, Private, HS-grad, Never-married, Craft-repair, Unmarried, White, Female,0,0,60, United-States, <=50K
41, Self-emp-not-inc, Some-college, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, >50K
47, Private, Some-college, Married-civ-spouse, Sales, Husband, White, Male,0,0,40, United-States, <=50K
28, Local-gov, 11th, Separated, Adm-clerical, Wife, White, Male,0,0,20, United-States, <=50K
19, Private, Bachelors, Married-civ-spouse, Sales, Not-in-family, White, Male,1428,0,45, United-States, <=50K
21, Private, Some-college, Never-married, Adm-clerical, Own-child, White, Female,0,0,40, United-States, <=50K
26, Private, Some-college, Never-married, Transport-moving, Not-in-family, White, Male,0,0,40, United-States, <=50K
47, Private, Some-college, Married-civ-spouse, Exec-managerial, Husband, Amer-Indian-Eskimo, Male,0,0,64, United-States, >50K
35, Private, Some-college, Never-married, Prof-specialty, Unmarried, Black, Female,0,0,40, United-States, <=50K
33, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, United-States, <=50K
40, Private, Some-college, Married-civ-spouse, Machine-op-inspct, Husband, Other, Male,0,0,45, United-States, >50K
30, Federal-gov, Bachelors, Never-married, Prof-specialty, Not-in-family, White, Female,0,0,35, United-States, <=50K
65, Private, 5th-6th, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,30, United-States, <=50K
29, Private, Some-college, Never-married, Protective-serv, Not-in-family, White, Male,0,0,50, United-States, <=50K
20, Private, Some-college, Never-married, Transport-moving, Unmarried, White, Male,0,0,20, United-States, <=50K
28, State-gov, Bachelors, Divorced, Transport-moving, Not-in-family, White, Female,0,0,40, United-States, <=50K
17, Private, 11th, Never-married, Handlers-cleaners, Own-child, White, Male,0,0,30, Philippines, <=50K
20, Private, HS-grad, Divorced, Adm-clerical, Not-in-family, White, Female,0,0,40, United-States, <=50K
46, Private, Bachelors, Married-civ-spouse, Adm-clerical, Not-in-family, White, Male,0,0,40, United-States, <=50K
62, Private, Some-college, Divorced, Sales, Not-in-family, White, Male,0,0,35, United-States, <=50K
32, Private, Some-college, Divorced, Prof-specialty, Unmarried, White, Female,0,0,40, Mexico, <=50K
47, Private, Some-college, Married-civ-spouse, Machine-op-inspct, Own-child, White, Male,0,0,40, United-States, >50K
20, Private, Some-college, Never-married, Handlers-cleaners, Not-in-family, White, Male,0,0,40, United-States, <=50K
21, Private, HS-grad, Separated, Adm-clerical, Own-child, White, Female,0,0,40, United-States, <=50K
45, Private, HS-grad, Married-civ-spouse, Farming-fishing, Husband, White, Male,7687,0,40, United-States, >50K
61, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, <=50K
48, Self-emp-not-inc, Assoc-acdm, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,45, United-States, <=50K
22, Private, Bachelors, Never-married, Other-service, Own-child, White, Male,0,0,11, United-States, >50K
47, Private, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, Yugoslavia, <=50K
50, Private, Bachelors, Married-civ-spouse, Sales, Husband, White, Male,0,0,54, United-States, >50K
42, Self-emp-inc, Some-college, Married-civ-spouse, Sales, Husband, White, Male,15024,0,54, Columbia, >50K
45, Self-emp-not-inc, HS-grad, Divorced, Sales, Not-in-family, White, Male,0,0,45, United-States, <=50K
25, Private, Bachelors, Never-married, Farming-fishing, Not-in-family, White, Male,0,0,40, United-States, <=50K
30, Local-gov, Some-college, Married-civ-spouse, Sales, Husband, White, Male,2638,0,60, United-States, >50K
40, Private, Some-college, Separated, Sales, Wife, Other, Male,0,0,20, United-States, <=50K
30, Private, Bachelors, Married-civ-spouse, Adm-clerical, Not-in-family, White, Male,0,0,40, Germany, <=50K
44, Private, Bachelors, Divorced, Adm-clerical, Not-in-family, White, Female,15024,0,50, United-States, >50K
32, Private, Some-college, Never-married, Craft-repair, Wife, White, Male,0,0,40, United-States, <=50K
41, Private, HS-grad, Never-married, Craft-repair, Wife, White, Female,0,0,45, United-States, <=50K
25, Private, Assoc-acdm, Never-married, Adm-clerical, Unmarried, White, Female,2479,0,50, United-States, <=50K
21, State-gov, Some-college, Never-married, Handlers-cleaners, Own-child, White, Female,0,0,37, United-States, <=50K
31, Private, Some-college, Never-married, Protective-serv, Wife, White, Male,0,0,45, United-States, <=50K
45, Federal-gov, Some-college, Separated, Craft-repair, Unmarried, White, Female,0,0,40, China, <=50K
26, Private, Some-college, Married-civ-spouse, Craft-repair, Own-child, White, Male,0,0,40, United-States, >50K
36, Self-emp-not-inc, 7th-8th, Married-civ-spouse, Exec-managerial, Not-in-family, White, Male,0,2341,60, United-States, >50K
40, Private, HS-grad, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,50, United-States, >50K
45, Private, Assoc-acdm, Married-civ-spouse, Other-service, Wife, White, Male,0,0,40, United-States, <=50K
28, Private, Bachelors, Married-civ-spouse, Farming-fishing, Own-child, White, Male,0,0,60, United-States, >50K
19, Private, Masters, Never-married, Farming-fishing, Own-child, Asian-Pac-Islander, Male,0,0,30, United-States, <=50K
35, Private, Some-college, Married-civ-spouse, Adm-clerical, Husband, White, Male,0,0,20, United-States, <=50K
23, Private, HS-grad, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,40, United-States, <=50K
25, Private, 1st-4th, Never-married, Other-service, Own-child, White, Female,0,0,30, United-States, <=50K
43, Private, HS-grad, Divorced, Prof-specialty, Unmarried, White, Female,0,0,35, India, <=50K
44, Private, Bachelors, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, <=50K
59, Self-emp-inc, 9th, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,50, United-States, >50K
43, Private, Bachelors, Never-married, Adm-clerical, Not-in-family, White, Female,0,0,40, United-States, <=50K
49, Self-emp-not-inc, Prof-school, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,60, United-States, <=50K
30, Private, Some-college, Never-married, Other-service, Unmarried, White, Male,0,0,40, United-States, <=50K
56, Private, Assoc-acdm, Divorced, Adm-clerical, Not-in-family, Black, Female,0,0,40, United-States, <=50K
37, State-gov, HS-grad, Never-married, Adm-clerical, Unmarried, White, Female,0,0,35, United-States, <=50K
36, Private, Bachelors, Separated, Prof-specialty, Not-in-family, White, Male,0,0,50, United-States, <=50K
20, Private, 7th-8th, Never-married, Farming-fishing, Not-in-family, White, Male,0,1593,40, Philippines, <=50K
17, Private, 10th, Never-married, Sales, Own-child, White, Male,0,0,30, United-States, <=50K
28, Private, Assoc-acdm, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, United-States, <=50K
22, Private, Some-college, Divorced, Other-service, Not-in-family, White, Female,0,0,40, United-States, <=50K
42, Self-emp-inc, Some-college, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,50, United-States, <=50K
19, Self-emp-not-inc, Bachelors, Never-married, Handlers-cleaners, Own-child, White, Male,0,0,30, United-States, <=50K
18, Self-emp-inc, Some-college, Never-married, Other-service, Own-child, White, Male,0,0,11, United-States, >50K
19, Private, 9th, Never-married, Other-service, Own-child, White, Female,0,0,35, United-States, >50K
44, Private, Some-college, Divorced, Adm-clerical, Not-in-family, White, Female,0,0,40, United-States, <=50K
40, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,60, United-States, <=50K
21, Private, Bachelors, Never-married, Adm-clerical, Own-child, White, Male,0,0,20, United-States, <=50K
45, Self-emp-not-inc, Prof-school, Married-civ-spouse, Exec-managerial, Husband, White, Female,0,0,15, United-States, >50K
22, Private, Bachelors, Never-married, Craft-repair, Own-child, White, Male,0,0,40, United-States, <=50K
58, Private, Bachelors, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, India, >50K
17, Private, 10th, Never-married, Other-service, Own-child, White, Male,0,0,20, United-States, <=50K
52, Private, HS-grad, Divorced, Sales, Not-in-family, White, Female,0,0,40, United-States, <=50K
38, Federal-gov, HS-grad, Divorced, Other-service, Not-in-family, White, Male,0,0,40, Mexico, <=50K
45, Private, Some-college, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,40, United-States, <=50K
29, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,7687,0,50, United-States, <=50K
36, Private, Bachelors, Divorced, Machine-op-inspct, Not-in-family, White, Female,0,0,50, United-States, <=50K
34, Private, Bachelors, Never-married, Prof-specialty, Wife, White, Male,0,0,63, United-States, >50K
31, Private, HS-grad, Divorced, Tech-support, Own-child, White, Female,15024,0,40, United-States, >50K
39, Private, HS-grad, Divorced, Craft-repair, Unmarried, White, Female,0,0,40, United-States, <=50K
38, Private, HS-grad, Married-civ-spouse, Sales, Unmarried, White, Female,0,0,40, United-States, <=50K
41, Private, HS-grad, Divorced, Prof-specialty, Own-child, White, Female,0,0,50, United-States, <=50K
42, Self-emp-inc, Assoc-acdm, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,60, United-States, <=50K
33, Private, Some-college, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,60, Dominican-Republic, >50K
41, Local-gov, Bachelors, Married-civ-spouse, Adm-clerical, Wife, White, Male,7687,0,50, United-States, >50K
32, Self-emp-inc, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,99999,0,40, United-States, >50K
29, Private, Some-college, Never-married, Adm-clerical, Unmarried, White, Female,0,0,40, United-States, <=50K
24, Federal-gov, Assoc-voc, Never-married, Prof-specialty, Not-in-family, White, Female,0,0,40, United-States, <=50K
42, Private, Some-college, Married-civ-spouse, Sales, Husband, White, Male,0,1900,40, United-States, >50K
39, Private, Some-college, Divorced, Other-service, Unmarried, White, Female,0,0,20, United-States, <=50K
27, Private, HS-grad, Never-married, Priv-house-serv, Own-child, White, Male,0,0,40, United-States, <=50K
33, Self-emp-inc, HS-grad, Married-civ-spouse, Protective-serv, Husband, White, Male,0,0,50, United-States, >50K
51, Private, Some-college, Divorced, Exec-managerial, Not-in-family, White, Female,0,0,40, United-States, <=50K
39, Private, Doctorate, Married-civ-spouse, Tech-support, Husband, White, Male,7687,0,40, United-States, >50K
46, Private, Some-college, Married-civ-spouse, Prof-specialty, Own-child, White, Female,0,0,15, United-States, <=50K
