29, Private, HS-grad, Divorced, Adm-clerical, Unmarried, Asian-Pac-Islander, Female,0,0,45, United-States, <=50K
41, Private, Bachelors, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,0,0,40, United-States, >50K
58, Private, Bachelors, Divorced, Prof-specialty, Not-in-family, White, Male,22860,0,40, United-States, >50K
23, Local-gov, Assoc-voc, Married-civ-spouse, Prof-specialty, Wife, White, Male,8974,0,45, United-States, >50K
68, Local-gov, HS-grad, Widowed, Other-service, Not-in-family, White, Female,0,0,32, United-States, <=50K
29, Local-gov, Masters, Never-married, Prof-specialty, Husband, White, Male,4409,0,45, United-States, >50K
22, Private, Bachelors, Separated, Other-service, Wife, White, Male,0,0,40, United-States, <=50K
33, Private, HS-grad, Married-civ-spouse, Protective-serv, Husband, White, Male,3575,0,40, United-States, <=50K
36, Self-emp-not-inc, Masters, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,1891,50, United-States, >50K
18, Private, 11th, Never-married, Handlers-cleaners, Other-relative, White, Male,0,0,40, United-States, <=50K
43, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,30, United-States, <=50K
45, Self-emp-not-inc, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, United-States, >50K
34, Private, Some-college, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,45, United-States, >50K
59, State-gov, HS-grad, Separated, Craft-repair, Not-in-family, White, Male,0,0,35, United-States, <=50K
24, Self-emp-not-inc, 11th, Married-civ-spouse, Sales, Husband, White, Male,0,0,44, United-States, >50K
49, Private, HS-grad, Divorced, Exec-managerial, Not-in-family, White, Female,0,0,45, United-States, >50K
40, Private, Some-college, Never-married, Transport-moving, Not-in-family, White, Male,0,0,50, United-States, >50K
30, Self-emp-not-inc, Some-college, Never-married, Exec-managerial, Not-in-family, White, Female,0,0,60, United-States, <=50K
45, Private, 7th-8th, Never-married, Adm-clerical, Unmarried, White, Female,0,0,35, United-States, <=50K
30, Private, Masters, Never-married, Tech-support, Not-in-family, White, Male,0,0,40, Mexico, <=50K
55, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,32, Yugoslavia, >50K
45, Self-emp-inc, Prof-school, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,1901,40, United-States, >50K
32, Private, Some-college, Married-civ-spouse, Other-service, Husband, Black, Male,0,0,40, United-States, <=50K
21, Private, HS-grad, Never-married, Other-service, Unmarried, White, Male,0,0,40, United-States, <=50K
23, Private, Some-college, Never-married, Transport-moving, Not-in-family, White, Male,0,0,30, United-States, <=50K
41, Private, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Male,15024,0,40, United-States, >50K
35, Federal-gov, Some-college, Married-civ-spouse, Craft-repair, Other-relative, White, Male,0,0,50, United-States, <=50K
17, Private, 10th, Never-married, Adm-clerical, Own-child, White, Female,0,0,12, United-States, <=50K
24, Private, Some-college, Never-married, Sales, Not-in-family, White, Male,0,0,30, United-States, <=50K
48, Private, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,50, United-States, <=50K
27, Private, Some-college, Never-married, Adm-clerical, Unmarried, White, Female,0,0,40, United-States, <=50K
40, Private, HS-grad, Never-married, Adm-clerical, Unmarried, White, Male,880,0,40, United-States, <=50K
33, Private, 9th, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, Philippines, <=50K
31, Private, HS-grad, Divorced, Adm-clerical, Unmarried, Black, Female,0,0,40, United-States, <=50K
36, Private, Bachelors, Divorced, Exec-managerial, Wife, White, Female,0,0,50, United-States, <=50K
56, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, United-States, >50K
45, Private, Some-college, Divorced, Transport-moving, Unmarried, Black, Female,0,0,40, United-States, <=50K
44, Private, Bachelors, Married-civ-spouse, Sales, Husband, White, Male,0,0,50, United-States, >50K
20, Private, 11th, Never-married, Adm-clerical, Own-child, White, Male,0,0,30, United-States, >50K
42, Local-gov, Bachelors, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,40, Poland, <=50K
49, Self-emp-not-inc, Some-college, Never-married, Exec-managerial, Not-in-family, White, Male,0,0,50, United-States, >50K
47, Private, Masters, Divorced, Adm-clerical, Not-in-family, White, Female,0,0,45, United-States, <=50K
28, Private, Some-college, Never-married, Adm-clerical, Unmarried, White, Female,0,0,40, United-States, <=50K
38, Private, HS-grad, Divorced, Exec-managerial, Husband, White, Male,0,0,40, United-States, <=50K
61, Private, Bachelors, Married-civ-spouse, Sales, Husband, White, Male,0,0,40, United-States, <=50K
39, Private, HS-grad, Divorced, Tech-support, Not-in-family, White, Female,0,0,35, United-States, <=50K
22, Private, HS-grad, Never-married, Adm-clerical, Unmarried, Black, Female,0,0,45, Puerto-Rico, <=50K
34, Private, Some-college, Never-married, Adm-clerical, Unmarried, White, Female,0,0,48, United-States, <=50K
43, Private, Some-college, Married-civ-spouse, Exec-managerial, Not-in-family, White, Male,0,0,45, United-States, <=50K
59, Local-gov, Doctorate, Married-civ-spouse, Tech-support, Husband, White, Male,0,0,40, United-States, >50K
33, State-gov, Masters, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, United-States, >50K
31, Private, Prof-school, Married-civ-spouse, Protective-serv, Husband, Black, Male,0,0,48, United-States, >50K
31, Private, HS-grad, Married-civ-spouse, Prof-specialty, Wife, Black, Male,0,0,40, Japan, <=50K
42, Private, HS-grad, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, United-States, <=50K
36, Private, HS-grad, Divorced, Prof-specialty, Unmarried, White, Female,0,0,40, United-States, <=50K
33, Private, HS-grad, Never-married, Adm-clerical, Not-in-family, White, Female,0,0,35, United-States, <=50K
24, Self-emp-inc, Masters, Never-married, Handlers-cleaners, Not-in-family, White, Male,0,0,40, United-States, <=50K
25, Private, Bachelors, Married-spouse-absent, Prof-specialty, Husband, White, Male,0,0,40, United-States, >50K
35, Private, HS-grad, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,40, United-States, <=50K
47, Local-gov, Bachelors, Divorced, Exec-managerial, Not-in-family, White, Male,0,2183,40, United-States, <=50K
41, Federal-gov, Assoc-acdm, Married-civ-spouse, Sales, Husband, White, Male,0,0,40, United-States, <=50K
64, Self-emp-not-inc, HS-grad, Married-civ-spouse, Farming-fishing, Wife, White, Male,0,0,40, United-States, >50K
35, Local-gov, Some-college, Never-married, Prof-specialty, Not-in-family, White, Female,0,0,40, United-States, <=50K
37, Private, HS-grad, Divorced, Craft-repair, Unmarried, Amer-Indian-Eskimo, Male,0,0,40, United-States, <=50K
51, Self-emp-not-inc, Some-college, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,40, United-States, <=50K
39, Private, HS-grad, Married-civ-spouse, Tech-support, Husband, White, Male,0,0,40, United-States, <=50K
40, State-gov, Some-college, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,50, United-States, >50K
60, Self-emp-not-inc, Masters, Married-civ-spouse, Craft-repair, Not-in-family, White, Male,0,2430,60, United-States, >50K
33, Self-emp-not-inc, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,45, United-States, <=50K
40, State-gov, Some-college, Married-civ-spouse, Prof-specialty, Husband, White, Male,7687,0,45, United-States, <=50K
35, Private, Bachelors, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,60, United-States, <=50K
22, Private, HS-grad, Separated, Other-service, Own-child, White, Female,0,0,40, United-States, <=50K
61, Self-emp-inc, Some-college, Married-civ-spouse, Prof-specialty, Husband, White, Male,15024,0,20, United-States, >50K
55, Self-emp-not-inc, Masters, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, United-States, >50K
18, Private, Some-college, Never-married, Handlers-cleaners, Own-child, White, Male,0,0,15, United-States, <=50K
28, Private, Bachelors, Never-married, Sales, Not-in-family, White, Male,0,0,40, United-States, <=50K
28, Self-emp-inc, HS-grad, Never-married, Other-service, Unmarried, White, Male,0,0,40, United-States, <=50K
32, Private, Masters, Never-married, Tech-support, Unmarried, White, Male,0,1707,52, United-States, <=50K
26, Private, Bachelors, Never-married, Prof-specialty, Not-in-family, White, Female,0,0,60, United-States, <=50K
34, Private, HS-grad, Married-civ-spouse, Sales, Husband, White, Male,0,0,45, Mexico, <=50K
50, Self-emp-not-inc, Masters, Divorced, Farming-fishing, Unmarried, White, Male,0,0,45, United-States, <=50K
31, Private, Bachelors, Married-civ-spouse, Exec-managerial, Not-in-family, White, Female,0,0,8, United-States, <=50K
59, State-gov, HS-grad, Widowed, Prof-specialty, Unmarried, Black, Female,0,0,40, United-States, <=50K
64, Private, Some-college, Widowed, Exec-managerial, Not-in-family, White, Female,0,0,45, United-States, <=50K
19, Private, 11th, Never-married, Handlers-cleaners, Own-child, White, Male,0,0,44, United-States, <=50K
42, Self-emp-not-inc, Some-college, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,60, United-States, >50K
42, State-gov, Bachelors, Never-married, Exec-managerial, Husband, White, Male,0,0,60, United-States, <=50K
30, Private, 10th, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, United-States, <=50K
71, Local-gov, Masters, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,16, United-States, >50K
25, Private, Bachelors, Never-married, Prof-specialty, Wife, White, Female,0,0,40, United-States, <=50K
49, Self-emp-not-inc, Some-college, Widowed, Farming-fishing, Not-in-family, Black, Female,0,0,32, United-States, <=50K
20, Private, HS-grad, Never-married, Transport-moving, Other-relative, White, Male,0,0,48, United-States, <=50K
59, Private, HS-grad, Married-civ-spouse, Other-service, Husband, White, Male,0,0,40, United-States, >50K
40, Private, HS-grad, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, United-States, <=50K
42, Private, Some-college, Married-civ-spouse, Prof-specialty, Not-in-family, White, Male,0,0,60, United-States, <=50K
23, Private, Doctorate, Divorced, Craft-repair, Own-child, White, Male,0,0,32, United-States, >50K
51, Local-gov, Assoc-acdm, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,60, United-States, <=50K
49, Local-gov, HS-grad, Divorced, Adm-clerical, Unmarried, Black, Female,0,0,30, United-States, <=50K
34, Private, Some-college, Never-married, Handlers-cleaners, Husband, White, Male,0,0,45, United-States, <=50K
61, Private, Bachelors, Married-civ-spouse, Sales, Husband, White, Male,0,0,60, United-States, <=50K
54, State-gov, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, >50K
19, State-gov, Bachelors, Never-married, Other-service, Own-child, White, Male,0,0,11, United-States, <=50K
33, Private, Some-college, Divorced, Handlers-cleaners, Own-child, White, Female,0,0,36, United-States, <=50K
50, Self-emp-not-inc, Some-college, Never-married, Tech-support, Not-in-family, White, Female,0,0,40, United-States, <=50K
61, Local-gov, Some-college, Married-civ-spouse, Sales, Unmarried, White, Female,15024,0,38, United-States, <=50K
31, Self-emp-inc, HS-grad, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,93, United-States, <=50K
34, State-gov, Bachelors, Married-civ-spouse, Exec-managerial, Husband, Black, Male,0,0,40, United-States, <=50K
38, Private, HS-grad, Married-civ-spouse, Sales, Husband, White, Female,3427,0,45, United-States, <=50K
26, Self-emp-not-inc, Bachelors, Never-married, Prof-specialty, Not-in-family, Asian-Pac-Islander, Female,771,0,50, United-States, <=50K
17, Private, Some-college, Never-married, Sales, Own-child, White, Male,0,0,20, United-States, <=50K
58, Self-emp-inc, Bachelors, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,40, United-States, >50K
27, Private, Masters, Never-married, Sales, Not-in-family, White, Male,0,0,80, United-States, >50K
35, Private, Assoc-voc, Never-married, Exec-managerial, Husband, White, Male,0,0,50, United-States, <=50K
41, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, <=50K
24, Private, Assoc-voc, Never-married, Machine-op-inspct, Unmarried, White, Female,0,0,30, United-States, >50K
45, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, Black, Male,0,0,40, United-States, <=50K
43, State-gov, Masters, Never-married, Other-service, Unmarried, White, Male,0,0,40, United-States, >50K
24, Private, 9th, Never-married, Tech-support, Unmarried, White, Female,0,0,25, United-States, <=50K
48, Private, HS-grad, Widowed, Adm-clerical, Not-in-family, White, Female,0,2364,40, United-States, <=50K
46, Private, Some-college, Never-married, Adm-clerical, Own-child, White, Female,0,0,8, United-States, <=50K
43, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,54, United-States, >50K
21, Private, HS-grad, Never-married, Sales, Own-child, White, Male,0,0,50, United-States, <=50K
22, Private, HS-grad, Never-married, Transport-moving, Unmarried, White, Female,0,0,40, United-States, <=50K
31, Private, 11th, Married-civ-spouse, Handlers-cleaners, Not-in-family, White, Male,0,0,60, United-States, <=50K
34, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, <=50K
63, Private, Doctorate, Divorced, Other-service, Not-in-family, White, Female,0,0,40, United-States, <=50K
32, Private, HS-grad, Never-married, Craft-repair, Unmarried, Black, Female,0,0,40, United-States, <=50K
53, State-gov, Some-college, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, United-States, >50K
51, Private, Some-college, Widowed, Sales, Unmarried, White, Female,0,0,32, United-States, <=50K
38, Local-gov, Assoc-acdm, Never-married, Craft-repair, Unmarried, White, Male,5013,0,50, United-States, <=50K
47, Local-gov, Bachelors, Divorced, Prof-specialty, Not-in-family, White, Female,0,0,35, United-States, <=50K
34, Private, Some-college, Divorced, Adm-clerical, Unmarried, White, Female,0,0,40, United-States, <=50K
36, Private, Some-college, Never-married, Transport-moving, Not-in-family, White, Female,0,0,40, United-States, <=50K
62, Private, Some-college, Married-civ-spouse, Craft-repair, Husband, Amer-Indian-Eskimo, Male,0,0,35, United-States, <=50K
18, Private, Some-college, Never-married, Sales, Own-child, White, Male,0,0,40, United-States, <=50K
38, Self-emp-inc, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,1902,50, United-States, >50K
68, Private, Some-college, Never-married, Prof-specialty, Not-in-family, White, Female,24107,0,50, United-States, >50K
37, Federal-gov, Bachelors, Married-civ-spouse, Sales, Husband, White, Male,0,0,40, United-States, >50K
49, Local-gov, Assoc-voc, Never-married, Exec-managerial, Not-in-family, White, Male,0,0,45, United-States, <=50K
25, Private, Some-college, Never-married, Sales, Other-relative, White, Male,0,0,35, United-States, <=50K
32, Private, Some-college, Never-married, Transport-moving, Wife, White, Female,0,0,35, United-States, <=50K
46, State-gov, HS-grad, Divorced, Transport-moving, Not-in-family, White, Male,0,0,60, United-States, <=50K
53, Self-emp-not-inc, HS-grad, Married-spouse-absent, Craft-repair, Husband, White, Male,0,0,40, India, <=50K
28, Private, HS-grad, Divorced, Adm-clerical, Not-in-family, Black, Female,0,0,40, United-States, <=50K
37, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,35, United-States, <=50K
24, Private, Some-college, Married-civ-spouse, Tech-support, Other-relative, White, Male,0,0,40, United-States, <=50K
53, Self-emp-not-inc, Some-college, Married-civ-spouse, Sales, Husband, White, Male,0,0,54, United-States, <=50K
48, Private, Some-college, Separated, Exec-managerial, Unmarried, White, Female,0,0,35, United-States, <=50K
23, Private, Some-college, Never-married, Prof-specialty, Not-in-family, White, Male,0,0,45, United-States, <=50K
43, Private, HS-grad, Never-married, Craft-repair, Husband, White, Male,0,0,40, United-States, <=50K
57, Private, Masters, Widowed, Craft-repair, Unmarried, Black, Female,0,0,40, United-States, <=50K
36, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, <=50K
26, Self-emp-inc, Assoc-voc, Never-married, Craft-repair, Not-in-family, White, Male,0,0,54, United-States, <=50K
52, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,1968,60, United-States, >50K
74, Private, HS-grad, Married-civ-spouse, Sales, Husband, White, Male,3388,0,40, Yugoslavia, <=50K
33, Private, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, United-States, >50K
18, Private, Some-college, Never-married, Sales, Other-relative, White, Female,0,0,20, Columbia, <=50K
27, Self-emp-inc, Masters, Never-married, Sales, Husband, White, Male,13595,0,50, United-States, >50K
33, Private, Bachelors, Married-civ-spouse, Other-service, Husband, White, Male,15024,0,40, United-States, >50K
50, Local-gov, Some-college, Married-civ-spouse, Sales, Husband, White, Male,2866,0,50, United-States, >50K
49, Private, Some-college, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,45, United-States, >50K
52, Private, Bachelors, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, Mexico, >50K
35, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,7298,0,40, United-States, >50K
23, Private, Some-college, Never-married, Farming-fishing, Wife, White, Male,0,0,40, United-States, <=50K
34, Private, Some-college, Married-civ-spouse, Exec-managerial, Wife, White, Male,0,0,40, United-States, <=50K
29, Private, Assoc-acdm, Never-married, Craft-repair, Own-child, White, Male,0,0,40, United-States, <=50K
59, State-gov, Some-college, Married-spouse-absent, Other-service, Not-in-family, White, Female,0,0,37, United-States, <=50K
31, Private, Some-college, Married-civ-spouse, Sales, Own-child, White, Male,0,0,50, United-States, <=50K
40, Federal-gov, Some-college, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,40, Columbia, <=50K
57, Private, Some-college, Divorced, Adm-clerical, Unmarried, White, Female,0,0,54, United-States, <=50K
40, State-gov, Assoc-acdm, Divorced, Exec-managerial, Not-in-family, White, Female,0,0,40, United-States, <=50K
78, Private, HS-grad, Married-civ-spouse, Prof-specialty, Not-in-family, White, Female,0,0,20, United-States, >50K
42, Private, Bachelors, Married-civ-spouse, Machine-op-inspct, Wife, White, Male,0,1551,42, United-States, <=50K
23, Private, Bachelors, Never-married, Farming-fishing, Unmarried, White, Female,0,0,60, United-States, <=50K
28, Private, HS-grad, Never-married, Craft-repair, Own-child, Asian-Pac-Islander, Female,0,0,40, United-States, <=50K
28, Private, Some-college, Never-married, Adm-clerical, Not-in-family, White, Female,0,0,40, United-States, <=50K
37, Self-emp-not-inc, Bachelors, Married-civ-spouse, Tech-support, Husband, White, Male,0,0,45, United-States, >50K
18, Private, 10th, Never-married, Other-service, Own-child, White, Female,0,0,20, United-States, <=50K
39, Self-emp-inc, Masters, Married-civ-spouse, Tech-support, Husband, White, Male,0,0,50, United-States, >50K
27, Private, HS-grad, Divorced, Adm-clerical, Unmarried, White, Female,0,0,40, United-States, <=50K
53, Private, Assoc-voc, Married-spouse-absent, Exec-managerial, Husband, White, Male,0,0,40, United-States, >50K
45, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,50, United-States, <=50K
62, State-gov, Masters, Divorced, Prof-specialty, Unmarried, White, Female,0,0,5, United-States, <=50K
25, Self-emp-not-inc, Some-college, Never-married, Prof-specialty, Unmarried, White, Male,0,0,20, United-States, <=50K
24, Private, Bachelors, Married-civ-spouse, Craft-repair, Husband, Black, Female,0,1485,50, United-States, <=50K
59, State-gov, HS-grad, Widowed, Prof-specialty, Not-in-family, White, Male,0,0,35, United-States, <=50K
30, Self-emp-inc, Bachelors, Never-married, Protective-serv, Husband, White, Male,0,0,41, United-States, >50K
57, Local-gov, Assoc-voc, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,50, United-States, >50K
21, Private, HS-grad, Never-married, Tech-support, Unmarried, White, Male,0,0,40, United-States, <=50K
63, Local-gov, 9th, Married-civ-spouse, Prof-specialty, Not-in-family, White, Male,0,0,40, United-States, <=50K
24, Private, Some-college, Married-civ-spouse, Other-service, Husband, White, Male,0,0,45, United-States, <=50K
24, Private, Some-college, Never-married, Exec-managerial, Own-child, White, Male,0,0,30, United-States, <=50K
25, Self-emp-not-inc, Bachelors, Married-civ-spouse, Farming-fishing, Husband, White, Male,0,0,50, United-States, >50K
25, Private, HS-grad, Divorced, Craft-repair, Not-in-family, White, Female,0,0,40, United-States, <=50K
35, Private, HS-grad, Married-civ-spouse, Handlers-cleaners, Husband, White, Female,0,0,40, United-States, >50K
32, Self-emp-not-inc, Some-college, Never-married, Exec-managerial, Not-in-family, White, Female,0,0,40, United-States, <=50K
55, Self-emp-not-inc, Bachelors, Widowed, Prof-specialty, Wife, White, Female,0,0,10, United-States, <=50K
54, Self-emp-inc, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,65, United-States, <=50K
64, Self-emp-inc, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Female,3124,0,25, United-States, <=50K
39, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,1718,40, United-States, <=50K
26, Private, HS-grad, Separated, Adm-clerical, Own-child, White, Male,0,0,37, Mexico, <=50K
36, Private, Assoc-acdm, Never-married, Prof-specialty, Not-in-family, White, Male,0,0,38, United-States, >50K
38, Private, Masters, Never-married, Sales, Not-in-family, White, Female,0,0,55, United-States, <=50K
21, Local-gov, HS-grad, Never-married, Other-service, Other-relative, White, Male,0,0,40, United-States, <=50K
28, Private, Masters, Never-married, Prof-specialty, Not-in-family, White, Female,13800,0,40, United-States, >50K
57, Self-emp-inc, Masters, Married-civ-spouse, Exec-managerial, Husband, White, Female,8122,0,30, United-States, >50K
24, Private, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,30, United-States, <=50K
32, Private, HS-grad, Never-married, Handlers-cleaners, Wife, White, Male,0,0,48, United-States, >50K
69, Private, Masters, Divorced, Transport-moving, Not-in-family, White, Female,0,0,25, United-States, >50K
35, Private, Bachelors, Never-married, Prof-specialty, Not-in-family, White, Female,0,0,40, United-States, <=50K
41, Private, HS-grad, Married-civ-spouse, Tech-support, Husband, White, Male,0,0,40, United-States, <=50K
44, Private, HS-grad, Divorced, Machine-op-inspct, Unmarried, White, Female,0,0,60, United-States, <=50K
34, Private, Assoc-voc, Never-married, Adm-clerical, Unmarried, Black, Female,0,0,38, United-States, <=50K
37, Private, Some-college, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,42, Dominican-Republic, >50K
52, Local-gov, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,45, United-States, >50K
33, Private, HS-grad, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,1902,50, United-States, <=50K
62, Self-emp-not-inc, Masters, Widowed, Exec-managerial, Not-in-family, White, Female,0,0,40, United-States, <=50K
42, Federal-gov, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,2419,60, United-States, >50K
49, Private, Some-college, Widowed, Prof-specialty, Unmarried, White, Female,0,0,50, United-States, >50K
29, Private, HS-grad, Divorced, Farming-fishing, Husband, White, Male,0,0,40, United-States, <=50K
38, Private, Bachelors, Never-married, Prof-specialty, Not-in-family, White, Male,0,0,32, United-States, >50K
35, Private, HS-grad, Never-married, Sales, Own-child, White, Male,0,0,40, United-States, <=50K
37, Private, Some-college, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, United-States, <=50K
27, Private, HS-grad, Never-married, Tech-support, Not-in-family, White, Male,0,0,40, United-States, <=50K
27, Private, Some-college, Married-civ-spouse, Other-service, Husband, White, Male,0,0,45, United-States, <=50K
38, Self-emp-not-inc, Masters, Married-civ-spouse, Exec-managerial, Other-relative, White, Male,0,0,45, United-States, >50K
