37, Private, Bachelors, Divorced, Adm-clerical, Wife, Asian-Pac-Islander, Female,0,0,40, United-States, <=50K
39, Private, Bachelors, Divorced, Adm-clerical, Not-in-family, White, Female,0,0,50, United-States, <=50K
34, Private, HS-grad, Never-married, Craft-repair, Husband, White, Male,0,0,40, Germany, <=50K
36, Private, Bachelors, Married-spouse-absent, Prof-specialty, Not-in-family, White, Male,0,0,60, Philippines, >50K
25, State-gov, Some-college, Never-married, Exec-managerial, Own-child, White, Male,0,0,50, United-States, <=50K
17, Private, 11th, Never-married, Other-service, Own-child, White, Male,0,0,21, United-States, <=50K
21, Private, Some-college, Never-married, Sales, Own-child, Other, Female,0,0,10, United-States, <=50K
28, Self-emp-inc, Some-college, Never-married, Sales, Not-in-family, White, Male,0,0,60, United-States, <=50K
41, Private, Some-college, Divorced, Exec-managerial, Not-in-family, White, Female,0,0,40, United-States, <=50K
43, Private, HS-grad, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,40, United-States, <=50K
52, State-gov, Doctorate, Never-married, Prof-specialty, Wife, White, Male,0,0,35, United-States, <=50K
48, Private, HS-grad, Divorced, Farming-fishing, Unmarried, White, Male,0,0,65, United-States, <=50K
55, Self-emp-not-inc, HS-grad, Married-civ-spouse, Protective-serv, Husband, White, Male,0,0,40, United-States, >50K
59, Local-gov, Bachelors, Married-civ-spouse, Craft-repair, Husband, White, Male,15024,0,60, United-States, >50K
27, Private, Bachelors, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,45, United-States, <=50K
52, Private, Some-college, Married-civ-spouse, Sales, Husband, White, Male,15024,0,60, United-States, >50K
29, Private, Doctorate, Never-married, Handlers-cleaners, Not-in-family, White, Male,0,0,40, United-States, <=50K
21, Private, 12th, Never-married, Other-service, Own-child, White, Male,0,0,10, United-States, <=50K
23, Local-gov, 1st-4th, Divorced, Other-service, Unmarried, Black, Female,0,0,40, United-States, <=50K
38, Local-gov, Doctorate, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,40, United-States, <=50K
32, Federal-gov, Bachelors, Never-married, Other-service, Husband, White, Male,0,0,40, United-States, >50K
43, Private, Bachelors, Widowed, Other-service, Unmarried, White, Female,0,1109,48, United-States, <=50K
44, Self-emp-not-inc, HS-grad, Divorced, Sales, Unmarried, White, Female,0,0,44, United-States, <=50K
36, Self-emp-not-inc, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, <=50K
38, Local-gov, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,50, United-States, >50K
55, Self-emp-not-inc, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, United-States, >50K
22, Private, Assoc-voc, Never-married, Other-service, Own-child, White, Female,0,0,40, United-States, <=50K
47, Private, Some-college, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,45, United-States, >50K
31, State-gov, Doctorate, Married-civ-spouse, Exec-managerial, Husband, White, Male,5013,0,40, United-States, >50K
50, Self-emp-not-inc, 10th, Never-married, Sales, Not-in-family, White, Female,0,0,40, United-States, <=50K
36, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,7687,0,40, United-States, >50K
51, Private, Masters, Married-civ-spouse, Tech-support, Husband, White, Male,0,0,40, United-States, >50K
23, Self-emp-not-inc, Some-college, Never-married, Adm-clerical, Own-child, White, Female,0,0,30, United-States, <=50K
29, Private, 12th, Never-married, Adm-clerical, Unmarried, White, Female,0,0,36, United-States, <=50K
59, Self-emp-not-inc, HS-grad, Married-civ-spouse, Tech-support, Husband, White, Male,3030,0,15, Outlying-US(Guam-USVI-etc), <=50K
51, Private, HS-grad, Divorced, Craft-repair, Husband, White, Male,0,0,54, Yugoslavia, >50K
27, Private, Bachelors, Never-married, Prof-specialty, Own-child, White, Female,0,0,40, United-States, >50K
32, Private, Doctorate, Never-married, Prof-specialty, Not-in-family, Black, Female,0,0,45, United-States, <=50K
18, Private, Some-college, Never-married, Other-service, Own-child, White, Female,0,0,16, United-States, <=50K
47, Self-emp-inc, Masters, Married-civ-spouse, Transport-moving, Husband, White, Male,15024,0,54, United-States, >50K
54, Private, 9th, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, United-States, <=50K
28, Federal-gov, Some-college, Never-married, Adm-clerical, Wife, White, Female,0,0,40, United-States, <=50K
53, Private, Assoc-acdm, Never-married, Craft-repair, Husband, White, Male,0,0,50, United-States, >50K
46, Private, Prof-school, Married-civ-spouse, Sales, Husband, White, Male,7298,0,40, United-States, >50K
47, Private, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Male,7347,0,60, United-States, >50K
25, Self-emp-inc, Some-college, Never-married, Adm-clerical, Unmarried, Black, Female,0,0,23, United-States, <=50K
43, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, <=50K
58, Local-gov, 5th-6th, Divorced, Adm-clerical, Unmarried, Black, Female,0,0,40, United-States, <=50K
43, Private, Bachelors, Married-civ-spouse, Craft-repair, Not-in-family, White, Male,7687,0,45, United-States, >50K
41, Private, HS-grad, Divorced, Adm-clerical, Unmarried, White, Female,0,0,40, United-States, <=50K
22, Private, Bachelors, Never-married, Exec-managerial, Not-in-family, White, Male,0,0,40, United-States, <=50K
60, Self-emp-not-inc, Masters, Married-civ-spouse, Tech-support, Husband, White, Male,7687,0,60, United-States, <=50K
17, Private, 10th, Never-married, Sales, Own-child, White, Female,0,0,10, United-States, <=50K
51, Private, Assoc-acdm, Married-civ-spouse, Craft-repair, Not-in-family, White, Male,0,0,48, United-States, >50K
33, Private, HS-grad, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,40, Jamaica, <=50K
36, Private, Some-college, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, <=50K
45, Private, HS-grad, Married-civ-spouse, Adm-clerical, Not-in-family, White, Female,0,0,8, United-States, <=50K
45, Local-gov, Bachelors, Married-civ-spouse, Prof-specialty, Wife, White, Female,0,1977,36, United-States, >50K
27, Self-emp-inc, Bachelors, Divorced, Machine-op-inspct, Not-in-family, White, Female,0,0,35, United-States, <=50K
52, Self-emp-not-inc, Assoc-acdm, Married-civ-spouse, Sales, Husband, White, Male,0,0,60, United-States, <=50K
46, Private, HS-grad, Divorced, Tech-support, Not-in-family, White, Female,0,0,40, United-States, <=50K
44, Private, HS-grad, Married-civ-spouse, Craft-repair, Not-in-family, Black, Male,4501,0,40, Mexico, <=50K
53, Private, Some-college, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, United-States, >50K
34, Private, Masters, Married-civ-spouse, Exec-managerial, Own-child, White, Male,0,0,37, United-States, <=50K
38, Local-gov, Bachelors, Divorced, Tech-support, Own-child, White, Male,0,0,40, United-States, <=50K
39, State-gov, HS-grad, Divorced, Exec-managerial, Not-in-family, White, Male,0,0,40, United-States, <=50K
50, Private, Masters, Married-civ-spouse, Prof-specialty, Husband, Black, Male,0,0,40, United-States, >50K
52, Private, HS-grad, Divorced, Prof-specialty, Unmarried, Black, Female,0,0,40, Outlying-US(Guam-USVI-etc), <=50K
29, Self-emp-inc, Bachelors, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,54, United-States, >50K
34, Private, HS-grad, Married-civ-spouse, Farming-fishing, Husband, White, Male,0,0,40, United-States, <=50K
38, Private, HS-grad, Never-married, Craft-repair, Not-in-family, White, Male,0,1886,35, United-States, <=50K
35, Private, Some-college, Never-married, Adm-clerical, Not-in-family, White, Female,0,0,40, United-States, <=50K
34, Private, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,54, United-States, >50K
33, Private, Bachelors, Never-married, Sales, Not-in-family, White, Female,0,0,45, United-States, >50K
32, Local-gov, HS-grad, Divorced, Handlers-cleaners, Unmarried, White, Male,2815,0,40, Poland, <=50K
27, Local-gov, Assoc-acdm, Married-civ-spouse, Protective-serv, Husband, White, Male,0,0,45, United-States, <=50K
26, Self-emp-inc, HS-grad, Married-civ-spouse, Farming-fishing, Own-child, White, Male,0,0,40, United-States, <=50K
34, Private, Some-college, Married-civ-spouse, Tech-support, Husband, White, Male,0,0,40, United-States, <=50K
50, Self-emp-not-inc, HS-grad, Married-civ-spouse, Exec-managerial, Husband, Amer-Indian-Eskimo, Male,0,0,15, United-States, <=50K
43, State-gov, Some-college, Never-married, Transport-moving, Not-in-family, White, Female,0,0,60, United-States, >50K
27, Private, HS-grad, Never-married, Sales, Not-in-family, White, Male,4699,0,40, United-States, <=50K
28, State-gov, Some-college, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,42, United-States, <=50K
44, Self-emp-not-inc, HS-grad, Widowed, Adm-clerical, Unmarried, White, Female,0,0,40, United-States, <=50K
24, Self-emp-not-inc, Some-college, Never-married, Adm-clerical, Own-child, White, Male,0,0,40, United-States, <=50K
31, Without-pay, Some-college, Never-married, Prof-specialty, Husband, White, Male,3398,0,45, United-States, <=50K
33, Private, Assoc-voc, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,8614,0,40, United-States, >50K
20, Private, HS-grad, Never-married, Protective-serv, Not-in-family, White, Male,0,0,40, United-States, <=50K
24, Private, Some-college, Never-married, Other-service, Own-child, White, Female,0,0,15, United-States, <=50K
25, Private, HS-grad, Never-married, Machine-op-inspct, Own-child, White, Male,0,0,40, United-States, <=50K
41, Private, HS-grad, Separated, Craft-repair, Own-child, White, Male,0,0,40, United-States, <=50K
45, Private, Bachelors, Married-civ-spouse, Sales, Husband, White, Male,0,0,45, United-States, >50K
32, Self-emp-not-inc, Prof-school, Never-married, Other-service, Own-child, White, Male,0,0,40, United-States, <=50K
19, Private, Some-college, Never-married, Sales, Own-child, White, Male,0,0,20, United-States, <=50K
23, Private, Bachelors, Never-married, Handlers-cleaners, Own-child, White, Male,0,1724,54, United-States, <=50K
31, Private, HS-grad, Never-married, Sales, Own-child, Black, Male,0,0,50, Mexico, <=50K
44, Self-emp-not-inc, HS-grad, Divorced, Exec-managerial, Unmarried, White, Female,0,0,50, United-States, <=50K
53, Private, Bachelors, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,35, United-States, <=50K
34, State-gov, Doctorate, Married-civ-spouse, Sales, Husband, White, Male,0,0,60, United-States, >50K
18, Private, Some-college, Never-married, Handlers-cleaners, Own-child, White, Male,0,0,20, United-States, <=50K
21, Private, HS-grad, Never-married, Other-service, Unmarried, White, Male,0,0,40, United-States, <=50K
42, Self-emp-inc, HS-grad, Married-civ-spouse, Craft-repair, Husband, Black, Male,0,0,40, United-States, >50K
24, State-gov, HS-grad, Never-married, Exec-managerial, Own-child, White, Male,0,0,40, United-States, <=50K
61, Private, 10th, Married-civ-spouse, Protective-serv, Husband, White, Male,0,0,10, United-States, <=50K
31, Local-gov, Bachelors, Divorced, Tech-support, Unmarried, White, Female,0,0,40, United-States, >50K
45, Private, HS-grad, Divorced, Other-service, Unmarried, Black, Female,0,0,40, United-States, <=50K
26, Self-emp-not-inc, Masters, Never-married, Prof-specialty, Not-in-family, Black, Female,0,0,45, United-States, <=50K
29, Private, Bachelors, Never-married, Transport-moving, Not-in-family, White, Male,0,0,42, United-States, <=50K
46, Private, Masters, Divorced, Other-service, Unmarried, White, Female,0,0,40, United-States, <=50K
21, Private, HS-grad, Never-married, Handlers-cleaners, Own-child, White, Male,0,0,40, United-States, <=50K
38, Private, Some-college, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, United-States, <=50K
64, Self-emp-inc, Doctorate, Divorced, Exec-managerial, Husband, White, Male,0,2315,74, United-States, >50K
35, Federal-gov, 12th, Divorced, Craft-repair, Unmarried, White, Female,0,0,40, United-States, <=50K
33, Federal-gov, Bachelors, Married-civ-spouse, Exec-managerial, Not-in-family, White, Male,0,0,40, United-States, >50K
49, Private, Some-college, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,1902,60, United-States, <=50K
27, Private, Assoc-voc, Never-married, Protective-serv, Own-child, White, Male,0,0,45, United-States, <=50K
31, State-gov, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, <=50K
53, Self-emp-not-inc, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,60, United-States, >50K
31, Private, Some-college, Divorced, Exec-managerial, Unmarried, White, Female,0,0,40, United-States, <=50K
46, Self-emp-not-inc, HS-grad, Married-civ-spouse, Sales, Husband, White, Male,7298,0,45, United-States, >50K
45, Private, HS-grad, Married-civ-spouse, Sales, Husband, White, Male,0,0,40, United-States, <=50K
47, Private, HS-grad, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,40, United-States, <=50K
26, Self-emp-not-inc, Bachelors, Married-civ-spouse, Exec-managerial, Wife, Other, Female,11888,0,45, United-States, >50K
52, Private, HS-grad, Married-civ-spouse, Sales, Husband, White, Male,0,0,40, United-States, <=50K
25, Self-emp-not-inc, HS-grad, Never-married, Craft-repair, Not-in-family, Asian-Pac-Islander, Female,0,1974,50, United-States, <=50K
65, State-gov, Some-college, Married-civ-spouse, Sales, Husband, White, Male,0,0,30, United-States, <=50K
47, Private, HS-grad, Divorced, Other-service, Other-relative, White, Female,0,0,40, United-States, <=50K
19, Private, Some-college, Never-married, Sales, Own-child, White, Female,0,0,20, United-States, <=50K
38, Private, 9th, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, <=50K
60, Private, Some-college, Married-civ-spouse, Craft-repair, Husband, White, Male,7687,0,40, United-States, <=50K
34, Private, Assoc-voc, Never-married, Farming-fishing, Husband, White, Male,5178,0,91, United-States, >50K
44, Self-emp-not-inc, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,50, United-States, >50K
53, State-gov, Bachelors, Married-civ-spouse, Prof-specialty, Own-child, White, Male,0,0,40, United-States, >50K
35, Private, 9th, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,40, United-States, >50K
53, Private, HS-grad, Married-spouse-absent, Craft-repair, Husband, White, Male,3985,0,40, United-States, <=50K
46, Private, HS-grad, Divorced, Adm-clerical, Unmarried, Black, Female,0,0,38, United-States, <=50K
31, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,887,45, United-States, >50K
37, Private, HS-grad, Married-spouse-absent, Other-service, Husband, White, Male,0,0,40, United-States, >50K
30, Private, Bachelors, Never-married, Tech-support, Wife, White, Female,0,0,40, United-States, >50K
24, Private, 10th, Married-civ-spouse, Farming-fishing, Husband, White, Male,0,0,40, United-States, <=50K
42, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, United-States, >50K
50, Private, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, United-States, >50K
50, Self-emp-not-inc, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,45, United-States, >50K
75, State-gov, Some-college, Widowed, Exec-managerial, Unmarried, White, Female,0,0,12, United-States, <=50K
28, Private, Some-college, Never-married, Tech-support, Not-in-family, White, Male,0,0,40, United-States, <=50K
27, Private, 11th, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, <=50K
27, Private, HS-grad, Married-civ-spouse, Protective-serv, Not-in-family, White, Male,0,0,48, United-States, <=50K
43, Local-gov, Prof-school, Never-married, Adm-clerical, Wife, White, Female,3949,0,15, United-States, >50K
31, Private, Some-college, Never-married, Transport-moving, Own-child, White, Female,0,0,11, United-States, <=50K
46, Private, Some-college, Married-civ-spouse, Craft-repair, Husband, Amer-Indian-Eskimo, Male,0,0,52, United-States, >50K
64, Private, Some-college, Married-civ-spouse, Sales, Husband, White, Male,0,0,40, United-States, >50K
47, Private, HS-grad, Never-married, Farming-fishing, Not-in-family, White, Female,0,0,40, United-States, <=50K
53, Private, Some-college, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,7738,0,70, United-States, >50K
45, Federal-gov, Bachelors, Married-civ-spouse, Sales, Husband, White, Male,0,0,75, United-States, >50K
17, Private, 10th, Never-married, Craft-repair, Own-child, White, Male,0,0,20, United-States, <=50K
65, Private, Some-college, Married-civ-spouse, Protective-serv, Husband, White, Male,10532,0,40, United-States, >50K
21, Private, HS-grad, Never-married, Transport-moving, Own-child, White, Male,0,0,60, United-States, <=50K
44, State-gov, Bachelors, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,50, United-States, >50K
31, Self-emp-not-inc, Bachelors, Separated, Craft-repair, Not-in-family, White, Female,0,0,40, Japan, <=50K
30, Private, Bachelors, Divorced, Exec-managerial, Husband, White, Male,0,0,40, United-States, >50K
42, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,60, United-States, <=50K
29, Private, Some-college, Divorced, Sales, Own-child, White, Female,0,0,50, United-States, <=50K
47, Self-emp-inc, HS-grad, Married-civ-spouse, Sales, Husband, White, Male,0,0,48, United-States, <=50K
39, Private, Some-college, Never-married, Prof-specialty, Unmarried, White, Female,12690,0,54, United-States, >50K
40, Private, Some-college, Married-civ-spouse, Other-service, Not-in-family, White, Male,0,0,30, United-States, <=50K
40, Private, Bachelors, Separated, Adm-clerical, Unmarried, White, Female,0,0,70, United-States, <=50K
38, Private, HS-grad, Separated, Farming-fishing, Not-in-family, White, Male,0,0,40, United-States, <=50K
46, Private, HS-grad, Married-civ-spouse, Exec-managerial, Not-in-family, White, Female,0,0,35, United-States, <=50K
46, Self-emp-not-inc, Assoc-voc, Widowed, Adm-clerical, Unmarried, White, Male,6557,0,40, United-States, <=50K
52, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,60, United-States, >50K
24, Private, Bachelors, Never-married, Prof-specialty, Own-child, White, Female,0,0,35, Yugoslavia, <=50K
34, Private, HS-grad, Never-married, Other-service, Own-child, White, Male,0,0,40, United-States, <=50K
42, Private, Some-college, Married-civ-spouse, Tech-support, Not-in-family, White, Male,0,0,40, China, <=50K
30, Private, HS-grad, Never-married, Sales, Not-in-family, White, Male,0,1865,40, United-States, <=50K
30, Private, Bachelors, Never-married, Craft-repair, Not-in-family, White, Female,0,0,40, United-States, <=50K
42, Federal-gov, Some-college, Divorced, Sales, Not-in-family, White, Male,0,0,65, United-States, >50K
19, Private, Some-college, Never-married, Sales, Own-child, White, Male,0,0,40, United-States, <=50K
27, Private, Assoc-voc, Divorced, Adm-clerical, Not-in-family, White, Female,5013,0,35, Mexico, >50K
31, Private, Bachelors, Never-married, Adm-clerical, Not-in-family, White, Female,0,0,40, United-States, <=50K
19, Private, Some-college, Never-married, Exec-managerial, Own-child, White, Male,0,0,50, United-States, <=50K
24, Private, HS-grad, Married-civ-spouse, Craft-repair, Own-child, White, Male,0,0,50, United-States, <=50K
25, Private, 11th, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,45, United-States, >50K
24, State-gov, HS-grad, Never-married, Machine-op-inspct, Not-in-family, White, Male,0,0,40, United-States, <=50K
31, Private, Some-college, Never-married, Protective-serv, Unmarried, White, Male,0,0,45, United-States, <=50K
58, Federal-gov, Some-college, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,0,0,40, Columbia, <=50K
32, Private, Masters, Married-civ-spouse, Exec-managerial, Wife, White, Male,0,0,50, United-States, >50K
65, State-gov, 10th, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,8, United-States, >50K
55, Private, HS-grad, Married-civ-spouse, Other-service, Husband, White, Male,0,0,17, United-States, <=50K
35, Private, Assoc-voc, Divorced, Other-service, Wife, White, Female,0,0,40, United-States, <=50K
32, Private, Doctorate, Married-civ-spouse, Exec-managerial, Unmarried, White, Male,0,0,54, United-States, <=50K
30, Private, HS-grad, Never-married, Farming-fishing, Own-child, Asian-Pac-Islander, Female,0,0,30, United-States, <=50K
20, Private, Some-college, Never-married, Adm-clerical, Own-child, White, Male,0,0,32, United-States, <=50K
38, Self-emp-not-inc, HS-grad, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,45, United-States, <=50K
68, Private, 11th, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,2235,12, United-States, >50K
47, Self-emp-inc, Doctorate, Married-civ-spouse, Sales, Husband, White, Female,0,0,60, United-States, >50K
38, Private, Bachelors, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, >50K
51, Private, Assoc-acdm, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, United-States, >50K
20, Private, Bachelors, Never-married, Craft-repair, Own-child, White, Female,0,0,40, United-States, <=50K
38, Self-emp-not-inc, Prof-school, Married-civ-spouse, Protective-serv, Husband, White, Male,0,0,60, United-States, <=50K
27, Private, Some-college, Never-married, Prof-specialty, Own-child, White, Male,0,0,24, United-States, <=50K
29, Private, Assoc-acdm, Married-civ-spouse, Farming-fishing, Husband, White, Female,0,0,37, United-States, <=50K
20, State-gov, HS-grad, Never-married, Other-service, Own-child, White, Male,0,0,30, United-States, <=50K
23, Private, HS-grad, Never-married, Other-service, Husband, White, Male,0,0,50, United-States, <=50K
37, Private, 12th, Divorced, Machine-op-inspct, Not-in-family, White, Female,0,0,15, United-States, <=50K
42, Private, Bachelors, Divorced, Tech-support, Unmarried, White, Female,0,0,38, United-States, <=50K
21, Private, 11th, Never-married, Sales, Own-child, White, Male,0,0,50, United-States, <=50K
42, Local-gov, Some-college, Divorced, Prof-specialty, Not-in-family, White, Female,0,0,60, United-States, <=50K
58, Self-emp-not-inc, Some-college, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,50, United-States, >50K
46, Self-emp-not-inc, HS-grad, Divorced, Exec-managerial, Not-in-family, White, Male,0,0,53, United-States, <=50K
35, Self-emp-not-inc, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,48, United-States, >50K
28, Private, HS-grad, Never-married, Other-service, Unmarried, Black, Female,0,0,40, United-States, <=50K
47, Self-emp-not-inc, Some-college, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,50, United-States, >50K
34, Private, HS-grad, Separated, Craft-repair, Unmarried, Black, Male,0,0,54, United-States, <=50K
43, Private, Assoc-voc, Divorced, Adm-clerical, Not-in-family, White, Female,0,0,45, United-States, <=50K
50, Self-emp-inc, Prof-school, Married-civ-spouse, Exec-managerial, Husband, White, Female,99999,0,70, United-States, >50K
40, Self-emp-inc, HS-grad, Divorced, Farming-fishing, Not-in-family, White, Male,0,0,99, United-States, <=50K
21, Private, HS-grad, Never-married, Adm-clerical, Own-child, White, Male,0,0,40, Mexico, <=50K
60, Private, 10th, Married-civ-spouse, Farming-fishing, Husband, White, Male,0,0,40, United-States, <=50K
28, Private, Bachelors, Married-civ-spouse, Tech-support, Husband, White, Male,0,0,50, United-States, >50K
36, Federal-gov, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,1900,45, United-States, >50K
24, Private, Masters, Never-married, Sales, Own-child, White, Female,0,0,50, United-States, <=50K
28, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,50, United-States, <=50K
38, Self-emp-inc, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,50, United-States, >50K
25, Private, HS-grad, Married-civ-spouse, Handlers-cleaners, Own-child, White, Male,0,0,40, United-States, >50K
33, Private, Some-college, Divorced, Tech-support, Wife, White, Female,0,0,15, United-States, <=50K
45, Private, HS-grad, Never-married, Machine-op-inspct, Not-in-family, White, Male,7687,0,40, United-States, >50K
46, Private, HS-grad, Divorced, Sales, Own-child, White, Male,0,0,40, United-States, <=50K
19, Private, HS-grad, Never-married, Other-service, Own-child, White, Male,0,0,25, United-States, <=50K
30, Private, Assoc-acdm, Never-married, Craft-repair, Not-in-family, White, Male,0,0,45, United-States, <=50K
66, Self-emp-not-inc, Some-college, Married-civ-spouse, Exec-managerial, Husband, White, Female,0,0,2, Dominican-Republic, <=50K
37, Local-gov, Bachelors, Married-civ-spouse, Craft-repair, Husband, White, Male,0,1902,40, United-States, >50K
34, Private, Bachelors, Never-married, Exec-managerial, Not-in-family, White, Female,0,0,40, United-States, <=50K
36, Self-emp-not-inc, Masters, Never-married, Farming-fishing, Own-child, White, Male,0,0,40, United-States, <=50K
34, Federal-gov, HS-grad, Never-married, Other-service, Husband, White, Male,0,0,40, United-States, <=50K
38, Private, Some-college, Married-civ-spouse, Sales, Not-in-family, White, Male,15024,0,50, United-States, >50K
39, Private, Some-college, Divorced, Farming-fishing, Husband, White, Male,0,0,50, United-States, <=50K
58, Self-emp-inc, HS-grad, Married-civ-spouse, Sales, Husband, White, Male,0,0,70, United-States, <=50K
20, Private, HS-grad, Never-married, Protective-serv, Own-child, White, Male,0,0,40, United-States, <=50K
55, Local-gov, Some-college, Divorced, Handlers-cleaners, Not-in-family, White, Female,0,0,40, United-States, <=50K
54, Private, Doctorate, Married-civ-spouse, Sales, Not-in-family, White, Male,0,2186,40, United-States, >50K
32, Private, Some-college, Married-civ-spouse, Protective-serv, Not-in-family, White, Male,0,0,80, United-States, <=50K
