25, Private, Bachelors, Never-married, Craft-repair, Own-child, Amer-Indian-Eskimo, Male,7687,0,50, United-States, >50K
42, Private, Some-college, Separated, Exec-managerial, Wife, Amer-Indian-Eskimo, Female,0,0,25, United-States, >50K
41, Private, Some-college, Married-civ-spouse, Transport-moving, Husband, Other, Male,0,0,50, United-States, >50K
27, Private, Bachelors, Never-married, Other-service, Own-child, White, Female,0,0,40, United-States, <=50K
48, Private, Some-college, Married-civ-spouse, Other-service, Husband, Black, Male,0,0,40, United-States, >50K
60, Federal-gov, HS-grad, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,60, United-States, >50K
25, Private, Assoc-acdm, Never-married, Adm-clerical, Not-in-family, White, Male,0,0,40, United-States, <=50K
51, Private, Some-college, Separated, Prof-specialty, Unmarried, White, Female,0,0,15, United-States, <=50K
46, Private, Bachelors, Married-civ-spouse, Transport-moving, Wife, White, Male,0,0,45, United-States, <=50K
35, Self-emp-not-inc, HS-grad, Never-married, Transport-moving, Not-in-family, White, Male,0,0,40, United-States, <=50K
53, Self-emp-not-inc, Masters, Married-civ-spouse, Exec-managerial, Husband, White, Male,15024,0,65, France, >50K
42, Private, HS-grad, Divorced, Exec-managerial, Husband, White, Male,7687,0,50, United-States, >50K
41, Private, Bachelors, Never-married, Exec-managerial, Not-in-family, White, Male,0,0,40, United-States, <=50K
46, Private, Some-college, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,65, United-States, <=50K
44, Self-emp-inc, Some-college, Married-civ-spouse, Tech-support, Husband, White, Male,0,0,45, Mexico, <=50K
24, Private, Some-college, Married-civ-spouse, Handlers-cleaners, Own-child, White, Male,0,0,40, United-States, <=50K
61, Private, Some-college, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, United-States, <=50K
37, Private, HS-grad, Separated, Craft-repair, Not-in-family, White, Male,0,0,35, United-States, <=50K
45, Private, Some-college, Never-married, Other-service, Husband, White, Male,0,0,10, United-States, <=50K
47, Private, HS-grad, Divorced, Adm-clerical, Not-in-family, White, Female,0,0,40, United-States, <=50K
24, Private, Bachelors, Never-married, Craft-repair, Husband, White, Male,0,0,46, United-States, <=50K
32, Private, Bachelors, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,0,0,64, United-States, >50K
28, Private, Masters, Never-married, Sales, Own-child, White, Female,0,0,36, Yugoslavia, <=50K
31, Private, HS-grad, Divorced, Sales, Not-in-family, White, Male,0,0,40, United-States, <=50K
21, Private, Some-college, Never-married, Sales, Other-relative, White, Male,0,0,20, Canada, <=50K
23, Private, HS-grad, Married-civ-spouse, Sales, Husband, White, Male,0,0,38, United-States, <=50K
45, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,1887,40, United-States, >50K
47, Federal-gov, Some-college, Married-civ-spouse, Sales, Husband, White, Male,0,0,40, United-States, >50K
40, Local-gov, Some-college, Separated, Sales, Wife, Black, Male,0,0,30, United-States, <=50K
27, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,45, France, <=50K
38, Private, HS-grad, Never-married, Adm-clerical, Not-in-family, White, Male,0,0,40, United-States, <=50K
27, Private, Some-college, Divorced, Adm-clerical, Unmarried, Black, Female,0,0,40, United-States, <=50K
67, Private, HS-grad, Widowed, Exec-managerial, Unmarried, White, Female,0,0,40, United-States, <=50K
61, Local-gov, 7th-8th, Widowed, Adm-clerical, Unmarried, White, Female,0,0,40, United-States, <=50K
42, Self-emp-not-inc, Some-college, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,60, United-States, >50K
17, Private, Some-college, Never-married, Sales, Own-child, White, Male,0,0,24, United-States, <=50K
29, Federal-gov, HS-grad, Never-married, Handlers-cleaners, Not-in-family, White, Male,0,0,40, China, <=50K
20, Private, HS-grad, Never-married, Adm-clerical, Own-child, White, Male,0,0,30, United-States, >50K
32, Self-emp-not-inc, 9th, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, <=50K
39, Private, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,45, United-States, >50K
45, Private, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Male,7298,0,54, United-States, <=50K
47, Private, Bachelors, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,50, United-States, >50K
64, Local-gov, HS-grad, Married-civ-spouse, Farming-fishing, Husband, Amer-Indian-Eskimo, Male,0,0,20, United-States, <=50K
50, Private, Some-college, Divorced, Adm-clerical, Not-in-family, White, Female,0,0,40, United-States, <=50K
35, Private, HS-grad, Never-married, Transport-moving, Not-in-family, White, Male,0,0,50, United-States, <=50K
40, Private, Assoc-acdm, Married-civ-spouse, Other-service, Not-in-family, White, Male,0,0,40, United-States, <=50K
50, Private, HS-grad, Married-civ-spouse, Tech-support, Husband, White, Female,4747,0,40, Italy, >50K
27, Private, Bachelors, Never-married, Adm-clerical, Own-child, White, Female,0,0,40, United-States, <=50K
56, Private, Assoc-voc, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,45, United-States, >50K
40, Local-gov, Bachelors, Never-married, Adm-clerical, Unmarried, Black, Female,0,0,45, United-States, <=50K
21, Private, HS-grad, Never-married, Other-service, Not-in-family, White, Male,0,0,50, United-States, <=50K
19, Self-emp-inc, Some-college, Never-married, Sales, Own-child, White, Male,0,0,35, United-States, <=50K
40, Private, Assoc-voc, Divorced, Adm-clerical, Own-child, Black, Female,0,0,40, United-States, <=50K
42, Self-emp-not-inc, HS-grad, Never-married, Machine-op-inspct, Not-in-family, White, Male,0,0,60, United-States, <=50K
31, Private, Bachelors, Separated, Prof-specialty, Not-in-family, Black, Female,0,0,50, United-States, <=50K
31, Private, Bachelors, Married-civ-spouse, Farming-fishing, Husband, White, Male,0,2121,54, Portugal, >50K
58, Private, Masters, Married-civ-spouse, Tech-support, Wife, White, Male,0,0,30, United-States, >50K
27, Private, Assoc-acdm, Never-married, Prof-specialty, Not-in-family, White, Male,0,0,50, United-States, <=50K
34, Private, Some-college, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,1887,40, United-States, >50K
32, Private, Some-college, Divorced, Craft-repair, Not-in-family, White, Male,2174,0,45, United-States, <=50K
73, Self-emp-not-inc, Bachelors, Married-civ-spouse, Other-service, Husband, White, Male,0,0,6, United-States, <=50K
52, Self-emp-not-inc, HS-grad, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,48, United-States, >50K
48, Private, Assoc-voc, Never-married, Machine-op-inspct, Not-in-family, White, Female,0,0,40, United-States, <=50K
27, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,1848,30, United-States, <=50K
22, Private, HS-grad, Never-married, Craft-repair, Own-child, White, Male,0,0,50, United-States, <=50K
43, Private, Bachelors, Divorced, Craft-repair, Not-in-family, White, Male,0,0,40, United-States, <=50K
45, Private, Masters, Never-married, Exec-managerial, Not-in-family, White, Female,0,0,40, United-States, <=50K
40, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, United-States, >50K
35, Private, HS-grad, Separated, Adm-clerical, Unmarried, White, Female,0,0,40, Greece, <=50K
47, Private, 7th-8th, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,60, United-States, >50K
67, Private, HS-grad, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,40, United-States, <=50K
22, Local-gov, Some-college, Married-civ-spouse, Other-service, Husband, White, Male,0,0,40, Mexico, <=50K
24, Private, Some-college, Never-married, Sales, Unmarried, Black, Female,0,0,40, United-States, <=50K
67, Private, Prof-school, Married-civ-spouse, Craft-repair, Husband, White, Female,0,0,35, United-States, <=50K
35, Self-emp-inc, Bachelors, Married-civ-spouse, Prof-specialty, Own-child, White, Male,0,0,40, United-States, >50K
44, Private, HS-grad, Divorced, Other-service, Unmarried, White, Female,0,0,30, United-States, <=50K
35, Private, HS-grad, Divorced, Transport-moving, Unmarried, White, Female,0,0,45, United-States, <=50K
49, Self-emp-inc, Prof-school, Married-civ-spouse, Prof-specialty, Own-child, White, Female,99999,0,35, United-States, >50K
48, Private, Bachelors, Married-civ-spouse, Sales, Husband, White, Male,0,0,41, United-States, >50K
59, Self-emp-not-inc, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,36, United-States, >50K
61, Self-emp-inc, Assoc-voc, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,1902,40, United-States, >50K
31, Private, Some-college, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, Columbia, >50K
50, Private, HS-grad, Married-civ-spouse, Craft-repair, Not-in-family, White, Male,0,0,80, United-States, <=50K
49, Private, HS-grad, Never-married, Craft-repair, Not-in-family, Other, Female,0,0,40, United-States, <=50K
35, Self-emp-inc, Some-college, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,1887,40, United-States, >50K
35, Federal-gov, Bachelors, Never-married, Prof-specialty, Not-in-family, White, Female,0,1599,38, United-States, <=50K
31, Private, Some-college, Never-married, Sales, Wife, White, Male,0,0,40, United-States, <=50K
53, Self-emp-inc, Some-college, Divorced, Other-service, Unmarried, Black, Female,0,0,15, Philippines, <=50K
27, Private, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,50, United-States, >50K
20, Private, HS-grad, Never-married, Sales, Own-child, White, Male,0,0,45, United-States, <=50K
34, Private, HS-grad, Never-married, Handlers-cleaners, Not-in-family, White, Male,0,0,40, United-States, <=50K
20, Private, Some-college, Never-married, Transport-moving, Own-child, White, Male,0,0,40, United-States, <=50K
64, Private, Some-college, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, United-States, <=50K
