36, Self-emp-not-inc, HS-grad, Divorced, Adm-clerical, Wife, Amer-Indian-Eskimo, Female,0,0,40, Cuba, <=50K
58, Local-gov, Bachelors, Married-civ-spouse, Craft-repair, Husband, Other, Male,15024,0,60, Japan, >50K
27, Private, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,45, Japan, <=50K
52, Private, Some-college, Married-civ-spouse, Sales, Husband, Amer-Indian-Eskimo, Male,15024,0,60, France, >50K
29, Private, Bachelors, Never-married, Handlers-cleaners, Not-in-family, White, Female,0,0,40, Laos, <=50K
21, Private, 12th, Never-married, Other-service, Own-child, Black, Male,0,0,10, Poland, <=50K
23, Local-gov, 12th, Divorced, Other-service, Unmarried, Asian-Pac-Islander, Male,0,0,40, England, <=50K
38, Local-gov, HS-grad, Married-civ-spouse, Machine-op-inspct, Husband, Black, Female,0,0,40, Hong, <=50K
32, Federal-gov, HS-grad, Never-married, Other-service, Husband, Amer-Indian-Eskimo, Male,0,0,40, Mexico, >50K
44, Private, Bachelors, Widowed, Machine-op-inspct, Unmarried, Black, Female,0,1586,47, Jamaica, <=50K
43, Self-emp-not-inc, HS-grad, Divorced, Prof-specialty, Unmarried, Asian-Pac-Islander, Female,0,0,45, Honduras, <=50K
35, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, Black, Male,0,0,40, Yugoslavia, <=50K
38, Local-gov, Bachelors, Married-civ-spouse, Exec-managerial, Husband, Other, Male,0,0,50, Cuba, >50K
55, Self-emp-not-inc, Bachelors, Married-civ-spouse, Exec-managerial, Husband, Black, Male,0,0,40, Ecuador, >50K
21, Private, Assoc-voc, Never-married, Other-service, Own-child, Asian-Pac-Islander, Female,0,0,40, India, <=50K
46, Private, Some-college, Married-civ-spouse, Prof-specialty, Husband, Other, Female,0,0,45, Outlying-US(Guam-USVI-etc), >50K
30, State-gov, HS-grad, Married-civ-spouse, Exec-managerial, Husband, Black, Male,3694,0,40, Cuba, >50K
49, State-gov, 10th, Never-married, Sales, Not-in-family, Other, Female,0,0,40, Italy, <=50K
35, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, Amer-Indian-Eskimo, Female,7687,0,40, Japan, >50K
51, Private, Prof-school, Married-civ-spouse, Tech-support, Husband, White, Male,0,0,40, Taiwan, >50K
23, Private, Some-college, Never-married, Craft-repair, Own-child, Black, Female,0,0,30, Thailand, <=50K
29, Private, 11th, Never-married, Adm-clerical, Not-in-family, Other, Female,0,0,37, Ecuador, <=50K
56, Self-emp-not-inc, HS-grad, Married-civ-spouse, Tech-support, Husband, Asian-Pac-Islander, Male,2345,0,15, Canada, >50K
50, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, Other, Male,0,0,54, Yugoslavia, >50K
27, Self-emp-not-inc, Masters, Never-married, Prof-specialty, Wife, Amer-Indian-Eskimo, Female,0,0,40, Taiwan, >50K
32, Private, Some-college, Never-married, Prof-specialty, Not-in-family, Amer-Indian-Eskimo, Female,0,0,45, Germany, <=50K
18, Private, Some-college, Never-married, Other-service, Own-child, White, Female,0,0,16, Philippines, <=50K
46, Self-emp-inc, Masters, Married-civ-spouse, Transport-moving, Husband, White, Male,15024,0,54, Haiti, >50K
53, Private, Assoc-voc, Married-civ-spouse, Exec-managerial, Husband, Asian-Pac-Islander, Female,0,0,40, Portugal, <=50K
28, Federal-gov, Some-college, Never-married, Craft-repair, Wife, White, Female,0,0,40, Jamaica, <=50K
53, Self-emp-inc, Assoc-acdm, Separated, Craft-repair, Not-in-family, White, Male,0,0,50, India, <=50K
46, Private, HS-grad, Married-civ-spouse, Sales, Husband, White, Male,7298,0,40, France, >50K
46, Private, Bachelors, Married-civ-spouse, Prof-specialty, Husband, Other, Male,6771,0,60, Germany, >50K
25, Private, Some-college, Never-married, Adm-clerical, Unmarried, Asian-Pac-Islander, Female,0,0,22, Ireland, <=50K
43, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, Other, Male,0,0,40, Japan, <=50K
58, Local-gov, 5th-6th, Divorced, Adm-clerical, Unmarried, Asian-Pac-Islander, Female,0,0,43, Columbia, <=50K
43, Private, Bachelors, Married-civ-spouse, Craft-repair, Husband, Amer-Indian-Eskimo, Male,7687,0,45, Jamaica, >50K
41, Private, HS-grad, Divorced, Adm-clerical, Unmarried, Other, Female,0,0,42, Ecuador, <=50K
22, Private, HS-grad, Never-married, Farming-fishing, Own-child, Asian-Pac-Islander, Male,0,0,40, South, <=50K
59, Self-emp-not-inc, Masters, Married-civ-spouse, Transport-moving, Husband, Amer-Indian-Eskimo, Male,6989,0,60, Cuba, <=50K
17, Private, 11th, Never-married, Sales, Own-child, Amer-Indian-Eskimo, Female,0,0,10, Germany, <=50K
51, Private, Assoc-acdm, Never-married, Craft-repair, Not-in-family, White, Female,0,0,50, South, >50K
33, Private, Assoc-voc, Married-civ-spouse, Transport-moving, Husband, Asian-Pac-Islander, Male,0,0,40, Canada, <=50K
35, Private, Some-college, Married-spouse-absent, Craft-repair, Not-in-family, Asian-Pac-Islander, Male,0,0,40, Dominican-Republic, <=50K
44, Private, HS-grad, Never-married, Adm-clerical, Not-in-family, Amer-Indian-Eskimo, Female,0,0,8, Haiti, <=50K
45, Local-gov, Masters, Married-civ-spouse, Prof-specialty, Wife, Asian-Pac-Islander, Female,0,1977,35, Ireland, >50K
26, Self-emp-not-inc, Bachelors, Divorced, Adm-clerical, Not-in-family, Asian-Pac-Islander, Female,0,0,35, Trinadad&Tobago, <=50K
52, Self-emp-inc, Assoc-voc, Married-civ-spouse, Sales, Husband, White, Male,0,0,60, Trinadad&Tobago, >50K
46, Private, HS-grad, Divorced, Tech-support, Not-in-family, Black, Female,0,0,40, Columbia, <=50K
43, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, Amer-Indian-Eskimo, Male,4096,0,40, China, <=50K
53, Private, Some-college, Married-civ-spouse, Exec-managerial, Husband, Other, Male,0,0,40, Hong, >50K
34, Private, Masters, Married-civ-spouse, Handlers-cleaners, Not-in-family, Asian-Pac-Islander, Male,0,0,37, Taiwan, <=50K
38, Private, HS-grad, Divorced, Tech-support, Own-child, Asian-Pac-Islander, Male,0,0,40, Guatemala, <=50K
38, State-gov, Masters, Divorced, Exec-managerial, Not-in-family, Other, Male,0,0,40, Greece, <=50K
50, Private, HS-grad, Married-civ-spouse, Prof-specialty, Husband, Amer-Indian-Eskimo, Male,0,0,40, Thailand, >50K
51, Private, HS-grad, Divorced, Prof-specialty, Unmarried, Amer-Indian-Eskimo, Female,0,0,40, Canada, <=50K
28, Self-emp-not-inc, Bachelors, Married-civ-spouse, Other-service, Husband, White, Male,0,0,54, England, >50K
33, Private, HS-grad, Married-civ-spouse, Handlers-cleaners, Own-child, Other, Female,0,0,40, South, <=50K
39, Private, HS-grad, Never-married, Craft-repair, Not-in-family, Other, Male,0,1886,35, South, <=50K
35, Private, Some-college, Never-married, Adm-clerical, Not-in-family, White, Female,0,0,40, Taiwan, <=50K
34, Private, Doctorate, Married-civ-spouse, Prof-specialty, Husband, Other, Male,0,0,54, Scotland, >50K
32, Private, Bachelors, Never-married, Sales, Not-in-family, Other, Female,0,0,45, France, >50K
32, Local-gov, Assoc-voc, Divorced, Machine-op-inspct, Unmarried, Black, Male,1085,0,40, China, <=50K
27, Local-gov, 9th, Married-civ-spouse, Sales, Husband, Other, Male,0,0,45, Jamaica, <=50K
26, Private, HS-grad, Married-civ-spouse, Handlers-cleaners, Own-child, Other, Male,0,0,40, Taiwan, >50K
34, Private, Some-college, Married-civ-spouse, Tech-support, Husband, Amer-Indian-Eskimo, Male,0,0,40, Portugal, <=50K
50, Private, HS-grad, Married-civ-spouse, Exec-managerial, Husband, Amer-Indian-Eskimo, Male,0,0,15, Iran, <=50K
43, Self-emp-not-inc, Some-college, Never-married, Transport-moving, Not-in-family, White, Female,0,0,60, Thailand, >50K
26, Private, HS-grad, Never-married, Sales, Not-in-family, Black, Female,3322,0,40, England, <=50K
28, State-gov, HS-grad, Married-civ-spouse, Craft-repair, Husband, Asian-Pac-Islander, Male,0,0,44, Guatemala, <=50K
44, Private, HS-grad, Widowed, Adm-clerical, Unmarried, White, Female,0,0,40, Taiwan, <=50K
23, Self-emp-inc, HS-grad, Never-married, Adm-clerical, Unmarried, White, Male,0,0,40, Taiwan, <=50K
30, State-gov, Masters, Never-married, Prof-specialty, Husband, White, Male,2391,0,45, Guatemala, <=50K
33, Private, Bachelors, Married-civ-spouse, Handlers-cleaners, Husband, Asian-Pac-Islander, Male,7687,0,40, El-Salvador, >50K
20, Private, HS-grad, Never-married, Sales, Own-child, Other, Male,0,0,40, Germany, <=50K
24, Private, Some-college, Never-married, Other-service, Own-child, Black, Female,0,0,15, Puerto-Rico, <=50K
25, Private, HS-grad, Never-married, Machine-op-inspct, Own-child, Other, Male,0,0,40, Taiwan, <=50K
40, Private, HS-grad, Separated, Craft-repair, Own-child, Other, Male,0,0,40, Outlying-US(Guam-USVI-etc), <=50K
45, Private, HS-grad, Married-civ-spouse, Sales, Husband, Asian-Pac-Islander, Male,0,0,45, Poland, >50K
32, Self-emp-not-inc, HS-grad, Never-married, Other-service, Own-child, Black, Male,0,0,44, Scotland, <=50K
19, Private, Some-college, Never-married, Sales, Own-child, Amer-Indian-Eskimo, Male,0,0,20, Peru, <=50K
23, Private, Bachelors, Never-married, Handlers-cleaners, Own-child, Amer-Indian-Eskimo, Male,0,1760,54, Taiwan, <=50K
31, Private, HS-grad, Never-married, Sales, Own-child, Amer-Indian-Eskimo, Male,0,0,50, China, <=50K
43, Self-emp-not-inc, HS-grad, Divorced, Machine-op-inspct, Not-in-family, Black, Female,0,0,50, Portugal, <=50K
53, Private, Bachelors, Married-civ-spouse, Craft-repair, Husband, White, Female,0,0,35, Outlying-US(Guam-USVI-etc), <=50K
34, State-gov, HS-grad, Married-civ-spouse, Sales, Husband, Amer-Indian-Eskimo, Female,0,0,60, India, >50K
18, Private, Some-college, Never-married, Handlers-cleaners, Own-child, Asian-Pac-Islander, Female,0,0,20, Japan, <=50K
21, Private, 7th-8th, Never-married, Other-service, Own-child, White, Male,0,0,40, Taiwan, <=50K
43, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, Amer-Indian-Eskimo, Male,0,0,40, El-Salvador, >50K
24, State-gov, HS-grad, Never-married, Exec-managerial, Own-child, White, Male,0,0,40, Honduras, <=50K
61, Private, 10th, Married-civ-spouse, Protective-serv, Husband, Amer-Indian-Eskimo, Male,0,0,10, Germany, <=50K
30, Local-gov, Some-college, Divorced, Tech-support, Not-in-family, Asian-Pac-Islander, Female,0,0,40, Nicaragua, >50K
45, Private, HS-grad, Divorced, Handlers-cleaners, Unmarried, Black, Female,0,0,40, Italy, <=50K
26, Self-emp-not-inc, Some-college, Never-married, Other-service, Not-in-family, Amer-Indian-Eskimo, Female,0,0,45, Hungary, <=50K
29, Private, Bachelors, Never-married, Transport-moving, Not-in-family, Other, Male,0,0,44, Outlying-US(Guam-USVI-etc), <=50K
46, Private, HS-grad, Divorced, Other-service, Unmarried, White, Female,0,0,40, Columbia, <=50K
21, Private, HS-grad, Never-married, Handlers-cleaners, Own-child, White, Male,0,0,40, Guatemala, <=50K
37, Private, Some-college, Married-civ-spouse, Protective-serv, Husband, Asian-Pac-Islander, Male,0,0,40, United-States, <=50K
64, Private, Bachelors, Divorced, Exec-managerial, Husband, White, Male,0,2314,70, Italy, >50K
35, Local-gov, 11th, Divorced, Adm-clerical, Unmarried, White, Female,0,0,40, Honduras, <=50K
33, Federal-gov, Bachelors, Married-civ-spouse, Exec-managerial, Not-in-family, Amer-Indian-Eskimo, Male,0,0,40, Japan, >50K
50, Private, Prof-school, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,1902,60, Peru, <=50K
27, Private, Assoc-voc, Never-married, Prof-specialty, Not-in-family, Asian-Pac-Islander, Male,0,0,45, Columbia, <=50K
31, Self-emp-not-inc, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Female,0,0,40, Jamaica, <=50K
53, Self-emp-not-inc, Bachelors, Married-civ-spouse, Exec-managerial, Husband, Other, Male,0,0,60, Haiti, >50K
31, Private, Some-college, Divorced, Farming-fishing, Unmarried, White, Female,0,0,40, Haiti, <=50K
46, Self-emp-inc, HS-grad, Married-civ-spouse, Tech-support, Husband, Asian-Pac-Islander, Male,7298,0,45, Dominican-Republic, >50K
44, Private, HS-grad, Married-civ-spouse, Tech-support, Not-in-family, Asian-Pac-Islander, Female,0,0,40, Hong, <=50K
46, Private, HS-grad, Married-civ-spouse, Machine-op-inspct, Husband, Asian-Pac-Islander, Male,0,0,40, Italy, <=50K
26, Self-emp-not-inc, Bachelors, Never-married, Exec-managerial, Wife, Amer-Indian-Eskimo, Female,8614,0,45, Thailand, <=50K
52, Private, HS-grad, Married-civ-spouse, Tech-support, Husband, Black, Female,0,0,40, Japan, <=50K
25, Self-emp-inc, HS-grad, Never-married, Exec-managerial, Not-in-family, Amer-Indian-Eskimo, Female,0,1977,50, Peru, <=50K
65, Self-emp-not-inc, Some-college, Married-civ-spouse, Sales, Husband, Amer-Indian-Eskimo, Male,0,0,30, Taiwan, <=50K
47, Private, HS-grad, Divorced, Farming-fishing, Unmarried, White, Male,0,0,40, United-States, <=50K
19, Private, Some-college, Never-married, Prof-specialty, Own-child, Asian-Pac-Islander, Female,0,0,20, India, <=50K
38, Private, 9th, Married-spouse-absent, Craft-repair, Husband, White, Male,0,0,40, Cuba, <=50K
59, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,7687,0,40, Vietnam, <=50K
34, Private, Assoc-voc, Married-civ-spouse, Farming-fishing, Husband, Black, Male,5953,0,94, Honduras, >50K
44, Self-emp-not-inc, HS-grad, Married-civ-spouse, Exec-managerial, Husband, Amer-Indian-Eskimo, Male,0,0,50, Philippines, >50K
53, State-gov, HS-grad, Married-civ-spouse, Prof-specialty, Wife, White, Male,0,0,40, Italy, >50K
34, Private, 9th, Married-civ-spouse, Transport-moving, Not-in-family, White, Male,0,0,40, Peru, >50K
52, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, Asian-Pac-Islander, Male,3404,0,40, Vietnam, <=50K
45, Private, HS-grad, Divorced, Adm-clerical, Unmarried, Amer-Indian-Eskimo, Female,0,0,40, India, <=50K
31, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, Other, Male,0,1485,45, Ecuador, <=50K
37, Private, HS-grad, Never-married, Sales, Not-in-family, Other, Male,0,0,40, Portugal, >50K
30, Private, Bachelors, Separated, Tech-support, Wife, Black, Female,0,0,40, India, >50K
24, Private, 10th, Married-civ-spouse, Handlers-cleaners, Own-child, Black, Male,0,0,40, Iran, <=50K
42, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, Other, Male,0,0,40, South, >50K
50, Private, Bachelors, Married-civ-spouse, Prof-specialty, Husband, Black, Male,0,0,40, Peru, >50K
50, Self-emp-not-inc, Bachelors, Married-civ-spouse, Exec-managerial, Husband, Asian-Pac-Islander, Male,0,0,45, Mexico, >50K
75, Self-emp-not-inc, Some-college, Widowed, Exec-managerial, Own-child, Black, Female,0,0,12, Greece, <=50K
28, Private, Some-college, Never-married, Tech-support, Not-in-family, White, Male,0,0,40, El-Salvador, <=50K
27, Private, 11th, Married-civ-spouse, Craft-repair, Own-child, Asian-Pac-Islander, Male,0,0,40, India, <=50K
27, Private, HS-grad, Married-civ-spouse, Sales, Not-in-family, Black, Male,0,0,48, Mexico, <=50K
42, Local-gov, Some-college, Never-married, Adm-clerical, Wife, Other, Female,3118,0,15, Puerto-Rico, >50K
30, Private, Some-college, Never-married, Transport-moving, Own-child, Black, Female,0,0,12, Philippines, <=50K
46, Private, Some-college, Married-civ-spouse, Craft-repair, Husband, Amer-Indian-Eskimo, Male,0,0,53, Taiwan, >50K
65, Private, Some-college, Married-civ-spouse, Tech-support, Husband, Amer-Indian-Eskimo, Male,0,0,40, Japan, >50K
47, Private, HS-grad, Never-married, Farming-fishing, Not-in-family, White, Female,0,0,40, Ecuador, <=50K
52, Private, Some-college, Married-civ-spouse, Prof-specialty, Husband, Amer-Indian-Eskimo, Male,7687,0,70, Peru, >50K
44, Federal-gov, Bachelors, Married-civ-spouse, Sales, Husband, White, Male,0,0,80, Taiwan, >50K
17, Private, 10th, Never-married, Handlers-cleaners, Own-child, Asian-Pac-Islander, Male,0,0,20, Iran, <=50K
64, Private, Some-college, Married-civ-spouse, Sales, Husband, Asian-Pac-Islander, Male,7687,0,40, Honduras, >50K
21, Private, HS-grad, Never-married, Transport-moving, Own-child, Other, Male,0,0,60, South, <=50K
44, State-gov, Bachelors, Married-civ-spouse, Transport-moving, Husband, Other, Male,0,0,50, Yugoslavia, >50K
31, Self-emp-not-inc, HS-grad, Never-married, Exec-managerial, Not-in-family, Asian-Pac-Islander, Female,0,0,40, Canada, <=50K
30, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, Asian-Pac-Islander, Male,0,0,40, Honduras, >50K
42, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,60, Trinadad&Tobago, <=50K
29, Private, Some-college, Divorced, Tech-support, Own-child, Other, Female,0,0,50, Greece, <=50K
46, Private, HS-grad, Married-civ-spouse, Tech-support, Husband, White, Male,0,0,48, Columbia, <=50K
38, Private, Some-college, Never-married, Prof-specialty, Not-in-family, Black, Female,10539,0,54, Haiti, >50K
40, Private, Some-college, Never-married, Other-service, Not-in-family, Other, Male,0,0,30, Yugoslavia, <=50K
39, Private, Bachelors, Separated, Adm-clerical, Unmarried, Black, Female,0,0,70, Nicaragua, <=50K
38, Private, HS-grad, Separated, Machine-op-inspct, Not-in-family, Amer-Indian-Eskimo, Male,0,0,40, Trinadad&Tobago, <=50K
45, Private, HS-grad, Never-married, Exec-managerial, Not-in-family, Black, Female,0,0,35, Iran, <=50K
45, Self-emp-not-inc, Assoc-acdm, Never-married, Adm-clerical, Unmarried, White, Female,7298,0,40, Puerto-Rico, <=50K
51, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, Asian-Pac-Islander, Male,0,0,60, Honduras, >50K
24, Private, Bachelors, Never-married, Prof-specialty, Not-in-family, White, Female,0,0,35, Yugoslavia, <=50K
34, Private, HS-grad, Never-married, Other-service, Not-in-family, White, Male,0,0,40, Italy, <=50K
42, Private, Some-college, Never-married, Transport-moving, Not-in-family, White, Female,0,0,40, Cambodia, <=50K
31, Private, HS-grad, Never-married, Tech-support, Not-in-family, White, Male,0,1886,40, Mexico, <=50K
30, Private, Bachelors, Never-married, Craft-repair, Not-in-family, Black, Female,0,0,40, Guatemala, <=50K
42, Federal-gov, Some-college, Divorced, Sales, Not-in-family, White, Male,0,0,65, Jamaica, >50K
19, Private, Some-college, Never-married, Tech-support, Own-child, Amer-Indian-Eskimo, Male,0,0,40, Japan, <=50K
27, Private, Bachelors, Divorced, Adm-clerical, Not-in-family, Other, Female,4712,0,38, Canada, >50K
31, Private, Bachelors, Never-married, Adm-clerical, Not-in-family, Asian-Pac-Islander, Female,0,0,40, Scotland, <=50K
19, Private, Some-college, Never-married, Craft-repair, Own-child, Asian-Pac-Islander, Male,0,0,50, South, <=50K
24, Private, HS-grad, Married-civ-spouse, Exec-managerial, Own-child, Black, Male,0,0,50, Iran, <=50K
25, Private, 12th, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,45, Ecuador, <=50K
24, Self-emp-not-inc, HS-grad, Never-married, Machine-op-inspct, Own-child, Black, Male,0,0,40, South, <=50K
31, Private, Some-college, Never-married, Sales, Unmarried, Asian-Pac-Islander, Male,0,0,45, Vietnam, <=50K
57, Federal-gov, Masters, Married-civ-spouse, Machine-op-inspct, Husband, Asian-Pac-Islander, Male,0,0,40, Cambodia, <=50K
32, Private, Some-college, Married-civ-spouse, Craft-repair, Wife, Asian-Pac-Islander, Male,0,0,50, Outlying-US(Guam-USVI-etc), >50K
65, State-gov, 10th, Married-civ-spouse, Exec-managerial, Husband, Other, Male,0,0,8, Jamaica, >50K
56, Private, HS-grad, Married-civ-spouse, Other-service, Husband, Other, Female,0,0,20, Greece, <=50K
35, Private, Assoc-acdm, Divorced, Machine-op-inspct, Unmarried, Other, Female,0,0,40, Italy, <=50K
31, Private, HS-grad, Married-civ-spouse, Farming-fishing, Own-child, Black, Female,0,0,54, Nicaragua, <=50K
30, Local-gov, HS-grad, Never-married, Machine-op-inspct, Not-in-family, Amer-Indian-Eskimo, Female,0,0,30, Iran, <=50K
20, Private, Some-college, Never-married, Craft-repair, Own-child, White, Male,0,0,34, United-States, <=50K
38, Self-emp-inc, HS-grad, Married-civ-spouse, Transport-moving, Husband, Other, Male,0,0,45, Peru, <=50K
71, Self-emp-inc, 11th, Married-civ-spouse, Prof-specialty, Husband, Other, Female,0,2328,15, Ireland, >50K
46, Self-emp-inc, Masters, Married-civ-spouse, Sales, Husband, White, Female,0,0,60, China, >50K
38, Private, Bachelors, Married-civ-spouse, Craft-repair, Husband, Black, Male,0,0,40, Greece, >50K
51, Self-emp-inc, Assoc-acdm, Married-civ-spouse, Exec-managerial, Husband, Black, Male,0,0,40, Scotland, >50K
20, Private, Assoc-voc, Never-married, Adm-clerical, Not-in-family, Asian-Pac-Islander, Female,0,0,40, South, <=50K
37, Self-emp-not-inc, HS-grad, Married-civ-spouse, Protective-serv, Husband, White, Male,0,0,60, India, <=50K
27, Private, Some-college, Never-married, Prof-specialty, Wife, Other, Male,0,0,24, Iran, <=50K
29, Private, Assoc-voc, Married-civ-spouse, Handlers-cleaners, Husband, Amer-Indian-Eskimo, Female,0,0,38, Hong, <=50K
20, State-gov, HS-grad, Never-married, Other-service, Own-child, Other, Male,0,0,30, Guatemala, <=50K
23, Private, HS-grad, Never-married, Protective-serv, Husband, Amer-Indian-Eskimo, Male,0,0,50, India, <=50K
36, Private, 11th, Divorced, Machine-op-inspct, Other-relative, Asian-Pac-Islander, Female,0,0,16, Columbia, <=50K
42, Private, HS-grad, Divorced, Sales, Unmarried, Black, Male,0,0,38, Honduras, <=50K
21, Private, 11th, Never-married, Sales, Own-child, Asian-Pac-Islander, Male,0,0,50, Honduras, <=50K
43, Local-gov, Some-college, Divorced, Prof-specialty, Not-in-family, Asian-Pac-Islander, Female,0,0,60, Honduras, <=50K
58, Self-emp-not-inc, Some-college, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,50, Guatemala, >50K
45, Self-emp-not-inc, HS-grad, Divorced, Exec-managerial, Not-in-family, Black, Male,0,0,54, Mexico, <=50K
35, Self-emp-inc, HS-grad, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,48, South, >50K
28, Private, Bachelors, Never-married, Handlers-cleaners, Unmarried, Black, Female,0,0,40, Puerto-Rico, <=50K
47, Self-emp-not-inc, Some-college, Married-civ-spouse, Exec-managerial, Husband, Other, Male,0,0,50, India, >50K
34, Private, HS-grad, Separated, Craft-repair, Wife, Amer-Indian-Eskimo, Male,0,0,54, Taiwan, <=50K
43, Private, Assoc-voc, Divorced, Adm-clerical, Unmarried, Asian-Pac-Islander, Female,0,0,45, Yugoslavia, <=50K
49, Self-emp-not-inc, Prof-school, Married-civ-spouse, Exec-managerial, Husband, Asian-Pac-Islander, Female,99999,0,70, Haiti, >50K
