48, Self-emp-not-inc, HS-grad, Divorced, Craft-repair, Wife, Amer-Indian-Eskimo, Male,0,1902,45, Hungary, >50K
27, Local-gov, Assoc-voc, Never-married, Adm-clerical, Own-child, White, Male,0,0,50, United-States, <=50K
41, Private, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Male,3436,0,35, United-States, >50K
36, Private, Some-college, Never-married, Prof-specialty, Unmarried, Amer-Indian-Eskimo, Female,0,0,40, Poland, <=50K
20, Private, Assoc-voc, Never-married, Handlers-cleaners, Not-in-family, White, Male,0,0,45, United-States, <=50K
41, Private, Assoc-voc, Divorced, Machine-op-inspct, Own-child, White, Male,0,0,40, United-States, <=50K
23, Local-gov, 11th, Married-civ-spouse, Machine-op-inspct, Own-child, Black, Male,0,0,40, Mexico, <=50K
21, Private, HS-grad, Never-married, Machine-op-inspct, Not-in-family, White, Female,0,0,40, United-States, <=50K
22, Local-gov, HS-grad, Never-married, Machine-op-inspct, Not-in-family, Asian-Pac-Islander, Male,0,0,40, United-States, <=50K
17, Private, 10th, Never-married, Priv-house-serv, Own-child, White, Male,0,0,20, United-States, <=50K
63, Self-emp-not-inc, HS-grad, Married-civ-spouse, Sales, Husband, White, Male,0,0,40, United-States, <=50K
39, Private, Some-college, Divorced, Adm-clerical, Not-in-family, White, Female,0,0,40, Yugoslavia, <=50K
32, Private, Assoc-acdm, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, Honduras, >50K
27, Private, HS-grad, Never-married, Craft-repair, Own-child, White, Male,0,0,35, Ireland, <=50K
37, Self-emp-inc, Assoc-voc, Married-civ-spouse, Other-service, Husband, White, Male,0,0,45, United-States, >50K
47, Private, Some-college, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,25, United-States, <=50K
61, State-gov, HS-grad, Divorced, Exec-managerial, Not-in-family, White, Male,16223,0,40, Hong, >50K
26, Self-emp-not-inc, 10th, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,60, United-States, <=50K
20, Private, Masters, Married-civ-spouse, Handlers-cleaners, Own-child, Black, Female,0,0,22, United-States, >50K
28, Private, Prof-school, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,60, United-States, >50K
19, Private, Some-college, Never-married, Craft-repair, Own-child, White, Female,0,0,40, United-States, <=50K
39, Private, 11th, Married-civ-spouse, Craft-repair, Husband, White, Female,0,0,40, Italy, <=50K
19, Private, Some-college, Never-married, Sales, Own-child, Other, Male,0,0,30, Dominican-Republic, <=50K
42, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, Yugoslavia, >50K
30, Private, Some-college, Never-married, Prof-specialty, Own-child, Asian-Pac-Islander, Female,0,0,20, United-States, <=50K
32, Private, Masters, Married-civ-spouse, Prof-specialty, Husband, Amer-Indian-Eskimo, Male,0,0,60, Thailand, <=50K
33, Private, HS-grad, Divorced, Other-service, Unmarried, White, Male,0,0,40, United-States, <=50K
56, Private, Some-college, Divorced, Transport-moving, Not-in-family, White, Female,0,0,50, United-States, <=50K
36, Private, Assoc-voc, Separated, Exec-managerial, Not-in-family, Other, Female,0,0,50, United-States, <=50K
71, Federal-gov, Some-college, Widowed, Adm-clerical, Wife, White, Female,0,0,5, United-States, <=50K
67, Self-emp-inc, 7th-8th, Married-civ-spouse, Adm-clerical, Husband, White, Male,2174,0,40, United-States, <=50K
76, Private, HS-grad, Divorced, Prof-specialty, Not-in-family, White, Female,0,0,30, Portugal, <=50K
26, Private, Bachelors, Never-married, Other-service, Not-in-family, White, Female,0,0,40, Portugal, <=50K
51, Self-emp-not-inc, Some-college, Married-civ-spouse, Craft-repair, Not-in-family, Other, Male,0,0,45, United-States, <=50K
43, Self-emp-inc, Masters, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,60, United-States, >50K
61, Local-gov, 10th, Married-civ-spouse, Craft-repair, Husband, Other, Male,0,0,40, Germany, <=50K
33, Private, Bachelors, Married-civ-spouse, Craft-repair, Wife, Black, Male,0,0,40, United-States, <=50K
58, Private, Bachelors, Married-civ-spouse, Exec-managerial, Wife, White, Female,15024,0,35, Italy, >50K
32, Private, Bachelors, Married-civ-spouse, Craft-repair, Husband, Other, Male,0,0,40, United-States, <=50K
20, Private, Some-college, Never-married, Sales, Own-child, Black, Female,0,0,35, Hungary, <=50K
24, Private, Bachelors, Never-married, Sales, Husband, Amer-Indian-Eskimo, Male,0,0,50, Poland, <=50K
30, Private, 1st-4th, Married-civ-spouse, Adm-clerical, Unmarried, White, Male,3134,0,15, United-States, >50K
37, Private, Assoc-acdm, Married-civ-spouse, Transport-moving, Husband, Other, Male,0,0,70, Ecuador, <=50K
30, Private, Some-college, Never-married, Craft-repair, Wife, Black, Male,0,0,40, Hungary, <=50K
22, Private, HS-grad, Never-married, Craft-repair, Not-in-family, Black, Female,0,0,40, United-States, <=50K
34, Private, Masters, Divorced, Exec-managerial, Unmarried, Other, Female,0,0,60, United-States, >50K
38, Self-emp-inc, Bachelors, Divorced, Farming-fishing, Not-in-family, Black, Male,0,0,54, United-States, <=50K
33, Private, Assoc-voc, Never-married, Sales, Not-in-family, White, Male,0,0,54, United-States, <=50K
44, Private, HS-grad, Divorced, Sales, Not-in-family, White, Female,0,0,40, Greece, <=50K
20, Private, HS-grad, Never-married, Adm-clerical, Own-child, Asian-Pac-Islander, Female,0,0,40, England, <=50K
43, Private, Some-college, Never-married, Exec-managerial, Unmarried, White, Female,0,0,54, United-States, <=50K
20, Private, Masters, Never-married, Craft-repair, Own-child, White, Male,0,1663,20, United-States, <=50K
29, Private, Bachelors, Married-civ-spouse, Sales, Husband, Other, Male,0,0,45, United-States, >50K
32, State-gov, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,50, Trinadad&Tobago, <=50K
28, Private, HS-grad, Never-married, Prof-specialty, Other-relative, Amer-Indian-Eskimo, Female,0,0,40, United-States, <=50K
24, Private, HS-grad, Never-married, Sales, Wife, Asian-Pac-Islander, Female,0,0,20, Ecuador, <=50K
46, Self-emp-not-inc, HS-grad, Married-civ-spouse, Farming-fishing, Husband, White, Male,0,0,45, Mexico, >50K
40, Private, HS-grad, Divorced, Handlers-cleaners, Wife, White, Female,0,0,40, United-States, <=50K
31, Private, HS-grad, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,65, United-States, <=50K
31, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, <=50K
38, Private, Doctorate, Married-civ-spouse, Prof-specialty, Husband, White, Male,7298,0,60, United-States, >50K
36, Private, HS-grad, Never-married, Tech-support, Not-in-family, White, Female,0,0,40, Poland, <=50K
42, Local-gov, Assoc-acdm, Married-civ-spouse, Machine-op-inspct, Not-in-family, White, Male,0,0,40, England, >50K
27, Federal-gov, 12th, Married-civ-spouse, Sales, Not-in-family, White, Male,0,0,40, United-States, <=50K
24, Private, HS-grad, Never-married, Exec-managerial, Unmarried, White, Male,0,0,40, United-States, <=50K
25, Private, Some-college, Never-married, Sales, Own-child, Asian-Pac-Islander, Male,2412,0,40, United-States, <=50K
38, Private, Prof-school, Divorced, Craft-repair, Own-child, Amer-Indian-Eskimo, Male,0,0,40, United-States, <=50K
48, Self-emp-not-inc, Some-college, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,40, United-States, >50K
39, Private, Prof-school, Never-married, Sales, Not-in-family, White, Female,0,0,52, Portugal, <=50K
44, State-gov, Some-college, Married-civ-spouse, Craft-repair, Not-in-family, Other, Male,0,0,40, United-States, <=50K
21, Private, Masters, Never-married, Adm-clerical, Unmarried, White, Female,0,0,50, United-States, <=50K
25, Self-emp-not-inc, HS-grad, Never-married, Craft-repair, Husband, White, Male,0,0,35, United-States, <=50K
36, Without-pay, Some-college, Separated, Sales, Husband, White, Male,0,0,73, United-States, <=50K
30, Private, Bachelors, Divorced, Other-service, Not-in-family, Other, Female,0,0,16, Jamaica, <=50K
41, Private, HS-grad, Married-civ-spouse, Sales, Husband, White, Male,0,0,50, Thailand, <=50K
35, Private, Some-college, Divorced, Exec-managerial, Not-in-family, White, Female,0,0,40, United-States, <=50K
55, Self-emp-inc, Masters, Married-civ-spouse, Other-service, Not-in-family, White, Male,0,0,35, United-States, <=50K
59, Private, Prof-school, Separated, Exec-managerial, Husband, White, Male,0,0,30, United-States, <=50K
52, Private, HS-grad, Married-civ-spouse, Sales, Husband, White, Male,0,0,40, United-States, <=50K
44, Self-emp-not-inc, Prof-school, Married-civ-spouse, Prof-specialty, Not-in-family, White, Male,0,0,50, United-States, <=50K
27, Private, Prof-school, Married-civ-spouse, Transport-moving, Not-in-family, Black, Male,0,0,60, United-States, <=50K
90, Private, 7th-8th, Widowed, Handlers-cleaners, Husband, Asian-Pac-Islander, Male,0,0,20, United-States, <=50K
49, Private, Masters, Married-civ-spouse, Sales, Husband, Black, Male,0,0,40, Ecuador, >50K
42, Self-emp-not-inc, HS-grad, Married-civ-spouse, Farming-fishing, Unmarried, White, Male,0,0,40, United-States, <=50K
53, Private, Bachelors, Married-civ-spouse, Craft-repair, Husband, White, Male,4988,0,40, United-States, >50K
68, State-gov, HS-grad, Widowed, Sales, Not-in-family, Asian-Pac-Islander, Female,0,0,45, United-States, <=50K
20, Private, Some-college, Never-married, Craft-repair, Other-relative, Other, Female,0,0,40, United-States, <=50K
41, Local-gov, 7th-8th, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,60, United-States, <=50K
19, Private, Some-college, Never-married, Exec-managerial, Own-child, Amer-Indian-Eskimo, Male,0,0,15, Mexico, <=50K
31, State-gov, HS-grad, Never-married, Craft-repair, Husband, White, Male,0,0,40, United-States, <=50K
29, Private, 10th, Never-married, Other-service, Own-child, Asian-Pac-Islander, Female,0,0,30, Portugal, <=50K
42, Local-gov, Masters, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,40, United-States, >50K
47, Private, HS-grad, Married-civ-spouse, Other-service, Wife, White, Female,0,0,35, United-States, <=50K
31, Self-emp-inc, Masters, Never-married, Handlers-cleaners, Not-in-family, Amer-Indian-Eskimo, Female,0,0,40, United-States, <=50K
21, Private, Doctorate, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,40, United-States, <=50K
39, Private, HS-grad, Married-civ-spouse, Other-service, Husband, White, Male,0,0,40, Greece, >50K
24, Private, HS-grad, Never-married, Other-service, Own-child, White, Female,0,0,8, United-States, <=50K
49, Private, Some-college, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, United-States, <=50K
61, Private, Bachelors, Divorced, Craft-repair, Husband, White, Male,0,0,48, United-States, >50K
21, Local-gov, 11th, Never-married, Handlers-cleaners, Own-child, White, Male,0,0,35, United-States, <=50K
17, Private, 10th, Never-married, Adm-clerical, Own-child, Amer-Indian-Eskimo, Male,0,0,20, United-States, <=50K
53, Private, Some-college, Married-civ-spouse, Other-service, Husband, White, Female,0,0,10, United-States, <=50K
55, Private, Assoc-voc, Married-civ-spouse, Protective-serv, Husband, Black, Male,0,0,50, Guatemala, <=50K
29, State-gov, HS-grad, Never-married, Adm-clerical, Not-in-family, White, Female,0,0,40, United-States, <=50K
32, Private, Bachelors, Divorced, Adm-clerical, Own-child, White, Female,0,0,40, United-States, <=50K
45, Private, Some-college, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, >50K
42, Self-emp-not-inc, HS-grad, Married-civ-spouse, Sales, Husband, White, Male,0,0,45, India, >50K
67, Local-gov, HS-grad, Never-married, Sales, Not-in-family, White, Female,0,0,20, United-States, <=50K
34, Private, Bachelors, Divorced, Other-service, Not-in-family, White, Male,0,0,40, United-States, <=50K
28, Self-emp-not-inc, Bachelors, Married-civ-spouse, Craft-repair, Own-child, Amer-Indian-Eskimo, Female,0,0,40, United-States, <=50K
55, Private, HS-grad, Married-civ-spouse, Sales, Husband, White, Female,0,0,50, United-States, <=50K
18, Private, HS-grad, Never-married, Handlers-cleaners, Own-child, Amer-Indian-Eskimo, Female,0,0,35, United-States, <=50K
33, Self-emp-not-inc, Some-college, Married-civ-spouse, Sales, Husband, Asian-Pac-Islander, Male,0,1902,45, United-States, >50K
30, Private, Bachelors, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,0,0,40, United-States, >50K
50, Private, Prof-school, Married-civ-spouse, Sales, Husband, White, Male,0,0,80, United-States, >50K
50, Private, 1st-4th, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, Hong, >50K
48, Private, Some-college, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, <=50K
55, Private, 7th-8th, Married-civ-spouse, Farming-fishing, Husband, White, Male,0,0,35, United-States, >50K
19, Private, Some-college, Never-married, Adm-clerical, Not-in-family, Black, Female,0,0,15, United-States, <=50K
63, State-gov, HS-grad, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,0,0,40, United-States, >50K
56, Private, 5th-6th, Married-civ-spouse, Transport-moving, Not-in-family, White, Male,0,0,40, United-States, >50K
32, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,50, United-States, >50K
27, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, Asian-Pac-Islander, Male,0,0,40, United-States, <=50K
19, Private, HS-grad, Never-married, Exec-managerial, Own-child, White, Male,0,0,30, Jamaica, <=50K
57, Private, HS-grad, Widowed, Protective-serv, Wife, White, Male,0,0,27, United-States, >50K
25, Private, HS-grad, Separated, Transport-moving, Own-child, White, Male,0,0,40, United-States, <=50K
28, Private, 10th, Married-civ-spouse, Other-service, Unmarried, White, Male,0,0,30, United-States, <=50K
40, Private, HS-grad, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,50, United-States, <=50K
39, Private, Bachelors, Divorced, Other-service, Not-in-family, White, Male,0,0,40, United-States, >50K
41, Self-emp-not-inc, Doctorate, Married-civ-spouse, Exec-managerial, Husband, Other, Male,0,0,60, United-States, >50K
23, Self-emp-not-inc, Some-college, Never-married, Craft-repair, Own-child, White, Male,0,0,25, Thailand, <=50K
76, Private, Some-college, Widowed, Sales, Husband, White, Male,2407,0,20, Jamaica, <=50K
62, Federal-gov, 10th, Widowed, Adm-clerical, Unmarried, Other, Male,0,0,40, United-States, <=50K
36, Private, Bachelors, Married-civ-spouse, Sales, Husband, White, Male,0,0,50, United-States, >50K
32, Private, Some-college, Never-married, Adm-clerical, Unmarried, White, Female,0,0,40, United-States, <=50K
33, Private, Some-college, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,40, United-States, <=50K
48, Private, Some-college, Separated, Craft-repair, Not-in-family, Amer-Indian-Eskimo, Female,0,0,60, United-States, <=50K
19, Private, Some-college, Never-married, Sales, Own-child, Asian-Pac-Islander, Male,0,0,40, United-States, <=50K
21, Private, Bachelors, Never-married, Craft-repair, Own-child, White, Female,0,1735,30, Mexico, <=50K
64, Private, Some-college, Widowed, Other-service, Not-in-family, Asian-Pac-Islander, Female,0,0,35, United-States, <=50K
23, Local-gov, Bachelors, Never-married, Sales, Not-in-family, White, Male,0,0,40, United-States, <=50K
51, Local-gov, 5th-6th, Divorced, Adm-clerical, Unmarried, Black, Male,0,0,40, United-States, <=50K
47, Private, Some-college, Separated, Prof-specialty, Not-in-family, White, Female,0,0,40, United-States, >50K
22, Private, Some-college, Never-married, Tech-support, Unmarried, White, Male,0,0,30, United-States, <=50K
41, Self-emp-not-inc, Bachelors, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,54, Vietnam, >50K
62, Self-emp-not-inc, HS-grad, Separated, Craft-repair, Husband, Black, Male,0,0,35, Cuba, <=50K
43, Private, Bachelors, Divorced, Exec-managerial, Husband, Other, Male,15024,0,50, United-States, >50K
20, Private, HS-grad, Never-married, Craft-repair, Other-relative, White, Male,0,0,25, United-States, <=50K
50, Private, Some-college, Married-civ-spouse, Tech-support, Husband, White, Male,0,0,40, United-States, <=50K
31, Private, Prof-school, Married-civ-spouse, Sales, Not-in-family, White, Male,0,0,50, Guatemala, <=50K
36, Private, Some-college, Married-civ-spouse, Exec-managerial, Not-in-family, White, Male,0,0,40, United-States, >50K
30, Private, Some-college, Never-married, Exec-managerial, Not-in-family, White, Male,0,0,40, United-States, <=50K
33, Private, Bachelors, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,70, United-States, >50K
63, Private, HS-grad, Widowed, Exec-managerial, Not-in-family, Black, Male,0,0,40, United-States, <=50K
19, Private, HS-grad, Never-married, Craft-repair, Own-child, White, Male,0,0,50, United-States, <=50K
42, Self-emp-not-inc, Assoc-acdm, Married-civ-spouse, Craft-repair, Husband, White, Male,3471,0,40, United-States, <=50K
54, Private, Assoc-voc, Married-civ-spouse, Exec-managerial, Not-in-family, Black, Male,0,0,40, United-States, >50K
39, Private, HS-grad, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,1977,40, Yugoslavia, <=50K
64, Private, Assoc-voc, Never-married, Prof-specialty, Not-in-family, White, Female,0,0,40, United-States, <=50K
34, Private, Some-college, Married-civ-spouse, Tech-support, Husband, White, Male,0,0,40, Cambodia, >50K
62, Self-emp-not-inc, HS-grad, Married-civ-spouse, Transport-moving, Husband, White, Male,0,1894,99, United-States, >50K
25, Private, Bachelors, Never-married, Craft-repair, Not-in-family, White, Female,0,0,45, United-States, <=50K
43, Local-gov, Some-college, Divorced, Sales, Not-in-family, White, Male,0,0,40, United-States, <=50K
23, Private, Some-college, Never-married, Sales, Unmarried, Black, Male,0,0,40, United-States, <=50K
53, Private, Bachelors, Divorced, Adm-clerical, Not-in-family, White, Male,0,0,60, Cuba, <=50K
45, Private, Bachelors, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, >50K
38, Private, Some-college, Married-civ-spouse, Craft-repair, Not-in-family, Other, Male,7687,0,45, United-States, >50K
32, Private, HS-grad, Married-civ-spouse, Craft-repair, Own-child, White, Male,0,0,45, United-States, <=50K
42, Local-gov, 1st-4th, Married-civ-spouse, Craft-repair, Not-in-family, White, Male,0,0,40, Italy, >50K
41, State-gov, Some-college, Married-civ-spouse, Machine-op-inspct, Not-in-family, White, Male,0,0,40, United-States, <=50K
43, Private, Some-college, Separated, Prof-specialty, Wife, Black, Female,0,0,12, United-States, <=50K
34, Federal-gov, Some-college, Separated, Machine-op-inspct, Unmarried, Other, Male,0,0,40, Cambodia, <=50K
19, Private, Some-college, Never-married, Adm-clerical, Own-child, Other, Male,0,0,20, United-States, >50K
17, Private, 10th, Never-married, Handlers-cleaners, Own-child, White, Female,0,0,15, United-States, <=50K
31, Private, HS-grad, Divorced, Other-service, Unmarried, White, Female,0,0,40, Taiwan, <=50K
25, Private, Assoc-acdm, Never-married, Other-service, Wife, White, Female,0,0,40, United-States, <=50K
17, Private, 10th, Never-married, Other-service, Own-child, White, Female,0,0,14, United-States, <=50K
60, Local-gov, HS-grad, Separated, Adm-clerical, Not-in-family, Amer-Indian-Eskimo, Female,0,2281,40, United-States, <=50K
26, Private, Some-college, Married-civ-spouse, Adm-clerical, Husband, White, Male,0,0,40, United-States, <=50K
25, Private, HS-grad, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,40, United-States, <=50K
48, Private, 1st-4th, Divorced, Other-service, Not-in-family, White, Female,0,0,40, United-States, <=50K
53, Private, HS-grad, Married-civ-spouse, Sales, Husband, White, Female,0,0,40, El-Salvador, >50K
23, Private, Bachelors, Married-civ-spouse, Craft-repair, Other-relative, White, Male,0,0,40, South, <=50K
35, Private, 9th, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, >50K
21, Private, Bachelors, Never-married, Craft-repair, Not-in-family, Black, Male,0,0,40, United-States, <=50K
43, Self-emp-not-inc, Prof-school, Married-civ-spouse, Prof-specialty, Husband, White, Male,99999,0,40, United-States, >50K
31, Private, Some-college, Married-civ-spouse, Prof-specialty, Not-in-family, White, Male,0,0,50, United-States, >50K
42, Private, Bachelors, Divorced, Exec-managerial, Not-in-family, Asian-Pac-Islander, Female,0,1591,40, United-States, <=50K
53, State-gov, HS-grad, Married-civ-spouse, Farming-fishing, Husband, White, Male,0,0,40, United-States, >50K
30, Self-emp-inc, Bachelors, Separated, Sales, Not-in-family, Asian-Pac-Islander, Male,0,0,65, United-States, <=50K
72, Local-gov, 10th, Married-civ-spouse, Machine-op-inspct, Not-in-family, Other, Male,0,0,14, Germany, <=50K
51, Private, Doctorate, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,50, United-States, >50K
34, Private, 5th-6th, Married-civ-spouse, Protective-serv, Husband, White, Male,0,0,50, United-States, <=50K
17, Private, 12th, Never-married, Prof-specialty, Own-child, White, Female,0,0,20, United-States, <=50K
51, Private, Some-college, Divorced, Craft-repair, Unmarried, White, Male,0,0,40, Trinadad&Tobago, <=50K
56, Self-emp-not-inc, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, United-States, >50K
30, Self-emp-inc, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,8395,0,50, United-States, >50K
55, Private, Assoc-acdm, Separated, Other-service, Unmarried, White, Female,0,0,40, United-States, <=50K
63, Self-emp-not-inc, Prof-school, Divorced, Adm-clerical, Not-in-family, White, Male,0,0,40, United-States, <=50K
71, Private, 9th, Widowed, Adm-clerical, Wife, Asian-Pac-Islander, Female,0,0,35, United-States, <=50K
51, Private, Assoc-voc, Married-civ-spouse, Craft-repair, Husband, Other, Male,4640,0,40, United-States, <=50K
36, Private, Prof-school, Married-civ-spouse, Craft-repair, Husband, White, Female,0,0,50, United-States, <=50K
44, Private, Bachelors, Divorced, Craft-repair, Unmarried, White, Male,0,0,30, United-States, <=50K
35, Private, Bachelors, Never-married, Craft-repair, Husband, White, Male,0,2043,45, Dominican-Republic, >50K
48, Private, 10th, Divorced, Exec-managerial, Unmarried, White, Female,0,0,46, United-States, <=50K
38, Self-emp-inc, HS-grad, Married-civ-spouse, Tech-support, Husband, White, Male,0,0,60, United-States, >50K
43, Federal-gov, HS-grad, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,40, Germany, <=50K
23, Private, Some-college, Never-married, Sales, Not-in-family, Black, Female,0,1902,40, United-States, <=50K
59, Private, HS-grad, Divorced, Adm-clerical, Not-in-family, White, Female,0,0,38, United-States, <=50K
27, Private, Bachelors, Married-civ-spouse, Other-service, Husband, White, Male,0,0,54, United-States, <=50K
61, Private, Bachelors, Married-civ-spouse, Prof-specialty, Wife, White, Female,8011,0,40, United-States, >50K
19, Private, Some-college, Divorced, Sales, Own-child, Other, Female,0,0,15, Mexico, <=50K
51, Private, HS-grad, Separated, Other-service, Unmarried, White, Female,0,0,30, United-States, <=50K
26, Private, HS-grad, Married-civ-spouse, Sales, Not-in-family, White, Male,0,0,40, United-States, >50K
47, Self-emp-not-inc, HS-grad, Married-civ-spouse, Prof-specialty, Wife, White, Female,0,0,20, United-States, >50K
44, Private, 5th-6th, Married-civ-spouse, Craft-repair, Husband, Black, Female,0,0,40, Jamaica, <=50K
27, Private, Some-college, Married-spouse-absent, Adm-clerical, Not-in-family, White, Female,0,0,50, Canada, <=50K
44, Local-gov, HS-grad, Married-civ-spouse, Adm-clerical, Wife, White, Female,0,0,40, United-States, <=50K
36, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, Other, Male,0,0,40, Thailand, <=50K
34, Self-emp-not-inc, Masters, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,50, United-States, <=50K
30, Federal-gov, Bachelors, Never-married, Prof-specialty, Husband, White, Male,99999,0,70, United-States, >50K
