47, Private, Bachelors, Divorced, Adm-clerical, Unmarried, Amer-Indian-Eskimo, Male,0,0,40, Dominican-Republic, <=50K
58, Private, HS-grad, Married-civ-spouse, Transport-moving, Husband, Other, Female,0,0,40, Columbia, <=50K
49, Local-gov, Bachelors, Divorced, Other-service, Unmarried, Amer-Indian-Eskimo, Female,0,0,60, China, <=50K
45, Private, Some-college, Never-married, Handlers-cleaners, Unmarried, Other, Female,0,0,40, India, <=50K
52, Private, Masters, Married-civ-spouse, Exec-managerial, Husband, Asian-Pac-Islander, Male,15024,0,50, United-States, >50K
58, Private, Bachelors, Married-civ-spouse, Sales, Wife, Asian-Pac-Islander, Male,99999,0,35, Haiti, >50K
38, State-gov, HS-grad, Married-civ-spouse, Craft-repair, Husband, Other, Male,0,0,40, Haiti, <=50K
40, Private, Masters, Never-married, Prof-specialty, Not-in-family, Amer-Indian-Eskimo, Female,0,0,50, United-States, <=50K
30, Private, HS-grad, Married-civ-spouse, Other-service, Husband, Amer-Indian-Eskimo, Female,0,0,40, China, <=50K
38, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, England, >50K
20, Private, Some-college, Never-married, Other-service, Unmarried, Other, Female,0,0,20, United-States, <=50K
56, Private, Bachelors, Divorced, Exec-managerial, Not-in-family, White, Male,0,0,45, United-States, <=50K
33, Private, HS-grad, Never-married, Craft-repair, Not-in-family, White, Male,0,0,40, United-States, <=50K
20, Private, HS-grad, Never-married, Other-service, Not-in-family, Other, Female,0,0,37, Trinadad&Tobago, <=50K
41, Private, Bachelors, Never-married, Tech-support, Not-in-family, White, Female,0,0,38, Germany, <=50K
39, Private, Bachelors, Married-civ-spouse, Machine-op-inspct, Husband, Black, Male,5013,0,80, Columbia, >50K
21, Federal-gov, Assoc-acdm, Never-married, Sales, Own-child, Other, Male,0,1675,18, Mexico, <=50K
53, Self-emp-not-inc, Bachelors, Divorced, Other-service, Wife, White, Male,0,0,40, United-States, >50K
34, Private, Some-college, Married-civ-spouse, Sales, Husband, Amer-Indian-Eskimo, Male,7687,0,60, South, <=50K
38, Private, HS-grad, Divorced, Exec-managerial, Unmarried, Amer-Indian-Eskimo, Male,0,0,48, Jamaica, <=50K
30, Self-emp-not-inc, Some-college, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,30, United-States, <=50K
37, Private, HS-grad, Married-civ-spouse, Sales, Husband, Black, Male,0,0,35, France, <=50K
48, State-gov, Masters, Married-civ-spouse, Craft-repair, Husband, Asian-Pac-Islander, Male,0,0,40, Honduras, >50K
56, Private, HS-grad, Widowed, Adm-clerical, Unmarried, White, Male,0,0,40, United-States, <=50K
27, Self-emp-inc, HS-grad, Married-spouse-absent, Craft-repair, Husband, White, Male,0,0,43, United-States, <=50K
35, State-gov, HS-grad, Separated, Other-service, Husband, White, Male,0,0,30, Honduras, <=50K
47, Private, Assoc-voc, Married-civ-spouse, Machine-op-inspct, Husband, Black, Male,0,0,40, El-Salvador, <=50K
51, Private, Masters, Separated, Prof-specialty, Unmarried, Other, Male,0,0,40, Guatemala, <=50K
51, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, Other, Female,0,0,50, Taiwan, <=50K
28, Private, Some-college, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,1671,40, United-States, >50K
41, Private, Some-college, Never-married, Farming-fishing, Not-in-family, White, Male,0,0,40, Poland, <=50K
21, Private, Some-college, Never-married, Sales, Husband, Black, Male,0,0,40, South, <=50K
33, Private, Masters, Never-married, Other-service, Unmarried, Black, Male,0,0,40, Trinadad&Tobago, <=50K
47, Private, HS-grad, Separated, Transport-moving, Unmarried, Amer-Indian-Eskimo, Male,0,0,40, Portugal, <=50K
26, Private, 5th-6th, Never-married, Other-service, Not-in-family, Amer-Indian-Eskimo, Female,0,0,8, United-States, <=50K
28, Private, Some-college, Never-married, Sales, Unmarried, Amer-Indian-Eskimo, Male,0,0,40, China, <=50K
38, Self-emp-not-inc, HS-grad, Married-civ-spouse, Handlers-cleaners, Husband, Other, Male,0,0,45, Taiwan, >50K
52, Private, Bachelors, Divorced, Adm-clerical, Not-in-family, White, Female,0,0,50, Poland, <=50K
36, State-gov, HS-grad, Married-civ-spouse, Sales, Husband, Amer-Indian-Eskimo, Female,0,0,1, Ireland, <=50K
65, Private, Some-college, Widowed, Craft-repair, Not-in-family, Asian-Pac-Islander, Female,0,0,40, Mexico, <=50K
46, Local-gov, 9th, Divorced, Other-service, Unmarried, White, Male,0,0,40, United-States, <=50K
52, Private, Masters, Never-married, Craft-repair, Not-in-family, Amer-Indian-Eskimo, Male,0,0,40, England, <=50K
53, State-gov, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,49, Hong, >50K
27, Private, 11th, Never-married, Prof-specialty, Not-in-family, Amer-Indian-Eskimo, Female,0,0,40, Greece, <=50K
50, Local-gov, Some-college, Married-civ-spouse, Transport-moving, Husband, Black, Female,0,0,60, Philippines, >50K
45, Private, HS-grad, Married-civ-spouse, Prof-specialty, Wife, Black, Female,93503,0,38, Laos, >50K
33, Self-emp-not-inc, Some-college, Married-civ-spouse, Other-service, Husband, Amer-Indian-Eskimo, Female,0,0,42, Iran, >50K
50, Private, Bachelors, Divorced, Tech-support, Unmarried, Other, Male,0,0,40, Poland, <=50K
36, Private, Some-college, Never-married, Prof-specialty, Not-in-family, White, Male,0,0,40, Cuba, <=50K
62, Private, Bachelors, Married-civ-spouse, Farming-fishing, Husband, White, Male,99999,0,40, Honduras, >50K
58, Private, HS-grad, Married-civ-spouse, Priv-house-serv, Husband, Black, Male,0,0,40, United-States, <=50K
47, Private, Assoc-voc, Divorced, Adm-clerical, Unmarried, White, Male,0,0,35, Japan, >50K
41, Local-gov, 5th-6th, Divorced, Exec-managerial, Not-in-family, White, Male,0,0,38, India, <=50K
19, Local-gov, Assoc-acdm, Never-married, Adm-clerical, Own-child, Amer-Indian-Eskimo, Male,0,0,20, Nicaragua, <=50K
48, Private, Some-college, Divorced, Prof-specialty, Unmarried, White, Female,0,0,50, Poland, <=50K
25, Private, Assoc-voc, Never-married, Prof-specialty, Own-child, Asian-Pac-Islander, Male,0,0,40, Cuba, <=50K
44, Self-emp-not-inc, HS-grad, Divorced, Adm-clerical, Not-in-family, White, Female,0,0,55, Mexico, <=50K
41, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, Other, Male,0,0,50, Honduras, <=50K
41, Private, Some-college, Divorced, Machine-op-inspct, Not-in-family, White, Female,4858,0,40, Honduras, <=50K
37, Self-emp-not-inc, HS-grad, Married-civ-spouse, Sales, Husband, Asian-Pac-Islander, Female,0,1977,60, Dominican-Republic, >50K
51, Private, HS-grad, Married-civ-spouse, Sales, Husband, Black, Female,0,0,40, Hungary, <=50K
30, Private, Bachelors, Divorced, Prof-specialty, Own-child, Black, Female,0,0,37, Laos, <=50K
25, Self-emp-not-inc, HS-grad, Married-civ-spouse, Farming-fishing, Own-child, Amer-Indian-Eskimo, Female,0,0,60, United-States, <=50K
25, Private, HS-grad, Never-married, Sales, Own-child, Other, Female,0,0,40, Nicaragua, <=50K
37, Self-emp-inc, HS-grad, Married-civ-spouse, Exec-managerial, Husband, Amer-Indian-Eskimo, Female,15024,0,40, Portugal, <=50K
31, Private, Masters, Never-married, Sales, Own-child, Amer-Indian-Eskimo, Male,0,0,40, United-States, <=50K
35, Private, HS-grad, Never-married, Machine-op-inspct, Not-in-family, White, Male,0,0,40, United-States, <=50K
46, Private, Some-college, Married-civ-spouse, Sales, Husband, Asian-Pac-Islander, Male,0,0,60, Ireland, >50K
42, Private, 9th, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, Dominican-Republic, <=50K
21, Private, Some-college, Never-married, Adm-clerical, Husband, White, Male,0,0,40, Vietnam, <=50K
50, Private, Assoc-voc, Separated, Machine-op-inspct, Wife, Black, Female,0,0,50, Hungary, >50K
52, Self-emp-not-inc, Bachelors, Divorced, Adm-clerical, Unmarried, Amer-Indian-Eskimo, Female,0,0,35, Puerto-Rico, <=50K
47, State-gov, Masters, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, Laos, >50K
61, Private, 5th-6th, Divorced, Tech-support, Wife, White, Male,0,0,38, Portugal, <=50K
28, Private, Some-college, Married-civ-spouse, Adm-clerical, Own-child, Black, Male,0,0,20, Vietnam, >50K
42, Private, Some-college, Married-civ-spouse, Adm-clerical, Unmarried, Amer-Indian-Eskimo, Female,0,0,23, Ireland, <=50K
65, Private, Bachelors, Married-civ-spouse, Craft-repair, Unmarried, Other, Female,0,0,40, El-Salvador, <=50K
20, Private, Some-college, Never-married, Sales, Own-child, White, Male,0,0,20, Taiwan, <=50K
28, Private, HS-grad, Separated, Tech-support, Unmarried, Other, Male,0,0,16, Italy, <=50K
30, Private, 9th, Married-civ-spouse, Handlers-cleaners, Husband, Black, Male,0,0,50, Italy, <=50K
36, Private, Bachelors, Married-civ-spouse, Other-service, Husband, Other, Male,0,0,12, United-States, <=50K
19, Private, HS-grad, Never-married, Prof-specialty, Own-child, Black, Male,0,0,20, Portugal, <=50K
25, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, Asian-Pac-Islander, Male,0,0,45, Peru, >50K
64, Self-emp-not-inc, Some-college, Widowed, Craft-repair, Not-in-family, Other, Female,0,0,40, Haiti, <=50K
60, Private, Some-college, Married-civ-spouse, Sales, Husband, White, Male,15024,0,60, England, >50K
54, Local-gov, 5th-6th, Married-civ-spouse, Craft-repair, Husband, Asian-Pac-Islander, Male,0,0,40, Ireland, <=50K
66, Private, 9th, Divorced, Prof-specialty, Not-in-family, Black, Male,0,0,20, Peru, <=50K
51, Private, Some-college, Married-civ-spouse, Adm-clerical, Husband, Other, Female,7838,0,54, Thailand, >50K
20, Private, Some-college, Never-married, Transport-moving, Own-child, Black, Female,0,0,25, Puerto-Rico, <=50K
53, Private, HS-grad, Separated, Adm-clerical, Husband, Amer-Indian-Eskimo, Male,0,0,32, United-States, <=50K
34, Private, HS-grad, Never-married, Sales, Not-in-family, Amer-Indian-Eskimo, Male,0,0,40, Mexico, <=50K
27, Private, Bachelors, Never-married, Machine-op-inspct, Not-in-family, White, Female,0,0,45, El-Salvador, <=50K
44, Private, Masters, Married-civ-spouse, Machine-op-inspct, Husband, Amer-Indian-Eskimo, Male,0,0,40, Portugal, >50K
43, Federal-gov, HS-grad, Married-civ-spouse, Tech-support, Husband, White, Male,0,0,45, United-States, >50K
51, Private, 7th-8th, Married-civ-spouse, Craft-repair, Husband, Asian-Pac-Islander, Male,0,0,40, Italy, >50K
31, Private, HS-grad, Married-civ-spouse, Sales, Husband, Black, Female,0,0,50, Hungary, >50K
42, Private, Masters, Married-civ-spouse, Transport-moving, Wife, Other, Male,7687,0,43, United-States, >50K
27, Private, HS-grad, Never-married, Transport-moving, Not-in-family, Other, Male,0,0,40, Yugoslavia, <=50K
45, Self-emp-inc, HS-grad, Separated, Craft-repair, Not-in-family, Asian-Pac-Islander, Male,0,0,40, Canada, <=50K
46, Private, Bachelors, Divorced, Adm-clerical, Not-in-family, Asian-Pac-Islander, Female,0,0,40, Hungary, <=50K
40, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,50, United-States, >50K
46, Private, Some-college, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,40, Haiti, <=50K
44, Self-emp-inc, Some-college, Married-civ-spouse, Sales, Husband, White, Male,0,1902,40, Cuba, <=50K
50, Private, Some-college, Divorced, Exec-managerial, Unmarried, Black, Male,0,0,40, Hong, <=50K
20, Private, Some-college, Never-married, Other-service, Own-child, White, Male,0,0,16, Vietnam, <=50K
27, Private, Bachelors, Never-married, Adm-clerical, Not-in-family, Other, Male,0,0,35, Philippines, <=50K
63, Self-emp-inc, Masters, Married-spouse-absent, Farming-fishing, Husband, Asian-Pac-Islander, Male,0,0,92, United-States, <=50K
30, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, Other, Female,4467,0,40, Italy, >50K
35, Private, Assoc-acdm, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, Thailand, <=50K
45, Private, Assoc-voc, Married-civ-spouse, Machine-op-inspct, Wife, Asian-Pac-Islander, Male,0,0,40, Hungary, <=50K
57, Private, HS-grad, Divorced, Sales, Not-in-family, White, Female,0,0,45, Yugoslavia, <=50K
37, Private, HS-grad, Never-married, Prof-specialty, Not-in-family, White, Male,0,0,40, Laos, <=50K
45, Private, Prof-school, Married-civ-spouse, Transport-moving, Husband, White, Male,0,1887,40, Cambodia, >50K
44, Self-emp-not-inc, Masters, Married-civ-spouse, Sales, Husband, White, Male,7298,0,45, Peru, >50K
34, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, Other, Male,7687,0,40, Honduras, >50K
57, Local-gov, Some-college, Divorced, Transport-moving, Not-in-family, White, Male,0,1986,70, Mexico, <=50K
59, Private, Some-college, Married-civ-spouse, Tech-support, Wife, Asian-Pac-Islander, Male,0,0,10, Nicaragua, >50K
48, Private, Bachelors, Divorced, Adm-clerical, Not-in-family, White, Male,1283,0,10, Canada, <=50K
43, Private, Bachelors, Divorced, Adm-clerical, Unmarried, Asian-Pac-Islander, Male,0,0,40, Trinadad&Tobago, <=50K
53, Private, Some-college, Married-civ-spouse, Exec-managerial, Wife, Asian-Pac-Islander, Male,0,0,40, United-States, >50K
22, Private, HS-grad, Never-married, Farming-fishing, Own-child, Black, Male,0,1681,40, Italy, <=50K
35, Private, Assoc-acdm, Never-married, Adm-clerical, Unmarried, White, Female,0,0,40, El-Salvador, <=50K
53, Self-emp-not-inc, Some-college, Divorced, Prof-specialty, Not-in-family, Other, Female,0,0,60, United-States, <=50K
21, Private, Some-college, Never-married, Sales, Own-child, Asian-Pac-Islander, Male,0,0,40, Vietnam, <=50K
42, Federal-gov, Some-college, Separated, Prof-specialty, Unmarried, Black, Male,0,0,54, Cambodia, <=50K
33, Private, Prof-school, Divorced, Adm-clerical, Wife, Asian-Pac-Islander, Male,15024,0,50, Poland, >50K
22, Self-emp-not-inc, 11th, Married-civ-spouse, Craft-repair, Own-child, Other, Female,0,0,40, Mexico, <=50K
53, Private, HS-grad, Divorced, Other-service, Own-child, White, Female,0,1885,39, Guatemala, >50K
37, Private, Bachelors, Married-civ-spouse, Prof-specialty, Wife, White, Male,0,1845,40, Japan, <=50K
39, Private, HS-grad, Never-married, Craft-repair, Unmarried, Black, Female,0,0,40, Philippines, <=50K
35, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, Amer-Indian-Eskimo, Female,0,0,40, Italy, <=50K
32, Private, Some-college, Never-married, Adm-clerical, Not-in-family, White, Male,0,0,40, United-States, <=50K
20, Private, Some-college, Never-married, Transport-moving, Own-child, Other, Male,0,0,40, Puerto-Rico, <=50K
45, Private, Assoc-acdm, Married-civ-spouse, Prof-specialty, Husband, Other, Female,15024,0,50, Jamaica, >50K
44, Private, HS-grad, Married-civ-spouse, Sales, Husband, White, Female,0,0,40, China, >50K
37, Private, HS-grad, Divorced, Adm-clerical, Not-in-family, Black, Male,0,0,40, Haiti, <=50K
57, Private, HS-grad, Widowed, Exec-managerial, Not-in-family, Black, Male,0,0,35, Trinadad&Tobago, <=50K
35, Private, Assoc-voc, Married-civ-spouse, Exec-managerial, Husband, Asian-Pac-Islander, Male,0,0,45, United-States, <=50K
32, Private, HS-grad, Married-civ-spouse, Other-service, Own-child, White, Male,0,0,40, Ireland, <=50K
37, Self-emp-not-inc, Some-college, Married-civ-spouse, Protective-serv, Own-child, White, Male,0,0,60, Jamaica, >50K
42, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, Amer-Indian-Eskimo, Female,7298,0,45, India, >50K
41, State-gov, HS-grad, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,40, Haiti, <=50K
39, Private, Assoc-voc, Widowed, Prof-specialty, Unmarried, Amer-Indian-Eskimo, Male,0,0,20, Ireland, <=50K
27, Private, Assoc-acdm, Never-married, Machine-op-inspct, Not-in-family, Asian-Pac-Islander, Male,0,0,50, Columbia, <=50K
27, Private, HS-grad, Never-married, Transport-moving, Not-in-family, Other, Male,0,0,35, Hungary, <=50K
50, Private, 9th, Married-civ-spouse, Sales, Husband, Black, Male,0,0,54, Hong, <=50K
30, Private, Some-college, Married-civ-spouse, Other-service, Husband, Black, Female,0,0,30, Hungary, <=50K
64, Self-emp-not-inc, Some-college, Married-civ-spouse, Exec-managerial, Unmarried, White, Male,0,0,24, Haiti, >50K
46, Self-emp-not-inc, Bachelors, Married-civ-spouse, Exec-managerial, Husband, Other, Male,0,0,50, Peru, >50K
25, Private, Bachelors, Divorced, Exec-managerial, Own-child, White, Female,0,0,40, United-States, >50K
25, Private, Assoc-voc, Never-married, Prof-specialty, Not-in-family, Black, Female,0,0,40, Thailand, <=50K
25, Self-emp-not-inc, Some-college, Divorced, Exec-managerial, Own-child, Other, Male,0,0,40, Ireland, <=50K
44, Private, HS-grad, Never-married, Craft-repair, Own-child, Amer-Indian-Eskimo, Male,0,0,40, United-States, <=50K
49, Private, 9th, Married-civ-spouse, Craft-repair, Husband, Asian-Pac-Islander, Male,0,0,32, Yugoslavia, <=50K
40, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, Asian-Pac-Islander, Female,0,0,32, Honduras, <=50K
25, Private, HS-grad, Never-married, Exec-managerial, Own-child, White, Male,0,0,40, Japan, <=50K
30, Private, Bachelors, Never-married, Adm-clerical, Own-child, Black, Male,8062,0,45, China, >50K
18, Private, 10th, Never-married, Other-service, Own-child, Other, Male,0,0,15, South, <=50K
31, Private, HS-grad, Married-civ-spouse, Sales, Husband, White, Male,0,1834,40, Scotland, >50K
64, Local-gov, HS-grad, Married-civ-spouse, Other-service, Not-in-family, White, Male,0,0,24, Columbia, <=50K
42, Private, Masters, Married-civ-spouse, Transport-moving, Husband, Asian-Pac-Islander, Female,0,0,40, United-States, <=50K
