39, Private, Bachelors, Married-civ-spouse, Exec-managerial, Wife, Amer-Indian-Eskimo, Male,0,0,50, Dominican-Republic, >50K
20, Private, HS-grad, Never-married, Craft-repair, Other-relative, White, Male,0,0,40, Greece, <=50K
44, Private, HS-grad, Widowed, Adm-clerical, Unmarried, White, Female,0,0,40, Canada, <=50K
45, Private, Doctorate, Separated, Exec-managerial, Not-in-family, Black, Female,0,0,40, Canada, >50K
51, State-gov, Some-college, Widowed, Exec-managerial, Unmarried, Black, Female,0,0,40, Yugoslavia, <=50K
38, Private, Masters, Never-married, Farming-fishing, Own-child, White, Male,0,0,37, Thailand, <=50K
53, Private, Some-college, Married-civ-spouse, Tech-support, Husband, White, Male,0,0,45, Scotland, >50K
41, Private, Some-college, Never-married, Protective-serv, Not-in-family, White, Female,0,0,40, El-Salvador, <=50K
46, Private, Some-college, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,43, Guatemala, <=50K
42, Self-emp-inc, Bachelors, Married-civ-spouse, Sales, Husband, White, Male,0,0,60, Guatemala, >50K
41, State-gov, HS-grad, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, Ecuador, <=50K
17, Private, 11th, Never-married, Other-service, Own-child, White, Female,0,0,20, Ecuador, <=50K
17, Private, 11th, Never-married, Sales, Own-child, White, Female,0,0,16, Peru, <=50K
40, Federal-gov, Assoc-voc, Never-married, Adm-clerical, Wife, White, Male,0,0,35, Japan, >50K
33, Private, HS-grad, Never-married, Other-service, Unmarried, White, Female,0,0,40, Japan, <=50K
31, Private, Some-college, Never-married, Sales, Not-in-family, Asian-Pac-Islander, Male,4809,0,50, France, >50K
22, Private, 5th-6th, Never-married, Other-service, Not-in-family, White, Female,0,0,15, Laos, <=50K
45, Private, HS-grad, Divorced, Other-service, Unmarried, White, Male,0,0,54, Portugal, <=50K
19, Private, 11th, Never-married, Other-service, Own-child, White, Male,0,0,30, France, <=50K
26, Private, HS-grad, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,40, Hong, <=50K
55, Federal-gov, HS-grad, Widowed, Machine-op-inspct, Not-in-family, Black, Female,0,0,42, Mexico, <=50K
35, Self-emp-not-inc, HS-grad, Never-married, Handlers-cleaners, Not-in-family, White, Male,0,0,40, Japan, <=50K
40, Self-emp-not-inc, Bachelors, Married-civ-spouse, Prof-specialty, Husband, Asian-Pac-Islander, Male,0,0,40, Holand-Netherlands, >50K
47, Self-emp-not-inc, Masters, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,50, Yugoslavia, >50K
30, Private, Assoc-voc, Divorced, Exec-managerial, Not-in-family, White, Female,0,0,40, Cuba, <=50K
45, Self-emp-inc, HS-grad, Married-civ-spouse, Exec-managerial, Husband, White, Male,15024,0,60, Ecuador, >50K
37, Private, HS-grad, Never-married, Other-service, Not-in-family, White, Female,0,0,45, India, <=50K
60, Private, Some-college, Married-civ-spouse, Other-service, Husband, White, Male,0,0,48, Peru, <=50K
21, State-gov, HS-grad, Never-married, Craft-repair, Not-in-family, White, Male,0,0,35, Dominican-Republic, <=50K
17, Private, 10th, Never-married, Sales, Own-child, White, Female,0,0,11, Japan, <=50K
28, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,3376,0,45, Jamaica, >50K
47, Private, Bachelors, Never-married, Tech-support, Not-in-family, White, Female,0,0,35, South, >50K
31, Self-emp-not-inc, Some-college, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, Thailand, <=50K
55, Private, 5th-6th, Divorced, Adm-clerical, Own-child, White, Female,0,0,30, Ecuador, <=50K
47, Self-emp-not-inc, HS-grad, Married-civ-spouse, Tech-support, Husband, White, Male,0,0,45, Canada, <=50K
45, Private, HS-grad, Divorced, Craft-repair, Husband, White, Male,0,0,60, Yugoslavia, <=50K
35, Private, HS-grad, Never-married, Prof-specialty, Not-in-family, Black, Male,0,0,40, Taiwan, >50K
42, Private, Prof-school, Never-married, Prof-specialty, Husband, Other, Male,0,0,95, Greece, <=50K
24, Private, HS-grad, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,0,0,45, Poland, <=50K
43, Private, Bachelors, Never-married, Tech-support, Not-in-family, White, Female,0,0,40, Haiti, >50K
41, Private, Assoc-acdm, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,48, Puerto-Rico, <=50K
32, Federal-gov, Some-college, Never-married, Adm-clerical, Unmarried, Black, Female,0,0,40, Jamaica, <=50K
22, Private, 12th, Never-married, Adm-clerical, Not-in-family, White, Female,0,0,25, India, <=50K
30, Private, HS-grad, Married-civ-spouse, Sales, Husband, White, Male,0,0,40, France, <=50K
23, Private, Bachelors, Never-married, Sales, Husband, White, Male,0,0,52, Germany, <=50K
50, Self-emp-not-inc, Some-college, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, Ireland, >50K
51, Private, HS-grad, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, Japan, >50K
45, Private, 9th, Divorced, Craft-repair, Unmarried, White, Female,0,0,40, Columbia, <=50K
49, Private, Bachelors, Married-civ-spouse, Adm-clerical, Wife, Black, Male,0,0,40, Jamaica, <=50K
26, Private, HS-grad, Never-married, Farming-fishing, Wife, White, Female,0,0,40, Ecuador, <=50K
52, Private, HS-grad, Divorced, Craft-repair, Not-in-family, White, Male,0,0,40, Taiwan, <=50K
20, Private, Prof-school, Never-married, Sales, Own-child, White, Female,99999,0,20, Dominican-Republic, <=50K
47, Private, HS-grad, Married-civ-spouse, Sales, Husband, Other, Male,0,0,40, Germany, >50K
54, Private, 9th, Widowed, Adm-clerical, Unmarried, White, Female,0,0,10, South, <=50K
23, Private, Assoc-acdm, Never-married, Tech-support, Not-in-family, White, Male,0,0,40, Canada, <=50K
30, Self-emp-inc, Some-college, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,55, Dominican-Republic, >50K
32, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,60, Holand-Netherlands, <=50K
31, Private, HS-grad, Married-civ-spouse, Exec-managerial, Own-child, White, Male,0,0,40, Iran, >50K
64, Self-emp-not-inc, HS-grad, Divorced, Exec-managerial, Husband, White, Male,0,0,40, United-States, <=50K
34, Private, Assoc-voc, Never-married, Other-service, Other-relative, White, Female,0,0,37, Trinadad&Tobago, <=50K
41, Private, HS-grad, Married-civ-spouse, Sales, Husband, White, Male,0,1560,40, Columbia, <=50K
21, Private, HS-grad, Never-married, Handlers-cleaners, Own-child, White, Male,0,0,35, China, <=50K
59, Private, Some-college, Married-civ-spouse, Craft-repair, Not-in-family, White, Male,0,0,48, Hong, <=50K
32, Private, HS-grad, Never-married, Exec-managerial, Not-in-family, Other, Male,0,0,40, Taiwan, <=50K
24, Private, HS-grad, Married-civ-spouse, Tech-support, Own-child, White, Male,0,0,43, Guatemala, <=50K
26, State-gov, HS-grad, Married-civ-spouse, Craft-repair, Other-relative, White, Male,0,0,40, Guatemala, <=50K
45, Private, HS-grad, Divorced, Other-service, Own-child, Black, Female,0,0,20, Thailand, <=50K
59, Private, HS-grad, Married-civ-spouse, Sales, Unmarried, White, Female,0,0,38, China, <=50K
23, Private, HS-grad, Never-married, Other-service, Own-child, White, Female,0,0,20, England, <=50K
17, Private, 11th, Never-married, Other-service, Own-child, White, Female,0,0,5, Trinadad&Tobago, <=50K
27, Private, HS-grad, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, Taiwan, <=50K
37, Self-emp-not-inc, HS-grad, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,60, Thailand, >50K
44, Private, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Male,12884,0,40, Scotland, >50K
22, Private, HS-grad, Never-married, Sales, Not-in-family, White, Female,0,0,12, Germany, <=50K
46, Local-gov, Assoc-acdm, Divorced, Machine-op-inspct, Not-in-family, White, Male,0,0,40, China, <=50K
25, Local-gov, HS-grad, Divorced, Other-service, Own-child, White, Male,0,0,40, Jamaica, <=50K
20, Private, Some-college, Never-married, Other-service, Unmarried, Black, Female,0,0,19, Thailand, <=50K
49, Private, Some-college, Married-civ-spouse, Sales, Husband, White, Male,0,0,40, Portugal, <=50K
43, Self-emp-not-inc, Prof-school, Married-civ-spouse, Exec-managerial, Husband, Amer-Indian-Eskimo, Male,0,0,70, Iran, >50K
40, Self-emp-not-inc, Some-college, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,60, United-States, <=50K
39, Private, HS-grad, Never-married, Sales, Not-in-family, White, Female,0,0,60, France, <=50K
21, State-gov, Some-college, Never-married, Handlers-cleaners, Own-child, White, Female,0,0,12, Haiti, <=50K
25, Private, HS-grad, Separated, Adm-clerical, Unmarried, White, Female,0,0,40, Thailand, <=50K
26, State-gov, HS-grad, Never-married, Handlers-cleaners, Not-in-family, White, Male,0,0,10, Taiwan, <=50K
60, Without-pay, Some-college, Widowed, Prof-specialty, Not-in-family, White, Female,2099,0,6, Holand-Netherlands, <=50K
40, Private, Assoc-voc, Divorced, Other-service, Not-in-family, White, Female,0,0,20, El-Salvador, <=50K
31, Private, HS-grad, Separated, Sales, Not-in-family, White, Male,0,0,48, Greece, <=50K
38, Private, Some-college, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,50, Puerto-Rico, >50K
47, Private, Masters, Never-married, Other-service, Not-in-family, White, Male,0,0,40, Taiwan, <=50K
23, Private, Some-college, Separated, Handlers-cleaners, Own-child, White, Male,0,0,20, Nicaragua, <=50K
31, Private, Bachelors, Never-married, Prof-specialty, Husband, White, Male,0,0,40, Poland, >50K
32, Self-emp-not-inc, Some-college, Never-married, Prof-specialty, Unmarried, White, Female,0,0,45, Scotland, <=50K
35, Private, Some-college, Never-married, Tech-support, Own-child, White, Male,0,0,40, Peru, <=50K
48, Private, Assoc-acdm, Married-civ-spouse, Farming-fishing, Husband, White, Male,0,0,50, Thailand, >50K
37, Private, HS-grad, Never-married, Sales, Not-in-family, White, Male,0,0,40, China, <=50K
90, Self-emp-not-inc, HS-grad, Married-civ-spouse, Other-service, Not-in-family, White, Male,0,0,35, Puerto-Rico, <=50K
59, Private, Doctorate, Divorced, Adm-clerical, Not-in-family, White, Female,0,0,40, Outlying-US(Guam-USVI-etc), <=50K
39, State-gov, HS-grad, Married-civ-spouse, Protective-serv, Husband, White, Male,0,0,40, India, <=50K
40, Private, HS-grad, Never-married, Craft-repair, Not-in-family, White, Female,0,0,40, Japan, <=50K
47, Local-gov, 9th, Separated, Other-service, Unmarried, White, Female,0,0,16, Taiwan, <=50K
46, Self-emp-not-inc, Doctorate, Married-civ-spouse, Exec-managerial, Husband, Black, Male,0,0,54, El-Salvador, >50K
19, State-gov, HS-grad, Never-married, Handlers-cleaners, Own-child, White, Male,0,0,35, Holand-Netherlands, <=50K
38, Private, 10th, Never-married, Other-service, Unmarried, Black, Female,0,0,40, Germany, <=50K
42, Local-gov, HS-grad, Married-civ-spouse, Tech-support, Not-in-family, White, Male,0,0,40, Nicaragua, >50K
83, Private, HS-grad, Widowed, Other-service, Wife, White, Female,0,0,20, Italy, <=50K
44, Private, HS-grad, Separated, Machine-op-inspct, Not-in-family, Black, Female,0,0,40, Hungary, <=50K
30, Private, HS-grad, Never-married, Transport-moving, Not-in-family, White, Male,0,0,54, Outlying-US(Guam-USVI-etc), <=50K
73, Private, HS-grad, Widowed, Other-service, Not-in-family, White, Male,0,0,20, Columbia, <=50K
63, Private, Bachelors, Married-civ-spouse, Other-service, Husband, White, Male,0,0,10, Haiti, <=50K
20, Private, Some-college, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,40, United-States, <=50K
44, Private, HS-grad, Divorced, Adm-clerical, Not-in-family, White, Male,0,0,40, Ireland, >50K
52, Local-gov, 1st-4th, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,54, Honduras, <=50K
25, Local-gov, Bachelors, Never-married, Adm-clerical, Not-in-family, White, Male,0,0,46, Japan, <=50K
41, Private, Some-college, Divorced, Other-service, Not-in-family, White, Female,0,0,25, Outlying-US(Guam-USVI-etc), <=50K
52, Private, Assoc-acdm, Separated, Prof-specialty, Not-in-family, White, Female,0,0,50, Cuba, <=50K
33, State-gov, Bachelors, Never-married, Exec-managerial, Not-in-family, White, Female,0,0,45, Jamaica, >50K
26, Private, Bachelors, Never-married, Exec-managerial, Not-in-family, White, Female,0,0,40, Haiti, <=50K
35, Private, Some-college, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,1848,40, Haiti, >50K
43, Private, HS-grad, Divorced, Prof-specialty, Own-child, White, Female,0,0,40, Dominican-Republic, <=50K
33, Private, HS-grad, Married-civ-spouse, Priv-house-serv, Own-child, White, Female,0,1683,30, Honduras, <=50K
19, Private, HS-grad, Never-married, Machine-op-inspct, Own-child, White, Male,0,0,45, Jamaica, <=50K
59, Self-emp-not-inc, HS-grad, Divorced, Exec-managerial, Unmarried, Black, Female,0,0,40, Trinadad&Tobago, <=50K
25, Private, HS-grad, Married-civ-spouse, Sales, Not-in-family, White, Female,2424,0,40, Laos, <=50K
27, Private, Doctorate, Separated, Handlers-cleaners, Not-in-family, Amer-Indian-Eskimo, Female,0,0,48, Outlying-US(Guam-USVI-etc), <=50K
54, Self-emp-not-inc, Some-college, Married-civ-spouse, Sales, Husband, White, Male,0,0,40, Thailand, <=50K
47, Self-emp-not-inc, HS-grad, Married-civ-spouse, Farming-fishing, Husband, White, Male,0,0,70, United-States, <=50K
43, Private, HS-grad, Divorced, Sales, Unmarried, White, Female,0,0,44, India, <=50K
38, Private, 9th, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, Cuba, <=50K
31, Private, Some-college, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, Vietnam, <=50K
90, Private, 7th-8th, Widowed, Other-service, Not-in-family, White, Female,0,0,30, Honduras, <=50K
49, Self-emp-inc, Bachelors, Never-married, Exec-managerial, Not-in-family, Black, Female,0,0,40, Philippines, <=50K
33, State-gov, HS-grad, Never-married, Other-service, Unmarried, White, Female,0,0,35, Italy, <=50K
31, Private, Assoc-acdm, Divorced, Sales, Unmarried, White, Female,0,0,24, Outlying-US(Guam-USVI-etc), <=50K
26, Private, HS-grad, Never-married, Adm-clerical, Not-in-family, White, Female,5062,0,40, Vietnam, <=50K
34, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, India, <=50K
32, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,50, Ecuador, <=50K
38, Private, HS-grad, Separated, Sales, Other-relative, White, Male,0,0,79, Puerto-Rico, >50K
54, Private, HS-grad, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,40, India, <=50K
39, Local-gov, 10th, Divorced, Other-service, Other-relative, White, Male,0,0,54, Iran, <=50K
36, Private, HS-grad, Divorced, Exec-managerial, Not-in-family, White, Male,0,0,40, South, <=50K
35, Private, HS-grad, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,0,0,40, Peru, >50K
35, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,7687,0,38, Nicaragua, >50K
29, Self-emp-not-inc, Some-college, Never-married, Craft-repair, Own-child, White, Male,0,0,40, Guatemala, <=50K
34, Private, Some-college, Separated, Sales, Own-child, White, Female,0,0,35, El-Salvador, <=50K
40, Local-gov, 9th, Never-married, Adm-clerical, Unmarried, White, Male,0,0,40, India, <=50K
30, Private, HS-grad, Divorced, Prof-specialty, Husband, White, Male,0,0,40, Mexico, <=50K
47, Private, Some-college, Never-married, Adm-clerical, Own-child, White, Female,0,0,35, Puerto-Rico, >50K
48, Private, Some-college, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,40, Philippines, >50K
57, Private, Some-college, Widowed, Craft-repair, Not-in-family, Amer-Indian-Eskimo, Female,0,0,40, Taiwan, <=50K
25, Private, Some-college, Never-married, Sales, Other-relative, Black, Female,0,0,40, Jamaica, <=50K
31, Private, Bachelors, Never-married, Prof-specialty, Not-in-family, White, Female,0,0,50, El-Salvador, <=50K
41, Private, Some-college, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,4386,0,40, Philippines, >50K
29, Federal-gov, Bachelors, Married-civ-spouse, Sales, Husband, White, Male,0,0,50, Thailand, >50K
19, Private, 11th, Never-married, Adm-clerical, Own-child, White, Male,0,0,12, India, <=50K
50, Private, Some-college, Never-married, Prof-specialty, Husband, White, Male,0,0,40, Honduras, >50K
52, Private, Doctorate, Married-civ-spouse, Transport-moving, Not-in-family, White, Male,0,0,40, South, >50K
65, State-gov, Doctorate, Divorced, Transport-moving, Not-in-family, White, Female,0,3477,40, Yugoslavia, >50K
63, Self-emp-not-inc, HS-grad, Widowed, Craft-repair, Not-in-family, White, Male,0,0,50, Canada, <=50K
42, Private, HS-grad, Divorced, Craft-repair, Not-in-family, White, Female,0,0,35, Honduras, <=50K
42, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,7298,0,40, United-States, >50K
19, Private, Some-college, Never-married, Sales, Own-child, White, Female,0,0,25, Guatemala, <=50K
54, Private, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, Columbia, >50K
62, Private, Some-college, Widowed, Machine-op-inspct, Unmarried, White, Female,0,0,40, Haiti, <=50K
31, Private, Some-college, Never-married, Other-service, Not-in-family, White, Male,0,0,60, Yugoslavia, <=50K
62, Private, HS-grad, Widowed, Adm-clerical, Not-in-family, White, Male,0,0,48, Outlying-US(Guam-USVI-etc), <=50K
56, Private, Doctorate, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,40, United-States, >50K
22, Private, Doctorate, Never-married, Handlers-cleaners, Not-in-family, White, Female,0,0,35, India, <=50K
23, Private, Assoc-voc, Never-married, Craft-repair, Own-child, White, Male,0,0,40, Scotland, <=50K
40, Private, Bachelors, Never-married, Prof-specialty, Unmarried, Black, Female,0,0,45, Holand-Netherlands, >50K
27, Private, HS-grad, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,40, Yugoslavia, <=50K
22, Private, HS-grad, Never-married, Other-service, Own-child, White, Male,0,0,40, Italy, <=50K
34, Self-emp-not-inc, Some-college, Married-civ-spouse, Sales, Husband, White, Male,0,0,60, Cambodia, >50K
45, Private, Doctorate, Never-married, Sales, Not-in-family, Black, Female,0,0,40, Laos, <=50K
50, Private, HS-grad, Divorced, Handlers-cleaners, Not-in-family, White, Female,0,0,40, Haiti, <=50K
37, Local-gov, Some-college, Married-civ-spouse, Sales, Husband, White, Male,0,0,30, Jamaica, <=50K
27, Private, Some-college, Married-civ-spouse, Sales, Husband, White, Male,0,0,40, Japan, >50K
48, Private, Bachelors, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,54, Canada, >50K
36, Private, Bachelors, Never-married, Adm-clerical, Not-in-family, White, Male,0,0,40, Puerto-Rico, <=50K
66, Private, Some-college, Widowed, Exec-managerial, Wife, White, Female,0,3320,25, Taiwan, >50K
18, Private, Some-college, Never-married, Handlers-cleaners, Own-child, White, Female,2930,0,20, Iran, <=50K
40, Local-gov, Assoc-acdm, Never-married, Exec-managerial, Not-in-family, White, Female,0,0,50, Ecuador, >50K
23, State-gov, Some-college, Never-married, Prof-specialty, Not-in-family, White, Female,0,0,30, South, >50K
31, Private, Some-college, Never-married, Sales, Wife, White, Female,0,0,40, Vietnam, <=50K
38, Federal-gov, Some-college, Separated, Other-service, Unmarried, Black, Female,0,0,6, Cambodia, <=50K
62, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,30, Peru, >50K
60, State-gov, 1st-4th, Divorced, Craft-repair, Not-in-family, White, Female,0,0,25, Jamaica, <=50K
30, Private, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,45, Greece, >50K
23, Private, 11th, Married-civ-spouse, Prof-specialty, Wife, White, Male,0,0,30, Italy, <=50K
29, Private, Bachelors, Never-married, Handlers-cleaners, Own-child, White, Female,7298,0,60, Nicaragua, >50K
24, Private, HS-grad, Never-married, Exec-managerial, Not-in-family, Asian-Pac-Islander, Male,0,0,40, Iran, <=50K
38, Private, Some-college, Married-civ-spouse, Adm-clerical, Husband, White, Male,0,0,58, United-States, <=50K
21, Private, HS-grad, Never-married, Tech-support, Own-child, White, Female,0,0,40, Philippines, <=50K
29, Private, Doctorate, Divorced, Other-service, Not-in-family, White, Female,0,0,50, Ireland, <=50K
50, Private, HS-grad, Married-civ-spouse, Sales, Husband, White, Female,7298,0,40, China, >50K
20, Private, HS-grad, Never-married, Adm-clerical, Own-child, White, Female,0,0,40, Guatemala, <=50K
43, Private, Assoc-acdm, Widowed, Adm-clerical, Unmarried, Black, Female,0,0,40, Scotland, <=50K
17, Private, 10th, Never-married, Other-service, Own-child, White, Male,0,0,20, Trinadad&Tobago, <=50K
34, Self-emp-not-inc, Prof-school, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,48, Hungary, <=50K
33, Private, Some-college, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, Iran, <=50K
90, Self-emp-not-inc, 7th-8th, Married-civ-spouse, Farming-fishing, Husband, White, Female,0,0,54, Hong, <=50K
30, State-gov, HS-grad, Never-married, Other-service, Unmarried, White, Female,0,0,40, Haiti, <=50K
46, Private, HS-grad, Widowed, Other-service, Own-child, White, Female,0,0,48, Hungary, <=50K
35, Private, 9th, Never-married, Machine-op-inspct, Not-in-family, Black, Female,0,0,38, Columbia, <=50K
30, Private, Bachelors, Never-married, Tech-support, Own-child, White, Male,0,0,35, Honduras, <=50K
36, Private, HS-grad, Divorced, Other-service, Unmarried, White, Male,0,0,50, Holand-Netherlands, <=50K
33, Local-gov, Some-college, Never-married, Prof-specialty, Not-in-family, Black, Female,0,0,35, Honduras, <=50K
28, Self-emp-inc, Some-college, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,54, Guatemala, <=50K
39, Self-emp-not-inc, Bachelors, Married-civ-spouse, Farming-fishing, Not-in-family, White, Male,0,0,40, Mexico, <=50K
19, Private, HS-grad, Never-married, Other-service, Not-in-family, White, Female,0,0,25, South, <=50K
54, Private, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Female,0,1902,54, South, >50K
41, Private, Some-college, Divorced, Handlers-cleaners, Not-in-family, White, Female,0,0,25, India, <=50K
44, Private, Doctorate, Separated, Exec-managerial, Wife, White, Male,0,0,40, Taiwan, <=50K
27, Private, HS-grad, Divorced, Craft-repair, Not-in-family, White, Male,0,0,70, Yugoslavia, <=50K
19, Private, Some-college, Never-married, Handlers-cleaners, Own-child, White, Female,0,0,25, Haiti, <=50K
21, Private, HS-grad, Never-married, Craft-repair, Own-child, White, Male,0,0,40, Ireland, <=50K
50, Private, Bachelors, Widowed, Adm-clerical, Unmarried, Black, Female,0,0,38, Canada, <=50K
42, Private, 11th, Divorced, Machine-op-inspct, Unmarried, White, Female,0,0,40, Portugal, <=50K
31, Private, HS-grad, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,60, Portugal, <=50K
21, Private, HS-grad, Never-married, Other-service, Own-child, White, Male,0,0,25, Columbia, <=50K
38, Private, Some-college, Divorced, Sales, Unmarried, White, Female,0,0,40, United-States, <=50K
42, Private, HS-grad, Divorced, Adm-clerical, Unmarried, White, Female,0,0,40, Poland, <=50K
24, Private, HS-grad, Never-married, Other-service, Not-in-family, White, Male,0,0,40, Scotland, <=50K
47, Private, Bachelors, Married-civ-spouse, Prof-specialty, Wife, White, Male,4812,0,40, Vietnam, >50K
49, Private, HS-grad, Divorced, Tech-support, Unmarried, White, Female,0,0,35, El-Salvador, <=50K
55, Private, HS-grad, Married-civ-spouse, Farming-fishing, Husband, White, Male,0,0,50, Jamaica, <=50K
27, Private, HS-grad, Divorced, Sales, Unmarried, White, Female,0,0,40, India, <=50K
17, Private, 11th, Never-married, Other-service, Own-child, White, Female,0,1585,15, Iran, <=50K
46, Private, 9th, Never-married, Craft-repair, Not-in-family, White, Female,0,0,40, Ecuador, <=50K
26, Private, Some-college, Never-married, Adm-clerical, Not-in-family, White, Female,0,0,40, Cambodia, <=50K
36, Private, HS-grad, Divorced, Adm-clerical, Wife, White, Female,0,0,40, Honduras, <=50K
28, Private, Bachelors, Never-married, Prof-specialty, Husband, White, Male,0,0,60, Greece, <=50K
27, Private, Masters, Never-married, Machine-op-inspct, Not-in-family, White, Female,0,0,40, Holand-Netherlands, <=50K
70, Federal-gov, 7th-8th, Widowed, Protective-serv, Husband, White, Male,0,0,40, Hong, <=50K
57, Self-emp-inc, Some-college, Married-civ-spouse, Sales, Husband, White, Male,0,0,50, Thailand, >50K
42, Private, Some-college, Divorced, Other-service, Unmarried, Black, Female,0,0,40, Dominican-Republic, <=50K
47, Private, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, Iran, >50K
