47, Self-emp-not-inc, HS-grad, Married-civ-spouse, Craft-repair, Husband, Amer-Indian-Eskimo, Male,0,0,60, Dominican-Republic, >50K
48, Private, Bachelors, Never-married, Other-service, Unmarried, White, Female,0,0,40, Mexico, <=50K
33, Private, Some-college, Never-married, Sales, Unmarried, Amer-Indian-Eskimo, Male,0,0,40, Germany, <=50K
44, Private, Assoc-voc, Never-married, Handlers-cleaners, Not-in-family, White, Male,0,0,54, Outlying-US(Guam-USVI-etc), <=50K
41, Private, Bachelors, Married-civ-spouse, Machine-op-inspct, Husband, Other, Male,0,0,40, Scotland, >50K
61, Federal-gov, 11th, Married-civ-spouse, Prof-specialty, Wife, Asian-Pac-Islander, Male,0,0,16, France, <=50K
35, Local-gov, Bachelors, Never-married, Other-service, Not-in-family, Black, Female,0,0,40, Hungary, <=50K
17, Private, 11th, Never-married, Other-service, Other-relative, Amer-Indian-Eskimo, Male,0,0,15, Philippines, <=50K
62, Self-emp-not-inc, Bachelors, Never-married, Prof-specialty, Wife, Other, Male,29939,0,71, Mexico, >50K
27, Self-emp-not-inc, HS-grad, Never-married, Sales, Own-child, Asian-Pac-Islander, Male,0,0,40, Hong, <=50K
51, Self-emp-not-inc, Masters, Married-civ-spouse, Craft-repair, Husband, Black, Female,0,0,40, Yugoslavia, <=50K
24, Private, Assoc-acdm, Married-civ-spouse, Handlers-cleaners, Own-child, Other, Male,0,0,28, Dominican-Republic, <=50K
29, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, Black, Female,0,0,40, El-Salvador, <=50K
62, Self-emp-not-inc, 9th, Widowed, Other-service, Not-in-family, Black, Female,0,0,30, Iran, <=50K
32, Private, Some-college, Married-civ-spouse, Prof-specialty, Husband, Other, Female,0,0,40, Poland, >50K
59, State-gov, HS-grad, Divorced, Craft-repair, Not-in-family, Black, Male,0,0,40, Dominican-Republic, <=50K
46, Self-emp-not-inc, 10th, Never-married, Sales, Not-in-family, Other, Female,0,0,25, Laos, <=50K
56, Private, HS-grad, Divorced, Craft-repair, Husband, Asian-Pac-Islander, Female,0,0,40, Mexico, >50K
55, Private, Masters, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,45, United-States, >50K
42, Self-emp-not-inc, Some-college, Divorced, Craft-repair, Not-in-family, Black, Female,0,0,45, United-States, <=50K
29, Private, 11th, Married-civ-spouse, Craft-repair, Husband, Other, Female,0,0,40, El-Salvador, <=50K
37, Private, HS-grad, Married-civ-spouse, Sales, Husband, Asian-Pac-Islander, Male,0,0,40, Canada, <=50K
35, Private, HS-grad, Divorced, Craft-repair, Not-in-family, Other, Female,0,0,40, Yugoslavia, <=50K
79, Self-emp-not-inc, HS-grad, Married-civ-spouse, Protective-serv, Husband, Amer-Indian-Eskimo, Female,0,0,10, United-States, >50K
48, Private, Masters, Married-civ-spouse, Prof-specialty, Husband, Amer-Indian-Eskimo, Female,0,0,60, Guatemala, >50K
34, Private, HS-grad, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, Scotland, <=50K
23, Private, HS-grad, Never-married, Transport-moving, Own-child, White, Male,0,0,40, Holand-Netherlands, <=50K
23, Private, 12th, Never-married, Other-service, Own-child, Asian-Pac-Islander, Female,0,0,15, Taiwan, <=50K
30, Federal-gov, Some-college, Never-married, Adm-clerical, Wife, White, Male,0,0,8, Laos, <=50K
31, Private, 9th, Never-married, Adm-clerical, Not-in-family, White, Male,0,0,40, Ireland, <=50K
42, Private, HS-grad, Divorced, Sales, Husband, White, Male,0,0,40, Germany, <=50K
57, Private, Bachelors, Married-civ-spouse, Protective-serv, Husband, White, Female,0,1902,40, Greece, >50K
28, Self-emp-not-inc, Some-college, Married-civ-spouse, Craft-repair, Husband, Asian-Pac-Islander, Male,0,0,40, Jamaica, >50K
26, Private, HS-grad, Never-married, Exec-managerial, Not-in-family, Other, Male,0,0,45, Mexico, <=50K
61, Local-gov, 10th, Married-civ-spouse, Craft-repair, Husband, Asian-Pac-Islander, Female,0,0,30, Cuba, <=50K
41, Private, HS-grad, Divorced, Adm-clerical, Unmarried, Amer-Indian-Eskimo, Male,0,0,40, Laos, <=50K
31, Private, Bachelors, Divorced, Exec-managerial, Wife, Other, Female,0,0,40, El-Salvador, <=50K
51, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, Asian-Pac-Islander, Male,0,1902,50, United-States, >50K
24, Private, HS-grad, Married-civ-spouse, Transport-moving, Own-child, Asian-Pac-Islander, Male,0,0,40, Dominican-Republic, <=50K
29, Private, Bachelors, Never-married, Sales, Own-child, Amer-Indian-Eskimo, Female,0,0,40, Greece, <=50K
35, Private, 9th, Never-married, Adm-clerical, Not-in-family, White, Female,0,0,35, United-States, <=50K
43, Local-gov, Assoc-voc, Married-civ-spouse, Transport-moving, Husband, Asian-Pac-Islander, Female,0,0,60, China, >50K
32, Private, Some-college, Married-civ-spouse, Exec-managerial, Own-child, Asian-Pac-Islander, Female,0,0,45, Ecuador, <=50K
23, Private, HS-grad, Never-married, Craft-repair, Other-relative, Amer-Indian-Eskimo, Female,0,0,40, Hong, <=50K
27, Private, HS-grad, Married-civ-spouse, Exec-managerial, Own-child, Asian-Pac-Islander, Female,0,0,60, Jamaica, >50K
39, Private, Bachelors, Divorced, Farming-fishing, Not-in-family, Asian-Pac-Islander, Male,0,0,40, United-States, <=50K
26, Private, Assoc-voc, Married-civ-spouse, Protective-serv, Husband, White, Male,0,0,40, United-States, <=50K
56, Local-gov, HS-grad, Married-civ-spouse, Tech-support, Husband, Other, Female,0,1848,40, Cuba, <=50K
39, Private, HS-grad, Never-married, Craft-repair, Not-in-family, Amer-Indian-Eskimo, Female,0,0,40, China, <=50K
46, Private, Some-college, Married-civ-spouse, Exec-managerial, Unmarried, Other, Female,0,0,50, India, <=50K
34, Private, HS-grad, Divorced, Exec-managerial, Own-child, Asian-Pac-Islander, Male,0,0,64, United-States, <=50K
39, Local-gov, HS-grad, Divorced, Sales, Unmarried, Asian-Pac-Islander, Male,0,0,30, Holand-Netherlands, <=50K
39, State-gov, Masters, Divorced, Craft-repair, Unmarried, Other, Male,0,0,10, Haiti, <=50K
20, Private, Some-college, Never-married, Prof-specialty, Own-child, Amer-Indian-Eskimo, Female,0,0,15, United-States, <=50K
51, Private, HS-grad, Divorced, Prof-specialty, Unmarried, Amer-Indian-Eskimo, Female,0,0,40, China, <=50K
17, Private, 11th, Never-married, Other-service, Own-child, White, Male,0,0,10, France, <=50K
24, Private, HS-grad, Never-married, Other-service, Unmarried, Other, Female,0,0,20, United-States, <=50K
21, Private, HS-grad, Never-married, Handlers-cleaners, Own-child, White, Male,0,0,30, United-States, <=50K
45, Private, HS-grad, Never-married, Craft-repair, Not-in-family, White, Male,0,0,40, United-States, <=50K
45, Private, HS-grad, Married-civ-spouse, Other-service, Husband, Other, Female,0,0,40, Trinadad&Tobago, >50K
39, Private, HS-grad, Never-married, Tech-support, Not-in-family, White, Female,0,0,40, Greece, <=50K
24, Local-gov, 5th-6th, Married-civ-spouse, Other-service, Husband, Black, Male,0,0,50, Columbia, >50K
37, Federal-gov, 7th-8th, Married-civ-spouse, Sales, Husband, Other, Male,0,0,50, Laos, <=50K
31, Self-emp-not-inc, HS-grad, Married-civ-spouse, Machine-op-inspct, Wife, White, Male,0,0,40, United-States, >50K
39, Private, Some-college, Married-civ-spouse, Sales, Husband, Amer-Indian-Eskimo, Male,0,0,50, South, <=50K
30, Private, Masters, Married-civ-spouse, Exec-managerial, Husband, Amer-Indian-Eskimo, Male,0,0,40, Italy, <=50K
37, Self-emp-not-inc, Some-college, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,40, United-States, <=50K
28, Private, Some-college, Never-married, Sales, Not-in-family, Other, Female,0,0,35, Germany, <=50K
22, State-gov, Some-college, Never-married, Craft-repair, Not-in-family, Asian-Pac-Islander, Male,0,0,45, Holand-Netherlands, <=50K
27, Self-emp-not-inc, HS-grad, Never-married, Exec-managerial, Own-child, White, Male,0,0,99, United-States, <=50K
21, Self-emp-not-inc, Some-college, Never-married, Craft-repair, Own-child, White, Male,0,0,30, United-States, <=50K
46, Without-pay, Prof-school, Never-married, Prof-specialty, Husband, White, Male,5120,0,40, Holand-Netherlands, <=50K
46, Private, Bachelors, Divorced, Machine-op-inspct, Not-in-family, Black, Male,0,0,40, England, <=50K
45, Private, HS-grad, Widowed, Sales, Not-in-family, Other, Male,0,0,45, Guatemala, <=50K
55, Private, Some-college, Divorced, Exec-managerial, Not-in-family, Other, Female,0,0,40, Thailand, <=50K
22, Private, Some-college, Never-married, Other-service, Not-in-family, White, Male,0,0,40, United-States, <=50K
56, Private, Prof-school, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,50, Poland, >50K
30, Private, HS-grad, Married-spouse-absent, Sales, Husband, Black, Male,0,0,40, South, <=50K
43, Self-emp-not-inc, Masters, Never-married, Prof-specialty, Unmarried, Black, Male,0,0,54, Trinadad&Tobago, <=50K
24, Private, Some-college, Never-married, Sales, Own-child, Amer-Indian-Eskimo, Male,0,0,40, Portugal, <=50K
39, Private, Assoc-voc, Never-married, Machine-op-inspct, Not-in-family, Amer-Indian-Eskimo, Male,15024,0,40, United-States, >50K
24, Private, Some-college, Never-married, Sales, Not-in-family, Amer-Indian-Eskimo, Male,0,0,22, China, <=50K
30, Self-emp-not-inc, HS-grad, Never-married, Machine-op-inspct, Not-in-family, Other, Male,0,0,35, Taiwan, <=50K
28, Private, Bachelors, Married-civ-spouse, Craft-repair, Husband, White, Female,0,0,40, Poland, <=50K
42, State-gov, HS-grad, Married-civ-spouse, Sales, Husband, Amer-Indian-Eskimo, Female,0,0,60, Ireland, >50K
25, Private, Some-college, Never-married, Craft-repair, Own-child, Asian-Pac-Islander, Female,0,0,40, Mexico, <=50K
20, Local-gov, 11th, Never-married, Other-service, Own-child, White, Male,0,0,24, United-States, <=50K
34, Private, HS-grad, Married-civ-spouse, Exec-managerial, Husband, Amer-Indian-Eskimo, Male,0,0,40, England, >50K
43, State-gov, HS-grad, Widowed, Craft-repair, Unmarried, White, Male,0,0,40, Hong, <=50K
32, Private, 10th, Married-civ-spouse, Prof-specialty, Husband, Amer-Indian-Eskimo, Female,0,0,40, Guatemala, <=50K
28, Local-gov, Some-college, Divorced, Tech-support, Unmarried, Black, Female,0,0,20, Philippines, <=50K
60, Private, HS-grad, Married-civ-spouse, Other-service, Wife, Black, Female,0,0,40, Japan, <=50K
48, Self-emp-not-inc, Masters, Married-civ-spouse, Farming-fishing, Husband, Amer-Indian-Eskimo, Female,0,0,50, Iran, >50K
18, Private, Bachelors, Never-married, Tech-support, Own-child, Other, Male,0,0,20, Portugal, <=50K
36, Private, HS-grad, Never-married, Other-service, Unmarried, White, Male,0,0,40, Cuba, <=50K
20, Private, Bachelors, Never-married, Other-service, Own-child, White, Male,0,0,24, Holand-Netherlands, <=50K
23, Private, Some-college, Never-married, Protective-serv, Husband, Black, Female,0,0,40, United-States, <=50K
40, Private, Bachelors, Divorced, Adm-clerical, Own-child, White, Male,0,0,40, Jamaica, >50K
41, Federal-gov, 10th, Divorced, Craft-repair, Not-in-family, White, Male,0,1598,40, Hungary, <=50K
60, Federal-gov, Assoc-acdm, Married-civ-spouse, Adm-clerical, Husband, Amer-Indian-Eskimo, Male,0,0,40, Mexico, <=50K
22, Private, Some-college, Never-married, Other-service, Not-in-family, White, Female,0,0,20, Poland, <=50K
30, Private, Bachelors, Married-civ-spouse, Prof-specialty, Husband, Asian-Pac-Islander, Male,0,0,40, Cuba, <=50K
58, State-gov, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Female,0,0,40, Laos, <=50K
36, Self-emp-not-inc, Bachelors, Divorced, Exec-managerial, Not-in-family, Other, Male,8906,0,54, Honduras, >50K
20, Private, Some-college, Divorced, Handlers-cleaners, Own-child, White, Female,0,0,40, Honduras, <=50K
38, Self-emp-not-inc, HS-grad, Married-civ-spouse, Sales, Husband, Asian-Pac-Islander, Female,0,0,50, Ecuador, >50K
38, Local-gov, Masters, Married-civ-spouse, Sales, Husband, Black, Female,0,0,60, Hungary, >50K
54, Private, Bachelors, Married-civ-spouse, Other-service, Husband, Black, Female,0,0,25, Japan, <=50K
22, Self-emp-not-inc, Bachelors, Never-married, Farming-fishing, Own-child, Amer-Indian-Eskimo, Female,0,0,54, United-States, <=50K
24, Private, HS-grad, Never-married, Sales, Own-child, Other, Female,0,0,30, Nicaragua, <=50K
19, Self-emp-not-inc, HS-grad, Never-married, Other-service, Own-child, Amer-Indian-Eskimo, Female,0,0,10, Portugal, <=50K
26, Self-emp-not-inc, Some-college, Never-married, Sales, Not-in-family, Amer-Indian-Eskimo, Male,0,0,60, United-States, <=50K
49, Private, Bachelors, Divorced, Machine-op-inspct, Not-in-family, White, Male,0,0,40, United-States, <=50K
30, Private, Masters, Married-civ-spouse, Sales, Own-child, Asian-Pac-Islander, Male,0,0,45, Ireland, >50K
40, Private, 5th-6th, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, Dominican-Republic, >50K
35, Private, Some-college, Married-civ-spouse, Craft-repair, Husband, White, Male,7298,0,40, Vietnam, <=50K
47, Private, Assoc-voc, Separated, Machine-op-inspct, Wife, Black, Female,0,0,35, Hong, >50K
22, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, Amer-Indian-Eskimo, Male,0,0,40, Puerto-Rico, <=50K
33, State-gov, HS-grad, Never-married, Other-service, Unmarried, White, Male,0,0,30, Japan, <=50K
44, Private, 9th, Married-civ-spouse, Tech-support, Husband, White, Male,0,0,45, Portugal, >50K
24, Private, HS-grad, Never-married, Craft-repair, Own-child, Black, Male,0,0,60, United-States, <=50K
23, Private, Some-college, Never-married, Exec-managerial, Own-child, Amer-Indian-Eskimo, Female,0,0,20, Ireland, <=50K
19, Private, HS-grad, Never-married, Craft-repair, Own-child, Other, Female,0,0,30, El-Salvador, <=50K
31, Private, HS-grad, Never-married, Protective-serv, Wife, White, Male,7298,0,35, Taiwan, >50K
23, Private, HS-grad, Never-married, Transport-moving, Own-child, Other, Male,0,0,40, Ireland, <=50K
38, Local-gov, 10th, Divorced, Machine-op-inspct, Unmarried, Black, Male,0,0,40, Italy, <=50K
60, Private, Doctorate, Married-civ-spouse, Exec-managerial, Husband, Other, Male,0,0,40, United-States, <=50K
46, Private, Bachelors, Married-civ-spouse, Prof-specialty, Husband, Black, Male,0,0,40, Portugal, >50K
35, Private, HS-grad, Never-married, Craft-repair, Unmarried, Asian-Pac-Islander, Female,0,0,40, Peru, <=50K
37, Self-emp-not-inc, Some-college, Married-civ-spouse, Craft-repair, Own-child, Other, Female,7298,0,40, Holand-Netherlands, >50K
28, Private, Some-college, Never-married, Sales, Own-child, White, Male,0,0,30, England, <=50K
55, Federal-gov, 12th, Married-civ-spouse, Craft-repair, Unmarried, Asian-Pac-Islander, Male,0,0,50, Ireland, <=50K
51, Private, Bachelors, Married-civ-spouse, Protective-serv, Husband, Black, Male,0,0,40, Peru, >50K
33, Local-gov, Some-college, Never-married, Adm-clerical, Not-in-family, Other, Female,0,0,40, Thailand, <=50K
56, Private, Some-college, Widowed, Transport-moving, Not-in-family, Black, Female,0,0,38, Puerto-Rico, <=50K
41, Private, Some-college, Married-civ-spouse, Craft-repair, Husband, Amer-Indian-Eskimo, Male,7687,0,45, United-States, >50K
35, Private, Some-college, Never-married, Sales, Unmarried, Amer-Indian-Eskimo, Male,0,0,50, Mexico, <=50K
51, Self-emp-inc, Bachelors, Never-married, Exec-managerial, Not-in-family, White, Female,0,1887,40, El-Salvador, <=50K
34, Private, Some-college, Never-married, Other-service, Not-in-family, Amer-Indian-Eskimo, Male,0,0,40, Portugal, <=50K
45, Federal-gov, Bachelors, Married-civ-spouse, Sales, Husband, White, Male,0,0,70, United-States, >50K
45, Local-gov, Assoc-acdm, Married-civ-spouse, Adm-clerical, Not-in-family, Asian-Pac-Islander, Male,0,1671,43, Ireland, <=50K
51, Private, Some-college, Married-civ-spouse, Protective-serv, Husband, Black, Female,0,0,40, Hungary, >50K
27, Private, Some-college, Never-married, Transport-moving, Unmarried, Other, Male,0,0,30, United-States, <=50K
50, State-gov, Bachelors, Married-civ-spouse, Transport-moving, Husband, Other, Male,0,0,40, Yugoslavia, >50K
27, Self-emp-not-inc, HS-grad, Never-married, Craft-repair, Own-child, Asian-Pac-Islander, Male,0,0,20, Canada, <=50K
27, Private, HS-grad, Divorced, Craft-repair, Husband, Asian-Pac-Islander, Male,0,0,40, Hong, >50K
51, Private, HS-grad, Divorced, Adm-clerical, Not-in-family, White, Male,0,0,42, United-States, <=50K
32, Private, Some-college, Married-civ-spouse, Sales, Husband, White, Male,0,0,45, Holand-Netherlands, <=50K
47, Self-emp-inc, Masters, Married-civ-spouse, Sales, Husband, White, Male,0,1902,40, Cuba, <=50K
60, Private, Some-college, Married-civ-spouse, Machine-op-inspct, Unmarried, Black, Male,0,0,40, Honduras, <=50K
41, Private, Some-college, Married-civ-spouse, Prof-specialty, Husband, White, Male,15024,0,70, Vietnam, >50K
58, Private, Bachelors, Widowed, Craft-repair, Husband, Other, Male,0,0,40, Philippines, <=50K
19, Private, Some-college, Never-married, Other-service, Own-child, Asian-Pac-Islander, Male,0,0,15, United-States, <=50K
54, Private, HS-grad, Married-civ-spouse, Craft-repair, Not-in-family, Other, Female,3496,0,40, Italy, <=50K
51, Self-emp-not-inc, Bachelors, Married-civ-spouse, Craft-repair, Husband, White, Male,0,1977,40, Trinadad&Tobago, <=50K
31, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, Asian-Pac-Islander, Male,0,0,40, Hong, >50K
31, Private, HS-grad, Never-married, Prof-specialty, Own-child, White, Female,0,0,40, Yugoslavia, <=50K
47, Private, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, Japan, >50K
24, Private, Some-college, Never-married, Sales, Not-in-family, White, Male,0,0,40, Cambodia, <=50K
36, State-gov, HS-grad, Married-civ-spouse, Sales, Husband, White, Male,0,0,1, Peru, <=50K
28, Private, Bachelors, Never-married, Farming-fishing, Not-in-family, Other, Male,0,0,40, Honduras, <=50K
45, Local-gov, Some-college, Married-civ-spouse, Sales, Husband, White, Male,7298,0,50, Mexico, >50K
25, Private, Some-college, Never-married, Sales, Unmarried, Asian-Pac-Islander, Male,0,0,35, Nicaragua, <=50K
73, Private, 7th-8th, Separated, Adm-clerical, Not-in-family, White, Male,0,0,8, Canada, <=50K
29, Private, Bachelors, Never-married, Adm-clerical, Not-in-family, Asian-Pac-Islander, Male,0,0,50, Trinadad&Tobago, <=50K
37, Private, Some-college, Married-civ-spouse, Craft-repair, Wife, Asian-Pac-Islander, Male,0,0,50, United-States, <=50K
38, Self-emp-not-inc, HS-grad, Married-civ-spouse, Exec-managerial, Husband, Black, Male,0,0,60, Italy, <=50K
27, Private, 11th, Married-civ-spouse, Craft-repair, Husband, White, Female,0,0,60, El-Salvador, <=50K
18, State-gov, Some-college, Never-married, Other-service, Own-child, Other, Female,0,0,8, United-States, <=50K
26, Private, Some-college, Never-married, Sales, Own-child, Asian-Pac-Islander, Male,0,0,50, Vietnam, <=50K
38, Federal-gov, Prof-school, Married-civ-spouse, Machine-op-inspct, Husband, Black, Male,0,0,50, Cambodia, >50K
26, Private, Some-college, Never-married, Adm-clerical, Unmarried, Asian-Pac-Islander, Male,0,0,20, Poland, <=50K
37, State-gov, 11th, Married-civ-spouse, Craft-repair, Husband, Other, Female,0,0,40, Mexico, <=50K
18, Private, Some-college, Never-married, Other-service, Own-child, White, Female,0,0,20, Guatemala, <=50K
26, Private, Assoc-acdm, Married-civ-spouse, Prof-specialty, Wife, White, Male,0,0,40, Japan, <=50K
54, Private, Bachelors, Married-civ-spouse, Exec-managerial, Unmarried, Black, Female,0,0,50, Philippines, <=50K
26, Private, HS-grad, Never-married, Craft-repair, Not-in-family, Amer-Indian-Eskimo, Female,0,0,45, Italy, <=50K
51, Private, Prof-school, Married-civ-spouse, Adm-clerical, Husband, White, Male,15024,0,40, United-States, >50K
56, Self-emp-not-inc, HS-grad, Married-civ-spouse, Transport-moving, Husband, Other, Male,0,0,40, Puerto-Rico, <=50K
47, Private, Assoc-acdm, Married-civ-spouse, Prof-specialty, Husband, Other, Female,0,1744,65, Jamaica, >50K
27, Private, HS-grad, Never-married, Sales, Not-in-family, White, Female,0,0,60, China, <=50K
70, Self-emp-not-inc, Bachelors, Married-civ-spouse, Craft-repair, Husband, Black, Male,0,2267,27, Haiti, >50K
39, Private, Assoc-voc, Separated, Exec-managerial, Unmarried, Black, Male,0,0,40, Trinadad&Tobago, <=50K
36, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, Asian-Pac-Islander, Male,0,0,40, United-States, <=50K
18, Self-emp-not-inc, Some-college, Never-married, Prof-specialty, Own-child, White, Male,0,0,10, Ireland, <=50K
45, Self-emp-not-inc, Some-college, Married-civ-spouse, Protective-serv, Own-child, White, Male,0,0,60, Italy, <=50K
36, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, Amer-Indian-Eskimo, Female,0,0,50, India, <=50K
42, State-gov, HS-grad, Never-married, Machine-op-inspct, Own-child, White, Male,0,0,50, Holand-Netherlands, <=50K
50, Private, Bachelors, Widowed, Prof-specialty, Not-in-family, Amer-Indian-Eskimo, Male,0,0,40, Iran, <=50K
64, Local-gov, 10th, Married-civ-spouse, Machine-op-inspct, Husband, Asian-Pac-Islander, Male,0,0,15, Columbia, <=50K
51, Private, Bachelors, Divorced, Tech-support, Not-in-family, Other, Male,0,1902,50, Hong, <=50K
31, Private, 7th-8th, Never-married, Prof-specialty, Not-in-family, Black, Male,0,0,40, Hong, <=50K
50, Local-gov, Some-college, Married-civ-spouse, Prof-specialty, Husband, Black, Female,0,0,40, Hungary, >50K
22, Private, Some-college, Never-married, Craft-repair, Own-child, White, Male,0,0,40, Haiti, <=50K
34, State-gov, Bachelors, Married-civ-spouse, Exec-managerial, Husband, Other, Male,0,0,40, Peru, <=50K
44, Self-emp-not-inc, HS-grad, Married-civ-spouse, Exec-managerial, Husband, White, Male,15024,0,50, United-States, >50K
33, Private, Assoc-voc, Married-civ-spouse, Other-service, Husband, Black, Female,0,0,40, Thailand, >50K
48, Self-emp-not-inc, Masters, Divorced, Craft-repair, Not-in-family, Other, Male,0,0,30, Ireland, <=50K
42, Private, Bachelors, Separated, Craft-repair, Unmarried, Amer-Indian-Eskimo, Male,0,0,45, United-States, <=50K
39, Private, Assoc-voc, Married-civ-spouse, Craft-repair, Husband, Asian-Pac-Islander, Male,7687,0,40, Vietnam, >50K
36, Private, Some-college, Divorced, Craft-repair, Unmarried, Asian-Pac-Islander, Female,0,0,30, Honduras, <=50K
47, Private, Bachelors, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, Jamaica, <=50K
58, Private, Bachelors, Widowed, Adm-clerical, Not-in-family, Black, Male,0,0,40, China, <=50K
60, Private, 10th, Married-civ-spouse, Farming-fishing, Husband, Other, Male,0,0,50, South, >50K
27, Private, HS-grad, Never-married, Sales, Not-in-family, White, Male,0,0,50, Scotland, <=50K
47, Local-gov, HS-grad, Divorced, Other-service, Not-in-family, White, Male,0,0,12, Columbia, <=50K
