43, Self-emp-not-inc, HS-grad, Married-civ-spouse, Craft-repair, Own-child, Amer-Indian-Eskimo, Male,0,0,72, Greece, >50K
60, State-gov, HS-grad, Married-civ-spouse, Prof-specialty, Husband, Asian-Pac-Islander, Male,0,0,45, Hungary, >50K
29, Private, HS-grad, Married-civ-spouse, Exec-managerial, Own-child, Black, Female,0,0,45, Greece, <=50K
51, Self-emp-not-inc, HS-grad, Married-civ-spouse, Prof-specialty, Wife, White, Female,0,0,50, United-States, >50K
78, Local-gov, Assoc-acdm, Widowed, Craft-repair, Not-in-family, White, Female,0,0,10, United-States, <=50K
40, Private, Bachelors, Married-civ-spouse, Prof-specialty, Other-relative, White, Male,0,0,52, United-States, >50K
40, Private, Some-college, Never-married, Prof-specialty, Not-in-family, Amer-Indian-Eskimo, Male,0,0,40, Mexico, <=50K
44, Private, Assoc-acdm, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, United-States, <=50K
39, Private, Bachelors, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,60, United-States, >50K
57, Federal-gov, 7th-8th, Divorced, Prof-specialty, Not-in-family, Black, Male,0,0,30, Ireland, <=50K
27, Private, HS-grad, Never-married, Other-service, Own-child, White, Female,0,1277,40, Scotland, <=50K
50, Local-gov, HS-grad, Widowed, Machine-op-inspct, Not-in-family, Amer-Indian-Eskimo, Male,0,0,40, United-States, <=50K
26, Private, HS-grad, Separated, Other-service, Wife, White, Male,0,0,40, United-States, <=50K
49, Self-emp-not-inc, HS-grad, Married-civ-spouse, Sales, Husband, Other, Male,0,0,50, Scotland, >50K
50, Private, HS-grad, Divorced, Craft-repair, Unmarried, White, Female,0,0,40, Yugoslavia, <=50K
23, Private, Assoc-voc, Never-married, Farming-fishing, Not-in-family, White, Male,0,0,40, France, <=50K
50, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,15024,0,45, Haiti, >50K
37, Self-emp-not-inc, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Female,0,0,54, United-States, >50K
27, Private, Some-college, Married-civ-spouse, Protective-serv, Own-child, White, Female,0,0,40, United-States, <=50K
30, Self-emp-not-inc, HS-grad, Married-civ-spouse, Craft-repair, Husband, Other, Male,0,0,40, France, <=50K
29, Self-emp-not-inc, 11th, Never-married, Sales, Not-in-family, White, Female,0,0,54, United-States, <=50K
30, Private, HS-grad, Divorced, Craft-repair, Not-in-family, Asian-Pac-Islander, Female,0,0,30, United-States, <=50K
45, Private, Masters, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,45, United-States, >50K
58, Self-emp-not-inc, Some-college, Divorced, Exec-managerial, Not-in-family, White, Female,0,0,40, United-States, <=50K
25, Private, 11th, Never-married, Craft-repair, Own-child, White, Female,0,0,30, Haiti, <=50K
43, Private, HS-grad, Divorced, Sales, Own-child, Black, Male,0,0,38, Columbia, <=50K
30, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Female,0,0,35, Yugoslavia, <=50K
48, Private, HS-grad, Married-civ-spouse, Protective-serv, Husband, Asian-Pac-Islander, Female,0,0,44, United-States, >50K
32, Private, Bachelors, Married-civ-spouse, Prof-specialty, Husband, Amer-Indian-Eskimo, Female,0,0,40, Outlying-US(Guam-USVI-etc), >50K
41, Private, HS-grad, Divorced, Other-service, Unmarried, White, Male,0,0,40, United-States, <=50K
20, Private, Some-college, Never-married, Tech-support, Not-in-family, White, Male,0,0,40, Poland, <=50K
30, Private, Assoc-voc, Married-civ-spouse, Exec-managerial, Husband, Black, Female,0,0,40, United-States, <=50K
45, Federal-gov, Some-college, Never-married, Exec-managerial, Own-child, White, Male,0,0,20, United-States, <=50K
51, Self-emp-inc, Assoc-voc, Married-civ-spouse, Craft-repair, Husband, White, Male,7298,0,60, United-States, >50K
38, Private, HS-grad, Divorced, Protective-serv, Own-child, White, Female,0,0,40, Ireland, <=50K
18, Private, HS-grad, Never-married, Sales, Own-child, White, Female,0,0,20, Laos, <=50K
51, Self-emp-not-inc, Prof-school, Married-civ-spouse, Exec-managerial, Wife, Black, Male,15024,0,40, United-States, >50K
21, Private, Some-college, Never-married, Handlers-cleaners, Own-child, White, Male,0,0,25, United-States, <=50K
23, Private, 11th, Married-civ-spouse, Farming-fishing, Own-child, Black, Female,0,0,25, El-Salvador, <=50K
23, Private, Bachelors, Never-married, Adm-clerical, Not-in-family, Asian-Pac-Islander, Male,3103,0,45, United-States, <=50K
40, Private, HS-grad, Married-civ-spouse, Craft-repair, Wife, White, Male,0,0,35, Guatemala, <=50K
42, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, Black, Male,0,0,60, United-States, <=50K
54, Self-emp-inc, HS-grad, Married-civ-spouse, Transport-moving, Husband, Asian-Pac-Islander, Male,0,0,40, Germany, <=50K
30, Private, HS-grad, Married-civ-spouse, Tech-support, Husband, Amer-Indian-Eskimo, Female,0,0,40, Jamaica, <=50K
24, Private, Assoc-acdm, Never-married, Craft-repair, Own-child, White, Male,0,0,80, United-States, >50K
46, Local-gov, Assoc-voc, Never-married, Tech-support, Not-in-family, Black, Female,0,0,40, Cuba, <=50K
26, Private, Some-college, Married-civ-spouse, Craft-repair, Own-child, Asian-Pac-Islander, Male,0,0,40, Germany, <=50K
37, Local-gov, Bachelors, Never-married, Exec-managerial, Not-in-family, Asian-Pac-Islander, Female,0,0,50, Trinadad&Tobago, >50K
44, Private, HS-grad, Divorced, Adm-clerical, Unmarried, Black, Female,0,0,17, United-States, <=50K
20, Private, HS-grad, Divorced, Handlers-cleaners, Own-child, Black, Male,0,0,43, United-States, <=50K
29, Self-emp-not-inc, Bachelors, Never-married, Prof-specialty, Not-in-family, White, Male,0,0,40, United-States, <=50K
26, Private, HS-grad, Married-civ-spouse, Tech-support, Husband, White, Male,0,0,40, El-Salvador, <=50K
33, Private, HS-grad, Married-civ-spouse, Exec-managerial, Husband, Amer-Indian-Eskimo, Male,0,0,65, Dominican-Republic, <=50K
56, Private, Some-college, Married-civ-spouse, Exec-managerial, Unmarried, White, Male,80672,0,56, Scotland, >50K
64, Self-emp-not-inc, HS-grad, Married-civ-spouse, Exec-managerial, Husband, Other, Male,0,0,15, United-States, <=50K
28, Local-gov, Bachelors, Never-married, Prof-specialty, Not-in-family, Black, Male,0,0,40, Taiwan, >50K
36, State-gov, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,4040,0,45, Outlying-US(Guam-USVI-etc), >50K
51, Private, HS-grad, Married-civ-spouse, Priv-house-serv, Husband, Amer-Indian-Eskimo, Male,3756,0,40, United-States, <=50K
27, Private, HS-grad, Married-civ-spouse, Sales, Own-child, Asian-Pac-Islander, Female,0,0,40, Cuba, <=50K
30, Private, HS-grad, Never-married, Machine-op-inspct, Wife, White, Male,0,0,40, India, <=50K
28, Private, HS-grad, Divorced, Other-service, Unmarried, White, Female,0,0,25, United-States, <=50K
45, Private, HS-grad, Never-married, Exec-managerial, Unmarried, White, Male,0,0,60, United-States, <=50K
22, Self-emp-not-inc, Some-college, Never-married, Exec-managerial, Not-in-family, White, Male,0,0,40, United-States, <=50K
17, Private, 11th, Never-married, Other-service, Own-child, White, Female,0,0,20, United-States, <=50K
40, Private, Bachelors, Married-civ-spouse, Sales, Husband, White, Female,0,0,50, Mexico, >50K
46, Local-gov, Assoc-acdm, Divorced, Handlers-cleaners, Not-in-family, White, Male,0,0,60, Ecuador, <=50K
35, Federal-gov, Assoc-acdm, Divorced, Sales, Not-in-family, White, Female,0,0,50, United-States, <=50K
40, State-gov, HS-grad, Married-civ-spouse, Machine-op-inspct, Wife, White, Male,0,0,40, United-States, >50K
21, Private, Some-college, Never-married, Sales, Not-in-family, Asian-Pac-Islander, Male,0,0,32, United-States, <=50K
19, Private, Some-college, Never-married, Handlers-cleaners, Own-child, Amer-Indian-Eskimo, Male,0,0,35, United-States, <=50K
26, State-gov, Some-college, Never-married, Tech-support, Not-in-family, White, Female,0,0,40, United-States, <=50K
20, Private, Some-college, Never-married, Sales, Own-child, White, Female,0,0,8, Ireland, <=50K
47, State-gov, Masters, Married-civ-spouse, Exec-managerial, Husband, Other, Male,3916,0,40, Poland, >50K
22, Self-emp-not-inc, HS-grad, Never-married, Adm-clerical, Not-in-family, White, Male,0,0,48, United-States, <=50K
23, Private, HS-grad, Never-married, Craft-repair, Own-child, White, Male,0,0,40, United-States, <=50K
36, State-gov, Masters, Married-spouse-absent, Prof-specialty, Husband, White, Male,0,0,40, Nicaragua, <=50K
19, Private, Bachelors, Divorced, Other-service, Not-in-family, Other, Male,0,0,40, Hungary, <=50K
18, Private, Some-college, Never-married, Sales, Not-in-family, White, Male,0,0,25, Outlying-US(Guam-USVI-etc), <=50K
39, Private, Some-college, Divorced, Exec-managerial, Not-in-family, White, Female,0,0,40, United-States, <=50K
25, Private, HS-grad, Never-married, Other-service, Own-child, White, Male,2727,0,40, United-States, <=50K
28, Private, HS-grad, Separated, Handlers-cleaners, Own-child, White, Male,0,0,30, United-States, <=50K
36, Self-emp-not-inc, Bachelors, Never-married, Prof-specialty, Not-in-family, White, Male,0,0,40, United-States, >50K
18, Private, Some-college, Never-married, Prof-specialty, Own-child, White, Male,0,0,40, United-States, <=50K
42, Private, Masters, Never-married, Sales, Not-in-family, Asian-Pac-Islander, Male,0,0,50, United-States, <=50K
46, Private, Bachelors, Married-spouse-absent, Handlers-cleaners, Husband, Asian-Pac-Islander, Male,0,0,40, United-States, <=50K
30, Private, HS-grad, Never-married, Sales, Unmarried, Asian-Pac-Islander, Female,0,0,40, Cuba, <=50K
61, Self-emp-not-inc, HS-grad, Divorced, Exec-managerial, Not-in-family, White, Male,0,0,38, United-States, <=50K
19, Private, Bachelors, Never-married, Craft-repair, Own-child, White, Female,0,0,40, United-States, <=50K
28, State-gov, HS-grad, Never-married, Protective-serv, Own-child, Amer-Indian-Eskimo, Female,0,0,30, Thailand, <=50K
26, Private, HS-grad, Never-married, Exec-managerial, Not-in-family, Other, Female,0,0,50, United-States, <=50K
32, Private, 7th-8th, Never-married, Other-service, Wife, White, Male,0,0,25, United-States, <=50K
17, Private, 11th, Never-married, Other-service, Own-child, Amer-Indian-Eskimo, Male,0,0,25, Ireland, <=50K
27, State-gov, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, Portugal, <=50K
23, Private, 10th, Never-married, Other-service, Own-child, Asian-Pac-Islander, Female,0,0,40, Jamaica, <=50K
58, Local-gov, Some-college, Married-civ-spouse, Transport-moving, Husband, Other, Female,5178,0,40, United-States, >50K
33, Private, HS-grad, Married-civ-spouse, Other-service, Wife, White, Female,0,0,40, United-States, <=50K
19, Self-emp-not-inc, Some-college, Never-married, Other-service, Own-child, Amer-Indian-Eskimo, Female,0,0,20, United-States, <=50K
31, Private, Bachelors, Never-married, Sales, Not-in-family, White, Male,0,0,40, United-States, <=50K
42, Private, HS-grad, Married-civ-spouse, Other-service, Husband, White, Male,0,0,40, England, >50K
26, Private, HS-grad, Divorced, Handlers-cleaners, Own-child, White, Female,0,0,40, Nicaragua, <=50K
43, Private, Some-college, Married-civ-spouse, Protective-serv, Husband, Other, Female,0,0,40, United-States, <=50K
21, Private, HS-grad, Divorced, Adm-clerical, Own-child, White, Male,0,0,20, United-States, >50K
44, Local-gov, 5th-6th, Divorced, Exec-managerial, Not-in-family, White, Male,0,0,80, South, <=50K
23, Private, Assoc-voc, Married-civ-spouse, Adm-clerical, Own-child, Amer-Indian-Eskimo, Male,0,0,35, United-States, <=50K
50, Private, Prof-school, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,50, United-States, >50K
37, Private, Assoc-voc, Never-married, Prof-specialty, Not-in-family, Black, Male,0,0,40, England, <=50K
56, State-gov, Bachelors, Never-married, Exec-managerial, Not-in-family, White, Female,0,0,18, United-States, <=50K
40, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, Nicaragua, <=50K
33, Private, Some-college, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, Poland, >50K
23, Self-emp-not-inc, Bachelors, Never-married, Sales, Not-in-family, Black, Female,0,0,40, Haiti, <=50K
25, Private, HS-grad, Never-married, Sales, Own-child, Other, Female,0,0,40, Portugal, <=50K
18, Private, Bachelors, Never-married, Other-service, Own-child, Other, Female,0,0,25, United-States, <=50K
32, Self-emp-not-inc, HS-grad, Married-civ-spouse, Exec-managerial, Unmarried, Amer-Indian-Eskimo, Female,0,0,40, United-States, <=50K
28, Private, HS-grad, Married-civ-spouse, Sales, Husband, White, Female,0,0,40, United-States, <=50K
34, Private, HS-grad, Married-spouse-absent, Exec-managerial, Husband, Amer-Indian-Eskimo, Female,0,0,40, United-States, <=50K
33, Self-emp-not-inc, Some-college, Married-civ-spouse, Sales, Husband, Asian-Pac-Islander, Male,0,0,45, United-States, >50K
21, Private, HS-grad, Never-married, Other-service, Own-child, White, Male,0,0,20, United-States, <=50K
26, Private, Some-college, Never-married, Sales, Not-in-family, Black, Female,0,0,38, United-States, <=50K
61, Private, Assoc-acdm, Married-civ-spouse, Craft-repair, Husband, White, Male,7687,0,40, France, >50K
45, Local-gov, Masters, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,35, United-States, >50K
33, Private, Assoc-voc, Married-civ-spouse, Handlers-cleaners, Unmarried, White, Female,0,0,40, Poland, >50K
38, Private, HS-grad, Divorced, Adm-clerical, Not-in-family, Asian-Pac-Islander, Female,0,0,50, United-States, <=50K
48, State-gov, HS-grad, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,0,0,40, United-States, >50K
43, Private, Assoc-acdm, Married-civ-spouse, Transport-moving, Own-child, White, Male,0,0,70, United-States, <=50K
36, Private, HS-grad, Separated, Adm-clerical, Unmarried, Black, Male,0,0,40, United-States, <=50K
46, Private, Masters, Married-civ-spouse, Craft-repair, Husband, Asian-Pac-Islander, Male,5178,0,45, United-States, >50K
53, Private, HS-grad, Divorced, Adm-clerical, Not-in-family, White, Female,0,0,45, Haiti, <=50K
31, Private, HS-grad, Separated, Protective-serv, Unmarried, White, Male,0,0,38, United-States, <=50K
41, Private, HS-grad, Separated, Transport-moving, Wife, White, Male,0,0,40, United-States, <=50K
33, Local-gov, 11th, Divorced, Other-service, Not-in-family, Other, Male,0,0,40, United-States, <=50K
29, Private, HS-grad, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,1977,40, United-States, <=50K
29, Private, HS-grad, Married-civ-spouse, Machine-op-inspct, Husband, Other, Male,0,0,40, United-States, >50K
50, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, Asian-Pac-Islander, Male,0,0,40, United-States, <=50K
44, Self-emp-not-inc, Some-college, Never-married, Craft-repair, Own-child, White, Female,0,0,40, Nicaragua, <=50K
36, Private, Some-college, Married-spouse-absent, Tech-support, Husband, White, Male,0,0,40, Hong, <=50K
26, Private, Assoc-acdm, Married-spouse-absent, Craft-repair, Wife, Black, Male,0,1887,40, United-States, <=50K
26, Private, HS-grad, Married-civ-spouse, Sales, Husband, White, Male,0,0,40, United-States, <=50K
24, Private, Some-college, Never-married, Adm-clerical, Own-child, White, Female,0,0,40, United-States, >50K
30, Private, Some-college, Never-married, Transport-moving, Not-in-family, White, Female,0,0,40, United-States, <=50K
35, Private, Some-college, Never-married, Adm-clerical, Not-in-family, Amer-Indian-Eskimo, Male,0,0,40, United-States, <=50K
47, Private, Some-college, Married-civ-spouse, Sales, Husband, Amer-Indian-Eskimo, Male,0,0,40, United-States, >50K
55, Self-emp-inc, HS-grad, Married-civ-spouse, Farming-fishing, Husband, White, Female,0,0,60, Honduras, <=50K
39, Private, Some-college, Married-civ-spouse, Machine-op-inspct, Other-relative, Amer-Indian-Eskimo, Male,0,0,40, United-States, <=50K
42, Federal-gov, Doctorate, Divorced, Sales, Not-in-family, White, Male,0,0,45, United-States, <=50K
51, Private, 7th-8th, Married-civ-spouse, Craft-repair, Husband, Black, Male,0,0,40, United-States, >50K
29, Private, Some-college, Never-married, Sales, Own-child, Black, Female,0,1502,40, Portugal, <=50K
20, Private, HS-grad, Never-married, Transport-moving, Unmarried, White, Male,0,0,40, United-States, <=50K
20, Self-emp-not-inc, HS-grad, Never-married, Transport-moving, Other-relative, White, Male,0,0,30, Yugoslavia, <=50K
22, Private, HS-grad, Never-married, Craft-repair, Own-child, Black, Male,0,0,40, Columbia, <=50K
53, Private, HS-grad, Divorced, Exec-managerial, Husband, Black, Male,99999,0,60, Puerto-Rico, >50K
34, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,65, United-States, >50K
65, Private, Some-college, Married-civ-spouse, Sales, Husband, White, Male,3633,0,20, Nicaragua, <=50K
27, Private, Some-college, Never-married, Sales, Not-in-family, White, Male,0,0,40, England, <=50K
38, Private, Some-college, Never-married, Machine-op-inspct, Wife, White, Male,0,0,32, Philippines, <=50K
35, Private, Some-college, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, United-States, >50K
31, Private, Bachelors, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,50, United-States, >50K
27, Private, Masters, Never-married, Exec-managerial, Not-in-family, Asian-Pac-Islander, Male,0,0,45, United-States, <=50K
33, Private, HS-grad, Never-married, Craft-repair, Own-child, White, Female,0,0,44, United-States, <=50K
24, State-gov, Bachelors, Never-married, Prof-specialty, Not-in-family, White, Male,0,0,40, United-States, <=50K
40, Local-gov, Bachelors, Never-married, Prof-specialty, Not-in-family, Black, Male,0,0,40, Thailand, <=50K
50, Private, HS-grad, Married-civ-spouse, Protective-serv, Husband, White, Female,0,0,40, Yugoslavia, <=50K
42, Private, Bachelors, Married-civ-spouse, Protective-serv, Husband, White, Male,0,0,40, United-States, >50K
37, Private, Some-college, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,40, Cambodia, <=50K
23, Private, HS-grad, Never-married, Sales, Not-in-family, White, Male,0,0,40, United-States, <=50K
19, Private, Bachelors, Never-married, Handlers-cleaners, Not-in-family, White, Male,0,0,40, Poland, <=50K
62, Local-gov, Some-college, Married-civ-spouse, Sales, Husband, White, Male,7298,0,40, United-States, >50K
33, Private, Some-college, Never-married, Sales, Wife, Asian-Pac-Islander, Male,0,0,20, United-States, <=50K
20, Private, Bachelors, Never-married, Adm-clerical, Own-child, White, Male,0,0,40, China, <=50K
52, Private, Doctorate, Divorced, Adm-clerical, Not-in-family, Black, Female,0,0,35, United-States, <=50K
40, Private, Some-college, Married-civ-spouse, Exec-managerial, Wife, Black, Female,0,0,25, United-States, >50K
22, Private, Some-college, Never-married, Handlers-cleaners, Unmarried, White, Male,0,0,30, United-States, <=50K
26, Private, 7th-8th, Never-married, Craft-repair, Unmarried, White, Female,0,0,40, Haiti, <=50K
33, State-gov, Masters, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, United-States, >50K
24, Private, Some-college, Married-civ-spouse, Sales, Wife, Black, Male,0,0,40, United-States, <=50K
55, Federal-gov, Masters, Separated, Other-service, Wife, Black, Male,0,0,35, Cambodia, <=50K
32, Private, Some-college, Divorced, Adm-clerical, Not-in-family, Black, Male,0,0,50, United-States, <=50K
21, State-gov, 11th, Never-married, Craft-repair, Not-in-family, White, Female,0,0,17, United-States, <=50K
38, Private, HS-grad, Divorced, Prof-specialty, Not-in-family, White, Female,0,0,54, Nicaragua, >50K
27, Private, Bachelors, Never-married, Prof-specialty, Not-in-family, White, Male,4833,0,50, United-States, <=50K
35, Private, Bachelors, Married-civ-spouse, Exec-managerial, Wife, Other, Male,0,0,40, United-States, <=50K
54, Local-gov, HS-grad, Married-civ-spouse, Exec-managerial, Husband, Amer-Indian-Eskimo, Male,0,0,40, United-States, >50K
39, Private, Some-college, Never-married, Adm-clerical, Not-in-family, White, Male,0,0,40, United-States, <=50K
44, Self-emp-not-inc, Bachelors, Never-married, Sales, Not-in-family, White, Male,0,0,40, United-States, <=50K
38, Private, 11th, Married-civ-spouse, Other-service, Husband, White, Female,0,0,24, United-States, <=50K
22, Private, Some-college, Never-married, Sales, Own-child, White, Female,0,0,20, Dominican-Republic, <=50K
25, Private, Bachelors, Married-civ-spouse, Adm-clerical, Own-child, White, Female,0,0,40, Philippines, <=50K
31, Private, Assoc-voc, Never-married, Exec-managerial, Not-in-family, White, Male,0,0,60, United-States, <=50K
22, Private, Bachelors, Never-married, Exec-managerial, Own-child, Black, Male,0,0,40, United-States, <=50K
19, Private, Some-college, Never-married, Protective-serv, Own-child, White, Male,0,0,50, Thailand, <=50K
18, Private, Some-college, Never-married, Other-service, Own-child, White, Male,0,0,20, United-States, <=50K
54, Private, Assoc-voc, Married-civ-spouse, Exec-managerial, Husband, Amer-Indian-Eskimo, Female,0,0,40, Taiwan, <=50K
23, Self-emp-not-inc, HS-grad, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,0,0,40, Mexico, <=50K
36, Private, Bachelors, Separated, Sales, Husband, Asian-Pac-Islander, Male,0,0,60, United-States, >50K
26, Local-gov, Bachelors, Never-married, Prof-specialty, Not-in-family, Other, Male,0,0,60, England, <=50K
27, Private, HS-grad, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,45, Philippines, <=50K
20, Private, 11th, Never-married, Sales, Own-child, Other, Male,0,0,25, Portugal, <=50K
29, Local-gov, Some-college, Divorced, Prof-specialty, Not-in-family, Other, Female,0,0,40, Taiwan, <=50K
26, Private, Some-college, Divorced, Craft-repair, Own-child, White, Male,0,0,35, Mexico, <=50K
26, State-gov, Bachelors, Married-civ-spouse, Handlers-cleaners, Wife, White, Male,0,0,48, United-States, >50K
47, Self-emp-inc, HS-grad, Married-civ-spouse, Farming-fishing, Husband, White, Male,0,0,50, United-States, >50K
55, Private, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Female,0,0,40, United-States, >50K
61, Self-emp-not-inc, Masters, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,54, United-States, <=50K
32, Private, Bachelors, Never-married, Exec-managerial, Wife, Asian-Pac-Islander, Male,0,0,45, United-States, <=50K
60, Private, Assoc-voc, Divorced, Craft-repair, Unmarried, Black, Male,0,0,40, Vietnam, <=50K
48, Self-emp-inc, Prof-school, Married-civ-spouse, Exec-managerial, Husband, Other, Female,0,0,50, Puerto-Rico, >50K
37, Private, HS-grad, Divorced, Exec-managerial, Not-in-family, White, Male,0,0,65, United-States, <=50K
19, Private, HS-grad, Never-married, Adm-clerical, Own-child, White, Male,0,0,24, Cuba, <=50K
43, Private, 10th, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,50, United-States, >50K
47, Private, HS-grad, Divorced, Sales, Not-in-family, White, Male,0,0,40, United-States, <=50K
59, Federal-gov, HS-grad, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,40, El-Salvador, <=50K
40, Private, Masters, Never-married, Sales, Not-in-family, Black, Female,0,0,54, United-States, <=50K
29, Private, Prof-school, Divorced, Exec-managerial, Not-in-family, White, Female,0,0,65, United-States, <=50K
30, Private, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, United-States, >50K
29, Private, Bachelors, Never-married, Prof-specialty, Not-in-family, White, Female,0,0,20, United-States, >50K
30, Private, HS-grad, Divorced, Transport-moving, Unmarried, Black, Female,0,0,40, Honduras, <=50K
43, Private, HS-grad, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,70, United-States, <=50K
24, Private, HS-grad, Never-married, Sales, Unmarried, White, Female,0,0,40, United-States, <=50K
63, Self-emp-not-inc, Doctorate, Married-civ-spouse, Prof-specialty, Husband, White, Female,0,0,40, United-States, >50K
41, Private, Assoc-acdm, Never-married, Adm-clerical, Not-in-family, Black, Female,0,0,54, Hong, <=50K
33, Private, Some-college, Divorced, Adm-clerical, Not-in-family, White, Female,0,0,25, Cambodia, <=50K
24, Private, HS-grad, Married-civ-spouse, Adm-clerical, Wife, White, Male,0,0,40, Portugal, <=50K
