37, Self-emp-inc, HS-grad, Divorced, Adm-clerical, Wife, Amer-Indian-Eskimo, Male,0,0,40, Ecuador, <=50K
41, Private, Assoc-acdm, Never-married, Prof-specialty, Not-in-family, White, Male,0,0,40, United-States, <=50K
45, Private, HS-grad, Married-civ-spouse, Sales, Husband, White, Female,7687,0,40, Cuba, <=50K
55, Local-gov, HS-grad, Married-civ-spouse, Exec-managerial, Unmarried, Amer-Indian-Eskimo, Female,0,0,40, China, >50K
27, Private, Some-college, Never-married, Handlers-cleaners, Wife, Other, Female,0,0,15, Italy, <=50K
38, Private, HS-grad, Married-civ-spouse, Craft-repair, Not-in-family, Black, Male,0,0,40, United-States, <=50K
53, Local-gov, Bachelors, Married-civ-spouse, Protective-serv, Not-in-family, Asian-Pac-Islander, Male,15024,0,50, Honduras, >50K
25, State-gov, HS-grad, Married-civ-spouse, Craft-repair, Other-relative, White, Male,0,0,40, Hong, <=50K
29, Private, HS-grad, Never-married, Other-service, Own-child, Amer-Indian-Eskimo, Female,0,0,16, United-States, <=50K
49, Private, Bachelors, Married-civ-spouse, Prof-specialty, Other-relative, Asian-Pac-Islander, Female,83696,0,50, Canada, >50K
23, Private, HS-grad, Never-married, Machine-op-inspct, Unmarried, White, Male,0,0,40, France, <=50K
34, Private, HS-grad, Married-civ-spouse, Handlers-cleaners, Wife, White, Female,0,0,40, United-States, <=50K
50, Private, Doctorate, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,55, United-States, >50K
29, Private, Prof-school, Never-married, Craft-repair, Husband, White, Male,0,0,40, United-States, <=50K
35, Private, HS-grad, Never-married, Other-service, Husband, White, Female,0,0,40, United-States, <=50K
48, Private, Bachelors, Married-civ-spouse, Tech-support, Husband, White, Female,0,0,50, Greece, >50K
48, Federal-gov, 7th-8th, Married-civ-spouse, Machine-op-inspct, Husband, Other, Male,0,0,40, Columbia, >50K
41, Local-gov, 12th, Married-civ-spouse, Protective-serv, Not-in-family, Other, Male,5219,0,40, Nicaragua, <=50K
46, Self-emp-not-inc, HS-grad, Married-civ-spouse, Handlers-cleaners, Wife, White, Male,0,1902,55, United-States, >50K
63, Private, Some-college, Widowed, Sales, Not-in-family, Amer-Indian-Eskimo, Male,0,0,40, United-States, <=50K
46, Self-emp-not-inc, Masters, Married-civ-spouse, Exec-managerial, Husband, Amer-Indian-Eskimo, Male,0,1902,60, Jamaica, >50K
45, State-gov, Some-college, Married-civ-spouse, Transport-moving, Husband, White, Female,0,0,40, United-States, <=50K
59, Self-emp-inc, HS-grad, Never-married, Sales, Husband, Other, Male,0,0,40, Germany, <=50K
29, State-gov, Some-college, Married-civ-spouse, Craft-repair, Not-in-family, Black, Male,0,0,40, Hungary, <=50K
36, Self-emp-not-inc, HS-grad, Widowed, Adm-clerical, Wife, White, Male,0,0,40, United-States, >50K
25, Self-emp-not-inc, Masters, Never-married, Craft-repair, Other-relative, White, Male,0,0,40, United-States, <=50K
22, Without-pay, Some-college, Separated, Prof-specialty, Husband, White, Male,0,0,40, Hong, <=50K
24, Private, Assoc-voc, Divorced, Machine-op-inspct, Husband, Black, Male,0,0,40, England, <=50K
38, Private, HS-grad, Widowed, Sales, Husband, Other, Male,0,0,40, Haiti, <=50K
61, Private, Some-college, Divorced, Exec-managerial, Husband, White, Female,0,0,40, United-States, <=50K
44, Private, HS-grad, Married-civ-spouse, Other-service, Own-child, White, Male,0,0,30, United-States, <=50K
44, Private, Some-college, Never-married, Exec-managerial, Not-in-family, White, Male,6714,0,40, Puerto-Rico, >50K
34, Private, HS-grad, Separated, Sales, Husband, Black, Male,0,0,40, Trinadad&Tobago, <=50K
41, State-gov, Masters, Married-civ-spouse, Prof-specialty, Unmarried, Other, Male,0,0,40, United-States, <=50K
46, Private, Masters, Married-civ-spouse, Tech-support, Own-child, Asian-Pac-Islander, Male,0,0,40, Taiwan, <=50K
36, Private, 7th-8th, Never-married, Machine-op-inspct, Husband, Amer-Indian-Eskimo, Male,0,1887,40, United-States, >50K
37, Private, Masters, Married-civ-spouse, Sales, Husband, Amer-Indian-Eskimo, Male,0,1887,45, China, >50K
47, State-gov, HS-grad, Married-civ-spouse, Exec-managerial, Own-child, Other, Male,0,0,40, United-States, <=50K
35, Private, Bachelors, Married-civ-spouse, Adm-clerical, Husband, White, Female,0,0,40, Scotland, <=50K
33, State-gov, HS-grad, Never-married, Protective-serv, Husband, Amer-Indian-Eskimo, Female,0,0,48, Italy, <=50K
52, Private, Masters, Never-married, Craft-repair, Husband, Asian-Pac-Islander, Female,0,0,40, Peru, <=50K
61, Federal-gov, 11th, Never-married, Other-service, Wife, White, Male,0,0,30, United-States, <=50K
28, Private, HS-grad, Never-married, Exec-managerial, Own-child, Amer-Indian-Eskimo, Male,0,0,44, France, >50K
41, State-gov, Bachelors, Never-married, Exec-managerial, Not-in-family, White, Male,7298,0,40, India, <=50K
33, Private, 10th, Married-civ-spouse, Prof-specialty, Not-in-family, Amer-Indian-Eskimo, Female,0,0,40, Guatemala, <=50K
61, Local-gov, HS-grad, Divorced, Transport-moving, Unmarried, Black, Female,0,0,30, South, >50K
47, Private, HS-grad, Married-civ-spouse, Other-service, Wife, Other, Female,0,0,50, Mexico, >50K
23, Self-emp-inc, Some-college, Never-married, Machine-op-inspct, Husband, Amer-Indian-Eskimo, Female,0,0,20, Jamaica, <=50K
30, Private, Bachelors, Never-married, Tech-support, Own-child, White, Male,0,0,20, Taiwan, <=50K
43, Private, HS-grad, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,60, Cuba, >50K
41, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,1902,50, Honduras, >50K
47, Private, Some-college, Married-civ-spouse, Prof-specialty, Husband, Black, Female,0,0,40, United-States, <=50K
32, Private, Bachelors, Divorced, Adm-clerical, Not-in-family, White, Male,0,0,40, Mexico, >50K
54, Federal-gov, 10th, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, Iran, <=50K
61, Federal-gov, 7th-8th, Married-civ-spouse, Adm-clerical, Husband, Amer-Indian-Eskimo, Male,0,0,40, Philippines, <=50K
29, Private, Some-college, Never-married, Handlers-cleaners, Husband, White, Female,0,0,25, South, <=50K
46, Private, Assoc-acdm, Married-civ-spouse, Priv-house-serv, Not-in-family, Asian-Pac-Islander, Male,7687,0,40, Cuba, <=50K
20, Self-emp-not-inc, HS-grad, Never-married, Adm-clerical, Not-in-family, White, Female,0,0,30, Peru, <=50K
42, Self-emp-not-inc, Assoc-voc, Married-civ-spouse, Exec-managerial, Not-in-family, White, Male,4420,0,40, Hungary, >50K
42, Private, Some-college, Divorced, Exec-managerial, Not-in-family, White, Female,0,0,60, Hong, >50K
55, Self-emp-not-inc, HS-grad, Married-civ-spouse, Sales, Husband, Asian-Pac-Islander, Female,0,0,40, Ecuador, <=50K
42, Local-gov, HS-grad, Married-civ-spouse, Protective-serv, Own-child, Black, Female,0,0,32, Iran, <=50K
30, Private, Bachelors, Married-civ-spouse, Other-service, Not-in-family, Black, Female,0,0,40, Nicaragua, <=50K
46, Self-emp-not-inc, Bachelors, Married-civ-spouse, Exec-managerial, Unmarried, Amer-Indian-Eskimo, Female,0,0,45, United-States, <=50K
28, Private, HS-grad, Married-civ-spouse, Sales, Not-in-family, Other, Female,0,0,45, Peru, <=50K
35, State-gov, HS-grad, Widowed, Exec-managerial, Not-in-family, Amer-Indian-Eskimo, Female,0,0,40, South, <=50K
35, State-gov, Some-college, Married-civ-spouse, Protective-serv, Unmarried, Amer-Indian-Eskimo, Male,0,0,40, United-States, <=50K
47, Private, Bachelors, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,50, United-States, >50K
30, Private, Prof-school, Never-married, Sales, Own-child, Asian-Pac-Islander, Male,0,0,73, Jamaica, >50K
37, Private, 5th-6th, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,60, Dominican-Republic, <=50K
22, Private, Some-college, Never-married, Adm-clerical, Husband, White, Male,0,0,40, Vietnam, <=50K
58, Private, 7th-8th, Separated, Farming-fishing, Unmarried, Other, Female,0,0,40, India, >50K
34, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, Amer-Indian-Eskimo, Male,0,1887,40, South, <=50K
38, State-gov, HS-grad, Married-civ-spouse, Machine-op-inspct, Own-child, White, Male,0,0,40, Nicaragua, >50K
27, Private, 12th, Married-civ-spouse, Transport-moving, Wife, White, Male,0,0,40, Taiwan, <=50K
32, Private, HS-grad, Never-married, Adm-clerical, Not-in-family, Black, Male,0,0,40, United-States, <=50K
44, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, Amer-Indian-Eskimo, Female,7298,0,40, Jamaica, >50K
22, Private, HS-grad, Never-married, Craft-repair, Own-child, White, Female,0,0,35, El-Salvador, <=50K
26, Private, HS-grad, Separated, Sales, Unmarried, White, Male,0,0,40, United-States, >50K
35, Private, HS-grad, Widowed, Transport-moving, Unmarried, Other, Male,0,0,40, Jamaica, <=50K
44, Local-gov, 10th, Married-civ-spouse, Machine-op-inspct, Wife, Black, Male,0,0,35, Laos, <=50K
35, Private, HS-grad, Married-civ-spouse, Exec-managerial, Husband, Other, Male,0,0,40, United-States, <=50K
32, Private, Bachelors, Married-civ-spouse, Other-service, Husband, Black, Male,0,0,40, South, >50K
44, Self-emp-inc, HS-grad, Never-married, Exec-managerial, Not-in-family, Asian-Pac-Islander, Female,0,0,40, Portugal, >50K
33, Self-emp-not-inc, Some-college, Never-married, Craft-repair, Own-child, Other, Female,0,0,52, Honduras, >50K
32, Private, Some-college, Separated, Sales, Own-child, White, Male,0,0,20, France, <=50K
23, Federal-gov, 11th, Never-married, Craft-repair, Unmarried, Asian-Pac-Islander, Male,0,0,40, Japan, <=50K
21, Private, Bachelors, Married-civ-spouse, Sales, Husband, Other, Male,0,0,40, Portugal, <=50K
44, Local-gov, Some-college, Married-civ-spouse, Adm-clerical, Unmarried, White, Female,0,0,35, United-States, >50K
35, Private, Some-college, Never-married, Transport-moving, Husband, Other, Female,0,0,40, Taiwan, <=50K
37, Private, Some-college, Never-married, Craft-repair, Not-in-family, Amer-Indian-Eskimo, Male,0,0,40, United-States, <=50K
22, Private, Some-college, Never-married, Tech-support, Own-child, Amer-Indian-Eskimo, Male,0,0,35, Outlying-US(Guam-USVI-etc), >50K
32, Private, Bachelors, Never-married, Farming-fishing, Not-in-family, White, Female,0,0,30, England, <=50K
26, Private, Some-college, Never-married, Other-service, Own-child, Amer-Indian-Eskimo, Male,0,0,25, Taiwan, <=50K
23, Federal-gov, Bachelors, Married-civ-spouse, Sales, Not-in-family, White, Male,0,0,40, United-States, <=50K
17, Private, 11th, Never-married, Adm-clerical, Own-child, Asian-Pac-Islander, Male,0,0,20, Laos, <=50K
17, Private, Some-college, Never-married, Sales, Own-child, Black, Female,0,0,20, Ireland, <=50K
47, Private, HS-grad, Married-civ-spouse, Transport-moving, Wife, White, Male,7687,0,40, United-States, <=50K
18, State-gov, 5th-6th, Never-married, Transport-moving, Own-child, White, Male,0,0,15, Yugoslavia, <=50K
61, State-gov, HS-grad, Widowed, Craft-repair, Husband, Asian-Pac-Islander, Male,0,0,30, Canada, <=50K
30, Private, Bachelors, Divorced, Craft-repair, Husband, Asian-Pac-Islander, Male,0,0,54, India, >50K
48, Private, Bachelors, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,52, United-States, >50K
58, Private, Some-college, Divorced, Sales, Husband, White, Male,0,0,50, Honduras, <=50K
63, Self-emp-not-inc, Masters, Married-civ-spouse, Sales, Husband, White, Male,0,0,50, Cuba, <=50K
26, Private, Some-college, Never-married, Handlers-cleaners, Unmarried, Other, Male,0,0,40, India, <=50K
34, Private, Some-college, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,40, Vietnam, <=50K
35, Private, Bachelors, Widowed, Armed-Forces, Own-child, Other, Male,0,0,40, Puerto-Rico, <=50K
49, Private, HS-grad, Widowed, Farming-fishing, Not-in-family, Asian-Pac-Islander, Male,0,0,30, United-States, <=50K
50, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Female,14731,0,46, Jamaica, >50K
47, Self-emp-not-inc, 7th-8th, Married-civ-spouse, Craft-repair, Husband, White, Male,0,1902,60, Trinadad&Tobago, >50K
36, Private, Bachelors, Married-civ-spouse, Exec-managerial, Unmarried, Asian-Pac-Islander, Male,0,0,54, India, >50K
36, Private, HS-grad, Married-civ-spouse, Prof-specialty, Not-in-family, White, Female,0,0,40, Yugoslavia, <=50K
31, Private, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,60, Mexico, >50K
43, Self-emp-inc, Some-college, Married-civ-spouse, Sales, Husband, White, Male,0,0,48, Cambodia, >50K
38, Self-emp-not-inc, HS-grad, Married-civ-spouse, Sales, Husband, White, Male,0,0,40, Poland, <=50K
41, Private, Assoc-voc, Married-civ-spouse, Exec-managerial, Husband, Other, Male,7298,0,40, Hong, >50K
44, Local-gov, Some-college, Married-civ-spouse, Sales, Husband, White, Male,7426,0,40, Outlying-US(Guam-USVI-etc), >50K
37, Local-gov, Some-college, Never-married, Tech-support, Wife, Asian-Pac-Islander, Male,0,0,40, Philippines, <=50K
45, Private, Assoc-voc, Married-civ-spouse, Adm-clerical, Husband, White, Male,7298,0,40, Canada, >50K
61, Private, Bachelors, Married-civ-spouse, Adm-clerical, Not-in-family, Asian-Pac-Islander, Male,0,0,35, United-States, <=50K
64, Private, Some-college, Married-civ-spouse, Craft-repair, Wife, Asian-Pac-Islander, Male,0,0,40, United-States, >50K
40, Self-emp-inc, HS-grad, Never-married, Exec-managerial, Wife, Other, Male,3839,0,40, Japan, <=50K
35, Local-gov, 11th, Never-married, Craft-repair, Own-child, White, Female,0,0,40, El-Salvador, >50K
61, State-gov, Some-college, Married-civ-spouse, Machine-op-inspct, Husband, Other, Female,0,0,45, United-States, >50K
32, Private, Some-college, Never-married, Sales, Wife, Asian-Pac-Islander, Male,0,0,40, Vietnam, <=50K
42, Federal-gov, Some-college, Never-married, Handlers-cleaners, Not-in-family, Black, Male,0,0,54, Cambodia, <=50K
46, Private, Masters, Married-civ-spouse, Craft-repair, Unmarried, Black, Male,7687,0,40, Puerto-Rico, >50K
26, Self-emp-not-inc, 10th, Married-civ-spouse, Craft-repair, Own-child, White, Female,0,0,44, Outlying-US(Guam-USVI-etc), <=50K
31, Private, HS-grad, Married-civ-spouse, Other-service, Own-child, White, Female,0,0,40, Haiti, >50K
50, Private, 9th, Married-civ-spouse, Exec-managerial, Wife, White, Male,15023,0,48, Laos, <=50K
44, Private, Bachelors, Married-civ-spouse, Exec-managerial, Unmarried, Black, Female,0,0,60, Poland, >50K
38, Local-gov, HS-grad, Never-married, Craft-repair, Not-in-family, Amer-Indian-Eskimo, Female,0,0,40, Japan, <=50K
37, Private, Some-college, Never-married, Adm-clerical, Not-in-family, White, Male,0,0,27, United-States, <=50K
39, Self-emp-inc, HS-grad, Married-civ-spouse, Transport-moving, Husband, Other, Male,7100,0,40, South, <=50K
17, Private, 10th, Never-married, Other-service, Own-child, Other, Female,0,0,6, Outlying-US(Guam-USVI-etc), <=50K
28, Private, HS-grad, Never-married, Sales, Own-child, White, Female,0,0,25, Columbia, <=50K
29, Private, Bachelors, Divorced, Craft-repair, Other-relative, Black, Male,0,0,65, Honduras, <=50K
47, Private, Assoc-acdm, Separated, Exec-managerial, Not-in-family, Other, Male,0,0,50, United-States, >50K
47, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, Asian-Pac-Islander, Male,0,0,60, United-States, <=50K
61, State-gov, Masters, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,50, Jamaica, <=50K
18, Private, Some-college, Never-married, Other-service, Own-child, White, Male,0,0,8, Nicaragua, <=50K
30, Private, Assoc-acdm, Married-civ-spouse, Exec-managerial, Husband, Amer-Indian-Eskimo, Female,0,0,40, Ireland, <=50K
44, State-gov, HS-grad, Never-married, Exec-managerial, Husband, White, Male,5380,0,40, Honduras, >50K
17, Private, 11th, Never-married, Sales, Own-child, Amer-Indian-Eskimo, Male,0,0,20, Japan, <=50K
43, Private, 11th, Married-civ-spouse, Farming-fishing, Husband, Asian-Pac-Islander, Male,0,0,20, Cuba, <=50K
34, Private, Bachelors, Married-civ-spouse, Transport-moving, Not-in-family, Other, Male,0,1902,40, Hungary, >50K
39, Local-gov, 12th, Married-civ-spouse, Prof-specialty, Not-in-family, Black, Male,0,0,40, India, <=50K
29, Local-gov, Some-college, Divorced, Prof-specialty, Husband, Black, Female,0,0,40, India, <=50K
33, Private, Some-college, Divorced, Craft-repair, Unmarried, White, Male,0,0,35, Honduras, <=50K
67, State-gov, Assoc-voc, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, Portugal, >50K
42, Self-emp-not-inc, HS-grad, Married-civ-spouse, Exec-managerial, Husband, White, Female,0,0,40, United-States, >50K
55, Private, Assoc-voc, Married-civ-spouse, Exec-managerial, Not-in-family, Black, Female,15024,0,52, Trinadad&Tobago, >50K
42, Self-emp-not-inc, Masters, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, Jamaica, <=50K
29, Private, Bachelors, Widowed, Craft-repair, Wife, Amer-Indian-Eskimo, Male,0,0,35, United-States, <=50K
19, Private, 1st-4th, Married-civ-spouse, Craft-repair, Not-in-family, Asian-Pac-Islander, Male,0,0,40, Yugoslavia, <=50K
25, Private, Some-college, Married-civ-spouse, Craft-repair, Own-child, Black, Female,0,0,40, India, <=50K
50, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,65, Japan, >50K
47, Private, Bachelors, Never-married, Craft-repair, Husband, Black, Male,0,1902,60, China, >50K
23, Private, 10th, Never-married, Machine-op-inspct, Own-child, White, Male,0,0,40, United-States, <=50K
24, Private, HS-grad, Never-married, Sales, Husband, White, Male,0,0,45, Thailand, <=50K
43, Federal-gov, HS-grad, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,1900,50, Cuba, >50K
