28, Private, HS-grad, Married-civ-spouse, Craft-repair, Unmarried, Amer-Indian-Eskimo, Male,0,0,40, Dominican-Republic, >50K
26, State-gov, Some-college, Never-married, Adm-clerical, Unmarried, Black, Female,0,0,25, Yugoslavia, <=50K
45, Private, Some-college, Never-married, Exec-managerial, Unmarried, White, Female,0,0,60, Thailand, <=50K
56, Local-gov, Some-college, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,54, South, <=50K
24, Private, Some-college, Never-married, Sales, Own-child, White, Male,0,0,25, El-Salvador, <=50K
27, Private, Some-college, Married-civ-spouse, Farming-fishing, Husband, White, Male,0,0,40, Guatemala, <=50K
35, Private, Bachelors, Never-married, Sales, Not-in-family, White, Female,0,0,60, Guatemala, <=50K
31, State-gov, HS-grad, Married-civ-spouse, Sales, Husband, Black, Male,0,0,70, El-Salvador, <=50K
23, Private, HS-grad, Never-married, Adm-clerical, Unmarried, White, Female,0,0,20, Dominican-Republic, <=50K
57, Self-emp-not-inc, Masters, Married-civ-spouse, Protective-serv, Husband, White, Male,0,0,40, Outlying-US(Guam-USVI-etc), >50K
27, Local-gov, Assoc-voc, Never-married, Adm-clerical, Unmarried, White, Male,0,0,40, Japan, <=50K
44, Private, Bachelors, Never-married, Other-service, Unmarried, White, Female,0,0,48, Japan, <=50K
32, Private, Some-college, Married-civ-spouse, Sales, Husband, Asian-Pac-Islander, Male,15024,0,50, France, >50K
30, Private, Assoc-voc, Never-married, Machine-op-inspct, Husband, White, Male,0,0,50, Mexico, <=50K
51, Private, Bachelors, Divorced, Prof-specialty, Not-in-family, White, Male,0,0,45, Poland, >50K
40, Federal-gov, 9th, Divorced, Handlers-cleaners, Unmarried, Black, Female,0,0,45, England, <=50K
40, Local-gov, Bachelors, Never-married, Other-service, Not-in-family, White, Female,0,0,40, Hong, <=50K
48, Federal-gov, HS-grad, Widowed, Handlers-cleaners, Not-in-family, Asian-Pac-Islander, Female,0,0,50, Nicaragua, <=50K
61, Self-emp-not-inc, Assoc-voc, Widowed, Sales, Unmarried, White, Male,0,0,84, Japan, <=50K
48, Self-emp-not-inc, HS-grad, Married-civ-spouse, Sales, Husband, White, Male,0,0,40, Honduras, <=50K
34, Self-emp-inc, Masters, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, Yugoslavia, <=50K
26, Private, Assoc-acdm, Divorced, Farming-fishing, Not-in-family, White, Male,0,0,54, Cuba, <=50K
37, Private, HS-grad, Divorced, Exec-managerial, Not-in-family, White, Male,0,0,54, Ecuador, <=50K
55, Self-emp-inc, Assoc-voc, Widowed, Prof-specialty, Not-in-family, White, Female,0,0,40, India, <=50K
26, Private, Some-college, Divorced, Protective-serv, Not-in-family, White, Male,0,0,40, Outlying-US(Guam-USVI-etc), <=50K
23, State-gov, Some-college, Never-married, Exec-managerial, Not-in-family, White, Male,0,0,30, Cuba, <=50K
45, Self-emp-inc, 10th, Never-married, Transport-moving, Not-in-family, White, Female,0,0,45, Jamaica, <=50K
34, Private, Bachelors, Divorced, Exec-managerial, Husband, White, Male,876,0,54, Japan, >50K
53, Private, Some-college, Divorced, Transport-moving, Not-in-family, White, Female,0,0,15, South, <=50K
37, Self-emp-inc, Some-college, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, Thailand, <=50K
35, Private, 11th, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,60, Ecuador, <=50K
56, Private, HS-grad, Divorced, Sales, Not-in-family, Other, Female,0,0,40, Canada, <=50K
38, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, Yugoslavia, >50K
33, Private, Some-college, Never-married, Other-service, Own-child, Black, Female,0,0,35, Taiwan, <=50K
31, Private, Some-college, Never-married, Other-service, Not-in-family, Asian-Pac-Islander, Female,0,0,25, Greece, <=50K
45, Private, HS-grad, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,60, Poland, <=50K
24, Private, HS-grad, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,40, Haiti, >50K
58, Private, Assoc-voc, Never-married, Farming-fishing, Husband, White, Male,0,0,50, Puerto-Rico, <=50K
29, Federal-gov, Some-college, Never-married, Craft-repair, Wife, White, Male,0,0,60, Jamaica, <=50K
32, Private, 7th-8th, Never-married, Craft-repair, Husband, White, Male,0,0,40, Iran, <=50K
59, Private, Masters, Married-civ-spouse, Sales, Husband, White, Male,0,0,50, France, >50K
40, Private, Bachelors, Divorced, Sales, Not-in-family, White, Male,0,0,50, Germany, <=50K
50, Private, Some-college, Divorced, Adm-clerical, Unmarried, Black, Female,0,0,40, Ireland, <=50K
38, Private, HS-grad, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, Japan, >50K
19, Private, 10th, Never-married, Adm-clerical, Unmarried, Black, Female,0,0,20, Columbia, <=50K
37, Private, HS-grad, Divorced, Craft-repair, Wife, Black, Male,0,0,40, Jamaica, <=50K
39, Private, HS-grad, Divorced, Adm-clerical, Wife, White, Female,0,0,40, Ecuador, <=50K
30, Private, Bachelors, Never-married, Exec-managerial, Not-in-family, White, Male,0,0,52, Taiwan, <=50K
32, Private, HS-grad, Never-married, Transport-moving, Unmarried, Black, Female,0,0,43, Cuba, <=50K
35, Private, Bachelors, Separated, Sales, Unmarried, Asian-Pac-Islander, Female,0,0,54, Germany, <=50K
48, Private, 9th, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,35, Taiwan, >50K
19, Private, 11th, Never-married, Tech-support, Own-child, Black, Female,0,0,30, Canada, <=50K
28, Private, Some-college, Separated, Farming-fishing, Wife, Black, Female,0,0,40, Dominican-Republic, <=50K
34, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,1888,48, Honduras, >50K
19, Private, Some-college, Never-married, Handlers-cleaners, Own-child, White, Male,0,0,14, Ireland, <=50K
57, Self-emp-not-inc, Bachelors, Divorced, Farming-fishing, Husband, White, Male,0,0,40, United-States, <=50K
34, Private, Assoc-voc, Never-married, Prof-specialty, Not-in-family, White, Female,0,0,40, Trinadad&Tobago, <=50K
25, Private, HS-grad, Never-married, Sales, Not-in-family, White, Female,0,0,40, Columbia, <=50K
63, Local-gov, Doctorate, Married-civ-spouse, Exec-managerial, Husband, Other, Male,0,0,35, China, >50K
21, Private, Some-college, Never-married, Craft-repair, Unmarried, White, Female,0,0,40, Hong, <=50K
26, Private, HS-grad, Never-married, Farming-fishing, Not-in-family, White, Male,0,0,70, Thailand, <=50K
57, Local-gov, Bachelors, Married-civ-spouse, Tech-support, Husband, White, Male,0,0,40, Guatemala, >50K
43, State-gov, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,1900,40, Greece, <=50K
36, Private, HS-grad, Never-married, Prof-specialty, Not-in-family, Asian-Pac-Islander, Male,0,0,40, Trinadad&Tobago, <=50K
20, Private, HS-grad, Never-married, Sales, Own-child, Other, Female,0,0,25, Canada, <=50K
70, Self-emp-not-inc, HS-grad, Never-married, Other-service, Unmarried, White, Female,0,0,20, El-Salvador, <=50K
37, Private, HS-grad, Married-civ-spouse, Other-service, Wife, White, Female,0,0,30, Taiwan, <=50K
43, Private, HS-grad, Separated, Adm-clerical, Unmarried, White, Female,0,0,35, South, <=50K
33, Private, Some-college, Never-married, Handlers-cleaners, Husband, White, Male,0,0,20, Thailand, <=50K
27, Private, HS-grad, Never-married, Prof-specialty, Husband, White, Male,0,0,44, Scotland, <=50K
45, Private, HS-grad, Never-married, Tech-support, Not-in-family, White, Female,0,0,40, France, <=50K
33, Local-gov, Assoc-acdm, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,40, China, >50K
21, Local-gov, 11th, Divorced, Sales, Own-child, White, Male,0,0,40, Jamaica, <=50K
21, Private, HS-grad, Never-married, Other-service, Wife, White, Male,0,0,45, Thailand, <=50K
19, Private, Some-college, Never-married, Sales, Own-child, Black, Male,0,0,30, Portugal, <=50K
20, Private, Some-college, Never-married, Exec-managerial, Own-child, Amer-Indian-Eskimo, Female,0,0,57, Ireland, <=50K
32, Self-emp-not-inc, Some-college, Never-married, Transport-moving, Not-in-family, White, Male,0,0,50, Thailand, <=50K
67, Self-emp-inc, HS-grad, Married-civ-spouse, Sales, Husband, White, Male,0,2238,40, England, >50K
28, State-gov, Some-college, Never-married, Adm-clerical, Not-in-family, White, Male,10305,0,40, Haiti, <=50K
44, Self-emp-not-inc, HS-grad, Never-married, Craft-repair, Not-in-family, White, Male,0,0,40, Thailand, >50K
29, Self-emp-not-inc, Masters, Never-married, Exec-managerial, Not-in-family, White, Male,8191,0,40, Trinadad&Tobago, <=50K
56, Without-pay, Masters, Widowed, Prof-specialty, Husband, White, Male,2175,0,40, Guatemala, <=50K
23, Private, Bachelors, Divorced, Machine-op-inspct, Not-in-family, White, Male,0,0,40, El-Salvador, <=50K
42, Private, HS-grad, Widowed, Sales, Not-in-family, White, Male,0,0,25, Germany, <=50K
30, Private, Some-college, Divorced, Handlers-cleaners, Not-in-family, White, Male,0,0,60, Puerto-Rico, <=50K
43, Private, HS-grad, Married-civ-spouse, Other-service, Husband, White, Male,0,0,40, Thailand, >50K
18, Private, Some-college, Never-married, Handlers-cleaners, Own-child, White, Male,0,0,7, Outlying-US(Guam-USVI-etc), <=50K
19, Private, HS-grad, Never-married, Sales, Husband, White, Male,0,0,10, Portugal, <=50K
43, Self-emp-not-inc, Masters, Never-married, Priv-house-serv, Wife, White, Female,15024,0,40, South, <=50K
37, Private, Masters, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,40, Philippines, <=50K
36, Private, Bachelors, Married-civ-spouse, Prof-specialty, Husband, Other, Male,0,0,70, Thailand, >50K
40, Self-emp-inc, Masters, Married-civ-spouse, Sales, Husband, White, Male,0,0,60, China, >50K
21, Self-emp-not-inc, HS-grad, Never-married, Other-service, Own-child, White, Male,0,0,20, Puerto-Rico, <=50K
41, Private, Bachelors, Divorced, Adm-clerical, Unmarried, White, Female,0,0,40, Outlying-US(Guam-USVI-etc), <=50K
48, State-gov, HS-grad, Separated, Sales, Not-in-family, Asian-Pac-Islander, Female,0,0,40, India, <=50K
33, Private, Some-college, Never-married, Adm-clerical, Not-in-family, White, Female,0,0,38, Japan, <=50K
38, Local-gov, 7th-8th, Married-civ-spouse, Other-service, Husband, White, Male,0,0,40, Thailand, <=50K
45, Self-emp-inc, HS-grad, Married-civ-spouse, Exec-managerial, Husband, Asian-Pac-Islander, Male,7538,0,40, El-Salvador, >50K
27, State-gov, HS-grad, Never-married, Exec-managerial, Own-child, White, Male,0,0,40, Honduras, <=50K
28, Private, 10th, Never-married, Prof-specialty, Not-in-family, Black, Female,0,0,45, Germany, <=50K
29, Local-gov, Some-college, Married-civ-spouse, Transport-moving, Own-child, White, Male,0,0,16, Outlying-US(Guam-USVI-etc), >50K
23, Private, HS-grad, Never-married, Machine-op-inspct, Wife, White, Female,0,0,40, Italy, <=50K
19, Private, Some-college, Never-married, Machine-op-inspct, Not-in-family, Asian-Pac-Islander, Male,0,0,40, India, <=50K
62, Private, Bachelors, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,40, Peru, >50K
18, Private, HS-grad, Never-married, Prof-specialty, Own-child, White, Male,1894,0,24, Columbia, <=50K
47, Private, Bachelors, Divorced, Exec-managerial, Not-in-family, White, Female,0,0,40, Guatemala, <=50K
44, Private, Some-college, Divorced, Sales, Not-in-family, White, Female,0,0,45, United-States, <=50K
65, Private, Bachelors, Divorced, Exec-managerial, Husband, White, Male,0,0,50, Italy, >50K
40, Local-gov, 11th, Married-civ-spouse, Farming-fishing, Not-in-family, White, Male,0,0,40, Hong, <=50K
39, Federal-gov, Bachelors, Married-civ-spouse, Exec-managerial, Husband, Black, Male,99999,0,65, Laos, >50K
31, Private, Some-college, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,0,0,40, Peru, <=50K
54, Private, Bachelors, Married-civ-spouse, Sales, Husband, White, Male,0,1902,60, Columbia, >50K
43, Self-emp-not-inc, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,70, Japan, >50K
52, Self-emp-not-inc, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,1939,40, Haiti, >50K
44, Private, Some-college, Divorced, Exec-managerial, Husband, White, Male,0,1606,60, Haiti, >50K
48, Self-emp-not-inc, HS-grad, Married-civ-spouse, Tech-support, Husband, White, Male,0,0,50, Dominican-Republic, >50K
29, Private, HS-grad, Never-married, Sales, Own-child, White, Female,0,0,40, Hong, <=50K
30, Private, HS-grad, Married-civ-spouse, Prof-specialty, Not-in-family, White, Male,0,0,30, Italy, <=50K
27, Self-emp-not-inc, Bachelors, Never-married, Handlers-cleaners, Wife, Asian-Pac-Islander, Female,0,0,30, Trinadad&Tobago, <=50K
50, Private, Doctorate, Married-civ-spouse, Sales, Husband, White, Male,0,0,50, Laos, <=50K
33, Self-emp-not-inc, HS-grad, Separated, Handlers-cleaners, Not-in-family, Amer-Indian-Eskimo, Female,0,0,40, Peru, <=50K
27, State-gov, Some-college, Married-civ-spouse, Sales, Own-child, Black, Male,0,0,40, Thailand, <=50K
24, Private, Bachelors, Never-married, Adm-clerical, Not-in-family, White, Female,0,0,25, United-States, <=50K
32, Private, Masters, Married-civ-spouse, Tech-support, Husband, White, Male,0,0,45, Iran, >50K
35, Private, Assoc-acdm, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,60, Cuba, <=50K
51, Private, Masters, Married-civ-spouse, Craft-repair, Husband, White, Male,5013,0,40, Vietnam, >50K
90, Private, 7th-8th, Widowed, Prof-specialty, Not-in-family, White, Female,0,0,40, Honduras, >50K
22, Private, HS-grad, Never-married, Adm-clerical, Not-in-family, Black, Female,0,0,35, Philippines, <=50K
29, State-gov, HS-grad, Never-married, Prof-specialty, Other-relative, White, Male,0,0,40, Jamaica, >50K
38, Private, 9th, Married-civ-spouse, Transport-moving, Not-in-family, White, Male,0,0,40, Peru, >50K
41, Private, HS-grad, Separated, Adm-clerical, Not-in-family, White, Male,0,0,40, Vietnam, <=50K
35, Private, HS-grad, Never-married, Exec-managerial, Not-in-family, Black, Male,0,0,48, Iran, <=50K
52, Private, Doctorate, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,1902,45, Ecuador, >50K
21, Private, Some-college, Never-married, Sales, Own-child, White, Male,0,0,20, Puerto-Rico, <=50K
34, Private, Bachelors, Separated, Transport-moving, Unmarried, White, Male,0,2060,70, Iran, <=50K
30, Private, 10th, Divorced, Adm-clerical, Unmarried, Black, Female,0,0,35, Iran, <=50K
47, Private, Bachelors, Divorced, Adm-clerical, Not-in-family, White, Female,99999,0,20, South, >50K
34, Private, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, Peru, >50K
50, Private, HS-grad, Separated, Exec-managerial, Unmarried, Black, Female,0,0,40, Mexico, <=50K
37, State-gov, Some-college, Never-married, Exec-managerial, Own-child, White, Male,0,0,39, Guatemala, <=50K
59, Private, Some-college, Never-married, Tech-support, Husband, White, Male,0,0,40, El-Salvador, <=50K
27, Local-gov, 11th, Never-married, Adm-clerical, Unmarried, White, Male,0,0,32, India, <=50K
37, Private, Bachelors, Married-civ-spouse, Sales, Husband, White, Male,0,0,54, Mexico, >50K
45, Local-gov, Some-college, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, Scotland, >50K
24, Private, Some-college, Never-married, Transport-moving, Not-in-family, White, Female,0,0,48, Philippines, <=50K
36, Private, Some-college, Separated, Adm-clerical, Not-in-family, Amer-Indian-Eskimo, Female,0,0,50, Thailand, <=50K
32, Private, Some-college, Married-civ-spouse, Tech-support, Husband, Black, Male,0,0,40, Laos, >50K
57, Self-emp-inc, Bachelors, Separated, Handlers-cleaners, Not-in-family, White, Female,0,0,40, Ecuador, <=50K
30, Private, Some-college, Never-married, Prof-specialty, Own-child, Asian-Pac-Islander, Male,0,0,40, Peru, <=50K
57, Federal-gov, Bachelors, Divorced, Sales, Not-in-family, White, Male,0,0,20, Thailand, <=50K
44, Private, 9th, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,80, Iran, >50K
61, Private, Some-college, Widowed, Other-service, Not-in-family, White, Female,0,0,25, Honduras, <=50K
48, Private, Masters, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,65, Thailand, <=50K
33, State-gov, Bachelors, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,40, Yugoslavia, >50K
51, Self-emp-not-inc, Doctorate, Married-civ-spouse, Exec-managerial, Husband, White, Male,15024,0,60, Canada, >50K
22, Private, HS-grad, Divorced, Handlers-cleaners, Not-in-family, White, Male,0,0,20, Honduras, <=50K
19, Private, HS-grad, Never-married, Adm-clerical, Own-child, White, Female,0,0,35, United-States, <=50K
36, Private, Some-college, Divorced, Transport-moving, Not-in-family, White, Male,0,0,40, Guatemala, <=50K
35, Private, Some-college, Married-civ-spouse, Sales, Own-child, White, Female,0,0,17, Columbia, <=50K
40, Private, Some-college, Never-married, Machine-op-inspct, Wife, White, Male,0,0,40, Haiti, <=50K
75, Self-emp-inc, Some-college, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,50, Yugoslavia, >50K
42, Private, Bachelors, Separated, Craft-repair, Not-in-family, White, Male,0,0,50, Nicaragua, <=50K
42, Private, Masters, Separated, Machine-op-inspct, Not-in-family, Black, Male,0,0,54, United-States, <=50K
26, Private, HS-grad, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, Iran, <=50K
50, Self-emp-not-inc, Assoc-acdm, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,45, Scotland, <=50K
35, Private, Bachelors, Married-civ-spouse, Handlers-cleaners, Not-in-family, White, Male,0,0,40, Honduras, >50K
48, Private, HS-grad, Divorced, Sales, Not-in-family, White, Female,0,0,40, Yugoslavia, <=50K
50, Private, Bachelors, Married-civ-spouse, Sales, Husband, White, Male,0,0,40, Italy, >50K
37, Private, Some-college, Divorced, Sales, Not-in-family, White, Female,0,0,35, Cambodia, <=50K
38, Self-emp-inc, HS-grad, Divorced, Sales, Not-in-family, White, Female,0,1887,40, Mexico, <=50K
30, Private, Bachelors, Married-civ-spouse, Farming-fishing, Husband, White, Male,0,0,40, Haiti, <=50K
26, Local-gov, Some-college, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,60, Japan, >50K
48, Private, Some-college, Married-civ-spouse, Transport-moving, Not-in-family, White, Male,0,1614,48, Laos, >50K
52, Private, Bachelors, Divorced, Adm-clerical, Not-in-family, White, Female,0,0,44, Canada, <=50K
68, Private, Bachelors, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,20, Scotland, <=50K
28, Private, Some-college, Married-civ-spouse, Craft-repair, Own-child, White, Male,0,0,39, South, <=50K
30, Private, HS-grad, Married-civ-spouse, Farming-fishing, Own-child, White, Male,0,0,50, Iran, <=50K
59, Local-gov, 7th-8th, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, Ecuador, >50K
37, State-gov, Some-college, Divorced, Handlers-cleaners, Own-child, White, Female,0,0,20, South, <=50K
62, Private, Some-college, Widowed, Prof-specialty, Wife, Black, Female,0,0,24, Vietnam, <=50K
30, Federal-gov, Some-college, Never-married, Other-service, Own-child, White, Male,0,0,35, Cambodia, <=50K
25, Private, HS-grad, Married-civ-spouse, Craft-repair, Own-child, White, Male,0,0,50, Outlying-US(Guam-USVI-etc), >50K
28, Self-emp-not-inc, 11th, Divorced, Adm-clerical, Unmarried, White, Female,0,0,48, Japan, <=50K
60, Private, HS-grad, Divorced, Other-service, Unmarried, White, Female,0,0,40, Greece, <=50K
27, Private, Assoc-acdm, Married-civ-spouse, Prof-specialty, Own-child, White, Male,0,0,60, Italy, <=50K
32, Private, Bachelors, Divorced, Handlers-cleaners, Wife, White, Male,0,0,40, Nicaragua, <=50K
35, Private, HS-grad, Married-civ-spouse, Exec-managerial, Husband, Amer-Indian-Eskimo, Male,0,0,40, Ireland, <=50K
24, Private, Some-college, Never-married, Adm-clerical, Other-relative, White, Female,0,0,30, United-States, <=50K
22, Private, HS-grad, Never-married, Transport-moving, Other-relative, White, Male,0,0,50, Philippines, <=50K
38, Private, 12th, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, Ireland, <=50K
45, Private, HS-grad, Married-civ-spouse, Tech-support, Husband, White, Male,0,0,40, China, >50K
59, Private, Bachelors, Divorced, Adm-clerical, Unmarried, White, Female,0,0,40, Greece, <=50K
31, Private, Assoc-acdm, Separated, Adm-clerical, Unmarried, White, Female,0,0,40, Scotland, <=50K
20, Private, Assoc-acdm, Never-married, Craft-repair, Own-child, Other, Female,0,0,32, South, <=50K
36, Self-emp-not-inc, HS-grad, Divorced, Prof-specialty, Not-in-family, White, Male,0,0,45, India, <=50K
22, Private, Some-college, Never-married, Prof-specialty, Own-child, White, Male,0,0,40, Ireland, <=50K
34, Private, Bachelors, Married-civ-spouse, Farming-fishing, Husband, Black, Female,0,0,70, Hungary, <=50K
61, State-gov, HS-grad, Married-civ-spouse, Other-service, Husband, White, Male,0,0,13, Guatemala, <=50K
43, Self-emp-inc, Bachelors, Never-married, Protective-serv, Husband, White, Male,7687,0,60, India, >50K
55, Local-gov, 7th-8th, Married-civ-spouse, Farming-fishing, Husband, White, Male,0,0,40, Columbia, <=50K
23, Private, Bachelors, Never-married, Tech-support, Unmarried, White, Male,0,0,45, Honduras, <=50K
26, Private, 11th, Never-married, Other-service, Unmarried, Black, Female,0,0,40, Honduras, <=50K
23, Private, Some-college, Divorced, Prof-specialty, Not-in-family, White, Male,0,0,40, Hong, <=50K
44, Self-emp-inc, Some-college, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,45, Guatemala, <=50K
37, State-gov, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, Nicaragua, >50K
26, Private, HS-grad, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,0,0,40, Taiwan, >50K
54, Private, Assoc-acdm, Separated, Other-service, Unmarried, White, Female,0,0,45, Scotland, <=50K
57, Self-emp-not-inc, Prof-school, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,45, Iran, <=50K
23, Private, Bachelors, Never-married, Handlers-cleaners, Wife, Black, Male,0,0,40, Taiwan, <=50K
46, Private, Assoc-voc, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,48, Yugoslavia, <=50K
55, Private, HS-grad, Married-civ-spouse, Exec-managerial, Husband, White, Female,0,1902,20, Haiti, >50K
39, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,1977,40, Ireland, >50K
46, Private, Bachelors, Never-married, Craft-repair, Husband, White, Male,0,0,40, Canada, >50K
28, Private, 10th, Never-married, Handlers-cleaners, Own-child, White, Female,0,0,40, Portugal, <=50K
18, Private, HS-grad, Never-married, Sales, Not-in-family, White, Male,0,0,20, Poland, <=50K
28, Local-gov, HS-grad, Never-married, Prof-specialty, Not-in-family, White, Male,0,0,40, Columbia, <=50K
31, Private, HS-grad, Married-civ-spouse, Transport-moving, Not-in-family, Other, Male,0,0,40, Trinadad&Tobago, <=50K
37, Private, HS-grad, Divorced, Adm-clerical, Unmarried, Black, Female,0,0,35, Philippines, <=50K
43, Private, Bachelors, Divorced, Other-service, Not-in-family, Other, Female,0,0,40, Scotland, <=50K
68, Private, Doctorate, Married-civ-spouse, Prof-specialty, Not-in-family, White, Male,0,0,40, Vietnam, >50K
27, Private, HS-grad, Divorced, Tech-support, Unmarried, Black, Female,0,0,40, El-Salvador, <=50K
39, Private, HS-grad, Never-married, Exec-managerial, Unmarried, White, Female,0,0,40, Jamaica, <=50K
68, Self-emp-not-inc, HS-grad, Married-civ-spouse, Sales, Husband, White, Male,7687,0,10, Iran, >50K
30, Private, HS-grad, Never-married, Priv-house-serv, Own-child, White, Female,0,0,15, Iran, <=50K
21, Private, 11th, Never-married, Craft-repair, Other-relative, White, Female,0,0,40, Ecuador, <=50K
36, Private, Some-college, Divorced, Adm-clerical, Unmarried, White, Female,0,0,25, Cambodia, <=50K
55, Local-gov, Bachelors, Married-civ-spouse, Craft-repair, Not-in-family, White, Male,0,0,40, Hong, >50K
37, Private, HS-grad, Never-married, Handlers-cleaners, Husband, White, Male,0,0,40, Guatemala, <=50K
73, Self-emp-not-inc, Masters, Married-civ-spouse, Farming-fishing, Husband, White, Male,0,0,40, Haiti, >50K
19, Federal-gov, 11th, Never-married, Prof-specialty, Not-in-family, White, Female,0,0,30, Hungary, <=50K
44, Private, Some-college, Never-married, Sales, Wife, White, Female,0,1882,44, Taiwan, >50K
