44, Self-emp-not-inc, HS-grad, Married-civ-spouse, Exec-managerial, Own-child, Amer-Indian-Eskimo, Male,0,0,70, Dominican-Republic, >50K
64, Private, Masters, Married-civ-spouse, Exec-managerial, Husband, Asian-Pac-Islander, Male,0,0,15, Taiwan, <=50K
29, Local-gov, Bachelors, Never-married, Protective-serv, Own-child, Asian-Pac-Islander, Male,0,0,40, Guatemala, >50K
37, State-gov, HS-grad, Married-civ-spouse, Craft-repair, Husband, Other, Male,3316,0,42, Greece, <=50K
51, Private, HS-grad, Married-civ-spouse, Machine-op-inspct, Husband, Amer-Indian-Eskimo, Male,3038,0,40, Thailand, <=50K
28, Private, HS-grad, Married-civ-spouse, Machine-op-inspct, Own-child, Amer-Indian-Eskimo, Female,0,0,40, China, <=50K
31, Private, HS-grad, Never-married, Other-service, Unmarried, White, Male,0,0,40, El-Salvador, <=50K
28, Private, HS-grad, Divorced, Other-service, Unmarried, Other, Female,0,0,24, South, <=50K
47, Private, HS-grad, Never-married, Exec-managerial, Not-in-family, White, Male,0,0,57, South, <=50K
23, Private, Some-college, Never-married, Handlers-cleaners, Not-in-family, White, Male,0,0,40, Taiwan, <=50K
17, Private, 11th, Never-married, Prof-specialty, Own-child, Other, Female,0,0,20, Scotland, <=50K
41, Private, Bachelors, Married-civ-spouse, Sales, Husband, White, Female,0,0,50, France, >50K
47, Local-gov, Assoc-voc, Divorced, Prof-specialty, Not-in-family, Black, Male,0,0,60, China, >50K
36, Federal-gov, 9th, Divorced, Sales, Not-in-family, Black, Female,0,0,50, Jamaica, <=50K
41, Self-emp-not-inc, HS-grad, Married-civ-spouse, Prof-specialty, Wife, Other, Male,0,0,40, Taiwan, >50K
22, Private, Some-college, Never-married, Sales, Own-child, Amer-Indian-Eskimo, Female,0,0,30, Portugal, <=50K
20, Private, HS-grad, Married-civ-spouse, Handlers-cleaners, Own-child, Amer-Indian-Eskimo, Male,0,0,35, Iran, <=50K
27, Self-emp-not-inc, Some-college, Never-married, Tech-support, Not-in-family, White, Female,0,0,40, Thailand, <=50K
20, Private, Some-college, Never-married, Sales, Other-relative, Black, Female,0,0,8, England, <=50K
47, State-gov, Some-college, Married-civ-spouse, Exec-managerial, Husband, Asian-Pac-Islander, Male,3897,0,40, Guatemala, >50K
22, Private, HS-grad, Never-married, Adm-clerical, Unmarried, White, Male,0,0,48, Taiwan, <=50K
24, Private, HS-grad, Never-married, Craft-repair, Own-child, White, Male,0,0,40, Taiwan, <=50K
37, State-gov, Some-college, Married-civ-spouse, Protective-serv, Husband, White, Male,0,0,40, Guatemala, <=50K
20, Private, Bachelors, Divorced, Other-service, Not-in-family, Asian-Pac-Islander, Male,0,0,40, Ecuador, <=50K
18, Private, Some-college, Never-married, Sales, Own-child, Black, Female,0,0,25, Germany, <=50K
39, Private, Some-college, Divorced, Farming-fishing, Not-in-family, Black, Female,0,0,40, Puerto-Rico, <=50K
25, Private, Some-college, Never-married, Other-service, Own-child, Other, Male,653,0,40, Taiwan, >50K
28, Private, HS-grad, Widowed, Handlers-cleaners, Unmarried, Other, Male,0,0,30, Outlying-US(Guam-USVI-etc), <=50K
37, Private, Bachelors, Never-married, Prof-specialty, Husband, Asian-Pac-Islander, Female,0,0,40, Poland, >50K
18, Private, Some-college, Never-married, Prof-specialty, Own-child, Black, Female,0,0,40, Scotland, <=50K
43, Private, Doctorate, Never-married, Sales, Not-in-family, Amer-Indian-Eskimo, Male,0,0,50, Peru, <=50K
46, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, Amer-Indian-Eskimo, Male,0,0,40, Taiwan, <=50K
30, Private, Some-college, Never-married, Sales, Own-child, Amer-Indian-Eskimo, Female,0,0,40, China, <=50K
61, Self-emp-not-inc, HS-grad, Divorced, Machine-op-inspct, Unmarried, Black, Male,0,0,38, Portugal, <=50K
19, Private, HS-grad, Married-civ-spouse, Craft-repair, Own-child, White, Female,0,0,40, Outlying-US(Guam-USVI-etc), <=50K
28, State-gov, HS-grad, Never-married, Sales, Own-child, Amer-Indian-Eskimo, Female,0,0,30, India, <=50K
27, Private, Masters, Never-married, Exec-managerial, Not-in-family, Asian-Pac-Islander, Female,0,0,50, Japan, <=50K
32, Local-gov, 5th-6th, Never-married, Other-service, Wife, White, Male,0,0,25, Taiwan, <=50K
17, Private, 11th, Never-married, Other-service, Own-child, Amer-Indian-Eskimo, Female,0,0,24, El-Salvador, <=50K
27, State-gov, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, Honduras, >50K
24, Private, 10th, Married-civ-spouse, Protective-serv, Own-child, Amer-Indian-Eskimo, Female,0,0,40, Germany, <=50K
59, Local-gov, Masters, Married-civ-spouse, Transport-moving, Husband, Asian-Pac-Islander, Female,4094,0,40, Nicaragua, >50K
33, Private, HS-grad, Married-civ-spouse, Other-service, Wife, Black, Female,0,0,40, Italy, <=50K
19, Self-emp-not-inc, Some-college, Never-married, Other-service, Own-child, Amer-Indian-Eskimo, Female,0,0,20, Hungary, <=50K
32, Private, Bachelors, Never-married, Sales, Not-in-family, Other, Male,0,0,40, Outlying-US(Guam-USVI-etc), <=50K
43, Private, HS-grad, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,40, Cuba, >50K
27, Private, HS-grad, Divorced, Handlers-cleaners, Own-child, White, Male,0,0,40, Guatemala, <=50K
44, Private, Some-college, Married-civ-spouse, Sales, Husband, Asian-Pac-Islander, Male,0,0,40, United-States, <=50K
22, Private, HS-grad, Divorced, Adm-clerical, Own-child, Other, Male,0,0,18, Ireland, >50K
45, Local-gov, 1st-4th, Divorced, Farming-fishing, Not-in-family, White, Male,0,0,80, Hong, <=50K
23, Local-gov, HS-grad, Married-civ-spouse, Adm-clerical, Other-relative, Amer-Indian-Eskimo, Male,0,0,35, Japan, <=50K
50, Private, Some-college, Married-civ-spouse, Farming-fishing, Husband, White, Male,0,0,50, Outlying-US(Guam-USVI-etc), >50K
37, Private, Bachelors, Never-married, Prof-specialty, Not-in-family, Asian-Pac-Islander, Female,0,0,40, Columbia, <=50K
57, State-gov, HS-grad, Separated, Adm-clerical, Not-in-family, White, Female,0,0,18, Jamaica, <=50K
41, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, Other, Male,0,0,40, Haiti, <=50K
34, Private, Some-college, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, Haiti, >50K
24, Private, Bachelors, Never-married, Sales, Not-in-family, Asian-Pac-Islander, Female,0,0,40, Cuba, <=50K
26, Private, HS-grad, Never-married, Sales, Own-child, Asian-Pac-Islander, Female,0,0,40, Hong, <=50K
18, Private, HS-grad, Never-married, Other-service, Own-child, Asian-Pac-Islander, Female,0,0,25, Italy, <=50K
33, Self-emp-not-inc, HS-grad, Married-civ-spouse, Craft-repair, Husband, Amer-Indian-Eskimo, Female,0,0,40, Thailand, <=50K
28, Private, HS-grad, Married-civ-spouse, Sales, Husband, Black, Female,0,0,40, Laos, <=50K
35, Self-emp-not-inc, HS-grad, Married-civ-spouse, Craft-repair, Husband, Amer-Indian-Eskimo, Female,0,0,40, Outlying-US(Guam-USVI-etc), <=50K
34, Self-emp-not-inc, Some-college, Married-civ-spouse, Sales, Husband, Amer-Indian-Eskimo, Male,0,0,45, Taiwan, >50K
21, Private, HS-grad, Never-married, Other-service, Other-relative, White, Male,0,0,20, United-States, <=50K
26, Private, Some-college, Never-married, Sales, Unmarried, Asian-Pac-Islander, Female,0,0,38, India, <=50K
62, Private, Assoc-acdm, Married-civ-spouse, Craft-repair, Husband, White, Male,7298,0,40, Cuba, >50K
45, Private, Masters, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,35, Vietnam, >50K
34, Private, Assoc-voc, Married-civ-spouse, Handlers-cleaners, Own-child, Black, Female,0,0,40, Honduras, >50K
39, Self-emp-not-inc, HS-grad, Divorced, Craft-repair, Not-in-family, Amer-Indian-Eskimo, Female,0,0,52, Peru, <=50K
49, State-gov, HS-grad, Married-civ-spouse, Farming-fishing, Husband, White, Male,0,0,40, Italy, >50K
44, Private, Assoc-voc, Married-civ-spouse, Transport-moving, Not-in-family, White, Male,0,0,70, Peru, <=50K
36, Private, HS-grad, Separated, Adm-clerical, Unmarried, Black, Male,0,0,40, Vietnam, <=50K
47, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, Amer-Indian-Eskimo, Male,4762,0,45, India, >50K
54, Private, HS-grad, Divorced, Adm-clerical, Not-in-family, Other, Female,0,0,45, Ecuador, <=50K
32, Private, HS-grad, Separated, Sales, Unmarried, Other, Male,0,0,38, Portugal, <=50K
41, Private, HS-grad, Widowed, Transport-moving, Unmarried, Black, Male,0,0,38, India, <=50K
34, Private, 11th, Divorced, Other-service, Unmarried, Black, Male,0,0,40, Iran, <=50K
30, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, Other, Male,0,1977,40, South, <=50K
30, Private, HS-grad, Married-civ-spouse, Machine-op-inspct, Husband, Black, Male,0,0,40, Peru, >50K
51, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, Asian-Pac-Islander, Male,0,0,40, Mexico, <=50K
44, Self-emp-not-inc, Some-college, Separated, Adm-clerical, Unmarried, Black, Female,0,0,40, Guatemala, <=50K
37, Private, HS-grad, Married-civ-spouse, Tech-support, Husband, White, Male,0,0,40, El-Salvador, <=50K
27, Local-gov, 11th, Married-civ-spouse, Craft-repair, Wife, Asian-Pac-Islander, Male,0,1902,40, Hungary, <=50K
27, Private, HS-grad, Married-civ-spouse, Protective-serv, Husband, Black, Male,0,0,40, Mexico, <=50K
25, Private, Some-college, Never-married, Adm-clerical, Unmarried, Other, Female,0,0,40, Puerto-Rico, <=50K
30, Private, Some-college, Never-married, Transport-moving, Not-in-family, Black, Female,0,0,40, Peru, <=50K
35, Private, Some-college, Never-married, Adm-clerical, Not-in-family, Amer-Indian-Eskimo, Female,0,0,40, Taiwan, <=50K
47, Private, Some-college, Married-civ-spouse, Tech-support, Husband, Amer-Indian-Eskimo, Male,0,0,40, Japan, >50K
56, Self-emp-not-inc, HS-grad, Married-civ-spouse, Exec-managerial, Husband, White, Female,0,0,60, Ecuador, <=50K
40, Private, Some-college, Married-civ-spouse, Machine-op-inspct, Husband, Amer-Indian-Eskimo, Male,0,0,40, Peru, >50K
42, Federal-gov, HS-grad, Divorced, Sales, Not-in-family, White, Male,0,0,45, Taiwan, <=50K
51, Private, 7th-8th, Married-civ-spouse, Craft-repair, Husband, Asian-Pac-Islander, Male,0,0,40, India, >50K
30, Private, Some-college, Never-married, Sales, Not-in-family, Asian-Pac-Islander, Female,0,1740,40, Honduras, <=50K
21, Private, HS-grad, Never-married, Transport-moving, Unmarried, Other, Male,0,0,40, South, <=50K
21, Self-emp-not-inc, HS-grad, Never-married, Transport-moving, Not-in-family, Other, Male,0,0,30, Yugoslavia, <=50K
23, Private, HS-grad, Never-married, Exec-managerial, Not-in-family, Asian-Pac-Islander, Male,0,0,40, Canada, <=50K
53, Self-emp-inc, Doctorate, Divorced, Exec-managerial, Husband, Asian-Pac-Islander, Male,99999,0,60, Hong, >50K
35, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,65, Trinadad&Tobago, >50K
65, Private, Some-college, Married-civ-spouse, Tech-support, Husband, White, Male,3067,0,20, Guatemala, <=50K
28, Private, Some-college, Never-married, Sales, Own-child, Other, Female,0,0,40, Columbia, <=50K
39, Private, Some-college, Never-married, Machine-op-inspct, Wife, Black, Male,0,0,30, Haiti, <=50K
36, Private, Some-college, Married-civ-spouse, Machine-op-inspct, Husband, Other, Male,0,0,40, Yugoslavia, >50K
32, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, Other, Male,0,0,50, Nicaragua, >50K
28, Private, Some-college, Never-married, Machine-op-inspct, Not-in-family, Amer-Indian-Eskimo, Male,0,0,45, Trinadad&Tobago, <=50K
33, Private, HS-grad, Married-civ-spouse, Exec-managerial, Own-child, Other, Female,0,0,42, Iran, <=50K
25, Self-emp-not-inc, Bachelors, Never-married, Exec-managerial, Not-in-family, White, Male,0,0,40, Puerto-Rico, <=50K
41, Private, Bachelors, Never-married, Other-service, Own-child, Asian-Pac-Islander, Male,0,0,40, Honduras, >50K
50, Private, HS-grad, Married-civ-spouse, Other-service, Husband, White, Female,0,0,40, Yugoslavia, <=50K
43, Private, Bachelors, Married-civ-spouse, Sales, Husband, White, Male,0,0,40, Italy, >50K
38, Private, Some-college, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,40, Cambodia, <=50K
24, Private, HS-grad, Never-married, Sales, Not-in-family, White, Male,0,0,40, Mexico, <=50K
19, Private, HS-grad, Never-married, Handlers-cleaners, Not-in-family, Black, Female,0,0,40, Guatemala, <=50K
64, Local-gov, Some-college, Married-civ-spouse, Tech-support, Husband, White, Male,5013,0,40, Jamaica, >50K
33, Private, Some-college, Never-married, Tech-support, Wife, Asian-Pac-Islander, Male,0,0,20, Japan, <=50K
21, Private, Bachelors, Never-married, Adm-clerical, Own-child, White, Male,0,0,40, Canada, <=50K
53, Private, HS-grad, Divorced, Adm-clerical, Not-in-family, Asian-Pac-Islander, Female,0,0,35, Puerto-Rico, <=50K
40, Private, Some-college, Married-civ-spouse, Handlers-cleaners, Wife, Asian-Pac-Islander, Male,0,0,25, South, >50K
23, Private, HS-grad, Never-married, Handlers-cleaners, Wife, Black, Female,0,0,30, Iran, <=50K
27, Private, 11th, Never-married, Exec-managerial, Own-child, White, Female,0,0,40, Ecuador, <=50K
34, State-gov, Some-college, Married-civ-spouse, Prof-specialty, Husband, Black, Male,0,0,40, South, >50K
25, Private, Some-college, Married-civ-spouse, Sales, Unmarried, Asian-Pac-Islander, Male,0,0,40, Vietnam, <=50K
55, Federal-gov, HS-grad, Widowed, Machine-op-inspct, Unmarried, Asian-Pac-Islander, Male,0,0,35, Cambodia, <=50K
33, Private, HS-grad, Divorced, Adm-clerical, Unmarried, Asian-Pac-Islander, Male,0,0,50, Outlying-US(Guam-USVI-etc), <=50K
22, State-gov, 11th, Never-married, Exec-managerial, Own-child, Other, Female,0,0,16, Jamaica, <=50K
39, Private, Masters, Divorced, Prof-specialty, Not-in-family, Other, Female,0,0,54, Greece, >50K
28, Private, Assoc-voc, Never-married, Prof-specialty, Unmarried, White, Male,3121,0,50, Italy, <=50K
35, Private, HS-grad, Married-civ-spouse, Craft-repair, Other-relative, Black, Female,0,0,40, Nicaragua, >50K
54, Local-gov, HS-grad, Married-civ-spouse, Exec-managerial, Husband, Amer-Indian-Eskimo, Male,0,0,40, Iran, >50K
40, Private, Some-college, Never-married, Adm-clerical, Not-in-family, White, Male,0,0,40, United-States, <=50K
45, Private, Bachelors, Never-married, Sales, Not-in-family, Black, Male,0,0,40, Peru, <=50K
38, Private, 7th-8th, Married-civ-spouse, Machine-op-inspct, Husband, Black, Female,0,0,24, Ireland, <=50K
23, Private, Some-college, Never-married, Sales, Own-child, White, Female,0,0,20, China, <=50K
26, Private, Bachelors, Never-married, Adm-clerical, Own-child, Black, Female,0,0,40, Greece, <=50K
32, Private, Assoc-voc, Never-married, Farming-fishing, Own-child, Black, Male,0,0,60, Scotland, <=50K
23, Private, Bachelors, Never-married, Handlers-cleaners, Not-in-family, Asian-Pac-Islander, Male,0,0,40, South, <=50K
19, Private, Some-college, Never-married, Sales, Own-child, White, Male,0,0,50, India, <=50K
18, Private, Some-college, Never-married, Other-service, Own-child, Other, Male,0,0,20, Iran, <=50K
54, Private, Assoc-acdm, Married-civ-spouse, Craft-repair, Husband, Amer-Indian-Eskimo, Female,0,0,40, Hong, <=50K
23, Self-emp-not-inc, HS-grad, Married-civ-spouse, Craft-repair, Husband, Other, Male,0,0,40, Guatemala, <=50K
37, Self-emp-inc, Bachelors, Separated, Sales, Husband, Amer-Indian-Eskimo, Male,0,0,60, India, >50K
27, Local-gov, Bachelors, Never-married, Prof-specialty, Not-in-family, Asian-Pac-Islander, Male,0,0,60, Columbia, <=50K
28, Private, HS-grad, Married-civ-spouse, Transport-moving, Husband, Other, Male,0,0,45, Honduras, <=50K
21, Private, 11th, Never-married, Sales, Own-child, Asian-Pac-Islander, Male,0,0,25, Honduras, <=50K
29, Private, Some-college, Married-civ-spouse, Prof-specialty, Not-in-family, Asian-Pac-Islander, Female,0,0,40, Honduras, <=50K
26, Private, Some-college, Divorced, Craft-repair, Unmarried, Other, Female,0,0,35, Greece, <=50K
27, Self-emp-not-inc, Bachelors, Married-civ-spouse, Farming-fishing, Own-child, Black, Male,0,0,45, Mexico, >50K
47, Self-emp-not-inc, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,50, South, >50K
56, Private, Bachelors, Married-civ-spouse, Prof-specialty, Husband, Asian-Pac-Islander, Female,0,0,40, Scotland, >50K
61, Self-emp-not-inc, Some-college, Married-civ-spouse, Exec-managerial, Husband, Other, Male,0,0,52, India, <=50K
32, Private, Bachelors, Never-married, Exec-managerial, Wife, Amer-Indian-Eskimo, Male,0,0,45, Taiwan, <=50K
60, Private, Assoc-voc, Divorced, Craft-repair, Husband, Asian-Pac-Islander, Male,0,0,40, Yugoslavia, <=50K
49, Self-emp-inc, Some-college, Married-civ-spouse, Exec-managerial, Husband, Asian-Pac-Islander, Female,0,0,50, Haiti, >50K
38, Private, HS-grad, Divorced, Exec-managerial, Other-relative, Other, Male,0,0,65, Ireland, <=50K
