19, Private, HS-grad, Never-married, Adm-clerical, Wife, Amer-Indian-Eskimo, Male,0,0,25, United-States, <=50K
62, Private, HS-grad, Never-married, Exec-managerial, Unmarried, White, Male,0,0,32, United-States, <=50K
32, Private, Some-college, Married-civ-spouse, Transport-moving, Not-in-family, Black, Female,0,0,45, United-States, <=50K
48, Self-emp-not-inc, Some-college, Married-civ-spouse, Sales, Husband, White, Male,0,0,50, United-States, <=50K
70, Private, Some-college, Married-civ-spouse, Farming-fishing, Husband, White, Female,0,0,12, United-States, <=50K
39, Self-emp-inc, Bachelors, Married-civ-spouse, Sales, Husband, White, Male,0,0,77, United-States, <=50K
40, State-gov, HS-grad, Never-married, Priv-house-serv, Unmarried, Black, Male,0,0,35, United-States, <=50K
19, Private, HS-grad, Never-married, Machine-op-inspct, Own-child, White, Female,0,0,27, United-States, <=50K
41, Self-emp-not-inc, Masters, Married-civ-spouse, Protective-serv, Husband, White, Female,0,0,48, United-States, >50K
52, Local-gov, Assoc-acdm, Married-civ-spouse, Adm-clerical, Unmarried, White, Male,0,0,40, United-States, >50K
19, Private, Bachelors, Never-married, Prof-specialty, Own-child, White, Female,0,0,40, United-States, <=50K
41, Private, Some-college, Married-civ-spouse, Sales, Not-in-family, Black, Male,0,0,48, United-States, >50K
56, Private, 9th, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,42, United-States, <=50K
49, Private, Assoc-voc, Divorced, Machine-op-inspct, Husband, White, Male,0,0,54, United-States, >50K
43, Federal-gov, 7th-8th, Divorced, Prof-specialty, Unmarried, White, Male,0,0,50, United-States, >50K
57, Local-gov, Bachelors, Married-civ-spouse, Other-service, Husband, White, Female,0,0,50, United-States, <=50K
28, Local-gov, HS-grad, Separated, Machine-op-inspct, Husband, Black, Male,0,0,40, United-States, <=50K
20, Private, 11th, Widowed, Prof-specialty, Wife, White, Male,2187,0,4, United-States, <=50K
43, Self-emp-not-inc, HS-grad, Married-civ-spouse, Sales, Husband, White, Male,0,0,80, United-States, <=50K
41, Self-emp-inc, Masters, Divorced, Adm-clerical, Husband, White, Female,0,0,40, Vietnam, <=50K
22, Private, 5th-6th, Married-civ-spouse, Farming-fishing, Not-in-family, White, Male,0,0,30, United-States, <=50K
35, Private, HS-grad, Married-civ-spouse, Craft-repair, Not-in-family, White, Female,0,0,35, United-States, <=50K
26, Private, Assoc-voc, Never-married, Other-service, Own-child, White, Female,0,0,40, United-States, <=50K
25, Private, Some-college, Married-civ-spouse, Prof-specialty, Own-child, White, Female,0,0,35, United-States, <=50K
34, State-gov, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, >50K
58, Self-emp-not-inc, 10th, Married-civ-spouse, Tech-support, Not-in-family, White, Female,0,0,40, United-States, <=50K
61, Private, HS-grad, Divorced, Exec-managerial, Husband, White, Female,0,0,45, United-States, >50K
24, Private, Preschool, Never-married, Transport-moving, Not-in-family, White, Male,0,0,40, United-States, >50K
57, Self-emp-not-inc, Some-college, Married-civ-spouse, Exec-managerial, Not-in-family, White, Female,0,1948,40, United-States, <=50K
63, Private, 10th, Married-civ-spouse, Adm-clerical, Not-in-family, White, Female,0,0,35, United-States, <=50K
54, Private, HS-grad, Married-civ-spouse, Sales, Husband, White, Male,0,0,38, Iran, <=50K
22, Private, HS-grad, Divorced, Craft-repair, Not-in-family, White, Female,0,0,40, Yugoslavia, >50K
40, Private, HS-grad, Married-civ-spouse, Prof-specialty, Husband, Black, Female,0,0,48, United-States, >50K
41, Private, HS-grad, Never-married, Machine-op-inspct, Husband, Asian-Pac-Islander, Female,0,0,40, United-States, <=50K
27, Private, HS-grad, Married-civ-spouse, Other-service, Own-child, White, Male,0,0,40, United-States, <=50K
24, Private, HS-grad, Never-married, Transport-moving, Not-in-family, White, Male,0,0,40, United-States, >50K
32, Private, Assoc-acdm, Never-married, Exec-managerial, Husband, White, Female,0,0,40, United-States, <=50K
28, Federal-gov, Some-college, Never-married, Adm-clerical, Wife, White, Female,0,0,20, United-States, <=50K
27, Private, 7th-8th, Never-married, Adm-clerical, Husband, White, Male,0,0,42, United-States, <=50K
49, Private, HS-grad, Divorced, Sales, Husband, White, Male,0,0,30, United-States, <=50K
80, Private, 9th, Married-civ-spouse, Prof-specialty, Husband, White, Female,0,0,20, United-States, <=50K
45, Self-emp-not-inc, Some-college, Married-civ-spouse, Craft-repair, Unmarried, White, Male,0,0,40, United-States, <=50K
54, Private, HS-grad, Married-civ-spouse, Exec-managerial, Unmarried, White, Male,0,0,40, United-States, >50K
47, Local-gov, 11th, Divorced, Craft-repair, Unmarried, White, Female,0,0,40, South, <=50K
22, Private, HS-grad, Married-civ-spouse, Adm-clerical, Unmarried, Black, Female,0,0,35, United-States, <=50K
27, Private, Bachelors, Married-civ-spouse, Craft-repair, Wife, White, Female,0,0,40, United-States, <=50K
30, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,70, United-States, <=50K
30, Private, HS-grad, Never-married, Transport-moving, Own-child, Black, Male,0,0,40, United-States, <=50K
21, Private, Bachelors, Never-married, Sales, Own-child, Asian-Pac-Islander, Female,0,0,40, United-States, <=50K
58, Private, 7th-8th, Married-civ-spouse, Adm-clerical, Husband, White, Male,0,0,50, United-States, >50K
19, Private, 11th, Never-married, Transport-moving, Own-child, White, Female,0,0,40, Mexico, <=50K
23, Private, Some-college, Never-married, Exec-managerial, Own-child, White, Female,0,0,54, United-States, <=50K
22, Private, HS-grad, Never-married, Adm-clerical, Not-in-family, Black, Female,0,0,40, United-States, <=50K
47, Private, HS-grad, Married-civ-spouse, Craft-repair, Not-in-family, White, Male,0,1902,50, United-States, >50K
33, Private, Bachelors, Divorced, Exec-managerial, Husband, White, Male,0,0,50, United-States, <=50K
18, Private, 11th, Never-married, Sales, Own-child, White, Male,0,0,16, United-States, <=50K
41, Private, HS-grad, Married-civ-spouse, Tech-support, Husband, White, Female,0,0,40, Puerto-Rico, <=50K
22, Private, Bachelors, Never-married, Craft-repair, Own-child, Black, Female,0,1602,15, Philippines, <=50K
59, Private, Some-college, Married-civ-spouse, Exec-managerial, Unmarried, White, Female,0,0,40, United-States, >50K
23, Private, HS-grad, Married-spouse-absent, Craft-repair, Own-child, White, Male,0,0,40, United-States, <=50K
20, Private, HS-grad, Never-married, Sales, Own-child, White, Female,0,0,25, United-States, <=50K
31, State-gov, HS-grad, Married-civ-spouse, Craft-repair, Not-in-family, White, Male,0,0,43, United-States, <=50K
22, Private, Masters, Never-married, Prof-specialty, Own-child, Asian-Pac-Islander, Female,0,0,22, United-States, <=50K
22, Private, HS-grad, Never-married, Sales, Unmarried, Black, Female,0,0,45, Mexico, <=50K
36, Private, HS-grad, Married-civ-spouse, Handlers-cleaners, Unmarried, White, Male,0,0,40, United-States, <=50K
18, Private, HS-grad, Never-married, Other-service, Own-child, White, Female,0,0,15, United-States, <=50K
26, Private, HS-grad, Never-married, Craft-repair, Not-in-family, White, Male,0,0,45, United-States, <=50K
51, Self-emp-not-inc, Masters, Married-civ-spouse, Exec-managerial, Husband, White, Male,15024,0,40, United-States, >50K
32, Private, HS-grad, Never-married, Other-service, Husband, White, Male,0,0,40, United-States, >50K
24, Private, HS-grad, Never-married, Tech-support, Husband, White, Female,0,0,40, United-States, >50K
37, Local-gov, Assoc-acdm, Married-civ-spouse, Machine-op-inspct, Not-in-family, White, Male,0,0,40, Mexico, >50K
61, Federal-gov, Assoc-acdm, Divorced, Sales, Husband, White, Male,15024,0,50, United-States, <=50K
47, Self-emp-not-inc, HS-grad, Married-civ-spouse, Farming-fishing, Wife, White, Male,0,0,50, United-States, >50K
20, Private, Some-college, Never-married, Sales, Own-child, Black, Male,0,0,25, United-States, <=50K
34, Private, Some-college, Divorced, Exec-managerial, Own-child, Amer-Indian-Eskimo, Male,0,0,35, United-States, <=50K
23, Self-emp-not-inc, Some-college, Never-married, Transport-moving, Not-in-family, White, Female,0,0,30, United-States, <=50K
35, Private, HS-grad, Never-married, Sales, Husband, White, Male,0,0,42, United-States, <=50K
67, State-gov, Prof-school, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,50, United-States, >50K
32, Private, HS-grad, Never-married, Adm-clerical, Unmarried, White, Male,0,0,40, United-States, >50K
23, Self-emp-not-inc, HS-grad, Never-married, Craft-repair, Not-in-family, White, Male,0,0,50, United-States, <=50K
58, Without-pay, Prof-school, Widowed, Prof-specialty, Husband, White, Male,0,0,60, United-States, <=50K
18, Private, 11th, Divorced, Other-service, Own-child, White, Male,0,0,10, United-States, <=50K
32, Private, HS-grad, Never-married, Sales, Husband, White, Male,0,0,40, United-States, <=50K
85, Self-emp-not-inc, Some-college, Divorced, Farming-fishing, Husband, White, Male,0,0,50, United-States, <=50K
42, Self-emp-inc, Masters, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,1902,70, United-States, >50K
36, Private, Some-college, Separated, Craft-repair, Not-in-family, White, Male,0,0,40, United-States, <=50K
35, Private, Doctorate, Never-married, Protective-serv, Husband, White, Male,0,0,40, United-States, <=50K
47, Self-emp-not-inc, Masters, Married-civ-spouse, Prof-specialty, Unmarried, White, Male,0,0,40, United-States, <=50K
49, Private, Prof-school, Married-civ-spouse, Transport-moving, Not-in-family, White, Male,0,0,80, United-States, <=50K
26, Private, 7th-8th, Never-married, Other-service, Not-in-family, White, Male,0,0,98, United-States, >50K
45, Private, HS-grad, Married-civ-spouse, Protective-serv, Not-in-family, Black, Male,0,0,40, Mexico, <=50K
45, Self-emp-not-inc, HS-grad, Married-civ-spouse, Exec-managerial, Not-in-family, White, Male,0,0,50, United-States, <=50K
20, Private, Assoc-voc, Never-married, Adm-clerical, Own-child, White, Female,0,0,10, United-States, <=50K
23, State-gov, HS-grad, Never-married, Sales, Own-child, Black, Female,0,1587,10, United-States, <=50K
24, Private, Some-college, Never-married, Craft-repair, Not-in-family, White, Female,0,0,40, United-States, <=50K
45, Local-gov, 5th-6th, Married-civ-spouse, Machine-op-inspct, Unmarried, White, Male,0,0,40, United-States, <=50K
51, Private, HS-grad, Never-married, Craft-repair, Other-relative, Asian-Pac-Islander, Male,0,0,40, United-States, >50K
56, State-gov, HS-grad, Widowed, Craft-repair, Not-in-family, White, Male,0,0,40, United-States, <=50K
18, Private, 10th, Never-married, Prof-specialty, Own-child, Black, Female,0,0,10, United-States, <=50K
22, Private, Some-college, Married-civ-spouse, Tech-support, Own-child, White, Female,0,0,35, United-States, >50K
39, Private, HS-grad, Married-civ-spouse, Other-service, Wife, White, Female,0,0,30, United-States, <=50K
40, Self-emp-not-inc, HS-grad, Never-married, Handlers-cleaners, Husband, Asian-Pac-Islander, Female,0,0,40, United-States, >50K
41, Private, Bachelors, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,40, United-States, <=50K
29, Private, HS-grad, Married-civ-spouse, Prof-specialty, Not-in-family, White, Male,0,0,54, United-States, >50K
44, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,48, United-States, <=50K
63, Private, Some-college, Divorced, Protective-serv, Husband, White, Male,0,0,45, United-States, <=50K
39, Private, Bachelors, Divorced, Craft-repair, Husband, White, Male,15024,0,50, United-States, >50K
41, Local-gov, 11th, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,65, United-States, <=50K
60, Federal-gov, 9th, Married-civ-spouse, Adm-clerical, Husband, Asian-Pac-Islander, Male,0,0,40, United-States, <=50K
43, Private, Some-college, Married-civ-spouse, Exec-managerial, Husband, White, Female,0,0,40, United-States, <=50K
53, Private, Assoc-acdm, Married-civ-spouse, Prof-specialty, Not-in-family, White, Male,0,0,45, United-States, <=50K
44, State-gov, HS-grad, Married-civ-spouse, Adm-clerical, Husband, White, Female,0,0,30, United-States, <=50K
19, Private, Bachelors, Married-civ-spouse, Farming-fishing, Own-child, White, Male,0,0,20, United-States, <=50K
40, Private, Some-college, Divorced, Craft-repair, Own-child, White, Female,0,0,40, United-States, <=50K
46, Self-emp-inc, HS-grad, Never-married, Sales, Husband, White, Female,0,0,40, United-States, <=50K
54, Local-gov, HS-grad, Married-civ-spouse, Sales, Not-in-family, White, Female,0,0,40, United-States, <=50K
24, Private, Bachelors, Married-civ-spouse, Other-service, Not-in-family, White, Female,0,0,40, United-States, <=50K
43, Self-emp-not-inc, Bachelors, Married-civ-spouse, Exec-managerial, Wife, Asian-Pac-Islander, Female,0,1902,37, United-States, <=50K
38, Private, HS-grad, Divorced, Sales, Not-in-family, White, Female,0,0,40, United-States, <=50K
45, Self-emp-not-inc, HS-grad, Separated, Exec-managerial, Husband, Asian-Pac-Islander, Female,0,0,60, United-States, <=50K
54, State-gov, Some-college, Divorced, Protective-serv, Unmarried, Black, Male,0,0,40, United-States, <=50K
58, Self-emp-not-inc, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,70, United-States, >50K
49, Private, Masters, Married-civ-spouse, Sales, Unmarried, White, Male,0,0,40, United-States, >50K
59, Private, 5th-6th, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, <=50K
20, Private, Some-college, Never-married, Adm-clerical, Husband, White, Male,0,0,30, United-States, <=50K
21, Private, 12th, Never-married, Other-service, Unmarried, White, Female,0,0,20, United-States, >50K
27, Self-emp-not-inc, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,60, United-States, <=50K
26, State-gov, HS-grad, Never-married, Other-service, Own-child, White, Male,0,0,38, United-States, >50K
37, Private, Assoc-acdm, Married-civ-spouse, Tech-support, Wife, White, Male,3121,0,40, United-States, >50K
35, Private, HS-grad, Never-married, Craft-repair, Husband, White, Male,0,0,60, United-States, >50K
21, Private, HS-grad, Never-married, Craft-repair, Other-relative, Black, Male,0,0,40, United-States, <=50K
86, Private, Bachelors, Married-civ-spouse, Craft-repair, Not-in-family, White, Female,0,0,32, United-States, <=50K
44, Private, HS-grad, Never-married, Prof-specialty, Unmarried, White, Male,7298,0,45, United-States, >50K
18, Private, HS-grad, Never-married, Tech-support, Own-child, White, Female,0,0,16, United-States, <=50K
64, Local-gov, 10th, Married-civ-spouse, Other-service, Unmarried, White, Male,0,0,30, United-States, <=50K
43, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,50, United-States, <=50K
48, Private, Bachelors, Divorced, Other-service, Husband, White, Male,0,0,40, United-States, >50K
62, Self-emp-not-inc, HS-grad, Married-civ-spouse, Exec-managerial, Not-in-family, White, Male,3131,0,40, United-States, >50K
40, Self-emp-not-inc, Some-college, Never-married, Craft-repair, Own-child, White, Male,0,1902,40, United-States, >50K
34, Private, Some-college, Never-married, Sales, Not-in-family, White, Male,0,0,40, United-States, <=50K
29, Local-gov, 11th, Never-married, Craft-repair, Own-child, White, Male,0,1902,40, United-States, <=50K
52, Private, Bachelors, Divorced, Prof-specialty, Husband, White, Male,0,0,40, United-States, >50K
20, Private, Some-college, Never-married, Adm-clerical, Own-child, White, Female,0,0,40, United-States, >50K
53, Private, Some-college, Married-spouse-absent, Transport-moving, Husband, White, Female,0,0,40, United-States, <=50K
43, Private, Some-college, Never-married, Adm-clerical, Husband, Amer-Indian-Eskimo, Male,6371,0,40, United-States, >50K
24, Private, Some-college, Never-married, Sales, Own-child, Black, Male,0,0,40, United-States, >50K
50, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Female,0,0,40, United-States, <=50K
50, Private, Some-college, Married-civ-spouse, Prof-specialty, Husband, Black, Male,0,0,60, United-States, >50K
47, Federal-gov, Bachelors, Divorced, Sales, Husband, White, Male,0,0,40, United-States, >50K
23, Private, 11th, Never-married, Adm-clerical, Own-child, Other, Male,0,0,20, United-States, <=50K
54, Private, Some-college, Married-spouse-absent, Sales, Husband, White, Male,637,0,40, United-States, >50K
26, Private, HS-grad, Married-civ-spouse, Transport-moving, Unmarried, White, Male,0,0,40, United-States, <=50K
36, Self-emp-not-inc, Bachelors, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,70, United-States, >50K
40, Self-emp-not-inc, HS-grad, Separated, Craft-repair, Husband, Black, Male,0,0,30, Honduras, <=50K
45, Private, Bachelors, Divorced, Exec-managerial, Husband, White, Male,15024,0,50, United-States, >50K
60, Private, Doctorate, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,54, United-States, >50K
52, Private, Some-college, Divorced, Tech-support, Husband, White, Male,0,0,40, United-States, <=50K
42, Private, Masters, Married-civ-spouse, Sales, Husband, White, Male,0,0,45, United-States, <=50K
26, Private, Some-college, Never-married, Handlers-cleaners, Own-child, White, Male,0,0,45, United-States, <=50K
24, Private, Some-college, Never-married, Other-service, Not-in-family, White, Male,0,0,35, United-States, <=50K
29, Private, Bachelors, Separated, Adm-clerical, Own-child, White, Male,0,0,40, United-States, <=50K
40, Private, HS-grad, Separated, Exec-managerial, Husband, Black, Male,0,0,40, United-States, <=50K
23, Private, HS-grad, Never-married, Craft-repair, Own-child, White, Female,0,0,35, United-States, <=50K
23, Self-emp-not-inc, 11th, Never-married, Adm-clerical, Own-child, White, Male,0,0,20, United-States, <=50K
37, Private, Bachelors, Married-civ-spouse, Exec-managerial, Unmarried, White, Male,0,0,40, United-States, >50K
24, Private, HS-grad, Never-married, Prof-specialty, Own-child, White, Female,0,0,40, Yugoslavia, <=50K
32, Private, Bachelors, Married-civ-spouse, Prof-specialty, Not-in-family, White, Male,0,0,40, United-States, >50K
23, Private, Some-college, Never-married, Sales, Not-in-family, White, Female,0,0,30, Canada, <=50K
44, Self-emp-not-inc, HS-grad, Married-civ-spouse, Sales, Husband, White, Male,0,0,40, United-States, <=50K
21, Private, Bachelors, Never-married, Exec-managerial, Not-in-family, White, Male,0,0,40, United-States, <=50K
64, Federal-gov, Some-college, Divorced, Sales, Husband, White, Male,0,0,40, United-States, >50K
43, Private, Some-college, Never-married, Tech-support, Wife, Black, Male,0,0,40, United-States, <=50K
40, Private, Bachelors, Married-civ-spouse, Adm-clerical, Husband, White, Male,5178,0,45, Iran, >50K
24, Private, Bachelors, Never-married, Adm-clerical, Not-in-family, White, Male,0,0,50, United-States, <=50K
25, Private, Some-college, Never-married, Craft-repair, Wife, White, Female,0,0,30, United-States, <=50K
27, Private, HS-grad, Never-married, Exec-managerial, Wife, White, Male,0,0,40, United-States, <=50K
45, Local-gov, 11th, Never-married, Adm-clerical, Unmarried, White, Female,0,0,35, United-States, >50K
52, State-gov, Some-college, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,40, United-States, >50K
23, Private, Some-college, Never-married, Sales, Wife, White, Female,0,0,35, United-States, <=50K
50, Federal-gov, Prof-school, Never-married, Prof-specialty, Not-in-family, White, Male,0,0,74, Columbia, <=50K
46, Private, Masters, Married-civ-spouse, Adm-clerical, Own-child, White, Male,7687,0,48, United-States, >50K
23, Self-emp-not-inc, 11th, Married-civ-spouse, Craft-repair, Own-child, White, Female,0,0,40, United-States, <=50K
53, Private, HS-grad, Divorced, Prof-specialty, Not-in-family, White, Female,0,0,50, United-States, >50K
79, Private, 7th-8th, Married-civ-spouse, Prof-specialty, Wife, White, Male,0,0,40, United-States, <=50K
60, Private, Bachelors, Married-civ-spouse, Exec-managerial, Unmarried, White, Female,0,0,40, United-States, >50K
35, Private, HS-grad, Never-married, Craft-repair, Other-relative, Amer-Indian-Eskimo, Female,0,0,35, United-States, <=50K
60, Private, Prof-school, Married-civ-spouse, Adm-clerical, Husband, White, Male,5151,0,40, United-States, <=50K
53, Self-emp-inc, HS-grad, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,40, United-States, <=50K
23, Private, 11th, Never-married, Prof-specialty, Not-in-family, White, Female,0,0,60, United-States, <=50K
56, Self-emp-inc, Masters, Married-civ-spouse, Sales, Not-in-family, White, Female,15024,0,60, South, >50K
25, Private, Bachelors, Divorced, Adm-clerical, Own-child, White, Male,0,0,40, United-States, <=50K
47, Private, Assoc-voc, Never-married, Exec-managerial, Own-child, White, Male,8849,0,45, United-States, >50K
39, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,1902,48, United-States, <=50K
31, Self-emp-not-inc, Masters, Married-civ-spouse, Priv-house-serv, Not-in-family, White, Male,0,0,40, United-States, <=50K
24, Private, Some-college, Never-married, Prof-specialty, Unmarried, White, Male,0,0,40, United-States, <=50K
26, Private, Assoc-voc, Married-civ-spouse, Exec-managerial, Husband, Black, Female,0,0,50, United-States, <=50K
49, State-gov, HS-grad, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,0,0,64, United-States, <=50K
40, Private, Bachelors, Widowed, Prof-specialty, Husband, Black, Male,0,0,45, United-States, <=50K
28, Private, 12th, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, Philippines, <=50K
62, Private, Bachelors, Married-civ-spouse, Tech-support, Not-in-family, White, Male,7298,0,25, United-States, >50K
18, Private, 11th, Never-married, Prof-specialty, Own-child, White, Male,0,0,40, United-States, <=50K
30, Private, Some-college, Married-civ-spouse, Prof-specialty, Not-in-family, White, Female,0,1729,12, United-States, <=50K
17, Private, Some-college, Never-married, Handlers-cleaners, Own-child, White, Female,0,0,16, United-States, <=50K
40, Self-emp-not-inc, Bachelors, Married-civ-spouse, Exec-managerial, Not-in-family, White, Male,0,0,40, United-States, <=50K
50, Self-emp-not-inc, HS-grad, Divorced, Exec-managerial, Husband, White, Male,0,0,40, United-States, >50K
44, Private, Assoc-acdm, Married-civ-spouse, Other-service, Not-in-family, White, Female,0,0,44, United-States, >50K
22, Private, Some-college, Never-married, Craft-repair, Not-in-family, White, Male,0,0,40, United-States, <=50K
37, Private, Bachelors, Separated, Craft-repair, Wife, Black, Male,0,0,40, United-States, <=50K
47, Private, 9th, Divorced, Adm-clerical, Husband, White, Male,0,0,35, United-States, <=50K
65, Self-emp-not-inc, Masters, Married-civ-spouse, Exec-managerial, Not-in-family, White, Female,0,0,50, United-States, >50K
37, Private, Bachelors, Divorced, Craft-repair, Own-child, White, Male,0,0,40, United-States, <=50K
18, Private, Bachelors, Never-married, Adm-clerical, Own-child, White, Male,0,0,40, Mexico, <=50K
41, Private, 10th, Married-civ-spouse, Machine-op-inspct, Unmarried, White, Male,0,0,30, United-States, <=50K
55, Self-emp-inc, HS-grad, Married-civ-spouse, Sales, Husband, White, Male,0,0,60, United-States, >50K
44, Local-gov, HS-grad, Married-civ-spouse, Other-service, Husband, White, Male,0,0,40, Portugal, <=50K
30, Private, Masters, Never-married, Tech-support, Other-relative, White, Female,0,0,45, United-States, <=50K
46, Private, HS-grad, Divorced, Craft-repair, Husband, White, Female,0,0,50, United-States, <=50K
24, Private, Assoc-voc, Never-married, Other-service, Not-in-family, White, Male,0,0,37, United-States, <=50K
65, Private, Doctorate, Married-civ-spouse, Machine-op-inspct, Wife, White, Male,15024,0,50, United-States, >50K
46, Private, HS-grad, Divorced, Transport-moving, Unmarried, White, Female,0,0,40, United-States, >50K
19, Private, HS-grad, Never-married, Machine-op-inspct, Own-child, White, Female,0,0,40, United-States, <=50K
38, Private, Bachelors, Married-civ-spouse, Sales, Not-in-family, White, Female,7298,0,60, United-States, >50K
47, Self-emp-inc, HS-grad, Married-civ-spouse, Prof-specialty, Not-in-family, White, Female,0,0,54, United-States, >50K
28, Private, 1st-4th, Never-married, Adm-clerical, Not-in-family, White, Female,0,0,40, United-States, <=50K
42, Private, Some-college, Married-civ-spouse, Adm-clerical, Not-in-family, White, Female,0,0,20, Cuba, <=50K
60, Local-gov, Bachelors, Married-civ-spouse, Adm-clerical, Wife, White, Female,0,0,10, United-States, <=50K
30, Private, HS-grad, Never-married, Exec-managerial, Husband, White, Male,0,0,40, United-States, <=50K
57, Self-emp-not-inc, HS-grad, Never-married, Exec-managerial, Not-in-family, White, Female,0,0,40, United-States, <=50K
46, Federal-gov, 9th, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,45, United-States, <=50K
55, Private, Some-college, Never-married, Sales, Wife, White, Female,0,0,40, United-States, >50K
46, Private, Some-college, Divorced, Machine-op-inspct, Unmarried, White, Female,0,0,40, United-States, <=50K
42, Private, Doctorate, Never-married, Sales, Husband, White, Male,0,0,65, United-States, >50K
29, Private, HS-grad, Married-civ-spouse, Prof-specialty, Not-in-family, White, Male,8117,0,50, United-States, >50K
19, Private, Some-college, Never-married, Other-service, Own-child, White, Male,0,0,15, United-States, <=50K
24, Private, HS-grad, Never-married, Tech-support, Own-child, White, Male,0,0,40, United-States, <=50K
42, Private, Some-college, Married-civ-spouse, Prof-specialty, Husband, White, Male,7687,0,50, United-States, <=50K
