56, Self-emp-not-inc, HS-grad, Married-civ-spouse, Craft-repair, Husband, Asian-Pac-Islander, Male,0,0,50, Dominican-Republic, >50K
45, Private, Masters, Married-civ-spouse, Transport-moving, Husband, White, Male,15024,0,50, Haiti, >50K
39, Private, 9th, Widowed, Adm-clerical, Unmarried, Black, Female,0,0,40, Portugal, <=50K
29, Federal-gov, Some-college, Never-married, Adm-clerical, Unmarried, White, Male,0,0,54, Jamaica, <=50K
59, Private, 7th-8th, Married-spouse-absent, Craft-repair, Husband, White, Female,0,0,40, India, >50K
49, Private, HS-grad, Married-civ-spouse, Other-service, Husband, White, Male,0,0,40, France, <=50K
38, Private, Bachelors, Divorced, Other-service, Not-in-family, White, Female,0,0,40, Germany, <=50K
33, Private, HS-grad, Never-married, Craft-repair, Not-in-family, White, Male,0,0,45, Italy, <=50K
58, Private, HS-grad, Widowed, Adm-clerical, Unmarried, White, Male,0,0,40, Japan, <=50K
60, Private, 5th-6th, Divorced, Craft-repair, Not-in-family, White, Female,0,0,40, Columbia, <=50K
38, Private, Bachelors, Married-civ-spouse, Craft-repair, Not-in-family, White, Male,7298,0,50, Japan, >50K
47, Private, Bachelors, Married-civ-spouse, Exec-managerial, Not-in-family, White, Male,0,1977,60, Ecuador, >50K
40, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, Taiwan, <=50K
33, Private, Masters, Married-civ-spouse, Tech-support, Husband, White, Male,0,1887,40, Dominican-Republic, <=50K
47, Private, Bachelors, Married-civ-spouse, Sales, Husband, Black, Male,0,0,40, Germany, <=50K
48, Private, Assoc-acdm, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, South, >50K
45, Local-gov, 5th-6th, Separated, Sales, Unmarried, Black, Female,0,0,35, Canada, <=50K
43, Self-emp-inc, Some-college, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, Dominican-Republic, >50K
30, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, Honduras, <=50K
49, Private, Some-college, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,50, Ireland, >50K
32, Private, Bachelors, Divorced, Exec-managerial, Unmarried, White, Female,0,0,30, United-States, <=50K
51, Private, 9th, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, Trinadad&Tobago, <=50K
20, Private, HS-grad, Never-married, Sales, Own-child, White, Male,0,0,40, Columbia, <=50K
61, Private, HS-grad, Divorced, Exec-managerial, Unmarried, Black, Female,3103,0,45, China, >50K
39, Private, Some-college, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,50, Hungary, >50K
49, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,50, Thailand, <=50K
56, Local-gov, HS-grad, Divorced, Transport-moving, Own-child, Black, Male,0,2005,65, Guatemala, <=50K
50, State-gov, Prof-school, Married-civ-spouse, Exec-managerial, Unmarried, White, Male,0,0,65, Guatemala, >50K
33, Private, HS-grad, Married-civ-spouse, Prof-specialty, Husband, Other, Male,0,0,45, Trinadad&Tobago, >50K
25, Private, HS-grad, Never-married, Prof-specialty, Unmarried, White, Male,0,0,40, China, <=50K
46, Self-emp-inc, Masters, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,7687,0,40, England, >50K
22, Private, Some-college, Married-civ-spouse, Prof-specialty, Wife, White, Female,0,0,40, Taiwan, >50K
43, Private, HS-grad, Never-married, Adm-clerical, Unmarried, White, Male,0,0,45, Taiwan, <=50K
59, Self-emp-inc, Prof-school, Separated, Exec-managerial, Not-in-family, White, Male,0,0,60, Thailand, <=50K
51, Private, HS-grad, Married-civ-spouse, Other-service, Husband, White, Male,0,0,45, Scotland, >50K
36, Private, Bachelors, Married-civ-spouse, Tech-support, Wife, White, Female,0,0,40, Germany, >50K
20, Private, 12th, Never-married, Other-service, Own-child, White, Male,0,0,20, China, <=50K
38, Federal-gov, Assoc-voc, Divorced, Prof-specialty, Unmarried, White, Female,0,0,40, Jamaica, <=50K
33, Self-emp-inc, Masters, Married-civ-spouse, Machine-op-inspct, Wife, White, Male,7687,0,50, Trinadad&Tobago, >50K
23, Private, Some-college, Married-civ-spouse, Sales, Husband, Black, Male,0,1902,50, Puerto-Rico, <=50K
23, Private, Some-college, Never-married, Exec-managerial, Own-child, Asian-Pac-Islander, Female,0,0,20, Ireland, <=50K
22, Private, Some-college, Never-married, Transport-moving, Not-in-family, White, Female,0,0,48, Trinadad&Tobago, <=50K
42, Private, HS-grad, Married-civ-spouse, Sales, Husband, White, Male,0,0,40, England, <=50K
30, State-gov, Some-college, Never-married, Craft-repair, Not-in-family, Black, Male,0,0,40, Haiti, <=50K
43, Self-emp-inc, HS-grad, Widowed, Adm-clerical, Unmarried, Black, Male,0,0,40, Thailand, <=50K
55, Self-emp-not-inc, HS-grad, Widowed, Adm-clerical, Not-in-family, White, Male,2322,0,35, Thailand, <=50K
49, Without-pay, Prof-school, Widowed, Prof-specialty, Not-in-family, White, Female,4591,0,40, Guatemala, <=50K
53, Private, Assoc-voc, Married-civ-spouse, Farming-fishing, Husband, White, Male,0,0,87, El-Salvador, >50K
20, Private, HS-grad, Never-married, Sales, Not-in-family, White, Male,0,0,45, Greece, <=50K
37, Private, Some-college, Divorced, Adm-clerical, Unmarried, Black, Female,0,0,40, Puerto-Rico, <=50K
62, Self-emp-not-inc, Masters, Married-civ-spouse, Priv-house-serv, Husband, White, Male,0,1899,40, Trinadad&Tobago, >50K
20, Private, Some-college, Never-married, Handlers-cleaners, Own-child, White, Male,0,0,25, Outlying-US(Guam-USVI-etc), <=50K
21, Private, HS-grad, Never-married, Protective-serv, Husband, White, Male,0,0,40, Poland, <=50K
39, State-gov, Some-college, Married-civ-spouse, Protective-serv, Husband, Other, Male,0,0,40, Scotland, <=50K
18, Private, Some-college, Never-married, Sales, Own-child, White, Male,0,0,40, Peru, <=50K
34, Private, HS-grad, Separated, Handlers-cleaners, Own-child, Black, Male,0,0,40, Taiwan, <=50K
27, Private, Prof-school, Never-married, Prof-specialty, Not-in-family, White, Female,0,0,40, China, <=50K
33, Self-emp-not-inc, Some-college, Married-civ-spouse, Machine-op-inspct, Own-child, White, Male,0,0,40, Portugal, <=50K
33, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, Outlying-US(Guam-USVI-etc), <=50K
62, State-gov, HS-grad, Never-married, Prof-specialty, Not-in-family, White, Female,0,0,40, India, <=50K
38, Private, Some-college, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,48, Japan, <=50K
40, Local-gov, 5th-6th, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,40, Thailand, <=50K
23, Private, HS-grad, Never-married, Adm-clerical, Not-in-family, White, Male,0,0,40, El-Salvador, <=50K
38, State-gov, HS-grad, Never-married, Exec-managerial, Husband, White, Male,3333,0,80, Honduras, <=50K
18, Private, 10th, Never-married, Prof-specialty, Own-child, White, Female,0,0,17, Germany, <=50K
54, Private, Some-college, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,54, Outlying-US(Guam-USVI-etc), >50K
47, Private, HS-grad, Married-civ-spouse, Handlers-cleaners, Not-in-family, White, Male,0,0,25, Italy, <=50K
27, Private, Some-college, Never-married, Exec-managerial, Not-in-family, Black, Female,0,0,40, India, <=50K
38, Private, Bachelors, Married-civ-spouse, Tech-support, Husband, White, Male,0,0,40, Peru, >50K
26, Private, HS-grad, Never-married, Machine-op-inspct, Own-child, White, Male,0,0,40, Columbia, <=50K
34, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,1593,40, Haiti, >50K
27, Private, Some-college, Never-married, Machine-op-inspct, Not-in-family, White, Male,0,0,40, United-States, <=50K
60, Private, HS-grad, Divorced, Craft-repair, Not-in-family, White, Male,0,0,48, Italy, >50K
31, Private, 11th, Never-married, Farming-fishing, Husband, White, Male,0,0,50, Hong, <=50K
55, Federal-gov, 7th-8th, Married-civ-spouse, Craft-repair, Husband, Black, Male,0,0,40, Japan, <=50K
23, Private, Some-college, Never-married, Craft-repair, Not-in-family, White, Female,0,0,30, Peru, <=50K
49, Private, Assoc-voc, Never-married, Prof-specialty, Unmarried, White, Female,0,0,50, Columbia, <=50K
52, State-gov, Masters, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,70, Japan, >50K
24, Private, Bachelors, Divorced, Adm-clerical, Not-in-family, White, Female,0,0,40, Haiti, <=50K
26, Private, Some-college, Divorced, Craft-repair, Not-in-family, White, Male,0,0,40, Haiti, <=50K
36, Self-emp-inc, Masters, Married-civ-spouse, Sales, Husband, White, Male,0,0,50, Dominican-Republic, >50K
41, Private, Some-college, Never-married, Sales, Unmarried, White, Female,0,0,40, Hong, <=50K
59, Private, HS-grad, Divorced, Exec-managerial, Not-in-family, White, Female,0,0,40, Italy, <=50K
58, Self-emp-not-inc, HS-grad, Married-civ-spouse, Craft-repair, Not-in-family, Black, Female,3424,0,30, United-States, <=50K
46, Private, HS-grad, Divorced, Sales, Unmarried, White, Female,0,0,19, Laos, <=50K
35, Self-emp-inc, HS-grad, Separated, Exec-managerial, Unmarried, Asian-Pac-Islander, Female,0,0,38, Peru, <=50K
57, Self-emp-not-inc, Some-college, Divorced, Prof-specialty, Not-in-family, White, Male,0,0,30, Thailand, <=50K
25, Private, Bachelors, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,2903,0,50, Vietnam, >50K
45, Private, Some-college, Married-civ-spouse, Sales, Husband, Black, Male,0,0,40, Iran, <=50K
26, Private, 12th, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, Cuba, <=50K
63, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, Vietnam, <=50K
28, Private, Assoc-voc, Never-married, Exec-managerial, Not-in-family, White, Female,0,0,50, Honduras, >50K
28, Private, HS-grad, Never-married, Adm-clerical, Not-in-family, White, Female,0,0,35, Philippines, <=50K
25, State-gov, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, Jamaica, <=50K
45, Private, 5th-6th, Married-civ-spouse, Tech-support, Wife, White, Male,0,0,35, Peru, >50K
39, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,1977,45, Vietnam, >50K
24, Private, Some-college, Never-married, Adm-clerical, Own-child, White, Female,0,0,40, Iran, <=50K
47, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,5013,0,20, Ecuador, >50K
26, Private, HS-grad, Never-married, Prof-specialty, Own-child, White, Male,0,0,40, Portugal, <=50K
63, Private, HS-grad, Married-spouse-absent, Transport-moving, Husband, White, Male,0,0,40, Iran, <=50K
47, Private, 10th, Married-civ-spouse, Farming-fishing, Husband, White, Male,0,0,70, Ireland, <=50K
31, Private, Bachelors, Married-spouse-absent, Craft-repair, Not-in-family, White, Male,0,1848,40, Taiwan, <=50K
45, Private, Bachelors, Divorced, Prof-specialty, Not-in-family, White, Female,0,0,60, Philippines, >50K
26, Private, HS-grad, Never-married, Craft-repair, Own-child, White, Male,0,0,30, Mexico, <=50K
29, Self-emp-not-inc, Some-college, Married-spouse-absent, Craft-repair, Husband, White, Male,0,0,40, Guatemala, <=50K
48, Private, Some-college, Widowed, Sales, Unmarried, White, Female,0,0,45, El-Salvador, <=50K
42, Local-gov, 9th, Never-married, Exec-managerial, Wife, White, Male,0,0,50, Iran, <=50K
48, Private, Bachelors, Married-civ-spouse, Sales, Husband, White, Male,0,0,65, Mexico, >50K
71, Local-gov, Some-college, Widowed, Adm-clerical, Unmarried, Black, Female,0,0,20, Puerto-Rico, <=50K
55, Private, Some-college, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,45, Philippines, <=50K
51, Private, Some-college, Married-civ-spouse, Craft-repair, Husband, Amer-Indian-Eskimo, Male,0,0,40, Thailand, <=50K
37, Private, Some-college, Married-civ-spouse, Sales, Husband, Asian-Pac-Islander, Male,0,0,40, Japan, >50K
40, Private, Bachelors, Married-civ-spouse, Prof-specialty, Wife, White, Female,0,0,50, El-Salvador, >50K
19, Private, Some-college, Never-married, Other-service, Own-child, Black, Male,0,0,45, Peru, >50K
35, Federal-gov, Bachelors, Married-civ-spouse, Sales, Husband, White, Male,0,0,40, Thailand, >50K
27, Private, 12th, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, Iran, <=50K
33, Private, Masters, Never-married, Prof-specialty, Not-in-family, White, Male,0,0,40, Hong, >50K
27, Private, HS-grad, Never-married, Transport-moving, Unmarried, White, Male,0,0,70, Taiwan, <=50K
19, State-gov, HS-grad, Never-married, Transport-moving, Not-in-family, White, Male,0,0,19, Yugoslavia, <=50K
31, Private, HS-grad, Never-married, Adm-clerical, Not-in-family, Black, Female,0,0,35, Canada, <=50K
28, Private, HS-grad, Divorced, Adm-clerical, Own-child, Black, Female,0,0,40, Honduras, <=50K
47, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,54, United-States, >50K
62, Private, Some-college, Married-civ-spouse, Tech-support, Husband, White, Male,0,0,45, Guatemala, >50K
31, Private, Masters, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, Columbia, >50K
18, Private, Some-college, Never-married, Exec-managerial, Own-child, White, Female,0,0,40, Haiti, <=50K
39, Private, Some-college, Married-civ-spouse, Other-service, Husband, White, Male,15024,0,40, Yugoslavia, >50K
44, Private, Bachelors, Separated, Adm-clerical, Not-in-family, White, Male,0,0,40, Nicaragua, <=50K
60, Private, Masters, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,1977,40, United-States, >50K
17, Private, 11th, Never-married, Craft-repair, Own-child, White, Female,0,0,20, Ireland, <=50K
47, Self-emp-not-inc, 9th, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,60, Scotland, <=50K
43, Private, Bachelors, Divorced, Adm-clerical, Unmarried, White, Female,0,0,44, Honduras, <=50K
29, Private, HS-grad, Never-married, Machine-op-inspct, Not-in-family, White, Male,0,0,35, Yugoslavia, <=50K
29, Private, HS-grad, Never-married, Other-service, Own-child, White, Male,0,0,38, Jamaica, <=50K
44, Private, Some-college, Married-civ-spouse, Tech-support, Own-child, White, Female,0,0,40, Cambodia, >50K
38, Self-emp-not-inc, Prof-school, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,84, Mexico, <=50K
32, Private, Assoc-voc, Never-married, Exec-managerial, Not-in-family, White, Female,0,0,40, Haiti, <=50K
39, Local-gov, Some-college, Married-civ-spouse, Sales, Husband, White, Male,7687,0,42, Japan, >50K
34, Private, Some-college, Married-civ-spouse, Transport-moving, Own-child, White, Male,0,0,50, Laos, <=50K
36, Private, HS-grad, Married-civ-spouse, Adm-clerical, Not-in-family, White, Male,0,0,40, Canada, <=50K
67, Private, HS-grad, Widowed, Adm-clerical, Not-in-family, White, Female,0,0,30, Scotland, <=50K
48, Private, Some-college, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, South, <=50K
31, Private, Some-college, Never-married, Adm-clerical, Unmarried, Black, Female,0,0,38, Iran, <=50K
37, Local-gov, 9th, Married-spouse-absent, Exec-managerial, Wife, White, Female,0,0,30, Ecuador, >50K
55, State-gov, Prof-school, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, Taiwan, >50K
23, Private, Some-college, Never-married, Prof-specialty, Unmarried, White, Female,0,0,35, Vietnam, <=50K
26, Federal-gov, Some-college, Never-married, Adm-clerical, Not-in-family, White, Male,0,0,45, Cambodia, <=50K
35, Private, Some-college, Married-civ-spouse, Exec-managerial, Unmarried, Asian-Pac-Islander, Male,0,0,40, Outlying-US(Guam-USVI-etc), >50K
53, State-gov, 11th, Married-civ-spouse, Exec-managerial, Husband, White, Male,15024,0,38, Japan, >50K
52, Private, HS-grad, Divorced, Farming-fishing, Not-in-family, White, Female,0,0,40, Greece, <=50K
55, Private, 9th, Married-civ-spouse, Prof-specialty, Wife, White, Male,0,0,40, Italy, <=50K
22, Private, HS-grad, Never-married, Craft-repair, Own-child, White, Male,0,0,54, Nicaragua, <=50K
43, Private, Masters, Married-civ-spouse, Exec-managerial, Husband, Black, Male,15024,0,99, Italy, >50K
33, Private, Some-college, Never-married, Craft-repair, Not-in-family, White, Male,0,0,16, United-States, <=50K
43, Private, HS-grad, Never-married, Transport-moving, Not-in-family, White, Male,0,0,40, Philippines, <=50K
49, Private, Assoc-acdm, Divorced, Prof-specialty, Not-in-family, White, Female,0,0,50, Ireland, <=50K
21, Private, Some-college, Never-married, Sales, Own-child, White, Female,0,0,38, China, <=50K
33, Private, HS-grad, Divorced, Adm-clerical, Unmarried, Black, Female,0,0,24, Guatemala, <=50K
54, Private, 9th, Widowed, Farming-fishing, Unmarried, White, Male,0,0,35, Scotland, <=50K
45, Private, Assoc-voc, Never-married, Craft-repair, Not-in-family, Black, Male,0,0,40, South, <=50K
39, Self-emp-inc, HS-grad, Divorced, Prof-specialty, Not-in-family, White, Male,0,0,45, India, <=50K
59, Self-emp-inc, Some-college, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, Ireland, >50K
44, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, Hungary, <=50K
25, State-gov, Some-college, Never-married, Adm-clerical, Unmarried, Black, Female,0,0,40, Guatemala, <=50K
57, Self-emp-inc, Assoc-voc, Married-spouse-absent, Prof-specialty, Husband, White, Male,0,0,40, India, >50K
90, Private, 7th-8th, Married-civ-spouse, Farming-fishing, Husband, White, Male,32452,0,50, Columbia, >50K
25, Private, HS-grad, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,75, Hong, >50K
19, Private, 11th, Never-married, Other-service, Own-child, White, Male,0,0,40, Honduras, <=50K
35, Private, Some-college, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, Hong, >50K
25, Private, Some-college, Never-married, Craft-repair, Own-child, White, Male,0,0,25, Guatemala, <=50K
22, Self-emp-not-inc, HS-grad, Never-married, Other-service, Own-child, Black, Male,0,0,24, Mexico, <=50K
37, Self-emp-inc, HS-grad, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, Taiwan, >50K
36, Private, Assoc-voc, Never-married, Exec-managerial, Not-in-family, White, Female,0,0,40, Scotland, <=50K
52, Self-emp-not-inc, Some-college, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,60, Iran, <=50K
63, Private, Bachelors, Widowed, Craft-repair, Unmarried, White, Male,0,0,40, Taiwan, <=50K
43, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, Black, Male,0,0,40, Yugoslavia, <=50K
24, Private, Some-college, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,60, Haiti, <=50K
33, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,45, Italy, >50K
29, Private, Bachelors, Never-married, Adm-clerical, Not-in-family, White, Male,0,0,40, Canada, <=50K
29, Private, 10th, Never-married, Exec-managerial, Unmarried, White, Female,0,0,40, Portugal, <=50K
60, Private, Masters, Married-civ-spouse, Sales, Husband, White, Male,7298,0,49, Portugal, >50K
37, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, Columbia, <=50K
31, Private, Masters, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,48, United-States, <=50K
28, Private, Bachelors, Divorced, Adm-clerical, Not-in-family, White, Female,0,0,40, Poland, <=50K
49, Private, Assoc-voc, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,3896,0,40, South, >50K
45, Private, Bachelors, Married-civ-spouse, Prof-specialty, Not-in-family, White, Male,0,2411,50, Vietnam, >50K
18, Private, Some-college, Divorced, Sales, Own-child, White, Female,0,0,16, El-Salvador, <=50K
36, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,43, Japan, <=50K
36, Private, HS-grad, Never-married, Sales, Unmarried, White, Female,0,0,40, Iran, <=50K
42, Private, HS-grad, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,1581,40, India, <=50K
29, Private, 7th-8th, Never-married, Adm-clerical, Not-in-family, White, Female,0,0,55, Ecuador, <=50K
41, Private, Some-college, Divorced, Adm-clerical, Unmarried, White, Female,0,0,40, Cambodia, <=50K
19, Private, HS-grad, Never-married, Adm-clerical, Unmarried, White, Female,0,0,30, Hong, <=50K
58, Private, HS-grad, Never-married, Adm-clerical, Not-in-family, White, Female,0,0,40, Greece, <=50K
39, Self-emp-not-inc, Some-college, Never-married, Farming-fishing, Unmarried, White, Male,0,0,84, Honduras, <=50K
50, Federal-gov, 7th-8th, Married-civ-spouse, Sales, Husband, White, Male,0,0,54, Hungary, <=50K
40, Private, Some-college, Never-married, Prof-specialty, Unmarried, White, Female,0,0,35, Taiwan, <=50K
63, Self-emp-inc, Some-college, Divorced, Machine-op-inspct, Husband, White, Male,0,0,60, Dominican-Republic, <=50K
