60, Self-emp-inc, HS-grad, Divorced, Adm-clerical, Wife, Amer-Indian-Eskimo, Male,0,0,40, Cuba, <=50K
33, Private, Bachelors, Divorced, Prof-specialty, Unmarried, Black, Male,0,0,40, Dominican-Republic, <=50K
68, Private, Assoc-voc, Married-civ-spouse, Craft-repair, Husband, Black, Female,0,0,40, Germany, <=50K
37, Private, HS-grad, Widowed, Adm-clerical, Not-in-family, Black, Female,0,0,38, Cambodia, <=50K
40, Private, HS-grad, Married-civ-spouse, Exec-managerial, Not-in-family, Asian-Pac-Islander, Male,0,0,60, Canada, >50K
53, State-gov, Some-college, Married-civ-spouse, Exec-managerial, Unmarried, Asian-Pac-Islander, Female,0,0,40, Yugoslavia, <=50K
17, Private, 11th, Never-married, Other-service, Own-child, Black, Male,0,0,20, Thailand, <=50K
46, Private, Some-college, Married-civ-spouse, Tech-support, Husband, Amer-Indian-Eskimo, Female,5159,0,40, Puerto-Rico, <=50K
37, Self-emp-not-inc, Some-college, Married-civ-spouse, Sales, Husband, Black, Male,0,0,98, El-Salvador, <=50K
53, Private, Some-college, Married-civ-spouse, Exec-managerial, Husband, Asian-Pac-Islander, Female,15024,0,40, Greece, >50K
56, Private, Bachelors, Married-civ-spouse, Prof-specialty, Husband, Other, Male,0,0,50, Guatemala, >50K
41, State-gov, HS-grad, Never-married, Prof-specialty, Not-in-family, Amer-Indian-Eskimo, Male,0,0,60, Ecuador, <=50K
33, Private, Bachelors, Married-civ-spouse, Exec-managerial, Unmarried, Asian-Pac-Islander, Female,0,1753,45, Dominican-Republic, <=50K
23, Self-emp-inc, Masters, Never-married, Sales, Not-in-family, White, Female,0,0,50, Nicaragua, <=50K
32, Local-gov, Bachelors, Never-married, Adm-clerical, Own-child, Black, Male,0,0,40, Jamaica, >50K
41, Private, Bachelors, Never-married, Other-service, Unmarried, White, Female,0,0,40, Jamaica, <=50K
20, Private, Some-college, Never-married, Sales, Own-child, Amer-Indian-Eskimo, Male,0,0,40, France, <=50K
61, Private, 9th, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, Mexico, <=50K
58, Private, Assoc-voc, Divorced, Machine-op-inspct, Husband, Black, Male,0,0,40, Poland, >50K
58, Local-gov, 9th, Married-civ-spouse, Prof-specialty, Husband, Asian-Pac-Islander, Male,0,0,99, England, >50K
41, Local-gov, Bachelors, Married-civ-spouse, Other-service, Husband, Black, Female,0,0,40, Hong, <=50K
28, Local-gov, HS-grad, Never-married, Other-service, Husband, Amer-Indian-Eskimo, Male,0,0,35, Nicaragua, <=50K
37, Self-emp-inc, Assoc-voc, Separated, Other-service, Unmarried, Black, Male,0,0,50, Jamaica, <=50K
43, Self-emp-not-inc, HS-grad, Divorced, Sales, Not-in-family, Asian-Pac-Islander, Male,0,0,30, Honduras, <=50K
50, Self-emp-not-inc, Masters, Divorced, Adm-clerical, Not-in-family, Black, Female,0,0,20, Yugoslavia, <=50K
79, Local-gov, Assoc-acdm, Married-civ-spouse, Machine-op-inspct, Husband, Other, Male,3903,0,30, Cuba, >50K
79, Self-emp-not-inc, HS-grad, Married-civ-spouse, Exec-managerial, Not-in-family, Black, Female,0,0,12, Ecuador, <=50K
36, Private, Bachelors, Never-married, Other-service, Not-in-family, Asian-Pac-Islander, Female,0,0,40, Hungary, <=50K
18, Private, Some-college, Never-married, Prof-specialty, Own-child, Other, Female,0,0,40, Outlying-US(Guam-USVI-etc), <=50K
30, Self-emp-not-inc, HS-grad, Married-civ-spouse, Craft-repair, Husband, Black, Male,0,0,60, Cuba, >50K
45, Self-emp-inc, 11th, Married-civ-spouse, Tech-support, Not-in-family, Other, Female,0,0,40, Italy, <=50K
24, Private, HS-grad, Divorced, Craft-repair, Not-in-family, Amer-Indian-Eskimo, Female,0,0,40, Jamaica, >50K
33, Private, Masters, Married-civ-spouse, Transport-moving, Not-in-family, White, Male,0,0,40, South, >50K
56, Self-emp-not-inc, Some-college, Married-civ-spouse, Craft-repair, Not-in-family, Black, Female,0,0,20, Thailand, <=50K
46, Private, 7th-8th, Married-civ-spouse, Craft-repair, Not-in-family, Other, Female,15024,0,50, Ecuador, <=50K
37, Private, HS-grad, Married-civ-spouse, Sales, Husband, Asian-Pac-Islander, Male,0,0,40, Canada, >50K
39, Private, HS-grad, Divorced, Craft-repair, Not-in-family, Other, Female,0,0,9, Yugoslavia, >50K
47, Private, Masters, Married-civ-spouse, Prof-specialty, Husband, Amer-Indian-Eskimo, Female,0,0,46, Taiwan, >50K
27, Private, Masters, Never-married, Other-service, Husband, Amer-Indian-Eskimo, Female,0,0,40, Germany, <=50K
20, Private, Some-college, Never-married, Other-service, Own-child, White, Male,0,0,15, Poland, <=50K
39, Private, HS-grad, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,40, Guatemala, >50K
27, Private, Assoc-voc, Never-married, Exec-managerial, Husband, Asian-Pac-Islander, Female,0,0,40, Portugal, <=50K
21, Federal-gov, Some-college, Never-married, Adm-clerical, Unmarried, White, Male,0,0,20, Italy, <=50K
47, Private, 9th, Never-married, Adm-clerical, Husband, White, Male,0,0,40, India, <=50K
39, Private, HS-grad, Divorced, Sales, Husband, White, Male,0,0,40, France, <=50K
61, Private, Bachelors, Married-civ-spouse, Prof-specialty, Husband, Other, Female,0,0,34, France, <=50K
38, Self-emp-not-inc, Some-college, Married-civ-spouse, Craft-repair, Unmarried, Asian-Pac-Islander, Female,7298,0,40, Iran, >50K
33, Private, HS-grad, Never-married, Exec-managerial, Own-child, Other, Male,0,0,40, Jamaica, >50K
23, Private, 11th, Married-civ-spouse, Farming-fishing, Own-child, Asian-Pac-Islander, Female,0,0,15, Columbia, <=50K
44, Private, HS-grad, Divorced, Adm-clerical, Unmarried, Amer-Indian-Eskimo, Male,0,0,40, Italy, <=50K
56, Private, Doctorate, Divorced, Craft-repair, Unmarried, Other, Female,0,0,40,, <=50K
39, Private, HS-grad, Divorced, Exec-managerial, Husband, Asian-Pac-Islander, Female,0,0,40, Nicaragua, <=50K
24, Private, Some-college, Never-married, Other-service, Wife, Other, Female,0,0,16, Mexico, <=50K
27, Federal-gov, HS-grad, Married-civ-spouse, Sales, Unmarried, Other, Female,0,0,40, Cuba, <=50K
49, Private, HS-grad, Divorced, Other-service, Husband, Other, Male,0,0,35, Honduras, <=50K
43, State-gov, Assoc-voc, Divorced, Machine-op-inspct, Unmarried, Other, Female,0,0,50, Guatemala, <=50K
33, Private, Some-college, Separated, Sales, Not-in-family, White, Female,0,0,36, England, <=50K
52, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, Amer-Indian-Eskimo, Female,0,0,40, England, <=50K
33, Private, Bachelors, Never-married, Craft-repair, Husband, White, Female,0,0,40, Greece, <=50K
25, Private, Some-college, Married-civ-spouse, Adm-clerical, Not-in-family, Asian-Pac-Islander, Female,0,0,37, Jamaica, <=50K
35, Local-gov, Prof-school, Divorced, Sales, Not-in-family, Other, Male,0,0,40, Philippines, >50K
57, Private, Bachelors, Married-civ-spouse, Craft-repair, Unmarried, Asian-Pac-Islander, Male,0,0,40, Hungary, <=50K
25, Private, Bachelors, Never-married, Handlers-cleaners, Husband, White, Female,0,0,59, Hungary, <=50K
27, Private, HS-grad, Never-married, Priv-house-serv, Not-in-family, White, Male,0,0,37, Haiti, <=50K
60, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, Black, Female,0,0,35, South, <=50K
55, Private, 9th, Married-civ-spouse, Craft-repair, Unmarried, Other, Female,0,0,45, Jamaica, <=50K
66, Self-emp-not-inc, Some-college, Married-civ-spouse, Craft-repair, Husband, Black, Male,0,0,40, Vietnam, <=50K
38, Private, HS-grad, Married-civ-spouse, Machine-op-inspct, Not-in-family, Black, Female,0,0,40, Germany, >50K
67, Private, HS-grad, Married-civ-spouse, Prof-specialty, Not-in-family, White, Female,3124,0,16, Dominican-Republic, <=50K
31, Private, Some-college, Married-civ-spouse, Farming-fishing, Not-in-family, White, Male,0,0,40, Puerto-Rico, <=50K
36, Self-emp-inc, Bachelors, Married-civ-spouse, Exec-managerial, Not-in-family, White, Male,0,0,81, Canada, >50K
25, Private, HS-grad, Married-civ-spouse, Sales, Husband, Asian-Pac-Islander, Male,0,0,60, Thailand, >50K
33, Private, Some-college, Never-married, Protective-serv, Husband, Amer-Indian-Eskimo, Male,0,0,40, Poland, >50K
33, Private, HS-grad, Married-civ-spouse, Other-service, Not-in-family, Amer-Indian-Eskimo, Male,0,0,40, Hungary, <=50K
46, Self-emp-not-inc, HS-grad, Married-civ-spouse, Sales, Unmarried, Asian-Pac-Islander, Male,0,0,60, Canada, <=50K
37, Self-emp-not-inc, 9th, Divorced, Craft-repair, Not-in-family, Black, Female,0,0,38, United-States, <=50K
52, Self-emp-not-inc, 1st-4th, Divorced, Adm-clerical, Unmarried, Black, Male,0,0,40, Iran, <=50K
30, Private, Some-college, Never-married, Exec-managerial, Not-in-family, White, Male,0,0,40, Portugal, >50K
40, Self-emp-not-inc, Bachelors, Never-married, Sales, Own-child, Black, Female,0,0,47, Peru, >50K
26, Local-gov, Some-college, Never-married, Craft-repair, Husband, Other, Female,0,0,40, Peru, <=50K
45, Self-emp-inc, Some-college, Never-married, Prof-specialty, Unmarried, Asian-Pac-Islander, Male,0,0,70, India, >50K
28, Private, Some-college, Never-married, Sales, Own-child, Amer-Indian-Eskimo, Male,0,0,40, Iran, <=50K
26, Private, Some-college, Never-married, Exec-managerial, Husband, Asian-Pac-Islander, Female,0,0,40, Taiwan, <=50K
50, Private, Some-college, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,40, Ireland, >50K
19, Self-emp-not-inc, Some-college, Never-married, Sales, Not-in-family, Black, Male,0,0,35, Yugoslavia, <=50K
34, Local-gov, Some-college, Never-married, Transport-moving, Not-in-family, Amer-Indian-Eskimo, Male,0,0,40, Italy, <=50K
20, Local-gov, 12th, Never-married, Adm-clerical, Own-child, Amer-Indian-Eskimo, Female,0,0,16, Poland, <=50K
40, Private, Doctorate, Married-civ-spouse, Tech-support, Unmarried, Amer-Indian-Eskimo, Male,0,0,37, Peru, <=50K
26, Federal-gov, HS-grad, Never-married, Craft-repair, Husband, Asian-Pac-Islander, Male,7022,0,45, Germany, >50K
34, Private, Some-college, Never-married, Handlers-cleaners, Not-in-family, Black, Male,0,0,48, Thailand, >50K
45, Private, HS-grad, Married-civ-spouse, Transport-moving, Husband, Other, Male,0,0,40, Puerto-Rico, <=50K
28, Private, HS-grad, Married-civ-spouse, Tech-support, Own-child, Amer-Indian-Eskimo, Female,0,0,40, Ireland, <=50K
23, Private, Some-college, Never-married, Other-service, Own-child, White, Male,0,0,15, Jamaica, <=50K
62, Private, HS-grad, Married-civ-spouse, Prof-specialty, Unmarried, White, Female,0,1887,40, Thailand, >50K
59, Private, Doctorate, Divorced, Transport-moving, Husband, Black, Female,0,1887,48, India, >50K
54, Self-emp-not-inc, Masters, Married-civ-spouse, Sales, Not-in-family, Other, Female,0,0,50, Jamaica, <=50K
35, Private, Some-college, Married-civ-spouse, Exec-managerial, Husband, Other, Male,0,0,50, Thailand, >50K
60, Private, HS-grad, Divorced, Craft-repair, Husband, Asian-Pac-Islander, Male,0,0,40, Columbia, <=50K
30, Private, Some-college, Never-married, Prof-specialty, Unmarried, Black, Female,0,0,32, Cuba, <=50K
46, Private, HS-grad, Married-civ-spouse, Sales, Husband, Asian-Pac-Islander, Female,0,0,40, Ecuador, <=50K
41, Private, 5th-6th, Divorced, Prof-specialty, Husband, White, Male,0,0,50, Poland, >50K
30, Private, Some-college, Never-married, Sales, Husband, Other, Female,0,0,40, Poland, <=50K
26, Self-emp-not-inc, Some-college, Married-civ-spouse, Tech-support, Husband, Other, Male,0,0,48, South, <=50K
26, Private, Bachelors, Divorced, Exec-managerial, Own-child, Black, Female,0,0,40, Haiti, <=50K
44, Private, 9th, Married-civ-spouse, Adm-clerical, Unmarried, Other, Female,0,0,40, El-Salvador, <=50K
49, State-gov, HS-grad, Married-civ-spouse, Exec-managerial, Husband, White, Female,0,0,40, Columbia, >50K
18, Private, Some-college, Never-married, Sales, Own-child, Amer-Indian-Eskimo, Female,0,0,40, Ecuador, <=50K
38, Private, HS-grad, Married-civ-spouse, Exec-managerial, Unmarried, Black, Male,0,0,40, Vietnam, >50K
37, Private, HS-grad, Married-civ-spouse, Machine-op-inspct, Not-in-family, Black, Male,15024,0,40, Taiwan, <=50K
60, Self-emp-not-inc, Assoc-voc, Divorced, Exec-managerial, Husband, Asian-Pac-Islander, Male,0,0,50, Jamaica, <=50K
49, Private, HS-grad, Widowed, Craft-repair, Not-in-family, Amer-Indian-Eskimo, Female,0,0,32, Hungary, >50K
41, Private, HS-grad, Married-civ-spouse, Adm-clerical, Husband, Asian-Pac-Islander, Male,0,0,60, Vietnam, <=50K
31, Without-pay, 1st-4th, Divorced, Exec-managerial, Not-in-family, Asian-Pac-Islander, Male,0,0,40, Jamaica, <=50K
57, Federal-gov, 7th-8th, Divorced, Craft-repair, Husband, Amer-Indian-Eskimo, Female,0,1978,40, Thailand, >50K
20, Private, Doctorate, Never-married, Machine-op-inspct, Own-child, Amer-Indian-Eskimo, Male,0,0,20, Greece, <=50K
61, Local-gov, Bachelors, Divorced, Prof-specialty, Not-in-family, Other, Female,0,0,40, Mexico, <=50K
34, Private, Some-college, Married-civ-spouse, Other-service, Husband, Asian-Pac-Islander, Male,0,0,47, China, <=50K
36, Private, Some-college, Married-civ-spouse, Adm-clerical, Husband, Black, Male,0,0,40, Outlying-US(Guam-USVI-etc), <=50K
22, Private, Bachelors, Never-married, Adm-clerical, Not-in-family, Other, Male,0,0,40, Honduras, <=50K
52, Private, Some-college, Married-civ-spouse, Protective-serv, Unmarried, Asian-Pac-Islander, Female,0,0,40, Cuba, <=50K
40, Private, Assoc-voc, Married-civ-spouse, Handlers-cleaners, Not-in-family, Other, Female,0,0,50, France, <=50K
27, Private, Some-college, Married-civ-spouse, Craft-repair, Not-in-family, Asian-Pac-Islander, Female,0,0,40, Haiti, <=50K
19, Private, Some-college, Never-married, Handlers-cleaners, Own-child, White, Female,0,0,30, China, <=50K
43, Private, HS-grad, Married-civ-spouse, Exec-managerial, Not-in-family, Black, Male,11509,0,50, Cambodia, >50K
41, Private, Some-college, Married-civ-spouse, Transport-moving, Husband, Black, Female,0,0,46, Cambodia, <=50K
38, Federal-gov, Some-college, Never-married, Farming-fishing, Husband, White, Female,0,0,99, Scotland, >50K
33, Private, Masters, Married-civ-spouse, Prof-specialty, Husband, Amer-Indian-Eskimo, Male,0,1902,40, United-States, >50K
53, Private, Bachelors, Married-civ-spouse, Other-service, Unmarried, White, Female,0,0,40, Japan, <=50K
68, Self-emp-not-inc, HS-grad, Divorced, Machine-op-inspct, Husband, Amer-Indian-Eskimo, Male,0,0,36, Peru, <=50K
27, Private, Bachelors, Never-married, Other-service, Husband, Amer-Indian-Eskimo, Male,0,0,40, United-States, >50K
59, Local-gov, HS-grad, Divorced, Transport-moving, Husband, White, Female,0,0,40, Columbia, <=50K
41, State-gov, Some-college, Married-civ-spouse, Craft-repair, Husband, Amer-Indian-Eskimo, Female,0,0,40, Italy, <=50K
45, Private, Some-college, Married-civ-spouse, Prof-specialty, Not-in-family, Other, Male,0,0,60, Taiwan, <=50K
50, State-gov, HS-grad, Divorced, Adm-clerical, Unmarried, White, Male,0,0,37, Portugal, <=50K
45, Self-emp-not-inc, HS-grad, Married-civ-spouse, Sales, Husband, Black, Female,0,0,5, Jamaica, >50K
38, Private, HS-grad, Married-civ-spouse, Other-service, Husband, Black, Female,12091,0,48, India, >50K
28, Private, Bachelors, Married-civ-spouse, Handlers-cleaners, Husband, Other, Male,0,0,40, Hong, <=50K
46, Private, HS-grad, Married-civ-spouse, Tech-support, Unmarried, White, Male,0,0,16, Portugal, <=50K
53, Self-emp-not-inc, HS-grad, Married-civ-spouse, Transport-moving, Unmarried, White, Male,0,0,55, Nicaragua, <=50K
24, Private, Assoc-acdm, Divorced, Craft-repair, Not-in-family, White, Female,2812,0,40, Outlying-US(Guam-USVI-etc), <=50K
25, Federal-gov, HS-grad, Married-civ-spouse, Exec-managerial, Husband, Amer-Indian-Eskimo, Male,0,0,60, Scotland, >50K
47, Private, Bachelors, Married-civ-spouse, Craft-repair, Husband, Amer-Indian-Eskimo, Female,0,0,45, Jamaica, >50K
31, State-gov, Some-college, Married-civ-spouse, Protective-serv, Not-in-family, Other, Female,0,0,37, India, <=50K
30, Private, Some-college, Never-married, Sales, Husband, White, Male,0,0,40, Honduras, <=50K
59, Private, HS-grad, Married-civ-spouse, Transport-moving, Unmarried, Black, Male,0,0,40, Mexico, <=50K
45, Local-gov, 7th-8th, Divorced, Protective-serv, Husband, White, Female,0,0,40, Yugoslavia, <=50K
34, Private, Bachelors, Divorced, Adm-clerical, Not-in-family, Amer-Indian-Eskimo, Female,0,0,45, South, <=50K
25, Private, Assoc-acdm, Never-married, Other-service, Husband, White, Male,0,0,45, Cambodia, >50K
43, State-gov, HS-grad, Never-married, Sales, Wife, Asian-Pac-Islander, Female,5078,0,40, Hong, >50K
21, Private, HS-grad, Never-married, Sales, Not-in-family, Black, Female,0,0,20, Mexico, <=50K
24, Private, HS-grad, Never-married, Sales, Unmarried, Other, Female,0,0,30, Japan, <=50K
24, Self-emp-not-inc, Some-college, Married-civ-spouse, Prof-specialty, Not-in-family, Asian-Pac-Islander, Male,0,0,40, Columbia, <=50K
26, Private, HS-grad, Never-married, Other-service, Not-in-family, Other, Female,0,0,40, Italy, <=50K
65, Self-emp-not-inc, 1st-4th, Married-civ-spouse, Handlers-cleaners, Unmarried, Asian-Pac-Islander, Male,0,0,5, Portugal, >50K
48, Self-emp-inc, Assoc-voc, Divorced, Machine-op-inspct, Husband, Black, Female,0,0,40, United-States, <=50K
57, Private, HS-grad, Widowed, Prof-specialty, Unmarried, Asian-Pac-Islander, Female,0,0,40, Honduras, <=50K
41, Self-emp-not-inc, HS-grad, Married-civ-spouse, Farming-fishing, Unmarried, White, Male,0,0,99, United-States, >50K
39, Local-gov, Some-college, Married-civ-spouse, Craft-repair, Unmarried, Amer-Indian-Eskimo, Male,0,0,45, United-States, >50K
39, Self-emp-not-inc, Some-college, Married-civ-spouse, Transport-moving, Husband, Asian-Pac-Islander, Female,0,0,60, Philippines, <=50K
55, Private, HS-grad, Married-civ-spouse, Adm-clerical, Husband, Amer-Indian-Eskimo, Female,3103,0,40, Italy, <=50K
32, Self-emp-inc, Doctorate, Married-civ-spouse, Exec-managerial, Husband, Asian-Pac-Islander, Male,0,0,54, Ireland, >50K
20, Private, HS-grad, Never-married, Adm-clerical, Own-child, Black, Male,0,0,40, Scotland, <=50K
26, Private, Some-college, Never-married, Craft-repair, Own-child, Black, Male,0,0,40, Iran, <=50K
55, Local-gov, HS-grad, Widowed, Protective-serv, Husband, White, Female,0,0,50, Japan, <=50K
62, Private, HS-grad, Widowed, Exec-managerial, Not-in-family, Amer-Indian-Eskimo, Male,0,0,45, Yugoslavia, >50K
43, Private, HS-grad, Married-civ-spouse, Transport-moving, Husband, Other, Male,0,0,40, Outlying-US(Guam-USVI-etc), <=50K
28, Private, HS-grad, Never-married, Tech-support, Not-in-family, Black, Female,0,0,20, Peru, >50K
49, Private, Bachelors, Married-civ-spouse, Handlers-cleaners, Husband, Black, Male,0,0,40, France, <=50K
37, Private, Some-college, Divorced, Sales, Husband, Black, Male,0,0,40, Trinadad&Tobago, >50K
55, Local-gov, Bachelors, Divorced, Other-service, Husband, White, Female,3127,0,40, Taiwan, <=50K
39, Self-emp-inc, Bachelors, Married-civ-spouse, Exec-managerial, Not-in-family, Other, Male,0,0,45, Ecuador, >50K
30, Private, HS-grad, Married-civ-spouse, Machine-op-inspct, Not-in-family, Black, Male,0,1888,50, Philippines, <=50K
48, State-gov, Prof-school, Never-married, Other-service, Unmarried, Amer-Indian-Eskimo, Male,0,0,37, Ireland, <=50K
35, Private, Some-college, Married-civ-spouse, Exec-managerial, Unmarried, Amer-Indian-Eskimo, Male,0,0,40, Philippines, <=50K
41, Private, Bachelors, Divorced, Machine-op-inspct, Husband, Asian-Pac-Islander, Male,0,0,40, Jamaica, <=50K
18, Private, 10th, Never-married, Adm-clerical, Own-child, Black, Male,0,0,20, Outlying-US(Guam-USVI-etc), <=50K
58, Self-emp-not-inc, Assoc-voc, Widowed, Protective-serv, Unmarried, White, Female,0,0,40, Vietnam, <=50K
24, Private, Bachelors, Married-civ-spouse, Adm-clerical, Husband, Asian-Pac-Islander, Male,0,0,35, Poland, <=50K
43, Private, HS-grad, Married-civ-spouse, Machine-op-inspct, Husband, Black, Female,0,0,35, Mexico, >50K
24, Private, HS-grad, Never-married, Prof-specialty, Husband, White, Female,0,0,40, Ireland, <=50K
66, Private, Prof-school, Married-civ-spouse, Prof-specialty, Husband, White, Female,0,1999,60, Italy, >50K
43, Private, Assoc-voc, Divorced, Protective-serv, Husband, Other, Male,0,0,50, England, <=50K
53, Self-emp-not-inc, Some-college, Married-civ-spouse, Exec-managerial, Husband, Asian-Pac-Islander, Male,0,0,40, Hungary, >50K
55, Self-emp-not-inc, Bachelors, Separated, Sales, Not-in-family, White, Female,0,0,54, Jamaica, >50K
22, Private, 10th, Never-married, Sales, Other-relative, Other, Female,0,0,40, United-States, <=50K
45, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Female,0,0,50, Outlying-US(Guam-USVI-etc), >50K
43, Self-emp-not-inc, Some-college, Divorced, Craft-repair, Husband, Other, Male,0,0,58, Germany, >50K
35, Private, Bachelors, Married-civ-spouse, Craft-repair, Not-in-family, Other, Male,0,0,50, Columbia, <=50K
25, Self-emp-not-inc, Bachelors, Married-civ-spouse, Craft-repair, Own-child, White, Male,0,0,40, Outlying-US(Guam-USVI-etc), <=50K
73, Federal-gov, HS-grad, Married-civ-spouse, Exec-managerial, Husband, White, Female,0,0,40, France, <=50K
55, Private, 9th, Married-civ-spouse, Prof-specialty, Husband, Black, Female,0,0,38, Haiti, <=50K
26, Private, HS-grad, Never-married, Other-service, Husband, Asian-Pac-Islander, Male,0,0,40, Puerto-Rico, >50K
44, Private, Some-college, Married-civ-spouse, Machine-op-inspct, Wife, Black, Male,0,0,38, Poland, <=50K
36, Private, Bachelors, Divorced, Farming-fishing, Other-relative, Asian-Pac-Islander, Male,7687,0,40, Columbia, <=50K
37, Private, HS-grad, Married-civ-spouse, Exec-managerial, Unmarried, White, Male,3354,0,40, Cambodia, <=50K
60, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, Other, Female,7687,0,50, Jamaica, >50K
48, Private, Masters, Divorced, Transport-moving, Husband, White, Male,0,1977,45, Taiwan, >50K
41, Self-emp-inc, Bachelors, Married-civ-spouse, Prof-specialty, Husband, Asian-Pac-Islander, Female,0,1902,40, Puerto-Rico, >50K
19, Local-gov, Some-college, Never-married, Craft-repair, Own-child, Black, Male,0,0,20, Philippines, <=50K
64, Private, Prof-school, Widowed, Sales, Not-in-family, White, Male,0,0,50, Vietnam, <=50K
56, Private, HS-grad, Divorced, Craft-repair, Not-in-family, Asian-Pac-Islander, Female,0,0,40, Cambodia, <=50K
36, Private, Some-college, Married-civ-spouse, Sales, Husband, Black, Male,7015,0,50, Thailand, >50K
43, Private, Some-college, Divorced, Transport-moving, Unmarried, Asian-Pac-Islander, Female,0,0,37, Poland, <=50K
39, Private, Assoc-voc, Divorced, Craft-repair, Husband, Asian-Pac-Islander, Female,0,0,35, Scotland, <=50K
36, Private, HS-grad, Married-civ-spouse, Handlers-cleaners, Unmarried, Other, Male,0,0,50, Vietnam, <=50K
28, Private, Bachelors, Divorced, Machine-op-inspct, Own-child, Other, Female,0,0,40, Trinadad&Tobago, <=50K
45, Private, Bachelors, Never-married, Craft-repair, Not-in-family, Asian-Pac-Islander, Female,0,0,70, France, <=50K
39, Private, Some-college, Never-married, Adm-clerical, Husband, White, Male,0,0,40, Nicaragua, <=50K
24, Private, Some-college, Married-civ-spouse, Exec-managerial, Not-in-family, Other, Male,0,0,50, Poland, <=50K
55, Private, Some-college, Married-civ-spouse, Craft-repair, Husband, Amer-Indian-Eskimo, Male,0,0,37, India, >50K
43, State-gov, HS-grad, Divorced, Prof-specialty, Not-in-family, Other, Female,0,0,37, Cambodia, <=50K
26, Self-emp-not-inc, Some-college, Never-married, Exec-managerial, Husband, Asian-Pac-Islander, Male,0,0,40, Poland, <=50K
37, Private, HS-grad, Married-civ-spouse, Transport-moving, Husband, White, Female,0,0,40, Japan, >50K
23, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, Asian-Pac-Islander, Female,0,0,40, United-States, >50K
33, Private, Masters, Never-married, Exec-managerial, Husband, Other, Female,7687,0,50, Cambodia, >50K
53, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, Other, Male,7687,0,20, Taiwan, <=50K
