44, Self-emp-not-inc, HS-grad, Married-civ-spouse, Craft-repair, Own-child, Amer-Indian-Eskimo, Male,0,0,72, United-States, >50K
46, Federal-gov, Some-college, Never-married, Adm-clerical, Own-child, White, Male,0,0,20, United-States, <=50K
51, Self-emp-inc, Assoc-voc, Married-civ-spouse, Craft-repair, Husband, White, Male,7298,0,60, United-States, >50K
39, Private, HS-grad, Divorced, Prof-specialty, Not-in-family, White, Female,0,0,40, United-States, <=50K
19, Private, Assoc-acdm, Never-married, Prof-specialty, Not-in-family, White, Female,0,0,20, United-States, <=50K
51, Self-emp-not-inc, Prof-school, Married-civ-spouse, Exec-managerial, Husband, White, Male,15024,0,40, United-States, >50K
22, Private, Some-college, Never-married, Exec-managerial, Own-child, White, Male,0,0,25, United-States, <=50K
24, Private, 11th, Married-civ-spouse, Handlers-cleaners, Own-child, White, Male,0,0,25, Philippines, <=50K
24, Private, HS-grad, Never-married, Adm-clerical, Unmarried, Black, Male,2647,0,45, United-States, <=50K
41, Private, HS-grad, Married-civ-spouse, Exec-managerial, Unmarried, White, Male,0,0,35, United-States, <=50K
43, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,60, United-States, <=50K
55, Self-emp-not-inc, HS-grad, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,40, South, <=50K
31, Private, HS-grad, Never-married, Sales, Husband, Asian-Pac-Islander, Male,0,0,40, United-States, <=50K
25, Private, Assoc-voc, Never-married, Craft-repair, Not-in-family, White, Male,0,0,83, United-States, >50K
47, Local-gov, 9th, Divorced, Transport-moving, Not-in-family, White, Female,0,0,40, Ireland, <=50K
27, Private, Some-college, Never-married, Craft-repair, Own-child, White, Male,0,0,40, United-States, <=50K
38, Private, HS-grad, Divorced, Exec-managerial, Not-in-family, Other, Female,0,0,50, United-States, <=50K
45, Private, HS-grad, Divorced, Adm-clerical, Wife, Black, Female,0,0,16, United-States, <=50K
21, Private, Bachelors, Divorced, Handlers-cleaners, Own-child, White, Male,0,0,45, United-States, <=50K
30, Private, Assoc-voc, Never-married, Prof-specialty, Not-in-family, White, Female,0,0,40, United-States, <=50K
27, Private, HS-grad, Married-civ-spouse, Tech-support, Husband, White, Male,0,0,40, Nicaragua, <=50K
34, Private, HS-grad, Married-civ-spouse, Exec-managerial, Not-in-family, Black, Male,0,0,65, Laos, >50K
56, Private, Some-college, Married-civ-spouse, Exec-managerial, Unmarried, White, Male,38628,0,55, United-States, >50K
65, Private, HS-grad, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,15, United-States, <=50K
30, Local-gov, Bachelors, Married-civ-spouse, Sales, Own-child, White, Male,0,0,40, United-States, <=50K
37, State-gov, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,3325,0,45, United-States, >50K
51, Private, HS-grad, Married-civ-spouse, Prof-specialty, Husband, Asian-Pac-Islander, Male,2896,0,40, United-States, <=50K
28, Private, HS-grad, Married-civ-spouse, Protective-serv, Own-child, Black, Male,0,0,40, India, <=50K
32, Private, HS-grad, Never-married, Machine-op-inspct, Unmarried, White, Male,0,0,40, United-States, <=50K
29, Private, HS-grad, Divorced, Machine-op-inspct, Unmarried, White, Female,0,0,25, United-States, <=50K
47, Private, HS-grad, Never-married, Exec-managerial, Unmarried, White, Female,0,0,60, United-States, <=50K
23, Self-emp-not-inc, HS-grad, Never-married, Exec-managerial, Not-in-family, White, Male,0,0,40, United-States, <=50K
17, Private, 11th, Never-married, Other-service, Not-in-family, White, Female,0,0,20, United-States, <=50K
41, Private, Bachelors, Married-civ-spouse, Sales, Own-child, White, Female,0,0,50, United-States, >50K
47, Local-gov, Assoc-acdm, Divorced, Prof-specialty, Not-in-family, White, Male,0,0,60, United-States, <=50K
36, Federal-gov, 9th, Divorced, Sales, Own-child, White, Female,0,0,50, United-States, <=50K
41, Self-emp-not-inc, HS-grad, Married-civ-spouse, Handlers-cleaners, Wife, White, Male,0,0,40, United-States, >50K
22, Private, Some-college, Never-married, Sales, Not-in-family, Black, Male,0,0,35, United-States, <=50K
20, Private, Some-college, Never-married, Handlers-cleaners, Own-child, Amer-Indian-Eskimo, Male,0,0,35, United-States, <=50K
27, Self-emp-not-inc, Some-college, Never-married, Transport-moving, Not-in-family, White, Female,0,0,40, United-States, <=50K
21, Private, Some-college, Never-married, Sales, Own-child, White, Female,0,0,9, United-States, <=50K
47, State-gov, Masters, Married-civ-spouse, Craft-repair, Husband, White, Male,3325,0,40, United-States, >50K
22, Self-emp-not-inc, HS-grad, Never-married, Craft-repair, Own-child, White, Male,0,0,48, United-States, <=50K
24, Private, HS-grad, Never-married, Adm-clerical, Own-child, White, Male,0,0,40, United-States, <=50K
37, State-gov, Masters, Never-married, Prof-specialty, Husband, White, Male,0,0,40, United-States, <=50K
20, Private, Bachelors, Divorced, Machine-op-inspct, Not-in-family, White, Male,0,0,40, United-States, <=50K
18, Private, Some-college, Never-married, Sales, Not-in-family, White, Male,0,0,25, United-States, <=50K
40, Private, Some-college, Divorced, Exec-managerial, Not-in-family, White, Female,0,0,40, United-States, <=50K
25, Private, Masters, Never-married, Other-service, Own-child, White, Male,712,0,40, United-States, <=50K
29, Private, Some-college, Separated, Exec-managerial, Unmarried, White, Female,0,0,30, United-States, <=50K
38, Private, Bachelors, Never-married, Sales, Husband, White, Male,0,0,40, United-States, <=50K
18, Private, Some-college, Never-married, Priv-house-serv, Own-child, White, Female,0,0,40, United-States, <=50K
43, Private, Some-college, Never-married, Tech-support, Unmarried, White, Male,0,0,50, United-States, <=50K
47, Private, Assoc-voc, Married-spouse-absent, Handlers-cleaners, Husband, Black, Male,0,0,40, United-States, <=50K
31, Private, HS-grad, Never-married, Prof-specialty, Unmarried, Black, Female,0,0,40, Guatemala, <=50K
62, Self-emp-not-inc, HS-grad, Divorced, Farming-fishing, Not-in-family, White, Male,0,0,40, United-States, <=50K
19, Private, HS-grad, Never-married, Craft-repair, Not-in-family, White, Male,0,0,40, United-States, <=50K
29, State-gov, HS-grad, Never-married, Sales, Not-in-family, Black, Male,0,0,30, United-States, <=50K
27, Private, Some-college, Never-married, Craft-repair, Not-in-family, White, Female,0,0,50, United-States, <=50K
33, Local-gov, 12th, Never-married, Other-service, Wife, White, Female,0,0,25, United-States, <=50K
17, Private, 11th, Never-married, Other-service, Own-child, Asian-Pac-Islander, Female,0,0,25, United-States, <=50K
28, State-gov, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, United-States, <=50K
24, Private, 10th, Never-married, Prof-specialty, Own-child, Black, Male,0,0,40, United-States, <=50K
59, Local-gov, HS-grad, Married-civ-spouse, Transport-moving, Husband, White, Male,5178,0,40, United-States, >50K
34, Private, HS-grad, Married-spouse-absent, Other-service, Wife, White, Female,0,0,40, United-States, <=50K
19, Self-emp-not-inc, Some-college, Never-married, Other-service, Not-in-family, Asian-Pac-Islander, Male,0,0,20, United-States, <=50K
32, Private, HS-grad, Never-married, Transport-moving, Not-in-family, White, Male,0,0,40, United-States, <=50K
43, Private, HS-grad, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, Outlying-US(Guam-USVI-etc), >50K
27, Private, Bachelors, Divorced, Handlers-cleaners, Own-child, White, Female,0,0,40, United-States, <=50K
44, Private, Some-college, Married-civ-spouse, Prof-specialty, Not-in-family, White, Female,0,0,40, United-States, <=50K
22, Private, Bachelors, Divorced, Adm-clerical, Own-child, White, Male,0,0,20, United-States, >50K
45, Local-gov, 11th, Divorced, Farming-fishing, Not-in-family, White, Female,0,0,83, United-States, <=50K
23, Local-gov, Assoc-acdm, Never-married, Adm-clerical, Not-in-family, Asian-Pac-Islander, Male,0,0,35, United-States, <=50K
50, Private, Some-college, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,50, United-States, <=50K
38, Private, Assoc-voc, Never-married, Prof-specialty, Not-in-family, White, Male,0,0,40, United-States, <=50K
58, State-gov, HS-grad, Never-married, Adm-clerical, Not-in-family, White, Female,0,0,17, United-States, <=50K
42, Self-emp-not-inc, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, <=50K
34, Private, Some-college, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, United-States, >50K
24, Private, HS-grad, Never-married, Sales, Not-in-family, White, Female,0,0,40, United-States, <=50K
26, Private, HS-grad, Never-married, Sales, Own-child, White, Male,0,0,40, United-States, <=50K
18, Private, Bachelors, Never-married, Other-service, Own-child, White, Male,0,0,25, United-States, <=50K
33, Self-emp-not-inc, HS-grad, Married-civ-spouse, Craft-repair, Not-in-family, Asian-Pac-Islander, Male,0,0,40, United-States, <=50K
29, Private, HS-grad, Married-civ-spouse, Sales, Husband, White, Male,0,0,40, United-States, <=50K
35, Self-emp-not-inc, HS-grad, Never-married, Exec-managerial, Husband, Amer-Indian-Eskimo, Male,0,0,40, United-States, <=50K
34, Self-emp-not-inc, Some-college, Married-civ-spouse, Sales, Husband, Black, Male,0,0,45, United-States, >50K
22, Private, Bachelors, Never-married, Other-service, Not-in-family, White, Male,0,0,20, United-States, <=50K
27, Private, Some-college, Never-married, Sales, Own-child, Other, Female,0,0,39, United-States, <=50K
62, Private, Assoc-acdm, Married-civ-spouse, Exec-managerial, Husband, White, Male,7373,0,40, United-States, >50K
46, Private, Prof-school, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,35, United-States, <=50K
34, Private, Assoc-voc, Never-married, Handlers-cleaners, Own-child, White, Male,0,0,40, United-States, >50K
39, Self-emp-inc, HS-grad, Divorced, Adm-clerical, Not-in-family, Black, Female,0,0,53, United-States, <=50K
49, State-gov, HS-grad, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,40, United-States, >50K
44, Private, Assoc-acdm, Married-civ-spouse, Transport-moving, Not-in-family, White, Male,0,0,70, United-States, >50K
37, Private, HS-grad, Never-married, Adm-clerical, Not-in-family, White, Male,0,0,40, United-States, <=50K
47, Private, HS-grad, Married-civ-spouse, Exec-managerial, Husband, Black, Male,5178,0,45, United-States, >50K
55, Private, HS-grad, Divorced, Adm-clerical, Not-in-family, White, Female,0,0,45, United-States, <=50K
32, Private, HS-grad, Never-married, Sales, Unmarried, White, Male,0,0,40, United-States, <=50K
42, Private, HS-grad, Widowed, Transport-moving, Wife, White, Male,0,0,40, United-States, <=50K
34, Private, 10th, Divorced, Machine-op-inspct, Other-relative, White, Male,0,0,40, United-States, <=50K
29, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,1998,40, United-States, <=50K
30, Private, HS-grad, Married-civ-spouse, Other-service, Husband, White, Male,0,0,40, United-States, >50K
51, Self-emp-not-inc, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, <=50K
45, Self-emp-not-inc, Some-college, Never-married, Craft-repair, Not-in-family, White, Male,0,0,40, United-States, <=50K
37, Private, Some-college, Never-married, Sales, Husband, White, Male,0,0,40, United-States, <=50K
27, Local-gov, Assoc-acdm, Never-married, Exec-managerial, Wife, Other, Male,0,1884,40, United-States, <=50K
27, Private, Bachelors, Married-civ-spouse, Sales, Husband, White, Male,0,0,40, United-States, <=50K
25, Private, Some-college, Never-married, Adm-clerical, Own-child, White, Female,0,0,40, United-States, >50K
31, Private, Some-college, Never-married, Transport-moving, Not-in-family, White, Female,0,0,40, United-States, <=50K
36, Private, Some-college, Never-married, Adm-clerical, Not-in-family, Amer-Indian-Eskimo, Female,0,0,40, United-States, <=50K
48, Private, Some-college, Married-civ-spouse, Sales, Husband, Black, Male,0,0,40, United-States, >50K
56, Self-emp-not-inc, Bachelors, Married-civ-spouse, Farming-fishing, Husband, White, Male,0,0,60, United-States, <=50K
40, Private, Some-college, Married-civ-spouse, Other-service, Not-in-family, Black, Male,0,0,40, United-States, >50K
43, Federal-gov, HS-grad, Divorced, Sales, Not-in-family, White, Male,0,0,45, United-States, <=50K
52, Private, 5th-6th, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, <=50K
31, Private, Some-college, Never-married, Sales, Not-in-family, White, Male,0,1608,40, United-States, >50K
21, Private, HS-grad, Never-married, Transport-moving, Unmarried, White, Male,0,0,40, United-States, <=50K
21, State-gov, Bachelors, Never-married, Transport-moving, Not-in-family, White, Male,0,0,30, United-States, <=50K
23, Private, HS-grad, Never-married, Adm-clerical, Not-in-family, Black, Female,0,0,40, Germany, <=50K
55, Self-emp-inc, HS-grad, Divorced, Exec-managerial, Husband, White, Male,99999,0,60, United-States, >50K
35, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,65, United-States, >50K
66, Private, Some-college, Married-civ-spouse, Sales, Husband, White, Male,4298,0,20, United-States, <=50K
28, Private, HS-grad, Never-married, Sales, Own-child, White, Male,0,0,40, Mexico, <=50K
40, Private, Some-college, Never-married, Other-service, Wife, White, Female,0,0,32, United-States, >50K
36, Private, Some-college, Married-civ-spouse, Machine-op-inspct, Own-child, White, Male,0,0,40, United-States, >50K
32, Private, Bachelors, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,50, United-States, >50K
28, Private, HS-grad, Never-married, Exec-managerial, Not-in-family, Black, Female,0,0,45, United-States, <=50K
34, Private, HS-grad, Never-married, Exec-managerial, Not-in-family, White, Male,0,0,44, United-States, <=50K
25, Self-emp-not-inc, Assoc-acdm, Never-married, Craft-repair, Not-in-family, White, Male,0,0,40, United-States, <=50K
42, Private, Bachelors, Never-married, Farming-fishing, Unmarried, White, Male,0,0,40, United-States, <=50K
51, Private, HS-grad, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, Yugoslavia, <=50K
43, Private, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, United-States, >50K
39, Self-emp-not-inc, Some-college, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,40, Canada, <=50K
24, Private, HS-grad, Never-married, Sales, Husband, White, Male,0,0,40, United-States, <=50K
19, Private, Bachelors, Never-married, Handlers-cleaners, Not-in-family, White, Male,0,0,40, United-States, <=50K
64, Local-gov, Some-college, Married-civ-spouse, Sales, Husband, White, Male,7298,0,40, United-States, >50K
34, Private, Some-college, Never-married, Sales, Wife, Black, Male,0,0,20, United-States, <=50K
21, Private, Bachelors, Never-married, Adm-clerical, Own-child, White, Male,0,0,40, Germany, <=50K
53, Private, Bachelors, Divorced, Adm-clerical, Not-in-family, White, Female,0,0,35, United-States, <=50K
41, Private, Some-college, Married-civ-spouse, Exec-managerial, Wife, Black, Female,0,0,25, United-States, >50K
23, Self-emp-not-inc, HS-grad, Never-married, Handlers-cleaners, Own-child, White, Male,0,0,30, United-States, <=50K
27, Private, 1st-4th, Never-married, Craft-repair, Own-child, White, Female,0,0,40, United-States, <=50K
35, State-gov, Some-college, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,40, United-States, >50K
25, Private, Some-college, Never-married, Sales, Own-child, White, Male,0,0,40, United-States, <=50K
56, Federal-gov, Masters, Widowed, Other-service, Wife, White, Male,0,0,35, Canada, <=50K
33, Private, Some-college, Divorced, Adm-clerical, Unmarried, White, Female,0,0,50, United-States, <=50K
22, State-gov, 11th, Never-married, Adm-clerical, Own-child, White, Female,0,0,18, United-States, <=50K
39, Private, HS-grad, Divorced, Prof-specialty, Not-in-family, White, Female,0,0,54, United-States, >50K
28, Private, Assoc-voc, Divorced, Prof-specialty, Wife, White, Female,4563,0,50, United-States, <=50K
36, Private, Doctorate, Married-civ-spouse, Exec-managerial, Not-in-family, White, Male,0,0,40, United-States, <=50K
55, Private, HS-grad, Married-civ-spouse, Exec-managerial, Husband, Asian-Pac-Islander, Male,0,0,40, United-States, >50K
40, Private, Some-college, Never-married, Adm-clerical, Not-in-family, White, Male,0,0,40, United-States, <=50K
45, Self-emp-not-inc, HS-grad, Married-spouse-absent, Transport-moving, Not-in-family, White, Female,0,0,40, United-States, <=50K
39, Private, 11th, Married-civ-spouse, Other-service, Husband, White, Male,0,0,25, United-States, <=50K
23, Private, Some-college, Never-married, Sales, Own-child, White, Female,0,0,20, Italy, <=50K
26, Private, Bachelors, Divorced, Adm-clerical, Unmarried, White, Female,0,0,40, United-States, <=50K
32, Private, Assoc-voc, Never-married, Exec-managerial, Own-child, White, Male,0,0,60, United-States, <=50K
23, Private, Assoc-voc, Never-married, Exec-managerial, Own-child, Black, Female,0,0,40, United-States, <=50K
19, Self-emp-not-inc, HS-grad, Never-married, Protective-serv, Own-child, White, Male,0,0,50, United-States, <=50K
18, Private, Some-college, Never-married, Other-service, Own-child, White, Male,0,0,20, United-States, <=50K
55, Private, Assoc-voc, Married-civ-spouse, Exec-managerial, Husband, Black, Female,0,0,40, United-States, <=50K
23, State-gov, HS-grad, Never-married, Machine-op-inspct, Husband, White, Male,0,0,40, United-States, <=50K
38, Private, Bachelors, Separated, Sales, Own-child, Black, Male,0,0,60, United-States, >50K
27, Private, Assoc-acdm, Never-married, Farming-fishing, Not-in-family, White, Female,0,0,60, Poland, <=50K
28, Private, HS-grad, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,45, United-States, <=50K
21, Private, 11th, Never-married, Sales, Own-child, White, Male,0,0,25, United-States, <=50K
30, Private, Some-college, Divorced, Prof-specialty, Not-in-family, White, Female,0,0,40, United-States, <=50K
27, Self-emp-not-inc, Some-college, Divorced, Craft-repair, Not-in-family, White, Male,0,0,36, United-States, <=50K
27, Self-emp-not-inc, Bachelors, Married-civ-spouse, Exec-managerial, Unmarried, White, Female,0,0,49, United-States, >50K
48, Self-emp-not-inc, HS-grad, Married-civ-spouse, Farming-fishing, Husband, White, Male,0,0,50, United-States, >50K
57, Private, Assoc-acdm, Married-civ-spouse, Other-service, Husband, White, Female,0,0,40, United-States, >50K
62, Self-emp-not-inc, Masters, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,54, United-States, <=50K
33, Private, Bachelors, Never-married, Exec-managerial, Wife, Black, Male,0,0,45, United-States, <=50K
61, Private, 7th-8th, Divorced, Craft-repair, Unmarried, Black, Male,0,0,40, United-States, <=50K
49, Self-emp-not-inc, Masters, Married-civ-spouse, Exec-managerial, Husband, White, Female,0,0,50, United-States, >50K
38, Private, Bachelors, Divorced, Exec-managerial, Not-in-family, White, Male,0,0,65, United-States, <=50K
20, Private, Bachelors, Never-married, Adm-clerical, Own-child, White, Female,0,0,25, Honduras, <=50K
44, Private, 10th, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,50, United-States, >50K
49, Private, HS-grad, Divorced, Sales, Not-in-family, White, Female,0,0,40, United-States, <=50K
60, Local-gov, HS-grad, Married-civ-spouse, Other-service, Husband, White, Male,0,0,40, South, <=50K
41, Private, Some-college, Never-married, Tech-support, Not-in-family, White, Female,0,0,54, United-States, <=50K
30, Private, HS-grad, Divorced, Exec-managerial, Not-in-family, White, Female,0,0,65, United-States, <=50K
31, Private, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, United-States, >50K
31, Private, HS-grad, Never-married, Other-service, Unmarried, White, Female,0,0,20, United-States, >50K
31, Private, HS-grad, Divorced, Tech-support, Unmarried, Black, Female,0,0,40, United-States, <=50K
44, Private, HS-grad, Married-civ-spouse, Other-service, Husband, White, Male,0,0,70, United-States, <=50K
25, Private, HS-grad, Never-married, Sales, Unmarried, White, Female,0,0,40, United-States, <=50K
64, Self-emp-not-inc, HS-grad, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, United-States, >50K
42, Private, 9th, Never-married, Adm-clerical, Not-in-family, White, Female,0,0,54, United-States, <=50K
34, Private, Some-college, Divorced, Adm-clerical, Not-in-family, White, Female,0,0,25, China, <=50K
25, Private, HS-grad, Married-civ-spouse, Adm-clerical, Wife, White, Male,0,0,40, United-States, <=50K
46, Private, HS-grad, Divorced, Exec-managerial, Not-in-family, Black, Female,0,0,45, United-States, <=50K
42, Self-emp-not-inc, HS-grad, Never-married, Farming-fishing, Not-in-family, White, Male,0,0,44, United-States, <=50K
48, Federal-gov, Assoc-voc, Married-civ-spouse, Prof-specialty, Husband, White, Male,15024,0,40, United-States, >50K
41, Private, Some-college, Never-married, Tech-support, Own-child, White, Male,0,0,54, United-States, <=50K
31, Private, Some-college, Divorced, Other-service, Not-in-family, White, Female,0,0,50, United-States, <=50K
41, Private, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,60, United-States, >50K
30, Private, HS-grad, Never-married, Priv-house-serv, Unmarried, Black, Female,0,0,40, United-States, <=50K
51, Private, Some-college, Divorced, Handlers-cleaners, Not-in-family, White, Female,0,0,40, United-States, <=50K
