45, Self-emp-inc, HS-grad, Married-civ-spouse, Exec-managerial, Wife, Amer-Indian-Eskimo, Male,0,0,71, Hong, >50K
28, Private, Some-college, Married-civ-spouse, Sales, Wife, White, Female,0,0,40, United-States, >50K
31, State-gov, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, Honduras, <=50K
30, Self-emp-inc, 11th, Never-married, Tech-support, Not-in-family, White, Female,0,0,52, United-States, <=50K
31, Private, HS-grad, Divorced, Exec-managerial, Not-in-family, Black, Female,0,0,30, United-States, <=50K
47, Private, Masters, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,42, United-States, >50K
59, Self-emp-not-inc, Some-college, Divorced, Exec-managerial, Not-in-family, White, Female,0,0,40, United-States, <=50K
26, Private, 11th, Never-married, Exec-managerial, Own-child, White, Female,0,0,30, Hungary, <=50K
44, Private, HS-grad, Divorced, Sales, Unmarried, Black, Female,0,0,37, Dominican-Republic, <=50K
31, Private, HS-grad, Married-civ-spouse, Farming-fishing, Husband, White, Male,0,0,35, Yugoslavia, >50K
50, Self-emp-not-inc, HS-grad, Married-civ-spouse, Prof-specialty, Husband, Asian-Pac-Islander, Male,0,0,42, United-States, >50K
34, Private, HS-grad, Married-civ-spouse, Prof-specialty, Husband, Amer-Indian-Eskimo, Male,0,0,40, United-States, >50K
43, Private, HS-grad, Divorced, Prof-specialty, Unmarried, White, Female,0,0,40, United-States, <=50K
21, Private, Masters, Never-married, Transport-moving, Not-in-family, White, Male,0,0,40, United-States, <=50K
31, Private, Bachelors, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, <=50K
46, Federal-gov, Some-college, Married-civ-spouse, Craft-repair, Not-in-family, White, Male,0,0,20, United-States, <=50K
51, Private, Assoc-voc, Married-civ-spouse, Craft-repair, Husband, White, Male,5031,0,60, United-States, >50K
40, Private, HS-grad, Divorced, Prof-specialty, Not-in-family, White, Female,0,0,40, Taiwan, <=50K
19, Private, Bachelors, Never-married, Sales, Own-child, White, Female,0,0,20, Philippines, <=50K
51, Self-emp-not-inc, Prof-school, Married-civ-spouse, Exec-managerial, Husband, Other, Male,15024,0,40, United-States, >50K
22, Private, Some-college, Never-married, Craft-repair, Unmarried, White, Male,0,0,25, United-States, <=50K
24, Private, 11th, Never-married, Handlers-cleaners, Own-child, Black, Female,0,0,25, England, <=50K
24, Private, HS-grad, Never-married, Adm-clerical, Unmarried, Black, Male,429,0,45, United-States, <=50K
42, Private, HS-grad, Married-civ-spouse, Craft-repair, Wife, White, Male,0,0,35, Italy, <=50K
43, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,60, United-States, <=50K
55, Self-emp-not-inc, HS-grad, Married-civ-spouse, Transport-moving, Husband, Black, Male,0,0,40, Honduras, <=50K
31, Private, HS-grad, Married-civ-spouse, Sales, Husband, Amer-Indian-Eskimo, Male,0,0,40, Puerto-Rico, <=50K
25, Private, Assoc-acdm, Never-married, Craft-repair, Own-child, White, Male,0,0,80, United-States, >50K
47, Local-gov, Assoc-acdm, Divorced, Tech-support, Not-in-family, Black, Female,0,0,40, Dominican-Republic, <=50K
27, Self-emp-not-inc, Some-college, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, Italy, <=50K
38, Private, Bachelors, Divorced, Exec-managerial, Not-in-family, Black, Female,0,0,50, United-States, >50K
46, Local-gov, HS-grad, Divorced, Adm-clerical, Unmarried, Black, Female,0,0,16, United-States, >50K
21, Private, Bachelors, Married-civ-spouse, Handlers-cleaners, Own-child, Black, Male,0,0,43, United-States, <=50K
30, Private, Assoc-voc, Never-married, Prof-specialty, Not-in-family, White, Male,0,0,40, United-States, <=50K
27, Private, HS-grad, Married-civ-spouse, Tech-support, Husband, White, Male,0,0,40, Guatemala, <=50K
34, Private, HS-grad, Married-civ-spouse, Exec-managerial, Husband, Asian-Pac-Islander, Male,0,0,65, England, <=50K
55, Private, Some-college, Married-civ-spouse, Exec-managerial, Unmarried, White, Male,39783,0,54, United-States, >50K
65, Self-emp-not-inc, HS-grad, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,15, United-States, <=50K
30, Local-gov, Bachelors, Divorced, Sales, Unmarried, White, Male,0,0,40, United-States, >50K
37, State-gov, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,2934,0,45, United-States, >50K
52, Private, HS-grad, Married-civ-spouse, Prof-specialty, Husband, Amer-Indian-Eskimo, Male,2876,0,40, United-States, <=50K
28, Self-emp-not-inc, HS-grad, Married-civ-spouse, Machine-op-inspct, Husband, Black, Male,0,0,40, El-Salvador, <=50K
32, Private, HS-grad, Never-married, Machine-op-inspct, Own-child, White, Male,0,0,40, Jamaica, <=50K
29, Private, HS-grad, Divorced, Machine-op-inspct, Unmarried, White, Female,0,0,24, United-States, <=50K
47, Private, HS-grad, Never-married, Exec-managerial, Unmarried, White, Female,0,0,56, United-States, <=50K
23, Private, HS-grad, Never-married, Exec-managerial, Not-in-family, White, Male,0,0,40, United-States, <=50K
17, Private, 11th, Never-married, Prof-specialty, Own-child, White, Female,0,0,20, United-States, <=50K
41, Private, Bachelors, Married-civ-spouse, Sales, Wife, White, Female,0,0,50, Poland, >50K
47, Local-gov, Assoc-voc, Divorced, Farming-fishing, Not-in-family, White, Male,0,0,60, France, <=50K
37, Federal-gov, Assoc-acdm, Divorced, Sales, Unmarried, White, Female,0,0,50, United-States, <=50K
41, Self-emp-not-inc, HS-grad, Married-civ-spouse, Machine-op-inspct, Wife, White, Male,0,0,40, United-States, >50K
22, Private, Some-college, Never-married, Sales, Not-in-family, Black, Male,0,0,30, United-States, <=50K
20, Private, Some-college, Never-married, Handlers-cleaners, Own-child, Amer-Indian-Eskimo, Male,0,0,35, United-States, <=50K
27, Private, Some-college, Never-married, Transport-moving, Not-in-family, White, Female,0,0,40, United-States, <=50K
21, Private, Some-college, Never-married, Sales, Own-child, White, Female,0,0,8, Jamaica, <=50K
47, State-gov, Masters, Married-civ-spouse, Craft-repair, Husband, White, Male,3325,0,40, United-States, >50K
22, Self-emp-not-inc, HS-grad, Never-married, Craft-repair, Not-in-family, White, Male,0,0,48, United-States, <=50K
24, Private, Masters, Never-married, Adm-clerical, Own-child, White, Male,0,0,40, United-States, <=50K
38, State-gov, HS-grad, Never-married, Prof-specialty, Husband, White, Male,0,0,40, United-States, <=50K
20, Private, Bachelors, Married-civ-spouse, Machine-op-inspct, Not-in-family, White, Male,0,0,40, Mexico, <=50K
18, Private, HS-grad, Never-married, Sales, Not-in-family, White, Male,0,0,25, United-States, <=50K
40, Private, Some-college, Married-civ-spouse, Machine-op-inspct, Own-child, White, Female,0,0,40, United-States, <=50K
25, Private, Some-college, Never-married, Other-service, Own-child, White, Male,0,0,40, United-States, <=50K
29, Private, Some-college, Separated, Machine-op-inspct, Unmarried, White, Female,0,0,30, United-States, <=50K
39, Private, Bachelors, Separated, Sales, Husband, White, Male,0,0,40, United-States, <=50K
18, Private, Some-college, Never-married, Protective-serv, Own-child, White, Female,0,0,40, United-States, <=50K
43, Private, Some-college, Never-married, Sales, Unmarried, Black, Male,0,0,50, United-States, <=50K
47, Private, Bachelors, Married-spouse-absent, Craft-repair, Husband, Asian-Pac-Islander, Male,0,0,40, United-States, <=50K
31, Private, Some-college, Never-married, Protective-serv, Unmarried, Asian-Pac-Islander, Female,0,0,40, Dominican-Republic, <=50K
63, Self-emp-not-inc, HS-grad, Divorced, Machine-op-inspct, Not-in-family, White, Male,0,0,38, United-States, <=50K
19, Private, HS-grad, Never-married, Craft-repair, Not-in-family, White, Male,0,0,40, United-States, <=50K
29, State-gov, HS-grad, Never-married, Sales, Own-child, Amer-Indian-Eskimo, Female,0,0,30, United-States, <=50K
27, Private, Some-college, Never-married, Adm-clerical, Not-in-family, White, Female,0,0,50, United-States, <=50K
33, Private, 11th, Never-married, Other-service, Wife, White, Female,0,0,25, United-States, <=50K
17, Private, 11th, Never-married, Other-service, Own-child, Amer-Indian-Eskimo, Male,0,0,24, Peru, <=50K
28, State-gov, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, United-States, >50K
24, Private, 10th, Never-married, Other-service, Own-child, Asian-Pac-Islander, Male,0,0,40, Mexico, <=50K
59, Local-gov, HS-grad, Married-civ-spouse, Transport-moving, Husband, White, Female,4386,0,40, United-States, >50K
34, Private, HS-grad, Never-married, Other-service, Wife, White, Female,0,0,40, United-States, <=50K
19, Private, Some-college, Never-married, Other-service, Own-child, Amer-Indian-Eskimo, Female,0,0,20, United-States, <=50K
32, Private, HS-grad, Never-married, Tech-support, Not-in-family, White, Male,0,0,40, United-States, <=50K
43, Private, HS-grad, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, Haiti, >50K
27, Private, Bachelors, Divorced, Machine-op-inspct, Unmarried, White, Female,0,0,40, United-States, <=50K
44, Private, Some-college, Married-civ-spouse, Protective-serv, Not-in-family, Other, Female,0,0,40, United-States, >50K
22, Private, HS-grad, Married-civ-spouse, Exec-managerial, Own-child, White, Male,0,0,18, United-States, >50K
46, Local-gov, 5th-6th, Married-civ-spouse, Farming-fishing, Not-in-family, White, Male,0,0,80, United-States, <=50K
23, Local-gov, Assoc-acdm, Never-married, Adm-clerical, Not-in-family, Amer-Indian-Eskimo, Male,0,0,35, United-States, <=50K
51, Private, Some-college, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,50, United-States, >50K
39, Private, Bachelors, Never-married, Prof-specialty, Not-in-family, Black, Male,0,0,40, Germany, <=50K
58, State-gov, HS-grad, Divorced, Craft-repair, Not-in-family, White, Female,0,0,16, United-States, <=50K
42, Self-emp-not-inc, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, <=50K
35, Private, Some-college, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, United-States, >50K
24, Private, HS-grad, Never-married, Sales, Not-in-family, White, Female,0,0,40, Jamaica, <=50K
26, Private, HS-grad, Never-married, Sales, Own-child, Other, Male,0,0,40, Trinadad&Tobago, <=50K
18, Private, Bachelors, Never-married, Prof-specialty, Own-child, White, Male,0,0,25, United-States, <=50K
33, Self-emp-not-inc, HS-grad, Married-civ-spouse, Craft-repair, Husband, Amer-Indian-Eskimo, Male,0,0,40, United-States, <=50K
30, Self-emp-not-inc, HS-grad, Married-civ-spouse, Farming-fishing, Husband, White, Male,0,0,40, United-States, <=50K
36, Self-emp-not-inc, HS-grad, Never-married, Farming-fishing, Husband, Amer-Indian-Eskimo, Female,0,0,40, United-States, <=50K
34, Self-emp-not-inc, Some-college, Married-civ-spouse, Sales, Husband, Asian-Pac-Islander, Male,0,0,45, United-States, >50K
22, Private, Bachelors, Never-married, Other-service, Own-child, White, Male,0,0,20, United-States, <=50K
27, Private, Masters, Divorced, Protective-serv, Not-in-family, White, Female,0,0,38, United-States, <=50K
62, Private, Assoc-acdm, Married-civ-spouse, Exec-managerial, Husband, White, Male,7298,0,40, Haiti, >50K
47, Private, Masters, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,35, United-States, >50K
35, Private, Assoc-voc, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,0,0,40, United-States, >50K
40, Private, HS-grad, Never-married, Craft-repair, Not-in-family, Asian-Pac-Islander, Female,0,0,52, United-States, <=50K
50, State-gov, HS-grad, Married-civ-spouse, Farming-fishing, Husband, White, Male,0,0,40, United-States, >50K
44, Private, Assoc-acdm, Married-civ-spouse, Transport-moving, Own-child, White, Male,0,0,70, United-States, <=50K
37, Private, HS-grad, Never-married, Craft-repair, Not-in-family, White, Male,0,0,40, United-States, <=50K
47, Private, HS-grad, Married-civ-spouse, Exec-managerial, Husband, Asian-Pac-Islander, Male,4118,0,45, United-States, >50K
56, Private, HS-grad, Divorced, Adm-clerical, Not-in-family, White, Female,0,0,45, Iran, <=50K
33, Private, HS-grad, Never-married, Sales, Own-child, White, Male,0,0,38, United-States, <=50K
42, Private, HS-grad, Separated, Transport-moving, Unmarried, White, Male,0,0,38, United-States, <=50K
35, Local-gov, 11th, Divorced, Handlers-cleaners, Not-in-family, White, Male,0,0,40, United-States, <=50K
30, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,1989,40, United-States, <=50K
31, Private, Bachelors, Married-civ-spouse, Other-service, Husband, White, Male,0,0,40, United-States, >50K
51, Self-emp-not-inc, HS-grad, Married-civ-spouse, Craft-repair, Husband, Other, Male,0,0,40, United-States, <=50K
46, Self-emp-not-inc, Some-college, Never-married, Craft-repair, Not-in-family, White, Male,0,0,40, Taiwan, <=50K
38, Private, Masters, Married-spouse-absent, Sales, Husband, White, Male,0,0,40, Laos, <=50K
27, Local-gov, Assoc-acdm, Never-married, Exec-managerial, Wife, Other, Male,0,1902,40, United-States, >50K
27, Private, Bachelors, Married-civ-spouse, Sales, Husband, White, Male,0,0,40, United-States, <=50K
25, Private, Masters, Never-married, Adm-clerical, Own-child, White, Female,0,0,40, United-States, >50K
31, Private, Some-college, Never-married, Transport-moving, Not-in-family, White, Female,0,0,40, United-States, <=50K
36, Private, Some-college, Never-married, Adm-clerical, Not-in-family, Amer-Indian-Eskimo, Male,0,0,40, United-States, <=50K
49, Private, Some-college, Married-civ-spouse, Sales, Husband, Asian-Pac-Islander, Male,0,0,40, United-States, >50K
57, Self-emp-not-inc, Doctorate, Married-civ-spouse, Farming-fishing, Husband, White, Male,0,0,60, Italy, <=50K
41, Private, Some-college, Married-civ-spouse, Other-service, Husband, Amer-Indian-Eskimo, Male,0,0,40, United-States, >50K
44, Federal-gov, HS-grad, Married-civ-spouse, Sales, Not-in-family, White, Male,0,0,45, United-States, <=50K
53, Private, 5th-6th, Married-civ-spouse, Craft-repair, Husband, Black, Male,0,0,40, United-States, <=50K
31, Private, Some-college, Never-married, Sales, Not-in-family, Other, Male,0,1619,40, United-States, <=50K
21, Private, HS-grad, Never-married, Transport-moving, Unmarried, White, Male,0,0,40, United-States, <=50K
21, State-gov, HS-grad, Never-married, Transport-moving, Not-in-family, White, Male,0,0,30, Vietnam, <=50K
23, Private, HS-grad, Never-married, Adm-clerical, Own-child, Black, Female,0,0,40, Columbia, <=50K
54, Private, HS-grad, Divorced, Exec-managerial, Husband, Black, Male,99999,0,60, United-States, >50K
36, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,65, United-States, >50K
67, Private, Some-college, Married-civ-spouse, Sales, Husband, White, Male,3103,0,20, Trinadad&Tobago, <=50K
28, Private, Some-college, Never-married, Sales, Own-child, White, Female,0,0,40, France, <=50K
40, Private, Some-college, Never-married, Other-service, Wife, Other, Female,0,0,30, Puerto-Rico, <=50K
36, Private, Some-college, Married-civ-spouse, Prof-specialty, Unmarried, White, Male,0,0,40, United-States, >50K
33, Private, Bachelors, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,50, United-States, >50K
28, Private, Prof-school, Never-married, Adm-clerical, Not-in-family, Black, Female,0,0,45, United-States, <=50K
34, Private, HS-grad, Never-married, Handlers-cleaners, Own-child, White, Male,0,0,40, United-States, <=50K
25, State-gov, Assoc-voc, Never-married, Craft-repair, Not-in-family, White, Male,0,0,40, United-States, <=50K
42, Private, Bachelors, Divorced, Farming-fishing, Unmarried, Black, Male,0,0,40, United-States, <=50K
51, Private, HS-grad, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, Yugoslavia, <=50K
44, Private, Bachelors, Married-civ-spouse, Sales, Husband, White, Male,0,0,40, United-States, >50K
39, Self-emp-not-inc, Some-college, Married-civ-spouse, Sales, Husband, White, Male,0,0,40, Cambodia, <=50K
24, Private, HS-grad, Never-married, Sales, Not-in-family, White, Male,0,0,40, United-States, <=50K
19, Private, Bachelors, Never-married, Handlers-cleaners, Not-in-family, White, Male,0,0,40, United-States, <=50K
63, Local-gov, Some-college, Married-civ-spouse, Sales, Husband, White, Male,5178,0,40, United-States, >50K
34, Local-gov, Some-college, Never-married, Sales, Wife, Black, Male,0,0,20, United-States, <=50K
21, Private, Bachelors, Never-married, Craft-repair, Own-child, White, Male,0,0,40, Columbia, <=50K
54, Private, HS-grad, Divorced, Adm-clerical, Not-in-family, Other, Female,0,0,35, United-States, <=50K
41, Private, Some-college, Married-civ-spouse, Exec-managerial, Wife, Black, Female,0,0,25, United-States, >50K
23, Private, HS-grad, Never-married, Farming-fishing, Own-child, White, Male,0,0,30, United-States, <=50K
27, Private, 11th, Never-married, Handlers-cleaners, Own-child, White, Female,0,0,40, Honduras, <=50K
35, State-gov, Masters, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, United-States, >50K
25, Private, Some-college, Married-civ-spouse, Sales, Own-child, Other, Male,0,0,40, United-States, <=50K
56, Federal-gov, Prof-school, Separated, Other-service, Wife, Other, Male,0,0,35, Cambodia, <=50K
34, Private, HS-grad, Divorced, Adm-clerical, Not-in-family, White, Female,0,0,50, United-States, <=50K
22, State-gov, 11th, Never-married, Adm-clerical, Own-child, White, Female,0,0,16, United-States, <=50K
39, Private, HS-grad, Divorced, Prof-specialty, Not-in-family, White, Female,0,0,54, United-States, >50K
29, Private, Assoc-voc, Never-married, Prof-specialty, Unmarried, White, Male,3918,0,50, United-States, <=50K
36, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, <=50K
55, Local-gov, HS-grad, Married-civ-spouse, Exec-managerial, Husband, Amer-Indian-Eskimo, Male,0,0,40, United-States, >50K
40, Private, Prof-school, Never-married, Craft-repair, Not-in-family, White, Male,0,0,40, United-States, <=50K
45, Private, HS-grad, Divorced, Tech-support, Not-in-family, White, Male,0,0,40, United-States, <=50K
39, Private, 11th, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,23, United-States, <=50K
23, Private, Some-college, Never-married, Sales, Own-child, White, Female,0,0,20, Dominican-Republic, <=50K
26, Private, Bachelors, Married-spouse-absent, Adm-clerical, Unmarried, White, Female,0,0,40, Scotland, <=50K
33, Private, Assoc-voc, Never-married, Exec-managerial, Not-in-family, White, Male,0,0,60, United-States, <=50K
23, Private, Bachelors, Never-married, Exec-managerial, Own-child, Black, Female,0,0,40, United-States, <=50K
19, Private, Some-college, Never-married, Sales, Own-child, White, Male,0,0,50, United-States, <=50K
18, Private, Some-college, Never-married, Sales, Own-child, White, Male,0,0,20, United-States, <=50K
55, Private, Assoc-acdm, Married-civ-spouse, Exec-managerial, Husband, Asian-Pac-Islander, Female,0,0,40, United-States, <=50K
24, State-gov, HS-grad, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,40, South, <=50K
38, Self-emp-inc, Bachelors, Widowed, Prof-specialty, Unmarried, Black, Female,0,0,60, United-States, >50K
27, Local-gov, Assoc-acdm, Divorced, Exec-managerial, Not-in-family, White, Male,0,0,60, Haiti, <=50K
28, Private, HS-grad, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,45, United-States, <=50K
21, Private, 11th, Never-married, Sales, Own-child, Other, Male,0,0,25, Puerto-Rico, <=50K
30, Local-gov, Some-college, Divorced, Prof-specialty, Not-in-family, White, Female,0,0,40, United-States, <=50K
28, Private, Some-college, Never-married, Craft-repair, Not-in-family, White, Male,0,0,35, United-States, <=50K
28, Self-emp-not-inc, Bachelors, Married-civ-spouse, Farming-fishing, Wife, White, Male,0,0,48, United-States, >50K
49, Self-emp-not-inc, HS-grad, Married-civ-spouse, Farming-fishing, Husband, White, Male,0,0,50, United-States, >50K
57, Private, Assoc-voc, Married-civ-spouse, Prof-specialty, Husband, White, Female,0,0,40, United-States, >50K
62, Self-emp-not-inc, Masters, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,52, United-States, <=50K
33, Private, Bachelors, Married-spouse-absent, Exec-managerial, Wife, Asian-Pac-Islander, Male,0,0,45, United-States, <=50K
61, Private, 7th-8th, Married-civ-spouse, Exec-managerial, Unmarried, Black, Male,0,0,40, United-States, <=50K
49, Self-emp-inc, Prof-school, Married-civ-spouse, Exec-managerial, Husband, Other, Female,0,0,50, United-States, >50K
38, Private, Bachelors, Divorced, Exec-managerial, Not-in-family, White, Male,0,0,65, United-States, <=50K
20, Private, HS-grad, Never-married, Adm-clerical, Own-child, White, Male,0,0,23, Dominican-Republic, <=50K
44, Private, 10th, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,0,0,50, United-States, >50K
49, Private, HS-grad, Divorced, Sales, Not-in-family, White, Male,0,0,40, United-States, <=50K
61, Local-gov, HS-grad, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,40, Germany, <=50K
41, Private, Masters, Divorced, Sales, Not-in-family, Other, Female,0,0,54, United-States, <=50K
30, Self-emp-not-inc, HS-grad, Divorced, Craft-repair, Not-in-family, White, Female,0,0,65, United-States, <=50K
32, Private, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, United-States, >50K
31, Private, HS-grad, Never-married, Other-service, Unmarried, White, Female,0,0,20, United-States, >50K
32, Private, HS-grad, Divorced, Sales, Unmarried, Other, Female,0,0,40, Philippines, <=50K
45, Private, HS-grad, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,0,0,70, United-States, <=50K
26, Private, Bachelors, Divorced, Sales, Unmarried, White, Female,0,0,40, United-States, <=50K
64, Private, Doctorate, Married-civ-spouse, Prof-specialty, Husband, White, Female,0,0,40, United-States, >50K
42, Private, Assoc-acdm, Never-married, Adm-clerical, Not-in-family, Black, Female,0,0,54, Jamaica, <=50K
34, Private, Some-college, Divorced, Adm-clerical, Not-in-family, White, Female,0,0,25, Canada, <=50K
25, Private, HS-grad, Married-civ-spouse, Craft-repair, Wife, White, Male,0,0,40, United-States, <=50K
47, Private, HS-grad, Divorced, Exec-managerial, Not-in-family, Black, Female,0,0,45, Thailand, <=50K
43, Self-emp-not-inc, HS-grad, Never-married, Exec-managerial, Not-in-family, White, Male,0,0,43, United-States, <=50K
47, Federal-gov, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Male,15024,0,40, United-States, >50K
