59, Self-emp-not-inc, HS-grad, Divorced, Adm-clerical, Wife, Amer-Indian-Eskimo, Male,0,0,38, United-States, <=50K
32, Private, Bachelors, Divorced, Prof-specialty, Unmarried, White, Male,0,0,38, United-States, <=50K
67, Private, 9th, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,36, United-States, <=50K
35, Private, HS-grad, Separated, Craft-repair, Husband, White, Male,0,0,35, England, <=50K
39, Private, HS-grad, Never-married, Exec-managerial, Not-in-family, White, Male,0,0,60, India, <=50K
52, State-gov, Some-college, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, United-States, <=50K
17, Private, 12th, Never-married, Other-service, Own-child, White, Male,0,0,20, United-States, <=50K
46, Local-gov, Some-college, Married-civ-spouse, Tech-support, Husband, Black, Male,7298,0,40, United-States, >50K
35, Self-emp-not-inc, Some-college, Never-married, Sales, Not-in-family, White, Male,0,0,92, United-States, <=50K
51, Private, Some-college, Married-civ-spouse, Exec-managerial, Husband, White, Male,15024,0,40, United-States, >50K
55, Private, Bachelors, Married-civ-spouse, Sales, Husband, White, Male,0,0,50, United-States, <=50K
40, State-gov, HS-grad, Never-married, Protective-serv, Not-in-family, White, Male,0,0,60, United-States, <=50K
34, Private, Doctorate, Married-civ-spouse, Exec-managerial, Other-relative, White, Male,0,1832,45, United-States, <=50K
22, Private, Masters, Never-married, Sales, Own-child, White, Female,0,0,50, United-States, <=50K
30, Local-gov, Assoc-voc, Married-civ-spouse, Adm-clerical, Husband, White, Male,0,0,40, United-States, >50K
39, Private, Bachelors, Never-married, Prof-specialty, Unmarried, White, Female,0,0,40, United-States, <=50K
19, Private, Some-college, Never-married, Sales, Own-child, Black, Male,0,0,40, United-States, <=50K
60, Private, 7th-8th, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, United-States, <=50K
57, Private, Assoc-acdm, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,40, United-States, >50K
66, Private, 5th-6th, Married-civ-spouse, Prof-specialty, Not-in-family, White, Male,0,0,99, United-States, <=50K
40, Federal-gov, Bachelors, Married-civ-spouse, Other-service, Husband, White, Male,0,0,40, United-States, >50K
26, Local-gov, HS-grad, Never-married, Other-service, Not-in-family, Black, Male,0,0,30, United-States, <=50K
35, Private, Assoc-voc, Widowed, Other-service, Unmarried, White, Male,0,0,50, United-States, <=50K
42, Self-emp-not-inc, HS-grad, Divorced, Sales, Own-child, White, Female,0,0,25, United-States, <=50K
49, Self-emp-not-inc, Masters, Divorced, Adm-clerical, Own-child, White, Female,0,0,16, Vietnam, <=50K
79, Private, 7th-8th, Married-civ-spouse, Exec-managerial, Husband, White, Male,3364,0,25, Trinadad&Tobago, >50K
76, Self-emp-inc, HS-grad, Widowed, Craft-repair, Not-in-family, White, Female,0,0,10, United-States, <=50K
34, Private, Assoc-voc, Never-married, Other-service, Unmarried, White, Female,0,0,40, United-States, <=50K
18, Private, Some-college, Never-married, Sales, Own-child, White, Female,0,0,40, United-States, <=50K
29, State-gov, HS-grad, Never-married, Craft-repair, Not-in-family, White, Male,0,0,60, United-States, <=50K
43, Private, 11th, Never-married, Tech-support, Unmarried, White, Female,0,0,40, United-States, <=50K
23, Private, HS-grad, Divorced, Craft-repair, Not-in-family, White, Female,0,0,40, United-States, <=50K
31, Private, Masters, Married-civ-spouse, Transport-moving, Not-in-family, White, Male,0,0,40, United-States, <=50K
55, Self-emp-not-inc, Some-college, Never-married, Exec-managerial, Unmarried, White, Female,0,0,16, United-States, <=50K
44, Private, 7th-8th, Married-civ-spouse, Craft-repair, Husband, White, Female,15024,0,45, United-States, >50K
36, Private, HS-grad, Married-civ-spouse, Sales, Husband, White, Male,0,0,40, India, >50K
38, Private, HS-grad, Divorced, Craft-repair, Own-child, White, Female,0,0,8, Yugoslavia, <=50K
46, Self-emp-inc, HS-grad, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,45, United-States, >50K
26, Private, HS-grad, Married-civ-spouse, Other-service, Husband, Asian-Pac-Islander, Male,0,0,40, United-States, <=50K
19, Private, Some-college, Never-married, Other-service, Own-child, White, Male,0,0,15, United-States, <=50K
37, Private, HS-grad, Divorced, Transport-moving, Not-in-family, White, Female,0,0,40, United-States, <=50K
26, Private, Assoc-voc, Never-married, Exec-managerial, Not-in-family, White, Female,0,0,40, United-States, <=50K
20, Federal-gov, Some-college, Never-married, Adm-clerical, Unmarried, White, Male,0,0,16, United-States, <=50K
46, Private, 7th-8th, Separated, Adm-clerical, Not-in-family, White, Female,0,0,40, United-States, <=50K
37, Private, HS-grad, Married-civ-spouse, Sales, Husband, White, Male,0,0,40, United-States, <=50K
60, Private, Bachelors, Married-civ-spouse, Sales, Husband, White, Male,0,0,30, United-States, <=50K
37, Self-emp-not-inc, Some-college, Married-civ-spouse, Craft-repair, Unmarried, White, Male,7298,0,40, United-States, >50K
31, Private, HS-grad, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, United-States, >50K
22, Private, 11th, Never-married, Farming-fishing, Own-child, White, Female,0,0,12, United-States, <=50K
42, Private, HS-grad, Divorced, Adm-clerical, Unmarried, Black, Female,0,0,40, United-States, <=50K
54, Private, Bachelors, Married-civ-spouse, Exec-managerial, Wife, White, Male,0,0,40,, <=50K
37, Private, HS-grad, Divorced, Farming-fishing, Not-in-family, White, Female,0,0,40, United-States, <=50K
23, Private, Some-college, Never-married, Other-service, Wife, White, Female,0,0,15, United-States, <=50K
26, Federal-gov, HS-grad, Never-married, Sales, Unmarried, White, Female,0,0,40, Portugal, <=50K
48, Private, HS-grad, Divorced, Prof-specialty, Husband, White, Male,0,0,30, United-States, <=50K
41, State-gov, Assoc-acdm, Married-civ-spouse, Handlers-cleaners, Not-in-family, White, Male,0,0,50, United-States, <=50K
31, Private, Some-college, Separated, Sales, Not-in-family, White, Female,0,0,35, United-States, <=50K
51, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, United-States, <=50K
32, Private, Bachelors, Never-married, Craft-repair, Not-in-family, White, Female,0,0,40, United-States, <=50K
24, Private, Some-college, Never-married, Adm-clerical, Own-child, White, Female,0,0,35, United-States, <=50K
33, Local-gov, Masters, Married-civ-spouse, Sales, Husband, White, Male,0,0,40, United-States, >50K
56, Private, Assoc-voc, Married-civ-spouse, Craft-repair, Unmarried, White, Male,0,0,40, United-States, <=50K
24, Private, Assoc-voc, Never-married, Machine-op-inspct, Not-in-family, White, Female,0,0,54, United-States, <=50K
26, Private, HS-grad, Never-married, Other-service, Other-relative, White, Female,0,0,35, United-States, <=50K
59, Private, HS-grad, Widowed, Craft-repair, Not-in-family, White, Female,0,0,30, United-States, <=50K
54, Private, 7th-8th, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,45, United-States, <=50K
65, Self-emp-not-inc, Some-college, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, <=50K
36, Private, HS-grad, Never-married, Machine-op-inspct, Unmarried, White, Female,0,0,40, United-States, <=50K
70, Self-emp-inc, HS-grad, Widowed, Exec-managerial, Unmarried, White, Female,1324,0,12, United-States, <=50K
30, Private, Some-college, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,0,0,40, United-States, <=50K
34, Self-emp-inc, Bachelors, Never-married, Exec-managerial, Not-in-family, White, Female,0,0,80, India, <=50K
24, Private, HS-grad, Married-civ-spouse, Sales, Husband, White, Male,0,0,60, United-States, >50K
32, Private, Some-college, Married-civ-spouse, Sales, Husband, Black, Male,0,0,40, United-States, >50K
31, Private, HS-grad, Never-married, Other-service, Unmarried, Amer-Indian-Eskimo, Female,0,0,40, United-States, <=50K
45, Self-emp-not-inc, Masters, Divorced, Sales, Unmarried, White, Male,0,0,60, Mexico, <=50K
36, Self-emp-not-inc, 5th-6th, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,35, United-States, <=50K
51, Self-emp-not-inc, 11th, Divorced, Adm-clerical, Unmarried, White, Female,0,0,40, United-States, <=50K
29, Private, Some-college, Never-married, Handlers-cleaners, Not-in-family, White, Male,0,0,40, United-States, <=50K
39, Self-emp-not-inc, Bachelors, Married-civ-spouse, Sales, Not-in-family, White, Male,0,0,45, United-States, >50K
25, Local-gov, Some-college, Married-civ-spouse, Craft-repair, Husband, White, Female,0,0,40, United-States, >50K
44, Self-emp-not-inc, Some-college, Never-married, Prof-specialty, Unmarried, White, Male,0,0,70, United-States, >50K
27, Private, Masters, Never-married, Sales, Unmarried, White, Male,0,0,40, United-States, <=50K
25, Private, Some-college, Never-married, Handlers-cleaners, Not-in-family, White, Male,0,0,40, United-States, <=50K
49, Private, Some-college, Married-civ-spouse, Tech-support, Husband, White, Male,0,0,40, United-States, <=50K
19, Self-emp-inc, Some-college, Never-married, Sales, Other-relative, White, Male,0,0,30, Yugoslavia, <=50K
32, Local-gov, Some-college, Never-married, Transport-moving, Unmarried, Black, Male,0,0,40, United-States, <=50K
19, Private, 11th, Never-married, Adm-clerical, Own-child, White, Female,0,0,15, United-States, <=50K
39, Private, Bachelors, Married-civ-spouse, Tech-support, Unmarried, Other, Male,0,0,35, United-States, <=50K
26, Federal-gov, HS-grad, Never-married, Adm-clerical, Husband, White, Male,7134,0,44, United-States, >50K
33, Private, Some-college, Never-married, Machine-op-inspct, Not-in-family, White, Male,0,0,45, United-States, <=50K
44, Private, HS-grad, Never-married, Transport-moving, Not-in-family, White, Female,0,0,40, United-States, <=50K
27, Private, HS-grad, Never-married, Tech-support, Unmarried, Amer-Indian-Eskimo, Female,0,0,40, United-States, <=50K
22, Private, Some-college, Never-married, Other-service, Own-child, White, Female,0,0,15, United-States, <=50K
61, Private, HS-grad, Married-civ-spouse, Prof-specialty, Unmarried, White, Male,0,1902,40, United-States, >50K
56, Private, Doctorate, Married-civ-spouse, Transport-moving, Husband, White, Male,0,1848,45, United-States, >50K
53, Self-emp-not-inc, Masters, Married-civ-spouse, Sales, Husband, White, Male,0,0,48, United-States, <=50K
34, Private, Some-college, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,50, United-States, >50K
59, Private, HS-grad, Divorced, Adm-clerical, Not-in-family, White, Male,0,0,40, South, <=50K
28, Private, Some-college, Never-married, Protective-serv, Unmarried, White, Female,0,0,30, Philippines, <=50K
45, Private, HS-grad, Never-married, Sales, Not-in-family, White, Female,0,0,40, United-States, <=50K
39, Private, 1st-4th, Divorced, Sales, Not-in-family, White, Male,0,0,50, United-States, >50K
28, Private, Some-college, Never-married, Sales, Not-in-family, White, Female,0,0,40, United-States, <=50K
25, Self-emp-not-inc, Some-college, Married-civ-spouse, Tech-support, Husband, White, Male,0,0,45, United-States, <=50K
25, Private, HS-grad, Divorced, Craft-repair, Own-child, White, Female,0,0,40, United-States, <=50K
43, Private, 7th-8th, Never-married, Adm-clerical, Wife, White, Female,0,0,40, United-States, <=50K
48, State-gov, HS-grad, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, Portugal, <=50K
18, Private, Some-college, Never-married, Sales, Own-child, Black, Female,0,0,40, United-States, <=50K
36, Private, HS-grad, Married-civ-spouse, Exec-managerial, Wife, White, Male,0,0,40, United-States, >50K
35, Private, HS-grad, Never-married, Prof-specialty, Own-child, White, Male,13558,0,40, United-States, >50K
59, Self-emp-not-inc, Assoc-voc, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,50, United-States, <=50K
48, Private, HS-grad, Separated, Craft-repair, Not-in-family, Black, Male,0,0,30, United-States, >50K
40, Private, HS-grad, Married-civ-spouse, Adm-clerical, Husband, White, Male,0,0,60, United-States, <=50K
29, Without-pay, 12th, Divorced, Craft-repair, Not-in-family, White, Male,0,0,40, United-States, <=50K
58, Federal-gov, 1st-4th, Divorced, Exec-managerial, Husband, Other, Female,0,2200,40, United-States, >50K
19, Private, HS-grad, Never-married, Other-service, Own-child, Black, Male,0,0,16, United-States, <=50K
60, Local-gov, Bachelors, Married-civ-spouse, Protective-serv, Husband, White, Male,0,0,40, United-States, <=50K
33, Private, Some-college, Never-married, Other-service, Not-in-family, Black, Male,0,0,45, Philippines, <=50K
35, Private, Some-college, Married-civ-spouse, Adm-clerical, Husband, White, Male,0,0,40, United-States, <=50K
21, Private, HS-grad, Never-married, Adm-clerical, Not-in-family, White, Male,0,0,40, United-States, <=50K
51, Private, Some-college, Married-civ-spouse, Sales, Unmarried, White, Male,0,0,40, United-States, <=50K
39, Private, Assoc-acdm, Married-civ-spouse, Farming-fishing, Husband, White, Male,0,0,50, United-States, >50K
26, Private, Masters, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, <=50K
19, Private, Some-college, Never-married, Handlers-cleaners, Own-child, White, Female,0,0,25, Mexico, <=50K
40, Private, HS-grad, Married-civ-spouse, Exec-managerial, Not-in-family, White, Male,10520,0,50, England, >50K
39, Private, Some-college, Divorced, Transport-moving, Not-in-family, White, Female,0,0,45, El-Salvador, <=50K
36, Federal-gov, Some-college, Never-married, Farming-fishing, Not-in-family, White, Male,0,0,99, United-States, >50K
34, Private, HS-grad, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,1887,40, United-States, >50K
52, Private, Bachelors, Married-civ-spouse, Prof-specialty, Not-in-family, White, Male,0,0,40, United-States, <=50K
66, Self-emp-not-inc, HS-grad, Divorced, Other-service, Not-in-family, Amer-Indian-Eskimo, Male,0,0,35, United-States, <=50K
26, Private, Bachelors, Never-married, Prof-specialty, Not-in-family, Amer-Indian-Eskimo, Male,0,0,40, United-States, <=50K
58, Local-gov, Doctorate, Married-civ-spouse, Tech-support, Husband, White, Male,0,0,40, United-States, <=50K
39, State-gov, Some-college, Divorced, Adm-clerical, Not-in-family, Black, Female,0,0,40, United-States, <=50K
43, Private, Some-college, Divorced, Prof-specialty, Not-in-family, White, Male,0,0,60, United-States, <=50K
49, State-gov, HS-grad, Divorced, Adm-clerical, Wife, White, Female,0,0,35, United-States, <=50K
44, Self-emp-not-inc, HS-grad, Never-married, Sales, Husband, White, Female,0,0,4, United-States, >50K
36, Private, HS-grad, Never-married, Prof-specialty, Husband, White, Female,10520,0,45, United-States, >50K
27, Private, Bachelors, Never-married, Handlers-cleaners, Not-in-family, White, Male,0,0,37, United-States, <=50K
45, Self-emp-not-inc, Masters, Never-married, Tech-support, Unmarried, White, Female,0,0,15, United-States, <=50K
52, Self-emp-not-inc, HS-grad, Married-civ-spouse, Transport-moving, Unmarried, White, Male,0,0,54, United-States, <=50K
23, Private, 7th-8th, Divorced, Craft-repair, Not-in-family, White, Female,2829,0,40, United-States, <=50K
24, Federal-gov, HS-grad, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,60, United-States, >50K
46, Private, Bachelors, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,45, United-States, >50K
29, State-gov, Some-college, Never-married, Sales, Not-in-family, White, Female,0,0,35, United-States, <=50K
29, Private, Some-college, Separated, Sales, Not-in-family, White, Male,0,0,40, United-States, <=50K
58, Private, HS-grad, Married-civ-spouse, Transport-moving, Own-child, White, Male,0,0,40, United-States, <=50K
44, Local-gov, 5th-6th, Divorced, Sales, Husband, White, Male,0,0,40, United-States, <=50K
33, Private, Bachelors, Divorced, Adm-clerical, Unmarried, Black, Female,0,0,40, United-States, <=50K
24, Private, Assoc-acdm, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,45, England, >50K
41, State-gov, HS-grad, Never-married, Sales, Wife, White, Female,4893,0,40, United-States, >50K
20, Private, HS-grad, Never-married, Sales, Not-in-family, White, Female,0,0,20, United-States, <=50K
23, Private, HS-grad, Never-married, Sales, Unmarried, White, Female,0,0,25, United-States, <=50K
23, Private, Some-college, Never-married, Prof-specialty, Not-in-family, White, Male,0,0,40, Mexico, <=50K
25, Private, HS-grad, Never-married, Other-service, Own-child, White, Female,0,0,40, United-States, <=50K
64, Self-emp-not-inc, 11th, Married-civ-spouse, Exec-managerial, Other-relative, White, Male,0,0,5, United-States, >50K
47, Self-emp-inc, Assoc-voc, Divorced, Other-service, Husband, White, Male,0,0,40, United-States, <=50K
56, Private, HS-grad, Widowed, Prof-specialty, Unmarried, White, Female,0,0,40, United-States, <=50K
42, Self-emp-not-inc, HS-grad, Married-civ-spouse, Farming-fishing, Own-child, White, Male,0,0,99, United-States, >50K
38, Local-gov, Some-college, Married-civ-spouse, Craft-repair, Unmarried, White, Male,0,0,40, United-States, >50K
38, Self-emp-not-inc, Some-college, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,54, United-States, <=50K
55, Private, HS-grad, Married-civ-spouse, Adm-clerical, Husband, Black, Male,4317,0,40, United-States, <=50K
31, Self-emp-inc, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,54, United-States, >50K
19, Private, HS-grad, Never-married, Adm-clerical, Own-child, White, Male,0,0,40, United-States, <=50K
25, Private, Some-college, Married-civ-spouse, Exec-managerial, Own-child, White, Male,0,0,40, United-States, <=50K
54, Local-gov, Masters, Widowed, Sales, Husband, White, Male,0,0,50, United-States, <=50K
62, Private, HS-grad, Widowed, Exec-managerial, Not-in-family, White, Male,0,0,45, United-States, >50K
41, Private, HS-grad, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,40, United-States, <=50K
27, Private, HS-grad, Never-married, Tech-support, Own-child, White, Female,0,0,20, United-States, <=50K
48, Private, Bachelors, Married-civ-spouse, Farming-fishing, Husband, White, Male,0,0,40, United-States, >50K
35, Private, Some-college, Married-civ-spouse, Tech-support, Husband, White, Male,0,0,40, United-States, >50K
56, Federal-gov, Bachelors, Divorced, Machine-op-inspct, Husband, White, Female,3174,0,40, United-States, <=50K
38, Self-emp-inc, Bachelors, Divorced, Exec-managerial, Unmarried, White, Male,0,0,44, United-States, >50K
30, Private, HS-grad, Married-civ-spouse, Prof-specialty, Not-in-family, White, Male,0,1887,50, United-States, >50K
47, State-gov, Masters, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,35, United-States, <=50K
33, Private, Some-college, Never-married, Exec-managerial, Unmarried, Asian-Pac-Islander, Male,0,0,40, United-States, <=50K
40, Private, Bachelors, Married-civ-spouse, Other-service, Husband, White, Male,0,0,40, United-States, <=50K
18, Private, 11th, Never-married, Craft-repair, Own-child, White, Male,0,0,16, United-States, <=50K
57, Self-emp-not-inc, 9th, Widowed, Prof-specialty, Unmarried, White, Female,0,0,40, United-States, <=50K
23, Private, HS-grad, Never-married, Craft-repair, Husband, White, Male,0,0,30, United-States, <=50K
42, Self-emp-not-inc, HS-grad, Married-civ-spouse, Other-service, Husband, White, Male,0,0,30, United-States, >50K
23, Private, HS-grad, Never-married, Prof-specialty, Not-in-family, White, Female,0,0,40, United-States, <=50K
64, Self-emp-inc, Prof-school, Married-civ-spouse, Protective-serv, Husband, White, Male,0,2377,65, United-States, >50K
42, Private, Assoc-acdm, Divorced, Sales, Husband, White, Male,0,0,50, United-States, <=50K
52, Self-emp-not-inc, Some-college, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, United-States, >50K
54, Self-emp-not-inc, Bachelors, Married-civ-spouse, Sales, Husband, White, Male,0,0,52, United-States, >50K
21, Private, 11th, Never-married, Sales, Own-child, White, Female,0,0,40, United-States, <=50K
44, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,48, United-States, <=50K
42, State-gov, Some-college, Divorced, Craft-repair, Husband, White, Male,0,0,54, United-States, <=50K
34, Private, Bachelors, Never-married, Adm-clerical, Not-in-family, White, Female,0,0,50, United-States, <=50K
24, Self-emp-not-inc, Bachelors, Married-civ-spouse, Craft-repair, Own-child, White, Male,0,0,40, United-States, <=50K
71, Federal-gov, HS-grad, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, United-States, <=50K
54, Private, 7th-8th, Divorced, Prof-specialty, Not-in-family, White, Female,0,0,35, United-States, <=50K
25, Private, HS-grad, Never-married, Other-service, Not-in-family, White, Male,0,0,40, United-States, <=50K
43, Private, Some-college, Married-civ-spouse, Other-service, Wife, White, Female,0,0,35, United-States, <=50K
34, Private, Bachelors, Divorced, Farming-fishing, Unmarried, White, Female,7298,0,36, United-States, >50K
35, Private, Masters, Married-civ-spouse, Exec-managerial, Unmarried, White, Male,3106,0,40, Cuba, <=50K
60, Self-emp-inc, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,7687,0,50, United-States, >50K
47, Private, Masters, Married-civ-spouse, Transport-moving, Husband, White, Male,0,1902,45, United-States, >50K
40, Private, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,1887,40, United-States, >50K
19, Local-gov, Some-college, Never-married, Farming-fishing, Own-child, White, Male,0,0,20, United-States, <=50K
64, Private, Some-college, Widowed, Sales, Not-in-family, White, Male,0,0,50, United-States, <=50K
55, Private, HS-grad, Divorced, Adm-clerical, Not-in-family, Black, Female,0,0,40, Canada, <=50K
36, Private, Some-college, Married-civ-spouse, Sales, Husband, White, Male,7298,0,50, United-States, >50K
43, Private, Prof-school, Divorced, Transport-moving, Unmarried, White, Female,0,0,35, United-States, <=50K
38, Private, Assoc-acdm, Divorced, Craft-repair, Husband, White, Male,0,0,35, United-States, <=50K
35, Private, Bachelors, Married-civ-spouse, Machine-op-inspct, Own-child, White, Male,0,0,50, United-States, <=50K
27, Private, Bachelors, Divorced, Other-service, Unmarried, White, Female,0,0,37, United-States, <=50K
44, Private, Assoc-voc, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,70, United-States, >50K
37, Private, Some-college, Never-married, Craft-repair, Husband, White, Male,0,0,40, United-States, <=50K
23, Private, Some-college, Never-married, Exec-managerial, Not-in-family, White, Male,0,0,50, United-States, <=50K
54, Self-emp-not-inc, Some-college, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,35, United-States, >50K
42, State-gov, HS-grad, Divorced, Prof-specialty, Unmarried, White, Female,0,0,35, China, <=50K
25, Self-emp-not-inc, Some-college, Never-married, Exec-managerial, Not-in-family, White, Male,0,0,40, United-States, <=50K
36, Private, HS-grad, Divorced, Transport-moving, Husband, White, Female,0,0,40, United-States, <=50K
22, Private, HS-grad, Married-civ-spouse, Craft-repair, Not-in-family, White, Female,0,0,40, United-States, >50K
33, Private, Masters, Married-civ-spouse, Exec-managerial, Husband, White, Male,7687,0,50, Columbia, >50K
50, Private, Bachelors, Married-civ-spouse, Adm-clerical, Husband, White, Female,7687,0,20, United-States, >50K
76, Private, HS-grad, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,20, United-States, <=50K
61, Private, HS-grad, Divorced, Exec-managerial, Husband, White, Male,3217,0,40, United-States, <=50K
32, Private, Some-college, Never-married, Other-service, Unmarried, Asian-Pac-Islander, Male,0,0,25, United-States, <=50K
45, Private, 5th-6th, Married-civ-spouse, Exec-managerial, Not-in-family, White, Male,0,0,40, United-States, <=50K
50, Private, HS-grad, Never-married, Other-service, Unmarried, White, Female,0,0,40, United-States, <=50K
35, Private, HS-grad, Married-civ-spouse, Adm-clerical, Husband, White, Male,3947,0,35, Haiti, <=50K
28, Local-gov, Masters, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,40, United-States, >50K
57, Private, Bachelors, Divorced, Other-service, Unmarried, White, Female,0,0,32, United-States, <=50K
46, State-gov, Bachelors, Married-civ-spouse, Adm-clerical, Not-in-family, White, Male,0,0,40, Guatemala, <=50K
26, Self-emp-not-inc, HS-grad, Never-married, Prof-specialty, Own-child, White, Male,0,0,20, United-States, <=50K
28, Private, HS-grad, Married-civ-spouse, Farming-fishing, Other-relative, White, Male,0,0,40, Taiwan, <=50K
36, Self-emp-inc, Masters, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,50, United-States, <=50K
61, Private, HS-grad, Divorced, Other-service, Not-in-family, White, Female,0,0,32, Trinadad&Tobago, <=50K
36, Private, HS-grad, Never-married, Adm-clerical, Not-in-family, White, Male,0,0,40, Taiwan, <=50K
36, Private, 7th-8th, Divorced, Adm-clerical, Husband, White, Female,0,0,40, United-States, <=50K
60, Private, Some-college, Divorced, Other-service, Not-in-family, Asian-Pac-Islander, Female,0,0,50, United-States, <=50K
35, Local-gov, Some-college, Never-married, Sales, Not-in-family, White, Female,13754,0,40, United-States, >50K
40, Private, 11th, Married-civ-spouse, Prof-specialty, Husband, Black, Male,0,0,40, United-States, >50K
47, Local-gov, HS-grad, Married-civ-spouse, Tech-support, Not-in-family, White, Male,0,0,40, United-States, >50K
55, Self-emp-inc, Masters, Married-civ-spouse, Adm-clerical, Husband, White, Male,0,0,40, United-States, <=50K
53, Private, HS-grad, Married-civ-spouse, Tech-support, Husband, White, Male,0,0,40, United-States, <=50K
50, Self-emp-not-inc, Some-college, Married-civ-spouse, Farming-fishing, Husband, White, Male,0,0,70, United-States, >50K
31, Private, Assoc-voc, Never-married, Farming-fishing, Not-in-family, White, Female,0,0,40, United-States, <=50K
31, Private, HS-grad, Never-married, Machine-op-inspct, Unmarried, White, Male,0,0,42, United-States, <=50K
22, Private, HS-grad, Never-married, Craft-repair, Own-child, White, Female,0,0,37, United-States, <=50K
