51, Self-emp-not-inc, HS-grad, Married-civ-spouse, Exec-managerial, Wife, Amer-Indian-Eskimo, Male,0,0,65, Dominican-Republic, >50K
44, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, Black, Male,7687,0,40, El-Salvador, >50K
44, Private, Bachelors, Married-civ-spouse, Protective-serv, Husband, Black, Male,0,0,50, Dominican-Republic, >50K
42, Private, Assoc-voc, Married-civ-spouse, Exec-managerial, Husband, Black, Female,7687,0,9, Germany, >50K
24, Private, HS-grad, Never-married, Adm-clerical, Not-in-family, Black, Female,0,0,50, Cambodia, <=50K
18, Private, HS-grad, Never-married, Handlers-cleaners, Own-child, Asian-Pac-Islander, Male,0,0,15, Canada, <=50K
57, State-gov, Some-college, Married-civ-spouse, Exec-managerial, Husband, Asian-Pac-Islander, Male,0,0,40, Yugoslavia, <=50K
32, Private, Some-college, Never-married, Exec-managerial, Unmarried, Black, Female,0,0,35, Taiwan, <=50K
51, Private, Some-college, Divorced, Transport-moving, Not-in-family, Amer-Indian-Eskimo, Female,0,0,65, Puerto-Rico, <=50K
42, Private, Some-college, Married-civ-spouse, Sales, Husband, Black, Male,2961,0,40, El-Salvador, <=50K
18, Private, Some-college, Never-married, Handlers-cleaners, Not-in-family, Asian-Pac-Islander, Female,0,0,40, Guatemala, <=50K
24, Private, Bachelors, Never-married, Prof-specialty, Not-in-family, Other, Male,0,0,40, Guatemala, <=50K
37, State-gov, HS-grad, Never-married, Other-service, Not-in-family, Amer-Indian-Eskimo, Male,0,0,40, Ecuador, <=50K
22, Private, HS-grad, Never-married, Handlers-cleaners, Own-child, Asian-Pac-Islander, Female,0,0,48, Dominican-Republic, <=50K
55, Self-emp-not-inc, Masters, Married-civ-spouse, Protective-serv, Husband, White, Male,0,0,54, Nicaragua, >50K
20, Local-gov, Assoc-acdm, Married-civ-spouse, Adm-clerical, Own-child, Black, Male,0,0,35, Japan, <=50K
29, Private, Bachelors, Never-married, Prof-specialty, Own-child, White, Female,0,0,45, Japan, <=50K
41, Private, Some-college, Married-civ-spouse, Sales, Husband, Amer-Indian-Eskimo, Male,5272,0,40, France, >50K
60, Private, 7th-8th, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, Laos, <=50K
19, Private, Assoc-acdm, Never-married, Other-service, Own-child, Black, Male,0,1679,25, Poland, <=50K
54, Federal-gov, 12th, Married-civ-spouse, Prof-specialty, Husband, Asian-Pac-Islander, Male,0,0,40, England, >50K
30, Local-gov, HS-grad, Never-married, Other-service, Not-in-family, Black, Female,0,0,40, Honduras, <=50K
45, Local-gov, HS-grad, Married-civ-spouse, Machine-op-inspct, Husband, Amer-Indian-Eskimo, Male,0,0,50, Mexico, <=50K
29, Self-emp-inc, Assoc-voc, Married-civ-spouse, Machine-op-inspct, Unmarried, Other, Male,0,0,50, Jamaica, <=50K
28, Private, HS-grad, Never-married, Sales, Not-in-family, Asian-Pac-Islander, Male,0,0,45, Holand-Netherlands, <=50K
19, Private, Masters, Never-married, Adm-clerical, Own-child, Black, Female,0,0,40, Yugoslavia, <=50K
25, Private, 9th, Never-married, Handlers-cleaners, Not-in-family, Other, Female,0,0,29, Cuba, <=50K
38, Private, HS-grad, Divorced, Craft-repair, Not-in-family, Black, Female,0,0,35, Ecuador, <=50K
64, Self-emp-not-inc, 7th-8th, Married-civ-spouse, Prof-specialty, Husband, Asian-Pac-Islander, Female,0,0,50, Hungary, <=50K
34, Private, Some-college, Married-civ-spouse, Prof-specialty, Husband, Other, Female,0,0,40, Nicaragua, >50K
28, State-gov, HS-grad, Married-civ-spouse, Craft-repair, Husband, Black, Male,0,0,60, Dominican-Republic, >50K
58, Self-emp-inc, 10th, Separated, Sales, Not-in-family, Other, Female,0,0,40, Italy, <=50K
41, Private, HS-grad, Divorced, Craft-repair, Husband, Amer-Indian-Eskimo, Female,0,0,40, Jamaica, >50K
45, Private, HS-grad, Divorced, Transport-moving, Not-in-family, White, Male,0,0,40, South, <=50K
67, Self-emp-not-inc, Some-college, Married-civ-spouse, Exec-managerial, Not-in-family, Black, Female,0,0,50, Taiwan, <=50K
17, Private, 10th, Never-married, Handlers-cleaners, Own-child, Other, Female,0,0,15, Ecuador, <=50K
60, Private, HS-grad, Divorced, Sales, Not-in-family, Asian-Pac-Islander, Female,0,0,40, Canada, <=50K
28, Private, HS-grad, Divorced, Craft-repair, Husband, Other, Female,0,0,60, Yugoslavia, >50K
44, Private, HS-grad, Never-married, Prof-specialty, Not-in-family, Amer-Indian-Eskimo, Female,0,0,48, South, <=50K
18, Private, Some-college, Never-married, Other-service, Not-in-family, Amer-Indian-Eskimo, Female,0,0,20, Greece, <=50K
45, Private, HS-grad, Divorced, Prof-specialty, Unmarried, White, Male,0,0,40, Philippines, <=50K
44, Self-emp-inc, HS-grad, Married-civ-spouse, Tech-support, Husband, White, Male,15024,0,40, Haiti, >50K
26, Private, Assoc-acdm, Never-married, Exec-managerial, Not-in-family, Asian-Pac-Islander, Female,0,0,48, Portugal, <=50K
61, Federal-gov, Some-college, Separated, Adm-clerical, Unmarried, White, Female,0,0,40, Italy, <=50K
39, Private, 7th-8th, Never-married, Adm-clerical, Not-in-family, White, Female,0,0,40, Hungary, <=50K
46, Private, HS-grad, Divorced, Sales, Not-in-family, Other, Female,0,0,40, France, <=50K
19, Private, Bachelors, Never-married, Prof-specialty, Not-in-family, Other, Female,0,0,25, Germany, <=50K
19, Private, Some-college, Never-married, Handlers-cleaners, Own-child, Asian-Pac-Islander, Female,0,0,20, Ireland, <=50K
27, Private, HS-grad, Never-married, Exec-managerial, Unmarried, Black, Male,0,0,35, Japan, <=50K
36, Private, 12th, Divorced, Craft-repair, Unmarried, Asian-Pac-Islander, Female,0,0,40, Columbia, <=50K
31, Private, HS-grad, Married-civ-spouse, Adm-clerical, Unmarried, Amer-Indian-Eskimo, Male,0,0,40, Jamaica, <=50K
37, Private, HS-grad, Divorced, Craft-repair, Wife, Other, Female,0,0,40, Ecuador, <=50K
32, Private, Bachelors, Married-civ-spouse, Craft-repair, Husband, Asian-Pac-Islander, Male,0,0,40, South, <=50K
44, Self-emp-not-inc, HS-grad, Married-civ-spouse, Tech-support, Husband, Asian-Pac-Islander, Male,15024,0,35, Cuba, <=50K
33, Private, Bachelors, Married-civ-spouse, Sales, Husband, Amer-Indian-Eskimo, Female,0,0,50, Germany, >50K
30, Private, Assoc-acdm, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, South, >50K
46, Local-gov, 9th, Divorced, Transport-moving, Unmarried, Asian-Pac-Islander, Female,0,0,40, Canada, <=50K
29, Private, Some-college, Never-married, Exec-managerial, Unmarried, Asian-Pac-Islander, Female,0,0,35, Dominican-Republic, <=50K
43, Private, HS-grad, Divorced, Craft-repair, Husband, Amer-Indian-Eskimo, Female,0,0,40, Holand-Netherlands, <=50K
29, Private, HS-grad, Married-civ-spouse, Craft-repair, Own-child, Asian-Pac-Islander, Male,0,0,45, Iran, >50K
41, Private, Bachelors, Divorced, Other-service, Not-in-family, Asian-Pac-Islander, Female,0,0,15, Trinadad&Tobago, <=50K
36, Private, Assoc-acdm, Never-married, Protective-serv, Not-in-family, White, Male,0,0,50, Thailand, <=50K
35, Private, HS-grad, Married-civ-spouse, Tech-support, Husband, Other, Male,0,0,40, Columbia, <=50K
49, Private, Bachelors, Married-civ-spouse, Exec-managerial, Not-in-family, Amer-Indian-Eskimo, Male,0,0,70, China, >50K
51, Private, Some-college, Married-civ-spouse, Exec-managerial, Unmarried, Other, Male,0,0,60, Hong, >50K
47, Private, Masters, Married-civ-spouse, Exec-managerial, Husband, Asian-Pac-Islander, Male,15024,0,54, Taiwan, >50K
51, Local-gov, HS-grad, Divorced, Sales, Unmarried, Asian-Pac-Islander, Female,0,0,40, Guatemala, <=50K
43, State-gov, HS-grad, Divorced, Craft-repair, Not-in-family, Other, Male,0,0,45, Guatemala, <=50K
28, Private, HS-grad, Never-married, Prof-specialty, Not-in-family, Amer-Indian-Eskimo, Female,0,0,50, Thailand, <=50K
33, Private, HS-grad, Married-civ-spouse, Protective-serv, Wife, Amer-Indian-Eskimo, Female,0,0,20, China, <=50K
46, Self-emp-inc, HS-grad, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,1485,40, El-Salvador, >50K
47, Private, HS-grad, Married-civ-spouse, Exec-managerial, Husband, Other, Female,0,0,40, South, >50K
69, Private, HS-grad, Widowed, Craft-repair, Not-in-family, White, Male,2751,0,40, South, <=50K
56, Self-emp-not-inc, HS-grad, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, Taiwan, <=50K
23, Private, HS-grad, Never-married, Other-service, Husband, Other, Female,0,0,44, Puerto-Rico, <=50K
30, Private, HS-grad, Married-civ-spouse, Transport-moving, Husband, White, Female,4879,0,50, Germany, >50K
63, Local-gov, 7th-8th, Divorced, Other-service, Not-in-family, Black, Male,0,0,40, China, >50K
49, Federal-gov, 5th-6th, Divorced, Protective-serv, Own-child, Black, Female,0,0,37, Italy, <=50K
26, Private, HS-grad, Never-married, Machine-op-inspct, Wife, Other, Male,0,0,40, Taiwan, <=50K
19, Private, Some-college, Never-married, Sales, Own-child, Amer-Indian-Eskimo, Female,0,0,20, Poland, <=50K
41, Private, HS-grad, Divorced, Craft-repair, Unmarried, Amer-Indian-Eskimo, Male,2973,0,40, India, <=50K
38, Self-emp-not-inc, Some-college, Never-married, Transport-moving, Not-in-family, White, Female,0,0,40, Thailand, <=50K
25, Private, HS-grad, Married-civ-spouse, Sales, Husband, Black, Male,0,0,48, France, <=50K
41, State-gov, Some-college, Divorced, Craft-repair, Not-in-family, Asian-Pac-Islander, Male,0,0,38, Haiti, <=50K
57, Self-emp-not-inc, HS-grad, Widowed, Adm-clerical, Wife, White, Female,0,0,40, Taiwan, <=50K
42, State-gov, HS-grad, Separated, Craft-repair, Own-child, White, Male,0,0,29, Taiwan, <=50K
41, State-gov, Some-college, Never-married, Prof-specialty, Not-in-family, White, Female,0,0,50, Guatemala, <=50K
44, Private, Bachelors, Divorced, Exec-managerial, Husband, Asian-Pac-Islander, Male,15024,0,54, El-Salvador, >50K
48, Private, HS-grad, Married-civ-spouse, Protective-serv, Husband, Other, Male,15024,0,40, Germany, <=50K
60, Private, Prof-school, Married-civ-spouse, Exec-managerial, Husband, Other, Male,0,1977,50, Portugal, >50K
25, Private, HS-grad, Never-married, Other-service, Not-in-family, Other, Male,0,0,50, Taiwan, <=50K
21, Private, Some-college, Never-married, Machine-op-inspct, Own-child, Other, Male,0,0,15, Nicaragua, <=50K
49, Private, HS-grad, Married-civ-spouse, Sales, Husband, Asian-Pac-Islander, Male,0,0,40, Poland, <=50K
38, Self-emp-not-inc, HS-grad, Never-married, Other-service, Unmarried, Black, Female,0,0,40, Puerto-Rico, <=50K
81, Private, HS-grad, Married-civ-spouse, Tech-support, Husband, Amer-Indian-Eskimo, Male,0,0,25, Peru, <=50K
18, Private, 11th, Never-married, Other-service, Own-child, Amer-Indian-Eskimo, Female,0,0,15, Taiwan, <=50K
45, Self-emp-inc, HS-grad, Married-civ-spouse, Sales, Husband, Amer-Indian-Eskimo, Male,0,0,40, China, >50K
31, Self-emp-not-inc, HS-grad, Never-married, Handlers-cleaners, Not-in-family, Black, Male,0,0,60, Poland, <=50K
29, Private, Bachelors, Married-civ-spouse, Craft-repair, Husband, White, Female,0,0,50, Nicaragua, <=50K
32, State-gov, HS-grad, Never-married, Prof-specialty, Not-in-family, Amer-Indian-Eskimo, Female,0,0,40, Hungary, <=50K
24, Private, Masters, Never-married, Craft-repair, Not-in-family, Asian-Pac-Islander, Female,0,0,40, Jamaica, <=50K
36, Local-gov, 9th, Never-married, Machine-op-inspct, Wife, White, Male,0,0,40, Taiwan, <=50K
20, Private, Some-college, Never-married, Handlers-cleaners, Own-child, Amer-Indian-Eskimo, Male,0,0,20, England, <=50K
58, State-gov, HS-grad, Widowed, Craft-repair, Not-in-family, White, Male,2537,0,40, Haiti, <=50K
33, Private, 10th, Divorced, Other-service, Not-in-family, Amer-Indian-Eskimo, Female,0,0,40, Germany, <=50K
87, Local-gov, HS-grad, Married-civ-spouse, Tech-support, Husband, Asian-Pac-Islander, Female,0,0,10, Nicaragua, >50K
43, Private, HS-grad, Married-civ-spouse, Machine-op-inspct, Wife, Black, Female,0,0,40, Italy, <=50K
40, Self-emp-not-inc, HS-grad, Married-civ-spouse, Exec-managerial, Husband, Amer-Indian-Eskimo, Male,0,0,48, Hungary, >50K
45, Private, HS-grad, Divorced, Transport-moving, Not-in-family, Other, Male,3657,0,40, Outlying-US(Guam-USVI-etc), <=50K
60, Private, HS-grad, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,50, Columbia, >50K
18, Private, Assoc-acdm, Never-married, Other-service, Own-child, White, Female,0,0,10, Haiti, <=50K
46, Private, Some-college, Divorced, Prof-specialty, Not-in-family, Asian-Pac-Islander, Female,0,0,40, United-States, <=50K
51, Private, Bachelors, Divorced, Adm-clerical, Not-in-family, Other, Male,0,0,40, Ireland, >50K
30, Local-gov, 11th, Never-married, Exec-managerial, Not-in-family, White, Female,0,0,40, Honduras, <=50K
43, Local-gov, Assoc-acdm, Divorced, Adm-clerical, Not-in-family, Amer-Indian-Eskimo, Male,0,0,38, Jamaica, <=50K
68, Private, Some-college, Never-married, Machine-op-inspct, Not-in-family, White, Female,0,0,25, Outlying-US(Guam-USVI-etc), <=50K
62, Private, 7th-8th, Married-civ-spouse, Prof-specialty, Husband, Asian-Pac-Islander, Male,0,0,45, Columbia, <=50K
28, State-gov, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Female,0,0,40, Jamaica, >50K
38, Private, Bachelors, Divorced, Craft-repair, Other-relative, Other, Female,0,0,40, Haiti, <=50K
48, Private, Some-college, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,48, Haiti, >50K
25, Private, HS-grad, Married-civ-spouse, Sales, Husband, Asian-Pac-Islander, Female,0,0,40, Dominican-Republic, <=50K
45, Private, Masters, Married-civ-spouse, Sales, Husband, Asian-Pac-Islander, Female,0,0,54, Honduras, <=50K
51, Private, Doctorate, Married-civ-spouse, Machine-op-inspct, Husband, Asian-Pac-Islander, Male,0,0,40, Italy, <=50K
52, Self-emp-not-inc, Bachelors, Married-civ-spouse, Exec-managerial, Husband, Amer-Indian-Eskimo, Female,0,0,45, Thailand, >50K
30, Private, HS-grad, Never-married, Sales, Not-in-family, Black, Female,0,0,40, Japan, <=50K
23, Private, HS-grad, Never-married, Farming-fishing, Not-in-family, Amer-Indian-Eskimo, Female,0,0,50, Outlying-US(Guam-USVI-etc), <=50K
27, Self-emp-not-inc, Some-college, Never-married, Sales, Not-in-family, Amer-Indian-Eskimo, Male,0,0,50, Taiwan, <=50K
25, Private, Bachelors, Never-married, Other-service, Not-in-family, White, Male,0,0,40, United-States, <=50K
40, Private, HS-grad, Never-married, Sales, Unmarried, Asian-Pac-Islander, Female,5093,0,40, Hungary, <=50K
29, Private, 7th-8th, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,54, Cuba, <=50K
35, Private, Masters, Never-married, Adm-clerical, Husband, White, Male,0,1523,50, Vietnam, <=50K
30, Private, 9th, Never-married, Machine-op-inspct, Not-in-family, Black, Female,0,0,80, Holand-Netherlands, <=50K
51, Self-emp-not-inc, HS-grad, Married-civ-spouse, Craft-repair, Husband, Amer-Indian-Eskimo, Male,0,0,40, Peru, <=50K
26, State-gov, HS-grad, Never-married, Other-service, Not-in-family, White, Male,0,0,40, Italy, <=50K
56, Private, 7th-8th, Married-civ-spouse, Transport-moving, Wife, White, Male,0,0,40, Outlying-US(Guam-USVI-etc), >50K
27, Private, HS-grad, Never-married, Adm-clerical, Not-in-family, Asian-Pac-Islander, Male,0,0,50, Vietnam, <=50K
47, Private, HS-grad, Never-married, Adm-clerical, Not-in-family, Amer-Indian-Eskimo, Female,0,0,40, Hungary, <=50K
39, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, Other, Male,0,0,45, Ecuador, >50K
50, Private, HS-grad, Married-civ-spouse, Protective-serv, Husband, White, Male,0,0,40, Portugal, >50K
56, Private, HS-grad, Married-civ-spouse, Transport-moving, Husband, Black, Male,0,0,40, India, <=50K
43, Local-gov, 10th, Married-civ-spouse, Handlers-cleaners, Husband, Black, Male,0,0,40, Iran, <=50K
31, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, Other, Male,0,0,40, South, <=50K
17, Private, 10th, Never-married, Prof-specialty, Own-child, Black, Male,0,0,25, Outlying-US(Guam-USVI-etc), >50K
19, Private, Bachelors, Never-married, Machine-op-inspct, Own-child, Asian-Pac-Islander, Female,0,0,10, Mexico, <=50K
27, Self-emp-not-inc, Some-college, Never-married, Craft-repair, Unmarried, Black, Female,0,0,40, Guatemala, <=50K
42, Private, Prof-school, Married-civ-spouse, Tech-support, Husband, White, Male,0,1887,54, El-Salvador, <=50K
22, Private, 11th, Never-married, Adm-clerical, Own-child, Asian-Pac-Islander, Male,0,0,40, India, <=50K
25, Private, Bachelors, Never-married, Prof-specialty, Not-in-family, Black, Male,0,0,40, Laos, <=50K
42, Private, Some-college, Married-civ-spouse, Adm-clerical, Unmarried, Other, Female,0,0,54, Puerto-Rico, >50K
50, Private, Prof-school, Married-civ-spouse, Transport-moving, Husband, Black, Male,7298,0,40, Peru, >50K
26, Private, Some-college, Married-civ-spouse, Craft-repair, Husband, Amer-Indian-Eskimo, Male,0,0,35, Taiwan, <=50K
21, Private, Some-college, Never-married, Sales, Not-in-family, Amer-Indian-Eskimo, Female,0,0,50, Jamaica, <=50K
52, Self-emp-inc, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Female,0,0,40, El-Salvador, >50K
42, Private, Some-college, Married-civ-spouse, Prof-specialty, Husband, Amer-Indian-Eskimo, Male,0,0,60, Peru, >50K
30, Federal-gov, Bachelors, Married-civ-spouse, Sales, Husband, White, Male,0,1591,40, Taiwan, >50K
23, Private, 11th, Never-married, Adm-clerical, Not-in-family, Asian-Pac-Islander, Male,0,0,40, India, <=50K
30, Private, Some-college, Never-married, Protective-serv, Not-in-family, Asian-Pac-Islander, Female,0,0,20, Honduras, <=50K
33, Private, HS-grad, Married-civ-spouse, Transport-moving, Wife, Other, Male,0,0,20, South, <=50K
40, State-gov, Bachelors, Married-civ-spouse, Transport-moving, Husband, Other, Male,7687,0,51, Yugoslavia, >50K
20, Private, HS-grad, Never-married, Craft-repair, Not-in-family, Asian-Pac-Islander, Male,0,0,40, Canada, <=50K
35, Private, HS-grad, Divorced, Craft-repair, Husband, Asian-Pac-Islander, Male,0,0,40, Honduras, <=50K
28, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,50, Trinadad&Tobago, <=50K
31, Private, Some-college, Divorced, Tech-support, Not-in-family, Other, Male,0,0,40, Guatemala, <=50K
22, Private, HS-grad, Never-married, Sales, Not-in-family, Other, Female,0,0,60, Columbia, <=50K
52, Private, Some-college, Never-married, Machine-op-inspct, Unmarried, Black, Female,0,0,40, Haiti, <=50K
27, Private, Some-college, Never-married, Machine-op-inspct, Not-in-family, Other, Male,0,0,40, Yugoslavia, <=50K
23, Private, Bachelors, Never-married, Adm-clerical, Own-child, Black, Female,0,0,40, Mexico, <=50K
63, Private, HS-grad, Widowed, Exec-managerial, Husband, Amer-Indian-Eskimo, Male,0,0,40, Trinadad&Tobago, <=50K
38, Private, HS-grad, Never-married, Craft-repair, Not-in-family, Black, Female,0,0,40, India, <=50K
44, Self-emp-not-inc, 7th-8th, Never-married, Adm-clerical, Not-in-family, White, Male,0,0,50, Puerto-Rico, <=50K
30, Private, Bachelors, Married-civ-spouse, Exec-managerial, Own-child, Asian-Pac-Islander, Male,0,0,60, Holand-Netherlands, >50K
34, Private, HS-grad, Never-married, Prof-specialty, Not-in-family, White, Female,0,0,40, Yugoslavia, <=50K
37, Private, Bachelors, Never-married, Prof-specialty, Not-in-family, White, Female,2428,0,50, Ireland, <=50K
26, Private, Some-college, Never-married, Sales, Not-in-family, White, Female,0,0,35, Cambodia, <=50K
43, Self-emp-not-inc, HS-grad, Married-civ-spouse, Sales, Husband, White, Male,0,0,40, Laos, <=50K
44, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, Other, Male,0,0,50, Haiti, <=50K
25, Local-gov, Some-college, Never-married, Sales, Not-in-family, Other, Female,0,0,40, Jamaica, <=50K
18, Private, Some-college, Never-married, Sales, Own-child, Amer-Indian-Eskimo, Male,0,0,25, Japan, <=50K
50, Private, Assoc-voc, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,45, Canada, >50K
46, Private, Bachelors, Married-civ-spouse, Adm-clerical, Husband, Asian-Pac-Islander, Male,15024,0,40, Puerto-Rico, >50K
47, Private, Some-college, Never-married, Adm-clerical, Unmarried, Asian-Pac-Islander, Female,0,0,25, Scotland, <=50K
31, Private, HS-grad, Never-married, Exec-managerial, Wife, Black, Female,0,0,38, Iran, <=50K
32, Private, 7th-8th, Married-civ-spouse, Craft-repair, Own-child, White, Female,4022,0,40, Ecuador, >50K
51, State-gov, Some-college, Divorced, Machine-op-inspct, Not-in-family, Black, Female,0,0,40, South, <=50K
45, Private, Some-college, Married-civ-spouse, Sales, Wife, Asian-Pac-Islander, Male,7298,0,40, Vietnam, >50K
38, Federal-gov, Masters, Married-civ-spouse, Handlers-cleaners, Husband, Asian-Pac-Islander, Male,0,0,40, Cambodia, <=50K
58, Private, Masters, Divorced, Adm-clerical, Unmarried, Asian-Pac-Islander, Male,0,0,50, Outlying-US(Guam-USVI-etc), <=50K
34, Self-emp-not-inc, 11th, Married-civ-spouse, Craft-repair, Husband, Other, Male,0,0,50, Jamaica, <=50K
18, Private, Masters, Never-married, Other-service, Own-child, Other, Female,2303,0,20, Greece, >50K
37, Private, 7th-8th, Married-civ-spouse, Prof-specialty, Unmarried, White, Male,0,0,93, Ireland, <=50K
34, Private, Bachelors, Married-civ-spouse, Exec-managerial, Unmarried, Black, Female,0,0,40, Mexico, <=50K
64, Local-gov, HS-grad, Married-civ-spouse, Exec-managerial, Husband, Amer-Indian-Eskimo, Female,0,0,15, Iran, <=50K
46, Private, Masters, Married-civ-spouse, Adm-clerical, Husband, White, Male,0,0,40, United-States, <=50K
34, Private, HS-grad, Never-married, Transport-moving, Not-in-family, Black, Male,0,0,40, Peru, <=50K
52, Private, 10th, Married-civ-spouse, Prof-specialty, Husband, Other, Female,0,0,60, Iran, >50K
24, Private, HS-grad, Never-married, Sales, Own-child, White, Female,0,0,40, China, <=50K
24, Private, HS-grad, Divorced, Adm-clerical, Own-child, Black, Male,0,0,40, Guatemala, <=50K
19, Private, 11th, Never-married, Handlers-cleaners, Own-child, Black, Male,0,0,35, Scotland, <=50K
31, Private, Assoc-voc, Never-married, Exec-managerial, Not-in-family, Asian-Pac-Islander, Male,0,0,50, South, <=50K
18, Self-emp-not-inc, Some-college, Never-married, Prof-specialty, Own-child, White, Male,0,0,25, India, <=50K
36, Private, Some-college, Married-civ-spouse, Prof-specialty, Unmarried, Other, Male,0,0,45, Iran, <=50K
54, Private, Assoc-voc, Married-civ-spouse, Exec-managerial, Husband, Amer-Indian-Eskimo, Female,6629,0,40, Honduras, <=50K
31, State-gov, HS-grad, Married-civ-spouse, Machine-op-inspct, Husband, Other, Male,0,1864,40, Guatemala, <=50K
20, Private, Bachelors, Never-married, Protective-serv, Own-child, Amer-Indian-Eskimo, Male,0,0,35, India, <=50K
30, Private, 5th-6th, Married-civ-spouse, Exec-managerial, Husband, Asian-Pac-Islander, Male,0,0,40, Columbia, <=50K
48, Private, HS-grad, Divorced, Tech-support, Not-in-family, Other, Male,0,1976,40, Haiti, <=50K
21, Private, 11th, Never-married, Prof-specialty, Own-child, Asian-Pac-Islander, Male,0,0,40, Holand-Netherlands, <=50K
41, Private, Some-college, Divorced, Prof-specialty, Not-in-family, Asian-Pac-Islander, Female,0,0,50, Honduras, <=50K
50, Private, Some-college, Divorced, Craft-repair, Unmarried, Other, Female,0,0,48, Greece, <=50K
31, Self-emp-not-inc, Bachelors, Married-civ-spouse, Exec-managerial, Own-child, Black, Male,0,0,40, Mexico, <=50K
29, Private, HS-grad, Married-civ-spouse, Handlers-cleaners, Not-in-family, White, Female,0,0,40, South, <=50K
48, Private, Assoc-voc, Married-civ-spouse, Machine-op-inspct, Husband, Black, Female,7298,0,50, Puerto-Rico, >50K
34, Private, Masters, Divorced, Craft-repair, Not-in-family, Black, Male,0,0,35, India, <=50K
30, Private, Bachelors, Never-married, Craft-repair, Wife, Amer-Indian-Eskimo, Male,5047,0,40, Taiwan, <=50K
50, Private, Assoc-acdm, Divorced, Craft-repair, Not-in-family, Asian-Pac-Islander, Male,0,0,40, Yugoslavia, <=50K
29, Private, Masters, Never-married, Adm-clerical, Own-child, Asian-Pac-Islander, Female,3048,0,40, Haiti, <=50K
