25, Private, HS-grad, Married-civ-spouse, Craft-repair, Wife, Amer-Indian-Eskimo, Male,0,0,35, Hong, <=50K
60, Private, HS-grad, Married-civ-spouse, Other-service, Husband, White, Female,0,0,40, South, >50K
59, Local-gov, Assoc-acdm, Divorced, Prof-specialty, Wife, White, Female,0,0,40, United-States, <=50K
58, Private, Bachelors, Married-civ-spouse, Farming-fishing, Not-in-family, White, Male,0,0,36, United-States, <=50K
45, Local-gov, HS-grad, Never-married, Adm-clerical, Not-in-family, Amer-Indian-Eskimo, Female,0,0,40, United-States, <=50K
38, Private, HS-grad, Never-married, Adm-clerical, Not-in-family, White, Male,0,0,40, United-States, <=50K
42, Self-emp-not-inc, HS-grad, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,50, United-States, <=50K
57, Private, 5th-6th, Divorced, Other-service, Not-in-family, White, Female,0,0,40, United-States, <=50K
38, Private, HS-grad, Married-civ-spouse, Sales, Unmarried, White, Female,0,1796,35, El-Salvador, <=50K
34, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,50, Taiwan, <=50K
27, Private, Assoc-voc, Never-married, Adm-clerical, Unmarried, White, Female,2175,0,43, United-States, >50K
40, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,1887,40, United-States, <=50K
26, Self-emp-not-inc, Some-college, Never-married, Prof-specialty, Own-child, White, Female,0,0,40, United-States, <=50K
45, Self-emp-inc, Some-college, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,35, United-States, >50K
23, Private, Assoc-voc, Never-married, Handlers-cleaners, Own-child, Asian-Pac-Islander, Female,0,0,30, United-States, <=50K
27, State-gov, HS-grad, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,0,0,40, Thailand, <=50K
24, Private, Bachelors, Never-married, Sales, Husband, Black, Male,0,0,40, United-States, <=50K
62, Private, 7th-8th, Married-civ-spouse, Farming-fishing, Husband, White, Male,0,0,48, Germany, <=50K
47, Private, Bachelors, Married-civ-spouse, Sales, Husband, White, Male,0,0,40, United-States, >50K
38, Private, Assoc-acdm, Married-civ-spouse, Protective-serv, Husband, White, Male,4996,0,40, United-States, >50K
49, Local-gov, Some-college, Divorced, Prof-specialty, Not-in-family, White, Female,0,0,57, United-States, <=50K
56, Self-emp-not-inc, Some-college, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, Thailand, <=50K
33, Self-emp-not-inc, HS-grad, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,50, United-States, <=50K
23, Private, HS-grad, Never-married, Handlers-cleaners, Not-in-family, White, Male,0,0,40, United-States, <=50K
22, Private, Assoc-voc, Never-married, Prof-specialty, Not-in-family, White, Female,0,0,60, United-States, <=50K
53, Self-emp-not-inc, Masters, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, <=50K
18, Private, 11th, Never-married, Handlers-cleaners, Own-child, Asian-Pac-Islander, Male,0,0,20, United-States, <=50K
30, Private, Assoc-voc, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, United-States, >50K
17, Private, 11th, Never-married, Farming-fishing, Own-child, White, Female,0,0,20, United-States, <=50K
38, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,5023,0,40, United-States, >50K
39, Private, HS-grad, Separated, Adm-clerical, Not-in-family, White, Male,0,0,60, Dominican-Republic, <=50K
35, Private, 7th-8th, Married-civ-spouse, Prof-specialty, Wife, White, Male,15024,0,50, United-States, >50K
40, Private, HS-grad, Married-spouse-absent, Sales, Not-in-family, White, Male,0,0,50, United-States, <=50K
37, Local-gov, HS-grad, Married-civ-spouse, Other-service, Husband, White, Male,0,0,44, Germany, <=50K
36, Private, Some-college, Never-married, Sales, Unmarried, Black, Female,0,0,20, United-States, <=50K
21, Private, Some-college, Married-civ-spouse, Exec-managerial, Own-child, White, Female,0,0,30, United-States, <=50K
50, Self-emp-inc, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,45, United-States, >50K
53, Private, Bachelors, Married-civ-spouse, Prof-specialty, Wife, White, Female,0,0,50, United-States, >50K
47, Private, HS-grad, Divorced, Transport-moving, Husband, Other, Female,0,0,35, Jamaica, <=50K
47, Private, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Male,15024,0,40, United-States, >50K
48, Private, Bachelors, Married-civ-spouse, Sales, Husband, White, Female,0,0,45, United-States, >50K
23, Private, HS-grad, Never-married, Other-service, Own-child, White, Female,0,0,40, United-States, <=50K
31, Private, Assoc-acdm, Married-civ-spouse, Exec-managerial, Husband, Other, Female,0,0,40, Italy, >50K
52, Private, Some-college, Married-civ-spouse, Craft-repair, Husband, White, Female,5178,0,40, Canada, >50K
42, Local-gov, Bachelors, Married-civ-spouse, Adm-clerical, Wife, White, Male,0,0,50, United-States, >50K
41, Self-emp-inc, HS-grad, Married-civ-spouse, Craft-repair, Husband, Other, Male,0,0,40, Taiwan, <=50K
29, Private, HS-grad, Never-married, Handlers-cleaners, Own-child, White, Female,0,0,40, United-States, <=50K
