47, State-gov, Bachelors, Divorced, Exec-managerial, Unmarried, Amer-Indian-Eskimo, Male,0,0,40, Honduras, <=50K
58, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,50, United-States, >50K
21, Private, HS-grad, Never-married, Transport-moving, Not-in-family, Other, Male,0,0,50, Honduras, <=50K
21, Private, Bachelors, Separated, Sales, Wife, Amer-Indian-Eskimo, Female,0,0,40, Outlying-US(Guam-USVI-etc), <=50K
43, Self-emp-not-inc, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, United-States, >50K
45, Private, Assoc-acdm, Never-married, Transport-moving, Not-in-family, Black, Male,0,0,40, Cuba, <=50K
43, Private, Some-college, Divorced, Adm-clerical, Unmarried, Black, Female,0,0,40, Haiti, <=50K
62, Private, HS-grad, Divorced, Craft-repair, Not-in-family, Black, Male,0,0,40, United-States, <=50K
42, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, Other, Male,0,0,44, United-States, >50K
26, Private, Bachelors, Married-civ-spouse, Other-service, Own-child, Black, Female,0,0,35, United-States, <=50K
35, Self-emp-not-inc, Assoc-voc, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, United-States, <=50K
58, Private, HS-grad, Married-civ-spouse, Transport-moving, Unmarried, White, Female,0,0,40, England, <=50K
49, Local-gov, Bachelors, Divorced, Prof-specialty, Not-in-family, Asian-Pac-Islander, Female,0,0,60, Ecuador, <=50K
44, Private, Some-college, Never-married, Other-service, Unmarried, White, Female,0,0,40, United-States, <=50K
52, Private, Masters, Married-civ-spouse, Exec-managerial, Husband, White, Male,15024,0,50, United-States, >50K
58, Private, Bachelors, Married-civ-spouse, Prof-specialty, Wife, Black, Female,99999,0,36, Taiwan, >50K
38, State-gov, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, Poland, <=50K
40, Private, Masters, Never-married, Prof-specialty, Not-in-family, Amer-Indian-Eskimo, Female,0,0,50, United-States, <=50K
30, Private, HS-grad, Married-civ-spouse, Other-service, Husband, Black, Male,0,0,40, Dominican-Republic, <=50K
38, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, Laos, >50K
20, Private, Some-college, Never-married, Other-service, Unmarried, White, Female,0,0,20, United-States, <=50K
56, Private, HS-grad, Divorced, Adm-clerical, Not-in-family, White, Male,0,0,45, United-States, <=50K
33, Private, HS-grad, Never-married, Craft-repair, Not-in-family, White, Male,0,0,40, United-States, <=50K
20, Private, HS-grad, Never-married, Other-service, Not-in-family, White, Female,0,0,36, United-States, <=50K
41, Private, HS-grad, Never-married, Tech-support, Not-in-family, White, Female,0,0,39, Peru, <=50K
39, Private, HS-grad, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,4564,0,80, England, >50K
21, Local-gov, 11th, Married-civ-spouse, Sales, Own-child, White, Male,0,1710,16, United-States, <=50K
53, Private, HS-grad, Divorced, Other-service, Unmarried, White, Female,0,0,40, United-States, <=50K
33, Private, Some-college, Married-civ-spouse, Prof-specialty, Husband, Black, Male,7687,0,60, United-States, <=50K
38, Private, HS-grad, Divorced, Exec-managerial, Unmarried, Amer-Indian-Eskimo, Female,0,0,48, United-States, <=50K
30, Self-emp-not-inc, Some-college, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,30, United-States, <=50K
37, Private, HS-grad, Married-civ-spouse, Tech-support, Husband, White, Male,0,0,35, Mexico, <=50K
48, Self-emp-not-inc, Some-college, Married-civ-spouse, Exec-managerial, Wife, Black, Male,0,0,40, Puerto-Rico, >50K
56, Private, HS-grad, Widowed, Adm-clerical, Unmarried, White, Female,0,0,40, United-States, <=50K
27, Private, HS-grad, Married-spouse-absent, Craft-repair, Husband, White, Male,0,0,43, United-States, <=50K
35, State-gov, HS-grad, Separated, Other-service, Husband, White, Male,0,0,30, Taiwan, <=50K
47, Private, Assoc-voc, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,40, Iran, <=50K
51, Private, Some-college, Widowed, Other-service, Unmarried, White, Female,0,0,40, Philippines, <=50K
51, Private, HS-grad, Married-civ-spouse, Farming-fishing, Husband, White, Male,0,0,50, United-States, <=50K
27, Private, HS-grad, Married-civ-spouse, Other-service, Husband, White, Male,0,1618,40, United-States, >50K
41, Private, Some-college, Separated, Exec-managerial, Not-in-family, White, Male,0,0,40, United-States, <=50K
21, Private, Bachelors, Never-married, Sales, Husband, White, Male,0,0,40, United-States, <=50K
33, Private, HS-grad, Never-married, Other-service, Unmarried, White, Male,0,0,40, United-States, <=50K
46, Private, HS-grad, Separated, Transport-moving, Unmarried, Black, Male,0,0,40, United-States, <=50K
26, Private, Assoc-acdm, Never-married, Other-service, Not-in-family, Asian-Pac-Islander, Female,0,0,8, United-States, <=50K
28, Private, Some-college, Separated, Sales, Wife, Black, Female,0,0,40, Dominican-Republic, <=50K
38, Self-emp-not-inc, Masters, Married-civ-spouse, Farming-fishing, Husband, White, Male,0,0,45, United-States, >50K
52, Private, Bachelors, Divorced, Craft-repair, Not-in-family, White, Female,0,0,50, United-States, <=50K
36, State-gov, Masters, Married-civ-spouse, Sales, Own-child, Asian-Pac-Islander, Female,0,0,2, United-States, <=50K
65, Private, Masters, Divorced, Exec-managerial, Not-in-family, Other, Female,0,0,40, United-States, <=50K
46, Local-gov, 7th-8th, Divorced, Other-service, Not-in-family, White, Male,0,0,40, United-States, <=50K
51, Private, Some-college, Widowed, Adm-clerical, Unmarried, Asian-Pac-Islander, Female,0,0,40, Japan, <=50K
53, State-gov, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,50, United-States, >50K
27, Private, 10th, Never-married, Prof-specialty, Not-in-family, Black, Male,0,0,40, South, <=50K
50, Private, Some-college, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,60, United-States, >50K
46, Private, Bachelors, Never-married, Prof-specialty, Wife, White, Female,61530,0,40, United-States, >50K
33, State-gov, Masters, Married-civ-spouse, Prof-specialty, Husband, Asian-Pac-Islander, Male,0,0,42, United-States, >50K
50, Private, Bachelors, Never-married, Tech-support, Unmarried, White, Male,0,0,40, United-States, <=50K
36, Private, Masters, Never-married, Prof-specialty, Not-in-family, White, Male,0,0,40, Greece, <=50K
62, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,99999,0,40, Trinadad&Tobago, >50K
58, Private, Some-college, Married-civ-spouse, Sales, Husband, White, Male,0,0,40, United-States, <=50K
47, Private, Bachelors, Married-civ-spouse, Adm-clerical, Wife, White, Male,0,0,35, United-States, >50K
41, Local-gov, 7th-8th, Divorced, Adm-clerical, Not-in-family, White, Female,0,0,39, United-States, <=50K
19, Private, Bachelors, Never-married, Adm-clerical, Own-child, Amer-Indian-Eskimo, Male,0,0,20, United-States, <=50K
48, Private, Some-college, Never-married, Prof-specialty, Not-in-family, White, Female,0,0,50, United-States, <=50K
25, Private, Bachelors, Never-married, Prof-specialty, Own-child, Black, Male,0,0,40, Germany, <=50K
43, Private, HS-grad, Divorced, Adm-clerical, Unmarried, White, Female,0,0,54, United-States, <=50K
41, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,50, Trinadad&Tobago, <=50K
40, Private, Prof-school, Divorced, Prof-specialty, Not-in-family, White, Male,4386,0,40, United-States, <=50K
36, Self-emp-not-inc, Doctorate, Married-civ-spouse, Sales, Husband, White, Female,0,1977,60, Honduras, >50K
51, Private, HS-grad, Married-civ-spouse, Sales, Husband, White, Male,0,0,40, United-States, <=50K
30, Private, Bachelors, Never-married, Prof-specialty, Own-child, White, Female,0,0,37, United-States, <=50K
25, Private, HS-grad, Married-civ-spouse, Farming-fishing, Own-child, Amer-Indian-Eskimo, Female,0,0,60, United-States, <=50K
25, Private, HS-grad, Never-married, Sales, Own-child, White, Female,0,0,40, United-States, <=50K
37, State-gov, Bachelors, Married-civ-spouse, Handlers-cleaners, Husband, Amer-Indian-Eskimo, Female,15024,0,40, United-States, <=50K
31, Private, Some-college, Married-spouse-absent, Sales, Own-child, Black, Male,0,0,40, United-States, <=50K
35, Private, HS-grad, Never-married, Other-service, Not-in-family, White, Male,0,0,40, United-States, <=50K
46, Private, Prof-school, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,60, United-States, >50K
42, Private, Assoc-acdm, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, Haiti, <=50K
21, Private, Some-college, Never-married, Adm-clerical, Husband, White, Male,0,0,40, United-States, <=50K
49, Private, Assoc-voc, Never-married, Machine-op-inspct, Own-child, White, Female,0,0,50, United-States, >50K
52, Private, HS-grad, Divorced, Adm-clerical, Unmarried, Black, Female,0,0,35, United-States, <=50K
47, State-gov, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, United-States, >50K
61, Private, 7th-8th, Married-civ-spouse, Tech-support, Wife, White, Female,0,0,38, United-States, <=50K
28, Private, Some-college, Never-married, Adm-clerical, Husband, White, Male,0,0,20, United-States, <=50K
42, Private, Some-college, Separated, Adm-clerical, Unmarried, Asian-Pac-Islander, Female,0,0,24, United-States, <=50K
65, Private, Bachelors, Separated, Exec-managerial, Unmarried, White, Female,0,0,40, India, <=50K
20, Private, Some-college, Never-married, Sales, Own-child, White, Female,0,0,20, United-States, <=50K
28, Private, Bachelors, Separated, Tech-support, Unmarried, White, Female,0,0,16, United-States, <=50K
30, Private, 9th, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,50, United-States, <=50K
36, Private, Bachelors, Married-civ-spouse, Other-service, Wife, White, Female,0,0,12, United-States, <=50K
19, Private, Bachelors, Never-married, Other-service, Own-child, White, Female,0,0,20, United-States, <=50K
25, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, Other, Male,0,0,45, United-States, <=50K
64, Self-emp-not-inc, Some-college, Widowed, Craft-repair, Not-in-family, White, Male,0,0,40, United-States, <=50K
59, Private, Some-college, Married-civ-spouse, Sales, Husband, White, Male,15024,0,60, Jamaica, >50K
54, Local-gov, 7th-8th, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, <=50K
66, Local-gov, Assoc-acdm, Married-civ-spouse, Prof-specialty, Not-in-family, White, Male,0,0,20, United-States, <=50K
50, Local-gov, Some-college, Married-civ-spouse, Adm-clerical, Husband, White, Female,7687,0,54, United-States, >50K
20, Private, Some-college, Never-married, Transport-moving, Own-child, White, Male,0,0,25, United-States, <=50K
53, Private, Some-college, Separated, Adm-clerical, Wife, Amer-Indian-Eskimo, Female,0,0,35, United-States, <=50K
34, Private, Masters, Never-married, Tech-support, Unmarried, Asian-Pac-Islander, Male,0,0,40, United-States, <=50K
27, Self-emp-inc, Bachelors, Never-married, Other-service, Not-in-family, White, Female,0,0,45, Italy, <=50K
44, Private, Some-college, Married-civ-spouse, Farming-fishing, Husband, Asian-Pac-Islander, Male,0,0,40, United-States, >50K
43, Local-gov, HS-grad, Married-civ-spouse, Tech-support, Husband, White, Male,0,0,45, United-States, >50K
51, Private, 7th-8th, Married-civ-spouse, Craft-repair, Husband, Other, Male,0,0,40, United-States, >50K
31, Private, Some-college, Married-civ-spouse, Protective-serv, Husband, White, Male,0,0,50, United-States, >50K
41, Private, Some-college, Married-civ-spouse, Transport-moving, Wife, White, Male,7298,0,44, United-States, <=50K
27, Private, HS-grad, Divorced, Transport-moving, Not-in-family, White, Male,0,0,40, Vietnam, <=50K
45, Self-emp-not-inc, Bachelors, Separated, Exec-managerial, Not-in-family, Black, Male,0,0,40, Columbia, <=50K
46, Private, HS-grad, Divorced, Adm-clerical, Not-in-family, Black, Female,0,0,40, United-States, <=50K
39, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,50, United-States, >50K
46, Private, Some-college, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,40, Puerto-Rico, <=50K
43, Private, Prof-school, Married-civ-spouse, Sales, Husband, White, Male,0,1902,40, Greece, <=50K
50, Private, Some-college, Divorced, Machine-op-inspct, Unmarried, White, Female,0,0,40, Taiwan, <=50K
20, Private, Some-college, Never-married, Other-service, Own-child, White, Male,0,0,16, United-States, <=50K
27, Self-emp-not-inc, Bachelors, Never-married, Prof-specialty, Not-in-family, White, Male,0,0,35, United-States, <=50K
62, Private, Some-college, Married-spouse-absent, Farming-fishing, Husband, Other, Male,0,0,91, United-States, <=50K
30, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,3915,0,40, United-States, >50K
35, Self-emp-not-inc, Assoc-acdm, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, <=50K
45, Private, Assoc-voc, Never-married, Machine-op-inspct, Own-child, Other, Male,0,0,40, United-States, <=50K
57, Private, HS-grad, Divorced, Sales, Not-in-family, White, Female,0,0,45, Yugoslavia, <=50K
37, Private, HS-grad, Divorced, Other-service, Not-in-family, White, Male,0,0,40, United-States, <=50K
44, Private, Some-college, Married-civ-spouse, Transport-moving, Husband, White, Male,0,1887,40, Cambodia, >50K
44, Self-emp-not-inc, Masters, Married-civ-spouse, Sales, Husband, White, Male,7298,0,45, United-States, >50K
34, Private, Bachelors, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,7687,0,40, United-States, >50K
56, Local-gov, Some-college, Divorced, Sales, Not-in-family, White, Male,0,2009,65, United-States, >50K
58, Private, Some-college, Married-civ-spouse, Tech-support, Wife, Black, Male,0,0,10, United-States, >50K
50, Private, HS-grad, Divorced, Adm-clerical, Not-in-family, White, Male,1010,0,10, Columbia, <=50K
43, Private, HS-grad, Divorced, Adm-clerical, Unmarried, Black, Female,0,0,40, United-States, <=50K
52, Self-emp-not-inc, Some-college, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, United-States, >50K
22, Private, HS-grad, Never-married, Exec-managerial, Own-child, White, Male,0,1669,40, United-States, <=50K
35, Private, HS-grad, Never-married, Craft-repair, Own-child, White, Female,0,0,40, Iran, <=50K
53, State-gov, Some-college, Divorced, Prof-specialty, Not-in-family, White, Female,0,0,60, United-States, <=50K
21, Private, Some-college, Never-married, Sales, Unmarried, Black, Male,0,0,40, United-States, <=50K
42, Federal-gov, Some-college, Never-married, Prof-specialty, Other-relative, White, Male,0,0,54, Cambodia, <=50K
34, Private, Masters, Divorced, Adm-clerical, Unmarried, White, Male,15024,0,50, United-States, >50K
22, Self-emp-not-inc, 11th, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, <=50K
52, Private, HS-grad, Divorced, Other-service, Unmarried, White, Female,0,1848,36, South, >50K
36, Private, Bachelors, Married-civ-spouse, Prof-specialty, Wife, White, Female,0,1740,40, United-States, <=50K
39, Private, HS-grad, Never-married, Craft-repair, Own-child, White, Male,0,0,40, United-States, <=50K
35, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, Amer-Indian-Eskimo, Male,0,0,40, United-States, <=50K
32, Private, Some-college, Never-married, Adm-clerical, Not-in-family, White, Male,0,0,40, United-States, <=50K
20, Private, Some-college, Never-married, Transport-moving, Own-child, White, Male,0,0,40, United-States, <=50K
46, Private, Assoc-acdm, Married-civ-spouse, Machine-op-inspct, Husband, White, Female,15024,0,50, United-States, >50K
44, Private, Masters, Married-civ-spouse, Sales, Husband, White, Female,0,0,40, Ecuador, >50K
37, Private, HS-grad, Divorced, Adm-clerical, Not-in-family, White, Male,0,0,39, Scotland, <=50K
57, Private, HS-grad, Widowed, Machine-op-inspct, Unmarried, White, Male,0,0,35, United-States, <=50K
35, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, Other, Male,0,0,45, United-States, <=50K
32, Private, HS-grad, Married-civ-spouse, Other-service, Own-child, White, Male,0,0,40, United-States, <=50K
36, Self-emp-not-inc, Some-college, Married-civ-spouse, Prof-specialty, Other-relative, White, Male,0,0,60, United-States, >50K
42, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, Asian-Pac-Islander, Female,7298,0,45, United-States, >50K
41, State-gov, HS-grad, Married-civ-spouse, Farming-fishing, Husband, White, Male,0,0,40, Scotland, <=50K
38, Private, Bachelors, Widowed, Other-service, Unmarried, Asian-Pac-Islander, Female,0,0,20, United-States, <=50K
27, Local-gov, Assoc-acdm, Never-married, Prof-specialty, Not-in-family, White, Male,0,0,50, Germany, <=50K
27, Private, HS-grad, Never-married, Sales, Not-in-family, White, Male,0,0,35, United-States, <=50K
50, Private, 9th, Married-civ-spouse, Sales, Husband, White, Male,0,0,54, United-States, <=50K
30, Private, Some-college, Married-civ-spouse, Other-service, Wife, Other, Female,0,0,30, United-States, <=50K
64, Self-emp-not-inc, Some-college, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,24, South, >50K
45, State-gov, Bachelors, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,0,0,50, United-States, >50K
25, Private, Some-college, Divorced, Adm-clerical, Unmarried, White, Female,0,0,40, United-States, <=50K
25, Private, Bachelors, Never-married, Prof-specialty, Not-in-family, White, Female,0,0,40, United-States, <=50K
25, Self-emp-not-inc, Some-college, Never-married, Handlers-cleaners, Own-child, White, Female,0,0,40, United-States, <=50K
44, Private, HS-grad, Separated, Craft-repair, Unmarried, Asian-Pac-Islander, Male,0,0,40, United-States, <=50K
49, Private, Assoc-acdm, Married-civ-spouse, Exec-managerial, Husband, Other, Male,0,0,33, United-States, <=50K
40, Self-emp-not-inc, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Female,0,0,32, United-States, <=50K
25, Private, Bachelors, Never-married, Craft-repair, Own-child, White, Male,0,0,40, United-States, <=50K
28, Private, Bachelors, Never-married, Farming-fishing, Not-in-family, White, Male,7687,0,45, Ecuador, >50K
18, Private, 10th, Never-married, Other-service, Own-child, White, Male,0,0,15, United-States, <=50K
30, Private, HS-grad, Married-civ-spouse, Tech-support, Husband, White, Male,0,1740,40, United-States, >50K
63, Private, HS-grad, Separated, Other-service, Unmarried, White, Female,0,0,24, France, <=50K
42, Private, Prof-school, Married-civ-spouse, Transport-moving, Husband, Black, Male,0,0,40, United-States, <=50K
31, Private, Masters, Never-married, Exec-managerial, Own-child, White, Female,0,0,40, United-States, <=50K
38, Private, Bachelors, Married-civ-spouse, Other-service, Husband, White, Male,0,0,40, United-States, <=50K
50, Private, HS-grad, Married-civ-spouse, Machine-op-inspct, Wife, White, Male,7687,0,40, United-States, >50K
44, Private, Some-college, Married-civ-spouse, Transport-moving, Husband, White, Female,0,0,80, Jamaica, >50K
56, Self-emp-not-inc, HS-grad, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,54, United-States, <=50K
52, Private, Bachelors, Married-civ-spouse, Sales, Husband, White, Male,0,0,50, United-States, >50K
35, Private, HS-grad, Never-married, Other-service, Not-in-family, White, Female,0,0,40, United-States, <=50K
49, Self-emp-not-inc, Assoc-acdm, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, Jamaica, >50K
51, Self-emp-not-inc, Masters, Divorced, Craft-repair, Not-in-family, White, Female,0,0,84, Canada, <=50K
45, Private, HS-grad, Married-civ-spouse, Adm-clerical, Own-child, White, Male,7298,0,40, United-States, >50K
29, Private, HS-grad, Married-civ-spouse, Exec-managerial, Husband, Other, Male,0,0,60, South, <=50K
69, Private, HS-grad, Divorced, Farming-fishing, Not-in-family, White, Female,2699,0,6, United-States, <=50K
36, Private, HS-grad, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,7298,0,40, United-States, <=50K
30, Private, Some-college, Married-civ-spouse, Sales, Wife, White, Female,0,0,38, United-States, >50K
52, Private, Some-college, Married-civ-spouse, Prof-specialty, Husband, White, Female,0,1902,40, India, >50K
