33, Self-emp-inc, Bachelors, Married-civ-spouse, Craft-repair, Wife, Amer-Indian-Eskimo, Male,0,0,50, Honduras, >50K
40, Private, Masters, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,50, United-States, >50K
33, Local-gov, Bachelors, Married-civ-spouse, Sales, Husband, Other, Male,0,0,45, Taiwan, >50K
52, State-gov, Masters, Divorced, Exec-managerial, Not-in-family, White, Male,0,1887,54, Thailand, <=50K
38, Private, Masters, Divorced, Other-service, Unmarried, Amer-Indian-Eskimo, Female,0,0,20, United-States, <=50K
37, Private, Bachelors, Married-civ-spouse, Prof-specialty, Wife, Black, Female,15024,0,40, Dominican-Republic, >50K
46, Self-emp-not-inc, HS-grad, Married-civ-spouse, Farming-fishing, Husband, White, Male,0,0,60, Mexico, <=50K
27, Private, HS-grad, Married-civ-spouse, Farming-fishing, Own-child, White, Female,0,0,45, United-States, <=50K
42, Private, Bachelors, Never-married, Exec-managerial, Unmarried, White, Male,0,0,50, United-States, >50K
45, Self-emp-not-inc, Masters, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,45, United-States, >50K
29, Private, Doctorate, Never-married, Prof-specialty, Husband, White, Male,0,0,84, United-States, >50K
38, Private, HS-grad, Never-married, Sales, Not-in-family, White, Female,0,2700,50, Scotland, >50K
35, Local-gov, Bachelors, Married-civ-spouse, Farming-fishing, Husband, White, Male,0,0,40, England, <=50K
39, Federal-gov, Assoc-voc, Divorced, Prof-specialty, Unmarried, White, Female,0,0,40, United-States, <=50K
29, Self-emp-not-inc, HS-grad, Married-civ-spouse, Farming-fishing, Own-child, White, Male,0,0,60, United-States, <=50K
32, Private, Some-college, Married-civ-spouse, Sales, Husband, Black, Male,0,0,40, United-States, <=50K
62, Self-emp-not-inc, HS-grad, Divorced, Exec-managerial, Not-in-family, Amer-Indian-Eskimo, Male,0,0,40, United-States, <=50K
28, Self-emp-not-inc, Some-college, Never-married, Tech-support, Not-in-family, White, Female,0,0,20, United-States, <=50K
43, Self-emp-not-inc, Masters, Married-civ-spouse, Sales, Husband, White, Male,0,0,80, Mexico, <=50K
21, State-gov, Some-college, Never-married, Craft-repair, Not-in-family, White, Male,0,0,40, United-States, <=50K
40, Self-emp-not-inc, HS-grad, Married-civ-spouse, Craft-repair, Wife, White, Male,0,1902,50, United-States, >50K
37, Self-emp-not-inc, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,54, United-States, <=50K
37, Without-pay, Some-college, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,35, Taiwan, <=50K
24, Private, Bachelors, Divorced, Other-service, Not-in-family, White, Male,0,0,20, Laos, <=50K
49, Private, HS-grad, Married-civ-spouse, Protective-serv, Husband, White, Male,0,0,45, Puerto-Rico, <=50K
18, Private, Some-college, Never-married, Handlers-cleaners, Own-child, White, Male,0,0,30, United-States, <=50K
35, Self-emp-not-inc, HS-grad, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,50, United-States, <=50K
17, Private, 11th, Never-married, Other-service, Own-child, White, Male,0,0,15, United-States, <=50K
20, Private, Masters, Never-married, Prof-specialty, Not-in-family, White, Female,0,0,15, United-States, <=50K
30, Self-emp-not-inc, HS-grad, Never-married, Prof-specialty, Unmarried, White, Male,0,0,40, United-States, <=50K
51, Private, Masters, Married-civ-spouse, Transport-moving, Husband, Black, Male,0,0,54, United-States, <=50K
47, Private, Bachelors, Widowed, Machine-op-inspct, Not-in-family, Black, Male,0,0,40, United-States, <=50K
58, Self-emp-not-inc, HS-grad, Married-civ-spouse, Sales, Husband, Black, Male,0,0,20, Dominican-Republic, <=50K
19, Self-emp-inc, Some-college, Never-married, Other-service, Own-child, White, Male,0,0,16, United-States, <=50K
36, Private, Bachelors, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,43, United-States, <=50K
39, State-gov, HS-grad, Married-civ-spouse, Prof-specialty, Husband, Asian-Pac-Islander, Male,2244,0,40, United-States, <=50K
69, Private, Preschool, Widowed, Exec-managerial, Not-in-family, White, Female,0,0,40, United-States, <=50K
23, Local-gov, Assoc-voc, Married-civ-spouse, Handlers-cleaners, Own-child, White, Male,0,0,50, United-States, <=50K
17, Private, 11th, Never-married, Other-service, Own-child, Amer-Indian-Eskimo, Male,0,0,15, Philippines, <=50K
37, State-gov, Bachelors, Separated, Exec-managerial, Unmarried, White, Male,8975,0,50, United-States, <=50K
37, Private, 10th, Married-civ-spouse, Other-service, Husband, Black, Male,0,0,30, Poland, <=50K
52, Local-gov, HS-grad, Divorced, Tech-support, Unmarried, White, Female,0,0,35, United-States, <=50K
55, Private, Doctorate, Married-civ-spouse, Prof-specialty, Wife, White, Female,0,0,40, United-States, >50K
42, Self-emp-not-inc, Masters, Married-civ-spouse, Machine-op-inspct, Husband, Amer-Indian-Eskimo, Male,0,1884,40, United-States, >50K
37, Private, Bachelors, Never-married, Tech-support, Not-in-family, White, Male,0,0,40, United-States, <=50K
25, Private, Some-college, Never-married, Prof-specialty, Own-child, White, Male,0,0,15, Germany, <=50K
20, Private, HS-grad, Never-married, Handlers-cleaners, Own-child, White, Female,0,0,40, Trinadad&Tobago, <=50K
46, Private, Some-college, Divorced, Prof-specialty, Not-in-family, White, Female,0,0,54, United-States, <=50K
20, Private, HS-grad, Divorced, Craft-repair, Own-child, White, Male,0,0,35, United-States, >50K
35, Local-gov, 9th, Never-married, Exec-managerial, Not-in-family, White, Male,0,0,45, United-States, <=50K
23, Local-gov, Bachelors, Never-married, Adm-clerical, Not-in-family, Amer-Indian-Eskimo, Male,0,0,38, United-States, <=50K
56, Private, Some-college, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, United-States, <=50K
46, Private, Assoc-voc, Never-married, Prof-specialty, Unmarried, Black, Female,0,0,40, France, <=50K
45, State-gov, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, >50K
27, Self-emp-inc, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,1887,50, United-States, >50K
35, Private, Some-college, Married-civ-spouse, Farming-fishing, Husband, White, Male,0,1902,35, United-States, >50K
32, Self-emp-not-inc, Bachelors, Married-civ-spouse, Sales, Husband, White, Female,0,0,60, Hong, >50K
33, Private, HS-grad, Married-civ-spouse, Sales, Husband, White, Male,0,0,40, United-States, <=50K
20, Private, HS-grad, Never-married, Machine-op-inspct, Own-child, White, Male,0,0,40, United-States, <=50K
33, Self-emp-not-inc, HS-grad, Married-civ-spouse, Exec-managerial, Not-in-family, Amer-Indian-Eskimo, Female,0,0,70, United-States, <=50K
27, Private, Doctorate, Married-civ-spouse, Sales, Husband, White, Female,0,0,50, United-States, <=50K
62, Self-emp-not-inc, HS-grad, Widowed, Other-service, Not-in-family, Amer-Indian-Eskimo, Female,0,0,8, United-States, <=50K
57, Self-emp-not-inc, Some-college, Married-civ-spouse, Sales, Husband, Black, Male,0,0,40, United-States, <=50K
23, Private, Bachelors, Never-married, Prof-specialty, Not-in-family, White, Male,0,0,50, United-States, <=50K
21, Private, Some-college, Never-married, Sales, Own-child, Other, Male,0,0,40, United-States, <=50K
26, Private, Assoc-voc, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, Honduras, <=50K
41, Private, Some-college, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, <=50K
37, Private, Bachelors, Separated, Handlers-cleaners, Unmarried, White, Female,0,0,40, United-States, <=50K
22, Private, HS-grad, Never-married, Craft-repair, Not-in-family, Black, Male,2159,0,40, United-States, <=50K
30, State-gov, HS-grad, Never-married, Farming-fishing, Unmarried, White, Female,0,0,40, United-States, <=50K
20, Private, 11th, Never-married, Sales, Unmarried, White, Female,0,0,35, United-States, <=50K
43, Private, Doctorate, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, >50K
26, Private, Some-college, Never-married, Adm-clerical, Own-child, Asian-Pac-Islander, Female,0,0,40, United-States, <=50K
66, Private, HS-grad, Divorced, Adm-clerical, Unmarried, White, Female,0,2461,40, Italy, <=50K
60, Private, HS-grad, Never-married, Sales, Not-in-family, White, Male,0,0,40, United-States, >50K
66, Private, Bachelors, Married-civ-spouse, Tech-support, Husband, White, Male,10574,0,24, United-States, >50K
24, Private, 11th, Married-civ-spouse, Handlers-cleaners, Own-child, White, Male,0,0,50, United-States, <=50K
25, Private, Bachelors, Never-married, Exec-managerial, Not-in-family, White, Male,0,0,60, United-States, <=50K
56, Private, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,45, United-States, >50K
31, Private, HS-grad, Never-married, Craft-repair, Unmarried, Black, Male,3913,0,40, United-States, >50K
49, Self-emp-not-inc, Some-college, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, Trinadad&Tobago, <=50K
34, Private, Some-college, Separated, Sales, Not-in-family, White, Male,0,0,40, Mexico, <=50K
35, Local-gov, Assoc-acdm, Never-married, Adm-clerical, Unmarried, Other, Male,0,0,35, United-States, <=50K
29, Private, Bachelors, Never-married, Prof-specialty, Not-in-family, White, Male,0,0,37, United-States, <=50K
40, Local-gov, Some-college, Never-married, Adm-clerical, Wife, White, Female,0,0,35, United-States, >50K
41, Private, Some-college, Never-married, Transport-moving, Not-in-family, White, Male,0,0,25, United-States, <=50K
32, Private, Some-college, Married-civ-spouse, Craft-repair, Husband, Amer-Indian-Eskimo, Male,0,0,40, United-States, >50K
38, Private, Some-college, Married-civ-spouse, Sales, Husband, Asian-Pac-Islander, Male,0,0,40, United-States, >50K
22, Private, Bachelors, Never-married, Handlers-cleaners, Own-child, White, Female,0,0,40, Italy, <=50K
61, Private, Some-college, Married-civ-spouse, Prof-specialty, Husband, Asian-Pac-Islander, Male,0,0,20, United-States, >50K
21, Local-gov, Bachelors, Married-civ-spouse, Sales, Husband, White, Male,0,0,45, United-States, >50K
19, Private, 10th, Never-married, Craft-repair, Own-child, Other, Male,0,0,15, United-States, <=50K
39, Private, Some-college, Never-married, Protective-serv, Not-in-family, White, Male,0,0,40, United-States, <=50K
24, Private, HS-grad, Never-married, Transport-moving, Wife, White, Male,0,0,40, United-States, <=50K
21, State-gov, HS-grad, Never-married, Transport-moving, Not-in-family, White, Male,0,0,35, Vietnam, <=50K
27, Private, HS-grad, Never-married, Craft-repair, Not-in-family, Black, Male,0,0,45, Cuba, <=50K
45, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, Other, Male,0,0,40, United-States, <=50K
49, Private, Bachelors, Divorced, Craft-repair, Not-in-family, White, Male,2244,0,40, United-States, <=50K
37, Private, Some-college, Divorced, Sales, Not-in-family, White, Male,0,0,40, United-States, <=50K
35, Self-emp-inc, Masters, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,50, Germany, >50K
57, Self-emp-not-inc, Some-college, Married-civ-spouse, Farming-fishing, Husband, White, Male,0,0,70, United-States, <=50K
36, Private, Some-college, Married-spouse-absent, Handlers-cleaners, Not-in-family, White, Male,0,0,40, United-States, <=50K
29, Private, Bachelors, Never-married, Craft-repair, Not-in-family, White, Male,0,0,54, United-States, <=50K
20, Private, HS-grad, Never-married, Handlers-cleaners, Own-child, Black, Male,0,0,24, United-States, <=50K
70, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,30, United-States, >50K
27, Self-emp-not-inc, Assoc-voc, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,50, United-States, <=50K
20, Private, HS-grad, Married-civ-spouse, Exec-managerial, Own-child, White, Male,0,0,40, United-States, <=50K
26, Private, HS-grad, Never-married, Prof-specialty, Not-in-family, White, Female,0,0,35, Yugoslavia, <=50K
28, Private, HS-grad, Married-civ-spouse, Other-service, Husband, White, Male,0,0,40, United-States, <=50K
20, Private, Some-college, Never-married, Sales, Own-child, White, Male,0,0,45, Cambodia, >50K
23, Self-emp-not-inc, HS-grad, Married-civ-spouse, Sales, Husband, White, Male,0,0,40, United-States, <=50K
32, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,54, United-States, >50K
23, Local-gov, Some-college, Married-civ-spouse, Sales, Own-child, White, Male,0,0,40, United-States, <=50K
49, Private, Some-college, Separated, Sales, Wife, Black, Male,0,0,40, United-States, <=50K
36, Private, HS-grad, Divorced, Craft-repair, Not-in-family, White, Male,0,0,50, Cuba, <=50K
20, Private, Bachelors, Married-civ-spouse, Craft-repair, Other-relative, White, Male,0,0,30, United-States, <=50K
32, Private, Some-college, Married-civ-spouse, Exec-managerial, Own-child, White, Male,4964,0,60, United-States, >50K
37, Private, HS-grad, Married-civ-spouse, Craft-repair, Wife, White, Male,0,0,40, United-States, <=50K
54, Private, 9th, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,70, Italy, <=50K
38, State-gov, Some-college, Married-civ-spouse, Prof-specialty, Husband, White, Male,5178,0,40, United-States, >50K
53, Private, Some-college, Widowed, Sales, Wife, Other, Male,0,0,40, United-States, <=50K
33, Federal-gov, HS-grad, Married-civ-spouse, Farming-fishing, Husband, White, Male,0,0,40, Cambodia, <=50K
46, Private, Masters, Married-civ-spouse, Craft-repair, Husband, White, Male,3368,0,50, United-States, >50K
38, Self-emp-not-inc, 5th-6th, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,35, United-States, <=50K
21, Private, Some-college, Never-married, Prof-specialty, Own-child, White, Female,0,0,12, Thailand, >50K
44, Private, Assoc-voc, Married-civ-spouse, Prof-specialty, Wife, White, Male,0,0,50, United-States, <=50K
25, Private, Bachelors, Married-civ-spouse, Farming-fishing, Wife, White, Female,0,0,74, United-States, >50K
24, Private, HS-grad, Never-married, Craft-repair, Own-child, Amer-Indian-Eskimo, Male,0,0,40, United-States, <=50K
30, Private, HS-grad, Never-married, Adm-clerical, Not-in-family, White, Male,0,0,40, United-States, <=50K
20, Private, HS-grad, Never-married, Transport-moving, Own-child, White, Male,0,0,40, United-States, <=50K
34, Private, Assoc-acdm, Married-civ-spouse, Prof-specialty, Husband, White, Female,0,0,54, United-States, >50K
35, Private, HS-grad, Married-civ-spouse, Sales, Husband, White, Female,0,0,50, El-Salvador, <=50K
22, Private, Bachelors, Married-civ-spouse, Craft-repair, Own-child, White, Male,0,0,40, United-States, <=50K
17, Private, 10th, Never-married, Other-service, Own-child, White, Male,0,0,25, United-States, <=50K
20, Private, Assoc-voc, Never-married, Handlers-cleaners, Own-child, Other, Male,0,0,30, United-States, <=50K
44, Self-emp-not-inc, HS-grad, Divorced, Prof-specialty, Not-in-family, White, Male,0,0,48, United-States, <=50K
34, Private, Some-college, Never-married, Other-service, Unmarried, White, Male,0,0,30, United-States, <=50K
43, Private, Assoc-voc, Divorced, Other-service, Not-in-family, Asian-Pac-Islander, Female,0,0,40, United-States, <=50K
23, State-gov, HS-grad, Never-married, Handlers-cleaners, Own-child, White, Male,0,0,30, United-States, <=50K
54, Self-emp-not-inc, Bachelors, Separated, Sales, Husband, Black, Male,0,0,60, United-States, <=50K
29, Private, 9th, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,50, Germany, >50K
29, Private, Bachelors, Married-civ-spouse, Tech-support, Husband, White, Male,0,0,40, United-States, <=50K
21, Private, 11th, Never-married, Prof-specialty, Own-child, White, Male,0,0,16, United-States, <=50K
46, Local-gov, Some-college, Divorced, Prof-specialty, Other-relative, White, Female,0,1740,32, United-States, <=50K
48, Private, Some-college, Divorced, Exec-managerial, Wife, White, Female,0,0,35, Poland, >50K
60, Self-emp-not-inc, Doctorate, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,50, United-States, <=50K
44, Self-emp-not-inc, HS-grad, Divorced, Machine-op-inspct, Not-in-family, White, Male,0,0,40, United-States, >50K
44, Private, Assoc-voc, Married-civ-spouse, Machine-op-inspct, Husband, White, Female,0,0,40, United-States, >50K
31, Self-emp-not-inc, Prof-school, Divorced, Farming-fishing, Not-in-family, White, Male,0,0,99, United-States, <=50K
27, Private, Bachelors, Married-civ-spouse, Craft-repair, Own-child, Asian-Pac-Islander, Male,0,0,40, United-States, <=50K
52, Private, Assoc-voc, Divorced, Adm-clerical, Not-in-family, Black, Male,0,0,40, United-States, <=50K
20, Private, Some-college, Never-married, Craft-repair, Own-child, White, Female,0,0,40, United-States, <=50K
31, Private, Bachelors, Married-civ-spouse, Exec-managerial, Wife, White, Male,0,0,40, United-States, >50K
53, Private, Bachelors, Married-civ-spouse, Craft-repair, Husband, White, Male,15024,0,40, Cuba, >50K
29, Private, 10th, Never-married, Other-service, Own-child, White, Female,0,0,25, United-States, <=50K
31, Private, HS-grad, Divorced, Sales, Not-in-family, White, Male,0,0,40, United-States, <=50K
27, Local-gov, HS-grad, Never-married, Other-service, Not-in-family, White, Female,0,0,40, Germany, <=50K
34, Private, HS-grad, Never-married, Transport-moving, Not-in-family, Other, Male,0,0,54, United-States, <=50K
51, Private, Masters, Married-civ-spouse, Exec-managerial, Husband, White, Female,0,0,45, United-States, >50K
20, Private, Bachelors, Never-married, Other-service, Own-child, White, Male,0,0,30, United-States, <=50K
34, Private, Bachelors, Married-civ-spouse, Prof-specialty, Wife, White, Male,0,0,40, United-States, >50K
21, Private, Some-college, Divorced, Sales, Unmarried, Black, Female,0,0,35, Ireland, <=50K
30, Private, HS-grad, Never-married, Machine-op-inspct, Own-child, White, Male,0,0,40, United-States, <=50K
56, Private, Bachelors, Married-civ-spouse, Sales, Own-child, White, Female,0,0,40, United-States, >50K
47, Self-emp-not-inc, HS-grad, Divorced, Prof-specialty, Not-in-family, White, Female,0,0,54, United-States, <=50K
40, Private, Assoc-voc, Never-married, Exec-managerial, Not-in-family, Black, Female,0,0,40, Iran, >50K
21, Private, Some-college, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, Canada, <=50K
53, Local-gov, Bachelors, Married-civ-spouse, Adm-clerical, Wife, White, Male,0,0,40, United-States, <=50K
23, Private, HS-grad, Never-married, Other-service, Not-in-family, White, Male,0,0,14, United-States, <=50K
25, Private, HS-grad, Never-married, Handlers-cleaners, Other-relative, White, Male,0,0,40, United-States, <=50K
40, Federal-gov, Assoc-voc, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,50, United-States, >50K
38, Self-emp-inc, Prof-school, Married-civ-spouse, Sales, Husband, White, Male,99999,0,65, United-States, >50K
34, Private, Some-college, Divorced, Prof-specialty, Unmarried, Other, Female,0,0,40, India, <=50K
