49, Self-emp-not-inc, HS-grad, Married-civ-spouse, Exec-managerial, Wife, Asian-Pac-Islander, Male,0,1966,45, United-States, >50K
79, Private, 7th-8th, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,7, United-States, <=50K
59, Private, HS-grad, Widowed, Craft-repair, Not-in-family, White, Male,0,0,45, Guatemala, <=50K
90, Self-emp-not-inc, Masters, Married-civ-spouse, Farming-fishing, Husband, White, Male,7687,0,15, United-States, >50K
40, State-gov, Some-college, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,50, United-States, >50K
33, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, <=50K
35, Local-gov, Some-college, Married-civ-spouse, Tech-support, Husband, White, Male,0,0,30, United-States, >50K
67, Self-emp-not-inc, Some-college, Married-civ-spouse, Prof-specialty, Husband, White, Male,20553,0,54, United-States, >50K
49, Private, Some-college, Divorced, Craft-repair, Not-in-family, White, Female,0,0,45, United-States, <=50K
47, Private, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Male,15024,0,40, United-States, >50K
43, State-gov, HS-grad, Separated, Other-service, Unmarried, Black, Female,0,0,35, United-States, <=50K
42, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, United-States, <=50K
44, Private, HS-grad, Divorced, Other-service, Unmarried, White, Female,0,0,40, United-States, <=50K
29, Local-gov, Bachelors, Never-married, Adm-clerical, Own-child, White, Male,0,0,50, United-States, <=50K
43, Private, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Male,3103,0,38, United-States, >50K
38, Private, Some-college, Divorced, Prof-specialty, Unmarried, Black, Female,0,0,40, United-States, <=50K
21, Private, Assoc-voc, Never-married, Handlers-cleaners, Husband, White, Male,0,0,48, United-States, <=50K
42, Private, Assoc-voc, Married-civ-spouse, Prof-specialty, Not-in-family, White, Male,0,0,40, United-States, >50K
24, Local-gov, 7th-8th, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,0,0,40, United-States, <=50K
22, Local-gov, Bachelors, Never-married, Other-service, Not-in-family, White, Female,0,0,40, United-States, <=50K
23, Local-gov, HS-grad, Separated, Handlers-cleaners, Not-in-family, Black, Male,0,0,40, United-States, <=50K
17, Private, 10th, Never-married, Other-service, Own-child, White, Female,0,0,20, United-States, <=50K
64, Self-emp-not-inc, HS-grad, Married-civ-spouse, Sales, Husband, White, Male,0,0,40, United-States, <=50K
41, Private, Some-college, Divorced, Adm-clerical, Not-in-family, White, Female,0,0,40, Vietnam, <=50K
34, Private, Assoc-voc, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,42, Puerto-Rico, <=50K
28, Private, HS-grad, Married-civ-spouse, Exec-managerial, Not-in-family, White, Female,0,0,40, United-States, <=50K
39, Self-emp-not-inc, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,45, United-States, >50K
49, Private, Some-college, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,30, United-States, <=50K
63, State-gov, Masters, Married-civ-spouse, Adm-clerical, Not-in-family, White, Male,17294,0,40, United-States, >50K
26, Self-emp-not-inc, 10th, Married-civ-spouse, Tech-support, Husband, White, Male,0,0,60, United-States, <=50K
21, Private, Prof-school, Married-civ-spouse, Handlers-cleaners, Other-relative, White, Male,0,0,27, United-States, <=50K
29, Private, Masters, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,60, United-States, >50K
20, Private, Some-college, Never-married, Craft-repair, Own-child, White, Male,0,0,45, United-States, <=50K
40, Private, 5th-6th, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, United-States, >50K
19, Private, Some-college, Never-married, Sales, Own-child, White, Male,0,0,34, Mexico, <=50K
44, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, Yugoslavia, >50K
31, Private, Some-college, Never-married, Prof-specialty, Other-relative, Black, Female,0,0,20, United-States, <=50K
33, Private, Prof-school, Married-civ-spouse, Prof-specialty, Husband, Other, Male,0,0,60, United-States, <=50K
35, Private, HS-grad, Divorced, Machine-op-inspct, Unmarried, White, Male,0,0,40, United-States, <=50K
58, Private, Prof-school, Divorced, Transport-moving, Not-in-family, White, Female,0,0,50, United-States, <=50K
38, Private, Assoc-voc, Separated, Exec-managerial, Not-in-family, White, Female,0,0,50, United-States, <=50K
73, Federal-gov, Some-college, Widowed, Adm-clerical, Wife, White, Female,0,0,6, United-States, <=50K
67, Private, 7th-8th, Separated, Adm-clerical, Husband, White, Male,2553,0,40, United-States, <=50K
78, Private, HS-grad, Separated, Priv-house-serv, Not-in-family, White, Female,0,0,35, United-States, <=50K
27, Private, Bachelors, Never-married, Prof-specialty, Not-in-family, White, Female,0,0,40, United-States, <=50K
53, Self-emp-not-inc, Some-college, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,45, United-States, >50K
45, Self-emp-inc, Masters, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,60, United-States, >50K
63, Local-gov, 1st-4th, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, United-States, <=50K
35, Private, Bachelors, Married-civ-spouse, Craft-repair, Wife, White, Male,0,0,44, United-States, >50K
60, Private, Bachelors, Married-civ-spouse, Exec-managerial, Wife, White, Female,15024,0,38, United-States, >50K
34, Private, Bachelors, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, <=50K
21, Private, HS-grad, Never-married, Tech-support, Own-child, Black, Female,0,0,38, United-States, <=50K
24, Private, HS-grad, Never-married, Sales, Husband, Asian-Pac-Islander, Male,0,0,54, United-States, <=50K
31, Private, Assoc-acdm, Never-married, Adm-clerical, Wife, White, Female,2348,0,15, United-States, >50K
39, Private, Assoc-acdm, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,70, Philippines, <=50K
32, Private, Some-college, Never-married, Exec-managerial, Wife, White, Male,0,0,40, United-States, >50K
23, Private, HS-grad, Never-married, Craft-repair, Not-in-family, White, Male,0,0,45, United-States, <=50K
35, Private, Masters, Married-civ-spouse, Exec-managerial, Wife, White, Female,0,0,65, United-States, >50K
40, Private, HS-grad, Divorced, Craft-repair, Own-child, Black, Male,0,0,54, United-States, <=50K
35, Self-emp-inc, Bachelors, Never-married, Prof-specialty, Not-in-family, White, Male,0,0,55, United-States, >50K
46, Private, HS-grad, Divorced, Sales, Unmarried, White, Female,0,0,40, Puerto-Rico, <=50K
21, Private, HS-grad, Never-married, Adm-clerical, Unmarried, Black, Female,0,0,40, Mexico, <=50K
45, Private, Some-college, Never-married, Exec-managerial, Wife, White, Male,0,0,54, United-States, <=50K
21, Private, Some-college, Never-married, Craft-repair, Own-child, White, Male,0,1591,20, United-States, <=50K
31, Private, HS-grad, Married-civ-spouse, Tech-support, Husband, White, Male,0,0,45, United-States, >50K
34, State-gov, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,50, United-States, <=50K
29, Private, Masters, Never-married, Prof-specialty, Not-in-family, Black, Female,0,0,40, United-States, <=50K
25, Private, Some-college, Never-married, Sales, Wife, White, Female,0,0,20, Puerto-Rico, <=50K
47, Self-emp-not-inc, Masters, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,50, United-States, >50K
42, Private, HS-grad, Divorced, Handlers-cleaners, Wife, White, Female,0,0,40, United-States, <=50K
32, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,66, United-States, <=50K
33, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, <=50K
40, Private, Doctorate, Married-civ-spouse, Prof-specialty, Husband, White, Male,7298,0,60, United-States, >50K
38, Private, HS-grad, Never-married, Tech-support, Not-in-family, White, Female,0,0,40, United-States, <=50K
44, Local-gov, Assoc-acdm, Married-civ-spouse, Other-service, Not-in-family, White, Male,0,0,40, Poland, >50K
29, Federal-gov, Assoc-voc, Married-civ-spouse, Prof-specialty, Wife, White, Female,0,0,40, United-States, <=50K
25, Private, Masters, Never-married, Handlers-cleaners, Wife, White, Female,0,0,40, United-States, <=50K
26, Private, Some-college, Never-married, Sales, Own-child, Black, Male,3436,0,40, United-States, <=50K
40, Private, HS-grad, Divorced, Craft-repair, Own-child, Amer-Indian-Eskimo, Male,0,0,40, United-States, <=50K
50, State-gov, Some-college, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,40, United-States, >50K
41, Private, Masters, Separated, Sales, Not-in-family, White, Female,0,0,54, United-States, <=50K
45, State-gov, Some-college, Married-civ-spouse, Exec-managerial, Not-in-family, White, Male,0,0,40, United-States, <=50K
22, Private, Some-college, Never-married, Adm-clerical, Unmarried, White, Female,0,0,50, United-States, >50K
26, Self-emp-not-inc, Some-college, Married-spouse-absent, Craft-repair, Husband, White, Male,0,0,38, United-States, <=50K
38, State-gov, Some-college, Separated, Protective-serv, Husband, White, Male,0,0,76, United-States, <=50K
31, Private, Bachelors, Divorced, Other-service, Not-in-family, White, Female,0,0,20, United-States, <=50K
43, Private, Masters, Married-civ-spouse, Sales, Husband, White, Male,0,0,50, United-States, <=50K
37, Private, Some-college, Divorced, Craft-repair, Not-in-family, White, Male,0,0,40, United-States, <=50K
56, Private, Masters, Married-civ-spouse, Other-service, Not-in-family, White, Male,0,0,35, United-States, <=50K
61, Private, Some-college, Separated, Farming-fishing, Husband, White, Male,0,0,32, United-States, <=50K
53, Private, HS-grad, Married-civ-spouse, Protective-serv, Husband, White, Male,0,0,40, United-States, <=50K
46, Self-emp-not-inc, Some-college, Married-civ-spouse, Prof-specialty, Not-in-family, White, Male,0,0,54, United-States, <=50K
28, Private, Masters, Married-civ-spouse, Transport-moving, Not-in-family, White, Male,0,0,60, United-States, <=50K
90, Private, 5th-6th, Widowed, Prof-specialty, Husband, White, Male,0,0,24, United-States, >50K
51, Private, Masters, Married-civ-spouse, Sales, Husband, White, Male,0,0,40, Mexico, <=50K
43, State-gov, Bachelors, Married-civ-spouse, Prof-specialty, Wife, White, Male,0,0,40, United-States, >50K
55, Private, Bachelors, Married-civ-spouse, Craft-repair, Husband, White, Male,4915,0,40, United-States, >50K
70, State-gov, Masters, Widowed, Prof-specialty, Not-in-family, Black, Female,0,0,45, United-States, <=50K
21, Private, Some-college, Never-married, Craft-repair, Own-child, White, Male,0,0,40, United-States, <=50K
43, Federal-gov, Assoc-acdm, Married-civ-spouse, Prof-specialty, Not-in-family, White, Male,0,0,60, United-States, >50K
20, Private, Some-college, Never-married, Farming-fishing, Own-child, Black, Female,0,0,20, United-States, <=50K
33, State-gov, HS-grad, Married-spouse-absent, Craft-repair, Husband, White, Male,0,0,40, United-States, <=50K
30, Private, 10th, Divorced, Other-service, Unmarried, Black, Female,0,0,35, United-States, <=50K
44, Local-gov, Masters, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,40, United-States, >50K
49, Private, HS-grad, Married-civ-spouse, Prof-specialty, Wife, White, Female,0,0,36, United-States, >50K
33, Private, HS-grad, Separated, Craft-repair, Not-in-family, Black, Male,0,0,40, United-States, <=50K
22, Private, HS-grad, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,40, United-States, <=50K
41, Private, HS-grad, Married-civ-spouse, Farming-fishing, Husband, White, Male,0,0,40, Mexico, <=50K
25, Private, Bachelors, Never-married, Prof-specialty, Not-in-family, White, Female,0,0,10, United-States, <=50K
51, Private, Some-college, Married-civ-spouse, Other-service, Husband, White, Male,0,0,40, United-States, <=50K
63, Private, HS-grad, Divorced, Craft-repair, Husband, White, Male,0,0,50, United-States, >50K
22, Local-gov, 11th, Never-married, Handlers-cleaners, Own-child, White, Male,0,0,38, United-States, <=50K
17, Private, 10th, Never-married, Adm-clerical, Own-child, White, Male,0,0,20, United-States, <=50K
54, Private, Some-college, Married-civ-spouse, Prof-specialty, Husband, White, Female,0,0,10, United-States, <=50K
56, Private, Assoc-acdm, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,50, United-States, <=50K
31, Self-emp-not-inc, HS-grad, Never-married, Adm-clerical, Not-in-family, White, Female,0,0,40, United-States, <=50K
33, Self-emp-inc, Bachelors, Divorced, Adm-clerical, Not-in-family, White, Female,0,0,40, United-States, <=50K
47, Private, Prof-school, Divorced, Craft-repair, Husband, White, Male,0,0,40, United-States, <=50K
44, Self-emp-not-inc, HS-grad, Married-civ-spouse, Sales, Husband, White, Male,0,0,45, United-States, >50K
68, Local-gov, HS-grad, Separated, Sales, Not-in-family, White, Female,0,0,20, United-States, <=50K
36, Private, Bachelors, Divorced, Other-service, Not-in-family, White, Female,0,0,40, United-States, <=50K
29, Self-emp-inc, HS-grad, Married-civ-spouse, Craft-repair, Husband, Asian-Pac-Islander, Male,0,0,40, United-States, <=50K
56, Private, HS-grad, Married-civ-spouse, Sales, Husband, White, Male,0,0,50, United-States, <=50K
18, Private, HS-grad, Never-married, Handlers-cleaners, Own-child, Asian-Pac-Islander, Female,0,0,38, United-States, <=50K
35, Self-emp-not-inc, Some-college, Married-civ-spouse, Sales, Husband, White, Male,0,1902,45, United-States, >50K
32, Private, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, United-States, >50K
52, Private, Prof-school, Married-civ-spouse, Tech-support, Husband, White, Male,0,0,80, United-States, >50K
52, Private, Assoc-acdm, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, United-States, >50K
50, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, <=50K
56, Private, 9th, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,38, United-States, >50K
20, Private, Some-college, Never-married, Adm-clerical, Own-child, Black, Female,0,0,16, United-States, <=50K
65, State-gov, HS-grad, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, United-States, >50K
58, Private, 7th-8th, Married-civ-spouse, Transport-moving, Not-in-family, White, Male,0,0,40, United-States, <=50K
34, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,50, United-States, <=50K
28, Private, Masters, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, <=50K
19, Private, HS-grad, Never-married, Craft-repair, Own-child, White, Male,0,0,34, United-States, <=50K
58, Private, HS-grad, Widowed, Prof-specialty, Unmarried, White, Male,0,0,30, United-States, <=50K
26, Private, HS-grad, Separated, Transport-moving, Unmarried, White, Male,0,0,40, United-States, <=50K
29, Private, 10th, Never-married, Other-service, Unmarried, White, Male,0,0,32, United-States, <=50K
42, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,50, United-States, <=50K
41, Private, HS-grad, Divorced, Machine-op-inspct, Husband, White, Male,0,0,40, United-States, <=50K
43, Self-emp-not-inc, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,60, United-States, >50K
24, Self-emp-not-inc, Some-college, Never-married, Craft-repair, Own-child, White, Male,0,0,30, United-States, <=50K
78, Private, Some-college, Widowed, Sales, Husband, White, Male,3168,0,20, United-States, <=50K
63, Federal-gov, 11th, Widowed, Adm-clerical, Wife, White, Male,0,0,40, United-States, <=50K
38, Private, Bachelors, Married-civ-spouse, Prof-specialty, Not-in-family, White, Male,0,0,50, United-States, >50K
33, Private, HS-grad, Divorced, Adm-clerical, Unmarried, White, Female,0,0,40, United-States, <=50K
35, Private, Some-college, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,40, United-States, <=50K
49, Private, Some-college, Separated, Exec-managerial, Not-in-family, Amer-Indian-Eskimo, Female,0,0,60, United-States, <=50K
19, Private, Some-college, Never-married, Sales, Own-child, Black, Male,0,0,40, United-States, <=50K
22, Private, Bachelors, Never-married, Other-service, Not-in-family, White, Female,0,1881,35, United-States, <=50K
66, Private, Some-college, Widowed, Other-service, Not-in-family, Black, Female,0,0,35, United-States, <=50K
24, Federal-gov, HS-grad, Never-married, Sales, Own-child, White, Male,0,0,40, United-States, <=50K
53, Local-gov, 5th-6th, Never-married, Adm-clerical, Not-in-family, White, Female,0,0,40, United-States, <=50K
48, Private, Some-college, Separated, Prof-specialty, Not-in-family, White, Female,0,0,40, United-States, >50K
23, Private, Some-college, Never-married, Tech-support, Unmarried, White, Female,0,0,35, United-States, <=50K
43, State-gov, Bachelors, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,59, United-States, >50K
64, Self-emp-not-inc, HS-grad, Never-married, Exec-managerial, Husband, White, Male,0,0,35, Italy, <=50K
45, Private, Bachelors, Divorced, Exec-managerial, Husband, White, Male,15024,0,50, United-States, >50K
21, Private, HS-grad, Never-married, Craft-repair, Own-child, White, Male,0,0,30, United-States, <=50K
52, Private, Some-college, Married-civ-spouse, Tech-support, Husband, White, Male,0,0,40, United-States, <=50K
33, Private, Some-college, Married-civ-spouse, Sales, Not-in-family, White, Female,0,0,50, United-States, <=50K
38, Private, Some-college, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, United-States, <=50K
31, Private, Some-college, Never-married, Handlers-cleaners, Not-in-family, White, Male,0,0,40, United-States, <=50K
34, Private, Bachelors, Married-spouse-absent, Exec-managerial, Husband, White, Male,0,0,70, United-States, >50K
64, Private, Masters, Widowed, Handlers-cleaners, Not-in-family, White, Male,0,0,40, United-States, <=50K
20, Private, HS-grad, Never-married, Exec-managerial, Own-child, White, Male,0,0,50, United-States, <=50K
45, Self-emp-not-inc, Assoc-acdm, Married-civ-spouse, Craft-repair, Husband, White, Male,4041,0,40, United-States, <=50K
56, Private, Assoc-voc, Married-civ-spouse, Exec-managerial, Not-in-family, White, Male,0,0,40, United-States, >50K
41, Private, Doctorate, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,1977,40, Yugoslavia, >50K
66, Private, Assoc-voc, Separated, Other-service, Not-in-family, White, Female,0,0,40, United-States, <=50K
36, Private, Some-college, Married-civ-spouse, Tech-support, Husband, White, Male,0,0,40, China, <=50K
63, Self-emp-not-inc, HS-grad, Married-civ-spouse, Transport-moving, Husband, White, Male,0,1902,99, United-States, >50K
27, Private, Bachelors, Never-married, Exec-managerial, Not-in-family, White, Female,0,0,50, United-States, <=50K
44, Local-gov, Some-college, Divorced, Sales, Not-in-family, White, Male,0,0,40, United-States, <=50K
24, Private, Some-college, Never-married, Tech-support, Unmarried, White, Male,0,0,40, United-States, <=50K
55, Private, Bachelors, Divorced, Adm-clerical, Not-in-family, White, Male,0,0,60, Jamaica, <=50K
46, Private, Bachelors, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, >50K
40, Private, Some-college, Married-civ-spouse, Exec-managerial, Not-in-family, White, Male,7687,0,45, United-States, >50K
34, Private, HS-grad, Married-civ-spouse, Craft-repair, Not-in-family, White, Male,0,0,45, United-States, <=50K
44, Private, 5th-6th, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, <=50K
43, State-gov, Some-college, Divorced, Machine-op-inspct, Not-in-family, White, Male,0,0,40, United-States, <=50K
45, Private, Some-college, Separated, Sales, Wife, White, Female,0,0,14, United-States, <=50K
36, Federal-gov, Some-college, Never-married, Other-service, Own-child, White, Male,0,0,40, Columbia, <=50K
20, Private, Some-college, Never-married, Adm-clerical, Own-child, White, Male,0,0,20, United-States, <=50K
17, Private, 10th, Never-married, Handlers-cleaners, Own-child, White, Female,0,0,18, United-States, <=50K
33, Private, Masters, Divorced, Prof-specialty, Unmarried, White, Female,0,0,40, United-States, >50K
26, Private, Assoc-voc, Never-married, Prof-specialty, Wife, White, Female,0,0,40, United-States, <=50K
17, Private, 10th, Never-married, Other-service, Own-child, White, Female,0,0,15, United-States, <=50K
61, Local-gov, HS-grad, Widowed, Adm-clerical, Not-in-family, Asian-Pac-Islander, Female,0,2006,40, United-States, <=50K
28, Private, Some-college, Married-civ-spouse, Adm-clerical, Husband, White, Male,0,0,40, United-States, <=50K
27, Private, HS-grad, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,40, United-States, <=50K
49, Private, 5th-6th, Married-civ-spouse, Other-service, Not-in-family, White, Female,0,0,40, United-States, <=50K
55, Private, HS-grad, Married-civ-spouse, Sales, Husband, White, Male,0,0,40, Philippines, >50K
24, Private, Bachelors, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, <=50K
36, Private, Assoc-voc, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, United-States, >50K
22, Private, Bachelors, Never-married, Craft-repair, Not-in-family, White, Male,0,0,40, United-States, <=50K
42, Self-emp-not-inc, Prof-school, Married-civ-spouse, Prof-specialty, Husband, White, Male,99999,0,40, United-States, >50K
33, Private, Some-college, Married-civ-spouse, Prof-specialty, Not-in-family, White, Male,0,0,50, United-States, >50K
42, Private, Assoc-voc, Married-civ-spouse, Craft-repair, Not-in-family, Black, Female,0,1887,40, United-States, <=50K
55, State-gov, Doctorate, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, United-States, >50K
31, Self-emp-inc, Bachelors, Separated, Prof-specialty, Not-in-family, White, Male,0,0,65, United-States, >50K
73, Local-gov, 10th, Never-married, Farming-fishing, Not-in-family, White, Female,0,0,15, United-States, <=50K
53, Private, HS-grad, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,50, United-States, <=50K
36, Private, 7th-8th, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,50, United-States, <=50K
17, Private, 12th, Never-married, Prof-specialty, Own-child, White, Male,0,0,25, United-States, <=50K
53, Private, Some-college, Divorced, Craft-repair, Unmarried, White, Male,0,0,40, United-States, <=50K
58, Self-emp-not-inc, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,44, United-States, >50K
31, Self-emp-inc, HS-grad, Married-civ-spouse, Exec-managerial, Husband, White, Male,8686,0,50, United-States, >50K
57, Private, Assoc-acdm, Separated, Other-service, Unmarried, White, Female,0,0,40, United-States, <=50K
64, Self-emp-inc, HS-grad, Divorced, Adm-clerical, Unmarried, White, Female,0,0,40, United-States, <=50K
73, Private, Assoc-acdm, Widowed, Adm-clerical, Wife, Black, Female,0,0,35, United-States, <=50K
54, Private, Assoc-voc, Married-civ-spouse, Craft-repair, Husband, White, Male,5006,0,40, United-States, <=50K
38, Private, Masters, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,50, United-States, <=50K
46, Private, HS-grad, Married-civ-spouse, Craft-repair, Not-in-family, White, Male,0,0,32, United-States, <=50K
36, Private, HS-grad, Never-married, Craft-repair, Husband, White, Male,0,1902,45, Japan, <=50K
50, Private, 10th, Divorced, Exec-managerial, Unmarried, White, Female,0,0,48, United-States, <=50K
40, Private, HS-grad, Married-civ-spouse, Sales, Husband, White, Male,0,0,60, United-States, >50K
44, Federal-gov, HS-grad, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,40, Philippines, <=50K
24, Private, Some-college, Never-married, Sales, Not-in-family, White, Female,0,1902,40, United-States, <=50K
60, Private, Masters, Married-civ-spouse, Exec-managerial, Not-in-family, White, Female,0,0,40, United-States, <=50K
28, Private, Bachelors, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,0,0,54, United-States, <=50K
62, Private, Bachelors, Married-civ-spouse, Priv-house-serv, Wife, White, Male,10369,0,40, United-States, >50K
20, Private, Some-college, Divorced, Tech-support, Own-child, White, Female,0,0,16, United-States, <=50K
53, Private, HS-grad, Separated, Other-service, Unmarried, White, Female,0,0,32, United-States, <=50K
27, Private, Doctorate, Married-civ-spouse, Sales, Husband, White, Male,0,0,40, United-States, >50K
48, Self-emp-not-inc, Bachelors, Married-civ-spouse, Prof-specialty, Wife, White, Female,0,0,24, United-States, >50K
45, Self-emp-inc, Assoc-acdm, Married-civ-spouse, Exec-managerial, Not-in-family, White, Female,0,0,40, United-States, >50K
28, Private, Some-college, Married-civ-spouse, Craft-repair, Not-in-family, White, Female,0,0,54, Ecuador, >50K
46, Local-gov, HS-grad, Married-spouse-absent, Adm-clerical, Wife, White, Male,0,0,40, United-States, <=50K
38, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, United-States, <=50K
36, Self-emp-inc, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,50, United-States, <=50K
30, Federal-gov, Bachelors, Never-married, Prof-specialty, Husband, White, Male,99999,0,70, United-States, >50K
43, Private, Some-college, Never-married, Sales, Wife, White, Male,0,0,60, United-States, <=50K
41, Self-emp-inc, Some-college, Divorced, Prof-specialty, Wife, White, Female,0,0,50, United-States, >50K
73, Private, Doctorate, Widowed, Prof-specialty, Not-in-family, White, Male,10418,0,45, United-States, >50K
36, Self-emp-inc, Masters, Married-civ-spouse, Protective-serv, Husband, White, Male,0,0,45, United-States, >50K
65, Private, Some-college, Married-civ-spouse, Farming-fishing, Husband, White, Male,3172,0,25, United-States, <=50K
36, Private, HS-grad, Married-civ-spouse, Tech-support, Husband, White, Male,0,1841,40, United-States, <=50K
55, Private, Some-college, Divorced, Other-service, Unmarried, White, Female,0,0,40, United-States, <=50K
