61, Self-emp-inc, HS-grad, Divorced, Adm-clerical, Unmarried, Amer-Indian-Eskimo, Male,0,0,45, Dominican-Republic, <=50K
61, State-gov, HS-grad, Widowed, Other-service, Unmarried, Amer-Indian-Eskimo, Male,0,0,35, Ecuador, <=50K
25, Private, Bachelors, Never-married, Farming-fishing, Own-child, Asian-Pac-Islander, Female,0,0,40, Dominican-Republic, <=50K
22, Private, Some-college, Never-married, Other-service, Own-child, White, Female,0,0,30, Nicaragua, <=50K
26, Local-gov, Assoc-voc, Never-married, Adm-clerical, Unmarried, Black, Female,0,0,40, Japan, <=50K
27, Private, Bachelors, Never-married, Handlers-cleaners, Unmarried, Other, Female,0,0,40, Japan, <=50K
23, Private, Some-college, Never-married, Sales, Own-child, Amer-Indian-Eskimo, Male,0,0,40, France, <=50K
39, Private, Assoc-voc, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,45, Mexico, >50K
21, Private, Assoc-acdm, Married-civ-spouse, Machine-op-inspct, Other-relative, Other, Male,0,0,40, Philippines, >50K
28, Local-gov, 7th-8th, Never-married, Prof-specialty, Own-child, Asian-Pac-Islander, Male,0,0,45, England, <=50K
43, Local-gov, Bachelors, Never-married, Other-service, Not-in-family, Black, Female,0,0,40, Hong, <=50K
51, Federal-gov, HS-grad, Widowed, Machine-op-inspct, Husband, Amer-Indian-Eskimo, Male,0,0,40, Mexico, <=50K
32, Private, Assoc-voc, Never-married, Prof-specialty, Wife, Other, Male,0,2251,50, Japan, <=50K
33, Self-emp-inc, HS-grad, Married-spouse-absent, Sales, Not-in-family, Asian-Pac-Islander, Male,0,0,35, Honduras, <=50K
18, Private, Some-college, Never-married, Adm-clerical, Own-child, Black, Female,0,0,10, Yugoslavia, <=50K
43, Private, Assoc-acdm, Divorced, Adm-clerical, Not-in-family, Black, Female,0,0,40, Cuba, <=50K
28, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, Black, Male,0,0,40, Ecuador, <=50K
50, Private, Assoc-voc, Divorced, Craft-repair, Not-in-family, Black, Female,0,0,40, India, <=50K
22, Private, Some-college, Married-civ-spouse, Prof-specialty, Own-child, Other, Female,0,0,40, Nicaragua, <=50K
57, State-gov, HS-grad, Married-civ-spouse, Craft-repair, Husband, Black, Male,0,0,40, Cuba, >50K
43, Private, 11th, Never-married, Tech-support, Not-in-family, Other, Female,0,0,40, Jamaica, <=50K
21, Private, HS-grad, Divorced, Adm-clerical, Not-in-family, Amer-Indian-Eskimo, Female,0,0,45, Jamaica, <=50K
35, Private, HS-grad, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,40, South, >50K
24, Private, Some-college, Never-married, Adm-clerical, Not-in-family, Black, Female,0,0,40, Taiwan, <=50K
46, Private, 11th, Married-civ-spouse, Craft-repair, Unmarried, Other, Female,0,0,7, Ecuador, <=50K
59, Self-emp-inc, HS-grad, Married-civ-spouse, Sales, Husband, Asian-Pac-Islander, Male,0,0,40, Canada, >50K
69, Private, Bachelors, Married-civ-spouse, Craft-repair, Husband, Other, Male,0,0,32, Yugoslavia, >50K
27, Private, HS-grad, Never-married, Prof-specialty, Not-in-family, Amer-Indian-Eskimo, Female,0,0,40, Taiwan, <=50K
57, Private, HS-grad, Married-civ-spouse, Other-service, Husband, Amer-Indian-Eskimo, Male,0,0,40, Greece, <=50K
44, Private, Doctorate, Married-civ-spouse, Prof-specialty, Husband, White, Male,15024,0,50, Poland, >50K
32, Private, HS-grad, Never-married, Transport-moving, Not-in-family, White, Male,0,0,54, Haiti, <=50K
19, Private, 12th, Never-married, Craft-repair, Not-in-family, Asian-Pac-Islander, Female,0,0,30, Portugal, <=50K
46, Federal-gov, Some-college, Divorced, Adm-clerical, Unmarried, White, Female,0,0,40, Jamaica, <=50K
36, Private, 9th, Never-married, Adm-clerical, Husband, White, Male,0,0,50, India, <=50K
30, Private, HS-grad, Married-civ-spouse, Sales, Husband, White, Male,0,1832,50, France, >50K
40, Private, Bachelors, Divorced, Prof-specialty, Husband, Other, Female,9000,0,50, Germany, <=50K
38, Self-emp-not-inc, Some-college, Married-civ-spouse, Farming-fishing, Wife, Asian-Pac-Islander, Male,0,0,10, Ireland, <=50K
39, Private, HS-grad, Married-civ-spouse, Exec-managerial, Husband, Other, Male,0,0,60, Japan, >50K
73, Local-gov, 1st-4th, Married-civ-spouse, Exec-managerial, Husband, Asian-Pac-Islander, Female,0,0,24, Columbia, <=50K
22, Private, HS-grad, Never-married, Adm-clerical, Own-child, Amer-Indian-Eskimo, Male,0,0,40, Jamaica, <=50K
47, Private, Bachelors, Married-civ-spouse, Exec-managerial, Unmarried, Other, Male,0,0,50, Ecuador, >50K
41, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, Asian-Pac-Islander, Male,0,0,60, Taiwan, >50K
22, Private, HS-grad, Never-married, Transport-moving, Own-child, Asian-Pac-Islander, Male,0,0,40, Dominican-Republic, <=50K
27, Private, Bachelors, Never-married, Sales, Not-in-family, Amer-Indian-Eskimo, Female,0,0,40, Germany, <=50K
70, Private, 7th-8th, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,35, South, >50K
31, Private, Assoc-acdm, Married-civ-spouse, Transport-moving, Husband, Asian-Pac-Islander, Male,0,0,45, Canada, <=50K
48, Self-emp-inc, Some-college, Married-civ-spouse, Exec-managerial, Husband, Asian-Pac-Islander, Male,0,0,50, Dominican-Republic, >50K
59, Private, HS-grad, Divorced, Adm-clerical, Not-in-family, Amer-Indian-Eskimo, Female,0,0,40, Haiti, <=50K
63, Private, HS-grad, Divorced, Adm-clerical, Unmarried, Asian-Pac-Islander, Female,0,0,41, Iran, <=50K
71, Self-emp-not-inc, 9th, Divorced, Machine-op-inspct, Not-in-family, Asian-Pac-Islander, Female,0,0,20, Trinadad&Tobago, <=50K
41, Private, Assoc-voc, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, Trinadad&Tobago, >50K
23, Private, HS-grad, Never-married, Tech-support, Not-in-family, Other, Female,0,0,40, Columbia, <=50K
44, Private, HS-grad, Divorced, Adm-clerical, Unmarried, Amer-Indian-Eskimo, Female,0,0,40, China, <=50K
29, Private, Some-college, Never-married, Exec-managerial, Own-child, Other, Male,0,0,50, Hong, <=50K
21, Private, Some-college, Never-married, Adm-clerical, Own-child, Asian-Pac-Islander, Female,0,0,20, Taiwan, <=50K
58, Local-gov, Bachelors, Married-civ-spouse, Tech-support, Husband, Asian-Pac-Islander, Male,0,0,40, Guatemala, >50K
34, State-gov, HS-grad, Married-civ-spouse, Craft-repair, Not-in-family, Other, Male,0,0,40, Greece, <=50K
22, Private, HS-grad, Never-married, Other-service, Not-in-family, Amer-Indian-Eskimo, Female,0,0,40, Thailand, <=50K
40, Private, HS-grad, Divorced, Other-service, Unmarried, Amer-Indian-Eskimo, Female,0,0,40, Canada, <=50K
39, Self-emp-inc, HS-grad, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,50, El-Salvador, >50K
37, Private, HS-grad, Divorced, Prof-specialty, Own-child, Other, Female,0,0,80, Taiwan, <=50K
26, Private, HS-grad, Never-married, Craft-repair, Not-in-family, White, Male,0,0,40, South, <=50K
30, Private, HS-grad, Never-married, Exec-managerial, Husband, White, Male,13876,0,45, Thailand, >50K
22, Private, HS-grad, Never-married, Other-service, Husband, Other, Female,0,0,35, Puerto-Rico, <=50K
26, Private, Bachelors, Married-civ-spouse, Transport-moving, Husband, White, Female,0,0,45, France, >50K
57, Local-gov, 7th-8th, Married-civ-spouse, Other-service, Husband, Black, Male,0,0,50, China, >50K
29, Local-gov, 7th-8th, Divorced, Sales, Not-in-family, Black, Female,0,0,50, Jamaica, <=50K
23, Private, Some-college, Never-married, Other-service, Wife, Other, Female,0,0,16, Taiwan, <=50K
43, Private, Some-college, Married-civ-spouse, Sales, Husband, Amer-Indian-Eskimo, Male,0,0,40, Portugal, <=50K
56, Self-emp-not-inc, Masters, Married-civ-spouse, Exec-managerial, Husband, Amer-Indian-Eskimo, Male,0,0,60, Ireland, >50K
28, Self-emp-not-inc, Some-college, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,35, Thailand, <=50K
49, Private, HS-grad, Married-civ-spouse, Sales, Husband, Black, Male,0,0,45, England, <=50K
42, State-gov, Masters, Married-civ-spouse, Craft-repair, Husband, Asian-Pac-Islander, Male,0,0,50, Haiti, >50K
43, Self-emp-inc, HS-grad, Separated, Adm-clerical, Unmarried, White, Female,4310,0,40, Thailand, <=50K
22, Private, HS-grad, Never-married, Craft-repair, Own-child, White, Male,0,0,40, Taiwan, <=50K
30, Without-pay, Some-college, Never-married, Other-service, Not-in-family, Other, Female,0,0,40, Guatemala, <=50K
48, Private, Bachelors, Married-civ-spouse, Handlers-cleaners, Husband, Asian-Pac-Islander, Male,0,1977,45, El-Salvador, >50K
44, Private, HS-grad, Separated, Sales, Husband, Black, Male,0,0,43, Germany, <=50K
45, Private, Some-college, Married-civ-spouse, Exec-managerial, Husband, Other, Female,4555,0,40, Puerto-Rico, <=50K
45, Private, HS-grad, Married-civ-spouse, Other-service, Husband, Other, Male,0,0,38, Taiwan, >50K
39, Private, Some-college, Separated, Craft-repair, Not-in-family, Other, Male,0,0,45, Outlying-US(Guam-USVI-etc), <=50K
46, Private, Bachelors, Married-civ-spouse, Protective-serv, Husband, Asian-Pac-Islander, Male,0,0,40, Poland, >50K
81, Self-emp-not-inc, HS-grad, Widowed, Other-service, Unmarried, Black, Female,0,0,30, Puerto-Rico, <=50K
34, Private, Some-college, Never-married, Sales, Unmarried, Amer-Indian-Eskimo, Male,0,0,40, Peru, <=50K
52, Private, Assoc-acdm, Married-civ-spouse, Handlers-cleaners, Husband, Amer-Indian-Eskimo, Male,0,0,40, Taiwan, >50K
52, Private, HS-grad, Separated, Prof-specialty, Unmarried, Amer-Indian-Eskimo, Female,0,0,37, Canada, <=50K
72, Self-emp-not-inc, HS-grad, Separated, Handlers-cleaners, Unmarried, Black, Male,2336,0,15, Portugal, <=50K
40, Private, Bachelors, Married-civ-spouse, Craft-repair, Husband, White, Female,0,0,50, Outlying-US(Guam-USVI-etc), <=50K
52, State-gov, HS-grad, Never-married, Other-service, Not-in-family, Amer-Indian-Eskimo, Female,0,0,40, India, <=50K
48, Private, Masters, Divorced, Adm-clerical, Unmarried, Asian-Pac-Islander, Female,0,0,40, Jamaica, <=50K
20, Private, 11th, Never-married, Other-service, Own-child, White, Male,0,0,40, Taiwan, <=50K
37, Private, HS-grad, Married-civ-spouse, Exec-managerial, Husband, Amer-Indian-Eskimo, Male,7687,0,40, El-Salvador, >50K
23, State-gov, HS-grad, Never-married, Adm-clerical, Own-child, White, Female,0,0,30, Honduras, <=50K
36, Private, 10th, Married-civ-spouse, Prof-specialty, Husband, Amer-Indian-Eskimo, Male,6873,0,40, Germany, >50K
43, Local-gov, HS-grad, Divorced, Transport-moving, Unmarried, Asian-Pac-Islander, Female,0,0,40, Nicaragua, <=50K
33, Private, HS-grad, Divorced, Craft-repair, Unmarried, Black, Female,0,0,40, Italy, <=50K
26, Private, Preschool, Never-married, Adm-clerical, Not-in-family, Amer-Indian-Eskimo, Female,0,0,40, Hungary, <=50K
31, Private, Bachelors, Married-civ-spouse, Transport-moving, Husband, Other, Male,0,0,50, Outlying-US(Guam-USVI-etc), <=50K
47, Private, HS-grad, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,70, Columbia, >50K
36, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, Guatemala, <=50K
42, Private, Some-college, Married-civ-spouse, Prof-specialty, Husband, Black, Male,0,0,45, United-States, <=50K
33, Private, Bachelors, Divorced, Craft-repair, Husband, White, Male,0,0,50, Ireland, >50K
29, Local-gov, 11th, Never-married, Adm-clerical, Not-in-family, White, Female,1080,0,40, Hong, <=50K
18, Local-gov, 11th, Never-married, Adm-clerical, Not-in-family, Amer-Indian-Eskimo, Male,0,0,15, Japan, <=50K
44, Private, Some-college, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, Outlying-US(Guam-USVI-etc), <=50K
17, Private, 10th, Never-married, Prof-specialty, Own-child, Asian-Pac-Islander, Male,0,0,16, Columbia, <=50K
20, Self-emp-not-inc, HS-grad, Never-married, Adm-clerical, Not-in-family, White, Female,0,0,40, Jamaica, <=50K
52, Self-emp-not-inc, Bachelors, Married-civ-spouse, Craft-repair, Husband, Other, Male,0,0,40, Haiti, <=50K
45, Private, Some-college, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,64, Haiti, <=50K
62, Self-emp-not-inc, HS-grad, Married-civ-spouse, Sales, Husband, Asian-Pac-Islander, Male,0,0,45, Dominican-Republic, >50K
27, Private, HS-grad, Married-civ-spouse, Sales, Husband, Asian-Pac-Islander, Male,0,0,50, Hong, <=50K
32, Private, HS-grad, Divorced, Exec-managerial, Not-in-family, Asian-Pac-Islander, Female,3830,0,40, Italy, <=50K
58, Self-emp-not-inc, Bachelors, Married-civ-spouse, Exec-managerial, Not-in-family, Amer-Indian-Eskimo, Female,0,0,50, Trinadad&Tobago, <=50K
58, Private, Bachelors, Married-civ-spouse, Sales, Husband, Black, Female,0,0,40, Japan, <=50K
51, Self-emp-not-inc, HS-grad, Never-married, Exec-managerial, Husband, Amer-Indian-Eskimo, Female,0,0,50, Peru, <=50K
64, State-gov, Some-college, Married-civ-spouse, Sales, Husband, Amer-Indian-Eskimo, Male,0,0,10, Taiwan, <=50K
35, Private, Bachelors, Never-married, Machine-op-inspct, Not-in-family, White, Male,0,0,40, United-States, <=50K
39, Private, HS-grad, Never-married, Sales, Unmarried, Asian-Pac-Islander, Female,0,0,40, India, <=50K
49, Private, 7th-8th, Divorced, Adm-clerical, Husband, White, Female,0,0,20, Cuba, <=50K
27, Private, Some-college, Never-married, Craft-repair, Husband, White, Male,0,0,40, Vietnam, <=50K
29, Private, Assoc-acdm, Never-married, Handlers-cleaners, Own-child, Black, Female,0,0,54, Honduras, <=50K
51, Self-emp-inc, HS-grad, Married-civ-spouse, Craft-repair, Husband, Amer-Indian-Eskimo, Male,0,0,40, Philippines, <=50K
48, State-gov, HS-grad, Divorced, Craft-repair, Unmarried, White, Female,0,0,40, Italy, <=50K
30, Private, 9th, Divorced, Sales, Unmarried, White, Female,0,0,40, Peru, <=50K
33, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, Asian-Pac-Islander, Male,0,0,45, Vietnam, <=50K
57, Private, HS-grad, Divorced, Craft-repair, Not-in-family, Amer-Indian-Eskimo, Female,0,0,45, India, <=50K
32, Private, HS-grad, Never-married, Craft-repair, Own-child, Other, Female,0,0,37, Ecuador, <=50K
44, Self-emp-inc, HS-grad, Married-civ-spouse, Sales, Husband, White, Male,0,0,70, Portugal, >50K
43, Private, HS-grad, Widowed, Transport-moving, Unmarried, Black, Female,0,0,30, India, <=50K
63, Local-gov, 10th, Married-civ-spouse, Other-service, Not-in-family, Black, Male,0,0,40, Iran, <=50K
25, Private, Bachelors, Never-married, Exec-managerial, Husband, Other, Male,0,0,80, South, <=50K
31, Private, Bachelors, Married-civ-spouse, Prof-specialty, Husband, Black, Male,0,0,40, Peru, >50K
43, Private, Doctorate, Never-married, Exec-managerial, Own-child, Asian-Pac-Islander, Female,0,0,35, Mexico, <=50K
27, Self-emp-inc, Some-college, Never-married, Craft-repair, Own-child, Black, Female,0,0,40, Guatemala, <=50K
41, Private, Some-college, Separated, Sales, Not-in-family, White, Female,0,0,40, El-Salvador, <=50K
45, Local-gov, 1st-4th, Married-civ-spouse, Craft-repair, Not-in-family, Asian-Pac-Islander, Male,0,0,40, India, <=50K
29, Private, Bachelors, Never-married, Prof-specialty, Not-in-family, Black, Male,0,0,35, Mexico, <=50K
30, Private, Some-college, Never-married, Adm-clerical, Own-child, Other, Female,0,0,45, Puerto-Rico, >50K
21, Private, Some-college, Never-married, Transport-moving, Not-in-family, Black, Female,0,0,16, Peru, <=50K
22, Private, Some-college, Never-married, Adm-clerical, Other-relative, Amer-Indian-Eskimo, Male,0,0,40, Taiwan, <=50K
56, Private, Some-college, Widowed, Sales, Unmarried, Amer-Indian-Eskimo, Female,0,0,40, Jamaica, <=50K
36, Private, Bachelors, Married-civ-spouse, Farming-fishing, Husband, White, Female,7298,0,35, El-Salvador, >50K
19, Private, Some-college, Never-married, Other-service, Own-child, Amer-Indian-Eskimo, Female,0,1671,8, Peru, <=50K
32, Local-gov, Bachelors, Divorced, Sales, Not-in-family, White, Male,0,0,60, Taiwan, <=50K
38, Private, 5th-6th, Married-civ-spouse, Craft-repair, Husband, Asian-Pac-Islander, Male,0,0,50, Iran, <=50K
30, Private, Some-college, Never-married, Other-service, Not-in-family, Asian-Pac-Islander, Female,0,0,25, Honduras, <=50K
23, Private, HS-grad, Never-married, Transport-moving, Unmarried, Black, Male,0,0,37, South, <=50K
22, Self-emp-not-inc, Bachelors, Never-married, Transport-moving, Not-in-family, Other, Male,0,0,40, Yugoslavia, <=50K
43, Self-emp-not-inc, Doctorate, Married-civ-spouse, Craft-repair, Husband, Asian-Pac-Islander, Male,0,1977,40, Canada, >50K
54, Private, Bachelors, Divorced, Exec-managerial, Husband, Asian-Pac-Islander, Male,0,0,50, Honduras, >50K
21, Private, Bachelors, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, Trinadad&Tobago, <=50K
24, Private, Some-college, Married-civ-spouse, Tech-support, Not-in-family, White, Male,0,0,40, Guatemala, <=50K
49, Self-emp-not-inc, Masters, Married-civ-spouse, Sales, Husband, White, Male,0,1977,35, Columbia, <=50K
55, Private, Some-college, Married-civ-spouse, Handlers-cleaners, Husband, Black, Male,6776,0,40, Haiti, >50K
27, Private, Some-college, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,40, Yugoslavia, <=50K
33, Private, Bachelors, Never-married, Craft-repair, Other-relative, Black, Male,0,0,45, Nicaragua, <=50K
47, Private, HS-grad, Married-civ-spouse, Farming-fishing, Husband, Amer-Indian-Eskimo, Male,0,0,60, United-States, >50K
42, Private, HS-grad, Divorced, Adm-clerical, Unmarried, Black, Female,0,0,40, Iran, <=50K
45, Self-emp-not-inc, 9th, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,50, Scotland, <=50K
47, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, Asian-Pac-Islander, Male,0,0,70, Honduras, >50K
18, Private, Bachelors, Never-married, Prof-specialty, Own-child, White, Female,0,0,12, Yugoslavia, <=50K
18, Private, 12th, Never-married, Prof-specialty, Own-child, White, Male,0,0,25, Italy, <=50K
41, Private, Some-college, Divorced, Sales, Not-in-family, White, Female,0,0,38, Cambodia, <=50K
56, Self-emp-inc, HS-grad, Divorced, Sales, Not-in-family, White, Female,0,0,40, Laos, <=50K
63, Private, 9th, Widowed, Farming-fishing, Not-in-family, Black, Female,0,0,25, Guatemala, <=50K
25, Local-gov, Some-college, Never-married, Sales, Own-child, Other, Female,0,0,8, Jamaica, <=50K
68, Private, Some-college, Widowed, Tech-support, Wife, Asian-Pac-Islander, Male,0,0,30, Japan, <=50K
26, Private, Assoc-voc, Married-civ-spouse, Adm-clerical, Not-in-family, White, Male,0,0,46, Canada, <=50K
45, Private, Bachelors, Married-civ-spouse, Craft-repair, Husband, Asian-Pac-Islander, Male,15024,0,50, Scotland, >50K
31, Private, Some-college, Never-married, Adm-clerical, Unmarried, Asian-Pac-Islander, Female,0,0,40, South, <=50K
52, Self-emp-not-inc, HS-grad, Married-civ-spouse, Exec-managerial, Husband, Black, Male,0,0,54, Iran, <=50K
25, Private, 11th, Never-married, Craft-repair, Own-child, White, Female,0,0,40, Ecuador, <=50K
63, State-gov, Prof-school, Never-married, Other-service, Not-in-family, Black, Female,0,0,20, South, <=50K
39, Private, Some-college, Married-civ-spouse, Prof-specialty, Husband, Asian-Pac-Islander, Male,0,2400,45, Yugoslavia, >50K
46, Federal-gov, Masters, Married-civ-spouse, Machine-op-inspct, Husband, Asian-Pac-Islander, Male,0,0,40, Cambodia, <=50K
42, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, Asian-Pac-Islander, Male,0,0,35, Outlying-US(Guam-USVI-etc), >50K
49, Self-emp-not-inc, 11th, Married-civ-spouse, Craft-repair, Husband, Other, Male,0,0,40, Jamaica, <=50K
62, Private, HS-grad, Divorced, Other-service, Unmarried, Other, Female,0,0,32, Germany, <=50K
27, Private, 7th-8th, Married-spouse-absent, Other-service, Wife, White, Male,0,0,25, Italy, <=50K
53, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, Black, Male,0,0,45, Nicaragua, >50K
36, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, Amer-Indian-Eskimo, Male,0,0,40, Iran, >50K
40, Private, Some-college, Never-married, Adm-clerical, Not-in-family, White, Male,0,0,45, United-States, <=50K
36, Private, HS-grad, Divorced, Transport-moving, Not-in-family, Black, Female,0,0,50, Peru, <=50K
35, Private, 5th-6th, Divorced, Other-service, Not-in-family, Black, Female,0,0,32, Ireland, <=50K
32, Private, HS-grad, Divorced, Sales, Unmarried, White, Female,0,0,40, China, <=50K
52, Private, Bachelors, Married-civ-spouse, Craft-repair, Husband, Black, Male,0,0,40, Greece, <=50K
18, Private, 11th, Never-married, Other-service, Own-child, Black, Male,0,0,11, Scotland, <=50K
35, Private, Assoc-voc, Never-married, Craft-repair, Not-in-family, Asian-Pac-Islander, Male,0,0,40, South, <=50K
46, Self-emp-not-inc, HS-grad, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,42, India, <=50K
37, Private, Some-college, Never-married, Other-service, Unmarried, Other, Male,0,0,40, Iran, <=50K
57, Private, 9th, Married-civ-spouse, Handlers-cleaners, Husband, Amer-Indian-Eskimo, Female,0,0,21, Hong, <=50K
37, State-gov, HS-grad, Married-civ-spouse, Handlers-cleaners, Husband, Other, Male,0,0,40, Guatemala, <=50K
30, Private, Bachelors, Never-married, Prof-specialty, Husband, Amer-Indian-Eskimo, Male,0,0,40, India, <=50K
18, Private, 10th, Never-married, Machine-op-inspct, Own-child, Asian-Pac-Islander, Male,0,0,35, Columbia, <=50K
60, Private, Bachelors, Married-civ-spouse, Transport-moving, Husband, Other, Male,0,0,40, Honduras, >50K
54, Private, 5th-6th, Never-married, Priv-house-serv, Unmarried, Asian-Pac-Islander, Male,0,0,20, Haiti, <=50K
19, Private, Some-college, Never-married, Other-service, Other-relative, Asian-Pac-Islander, Female,0,0,30, Honduras, <=50K
33, Private, Some-college, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, Greece, <=50K
39, Self-emp-not-inc, Bachelors, Married-civ-spouse, Exec-managerial, Husband, Other, Male,0,0,50, Mexico, >50K
33, Private, HS-grad, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, South, >50K
37, Private, Assoc-acdm, Never-married, Other-service, Not-in-family, Asian-Pac-Islander, Female,0,0,50, Scotland, <=50K
29, Private, Some-college, Never-married, Adm-clerical, Not-in-family, Black, Female,0,0,40, India, <=50K
30, Private, Bachelors, Never-married, Adm-clerical, Wife, Amer-Indian-Eskimo, Female,0,0,25, South, <=50K
61, Private, Assoc-acdm, Divorced, Adm-clerical, Unmarried, Asian-Pac-Islander, Male,2175,0,35, Yugoslavia, <=50K
29, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, Asian-Pac-Islander, Female,0,0,45, Haiti, <=50K
40, Private, Bachelors, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,48, Ireland, >50K
42, Private, HS-grad, Never-married, Adm-clerical, Unmarried, Black, Male,2694,0,40, China, <=50K
