25, Private, HS-grad, Married-civ-spouse, Craft-repair, Wife, Amer-Indian-Eskimo, Male,0,0,35, Poland, <=50K
25, Federal-gov, Bachelors, Never-married, Adm-clerical, Not-in-family, White, Male,0,1887,40, United-States, <=50K
31, Private, Bachelors, Never-married, Prof-specialty, Not-in-family, White, Female,0,0,50, United-States, <=50K
22, Private, Some-college, Divorced, Prof-specialty, Other-relative, White, Female,0,0,40, United-States, <=50K
51, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,50, India, >50K
39, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,15024,0,60, United-States, >50K
22, Private, HS-grad, Divorced, Other-service, Other-relative, White, Female,0,0,60, United-States, <=50K
57, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,52, United-States, <=50K
39, Private, Doctorate, Separated, Craft-repair, Not-in-family, White, Female,0,0,60, England, <=50K
58, Self-emp-inc, HS-grad, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,1902,40, El-Salvador, >50K
40, Self-emp-not-inc, Some-college, Divorced, Adm-clerical, Unmarried, Black, Female,0,0,50, Vietnam, <=50K
58, Private, Masters, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, United-States, >50K
23, Private, Some-college, Never-married, Sales, Own-child, Black, Female,0,0,20, United-States, <=50K
27, Private, Some-college, Married-civ-spouse, Sales, Husband, White, Male,0,0,40, United-States, <=50K
38, Private, Some-college, Married-civ-spouse, Other-service, Wife, White, Female,7687,0,32, United-States, >50K
44, Private, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, United-States, <=50K
35, State-gov, HS-grad, Married-civ-spouse, Sales, Husband, White, Male,4091,0,95, United-States, <=50K
64, Private, HS-grad, Separated, Other-service, Wife, White, Female,0,0,20, Philippines, <=50K
67, Self-emp-not-inc, HS-grad, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,45, United-States, >50K
39, Local-gov, Assoc-voc, Never-married, Adm-clerical, Unmarried, White, Female,0,0,40, United-States, <=50K
25, Private, Bachelors, Married-civ-spouse, Prof-specialty, Wife, White, Female,0,0,50, United-States, >50K
26, Private, Some-college, Married-civ-spouse, Sales, Wife, Asian-Pac-Islander, Female,0,0,40, Thailand, <=50K
19, Private, Assoc-voc, Never-married, Other-service, Not-in-family, White, Female,0,0,40, United-States, <=50K
22, Private, Bachelors, Never-married, Handlers-cleaners, Not-in-family, White, Male,0,0,40, United-States, <=50K
19, Local-gov, 12th, Married-civ-spouse, Other-service, Own-child, Black, Male,0,0,40, United-States, <=50K
31, Private, HS-grad, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,40, United-States, <=50K
32, Federal-gov, Bachelors, Separated, Prof-specialty, Husband, Black, Male,0,0,35, United-States, >50K
36, Self-emp-not-inc, Assoc-voc, Separated, Prof-specialty, Wife, White, Male,0,0,40, United-States, <=50K
22, Private, HS-grad, Married-civ-spouse, Sales, Husband, White, Male,0,0,40, United-States, <=50K
33, Private, Masters, Married-civ-spouse, Craft-repair, Unmarried, White, Female,0,2247,40, Vietnam, <=50K
32, Private, Bachelors, Divorced, Exec-managerial, Husband, White, Male,0,0,50, Scotland, <=50K
56, Self-emp-not-inc, Doctorate, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,1902,60, United-States, <=50K
47, Self-emp-not-inc, Bachelors, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,40, United-States, <=50K
48, Private, HS-grad, Married-civ-spouse, Other-service, Husband, White, Male,0,0,40, United-States, <=50K
39, State-gov, HS-grad, Divorced, Adm-clerical, Unmarried, White, Female,0,1485,40, Philippines, >50K
45, Self-emp-not-inc, 10th, Married-civ-spouse, Sales, Husband, White, Male,0,0,40, United-States, >50K
46, Private, HS-grad, Divorced, Adm-clerical, Not-in-family, Black, Female,0,0,40, United-States, <=50K
55, Private, Some-college, Divorced, Tech-support, Not-in-family, White, Male,0,0,40, United-States, <=50K
36, Private, Some-college, Never-married, Adm-clerical, Not-in-family, White, Female,0,0,40, United-States, <=50K
26, Private, 12th, Never-married, Exec-managerial, Own-child, White, Female,0,0,40, United-States, <=50K
36, Private, HS-grad, Married-civ-spouse, Tech-support, Husband, White, Male,0,0,40, Germany, <=50K
21, Private, HS-grad, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, Yugoslavia, >50K
17, Private, 11th, Never-married, Sales, Own-child, White, Male,0,0,20, United-States, <=50K
41, Private, Some-college, Married-civ-spouse, Machine-op-inspct, Husband, Asian-Pac-Islander, Male,0,0,48, United-States, <=50K
56, Private, HS-grad, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,45, United-States, <=50K
23, Private, HS-grad, Never-married, Tech-support, Other-relative, White, Female,4779,0,40, United-States, >50K
56, Private, Assoc-voc, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,50, United-States, >50K
34, Federal-gov, Some-college, Never-married, Adm-clerical, Wife, White, Female,0,0,40, United-States, <=50K
39, Private, Bachelors, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, <=50K
30, Private, HS-grad, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, United-States, >50K
59, Private, HS-grad, Divorced, Sales, Husband, White, Male,2048,0,54, United-States, <=50K
33, Private, HS-grad, Married-civ-spouse, Craft-repair, Own-child, White, Male,99999,0,40, United-States, >50K
26, Private, Masters, Never-married, Exec-managerial, Own-child, White, Male,0,0,40, United-States, <=50K
26, Local-gov, Assoc-acdm, Never-married, Adm-clerical, Not-in-family, White, Female,0,0,40, Philippines, <=50K
40, Private, Bachelors, Divorced, Adm-clerical, Unmarried, Black, Female,99999,0,60, United-States, >50K
57, Private, Bachelors, Married-civ-spouse, Exec-managerial, Own-child, White, Male,0,0,40, United-States, >50K
21, Private, Bachelors, Never-married, Adm-clerical, Own-child, White, Female,0,0,40, United-States, <=50K
19, Private, HS-grad, Never-married, Tech-support, Own-child, Black, Female,0,0,40, Mexico, <=50K
49, Private, Bachelors, Widowed, Protective-serv, Not-in-family, Asian-Pac-Islander, Female,0,0,35, United-States, <=50K
21, Private, Assoc-acdm, Never-married, Adm-clerical, Own-child, White, Male,0,0,40, United-States, >50K
50, Local-gov, Assoc-voc, Divorced, Tech-support, Unmarried, Black, Female,0,0,35, El-Salvador, <=50K
25, Private, Some-college, Never-married, Adm-clerical, Own-child, White, Female,0,0,50, United-States, <=50K
43, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,15024,0,54, United-States, >50K
60, Local-gov, Some-college, Divorced, Exec-managerial, Unmarried, White, Female,7954,0,48, United-States, >50K
31, Private, HS-grad, Divorced, Farming-fishing, Husband, White, Male,0,0,40, United-States, <=50K
24, Private, Assoc-acdm, Never-married, Prof-specialty, Own-child, White, Male,4958,0,30, United-States, >50K
34, Private, HS-grad, Never-married, Sales, Not-in-family, White, Male,0,0,40, Peru, <=50K
29, Private, HS-grad, Never-married, Exec-managerial, Own-child, Other, Male,0,0,50, Jamaica, <=50K
22, Private, Some-college, Never-married, Farming-fishing, Own-child, White, Male,0,0,60, United-States, <=50K
24, Private, HS-grad, Never-married, Exec-managerial, Own-child, White, Male,0,0,35, United-States, <=50K
40, Local-gov, Bachelors, Divorced, Sales, Not-in-family, White, Female,0,0,45, United-States, <=50K
23, State-gov, Some-college, Never-married, Craft-repair, Own-child, White, Male,0,0,25, United-States, <=50K
20, Private, Some-college, Never-married, Prof-specialty, Own-child, Asian-Pac-Islander, Male,0,0,50, United-States, <=50K
63, Private, HS-grad, Never-married, Prof-specialty, Unmarried, Black, Female,0,0,20, Greece, <=50K
42, Self-emp-not-inc, HS-grad, Married-civ-spouse, Prof-specialty, Not-in-family, White, Male,2415,0,30, United-States, >50K
33, Private, HS-grad, Married-civ-spouse, Machine-op-inspct, Own-child, White, Male,0,0,40, United-States, <=50K
36, Private, HS-grad, Separated, Handlers-cleaners, Own-child, White, Male,0,0,20, United-States, <=50K
44, Self-emp-not-inc, Masters, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,45, United-States, >50K
27, Private, Bachelors, Never-married, Prof-specialty, Not-in-family, White, Male,0,0,50, United-States, <=50K
23, Private, Bachelors, Never-married, Tech-support, Not-in-family, White, Female,0,1887,40, United-States, >50K
23, Local-gov, Assoc-acdm, Never-married, Craft-repair, Not-in-family, White, Male,0,0,35, Mexico, <=50K
36, Local-gov, Assoc-acdm, Married-civ-spouse, Sales, Wife, White, Female,0,0,50, United-States, <=50K
55, Self-emp-inc, Masters, Married-civ-spouse, Prof-specialty, Wife, White, Female,7298,0,40, United-States, >50K
27, Private, Some-college, Never-married, Sales, Not-in-family, White, Male,0,0,40, United-States, <=50K
23, Private, Some-college, Never-married, Adm-clerical, Own-child, Amer-Indian-Eskimo, Female,0,0,32, United-States, <=50K
27, Self-emp-not-inc, Some-college, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,45, United-States, >50K
45, Self-emp-inc, HS-grad, Married-civ-spouse, Sales, Husband, White, Male,15024,0,45, United-States, >50K
29, State-gov, Some-college, Married-civ-spouse, Exec-managerial, Husband, White, Male,7687,0,40, United-States, >50K
26, Private, HS-grad, Separated, Adm-clerical, Own-child, White, Male,0,0,48, United-States, <=50K
35, Self-emp-not-inc, HS-grad, Never-married, Craft-repair, Not-in-family, White, Male,0,0,65, United-States, <=50K
49, State-gov, Prof-school, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, United-States, <=50K
29, Private, Bachelors, Divorced, Handlers-cleaners, Not-in-family, White, Female,0,0,40, United-States, <=50K
41, Private, HS-grad, Married-civ-spouse, Sales, Husband, White, Male,0,0,40, United-States, <=50K
43, Private, Some-college, Divorced, Exec-managerial, Not-in-family, White, Female,2860,0,40, United-States, <=50K
51, Self-emp-not-inc, Masters, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, United-States, >50K
59, Private, Prof-school, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,1902,50, United-States, >50K
51, Private, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, United-States, >50K
25, Private, Some-college, Never-married, Machine-op-inspct, Unmarried, White, Female,0,0,35, United-States, <=50K
45, Private, HS-grad, Divorced, Sales, Unmarried, Black, Female,0,0,35, United-States, <=50K
23, Private, Bachelors, Never-married, Handlers-cleaners, Husband, White, Male,0,0,54, United-States, >50K
56, Self-emp-not-inc, HS-grad, Married-civ-spouse, Sales, Husband, White, Male,0,0,48, Hong, <=50K
57, Self-emp-not-inc, HS-grad, Divorced, Exec-managerial, Not-in-family, White, Male,0,2206,40, United-States, <=50K
43, Self-emp-inc, Bachelors, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,60, United-States, <=50K
45, State-gov, Bachelors, Married-civ-spouse, Prof-specialty, Husband, Black, Male,0,0,45, United-States, >50K
32, Private, Some-college, Never-married, Prof-specialty, Not-in-family, White, Female,0,0,45, United-States, <=50K
18, Private, 11th, Never-married, Machine-op-inspct, Own-child, White, Male,0,0,40, United-States, <=50K
24, Private, Masters, Never-married, Farming-fishing, Own-child, Black, Male,0,0,40, United-States, <=50K
51, State-gov, HS-grad, Widowed, Machine-op-inspct, Unmarried, White, Female,0,0,35, United-States, <=50K
29, Private, 10th, Married-civ-spouse, Other-service, Unmarried, Black, Female,0,0,40, Trinadad&Tobago, <=50K
56, Local-gov, HS-grad, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,40, United-States, >50K
53, Private, HS-grad, Divorced, Adm-clerical, Unmarried, White, Female,0,0,40, United-States, <=50K
20, Self-emp-not-inc, Some-college, Never-married, Machine-op-inspct, Not-in-family, Black, Male,0,0,20, United-States, <=50K
57, Private, HS-grad, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,40, United-States, <=50K
35, Private, Some-college, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, Mexico, >50K
28, Private, HS-grad, Married-civ-spouse, Farming-fishing, Husband, White, Male,0,0,40, United-States, >50K
60, Private, Some-college, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, United-States, <=50K
32, Private, HS-grad, Divorced, Adm-clerical, Unmarried, White, Female,0,0,24, United-States, >50K
40, Federal-gov, Assoc-acdm, Never-married, Prof-specialty, Not-in-family, White, Male,0,0,60, United-States, <=50K
34, Federal-gov, Assoc-voc, Never-married, Adm-clerical, Not-in-family, Asian-Pac-Islander, Female,0,0,35, United-States, <=50K
25, Private, Some-college, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,0,0,40, United-States, <=50K
49, Private, HS-grad, Divorced, Other-service, Unmarried, Black, Female,0,0,40, Mexico, <=50K
29, State-gov, HS-grad, Married-civ-spouse, Craft-repair, Not-in-family, White, Female,0,0,35, United-States, <=50K
28, Self-emp-not-inc, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,45, United-States, >50K
57, Private, HS-grad, Divorced, Exec-managerial, Husband, White, Male,0,0,40, United-States, <=50K
45, Private, HS-grad, Never-married, Sales, Not-in-family, White, Female,0,0,40, Trinadad&Tobago, <=50K
35, Private, HS-grad, Married-civ-spouse, Sales, Unmarried, White, Female,0,0,20, United-States, <=50K
31, Private, HS-grad, Divorced, Machine-op-inspct, Not-in-family, White, Male,0,0,45, United-States, <=50K
28, Self-emp-not-inc, HS-grad, Married-civ-spouse, Exec-managerial, Own-child, Asian-Pac-Islander, Female,0,0,45, United-States, <=50K
49, Private, HS-grad, Married-civ-spouse, Sales, Husband, White, Female,0,1902,40, United-States, <=50K
59, Self-emp-not-inc, HS-grad, Separated, Farming-fishing, Husband, Asian-Pac-Islander, Male,0,0,20, United-States, <=50K
56, Self-emp-not-inc, Some-college, Married-civ-spouse, Sales, Husband, White, Male,0,0,40, United-States, <=50K
23, Private, HS-grad, Never-married, Other-service, Other-relative, White, Male,0,0,24, United-States, <=50K
44, Private, HS-grad, Divorced, Other-service, Unmarried, Black, Female,0,0,40, United-States, <=50K
33, Private, Doctorate, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, Peru, <=50K
36, Private, Some-college, Never-married, Adm-clerical, Husband, White, Male,0,0,40, United-States, <=50K
57, Private, Assoc-voc, Separated, Farming-fishing, Husband, White, Male,0,0,45, United-States, >50K
36, Self-emp-not-inc, HS-grad, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,60, United-States, >50K
25, State-gov, HS-grad, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,40, United-States, >50K
42, Private, Assoc-acdm, Divorced, Tech-support, Wife, White, Female,0,0,40, United-States, <=50K
51, Private, HS-grad, Separated, Adm-clerical, Not-in-family, White, Male,0,0,38, United-States, <=50K
33, Private, Some-college, Married-civ-spouse, Exec-managerial, Wife, Asian-Pac-Islander, Female,0,0,40, United-States, >50K
19, Private, HS-grad, Never-married, Craft-repair, Own-child, White, Male,0,0,40, United-States, <=50K
28, Private, HS-grad, Married-civ-spouse, Sales, Other-relative, White, Male,0,0,40, United-States, >50K
71, Private, HS-grad, Widowed, Tech-support, Not-in-family, White, Female,0,0,6, United-States, <=50K
30, Local-gov, 11th, Married-civ-spouse, Prof-specialty, Wife, Other, Female,0,0,40, United-States, <=50K
20, Private, HS-grad, Married-civ-spouse, Farming-fishing, Husband, White, Male,0,0,40, United-States, <=50K
23, Private, HS-grad, Never-married, Machine-op-inspct, Not-in-family, White, Male,0,0,40, United-States, <=50K
32, Self-emp-inc, HS-grad, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,45, United-States, >50K
24, Private, Some-college, Never-married, Adm-clerical, Unmarried, White, Female,0,0,40, United-States, <=50K
26, Private, Some-college, Never-married, Sales, Not-in-family, White, Male,0,0,43, United-States, <=50K
40, Local-gov, 9th, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, United-States, >50K
25, Private, HS-grad, Married-civ-spouse, Sales, Husband, White, Male,0,0,40, United-States, <=50K
46, Local-gov, Some-college, Never-married, Adm-clerical, Not-in-family, White, Female,0,0,40, United-States, >50K
32, Private, HS-grad, Married-civ-spouse, Transport-moving, Husband, White, Male,668,0,40, United-States, <=50K
23, Private, Some-college, Never-married, Adm-clerical, Own-child, Amer-Indian-Eskimo, Female,0,0,38, United-States, <=50K
38, Private, Some-college, Married-civ-spouse, Tech-support, Husband, Other, Male,0,0,50, United-States, >50K
34, Self-emp-not-inc, Bachelors, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,40, United-States, >50K
31, Private, Some-college, Married-civ-spouse, Other-service, Wife, Asian-Pac-Islander, Female,0,0,54, United-States, >50K
30, Federal-gov, Bachelors, Never-married, Sales, Not-in-family, White, Male,0,0,40, United-States, <=50K
35, Private, Assoc-acdm, Divorced, Adm-clerical, Unmarried, Black, Female,0,0,40, United-States, <=50K
45, Private, Some-college, Never-married, Sales, Not-in-family, White, Male,0,0,54, United-States, <=50K
51, Private, Masters, Divorced, Transport-moving, Own-child, White, Male,0,0,45, United-States, <=50K
28, Self-emp-not-inc, HS-grad, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,45, United-States, <=50K
61, Self-emp-not-inc, HS-grad, Widowed, Adm-clerical, Not-in-family, Black, Female,0,0,40, El-Salvador, <=50K
25, Private, HS-grad, Divorced, Adm-clerical, Not-in-family, White, Male,0,0,40, United-States, <=50K
20, Private, HS-grad, Never-married, Exec-managerial, Own-child, White, Male,0,0,20, United-States, <=50K
55, Private, Some-college, Married-civ-spouse, Transport-moving, Husband, White, Male,0,1737,50, United-States, <=50K
40, Private, Masters, Married-civ-spouse, Prof-specialty, Wife, White, Female,15024,0,40, India, >50K
64, Self-emp-not-inc, Some-college, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,1902,60, United-States, >50K
25, Private, Some-college, Never-married, Other-service, Not-in-family, White, Male,0,0,40, United-States, <=50K
37, Private, HS-grad, Separated, Adm-clerical, Not-in-family, White, Male,0,0,40, United-States, <=50K
37, Private, HS-grad, Separated, Farming-fishing, Husband, White, Male,0,0,40, United-States, <=50K
34, Private, HS-grad, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, United-States, <=50K
46, Self-emp-not-inc, Assoc-acdm, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,45, United-States, <=50K
23, Private, Bachelors, Never-married, Handlers-cleaners, Own-child, White, Male,0,0,40, United-States, <=50K
31, Private, HS-grad, Married-civ-spouse, Prof-specialty, Husband, White, Male,5013,0,40, Yugoslavia, <=50K
28, Private, Bachelors, Never-married, Prof-specialty, Own-child, White, Female,0,0,40, United-States, <=50K
27, Self-emp-inc, Some-college, Married-civ-spouse, Tech-support, Husband, White, Male,0,0,54, Canada, >50K
41, Self-emp-not-inc, Masters, Never-married, Sales, Not-in-family, White, Male,0,0,50, United-States, <=50K
31, Private, HS-grad, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, United-States, <=50K
49, Local-gov, Some-college, Divorced, Sales, Not-in-family, White, Male,0,0,45, United-States, <=50K
19, Private, Some-college, Never-married, Sales, Own-child, White, Male,0,0,15, United-States, <=50K
72, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,1592,20, Ecuador, >50K
59, Self-emp-not-inc, Doctorate, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,86, United-States, <=50K
52, Private, Some-college, Never-married, Adm-clerical, Wife, White, Female,7687,0,15, United-States, <=50K
50, Private, Masters, Widowed, Machine-op-inspct, Wife, White, Female,0,0,35, United-States, <=50K
32, Local-gov, Assoc-acdm, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,1887,50, United-States, >50K
40, State-gov, Some-college, Divorced, Adm-clerical, Not-in-family, White, Female,0,0,40, United-States, <=50K
36, Private, Some-college, Separated, Sales, Wife, White, Male,0,0,40, United-States, <=50K
20, Federal-gov, Some-college, Never-married, Farming-fishing, Own-child, White, Male,0,0,40, Canada, <=50K
43, Private, HS-grad, Divorced, Adm-clerical, Unmarried, Black, Female,0,0,50, United-States, <=50K
45, State-gov, 7th-8th, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, United-States, >50K
60, Private, HS-grad, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,40, United-States, >50K
59, Local-gov, Assoc-acdm, Never-married, Prof-specialty, Unmarried, White, Female,0,0,40, United-States, <=50K
58, Private, Bachelors, Married-civ-spouse, Farming-fishing, Husband, White, Male,0,0,36, United-States, <=50K
45, Local-gov, HS-grad, Never-married, Craft-repair, Not-in-family, Asian-Pac-Islander, Male,0,0,40, United-States, <=50K
37, Private, Some-college, Never-married, Adm-clerical, Not-in-family, White, Male,0,0,40, United-States, <=50K
41, Self-emp-not-inc, HS-grad, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,50, United-States, <=50K
57, Private, 7th-8th, Separated, Other-service, Unmarried, White, Female,0,0,40, United-States, <=50K
38, Private, HS-grad, Never-married, Sales, Own-child, White, Female,0,1902,35, Hungary, <=50K
34, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,50, United-States, <=50K
27, Private, Bachelors, Never-married, Prof-specialty, Not-in-family, White, Female,3044,0,44, United-States, >50K
39, Private, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,1887,40, United-States, <=50K
26, Self-emp-not-inc, Some-college, Never-married, Machine-op-inspct, Not-in-family, White, Female,0,0,40, United-States, <=50K
45, Self-emp-not-inc, Some-college, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,35, United-States, >50K
23, Private, Assoc-voc, Never-married, Handlers-cleaners, Own-child, Black, Female,0,0,30, United-States, <=50K
26, State-gov, HS-grad, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,0,0,40, United-States, <=50K
24, Private, Doctorate, Separated, Sales, Husband, White, Male,0,0,40, United-States, <=50K
62, Private, 9th, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,48, Mexico, <=50K
47, Private, Bachelors, Married-civ-spouse, Sales, Husband, White, Male,0,0,40, United-States, >50K
38, Private, Assoc-acdm, Married-civ-spouse, Prof-specialty, Husband, White, Male,7298,0,40, United-States, >50K
48, Local-gov, Some-college, Divorced, Prof-specialty, Unmarried, White, Female,0,0,60, United-States, <=50K
55, Self-emp-not-inc, Some-college, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, United-States, <=50K
33, Self-emp-not-inc, HS-grad, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,50, United-States, <=50K
23, Private, HS-grad, Never-married, Handlers-cleaners, Not-in-family, White, Male,0,0,40, United-States, <=50K
22, Private, Bachelors, Never-married, Other-service, Not-in-family, White, Female,0,0,60, United-States, <=50K
53, Self-emp-not-inc, HS-grad, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, United-States, >50K
18, Private, Assoc-voc, Never-married, Handlers-cleaners, Own-child, Black, Male,0,0,20, United-States, <=50K
30, Private, Assoc-voc, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, United-States, >50K
17, Private, 11th, Never-married, Handlers-cleaners, Own-child, White, Female,0,0,20, United-States, <=50K
38, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,6879,0,40, United-States, >50K
38, Private, HS-grad, Never-married, Craft-repair, Not-in-family, White, Male,0,0,60, Ireland, <=50K
36, Private, 11th, Married-civ-spouse, Prof-specialty, Wife, White, Female,15024,0,50, United-States, >50K
40, Private, HS-grad, Divorced, Tech-support, Not-in-family, White, Male,0,0,50, United-States, <=50K
36, Local-gov, HS-grad, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,45, Mexico, <=50K
36, Private, Some-college, Separated, Sales, Wife, Black, Female,0,0,20, United-States, <=50K
21, Private, Some-college, Never-married, Exec-managerial, Own-child, White, Female,0,0,30, United-States, <=50K
49, Self-emp-inc, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,45, United-States, >50K
52, Private, Bachelors, Married-civ-spouse, Other-service, Wife, White, Female,0,0,50, United-States, >50K
47, Private, HS-grad, Divorced, Transport-moving, Husband, White, Male,0,0,35, United-States, <=50K
48, Private, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Male,15024,0,40, United-States, >50K
48, Private, Bachelors, Married-civ-spouse, Sales, Husband, White, Male,0,0,45, United-States, >50K
23, Private, HS-grad, Never-married, Machine-op-inspct, Own-child, White, Male,0,0,40, United-States, <=50K
31, Self-emp-inc, Assoc-acdm, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, United-States, >50K
52, Private, Some-college, Married-civ-spouse, Craft-repair, Husband, White, Male,6511,0,40, China, >50K
42, Local-gov, Bachelors, Married-civ-spouse, Craft-repair, Wife, White, Male,0,0,50, United-States, >50K
41, Private, HS-grad, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, United-States, <=50K
29, Self-emp-not-inc, Some-college, Never-married, Handlers-cleaners, Own-child, White, Male,0,0,40, United-States, <=50K
26, Federal-gov, Assoc-voc, Never-married, Prof-specialty, Not-in-family, White, Male,0,0,50, United-States, <=50K
26, Private, Some-college, Never-married, Sales, Unmarried, White, Female,0,0,40, United-States, <=50K
19, Private, Some-college, Divorced, Other-service, Own-child, White, Female,0,0,25, Puerto-Rico, <=50K
26, Private, HS-grad, Separated, Prof-specialty, Own-child, White, Male,0,0,40, United-States, <=50K
21, Private, Some-college, Never-married, Machine-op-inspct, Own-child, White, Female,3441,0,40, United-States, <=50K
