43, Self-emp-not-inc, HS-grad, Married-civ-spouse, Craft-repair, Wife, Amer-Indian-Eskimo, Male,0,1977,60, Dominican-Republic, >50K
49, State-gov, Some-college, Married-civ-spouse, Exec-managerial, Husband, Asian-Pac-Islander, Male,0,1902,40, Yugoslavia, >50K
63, Private, Masters, Married-civ-spouse, Exec-managerial, Husband, Black, Male,0,0,46, Thailand, <=50K
41, Private, Some-college, Never-married, Tech-support, Not-in-family, Amer-Indian-Eskimo, Female,0,0,40, Puerto-Rico, <=50K
41, Self-emp-not-inc, Some-college, Divorced, Prof-specialty, Unmarried, Black, Female,0,0,40, El-Salvador, <=50K
27, Private, Some-college, Married-civ-spouse, Exec-managerial, Husband, Asian-Pac-Islander, Male,0,0,60, Greece, <=50K
33, Private, HS-grad, Never-married, Prof-specialty, Husband, Other, Male,0,0,40, Guatemala, <=50K
66, State-gov, Masters, Never-married, Prof-specialty, Not-in-family, Amer-Indian-Eskimo, Male,0,0,79, Ecuador, >50K
51, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, Asian-Pac-Islander, Male,0,0,40, Dominican-Republic, <=50K
57, Self-emp-not-inc, Masters, Divorced, Prof-specialty, Not-in-family, White, Female,0,0,45, Nicaragua, <=50K
65, Local-gov, Bachelors, Married-spouse-absent, Craft-repair, Not-in-family, Other, Male,0,0,70, Japan, >50K
36, Private, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Male,7687,0,50, Japan, >50K
27, Private, Some-college, Divorced, Protective-serv, Unmarried, Amer-Indian-Eskimo, Female,0,0,40, France, <=50K
42, Private, Assoc-acdm, Divorced, Adm-clerical, Not-in-family, White, Female,0,0,37, Laos, <=50K
64, Private, Bachelors, Married-civ-spouse, Other-service, Wife, Black, Male,0,0,35, Poland, >50K
30, Local-gov, Assoc-acdm, Married-civ-spouse, Other-service, Unmarried, Asian-Pac-Islander, Male,0,0,45, England, <=50K
27, Private, Bachelors, Never-married, Prof-specialty, Not-in-family, Black, Female,0,0,8, Hong, <=50K
51, Federal-gov, HS-grad, Never-married, Machine-op-inspct, Husband, Amer-Indian-Eskimo, Male,1077,0,45, Nicaragua, >50K
20, Private, Bachelors, Separated, Other-service, Wife, Black, Male,0,0,40, Jamaica, <=50K
42, Self-emp-not-inc, HS-grad, Divorced, Sales, Not-in-family, Asian-Pac-Islander, Female,0,0,54, Honduras, <=50K
41, Self-emp-not-inc, HS-grad, Married-civ-spouse, Craft-repair, Husband, Black, Female,0,0,20, Yugoslavia, <=50K
43, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, Other, Male,0,0,50, Cuba, >50K
34, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, Black, Male,0,0,40, Ecuador, <=50K
44, Private, Bachelors, Never-married, Other-service, Not-in-family, Asian-Pac-Islander, Female,0,0,45, India, <=50K
53, Private, Some-college, Divorced, Prof-specialty, Unmarried, Black, Female,0,0,40, Outlying-US(Guam-USVI-etc), <=50K
32, State-gov, HS-grad, Married-civ-spouse, Craft-repair, Husband, Black, Male,0,0,40, Cuba, >50K
29, Private, 11th, Never-married, Tech-support, Own-child, Other, Female,0,0,40, Jamaica, <=50K
19, Private, Some-college, Never-married, Handlers-cleaners, Own-child, Amer-Indian-Eskimo, Female,0,0,20, Jamaica, <=50K
40, Private, Masters, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,65, South, >50K
32, Private, Some-college, Never-married, Adm-clerical, Not-in-family, Black, Female,0,0,40, Thailand, <=50K
48, Private, 11th, Married-civ-spouse, Craft-repair, Husband, Other, Female,0,0,40, Ecuador, <=50K
41, Self-emp-not-inc, HS-grad, Divorced, Prof-specialty, Unmarried, Asian-Pac-Islander, Female,0,0,40, Canada, <=50K
33, Private, HS-grad, Divorced, Craft-repair, Not-in-family, Other, Female,0,0,40, Yugoslavia, <=50K
22, Private, HS-grad, Never-married, Prof-specialty, Not-in-family, Amer-Indian-Eskimo, Female,0,0,54, Taiwan, <=50K
35, Private, Some-college, Never-married, Other-service, Not-in-family, Amer-Indian-Eskimo, Female,0,0,40, Greece, <=50K
23, Private, Some-college, Never-married, Prof-specialty, Own-child, White, Male,0,0,20, Philippines, <=50K
52, Private, Masters, Never-married, Tech-support, Not-in-family, Other, Female,0,0,10, Haiti, <=50K
32, Private, Bachelors, Never-married, Exec-managerial, Husband, Asian-Pac-Islander, Male,0,0,54, Portugal, <=50K
48, Federal-gov, Some-college, Married-civ-spouse, Craft-repair, Unmarried, White, Male,0,0,50, Jamaica, <=50K
36, Self-emp-inc, Assoc-voc, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,74, India, <=50K
57, Private, HS-grad, Divorced, Protective-serv, Not-in-family, Other, Female,0,0,40, France, <=50K
36, Private, Bachelors, Never-married, Sales, Not-in-family, Other, Female,0,0,50, France, <=50K
24, Self-emp-not-inc, Some-college, Never-married, Exec-managerial, Wife, Asian-Pac-Islander, Female,0,0,40, Ireland, <=50K
57, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, Other, Male,0,0,40, Japan, >50K
40, Local-gov, Assoc-acdm, Married-civ-spouse, Exec-managerial, Husband, Asian-Pac-Islander, Male,0,0,50, Columbia, >50K
51, Self-emp-not-inc, Bachelors, Married-civ-spouse, Adm-clerical, Wife, Amer-Indian-Eskimo, Female,0,0,30, Jamaica, <=50K
54, Private, Bachelors, Divorced, Adm-clerical, Wife, Other, Female,4316,0,40, Ecuador, <=50K
40, Private, Bachelors, Never-married, Craft-repair, Not-in-family, Asian-Pac-Islander, Female,0,0,40, South, <=50K
51, Self-emp-inc, HS-grad, Married-civ-spouse, Transport-moving, Husband, Amer-Indian-Eskimo, Male,0,0,40, Cuba, <=50K
44, Private, Bachelors, Married-civ-spouse, Sales, Husband, Amer-Indian-Eskimo, Female,0,0,40, Germany, >50K
29, Private, Assoc-acdm, Never-married, Adm-clerical, Own-child, White, Female,0,0,15, South, >50K
29, Local-gov, Assoc-voc, Married-civ-spouse, Transport-moving, Husband, Asian-Pac-Islander, Male,0,0,40, Canada, <=50K
38, Private, Some-college, Never-married, Exec-managerial, Own-child, Asian-Pac-Islander, Female,0,0,40, Dominican-Republic, <=50K
37, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, Amer-Indian-Eskimo, Male,0,0,40, Haiti, <=50K
33, Local-gov, HS-grad, Married-civ-spouse, Exec-managerial, Wife, Asian-Pac-Islander, Female,0,0,40, Ireland, >50K
47, Private, Bachelors, Divorced, Machine-op-inspct, Not-in-family, Asian-Pac-Islander, Female,0,0,40, Trinadad&Tobago, <=50K
34, Private, Assoc-voc, Married-civ-spouse, Sales, Husband, White, Male,0,0,35, Thailand, <=50K
42, Private, HS-grad, Married-civ-spouse, Sales, Husband, Other, Male,99999,0,65, Columbia, >50K
64, Private, HS-grad, Never-married, Exec-managerial, Not-in-family, Amer-Indian-Eskimo, Female,0,0,40, China, <=50K
59, Private, Some-college, Never-married, Exec-managerial, Unmarried, Black, Male,0,0,40, Hong, <=50K
28, Private, Some-college, Never-married, Adm-clerical, Not-in-family, Asian-Pac-Islander, Female,0,0,37, Taiwan, <=50K
32, Private, HS-grad, Married-civ-spouse, Tech-support, Husband, Asian-Pac-Islander, Male,0,0,40, Guatemala, >50K
36, State-gov, HS-grad, Never-married, Craft-repair, Not-in-family, Other, Male,0,0,40, Guatemala, <=50K
31, Private, HS-grad, Married-civ-spouse, Machine-op-inspct, Husband, Amer-Indian-Eskimo, Male,0,0,40, Thailand, <=50K
58, Private, HS-grad, Married-civ-spouse, Sales, Husband, Amer-Indian-Eskimo, Female,0,0,40, China, <=50K
31, Self-emp-inc, HS-grad, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,45, El-Salvador, >50K
31, Private, HS-grad, Divorced, Handlers-cleaners, Unmarried, Other, Female,0,0,77, Taiwan, <=50K
39, Private, HS-grad, Never-married, Adm-clerical, Not-in-family, Other, Female,0,0,40, South, <=50K
51, Self-emp-not-inc, Masters, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, Taiwan, >50K
46, Private, HS-grad, Married-civ-spouse, Prof-specialty, Husband, Other, Male,0,0,60, Scotland, >50K
17, Private, 11th, Never-married, Sales, Own-child, White, Female,0,0,5, France, <=50K
21, Private, 11th, Never-married, Prof-specialty, Own-child, Black, Male,0,0,8, China, <=50K
46, Federal-gov, Assoc-acdm, Divorced, Protective-serv, Not-in-family, Black, Female,0,0,45, Jamaica, <=50K
38, Self-emp-not-inc, HS-grad, Married-civ-spouse, Handlers-cleaners, Wife, Other, Male,0,0,40, Taiwan, >50K
61, Private, Some-college, Never-married, Sales, Husband, Amer-Indian-Eskimo, Male,0,0,54, Portugal, <=50K
46, Self-emp-not-inc, HS-grad, Married-civ-spouse, Exec-managerial, Wife, Amer-Indian-Eskimo, Male,0,0,40, Iran, >50K
41, Self-emp-not-inc, Some-college, Never-married, Transport-moving, Not-in-family, White, Male,0,0,60, Thailand, <=50K
28, Private, HS-grad, Never-married, Sales, Not-in-family, Black, Female,0,0,50, England, <=50K
21, State-gov, Some-college, Never-married, Craft-repair, Not-in-family, Asian-Pac-Islander, Male,0,0,40, Guatemala, <=50K
48, State-gov, HS-grad, Widowed, Adm-clerical, Wife, White, Female,0,0,24, Thailand, <=50K
35, Self-emp-not-inc, HS-grad, Never-married, Craft-repair, Husband, White, Male,8614,0,40, Thailand, <=50K
60, Without-pay, Prof-school, Married-civ-spouse, Prof-specialty, Husband, White, Male,99999,0,40, Guatemala, >50K
21, Private, Bachelors, Divorced, Machine-op-inspct, Not-in-family, Asian-Pac-Islander, Male,0,0,40, Ecuador, <=50K
44, Private, HS-grad, Married-civ-spouse, Sales, Husband, Other, Male,0,0,30, Germany, <=50K
18, Private, Some-college, Never-married, Handlers-cleaners, Own-child, Black, Female,0,0,40, Puerto-Rico, <=50K
47, Self-emp-inc, Masters, Married-civ-spouse, Prof-specialty, Husband, White, Male,7687,0,40, Taiwan, >50K
25, Private, HS-grad, Separated, Craft-repair, Own-child, Other, Male,0,0,50, Outlying-US(Guam-USVI-etc), <=50K
26, Private, HS-grad, Never-married, Sales, Husband, Asian-Pac-Islander, Male,0,0,54, Poland, <=50K
27, State-gov, HS-grad, Never-married, Other-service, Unmarried, Black, Female,0,0,35, Scotland, <=50K
27, Private, Masters, Married-spouse-absent, Tech-support, Unmarried, Amer-Indian-Eskimo, Male,0,0,40, Peru, <=50K
79, Private, 7th-8th, Married-civ-spouse, Other-service, Husband, Amer-Indian-Eskimo, Male,0,0,8, Taiwan, >50K
47, Self-emp-not-inc, Masters, Married-civ-spouse, Sales, Husband, Amer-Indian-Eskimo, Male,0,0,60, China, >50K
42, Self-emp-not-inc, HS-grad, Married-civ-spouse, Farming-fishing, Husband, Other, Male,0,0,80, Portugal, >50K
44, Private, Bachelors, Married-civ-spouse, Craft-repair, Husband, White, Female,4064,0,50, Outlying-US(Guam-USVI-etc), <=50K
82, State-gov, HS-grad, Married-civ-spouse, Sales, Husband, Amer-Indian-Eskimo, Female,0,0,40, India, <=50K
26, Private, Some-college, Never-married, Adm-clerical, Not-in-family, Asian-Pac-Islander, Female,0,0,40, Japan, <=50K
34, Private, Assoc-acdm, Never-married, Other-service, Own-child, White, Male,0,0,40, Taiwan, <=50K
66, Self-emp-not-inc, HS-grad, Widowed, Exec-managerial, Unmarried, Amer-Indian-Eskimo, Female,0,0,20, El-Salvador, <=50K
40, State-gov, Doctorate, Never-married, Exec-managerial, Husband, White, Male,0,0,54, Honduras, <=50K
30, Private, 10th, Married-civ-spouse, Protective-serv, Husband, Amer-Indian-Eskimo, Male,0,0,54, Germany, <=50K
22, Private, Some-college, Never-married, Tech-support, Own-child, Asian-Pac-Islander, Female,0,0,35, Nicaragua, <=50K
60, Private, HS-grad, Divorced, Machine-op-inspct, Wife, Black, Female,0,0,40, Italy, <=50K
41, State-gov, HS-grad, Married-civ-spouse, Prof-specialty, Husband, Amer-Indian-Eskimo, Female,7687,0,40, India, >50K
38, Private, Bachelors, Divorced, Tech-support, Not-in-family, Other, Male,0,0,60, Outlying-US(Guam-USVI-etc), <=50K
41, Private, Some-college, Never-married, Prof-specialty, Not-in-family, White, Female,0,0,20, Columbia, <=50K
35, Local-gov, Bachelors, Divorced, Exec-managerial, Not-in-family, White, Female,0,0,40, Guatemala, <=50K
17, Private, Some-college, Never-married, Sales, Own-child, Asian-Pac-Islander, Female,0,0,8, United-States, <=50K
25, Private, Bachelors, Divorced, Craft-repair, Husband, White, Male,0,0,48, Ireland, >50K
27, Local-gov, 12th, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,60, Honduras, <=50K
22, Local-gov, Bachelors, Married-civ-spouse, Craft-repair, Husband, Amer-Indian-Eskimo, Male,0,0,40, Japan, <=50K
28, Private, Some-college, Never-married, Handlers-cleaners, Not-in-family, White, Female,0,0,40, Outlying-US(Guam-USVI-etc), <=50K
40, Private, Bachelors, Married-spouse-absent, Protective-serv, Husband, Asian-Pac-Islander, Male,2598,0,70, Columbia, <=50K
35, Self-emp-not-inc, HS-grad, Married-civ-spouse, Exec-managerial, Not-in-family, White, Female,0,0,99, Jamaica, <=50K
70, Self-emp-not-inc, Bachelors, Married-civ-spouse, Exec-managerial, Husband, Other, Male,0,0,35, Haiti, <=50K
37, Private, Some-college, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,64, Haiti, >50K
17, Private, 11th, Never-married, Sales, Own-child, Asian-Pac-Islander, Female,0,0,24, Dominican-Republic, <=50K
62, Local-gov, Masters, Married-civ-spouse, Sales, Husband, Asian-Pac-Islander, Male,0,0,40, Hong, >50K
71, Self-emp-not-inc, Doctorate, Married-civ-spouse, Prof-specialty, Husband, Asian-Pac-Islander, Female,0,0,2, Italy, <=50K
29, State-gov, HS-grad, Divorced, Adm-clerical, Unmarried, Amer-Indian-Eskimo, Female,0,0,40, Thailand, <=50K
34, Private, HS-grad, Married-civ-spouse, Sales, Not-in-family, Other, Female,0,0,70, Laos, <=50K
17, Private, 11th, Never-married, Other-service, Own-child, Amer-Indian-Eskimo, Female,0,0,30, Outlying-US(Guam-USVI-etc), <=50K
30, State-gov, Some-college, Married-civ-spouse, Protective-serv, Wife, Amer-Indian-Eskimo, Male,0,0,50, Taiwan, <=50K
32, Private, Bachelors, Married-civ-spouse, Other-service, Husband, White, Male,0,0,50, United-States, <=50K
54, Private, HS-grad, Married-civ-spouse, Sales, Husband, Asian-Pac-Islander, Male,0,0,40, India, >50K
45, Private, Assoc-acdm, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,36, Cuba, >50K
27, Private, Some-college, Never-married, Adm-clerical, Not-in-family, White, Male,0,0,35, Vietnam, <=50K
40, Private, Assoc-voc, Married-civ-spouse, Handlers-cleaners, Own-child, Black, Female,0,0,40, Honduras, >50K
63, Self-emp-not-inc, Masters, Married-civ-spouse, Exec-managerial, Husband, Amer-Indian-Eskimo, Male,0,0,60, Philippines, <=50K
34, State-gov, HS-grad, Married-civ-spouse, Other-service, Husband, White, Male,0,0,40, Italy, >50K
53, Private, Assoc-acdm, Divorced, Tech-support, Unmarried, White, Female,0,0,37, Peru, <=50K
21, Private, HS-grad, Never-married, Adm-clerical, Not-in-family, Asian-Pac-Islander, Female,0,0,40, Vietnam, <=50K
28, Private, HS-grad, Married-civ-spouse, Craft-repair, Unmarried, Amer-Indian-Eskimo, Female,0,1684,40, India, >50K
48, Local-gov, Bachelors, Married-civ-spouse, Exec-managerial, Husband, Other, Male,15024,0,40, Ecuador, >50K
64, Self-emp-inc, Masters, Married-spouse-absent, Sales, Husband, White, Male,0,0,40, Portugal, >50K
52, Private, HS-grad, Separated, Transport-moving, Not-in-family, Black, Female,0,1740,40, Iran, <=50K
41, Local-gov, 11th, Married-civ-spouse, Prof-specialty, Husband, Black, Male,0,0,40, Iran, <=50K
36, Private, Bachelors, Married-civ-spouse, Farming-fishing, Husband, Other, Male,7298,0,38, South, >50K
59, Private, Bachelors, Married-civ-spouse, Prof-specialty, Husband, Black, Male,0,0,24, Peru, >50K
35, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, Asian-Pac-Islander, Male,2409,0,40, Mexico, >50K
54, Self-emp-not-inc, Some-college, Married-civ-spouse, Craft-repair, Husband, Other, Male,0,0,50, Guatemala, >50K
30, Private, Some-college, Never-married, Sales, Husband, White, Male,0,0,25, El-Salvador, <=50K
27, Local-gov, Assoc-acdm, Never-married, Adm-clerical, Unmarried, Asian-Pac-Islander, Male,0,0,40, India, <=50K
62, Private, Bachelors, Married-civ-spouse, Sales, Husband, Black, Male,0,0,50, Mexico, >50K
18, Private, HS-grad, Never-married, Adm-clerical, Own-child, Other, Female,2154,0,40, Puerto-Rico, >50K
30, Private, Masters, Separated, Transport-moving, Other-relative, Black, Female,0,0,40, Philippines, <=50K
35, Private, Some-college, Divorced, Adm-clerical, Unmarried, Amer-Indian-Eskimo, Female,0,0,40, Taiwan, <=50K
37, Private, Some-college, Never-married, Sales, Not-in-family, Amer-Indian-Eskimo, Female,0,0,60, Japan, >50K
56, Self-emp-not-inc, Bachelors, Separated, Other-service, Unmarried, White, Female,0,0,25, El-Salvador, <=50K
19, Private, Some-college, Never-married, Machine-op-inspct, Own-child, Amer-Indian-Eskimo, Female,0,0,40, Peru, <=50K
23, Local-gov, Bachelors, Never-married, Sales, Own-child, White, Male,0,0,40, Taiwan, <=50K
26, Private, Assoc-acdm, Never-married, Adm-clerical, Not-in-family, Asian-Pac-Islander, Male,7298,0,63, India, <=50K
59, Private, Masters, Separated, Priv-house-serv, Unmarried, Asian-Pac-Islander, Female,0,0,35, Hong, <=50K
30, Private, HS-grad, Never-married, Transport-moving, Unmarried, Black, Male,0,0,40, South, <=50K
40, State-gov, Bachelors, Married-civ-spouse, Transport-moving, Husband, Other, Male,15024,0,50, Yugoslavia, >50K
47, Self-emp-not-inc, HS-grad, Separated, Adm-clerical, Own-child, Asian-Pac-Islander, Female,0,0,40, Canada, <=50K
27, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, Asian-Pac-Islander, Male,0,0,40, Honduras, >50K
46, Private, HS-grad, Divorced, Adm-clerical, Not-in-family, White, Female,0,0,40, Trinadad&Tobago, <=50K
52, Private, Some-college, Divorced, Sales, Not-in-family, Other, Female,0,0,45, Guatemala, <=50K
34, Self-emp-not-inc, HS-grad, Married-civ-spouse, Prof-specialty, Unmarried, Other, Female,0,0,40, Columbia, <=50K
22, Private, Some-college, Never-married, Other-service, Own-child, Black, Female,0,0,30, Haiti, <=50K
40, Private, Some-college, Never-married, Machine-op-inspct, Not-in-family, Other, Male,0,0,40, Yugoslavia, <=50K
35, Private, Bachelors, Widowed, Adm-clerical, Unmarried, Black, Female,0,0,16, Nicaragua, <=50K
30, Private, Some-college, Never-married, Handlers-cleaners, Not-in-family, Amer-Indian-Eskimo, Male,0,0,45, Trinadad&Tobago, <=50K
41, Private, Doctorate, Married-civ-spouse, Exec-managerial, Husband, Other, Male,0,0,65, Iran, >50K
38, Self-emp-not-inc, Assoc-voc, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,60, Puerto-Rico, <=50K
19, Private, Assoc-voc, Never-married, Other-service, Own-child, Asian-Pac-Islander, Male,0,0,20, Honduras, <=50K
42, Private, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, Yugoslavia, <=50K
61, Private, Bachelors, Married-civ-spouse, Prof-specialty, Not-in-family, White, Female,0,0,15, Italy, >50K
38, Self-emp-inc, Some-college, Married-civ-spouse, Tech-support, Husband, White, Male,0,0,30, Cambodia, >50K
20, Private, HS-grad, Never-married, Sales, Not-in-family, White, Male,0,0,40, Mexico, <=50K
20, Private, Bachelors, Never-married, Handlers-cleaners, Own-child, Black, Male,0,0,40, Haiti, <=50K
38, Local-gov, Some-college, Married-civ-spouse, Sales, Husband, White, Male,0,0,54, Jamaica, >50K
21, Private, Some-college, Never-married, Tech-support, Own-child, Asian-Pac-Islander, Male,0,0,40, Laos, <=50K
29, Private, Bachelors, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, Canada, >50K
19, Private, Bachelors, Never-married, Adm-clerical, Own-child, Asian-Pac-Islander, Female,0,0,40, Puerto-Rico, <=50K
20, Private, Some-college, Never-married, Handlers-cleaners, Own-child, Asian-Pac-Islander, Male,0,0,20, South, <=50K
36, Self-emp-not-inc, HS-grad, Married-civ-spouse, Farming-fishing, Wife, Black, Male,0,0,65, Iran, <=50K
22, Local-gov, Assoc-acdm, Never-married, Adm-clerical, Unmarried, White, Female,0,0,40, Ecuador, <=50K
33, State-gov, Some-college, Divorced, Farming-fishing, Unmarried, Black, Female,0,0,38, South, <=50K
37, Private, Some-college, Never-married, Prof-specialty, Wife, Asian-Pac-Islander, Female,0,0,40, Vietnam, <=50K
44, Federal-gov, HS-grad, Married-civ-spouse, Machine-op-inspct, Husband, Asian-Pac-Islander, Male,0,0,40, Cambodia, <=50K
30, Private, HS-grad, Divorced, Adm-clerical, Unmarried, Asian-Pac-Islander, Female,0,0,40, Outlying-US(Guam-USVI-etc), >50K
39, Self-emp-not-inc, Assoc-acdm, Married-civ-spouse, Exec-managerial, Husband, Other, Male,15024,0,50, Jamaica, >50K
18, Private, Some-college, Never-married, Other-service, Own-child, Other, Female,0,0,20, Greece, <=50K
30, Private, Assoc-voc, Married-civ-spouse, Prof-specialty, Wife, White, Male,7687,0,40, Italy, <=50K
54, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, Black, Male,0,0,40, Nicaragua, >50K
45, Private, Masters, Married-spouse-absent, Farming-fishing, Not-in-family, Amer-Indian-Eskimo, Male,0,0,99, Ireland, >50K
29, Private, Some-college, Never-married, Adm-clerical, Not-in-family, White, Male,0,0,40, United-States, <=50K
33, Private, HS-grad, Never-married, Transport-moving, Own-child, Black, Male,0,0,40, Peru, <=50K
21, Private, 11th, Never-married, Other-service, Not-in-family, Black, Female,0,0,40, Ireland, <=50K
41, Self-emp-not-inc, HS-grad, Divorced, Prof-specialty, Unmarried, White, Female,0,0,20, China, <=50K
24, Private, Bachelors, Never-married, Adm-clerical, Own-child, Black, Female,0,0,45, Greece, <=50K
43, Private, Assoc-voc, Married-spouse-absent, Exec-managerial, Husband, Black, Male,0,0,40, Scotland, >50K
56, Private, Bachelors, Never-married, Exec-managerial, Not-in-family, Asian-Pac-Islander, Female,0,0,40, South, <=50K
80, Self-emp-not-inc, HS-grad, Married-civ-spouse, Prof-specialty, Not-in-family, White, Male,0,0,40, India, <=50K
55, Private, Some-college, Married-civ-spouse, Prof-specialty, Husband, Other, Male,0,0,40, Iran, <=50K
27, Private, Bachelors, Never-married, Farming-fishing, Not-in-family, Amer-Indian-Eskimo, Female,0,0,50, Hong, <=50K
60, State-gov, HS-grad, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,2410,0,45, Guatemala, >50K
27, Private, Bachelors, Never-married, Sales, Not-in-family, Amer-Indian-Eskimo, Male,0,0,50, India, <=50K
50, Private, Assoc-voc, Married-civ-spouse, Exec-managerial, Husband, Asian-Pac-Islander, Male,0,1902,60, Columbia, >50K
22, Private, Bachelors, Never-married, Transport-moving, Own-child, Other, Male,0,0,60, Honduras, <=50K
31, Private, Assoc-voc, Married-civ-spouse, Sales, Husband, Asian-Pac-Islander, Male,0,0,55, Honduras, >50K
51, Private, Some-college, Married-civ-spouse, Prof-specialty, Husband, Asian-Pac-Islander, Male,0,0,40, Honduras, >50K
58, Self-emp-not-inc, Some-college, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,45, Greece, <=50K
50, State-gov, Bachelors, Divorced, Adm-clerical, Unmarried, Black, Female,0,0,40, Mexico, <=50K
40, Private, HS-grad, Divorced, Exec-managerial, Not-in-family, White, Female,0,0,50, South, <=50K
52, Private, Assoc-voc, Never-married, Prof-specialty, Own-child, Asian-Pac-Islander, Female,0,0,20, Puerto-Rico, >50K
26, Private, HS-grad, Married-spouse-absent, Craft-repair, Other-relative, Black, Male,0,0,40, India, <=50K
38, Private, Bachelors, Never-married, Adm-clerical, Unmarried, Amer-Indian-Eskimo, Female,0,0,40, Taiwan, <=50K
22, Private, Assoc-acdm, Never-married, Adm-clerical, Not-in-family, Asian-Pac-Islander, Male,0,0,24, Yugoslavia, <=50K
