19, Private, Some-college, Never-married, Adm-clerical, Unmarried, Asian-Pac-Islander, Male,0,0,24, United-States, <=50K
19, Private, HS-grad, Never-married, Other-service, Own-child, White, Male,0,0,40, United-States, <=50K
41, Private, Some-college, Married-civ-spouse, Prof-specialty, Wife, Black, Male,0,0,48, United-States, >50K
56, Private, 7th-8th, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, United-States, >50K
49, Private, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,54, United-States, >50K
43, Local-gov, Assoc-acdm, Divorced, Prof-specialty, Wife, White, Female,0,0,50, United-States, <=50K
57, Local-gov, HS-grad, Married-civ-spouse, Farming-fishing, Husband, White, Male,0,0,50, United-States, <=50K
28, Local-gov, HS-grad, Separated, Machine-op-inspct, Not-in-family, Black, Female,0,0,40, United-States, <=50K
22, Private, 11th, Never-married, Prof-specialty, Wife, White, Male,2498,0,3, United-States, <=50K
43, Self-emp-not-inc, HS-grad, Divorced, Sales, Not-in-family, White, Male,0,0,80, United-States, <=50K
41, Self-emp-inc, Some-college, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, Vietnam, <=50K
22, Private, Assoc-voc, Divorced, Farming-fishing, Own-child, White, Female,0,0,30, Poland, <=50K
35, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,35, United-States, <=50K
26, Private, Bachelors, Never-married, Prof-specialty, Not-in-family, White, Female,0,0,40, United-States, <=50K
25, Private, Some-college, Married-civ-spouse, Other-service, Own-child, White, Male,0,0,35, United-States, <=50K
34, State-gov, Bachelors, Never-married, Exec-managerial, Not-in-family, White, Female,0,0,40, United-States, >50K
59, Private, 10th, Widowed, Sales, Unmarried, White, Female,0,0,40, United-States, <=50K
61, Private, HS-grad, Divorced, Craft-repair, Husband, Other, Male,0,0,45, United-States, >50K
24, Private, Some-college, Never-married, Transport-moving, Not-in-family, White, Male,0,0,40, United-States, <=50K
57, Self-emp-inc, Some-college, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,1902,40, United-States, <=50K
64, Private, 11th, Married-civ-spouse, Craft-repair, Not-in-family, White, Female,0,0,35, United-States, <=50K
54, Private, HS-grad, Divorced, Protective-serv, Unmarried, Black, Female,0,0,36, Jamaica, <=50K
22, Private, HS-grad, Divorced, Adm-clerical, Unmarried, White, Female,0,0,40, Yugoslavia, <=50K
40, Private, Masters, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,48, United-States, >50K
41, Private, HS-grad, Married-civ-spouse, Exec-managerial, Husband, Asian-Pac-Islander, Male,0,0,40, United-States, <=50K
27, Private, HS-grad, Never-married, Prof-specialty, Own-child, White, Female,0,0,40, United-States, <=50K
24, Private, Masters, Never-married, Tech-support, Not-in-family, White, Female,0,0,40, United-States, >50K
32, Private, Assoc-voc, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, United-States, <=50K
28, Federal-gov, Some-college, Married-civ-spouse, Craft-repair, Wife, White, Male,0,0,20, United-States, <=50K
27, Private, Bachelors, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, >50K
49, Private, Some-college, Divorced, Prof-specialty, Not-in-family, White, Female,0,0,30, United-States, <=50K
79, Private, 7th-8th, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,20, United-States, <=50K
45, Private, Some-college, Divorced, Adm-clerical, Unmarried, Black, Female,0,0,40, United-States, <=50K
54, Private, Masters, Separated, Adm-clerical, Unmarried, White, Male,0,0,40, United-States, <=50K
47, Local-gov, 5th-6th, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, <=50K
22, Private, HS-grad, Never-married, Adm-clerical, Wife, Black, Female,0,0,35, United-States, <=50K
27, Private, HS-grad, Married-civ-spouse, Exec-managerial, Wife, White, Male,0,0,40, United-States, <=50K
30, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,70, United-States, <=50K
30, Private, HS-grad, Married-civ-spouse, Tech-support, Unmarried, Black, Female,0,0,40, United-States, <=50K
21, Private, HS-grad, Never-married, Sales, Own-child, Asian-Pac-Islander, Male,0,0,40, United-States, <=50K
58, Private, 7th-8th, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,50, United-States, >50K
19, Private, 1st-4th, Never-married, Transport-moving, Own-child, White, Male,0,0,40, Mexico, <=50K
22, Private, Some-college, Never-married, Craft-repair, Own-child, White, Male,0,0,54, United-States, <=50K
22, Private, HS-grad, Never-married, Adm-clerical, Not-in-family, White, Male,0,0,40, United-States, <=50K
46, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,1666,50, United-States, >50K
33, Private, Bachelors, Divorced, Prof-specialty, Not-in-family, White, Female,0,0,50, United-States, <=50K
18, Private, 11th, Never-married, Sales, Own-child, White, Male,0,0,16, United-States, <=50K
41, Private, HS-grad, Married-civ-spouse, Tech-support, Husband, White, Male,0,0,40, Puerto-Rico, <=50K
20, Private, Assoc-acdm, Married-civ-spouse, Exec-managerial, Own-child, Black, Male,0,1983,10, United-States, <=50K
59, Private, Some-college, Widowed, Exec-managerial, Wife, White, Female,0,0,40, United-States, <=50K
23, Private, HS-grad, Never-married, Adm-clerical, Unmarried, Black, Female,0,0,40, United-States, <=50K
20, Private, HS-grad, Never-married, Sales, Own-child, White, Female,0,0,24, United-States, <=50K
31, State-gov, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, <=50K
22, Private, Some-college, Married-civ-spouse, Other-service, Husband, Asian-Pac-Islander, Male,0,0,21, United-States, <=50K
22, Private, HS-grad, Married-civ-spouse, Other-service, Own-child, White, Male,0,0,45, Mexico, <=50K
36, Private, HS-grad, Divorced, Craft-repair, Unmarried, White, Male,0,0,40, United-States, <=50K
18, Private, HS-grad, Never-married, Other-service, Own-child, White, Female,0,0,15, United-States, <=50K
26, Private, Bachelors, Never-married, Exec-managerial, Not-in-family, White, Male,0,0,45, United-States, <=50K
47, Self-emp-inc, Prof-school, Never-married, Exec-managerial, Husband, White, Male,15024,0,40, United-States, >50K
32, Private, HS-grad, Never-married, Other-service, Husband, White, Male,0,0,40, United-States, <=50K
24, Private, HS-grad, Never-married, Tech-support, Own-child, White, Female,0,0,40, United-States, <=50K
37, Local-gov, Assoc-acdm, Married-civ-spouse, Other-service, Not-in-family, White, Male,0,0,40, United-States, >50K
59, Federal-gov, 9th, Married-civ-spouse, Sales, Husband, White, Male,15024,0,50, United-States, >50K
47, Self-emp-inc, HS-grad, Divorced, Farming-fishing, Wife, White, Female,0,0,50, United-States, <=50K
20, Private, Some-college, Never-married, Sales, Own-child, Black, Female,0,0,25, United-States, <=50K
34, Private, Some-college, Never-married, Prof-specialty, Not-in-family, Amer-Indian-Eskimo, Female,0,0,35, United-States, >50K
23, Self-emp-not-inc, Some-college, Never-married, Tech-support, Not-in-family, White, Female,0,0,30, United-States, <=50K
35, Private, Masters, Married-civ-spouse, Sales, Husband, White, Male,0,0,40, United-States, >50K
65, State-gov, Some-college, Divorced, Adm-clerical, Not-in-family, White, Male,0,0,50, United-States, <=50K
32, Private, HS-grad, Never-married, Craft-repair, Own-child, White, Male,0,0,40, United-States, >50K
23, Self-emp-inc, Prof-school, Never-married, Exec-managerial, Not-in-family, White, Male,0,0,50, United-States, <=50K
57, Without-pay, Some-college, Widowed, Protective-serv, Husband, White, Male,0,0,60, United-States, <=50K
18, Private, 11th, Married-civ-spouse, Other-service, Own-child, White, Male,0,0,10, United-States, <=50K
32, Private, HS-grad, Separated, Sales, Own-child, White, Female,0,0,40, United-States, <=50K
83, Private, Some-college, Divorced, Exec-managerial, Not-in-family, White, Female,0,0,50, United-States, <=50K
42, Self-emp-inc, Prof-school, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,1977,70, United-States, >50K
36, Private, Some-college, Separated, Adm-clerical, Unmarried, White, Female,0,0,40, United-States, <=50K
35, Private, Bachelors, Separated, Prof-specialty, Not-in-family, White, Female,0,0,40, United-States, <=50K
51, Self-emp-not-inc, Some-college, Married-civ-spouse, Other-service, Husband, White, Male,3103,0,40, United-States, <=50K
49, Private, Some-college, Never-married, Sales, Not-in-family, White, Male,0,0,80, United-States, <=50K
26, Private, Assoc-acdm, Never-married, Machine-op-inspct, Husband, White, Male,0,0,93, United-States, >50K
45, Private, Some-college, Separated, Other-service, Unmarried, Black, Female,0,0,40, Japan, <=50K
44, Self-emp-not-inc, Bachelors, Divorced, Prof-specialty, Wife, White, Male,0,0,50, United-States, <=50K
20, Private, Bachelors, Never-married, Craft-repair, Own-child, White, Female,0,0,10, United-States, <=50K
21, State-gov, HS-grad, Never-married, Sales, Own-child, Black, Female,0,1740,8, United-States, <=50K
24, Private, Some-college, Never-married, Craft-repair, Not-in-family, White, Female,0,0,40, United-States, <=50K
46, Local-gov, 9th, Never-married, Prof-specialty, Wife, White, Male,0,0,40, United-States, <=50K
51, Private, HS-grad, Separated, Craft-repair, Unmarried, Black, Male,0,0,40, United-States, <=50K
56, State-gov, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, <=50K
18, Private, 10th, Never-married, Other-service, Own-child, Black, Female,0,0,10, United-States, <=50K
22, Private, Some-college, Married-civ-spouse, Transport-moving, Own-child, White, Male,0,0,35, United-States, <=50K
39, Private, HS-grad, Divorced, Other-service, Unmarried, Black, Female,0,0,25, United-States, <=50K
40, Self-emp-not-inc, Prof-school, Married-civ-spouse, Machine-op-inspct, Husband, Black, Male,0,0,40, United-States, >50K
41, Private, Doctorate, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,40, United-States, <=50K
29, Private, HS-grad, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,0,0,54, United-States, <=50K
44, Local-gov, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,45, United-States, >50K
64, Private, Some-college, Divorced, Other-service, Not-in-family, White, Female,0,0,40, United-States, <=50K
39, Private, Bachelors, Divorced, Exec-managerial, Husband, White, Male,15024,0,50, United-States, >50K
41, Local-gov, 5th-6th, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,65, United-States, <=50K
60, Federal-gov, 7th-8th, Divorced, Adm-clerical, Not-in-family, Black, Male,0,0,40, United-States, <=50K
42, Private, Some-college, Divorced, Farming-fishing, Not-in-family, White, Female,0,0,38, United-States, <=50K
53, Private, 9th, Married-civ-spouse, Other-service, Husband, White, Male,0,0,45, United-States, <=50K
44, Self-emp-not-inc, HS-grad, Married-civ-spouse, Adm-clerical, Unmarried, White, Female,0,0,30, United-States, <=50K
19, Private, Bachelors, Never-married, Handlers-cleaners, Own-child, White, Female,0,0,20, United-States, <=50K
40, Private, Some-college, Divorced, Exec-managerial, Unmarried, White, Male,0,0,40, United-States, <=50K
46, Self-emp-not-inc, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,37, United-States, >50K
54, Local-gov, HS-grad, Married-civ-spouse, Sales, Husband, White, Male,0,0,40, United-States, <=50K
24, Private, Bachelors, Never-married, Prof-specialty, Not-in-family, White, Female,0,0,40, United-States, <=50K
45, Self-emp-inc, Doctorate, Divorced, Craft-repair, Wife, Asian-Pac-Islander, Female,0,2181,35, United-States, <=50K
38, Private, HS-grad, Divorced, Prof-specialty, Unmarried, White, Female,0,0,40, United-States, <=50K
45, Self-emp-not-inc, HS-grad, Separated, Exec-managerial, Unmarried, Asian-Pac-Islander, Female,0,0,60, United-States, <=50K
54, State-gov, Some-college, Married-civ-spouse, Sales, Husband, White, Male,0,0,40, United-States, >50K
59, Self-emp-inc, Bachelors, Married-civ-spouse, Other-service, Husband, White, Male,0,0,71, United-States, <=50K
49, Private, HS-grad, Married-civ-spouse, Other-service, Husband, White, Male,0,0,40, United-States, <=50K
60, Private, 7th-8th, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, United-States, >50K
20, Private, Some-college, Never-married, Adm-clerical, Not-in-family, White, Male,0,0,30, United-States, <=50K
21, Private, Assoc-acdm, Never-married, Other-service, Unmarried, White, Female,0,0,20, United-States, >50K
27, Self-emp-inc, Bachelors, Never-married, Exec-managerial, Not-in-family, White, Male,0,0,60, United-States, <=50K
26, State-gov, HS-grad, Never-married, Other-service, Unmarried, White, Female,0,0,36, United-States, <=50K
36, Private, 9th, Married-civ-spouse, Transport-moving, Not-in-family, White, Male,3128,0,40, United-States, >50K
35, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,60, United-States, >50K
21, Private, HS-grad, Never-married, Craft-repair, Own-child, Black, Male,0,0,40, United-States, <=50K
85, Private, HS-grad, Widowed, Craft-repair, Unmarried, White, Female,0,0,32, United-States, <=50K
44, Private, Masters, Married-civ-spouse, Prof-specialty, Husband, White, Male,7298,0,45, United-States, >50K
18, Private, HS-grad, Never-married, Tech-support, Own-child, White, Female,0,0,15, United-States, <=50K
65, Local-gov, 10th, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,30, United-States, <=50K
43, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,50, United-States, <=50K
48, Private, Bachelors, Divorced, Other-service, Not-in-family, White, Male,0,0,40, United-States, >50K
64, Self-emp-inc, HS-grad, Widowed, Exec-managerial, Not-in-family, White, Male,1599,0,40, United-States, <=50K
39, Self-emp-not-inc, Some-college, Married-civ-spouse, Craft-repair, Husband, White, Male,0,1665,40, United-States, >50K
34, Private, Some-college, Separated, Sales, Unmarried, White, Female,0,0,40, United-States, <=50K
27, Local-gov, 12th, Never-married, Craft-repair, Own-child, White, Male,0,2001,40, United-States, <=50K
53, Private, HS-grad, Divorced, Other-service, Own-child, White, Female,0,0,40, United-States, <=50K
20, Private, Some-college, Never-married, Adm-clerical, Own-child, White, Female,0,0,40, United-States, >50K
53, Private, Some-college, Separated, Transport-moving, Not-in-family, White, Female,0,0,40, United-States, >50K
42, Private, Some-college, Married-civ-spouse, Craft-repair, Husband, Amer-Indian-Eskimo, Male,5178,0,40, United-States, >50K
24, Private, Some-college, Never-married, Sales, Own-child, Black, Female,0,0,40, United-States, <=50K
51, Private, HS-grad, Separated, Craft-repair, Unmarried, White, Female,0,0,40, United-States, <=50K
49, Private, Some-college, Married-civ-spouse, Other-service, Husband, Other, Male,0,0,60, United-States, >50K
47, Federal-gov, Bachelors, Married-civ-spouse, Sales, Husband, White, Male,0,0,40, United-States, >50K
23, Private, 11th, Never-married, Adm-clerical, Own-child, Other, Male,0,0,20, United-States, <=50K
56, Private, Some-college, Separated, Prof-specialty, Not-in-family, White, Male,2985,0,40, United-States, >50K
26, Private, Some-college, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,40, United-States, <=50K
36, Self-emp-not-inc, HS-grad, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,70, United-States, <=50K
40, Self-emp-not-inc, HS-grad, Never-married, Craft-repair, Husband, Other, Male,0,0,30, Ireland, <=50K
43, Private, Bachelors, Divorced, Exec-managerial, Husband, White, Male,15024,0,45, United-States, >50K
60, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,54, United-States, <=50K
52, Private, Some-college, Divorced, Sales, Not-in-family, White, Female,0,0,40, United-States, <=50K
42, Private, Some-college, Married-civ-spouse, Sales, Not-in-family, White, Male,0,0,45, United-States, <=50K
26, Private, Some-college, Married-civ-spouse, Craft-repair, Other-relative, White, Male,0,0,45, United-States, <=50K
24, Private, Some-college, Never-married, Other-service, Not-in-family, White, Male,0,0,35, United-States, <=50K
29, Private, Bachelors, Separated, Exec-managerial, Not-in-family, White, Female,0,0,40, United-States, <=50K
40, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, Black, Male,0,0,40, United-States, <=50K
23, Private, HS-grad, Never-married, Exec-managerial, Own-child, White, Male,0,0,30, United-States, <=50K
23, Private, 12th, Never-married, Adm-clerical, Own-child, White, Male,0,0,20, United-States, <=50K
37, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, Black, Male,0,0,40, United-States, <=50K
24, Private, HS-grad, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,40, Yugoslavia, <=50K
32, Private, Bachelors, Never-married, Prof-specialty, Not-in-family, White, Female,0,0,40, United-States, >50K
23, Private, Some-college, Never-married, Tech-support, Not-in-family, White, Male,0,0,30, Cuba, <=50K
44, Self-emp-inc, HS-grad, Married-civ-spouse, Sales, Husband, White, Male,0,0,40, United-States, <=50K
21, Private, Bachelors, Never-married, Handlers-cleaners, Not-in-family, White, Male,0,0,40, United-States, <=50K
64, Local-gov, HS-grad, Married-civ-spouse, Sales, Husband, White, Male,0,0,40, United-States, <=50K
42, Local-gov, Some-college, Married-civ-spouse, Tech-support, Wife, White, Male,0,0,40, United-States, >50K
39, Private, Bachelors, Divorced, Adm-clerical, Not-in-family, White, Male,4613,0,40, Japan, <=50K
24, Private, HS-grad, Never-married, Adm-clerical, Unmarried, Black, Female,0,0,50, United-States, <=50K
25, Private, Some-college, Never-married, Exec-managerial, Wife, White, Male,0,0,30, United-States, <=50K
27, Private, HS-grad, Never-married, Exec-managerial, Wife, White, Female,0,0,40, United-States, <=50K
45, Local-gov, 9th, Never-married, Exec-managerial, Not-in-family, White, Female,0,0,35, United-States, >50K
52, State-gov, Some-college, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,0,0,40, United-States, >50K
23, Private, Some-college, Never-married, Protective-serv, Wife, Black, Female,0,0,35, United-States, <=50K
50, Federal-gov, Some-college, Separated, Farming-fishing, Unmarried, White, Male,0,0,77, Cuba, <=50K
46, Private, Masters, Married-civ-spouse, Craft-repair, Husband, White, Male,7687,0,45, United-States, >50K
23, Self-emp-inc, 11th, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, <=50K
53, Private, Masters, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,50, United-States, >50K
77, Private, 5th-6th, Married-civ-spouse, Prof-specialty, Wife, White, Male,0,0,40, United-States, <=50K
60, Private, Assoc-voc, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, <=50K
35, Local-gov, Bachelors, Never-married, Other-service, Wife, Asian-Pac-Islander, Female,0,0,30, United-States, >50K
62, Private, Some-college, Married-civ-spouse, Craft-repair, Husband, White, Male,7298,0,40, United-States, <=50K
53, Self-emp-inc, HS-grad, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,40, United-States, <=50K
23, Private, Assoc-acdm, Never-married, Prof-specialty, Not-in-family, White, Female,0,0,60, United-States, <=50K
54, Self-emp-inc, Masters, Married-civ-spouse, Sales, Husband, White, Female,15024,0,60, United-States, >50K
25, Private, Bachelors, Married-civ-spouse, Adm-clerical, Own-child, White, Male,0,0,40, United-States, <=50K
47, Private, Assoc-voc, Widowed, Craft-repair, Unmarried, White, Male,7920,0,42, United-States, >50K
39, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,1664,48, United-States, <=50K
31, Self-emp-not-inc, Some-college, Never-married, Prof-specialty, Not-in-family, White, Male,0,0,40, United-States, <=50K
24, Private, Some-college, Never-married, Prof-specialty, Own-child, White, Male,0,0,40, United-States, <=50K
26, Private, Bachelors, Never-married, Exec-managerial, Not-in-family, Black, Female,0,0,50, United-States, <=50K
49, State-gov, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,60, United-States, >50K
39, Private, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,45, United-States, >50K
28, Local-gov, Assoc-acdm, Never-married, Handlers-cleaners, Not-in-family, White, Female,0,0,40, United-States, <=50K
66, Private, HS-grad, Married-civ-spouse, Transport-moving, Husband, White, Male,4008,0,20, United-States, <=50K
18, Private, 11th, Never-married, Other-service, Own-child, White, Male,0,0,40, United-States, <=50K
29, Private, Some-college, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,1977,15, United-States, <=50K
17, Private, 12th, Never-married, Handlers-cleaners, Own-child, White, Female,0,0,8, United-States, <=50K
39, Self-emp-not-inc, Doctorate, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, <=50K
50, Private, Masters, Divorced, Exec-managerial, Not-in-family, White, Female,0,0,40, United-States, <=50K
44, Private, Assoc-voc, Never-married, Machine-op-inspct, Not-in-family, White, Female,0,0,40, United-States, >50K
22, Private, HS-grad, Never-married, Craft-repair, Own-child, White, Male,0,0,40, United-States, <=50K
37, Private, Bachelors, Never-married, Craft-repair, Own-child, Black, Male,0,0,40, United-States, <=50K
47, Private, 9th, Divorced, Craft-repair, Unmarried, Black, Male,0,0,35, United-States, <=50K
66, Self-emp-inc, Some-college, Divorced, Exec-managerial, Unmarried, White, Female,0,0,50, United-States, <=50K
37, Private, Doctorate, Married-civ-spouse, Exec-managerial, Unmarried, White, Male,0,0,37, United-States, <=50K
18, Private, HS-grad, Never-married, Adm-clerical, Own-child, White, Male,0,0,40, Mexico, <=50K
41, Private, 10th, Never-married, Machine-op-inspct, Unmarried, White, Male,0,0,30, United-States, <=50K
55, Self-emp-inc, HS-grad, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,60, United-States, <=50K
44, Local-gov, Masters, Divorced, Other-service, Unmarried, White, Female,0,0,40, Taiwan, <=50K
30, Private, Masters, Never-married, Sales, Not-in-family, White, Female,0,0,45, United-States, <=50K
46, Private, Masters, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,50, United-States, >50K
24, Private, HS-grad, Never-married, Other-service, Own-child, White, Female,0,0,35, United-States, <=50K
64, Private, Bachelors, Married-civ-spouse, Prof-specialty, Wife, White, Male,15024,0,50, United-States, >50K
46, Private, HS-grad, Divorced, Transport-moving, Husband, White, Male,0,0,40, United-States, >50K
19, Private, HS-grad, Never-married, Handlers-cleaners, Own-child, White, Male,0,0,40, United-States, <=50K
38, Private, Doctorate, Married-civ-spouse, Sales, Husband, White, Male,7298,0,60, United-States, >50K
47, Self-emp-inc, HS-grad, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,54, United-States, >50K
28, Private, 9th, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, <=50K
42, Private, Some-college, Married-civ-spouse, Exec-managerial, Wife, White, Female,0,0,20, Dominican-Republic, >50K
60, Local-gov, HS-grad, Married-civ-spouse, Adm-clerical, Wife, White, Male,0,0,10, United-States, <=50K
30, Private, Bachelors, Never-married, Handlers-cleaners, Husband, White, Male,0,0,40, United-States, <=50K
57, Self-emp-not-inc, Prof-school, Widowed, Handlers-cleaners, Not-in-family, White, Female,0,0,40, United-States, <=50K
46, Federal-gov, Assoc-acdm, Married-civ-spouse, Protective-serv, Husband, White, Male,0,0,45, United-States, >50K
55, Private, Some-college, Married-civ-spouse, Sales, Husband, White, Male,0,0,40, United-States, >50K
46, Private, Some-college, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, United-States, >50K
42, Private, Bachelors, Never-married, Prof-specialty, Not-in-family, White, Male,0,0,65, United-States, >50K
28, Private, Masters, Married-civ-spouse, Protective-serv, Husband, White, Male,7687,0,50, United-States, >50K
19, Private, Some-college, Never-married, Other-service, Own-child, White, Female,0,0,15, United-States, <=50K
24, Private, HS-grad, Never-married, Tech-support, Own-child, White, Male,0,0,36, United-States, <=50K
42, Private, Some-college, Married-civ-spouse, Other-service, Not-in-family, White, Male,7324,0,50, United-States, <=50K
42, Private, HS-grad, Never-married, Adm-clerical, Unmarried, Black, Female,0,0,40, United-States, <=50K
42, Private, Bachelors, Never-married, Adm-clerical, Not-in-family, Black, Female,0,0,40, United-States, <=50K
32, Local-gov, Bachelors, Married-civ-spouse, Craft-repair, Husband, Black, Male,0,0,40, United-States, <=50K
