59, Self-emp-inc, HS-grad, Divorced, Adm-clerical, Wife, Amer-Indian-Eskimo, Male,0,0,38, Puerto-Rico, <=50K
31, Private, Bachelors, Divorced, Prof-specialty, Unmarried, Amer-Indian-Eskimo, Female,0,0,40, United-States, <=50K
45, Self-emp-not-inc, Masters, Divorced, Prof-specialty, Wife, White, Female,0,0,60, Germany, <=50K
36, Self-emp-not-inc, 7th-8th, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,35, United-States, <=50K
51, Self-emp-not-inc, 12th, Divorced, Adm-clerical, Unmarried, White, Female,0,0,40, United-States, <=50K
29, Private, Some-college, Never-married, Handlers-cleaners, Not-in-family, White, Male,0,0,40, United-States, <=50K
39, Self-emp-not-inc, Bachelors, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,45, United-States, <=50K
25, Federal-gov, Some-college, Married-civ-spouse, Exec-managerial, Husband, White, Female,0,0,40, United-States, >50K
43, Self-emp-inc, Some-college, Separated, Prof-specialty, Wife, White, Male,0,0,70, United-States, >50K
27, Private, HS-grad, Never-married, Sales, Own-child, White, Male,0,0,40, United-States, <=50K
25, Private, Some-college, Never-married, Handlers-cleaners, Not-in-family, White, Male,0,0,40, United-States, <=50K
49, Private, Some-college, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,40, United-States, <=50K
19, Private, Some-college, Never-married, Sales, Other-relative, White, Male,0,0,30, Yugoslavia, <=50K
32, Private, Some-college, Never-married, Transport-moving, Not-in-family, Black, Male,0,0,40, United-States, <=50K
19, Private, 9th, Never-married, Adm-clerical, Own-child, White, Male,0,0,15, United-States, <=50K
39, Private, HS-grad, Married-civ-spouse, Transport-moving, Own-child, Other, Male,0,0,35, United-States, <=50K
26, Federal-gov, Bachelors, Married-civ-spouse, Exec-managerial, Wife, White, Female,5170,0,44, United-States, >50K
33, Private, Some-college, Never-married, Machine-op-inspct, Not-in-family, White, Male,0,0,45, United-States, <=50K
44, Private, HS-grad, Never-married, Tech-support, Unmarried, White, Female,0,0,40, United-States, <=50K
27, Private, Masters, Never-married, Sales, Unmarried, Amer-Indian-Eskimo, Female,0,0,40, United-States, <=50K
22, Private, Some-college, Never-married, Other-service, Own-child, White, Female,0,0,15, United-States, <=50K
61, Private, HS-grad, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,1887,40, United-States, >50K
57, Private, HS-grad, Married-civ-spouse, Transport-moving, Husband, White, Male,0,1630,45, United-States, >50K
53, Self-emp-not-inc, Some-college, Married-civ-spouse, Sales, Husband, White, Male,0,0,48, United-States, <=50K
34, Private, Some-college, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,50, United-States, >50K
59, Private, HS-grad, Divorced, Craft-repair, Husband, White, Male,0,0,40, Mexico, <=50K
28, Private, Some-college, Never-married, Sales, Own-child, White, Female,0,0,30, Peru, <=50K
45, Private, HS-grad, Never-married, Sales, Not-in-family, White, Female,0,0,40, United-States, <=50K
39, Private, 7th-8th, Divorced, Sales, Not-in-family, White, Male,0,0,50, United-States, >50K
28, Private, Some-college, Never-married, Sales, Not-in-family, White, Female,0,0,40, United-States, <=50K
25, Self-emp-not-inc, Some-college, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,45, United-States, <=50K
25, Private, Bachelors, Divorced, Exec-managerial, Unmarried, White, Female,0,0,40, United-States, <=50K
43, Private, Assoc-acdm, Divorced, Adm-clerical, Wife, White, Female,0,0,40, United-States, <=50K
48, State-gov, Bachelors, Married-civ-spouse, Prof-specialty, Wife, White, Female,0,0,40, Japan, >50K
18, Private, Some-college, Never-married, Sales, Own-child, Black, Female,0,0,40, United-States, <=50K
36, Private, HS-grad, Married-civ-spouse, Craft-repair, Not-in-family, White, Male,0,0,40, United-States, <=50K
35, Private, Bachelors, Never-married, Prof-specialty, Unmarried, White, Male,14053,0,40, United-States, <=50K
59, Self-emp-not-inc, Assoc-acdm, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,50, United-States, <=50K
48, Private, HS-grad, Never-married, Craft-repair, Husband, Black, Male,0,0,30, United-States, >50K
40, Private, HS-grad, Married-civ-spouse, Adm-clerical, Husband, White, Male,0,0,60, United-States, <=50K
29, Without-pay, 7th-8th, Divorced, Exec-managerial, Not-in-family, White, Female,0,0,40, United-States, <=50K
57, Federal-gov, 1st-4th, Divorced, Craft-repair, Husband, Other, Female,0,2288,40, United-States, <=50K
19, Private, HS-grad, Never-married, Other-service, Own-child, Black, Male,0,0,16, United-States, <=50K
60, Private, HS-grad, Married-civ-spouse, Sales, Husband, White, Male,0,0,40, United-States, <=50K
33, Private, Some-college, Never-married, Prof-specialty, Not-in-family, White, Male,0,0,45, Ireland, <=50K
35, Private, Some-college, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, <=50K
21, Private, Bachelors, Never-married, Adm-clerical, Not-in-family, White, Male,0,0,40, United-States, <=50K
51, Private, Masters, Married-civ-spouse, Sales, Husband, White, Male,0,0,40, Outlying-US(Guam-USVI-etc), <=50K
39, Private, Assoc-voc, Married-civ-spouse, Other-service, Husband, White, Male,0,0,50, United-States, >50K
26, Private, Some-college, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, <=50K
19, Private, Some-college, Never-married, Other-service, Own-child, White, Female,0,0,25, India, <=50K
41, Private, HS-grad, Married-civ-spouse, Exec-managerial, Wife, White, Male,10520,0,50, Cuba, >50K
39, Private, Some-college, Divorced, Tech-support, Unmarried, White, Female,0,0,45, Columbia, <=50K
36, Local-gov, Some-college, Never-married, Farming-fishing, Not-in-family, White, Male,0,0,99, United-States, <=50K
33, Private, Masters, Married-civ-spouse, Prof-specialty, Husband, Other, Male,0,1887,40, United-States, >50K
52, Private, Bachelors, Married-civ-spouse, Other-service, Husband, White, Male,0,0,40, United-States, <=50K
65, Self-emp-not-inc, Bachelors, Divorced, Other-service, Not-in-family, Amer-Indian-Eskimo, Female,0,0,35, United-States, <=50K
26, Private, HS-grad, Never-married, Other-service, Not-in-family, Amer-Indian-Eskimo, Male,0,0,40, United-States, <=50K
58, Local-gov, Bachelors, Married-civ-spouse, Tech-support, Husband, White, Male,0,0,40, Japan, >50K
39, State-gov, Some-college, Divorced, Craft-repair, Unmarried, Black, Female,0,0,40, United-States, <=50K
43, Private, Some-college, Divorced, Prof-specialty, Not-in-family, White, Male,0,0,60, United-States, <=50K
49, State-gov, HS-grad, Divorced, Adm-clerical, Wife, White, Female,0,0,35, United-States, <=50K
44, Self-emp-not-inc, HS-grad, Never-married, Sales, Not-in-family, White, Female,0,0,5, United-States, <=50K
36, Private, Bachelors, Never-married, Prof-specialty, Not-in-family, White, Female,12919,0,45, United-States, >50K
27, Private, Bachelors, Never-married, Machine-op-inspct, Not-in-family, White, Male,0,0,37, United-States, <=50K
45, Self-emp-not-inc, Some-college, Never-married, Sales, Unmarried, White, Female,0,0,15, United-States, <=50K
52, Self-emp-not-inc, HS-grad, Married-civ-spouse, Transport-moving, Unmarried, White, Male,0,0,54, United-States, <=50K
23, Private, 12th, Divorced, Adm-clerical, Not-in-family, White, Female,2238,0,40, United-States, <=50K
24, Federal-gov, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,60, United-States, >50K
46, Private, Bachelors, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,45, United-States, >50K
29, State-gov, Some-college, Never-married, Sales, Not-in-family, White, Male,0,0,35, United-States, <=50K
29, Private, Some-college, Separated, Sales, Not-in-family, White, Male,0,0,40, United-States, <=50K
58, Private, HS-grad, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,40, United-States, <=50K
44, Private, 5th-6th, Married-civ-spouse, Sales, Husband, White, Male,0,0,40, United-States, <=50K
33, Private, HS-grad, Divorced, Adm-clerical, Own-child, Black, Female,0,0,40, United-States, <=50K
24, Private, Assoc-voc, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,0,0,44, Cuba, <=50K
42, State-gov, HS-grad, Never-married, Sales, Wife, White, Female,5178,0,40, United-States, <=50K
20, Private, HS-grad, Never-married, Sales, Not-in-family, White, Female,0,0,20, United-States, <=50K
23, Private, HS-grad, Never-married, Sales, Own-child, White, Female,0,0,25, United-States, <=50K
23, Self-emp-not-inc, Some-college, Never-married, Prof-specialty, Other-relative, White, Male,0,0,40, Jamaica, <=50K
25, Private, HS-grad, Never-married, Other-service, Other-relative, White, Female,0,0,40, United-States, <=50K
64, Self-emp-not-inc, 10th, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,0,0,5, United-States, <=50K
47, Self-emp-inc, Assoc-voc, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,40, United-States, <=50K
56, Private, HS-grad, Widowed, Protective-serv, Unmarried, White, Female,0,0,40, United-States, <=50K
43, Self-emp-not-inc, HS-grad, Married-civ-spouse, Farming-fishing, Unmarried, White, Male,0,0,99, United-States, <=50K
38, Private, Some-college, Married-civ-spouse, Exec-managerial, Wife, Other, Male,0,0,40, United-States, >50K
38, Self-emp-not-inc, Some-college, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,54, United-States, <=50K
55, Private, HS-grad, Married-civ-spouse, Adm-clerical, Husband, Black, Male,3103,0,40, United-States, <=50K
31, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,52, United-States, <=50K
19, Private, HS-grad, Never-married, Adm-clerical, Own-child, White, Male,0,0,40, United-States, <=50K
25, Private, Some-college, Married-civ-spouse, Craft-repair, Not-in-family, White, Male,0,0,40, United-States, <=50K
54, Private, Masters, Widowed, Sales, Husband, White, Male,0,0,50, United-States, <=50K
62, Private, HS-grad, Widowed, Farming-fishing, Not-in-family, White, Male,0,0,45, United-States, >50K
41, Private, HS-grad, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,40, United-States, <=50K
27, Private, HS-grad, Never-married, Sales, Own-child, White, Female,0,0,20, United-States, <=50K
48, Private, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, United-States, >50K
36, Private, Some-college, Married-civ-spouse, Sales, Husband, White, Male,0,0,40, United-States, <=50K
55, Private, HS-grad, Married-civ-spouse, Farming-fishing, Husband, White, Male,3103,0,40, United-States, <=50K
38, Self-emp-not-inc, Bachelors, Married-civ-spouse, Handlers-cleaners, Not-in-family, White, Male,0,0,44, United-States, >50K
29, Private, HS-grad, Married-civ-spouse, Other-service, Husband, White, Male,0,1887,50, United-States, >50K
47, State-gov, Prof-school, Married-civ-spouse, Prof-specialty, Wife, White, Male,0,0,35, United-States, <=50K
33, Private, Some-college, Never-married, Machine-op-inspct, Unmarried, Asian-Pac-Islander, Female,0,0,40, United-States, <=50K
40, Private, HS-grad, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,0,0,40, United-States, <=50K
18, Private, 11th, Never-married, Farming-fishing, Own-child, White, Male,0,0,16, United-States, <=50K
57, Self-emp-not-inc, Assoc-voc, Widowed, Prof-specialty, Unmarried, White, Female,0,0,40, United-States, <=50K
23, Private, HS-grad, Never-married, Craft-repair, Husband, White, Male,0,0,30, United-States, <=50K
42, Private, HS-grad, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,0,0,30, United-States, <=50K
23, Private, HS-grad, Never-married, Prof-specialty, Not-in-family, White, Male,0,0,40, United-States, <=50K
64, Private, Masters, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,2315,60, United-States, >50K
42, Private, Assoc-acdm, Married-civ-spouse, Sales, Husband, White, Male,0,0,50, United-States, <=50K
52, Self-emp-not-inc, Some-college, Married-civ-spouse, Prof-specialty, Wife, White, Female,0,0,40, United-States, >50K
54, Self-emp-not-inc, Bachelors, Married-civ-spouse, Sales, Husband, White, Male,0,0,50, United-States, >50K
21, Private, 11th, Never-married, Sales, Own-child, White, Female,0,0,40, United-States, <=50K
43, Private, Bachelors, Married-civ-spouse, Exec-managerial, Not-in-family, White, Female,0,0,46, United-States, >50K
42, State-gov, Some-college, Divorced, Craft-repair, Husband, White, Male,0,0,54, United-States, <=50K
34, Private, Bachelors, Never-married, Adm-clerical, Unmarried, White, Female,0,0,50, Italy, <=50K
24, Self-emp-not-inc, HS-grad, Married-civ-spouse, Craft-repair, Own-child, White, Male,0,0,40, United-States, <=50K
72, Federal-gov, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, <=50K
54, Private, 9th, Divorced, Prof-specialty, Not-in-family, White, Female,0,0,35, United-States, <=50K
25, Private, HS-grad, Never-married, Other-service, Not-in-family, White, Male,0,0,40, United-States, <=50K
43, Private, Some-college, Married-civ-spouse, Other-service, Wife, White, Female,0,0,35, United-States, <=50K
34, Private, HS-grad, Divorced, Adm-clerical, Not-in-family, White, Female,7298,0,35, Mexico, <=50K
35, Private, HS-grad, Married-civ-spouse, Craft-repair, Not-in-family, White, Male,3103,0,40, China, <=50K
60, Self-emp-inc, Masters, Married-civ-spouse, Craft-repair, Husband, White, Male,7687,0,50, United-States, >50K
47, Private, Masters, Married-civ-spouse, Tech-support, Husband, White, Male,0,1902,45, United-States, >50K
40, Self-emp-not-inc, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,1887,40, United-States, >50K
19, Private, Some-college, Never-married, Handlers-cleaners, Own-child, White, Male,0,0,20, United-States, <=50K
63, Private, Some-college, Widowed, Sales, Not-in-family, White, Male,0,0,50, United-States, <=50K
55, Private, HS-grad, Divorced, Adm-clerical, Not-in-family, White, Female,0,0,40, Cambodia, <=50K
36, Private, Some-college, Married-civ-spouse, Sales, Husband, White, Male,5178,0,50, United-States, >50K
43, Private, Some-college, Divorced, Transport-moving, Unmarried, White, Female,0,0,35, United-States, <=50K
38, Private, Assoc-voc, Divorced, Exec-managerial, Unmarried, White, Female,0,0,35, United-States, <=50K
35, Private, HS-grad, Married-civ-spouse, Farming-fishing, Not-in-family, White, Male,0,0,50, United-States, <=50K
27, Private, Bachelors, Divorced, Other-service, Unmarried, White, Female,0,0,37, United-States, <=50K
44, Private, Assoc-voc, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,70, United-States, <=50K
37, Private, Some-college, Never-married, Craft-repair, Husband, White, Male,0,0,40, United-States, <=50K
23, Private, Some-college, Never-married, Exec-managerial, Not-in-family, White, Male,0,0,50, United-States, <=50K
54, Self-emp-not-inc, Some-college, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,35, United-States, >50K
42, State-gov, Bachelors, Divorced, Protective-serv, Own-child, White, Female,0,0,35, Canada, <=50K
25, Self-emp-not-inc, Some-college, Never-married, Exec-managerial, Not-in-family, White, Male,0,0,40, United-States, <=50K
36, Private, Bachelors, Divorced, Tech-support, Wife, White, Female,0,0,40, United-States, >50K
22, Private, HS-grad, Married-civ-spouse, Craft-repair, Not-in-family, White, Male,0,0,40, United-States, <=50K
32, Private, Masters, Married-civ-spouse, Exec-managerial, Husband, White, Male,7687,0,50, Canada, >50K
51, Private, Bachelors, Married-civ-spouse, Adm-clerical, Unmarried, White, Female,7687,0,20, United-States, >50K
74, Private, Bachelors, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,20, United-States, <=50K
61, Private, HS-grad, Divorced, Exec-managerial, Husband, White, Male,3103,0,40, United-States, >50K
32, Private, Some-college, Never-married, Other-service, Unmarried, Asian-Pac-Islander, Male,0,0,25, United-States, <=50K
46, Private, 5th-6th, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, <=50K
50, Private, Bachelors, Never-married, Other-service, Unmarried, White, Female,0,0,40, United-States, <=50K
35, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,4391,0,35, El-Salvador, <=50K
28, Private, Masters, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,0,0,40, United-States, <=50K
57, Private, Bachelors, Divorced, Other-service, Unmarried, White, Female,0,0,32, United-States, <=50K
46, State-gov, Bachelors, Married-civ-spouse, Adm-clerical, Wife, White, Male,0,0,40, El-Salvador, >50K
26, Self-emp-not-inc, Masters, Never-married, Prof-specialty, Unmarried, White, Female,0,0,20, United-States, <=50K
28, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, Nicaragua, <=50K
36, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,50, United-States, <=50K
62, Private, HS-grad, Divorced, Other-service, Not-in-family, White, Female,0,0,32, Mexico, <=50K
36, Private, HS-grad, Never-married, Adm-clerical, Not-in-family, White, Female,0,0,40, Mexico, <=50K
36, Private, Assoc-voc, Divorced, Craft-repair, Not-in-family, White, Female,0,0,40, United-States, <=50K
60, Private, Some-college, Divorced, Other-service, Not-in-family, Asian-Pac-Islander, Male,0,0,50, United-States, <=50K
36, Private, Some-college, Never-married, Sales, Not-in-family, White, Female,14153,0,40, United-States, >50K
40, Private, 11th, Married-civ-spouse, Prof-specialty, Husband, Black, Male,0,0,40, United-States, >50K
47, Private, HS-grad, Married-civ-spouse, Tech-support, Husband, White, Male,0,0,40, United-States, <=50K
55, Self-emp-inc, Masters, Separated, Adm-clerical, Wife, White, Female,0,0,40, United-States, <=50K
53, Private, HS-grad, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,40, United-States, <=50K
51, Self-emp-not-inc, Some-college, Married-civ-spouse, Farming-fishing, Husband, White, Male,0,0,70, United-States, <=50K
31, Private, Bachelors, Never-married, Machine-op-inspct, Not-in-family, White, Female,0,0,40, United-States, <=50K
31, Private, HS-grad, Never-married, Farming-fishing, Own-child, White, Male,0,0,42, United-States, <=50K
22, Private, HS-grad, Never-married, Craft-repair, Own-child, White, Female,0,0,36, United-States, <=50K
