26, Private, Bachelors, Divorced, Craft-repair, Wife, Amer-Indian-Eskimo, Male,9180,0,50, Dominican-Republic, >50K
32, Private, HS-grad, Married-civ-spouse, Adm-clerical, Not-in-family, Other, Male,0,0,40, Yugoslavia, <=50K
40, Self-emp-inc, Assoc-acdm, Married-civ-spouse, Prof-specialty, Husband, Asian-Pac-Islander, Female,0,0,50, Jamaica, >50K
44, Private, Bachelors, Never-married, Exec-managerial, Husband, Black, Male,0,0,65, Yugoslavia, <=50K
33, Federal-gov, HS-grad, Never-married, Craft-repair, Own-child, Amer-Indian-Eskimo, Male,0,0,30, Ecuador, <=50K
64, Private, HS-grad, Married-civ-spouse, Exec-managerial, Not-in-family, Black, Female,0,0,40, Jamaica, <=50K
27, Private, Some-college, Divorced, Prof-specialty, Own-child, White, Female,0,0,40, Trinadad&Tobago, <=50K
35, Private, Bachelors, Divorced, Exec-managerial, Husband, White, Male,7315,0,40, China, >50K
27, Private, Bachelors, Never-married, Exec-managerial, Other-relative, Black, Female,0,0,35, El-Salvador, <=50K
18, Private, 11th, Never-married, Protective-serv, Own-child, Black, Male,0,0,30, Dominican-Republic, <=50K
38, Private, Bachelors, Married-civ-spouse, Craft-repair, Husband, Black, Female,0,0,40, Germany, <=50K
38, Private, HS-grad, Widowed, Craft-repair, Husband, Black, Female,0,0,50, Cambodia, <=50K
32, Private, HS-grad, Married-spouse-absent, Craft-repair, Not-in-family, Asian-Pac-Islander, Male,0,0,40, Canada, >50K
28, State-gov, Some-college, Never-married, Other-service, Wife, Asian-Pac-Islander, Female,0,0,5, Yugoslavia, <=50K
19, Private, Some-college, Never-married, Handlers-cleaners, Own-child, Black, Male,0,0,30, Thailand, <=50K
36, Private, Some-college, Married-civ-spouse, Transport-moving, Not-in-family, Amer-Indian-Eskimo, Female,0,0,50, Puerto-Rico, <=50K
32, Private, Some-college, Married-civ-spouse, Protective-serv, Husband, Black, Male,0,0,40, El-Salvador, <=50K
47, Private, Some-college, Married-civ-spouse, Exec-managerial, Husband, Asian-Pac-Islander, Female,0,0,50, Guatemala, <=50K
19, Private, Bachelors, Never-married, Sales, Not-in-family, Other, Male,0,0,50, Guatemala, <=50K
45, State-gov, HS-grad, Married-civ-spouse, Prof-specialty, Not-in-family, Amer-Indian-Eskimo, Male,0,0,45, Ecuador, <=50K
56, Private, Bachelors, Married-civ-spouse, Exec-managerial, Unmarried, Asian-Pac-Islander, Female,0,0,40, Dominican-Republic, <=50K
32, Self-emp-not-inc, Prof-school, Never-married, Prof-specialty, Own-child, White, Female,0,0,35, Nicaragua, <=50K
34, Local-gov, Assoc-voc, Never-married, Adm-clerical, Other-relative, Black, Male,0,0,50, Japan, >50K
27, Private, Bachelors, Never-married, Prof-specialty, Unmarried, White, Female,0,1902,40, Japan, >50K
58, Private, Some-college, Married-civ-spouse, Sales, Not-in-family, Amer-Indian-Eskimo, Male,0,0,40, France, >50K
21, Private, 12th, Never-married, Handlers-cleaners, Husband, White, Male,0,0,35, Laos, <=50K
58, Private, 9th, Divorced, Machine-op-inspct, Not-in-family, Black, Male,0,0,40, Poland, >50K
39, Federal-gov, 7th-8th, Divorced, Prof-specialty, Unmarried, Asian-Pac-Islander, Male,0,0,45, England, <=50K
45, Local-gov, Bachelors, Married-civ-spouse, Other-service, Husband, Black, Female,0,0,40, Hong, <=50K
35, Local-gov, HS-grad, Separated, Machine-op-inspct, Husband, Amer-Indian-Eskimo, Male,0,0,40, Mexico, <=50K
34, Self-emp-not-inc, Assoc-voc, Separated, Prof-specialty, Unmarried, Black, Male,0,0,70, Jamaica, <=50K
47, Self-emp-not-inc, HS-grad, Married-civ-spouse, Sales, Husband, Asian-Pac-Islander, Male,0,0,60, Honduras, <=50K
23, Private, Some-college, Never-married, Adm-clerical, Not-in-family, Black, Female,0,0,40, Yugoslavia, <=50K
45, Private, Assoc-acdm, Divorced, Exec-managerial, Husband, Other, Male,0,0,50, Cuba, >50K
26, Private, HS-grad, Never-married, Craft-repair, Not-in-family, Black, Female,0,0,40, Ecuador, <=50K
36, Private, Assoc-voc, Never-married, Other-service, Not-in-family, Asian-Pac-Islander, Female,0,0,40, India, <=50K
26, Private, Some-college, Married-civ-spouse, Prof-specialty, Not-in-family, Other, Female,0,0,40, Outlying-US(Guam-USVI-etc), <=50K
25, Self-emp-not-inc, HS-grad, Never-married, Exec-managerial, Husband, Black, Male,0,0,60, Cuba, >50K
29, Private, 10th, Never-married, Tech-support, Not-in-family, Other, Female,0,0,45, Jamaica, <=50K
23, Private, HS-grad, Divorced, Craft-repair, Not-in-family, Amer-Indian-Eskimo, Female,0,0,40, Jamaica, >50K
29, Private, Masters, Married-civ-spouse, Transport-moving, Not-in-family, White, Male,0,0,40, South, >50K
47, Self-emp-inc, Some-college, Married-civ-spouse, Craft-repair, Not-in-family, Black, Female,0,0,40, Thailand, <=50K
35, Private, 11th, Married-civ-spouse, Adm-clerical, Own-child, Other, Female,0,0,40, Ecuador, <=50K
41, Self-emp-not-inc, HS-grad, Married-civ-spouse, Sales, Husband, Asian-Pac-Islander, Male,0,0,60, Canada, >50K
55, Private, HS-grad, Divorced, Craft-repair, Not-in-family, Other, Female,0,0,8, Yugoslavia, >50K
22, Private, Some-college, Never-married, Prof-specialty, Own-child, Amer-Indian-Eskimo, Female,0,0,15, Taiwan, <=50K
60, Private, HS-grad, Never-married, Other-service, Husband, Amer-Indian-Eskimo, Female,0,0,30, Greece, <=50K
41, Private, HS-grad, Divorced, Other-service, Unmarried, White, Male,0,0,40, Philippines, <=50K
19, Private, Some-college, Never-married, Transport-moving, Not-in-family, White, Male,0,0,40, Haiti, <=50K
21, Private, Assoc-acdm, Never-married, Handlers-cleaners, Not-in-family, Asian-Pac-Islander, Female,0,0,40, Portugal, <=50K
43, Federal-gov, Some-college, Married-civ-spouse, Adm-clerical, Wife, White, Male,0,0,35, Jamaica, <=50K
48, Private, 7th-8th, Separated, Adm-clerical, Husband, White, Male,0,0,40, India, <=50K
19, Private, Some-college, Never-married, Sales, Not-in-family, White, Male,0,0,30, France, <=50K
30, Private, Bachelors, Married-civ-spouse, Prof-specialty, Husband, Other, Female,0,0,40, Germany, <=50K
42, Self-emp-not-inc, Some-college, Married-civ-spouse, Exec-managerial, Own-child, Asian-Pac-Islander, Female,0,1977,45, Ireland, >50K
17, Private, 11th, Never-married, Other-service, Own-child, Black, Male,0,0,28, Japan, <=50K
37, Local-gov, 11th, Divorced, Craft-repair, Unmarried, Asian-Pac-Islander, Female,0,0,40, Columbia, <=50K
40, Private, Bachelors, Married-civ-spouse, Adm-clerical, Wife, Amer-Indian-Eskimo, Male,13972,0,40, Jamaica, >50K
72, Private, Bachelors, Divorced, Farming-fishing, Wife, Other, Female,0,0,15, Ecuador, <=50K
41, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, Asian-Pac-Islander, Male,7298,0,40, South, >50K
19, Private, HS-grad, Never-married, Transport-moving, Own-child, Amer-Indian-Eskimo, Male,0,0,50, Cuba, <=50K
48, Private, Bachelors, Separated, Sales, Not-in-family, Amer-Indian-Eskimo, Female,0,0,40, Germany, <=50K
38, Private, 9th, Married-civ-spouse, Adm-clerical, Other-relative, White, Female,0,0,40, South, >50K
45, Local-gov, 9th, Married-civ-spouse, Transport-moving, Not-in-family, Asian-Pac-Islander, Female,0,0,40, Canada, <=50K
29, Private, Some-college, Never-married, Craft-repair, Unmarried, Asian-Pac-Islander, Female,0,0,40, Dominican-Republic, <=50K
62, Private, HS-grad, Married-civ-spouse, Adm-clerical, Husband, Amer-Indian-Eskimo, Female,0,0,40, Haiti, <=50K
37, Private, HS-grad, Married-civ-spouse, Craft-repair, Wife, Asian-Pac-Islander, Female,0,0,30, Ireland, >50K
36, Private, Bachelors, Divorced, Exec-managerial, Husband, Asian-Pac-Islander, Male,0,0,40, Trinadad&Tobago, <=50K
22, Private, Assoc-voc, Never-married, Protective-serv, Not-in-family, White, Male,7687,0,50, Trinadad&Tobago, <=50K
39, Private, HS-grad, Married-civ-spouse, Transport-moving, Husband, Black, Female,0,0,54, Columbia, <=50K
50, Private, HS-grad, Married-civ-spouse, Exec-managerial, Not-in-family, Amer-Indian-Eskimo, Female,0,0,70, China, >50K
25, Private, Some-college, Never-married, Exec-managerial, Unmarried, Black, Female,0,0,40, Hong, <=50K
26, Private, HS-grad, Married-civ-spouse, Craft-repair, Own-child, Asian-Pac-Islander, Male,0,0,40, Taiwan, <=50K
35, Local-gov, Bachelors, Divorced, Sales, Own-child, Asian-Pac-Islander, Male,0,0,40, Guatemala, <=50K
38, State-gov, HS-grad, Divorced, Craft-repair, Not-in-family, Other, Male,0,0,40, Greece, <=50K
17, Private, 11th, Never-married, Sales, Own-child, Amer-Indian-Eskimo, Female,0,0,15, Thailand, <=50K
48, Private, HS-grad, Married-civ-spouse, Sales, Unmarried, Amer-Indian-Eskimo, Female,7298,0,44, China, <=50K
33, Private, HS-grad, Married-civ-spouse, Machine-op-inspct, Unmarried, White, Male,0,0,40, El-Salvador, <=50K
31, Private, HS-grad, Married-civ-spouse, Machine-op-inspct, Unmarried, Other, Female,0,0,60, Taiwan, <=50K
32, Private, HS-grad, Never-married, Craft-repair, Not-in-family, Other, Male,0,0,40, South, <=50K
26, Private, HS-grad, Never-married, Craft-repair, Husband, White, Male,0,0,40, Taiwan, <=50K
33, Private, HS-grad, Never-married, Other-service, Husband, Other, Female,0,0,40, Scotland, <=50K
29, Private, HS-grad, Never-married, Sales, Not-in-family, White, Female,0,0,10, France, <=50K
36, Local-gov, Bachelors, Married-civ-spouse, Prof-specialty, Husband, Black, Male,7687,0,80, China, >50K
33, Federal-gov, 7th-8th, Divorced, Sales, Not-in-family, Black, Female,0,0,50, Jamaica, <=50K
53, Self-emp-not-inc, HS-grad, Married-civ-spouse, Machine-op-inspct, Wife, Other, Male,7298,0,44, Thailand, >50K
50, Private, Some-college, Married-spouse-absent, Sales, Husband, Amer-Indian-Eskimo, Male,0,0,45, Portugal, <=50K
20, Private, Some-college, Never-married, Farming-fishing, Own-child, Amer-Indian-Eskimo, Male,0,0,40, Iran, <=50K
33, Self-emp-not-inc, Some-college, Never-married, Transport-moving, Husband, White, Female,0,0,40, Thailand, <=50K
50, Self-emp-inc, HS-grad, Separated, Sales, Husband, Black, Female,0,0,12, England, <=50K
34, State-gov, Some-college, Married-civ-spouse, Craft-repair, Husband, Asian-Pac-Islander, Male,0,0,40, Guatemala, <=50K
63, Self-emp-not-inc, HS-grad, Widowed, Adm-clerical, Unmarried, White, Male,0,0,40, Thailand, >50K
27, Self-emp-inc, HS-grad, Never-married, Craft-repair, Not-in-family, White, Male,0,0,40, Taiwan, <=50K
36, State-gov, Masters, Separated, Prof-specialty, Husband, White, Male,0,0,40, Guatemala, <=50K
38, Private, Assoc-voc, Divorced, Handlers-cleaners, Husband, Asian-Pac-Islander, Male,0,0,40, Ecuador, <=50K
36, Private, HS-grad, Never-married, Sales, Husband, Black, Male,0,0,60, Germany, <=50K
56, Private, Some-college, Divorced, Handlers-cleaners, Not-in-family, Black, Female,0,0,20, Puerto-Rico, <=50K
43, Private, HS-grad, Married-civ-spouse, Other-service, Not-in-family, Other, Male,0,0,35, Taiwan, <=50K
73, Private, Masters, Widowed, Handlers-cleaners, Not-in-family, Other, Male,0,0,10, Outlying-US(Guam-USVI-etc), <=50K
35, Private, Bachelors, Never-married, Sales, Husband, Asian-Pac-Islander, Male,0,0,63, Poland, <=50K
23, Private, Some-college, Never-married, Other-service, Unmarried, Black, Male,0,0,36, Scotland, <=50K
28, Private, Masters, Never-married, Tech-support, Own-child, Amer-Indian-Eskimo, Male,0,0,44, Peru, <=50K
42, Private, Assoc-acdm, Separated, Machine-op-inspct, Not-in-family, Amer-Indian-Eskimo, Female,0,0,40, Taiwan, >50K
40, Private, HS-grad, Married-civ-spouse, Sales, Not-in-family, Amer-Indian-Eskimo, Male,0,0,40, China, <=50K
30, Self-emp-inc, HS-grad, Married-civ-spouse, Farming-fishing, Own-child, Black, Male,0,0,40, Portugal, <=50K
57, Private, Bachelors, Divorced, Adm-clerical, Husband, Other, Female,0,0,20, Outlying-US(Guam-USVI-etc), <=50K
64, State-gov, HS-grad, Married-spouse-absent, Protective-serv, Husband, Amer-Indian-Eskimo, Female,0,0,40, India, <=50K
35, Private, Masters, Never-married, Exec-managerial, Husband, Asian-Pac-Islander, Female,0,0,64, Japan, <=50K
23, Local-gov, 9th, Never-married, Other-service, Unmarried, White, Male,0,0,50, Taiwan, <=50K
54, Private, HS-grad, Separated, Exec-managerial, Unmarried, Amer-Indian-Eskimo, Male,0,0,25, El-Salvador, >50K
61, State-gov, HS-grad, Widowed, Craft-repair, Not-in-family, White, Male,0,0,40, Honduras, <=50K
43, Private, 10th, Married-civ-spouse, Prof-specialty, Husband, Amer-Indian-Eskimo, Female,0,0,40, Germany, <=50K
25, Private, Some-college, Married-civ-spouse, Tech-support, Own-child, Asian-Pac-Islander, Female,0,0,20, Nicaragua, >50K
23, Private, HS-grad, Never-married, Other-service, Wife, Black, Female,0,0,16, Italy, <=50K
29, Self-emp-inc, HS-grad, Never-married, Handlers-cleaners, Husband, Amer-Indian-Eskimo, Female,0,0,40, Hungary, <=50K
49, Private, Bachelors, Married-civ-spouse, Transport-moving, Husband, Other, Male,0,0,45, Outlying-US(Guam-USVI-etc), <=50K
41, Private, HS-grad, Married-civ-spouse, Other-service, Other-relative, White, Male,0,0,30, Columbia, <=50K
36, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,50, Guatemala, <=50K
31, Private, Some-college, Married-civ-spouse, Protective-serv, Husband, Asian-Pac-Islander, Female,0,0,50, United-States, <=50K
59, Private, Bachelors, Divorced, Adm-clerical, Husband, Other, Male,0,0,40, Ireland, >50K
35, Local-gov, 11th, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,50, Hong, <=50K
53, Federal-gov, 9th, Married-civ-spouse, Adm-clerical, Husband, Amer-Indian-Eskimo, Male,0,0,40, Japan, <=50K
31, Private, Some-college, Married-civ-spouse, Farming-fishing, Husband, White, Female,0,0,52, Outlying-US(Guam-USVI-etc), <=50K
37, Private, Assoc-voc, Never-married, Prof-specialty, Own-child, Asian-Pac-Islander, Male,0,0,40, Columbia, <=50K
55, State-gov, HS-grad, Married-civ-spouse, Adm-clerical, Husband, White, Female,0,0,40, Jamaica, >50K
33, Self-emp-not-inc, Bachelors, Divorced, Exec-managerial, Husband, Other, Male,0,0,70, Haiti, <=50K
62, Private, Some-college, Divorced, Exec-managerial, Not-in-family, White, Female,0,0,40, Haiti, >50K
50, Self-emp-not-inc, HS-grad, Never-married, Sales, Husband, Asian-Pac-Islander, Female,0,0,30, Dominican-Republic, <=50K
31, Private, HS-grad, Married-civ-spouse, Sales, Other-relative, Asian-Pac-Islander, Female,0,0,40, Hong, <=50K
21, Private, HS-grad, Never-married, Other-service, Own-child, Asian-Pac-Islander, Female,0,0,10, Italy, <=50K
36, Self-emp-not-inc, Bachelors, Married-civ-spouse, Exec-managerial, Unmarried, Amer-Indian-Eskimo, Female,0,0,40, Thailand, <=50K
29, Private, HS-grad, Married-civ-spouse, Sales, Not-in-family, Black, Female,0,0,40, Laos, <=50K
54, Self-emp-not-inc, HS-grad, Widowed, Exec-managerial, Husband, Amer-Indian-Eskimo, Female,0,0,40, Outlying-US(Guam-USVI-etc), <=50K
63, Self-emp-not-inc, Some-college, Married-civ-spouse, Sales, Own-child, Amer-Indian-Eskimo, Male,0,0,40, Taiwan, <=50K
21, Private, Bachelors, Never-married, Other-service, Not-in-family, White, Male,0,0,40, United-States, <=50K
37, Private, HS-grad, Married-civ-spouse, Sales, Unmarried, Asian-Pac-Islander, Male,0,0,40, India, >50K
23, Private, 11th, Never-married, Craft-repair, Husband, White, Male,0,0,24, Cuba, <=50K
40, Private, Prof-school, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,1902,60, Vietnam, <=50K
41, Private, Assoc-voc, Never-married, Machine-op-inspct, Not-in-family, Black, Female,0,0,70, Honduras, >50K
51, Self-emp-not-inc, HS-grad, Married-civ-spouse, Craft-repair, Husband, Amer-Indian-Eskimo, Male,0,0,36, Philippines, <=50K
30, State-gov, HS-grad, Married-civ-spouse, Prof-specialty, Not-in-family, White, Male,0,0,70, Italy, >50K
62, Private, 12th, Divorced, Transport-moving, Wife, White, Male,0,0,35, Peru, >50K
42, Private, HS-grad, Never-married, Adm-clerical, Not-in-family, Asian-Pac-Islander, Male,0,0,40, Vietnam, >50K
35, Private, HS-grad, Married-civ-spouse, Exec-managerial, Husband, Amer-Indian-Eskimo, Female,0,0,64, India, >50K
23, Private, HS-grad, Never-married, Adm-clerical, Own-child, Other, Female,0,0,40, Ecuador, <=50K
46, Private, HS-grad, Widowed, Prof-specialty, Wife, Other, Male,0,0,35, Portugal, >50K
33, Private, Bachelors, Never-married, Transport-moving, Own-child, Black, Male,0,0,50, India, <=50K
24, Private, 10th, Never-married, Other-service, Unmarried, Black, Male,0,0,35, Iran, <=50K
28, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, Black, Male,0,0,40, South, <=50K
22, Private, Bachelors, Married-civ-spouse, Prof-specialty, Husband, Black, Male,0,0,50, Peru, >50K
36, Private, HS-grad, Never-married, Craft-repair, Not-in-family, Asian-Pac-Islander, Female,0,0,40, Mexico, <=50K
72, Self-emp-not-inc, Some-college, Widowed, Craft-repair, Not-in-family, Black, Female,0,0,40, Guatemala, <=50K
44, Private, Some-college, Never-married, Sales, Husband, White, Male,0,1977,40, El-Salvador, <=50K
24, Local-gov, 11th, Never-married, Adm-clerical, Unmarried, Asian-Pac-Islander, Male,0,0,20, India, <=50K
21, Private, Bachelors, Never-married, Protective-serv, Not-in-family, Black, Male,0,0,35, Mexico, <=50K
24, Private, Some-college, Never-married, Adm-clerical, Own-child, Other, Female,0,0,38, Puerto-Rico, >50K
30, Private, Some-college, Never-married, Transport-moving, Not-in-family, Black, Female,0,0,30, Philippines, <=50K
42, Private, Some-college, Separated, Adm-clerical, Not-in-family, Amer-Indian-Eskimo, Male,0,0,25, Taiwan, <=50K
41, Private, Some-college, Never-married, Sales, Not-in-family, Amer-Indian-Eskimo, Male,0,0,50, Japan, >50K
27, Private, Bachelors, Never-married, Exec-managerial, Not-in-family, White, Female,0,0,40, Ecuador, <=50K
48, Private, Some-college, Married-civ-spouse, Machine-op-inspct, Not-in-family, Amer-Indian-Eskimo, Male,0,0,40, Peru, >50K
59, Federal-gov, Bachelors, Married-civ-spouse, Sales, Husband, White, Male,0,0,60, Taiwan, >50K
25, Private, 11th, Never-married, Adm-clerical, Other-relative, Asian-Pac-Islander, Male,0,0,40, India, <=50K
52, Private, Some-college, Separated, Prof-specialty, Not-in-family, Asian-Pac-Islander, Female,0,0,15, Honduras, >50K
46, Private, HS-grad, Married-civ-spouse, Transport-moving, Unmarried, Other, Male,0,0,45, South, <=50K
34, State-gov, Bachelors, Married-civ-spouse, Transport-moving, Husband, Other, Male,0,0,40, Yugoslavia, >50K
55, Self-emp-not-inc, HS-grad, Separated, Exec-managerial, Husband, Asian-Pac-Islander, Male,10324,0,60, Canada, >50K
44, Private, Doctorate, Divorced, Exec-managerial, Husband, Asian-Pac-Islander, Male,7687,0,50, Honduras, >50K
41, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, Trinadad&Tobago, <=50K
45, Private, Some-college, Divorced, Transport-moving, Husband, Other, Male,0,0,65, Guatemala, <=50K
45, Private, HS-grad, Married-civ-spouse, Sales, Husband, Other, Female,0,0,45, Columbia, <=50K
24, Private, Some-college, Never-married, Handlers-cleaners, Own-child, Black, Male,0,0,40, Haiti, <=50K
60, Private, Some-college, Married-civ-spouse, Machine-op-inspct, Husband, Other, Male,0,0,40, Yugoslavia, <=50K
37, Private, Bachelors, Separated, Adm-clerical, Unmarried, Black, Male,0,0,35, Nicaragua, <=50K
46, Private, Masters, Widowed, Other-service, Not-in-family, Amer-Indian-Eskimo, Male,0,0,10, Trinadad&Tobago, <=50K
47, Private, HS-grad, Married-civ-spouse, Craft-repair, Not-in-family, Other, Female,0,0,40, Iran, <=50K
24, Private, Assoc-acdm, Never-married, Craft-repair, Not-in-family, White, Male,0,0,45, Puerto-Rico, <=50K
32, Private, Bachelors, Married-civ-spouse, Farming-fishing, Own-child, Asian-Pac-Islander, Male,0,0,63, Honduras, >50K
28, Private, HS-grad, Never-married, Prof-specialty, Own-child, White, Female,0,0,35, Yugoslavia, <=50K
31, Private, Bachelors, Married-civ-spouse, Prof-specialty, Not-in-family, White, Male,0,0,40, Italy, >50K
21, Private, Some-college, Never-married, Sales, Not-in-family, White, Male,0,0,20, Cambodia, <=50K
23, Private, HS-grad, Never-married, Sales, Husband, White, Male,0,0,35, Mexico, <=50K
44, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, Black, Male,0,1971,40, Haiti, >50K
47, Local-gov, Some-college, Divorced, Sales, Husband, Other, Male,0,0,40, Jamaica, >50K
40, Private, Some-college, Never-married, Tech-support, Wife, Amer-Indian-Eskimo, Male,0,0,30, Laos, <=50K
27, Private, Bachelors, Married-civ-spouse, Adm-clerical, Not-in-family, White, Male,0,0,45, Canada, <=50K
37, Private, Bachelors, Married-civ-spouse, Adm-clerical, Not-in-family, Asian-Pac-Islander, Male,0,0,40, Scotland, <=50K
26, Private, Some-college, Never-married, Craft-repair, Wife, Asian-Pac-Islander, Female,0,0,40, South, <=50K
66, Self-emp-inc, HS-grad, Never-married, Exec-managerial, Wife, Black, Male,0,0,40, Iran, <=50K
61, Local-gov, 10th, Married-civ-spouse, Craft-repair, Not-in-family, White, Female,0,0,40, Ecuador, >50K
41, State-gov, Some-college, Married-civ-spouse, Prof-specialty, Husband, Black, Female,0,0,60, South, >50K
17, Private, 12th, Never-married, Sales, Own-child, Asian-Pac-Islander, Male,0,0,25, Vietnam, <=50K
29, Federal-gov, Some-college, Never-married, Machine-op-inspct, Own-child, Asian-Pac-Islander, Male,0,0,40, Cambodia, <=50K
20, Private, Some-college, Never-married, Adm-clerical, Own-child, Asian-Pac-Islander, Male,0,0,30, Outlying-US(Guam-USVI-etc), <=50K
33, Self-emp-not-inc, 11th, Divorced, Craft-repair, Own-child, Other, Female,0,0,40, Jamaica, <=50K
39, Private, HS-grad, Divorced, Other-service, Not-in-family, Other, Female,0,0,45, Greece, >50K
46, Private, Assoc-voc, Married-civ-spouse, Prof-specialty, Wife, White, Male,7687,0,54, Italy, <=50K
47, Private, Bachelors, Married-civ-spouse, Exec-managerial, Unmarried, Black, Female,0,0,50, Nicaragua, >50K
64, Local-gov, HS-grad, Widowed, Craft-repair, Not-in-family, Amer-Indian-Eskimo, Female,0,0,20, Iran, <=50K
50, Private, Prof-school, Married-civ-spouse, Adm-clerical, Husband, White, Male,0,0,40, United-States, <=50K
35, Self-emp-inc, HS-grad, Married-civ-spouse, Transport-moving, Husband, Black, Male,0,0,50, Peru, <=50K
41, Private, 11th, Married-civ-spouse, Other-service, Husband, Black, Female,0,0,40, Ireland, <=50K
49, Private, HS-grad, Married-civ-spouse, Sales, Unmarried, White, Female,5178,0,40, China, >50K
26, Private, Bachelors, Divorced, Adm-clerical, Own-child, Black, Male,0,0,40, Greece, <=50K
56, Private, 7th-8th, Widowed, Exec-managerial, Not-in-family, Black, Male,0,0,45, Scotland, >50K
41, Private, Assoc-voc, Married-civ-spouse, Exec-managerial, Husband, Asian-Pac-Islander, Male,0,0,45, South, <=50K
21, Self-emp-inc, Masters, Never-married, Prof-specialty, Own-child, White, Male,0,0,50, India, <=50K
19, Private, Some-college, Never-married, Prof-specialty, Own-child, Other, Male,0,0,35, Iran, <=50K
41, Private, Assoc-acdm, Married-civ-spouse, Exec-managerial, Husband, Amer-Indian-Eskimo, Female,0,0,40, Hong, <=50K
42, State-gov, HS-grad, Married-civ-spouse, Machine-op-inspct, Husband, Other, Male,0,0,60, Guatemala, <=50K
31, Private, Bachelors, Separated, Protective-serv, Husband, Amer-Indian-Eskimo, Male,0,0,50, India, <=50K
34, Private, Assoc-acdm, Married-civ-spouse, Exec-managerial, Husband, Asian-Pac-Islander, Male,0,1887,54, Columbia, >50K
57, Private, Bachelors, Married-civ-spouse, Tech-support, Unmarried, Other, Male,0,0,30, Honduras, <=50K
26, Private, 7th-8th, Never-married, Sales, Not-in-family, Asian-Pac-Islander, Male,0,0,50, Honduras, <=50K
35, Private, Some-college, Divorced, Prof-specialty, Husband, Asian-Pac-Islander, Female,0,1902,40, Honduras, <=50K
31, Private, Some-college, Divorced, Craft-repair, Other-relative, Other, Male,7310,0,45, Greece, <=50K
72, Self-emp-not-inc, Assoc-acdm, Married-civ-spouse, Machine-op-inspct, Not-in-family, Black, Male,0,0,8, Mexico, <=50K
52, Self-emp-not-inc, HS-grad, Married-civ-spouse, Exec-managerial, Husband, White, Female,0,0,45, South, >50K
48, Private, Assoc-acdm, Married-civ-spouse, Other-service, Not-in-family, Asian-Pac-Islander, Female,0,0,40, Puerto-Rico, >50K
26, Private, Masters, Married-civ-spouse, Craft-repair, Not-in-family, Other, Male,0,1902,30, India, <=50K
22, Private, Bachelors, Never-married, Exec-managerial, Unmarried, Amer-Indian-Eskimo, Male,0,0,50, Taiwan, <=50K
43, Private, Assoc-acdm, Divorced, Adm-clerical, Husband, Asian-Pac-Islander, Male,0,0,40, Yugoslavia, <=50K
45, Private, Masters, Married-civ-spouse, Craft-repair, Own-child, Asian-Pac-Islander, Female,0,0,40, Haiti, <=50K
40, Private, Bachelors, Divorced, Craft-repair, Other-relative, Other, Male,0,0,40, Ireland, <=50K
34, Private, Bachelors, Separated, Adm-clerical, Own-child, Black, Male,0,0,40, Canada, <=50K
