34, Self-emp-not-inc, Bachelors, Married-civ-spouse, Craft-repair, Wife, Asian-Pac-Islander, Male,0,0,50, Dominican-Republic, >50K
42, Self-emp-not-inc, Masters, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, Nicaragua, >50K
46, Local-gov, Assoc-voc, Married-civ-spouse, Adm-clerical, Wife, White, Female,0,0,40, Japan, >50K
20, Private, Bachelors, Never-married, Prof-specialty, Own-child, White, Male,0,0,30, Japan, <=50K
51, Private, Some-college, Married-civ-spouse, Transport-moving, Husband, Asian-Pac-Islander, Male,0,0,50, France, <=50K
35, Private, Assoc-voc, Never-married, Prof-specialty, Not-in-family, White, Female,0,0,40, Mexico, <=50K
47, Private, Assoc-voc, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, Poland, >50K
62, Local-gov, 10th, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,30, England, <=50K
63, Local-gov, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, Hong, >50K
47, Local-gov, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, Nicaragua, >50K
54, Self-emp-not-inc, 9th, Widowed, Other-service, Not-in-family, White, Male,0,0,50, Japan, <=50K
31, Self-emp-not-inc, HS-grad, Divorced, Sales, Unmarried, White, Female,0,0,30, Honduras, <=50K
26, Private, HS-grad, Divorced, Adm-clerical, Unmarried, White, Female,0,0,40, Yugoslavia, <=50K
47, Local-gov, Assoc-acdm, Divorced, Exec-managerial, Unmarried, White, Female,0,0,35, Cuba, >50K
50, Private, Bachelors, Never-married, Craft-repair, Not-in-family, White, Male,0,0,40, Ecuador, <=50K
33, Self-emp-not-inc, Assoc-voc, Never-married, Prof-specialty, Not-in-family, White, Male,0,0,45, India, <=50K
24, Private, Some-college, Never-married, Other-service, Not-in-family, Black, Male,0,0,40, Nicaragua, <=50K
26, State-gov, HS-grad, Never-married, Craft-repair, Not-in-family, White, Male,0,0,40, Dominican-Republic, <=50K
56, Self-emp-not-inc, 10th, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,40, Jamaica, <=50K
26, Private, Bachelors, Divorced, Adm-clerical, Not-in-family, White, Female,0,0,50, Japan, >50K
63, Private, Masters, Divorced, Sales, Not-in-family, White, Female,4386,0,40, Thailand, >50K
21, Self-emp-not-inc, Some-college, Never-married, Adm-clerical, Own-child, White, Female,0,0,20, Thailand, <=50K
27, Private, 11th, Never-married, Adm-clerical, Unmarried, White, Female,0,0,36, Ecuador, <=50K
20, Private, Some-college, Never-married, Sales, Own-child, Black, Male,0,0,30, Canada, <=50K
25, Private, HS-grad, Never-married, Craft-repair, Not-in-family, Black, Male,0,0,40, Yugoslavia, <=50K
38, Private, Masters, Never-married, Prof-specialty, Not-in-family, White, Female,7691,0,50, Thailand, >50K
42, Private, Masters, Married-spouse-absent, Prof-specialty, Husband, White, Female,0,0,40, Greece, <=50K
19, Private, HS-grad, Married-civ-spouse, Other-service, Unmarried, White, Female,0,0,40, Poland, <=50K
29, Private, Some-college, Never-married, Tech-support, Not-in-family, White, Male,0,0,40, Haiti, <=50K
31, Private, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,60, Puerto-Rico, >50K
24, Local-gov, Some-college, Never-married, Adm-clerical, Own-child, White, Male,0,0,40, Jamaica, <=50K
20, Private, 12th, Never-married, Adm-clerical, Not-in-family, White, Male,0,0,40, Iran, <=50K
64, Private, Some-college, Divorced, Prof-specialty, Not-in-family, White, Male,0,0,50, France, <=50K
42, Private, HS-grad, Divorced, Other-service, Not-in-family, Black, Female,0,0,35, France, <=50K
29, Self-emp-not-inc, Some-college, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,50, Italy, >50K
21, Private, HS-grad, Never-married, Handlers-cleaners, Own-child, Black, Male,0,0,24, Japan, <=50K
32, Private, 10th, Divorced, Adm-clerical, Unmarried, White, Female,0,0,35, Columbia, <=50K
35, Private, HS-grad, Divorced, Adm-clerical, Unmarried, Black, Male,0,0,60, Jamaica, <=50K
51, Private, HS-grad, Married-civ-spouse, Craft-repair, Not-in-family, White, Male,0,0,40, Ecuador, <=50K
27, Private, Bachelors, Never-married, Handlers-cleaners, Not-in-family, White, Female,0,0,40, Taiwan, <=50K
43, Self-emp-not-inc, HS-grad, Married-civ-spouse, Tech-support, Husband, White, Male,0,0,50, Dominican-Republic, <=50K
33, Private, Bachelors, Never-married, Sales, Not-in-family, Asian-Pac-Islander, Female,0,0,45, Germany, <=50K
42, Private, Assoc-voc, Married-civ-spouse, Craft-repair, Husband, White, Male,7298,0,40, Taiwan, >50K
42, Private, 9th, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,50, Canada, <=50K
24, Private, Some-college, Never-married, Craft-repair, Own-child, Black, Male,0,0,40, Dominican-Republic, <=50K
45, Private, HS-grad, Married-civ-spouse, Adm-clerical, Not-in-family, White, Female,26415,0,35, Honduras, >50K
49, Private, HS-grad, Divorced, Adm-clerical, Unmarried, Black, Female,0,0,45, Ireland, <=50K
34, Self-emp-not-inc, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, United-States, <=50K
27, Private, Assoc-voc, Never-married, Prof-specialty, Not-in-family, White, Male,0,0,45, Trinadad&Tobago, <=50K
22, Private, HS-grad, Never-married, Sales, Own-child, White, Male,0,0,15, Columbia, <=50K
49, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, Asian-Pac-Islander, Male,0,0,15, China, <=50K
27, Private, Some-college, Married-civ-spouse, Farming-fishing, Wife, White, Male,0,0,50, Hungary, <=50K
42, Private, HS-grad, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,50, Thailand, >50K
34, Private, Bachelors, Married-civ-spouse, Sales, Husband, White, Male,0,0,45, Guatemala, >50K
53, State-gov, Masters, Divorced, Exec-managerial, Not-in-family, White, Male,0,1890,54, Guatemala, <=50K
39, Private, HS-grad, Divorced, Other-service, Unmarried, Black, Female,0,0,20, Trinadad&Tobago, <=50K
37, Private, HS-grad, Married-civ-spouse, Prof-specialty, Wife, White, Male,15024,0,40, China, >50K
47, Self-emp-not-inc, HS-grad, Married-civ-spouse, Farming-fishing, Not-in-family, White, Male,0,0,60, England, <=50K
28, Private, HS-grad, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,0,0,45, Taiwan, <=50K
43, Private, Bachelors, Divorced, Exec-managerial, Unmarried, White, Female,0,0,50, Taiwan, >50K
47, Self-emp-not-inc, Masters, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,45, Thailand, >50K
29, Private, HS-grad, Never-married, Other-service, Husband, White, Male,0,0,82, Scotland, <=50K
37, Private, HS-grad, Never-married, Sales, Not-in-family, White, Female,0,3217,40, France, >50K
37, Private, Bachelors, Married-civ-spouse, Farming-fishing, Husband, White, Male,0,0,40, China, <=50K
40, Local-gov, 7th-8th, Divorced, Protective-serv, Unmarried, White, Female,0,0,40, Jamaica, <=50K
30, Self-emp-not-inc, HS-grad, Married-civ-spouse, Farming-fishing, Own-child, White, Male,0,0,60, Thailand, >50K
33, Private, Some-college, Married-civ-spouse, Sales, Husband, White, Male,0,0,40, Portugal, <=50K
63, Self-emp-not-inc, HS-grad, Divorced, Exec-managerial, Unmarried, Amer-Indian-Eskimo, Female,0,0,40, Iran, <=50K
28, State-gov, Some-college, Never-married, Tech-support, Not-in-family, White, Female,0,0,20, Thailand, <=50K
44, Self-emp-not-inc, HS-grad, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,80, England, <=50K
22, State-gov, Some-college, Never-married, Adm-clerical, Not-in-family, White, Female,0,0,40, Haiti, <=50K
41, Self-emp-not-inc, HS-grad, Married-civ-spouse, Craft-repair, Not-in-family, White, Male,0,1902,50, Trinadad&Tobago, >50K
38, Self-emp-not-inc, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,54, Thailand, <=50K
39, State-gov, Masters, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,35, Haiti, >50K
25, Private, Bachelors, Divorced, Prof-specialty, Not-in-family, White, Male,0,0,20, El-Salvador, <=50K
50, Private, HS-grad, Married-civ-spouse, Sales, Husband, White, Male,0,0,45, Germany, <=50K
18, Private, Some-college, Never-married, Handlers-cleaners, Own-child, White, Male,0,0,30, Puerto-Rico, <=50K
37, Self-emp-not-inc, HS-grad, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,0,0,50, Taiwan, <=50K
17, Private, 12th, Never-married, Other-service, Own-child, White, Male,0,0,14, Outlying-US(Guam-USVI-etc), <=50K
20, Private, HS-grad, Never-married, Sales, Not-in-family, White, Female,0,0,15, Poland, <=50K
31, Self-emp-not-inc, HS-grad, Never-married, Other-service, Unmarried, White, Male,0,0,40, Scotland, <=50K
53, Private, Some-college, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,54, Peru, <=50K
49, Private, HS-grad, Widowed, Other-service, Not-in-family, Black, Male,0,0,40, Taiwan, <=50K
60, Self-emp-not-inc, HS-grad, Married-civ-spouse, Sales, Husband, White, Male,0,0,20, China, <=50K
19, Self-emp-not-inc, Some-college, Never-married, Other-service, Own-child, White, Female,0,0,15, Portugal, <=50K
37, Private, Bachelors, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, Outlying-US(Guam-USVI-etc), <=50K
41, State-gov, HS-grad, Married-civ-spouse, Protective-serv, Husband, Asian-Pac-Islander, Male,2507,0,40, India, <=50K
70, Private, Some-college, Widowed, Exec-managerial, Not-in-family, White, Female,0,0,40, Jamaica, <=50K
24, Private, Assoc-voc, Married-civ-spouse, Handlers-cleaners, Other-relative, White, Male,0,0,50, Taiwan, <=50K
17, Private, 11th, Never-married, Other-service, Own-child, Black, Male,0,0,14, El-Salvador, <=50K
38, State-gov, HS-grad, Never-married, Exec-managerial, Unmarried, White, Female,14083,0,50, Honduras, <=50K
39, Private, 10th, Married-civ-spouse, Other-service, Husband, Other, Male,0,0,30, Germany, <=50K
53, Local-gov, HS-grad, Divorced, Tech-support, Unmarried, White, Female,0,0,35, Outlying-US(Guam-USVI-etc), <=50K
57, Private, Bachelors, Married-civ-spouse, Prof-specialty, Wife, White, Female,0,0,40, Italy, >50K
43, Self-emp-not-inc, Masters, Married-civ-spouse, Exec-managerial, Husband, Asian-Pac-Islander, Male,0,1858,40, India, >50K
38, Private, Bachelors, Never-married, Tech-support, Not-in-family, White, Male,0,0,40, Outlying-US(Guam-USVI-etc), <=50K
25, Private, Some-college, Never-married, Other-service, Own-child, White, Female,0,0,15, Cuba, <=50K
21, Private, HS-grad, Never-married, Handlers-cleaners, Own-child, White, Female,0,0,40, Haiti, <=50K
47, Private, Some-college, Divorced, Prof-specialty, Not-in-family, White, Female,0,0,54, United-States, <=50K
21, Private, HS-grad, Divorced, Craft-repair, Own-child, White, Male,0,0,35, Italy, >50K
36, Local-gov, 10th, Never-married, Craft-repair, Not-in-family, White, Male,0,0,45, Hong, <=50K
24, Local-gov, 9th, Never-married, Adm-clerical, Not-in-family, Asian-Pac-Islander, Male,0,0,36, Japan, <=50K
58, Private, Some-college, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, Peru, <=50K
48, Private, Assoc-acdm, Never-married, Other-service, Unmarried, Black, Female,0,0,40, Cuba, <=50K
47, State-gov, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, Jamaica, <=50K
28, Self-emp-not-inc, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,1887,50, Haiti, >50K
36, Private, Some-college, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,0,1977,35, Haiti, >50K
33, Self-emp-not-inc, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,60, Dominican-Republic, >50K
33, Private, HS-grad, Married-civ-spouse, Sales, Husband, White, Male,0,0,40, Hong, <=50K
21, Private, Bachelors, Never-married, Other-service, Not-in-family, White, Male,0,0,40, Jamaica, <=50K
34, Self-emp-not-inc, HS-grad, Married-civ-spouse, Farming-fishing, Husband, Amer-Indian-Eskimo, Male,0,0,70, Trinadad&Tobago, <=50K
28, Private, Bachelors, Married-civ-spouse, Sales, Husband, White, Female,0,0,50, Laos, <=50K
63, State-gov, Bachelors, Widowed, Other-service, Not-in-family, Amer-Indian-Eskimo, Female,0,0,8, Outlying-US(Guam-USVI-etc), <=50K
59, Self-emp-not-inc, Some-college, Married-civ-spouse, Sales, Husband, White, Male,0,0,40, Taiwan, <=50K
24, Private, Bachelors, Never-married, Prof-specialty, Not-in-family, White, Male,0,0,50, United-States, <=50K
22, Private, Some-college, Never-married, Sales, Own-child, White, Male,0,0,40, Iran, <=50K
27, Private, Assoc-voc, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, Cuba, <=50K
43, Private, Masters, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, Vietnam, <=50K
38, Private, 7th-8th, Never-married, Handlers-cleaners, Own-child, White, Male,0,0,40, Honduras, <=50K
22, Private, Doctorate, Never-married, Craft-repair, Not-in-family, Black, Male,3348,0,40, Philippines, <=50K
31, State-gov, HS-grad, Never-married, Other-service, Unmarried, Black, Female,0,0,40, Jamaica, <=50K
20, Private, 11th, Never-married, Sales, Unmarried, White, Female,0,0,35, Peru, <=50K
44, Private, Bachelors, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, Vietnam, >50K
26, Private, Some-college, Never-married, Adm-clerical, Own-child, Black, Female,0,0,40, India, <=50K
62, Private, Doctorate, Never-married, Exec-managerial, Not-in-family, White, Female,0,2524,40, Ecuador, <=50K
62, Private, HS-grad, Widowed, Transport-moving, Not-in-family, White, Male,0,0,40, Portugal, <=50K
67, Private, HS-grad, Married-civ-spouse, Tech-support, Husband, White, Male,9160,0,20, India, <=50K
24, Private, 10th, Married-civ-spouse, Handlers-cleaners, Not-in-family, White, Male,0,0,50, Ireland, <=50K
25, Private, Bachelors, Never-married, Exec-managerial, Not-in-family, White, Female,0,0,60, South, <=50K
58, Private, Bachelors, Married-civ-spouse, Other-service, Husband, White, Male,0,0,45, Peru, >50K
33, Private, HS-grad, Never-married, Craft-repair, Own-child, Black, Male,5178,0,40, Mexico, <=50K
51, Self-emp-not-inc, Some-college, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, Guatemala, <=50K
35, Private, Some-college, Separated, Sales, Not-in-family, White, Male,0,0,40, El-Salvador, <=50K
37, Local-gov, 7th-8th, Never-married, Adm-clerical, Wife, White, Male,634,0,35, India, <=50K
30, Private, Bachelors, Married-civ-spouse, Prof-specialty, Not-in-family, White, Female,0,0,35, Mexico, <=50K
40, Local-gov, Some-college, Married-civ-spouse, Adm-clerical, Wife, White, Female,0,0,35, Scotland, >50K
42, Private, Some-college, Married-spouse-absent, Transport-moving, Wife, White, Female,0,0,25, Philippines, >50K
33, Private, Some-college, Married-civ-spouse, Craft-repair, Husband, Asian-Pac-Islander, Male,0,0,40, Thailand, >50K
40, Private, Some-college, Married-civ-spouse, Sales, Husband, White, Male,0,0,40, Japan, >50K
23, Private, Bachelors, Never-married, Handlers-cleaners, Own-child, White, Female,0,0,40, El-Salvador, <=50K
63, Private, Some-college, Married-civ-spouse, Other-service, Husband, Asian-Pac-Islander, Male,0,0,20, Peru, >50K
22, Local-gov, Bachelors, Married-civ-spouse, Sales, Husband, White, Male,0,0,45, Thailand, >50K
19, Private, 10th, Never-married, Adm-clerical, Own-child, White, Male,0,0,15, Iran, <=50K
41, Private, Some-college, Never-married, Prof-specialty, Not-in-family, White, Male,0,0,40, Hong, <=50K
25, Private, Some-college, Never-married, Tech-support, Own-child, White, Male,0,0,40, South, <=50K
22, State-gov, HS-grad, Divorced, Transport-moving, Other-relative, White, Female,0,0,35, Yugoslavia, <=50K
28, Private, HS-grad, Never-married, Adm-clerical, Not-in-family, Black, Female,0,0,45, Canada, <=50K
47, Private, HS-grad, Divorced, Craft-repair, Husband, White, Male,0,0,40, Honduras, <=50K
51, Private, Bachelors, Married-civ-spouse, Exec-managerial, Not-in-family, White, Male,990,0,40, United-States, <=50K
39, Private, Some-college, Divorced, Prof-specialty, Not-in-family, White, Female,0,0,40, Guatemala, <=50K
37, Self-emp-not-inc, Masters, Married-civ-spouse, Sales, Husband, White, Male,0,0,50, Columbia, >50K
59, Self-emp-not-inc, Some-college, Married-civ-spouse, Farming-fishing, Not-in-family, White, Male,0,0,70, Haiti, <=50K
37, Private, Some-college, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,40, Yugoslavia, <=50K
30, Private, Bachelors, Separated, Craft-repair, Not-in-family, White, Female,0,0,54, Nicaragua, <=50K
21, Private, HS-grad, Separated, Handlers-cleaners, Own-child, Black, Male,0,0,20, Trinadad&Tobago, <=50K
72, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,30, Iran, >50K
28, Self-emp-not-inc, 9th, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,50, Scotland, <=50K
21, Private, HS-grad, Married-civ-spouse, Exec-managerial, Own-child, White, Male,0,0,40, Honduras, <=50K
27, Private, Bachelors, Never-married, Prof-specialty, Not-in-family, White, Female,0,0,35, Yugoslavia, <=50K
29, Private, HS-grad, Married-civ-spouse, Other-service, Husband, White, Male,0,0,40, Jamaica, >50K
21, Private, Some-college, Married-civ-spouse, Sales, Own-child, White, Female,0,0,45, Cambodia, >50K
24, Private, HS-grad, Married-civ-spouse, Sales, Husband, White, Male,0,0,40, Mexico, <=50K
34, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,54, Haiti, >50K
24, Private, HS-grad, Never-married, Sales, Own-child, Black, Male,0,0,40, Japan, <=50K
51, Private, Some-college, Never-married, Tech-support, Unmarried, Black, Male,0,0,40, Japan, <=50K
37, Private, Bachelors, Married-civ-spouse, Adm-clerical, Not-in-family, White, Male,0,0,50, Canada, <=50K
20, Private, Bachelors, Married-civ-spouse, Adm-clerical, Husband, White, Male,0,0,30, Scotland, <=50K
34, Private, Some-college, Married-civ-spouse, Exec-managerial, Not-in-family, White, Male,5178,0,60, Taiwan, >50K
38, Private, HS-grad, Married-civ-spouse, Craft-repair, Own-child, White, Male,0,0,40, Iran, <=50K
57, Private, 7th-8th, Married-civ-spouse, Farming-fishing, Husband, White, Male,0,0,70, Ecuador, <=50K
40, State-gov, Some-college, Married-civ-spouse, Prof-specialty, Husband, White, Male,7298,0,40, Thailand, >50K
55, Private, Some-college, Separated, Sales, Unmarried, White, Male,0,0,40, Vietnam, <=50K
34, Local-gov, HS-grad, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,0,0,40, Cambodia, <=50K
48, Private, Prof-school, Married-civ-spouse, Craft-repair, Husband, White, Male,3374,0,50, Peru, >50K
40, Self-emp-not-inc, 7th-8th, Married-civ-spouse, Craft-repair, Own-child, Other, Male,0,0,35, Japan, <=50K
22, Private, Some-college, Never-married, Prof-specialty, Own-child, White, Female,0,0,10, Greece, <=50K
45, Private, Assoc-voc, Married-civ-spouse, Prof-specialty, Wife, White, Male,0,0,50, Italy, <=50K
26, Private, Bachelors, Divorced, Farming-fishing, Wife, White, Female,0,0,75, Outlying-US(Guam-USVI-etc), >50K
25, Private, HS-grad, Never-married, Craft-repair, Own-child, Black, Male,0,0,40, Ireland, <=50K
31, Private, Some-college, Never-married, Adm-clerical, Not-in-family, White, Male,0,0,40, United-States, <=50K
20, Private, HS-grad, Never-married, Transport-moving, Own-child, White, Male,0,0,40, Peru, <=50K
35, Private, Assoc-voc, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,54, Italy, >50K
37, Private, HS-grad, Married-civ-spouse, Sales, Husband, White, Male,0,0,50, China, <=50K
23, Private, Bachelors, Married-civ-spouse, Adm-clerical, Own-child, White, Male,0,0,40, Guatemala, <=50K
17, Private, 10th, Never-married, Other-service, Own-child, White, Male,0,0,24, South, <=50K
20, Private, Assoc-voc, Never-married, Handlers-cleaners, Not-in-family, White, Male,0,0,30, South, <=50K
45, Self-emp-not-inc, Some-college, Divorced, Prof-specialty, Not-in-family, White, Male,0,0,45, India, <=50K
36, Private, Some-college, Never-married, Other-service, Unmarried, Black, Male,0,0,30, Iran, <=50K
45, Private, Assoc-voc, Never-married, Prof-specialty, Not-in-family, White, Female,0,0,40, Hong, <=50K
23, State-gov, HS-grad, Separated, Machine-op-inspct, Unmarried, White, Female,0,0,30, Guatemala, <=50K
56, Self-emp-not-inc, Bachelors, Separated, Sales, Husband, White, Male,0,0,60, India, >50K
30, Private, 7th-8th, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,50, Columbia, >50K
29, Private, Bachelors, Married-civ-spouse, Tech-support, Husband, White, Male,0,0,40, Hong, <=50K
22, Private, 11th, Never-married, Prof-specialty, Own-child, White, Female,0,0,15, Honduras, <=50K
47, Private, Some-college, Divorced, Prof-specialty, Unmarried, Black, Female,0,1719,30, Honduras, <=50K
50, Self-emp-not-inc, Some-college, Divorced, Exec-managerial, Wife, White, Female,0,0,35, Greece, <=50K
62, Self-emp-not-inc, Bachelors, Married-civ-spouse, Farming-fishing, Husband, White, Male,0,0,50, Nicaragua, <=50K
46, Self-emp-not-inc, HS-grad, Divorced, Machine-op-inspct, Not-in-family, White, Male,0,0,40, South, >50K
45, Private, Assoc-voc, Married-civ-spouse, Machine-op-inspct, Husband, White, Female,0,0,40, Scotland, >50K
32, Self-emp-not-inc, Some-college, Divorced, Prof-specialty, Not-in-family, White, Female,0,0,99, India, <=50K
28, Private, Bachelors, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, Taiwan, <=50K
53, Private, 9th, Divorced, Adm-clerical, Not-in-family, White, Female,0,0,40, Yugoslavia, <=50K
20, Private, Some-college, Never-married, Craft-repair, Own-child, White, Female,0,0,40, Haiti, <=50K
31, Private, Bachelors, Divorced, Adm-clerical, Unmarried, White, Female,0,0,40, Ireland, <=50K
54, Private, Bachelors, Married-civ-spouse, Craft-repair, Husband, White, Male,15024,0,40, Canada, >50K
30, Private, 10th, Never-married, Prof-specialty, Not-in-family, White, Female,0,0,25, Poland, <=50K
32, Private, HS-grad, Divorced, Sales, Other-relative, White, Female,0,0,40, Poland, <=50K
28, Local-gov, Some-college, Never-married, Other-service, Not-in-family, Black, Female,0,0,40, Columbia, <=50K
36, Private, HS-grad, Never-married, Transport-moving, Own-child, Black, Male,0,0,54, Trinadad&Tobago, <=50K
52, Private, Masters, Married-civ-spouse, Exec-managerial, Husband, White, Female,0,0,45, Poland, <=50K
21, Private, Assoc-voc, Never-married, Other-service, Own-child, White, Male,0,0,30, Scotland, <=50K
35, Private, Bachelors, Married-civ-spouse, Prof-specialty, Wife, White, Male,0,0,40, Vietnam, >50K
22, Private, HS-grad, Divorced, Sales, Unmarried, Black, Female,0,0,35, El-Salvador, <=50K
30, Private, HS-grad, Never-married, Machine-op-inspct, Own-child, White, Male,0,0,40, Jamaica, <=50K
57, Private, HS-grad, Married-civ-spouse, Sales, Not-in-family, White, Male,0,0,40, India, <=50K
49, Self-emp-not-inc, HS-grad, Divorced, Prof-specialty, Not-in-family, White, Female,0,0,54, India, <=50K
42, Self-emp-inc, Assoc-voc, Never-married, Priv-house-serv, Not-in-family, White, Female,0,0,40, Ecuador, >50K
22, Private, Some-college, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, Cambodia, <=50K
55, Local-gov, Bachelors, Married-civ-spouse, Adm-clerical, Own-child, White, Male,0,0,40, Hong, <=50K
24, Self-emp-not-inc, Bachelors, Never-married, Prof-specialty, Not-in-family, White, Male,0,0,12, Guatemala, <=50K
