19, Private, HS-grad, Never-married, Adm-clerical, Wife, Amer-Indian-Eskimo, Male,0,0,25, Ecuador, <=50K
32, Private, Bachelors, Divorced, Prof-specialty, Own-child, Other, Male,0,0,40, Ecuador, >50K
33, Private, Bachelors, Married-civ-spouse, Craft-repair, Husband, Black, Female,0,0,54, Guatemala, <=50K
41, Private, HS-grad, Widowed, Adm-clerical, Husband, Black, Female,0,0,45, Canada, <=50K
53, Private, HS-grad, Married-civ-spouse, Craft-repair, Not-in-family, Asian-Pac-Islander, Male,0,0,40, Canada, >50K
46, State-gov, Some-college, Never-married, Exec-managerial, Unmarried, Asian-Pac-Islander, Female,0,0,40, Yugoslavia, <=50K
60, Private, HS-grad, Separated, Farming-fishing, Unmarried, Other, Male,0,0,30, United-States, <=50K
31, Private, Some-college, Married-civ-spouse, Transport-moving, Not-in-family, Amer-Indian-Eskimo, Female,0,0,45, United-States, <=50K
48, Self-emp-inc, Some-college, Married-civ-spouse, Sales, Husband, Black, Male,0,0,50, England, <=50K
69, Private, Some-college, Married-civ-spouse, Machine-op-inspct, Husband, Black, Female,0,0,12, Honduras, <=50K
38, Self-emp-inc, Bachelors, Married-civ-spouse, Sales, Husband, White, Male,0,0,74, Honduras, <=50K
39, State-gov, HS-grad, Never-married, Other-service, Unmarried, Amer-Indian-Eskimo, Male,0,0,30, El-Salvador, <=50K
19, Private, Bachelors, Never-married, Machine-op-inspct, Own-child, Asian-Pac-Islander, Female,0,0,25, Ecuador, <=50K
40, Self-emp-not-inc, Masters, Married-civ-spouse, Prof-specialty, Not-in-family, White, Female,0,0,47, Portugal, >50K
51, Local-gov, Assoc-acdm, Married-civ-spouse, Adm-clerical, Unmarried, Other, Male,0,0,40, Outlying-US(Guam-USVI-etc), >50K
19, Private, Bachelors, Never-married, Prof-specialty, Own-child, White, Female,0,0,40, Outlying-US(Guam-USVI-etc), <=50K
41, Private, Some-college, Married-civ-spouse, Sales, Not-in-family, Amer-Indian-Eskimo, Male,0,0,48, Greece, >50K
55, Private, 9th, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, Philippines, <=50K
49, Private, Assoc-voc, Divorced, Machine-op-inspct, Husband, Other, Male,0,0,54, Taiwan, >50K
43, Federal-gov, 7th-8th, Divorced, Prof-specialty, Unmarried, Asian-Pac-Islander, Male,0,0,50, Germany, >50K
56, Local-gov, Bachelors, Married-civ-spouse, Other-service, Husband, Black, Female,0,0,50, Iran, <=50K
27, Local-gov, HS-grad, Separated, Machine-op-inspct, Husband, Amer-Indian-Eskimo, Male,0,0,40, Poland, <=50K
19, Private, 11th, Separated, Other-service, Wife, Other, Male,0,0,1, Outlying-US(Guam-USVI-etc), <=50K
43, Self-emp-not-inc, HS-grad, Married-civ-spouse, Sales, Husband, Asian-Pac-Islander, Male,0,0,80, India, <=50K
41, Self-emp-inc, Masters, Divorced, Adm-clerical, Husband, Black, Female,0,0,40, Yugoslavia, <=50K
22, Private, 7th-8th, Married-civ-spouse, Handlers-cleaners, Not-in-family, Other, Male,0,0,30, Dominican-Republic, <=50K
35, Private, HS-grad, Married-civ-spouse, Craft-repair, Not-in-family, Black, Female,0,0,35, El-Salvador, <=50K
25, Private, Assoc-voc, Never-married, Other-service, Own-child, Black, Female,0,0,40, Italy, <=50K
25, Private, Some-college, Married-civ-spouse, Prof-specialty, Own-child, Other, Female,0,0,35, Portugal, <=50K
34, State-gov, HS-grad, Married-civ-spouse, Craft-repair, Husband, Black, Male,0,0,40, Dominican-Republic, >50K
58, Self-emp-not-inc, 10th, Married-civ-spouse, Tech-support, Not-in-family, Other, Female,0,0,40, Nicaragua, <=50K
60, Private, HS-grad, Divorced, Exec-managerial, Husband, Asian-Pac-Islander, Female,0,0,45, Nicaragua, >50K
24, Private, Some-college, Never-married, Transport-moving, Not-in-family, White, Male,0,0,40, United-States, >50K
58, Self-emp-not-inc, Some-college, Married-civ-spouse, Exec-managerial, Husband, Black, Female,0,1902,40, United-States, <=50K
63, Private, 10th, Married-civ-spouse, Adm-clerical, Not-in-family, White, Female,0,0,35, El-Salvador, <=50K
53, Private, HS-grad, Married-civ-spouse, Sales, Husband, Asian-Pac-Islander, Male,0,0,36, Canada, <=50K
22, Private, HS-grad, Married-civ-spouse, Craft-repair, Not-in-family, Other, Female,0,0,40, Yugoslavia, >50K
39, Private, HS-grad, Married-civ-spouse, Prof-specialty, Husband, Amer-Indian-Eskimo, Female,0,0,47, United-States, >50K
41, Private, HS-grad, Married-civ-spouse, Machine-op-inspct, Husband, Amer-Indian-Eskimo, Female,0,0,40, Haiti, <=50K
26, Private, HS-grad, Married-civ-spouse, Other-service, Own-child, White, Male,0,0,40, South, <=50K
24, Private, HS-grad, Never-married, Transport-moving, Not-in-family, White, Male,0,0,40, Hong, >50K
31, Private, Assoc-voc, Never-married, Exec-managerial, Husband, Asian-Pac-Islander, Female,0,0,40, Trinadad&Tobago, <=50K
28, Federal-gov, Some-college, Never-married, Adm-clerical, Wife, White, Male,0,0,20, Nicaragua, <=50K
27, Private, 9th, Never-married, Adm-clerical, Husband, White, Male,0,0,40, Italy, <=50K
48, Private, HS-grad, Divorced, Protective-serv, Husband, White, Male,0,0,30, Germany, <=50K
79, Private, Assoc-voc, Married-civ-spouse, Protective-serv, Husband, White, Female,0,0,20, Greece, <=50K
45, Self-emp-not-inc, Some-college, Married-civ-spouse, Craft-repair, Unmarried, Asian-Pac-Islander, Male,0,0,40, Laos, <=50K
53, Private, HS-grad, Married-civ-spouse, Exec-managerial, Unmarried, Other, Male,0,0,40, Outlying-US(Guam-USVI-etc), >50K
47, Local-gov, 12th, Divorced, Craft-repair, Unmarried, Asian-Pac-Islander, Female,0,0,40, Cuba, <=50K
22, Private, HS-grad, Never-married, Adm-clerical, Unmarried, Amer-Indian-Eskimo, Male,0,0,35, Nicaragua, <=50K
27, Private, HS-grad, Married-civ-spouse, Craft-repair, Wife, Other, Female,0,0,40, El-Salvador, <=50K
30, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, Asian-Pac-Islander, Male,0,0,70, United-States, <=50K
30, Private, HS-grad, Never-married, Transport-moving, Own-child, Asian-Pac-Islander, Male,0,0,40, Dominican-Republic, <=50K
21, Private, Bachelors, Never-married, Sales, Own-child, Amer-Indian-Eskimo, Female,0,0,40, Guatemala, <=50K
57, Private, 7th-8th, Married-civ-spouse, Adm-clerical, Not-in-family, White, Female,0,0,50, United-States, >50K
19, Private, 11th, Never-married, Transport-moving, Own-child, Asian-Pac-Islander, Female,0,0,40, China, <=50K
22, Private, Some-college, Never-married, Exec-managerial, Own-child, Asian-Pac-Islander, Female,0,0,53, Ecuador, <=50K
22, Private, HS-grad, Never-married, Adm-clerical, Not-in-family, Amer-Indian-Eskimo, Female,0,0,40, Hungary, <=50K
44, Private, Masters, Married-civ-spouse, Exec-managerial, Other-relative, Asian-Pac-Islander, Female,0,1976,50, Japan, >50K
32, Private, Bachelors, Divorced, Exec-managerial, Husband, Asian-Pac-Islander, Male,0,0,50, United-States, <=50K
18, Private, 11th, Never-married, Sales, Own-child, White, Male,0,0,16, United-States, <=50K
41, Private, HS-grad, Married-civ-spouse, Tech-support, Husband, Other, Female,0,0,40, Cuba, <=50K
19, Private, Bachelors, Never-married, Other-service, Own-child, Amer-Indian-Eskimo, Female,0,1873,10, China, <=50K
59, Private, Some-college, Married-civ-spouse, Exec-managerial, Wife, Other, Female,0,0,40, Iran, <=50K
23, Private, HS-grad, Never-married, Craft-repair, Own-child, Asian-Pac-Islander, Male,0,0,40, United-States, <=50K
20, Private, HS-grad, Never-married, Sales, Own-child, Asian-Pac-Islander, Male,0,0,25, Honduras, <=50K
30, State-gov, HS-grad, Married-civ-spouse, Craft-repair, Not-in-family, Other, Male,0,0,40, Honduras, <=50K
22, Private, Masters, Never-married, Prof-specialty, Own-child, Amer-Indian-Eskimo, Female,0,0,24, United-States, <=50K
22, Private, HS-grad, Never-married, Sales, Own-child, Amer-Indian-Eskimo, Female,0,0,45, China, <=50K
35, Private, HS-grad, Married-civ-spouse, Handlers-cleaners, Unmarried, White, Male,0,0,40, France, <=50K
18, Private, HS-grad, Never-married, Other-service, Own-child, Other, Female,0,0,15, United-States, <=50K
25, Private, HS-grad, Never-married, Exec-managerial, Not-in-family, White, Male,0,0,45, United-States, <=50K
49, Self-emp-inc, HS-grad, Married-civ-spouse, Exec-managerial, Husband, White, Male,15346,0,40, United-States, >50K
31, Private, HS-grad, Never-married, Other-service, Husband, Other, Female,0,0,40, United-States, <=50K
24, Private, HS-grad, Never-married, Tech-support, Not-in-family, White, Female,0,0,40, Greece, <=50K
36, Local-gov, Assoc-acdm, Married-civ-spouse, Machine-op-inspct, Not-in-family, Black, Male,0,0,40, Columbia, >50K
60, Federal-gov, Assoc-acdm, Divorced, Prof-specialty, Husband, Other, Male,15515,0,50, Nicaragua, <=50K
47, Self-emp-not-inc, HS-grad, Married-civ-spouse, Farming-fishing, Wife, White, Male,0,0,50, United-States, >50K
20, Private, Some-college, Never-married, Sales, Own-child, Amer-Indian-Eskimo, Male,0,0,25, Thailand, <=50K
33, Private, Prof-school, Divorced, Exec-managerial, Own-child, Amer-Indian-Eskimo, Male,0,0,35, Japan, <=50K
23, Self-emp-not-inc, Some-college, Never-married, Transport-moving, Not-in-family, White, Female,0,0,30, United-States, <=50K
34, Private, HS-grad, Never-married, Sales, Husband, Other, Male,0,0,40, Germany, <=50K
66, State-gov, Some-college, Married-civ-spouse, Exec-managerial, Husband, Asian-Pac-Islander, Male,0,0,50, Hong, >50K
32, Private, HS-grad, Separated, Adm-clerical, Wife, White, Male,0,0,40, United-States, >50K
23, Self-emp-not-inc, HS-grad, Never-married, Craft-repair, Not-in-family, White, Male,0,0,50, United-States, <=50K
56, Without-pay, Some-college, Separated, Prof-specialty, Husband, White, Male,0,0,60, Hong, <=50K
18, Private, 11th, Married-civ-spouse, Other-service, Own-child, Black, Male,0,0,10, England, <=50K
31, Private, HS-grad, Never-married, Sales, Husband, Other, Male,0,0,40, Guatemala, <=50K
82, Self-emp-inc, Some-college, Divorced, Farming-fishing, Husband, Other, Female,0,0,50, United-States, <=50K
42, Self-emp-inc, Masters, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,1917,70, United-States, >50K
35, Private, Some-college, Separated, Craft-repair, Not-in-family, White, Male,0,0,40, Portugal, <=50K
35, Private, HS-grad, Never-married, Sales, Husband, Black, Male,0,0,40, Taiwan, <=50K
48, Self-emp-not-inc, Masters, Married-civ-spouse, Prof-specialty, Wife, Black, Male,0,0,40, United-States, <=50K
49, Private, Some-college, Married-civ-spouse, Transport-moving, Not-in-family, Asian-Pac-Islander, Male,0,0,80, Scotland, <=50K
26, Private, Assoc-voc, Never-married, Other-service, Not-in-family, Amer-Indian-Eskimo, Male,0,0,97, United-States, >50K
44, Private, HS-grad, Married-civ-spouse, Sales, Not-in-family, Amer-Indian-Eskimo, Male,0,0,40, China, <=50K
44, Self-emp-not-inc, HS-grad, Married-civ-spouse, Exec-managerial, Not-in-family, Other, Male,0,0,50, Thailand, <=50K
20, Private, 12th, Never-married, Adm-clerical, Own-child, White, Female,0,0,10, Puerto-Rico, <=50K
20, State-gov, Some-college, Never-married, Sales, Own-child, Amer-Indian-Eskimo, Female,0,1740,8, Jamaica, <=50K
24, Private, Some-college, Never-married, Craft-repair, Not-in-family, Asian-Pac-Islander, Female,0,0,40, Outlying-US(Guam-USVI-etc), <=50K
45, Local-gov, 7th-8th, Married-civ-spouse, Machine-op-inspct, Wife, White, Male,0,0,40, United-States, <=50K
51, Private, HS-grad, Married-civ-spouse, Craft-repair, Other-relative, Amer-Indian-Eskimo, Male,0,0,40, England, >50K
55, State-gov, HS-grad, Widowed, Craft-repair, Not-in-family, White, Male,0,0,40, Hungary, <=50K
18, Private, 10th, Never-married, Sales, Own-child, Amer-Indian-Eskimo, Female,0,0,10, Guatemala, <=50K
22, Private, Some-college, Never-married, Tech-support, Own-child, Black, Female,0,0,35, Portugal, >50K
38, Private, HS-grad, Married-civ-spouse, Other-service, Wife, Black, Female,0,0,25, Mexico, <=50K
39, Self-emp-not-inc, HS-grad, Never-married, Handlers-cleaners, Husband, Amer-Indian-Eskimo, Female,0,0,40, Ireland, >50K
41, Private, Doctorate, Married-civ-spouse, Transport-moving, Husband, Other, Male,0,0,40, Puerto-Rico, <=50K
28, Private, HS-grad, Never-married, Prof-specialty, Not-in-family, White, Male,0,0,54, Cuba, >50K
44, Private, Bachelors, Divorced, Exec-managerial, Husband, White, Male,0,0,46, Hong, <=50K
62, Private, Some-college, Divorced, Protective-serv, Husband, Black, Female,0,0,40, United-States, <=50K
39, Private, Bachelors, Divorced, Craft-repair, Husband, White, Male,15457,0,50, Laos, >50K
41, Local-gov, 11th, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,65, India, <=50K
60, Federal-gov, 7th-8th, Married-civ-spouse, Adm-clerical, Husband, Amer-Indian-Eskimo, Male,0,0,40, Outlying-US(Guam-USVI-etc), <=50K
42, Private, Some-college, Married-civ-spouse, Farming-fishing, Husband, White, Female,0,0,38, Puerto-Rico, <=50K
53, Private, Assoc-acdm, Married-civ-spouse, Prof-specialty, Not-in-family, Asian-Pac-Islander, Male,0,0,45, Cuba, <=50K
43, State-gov, HS-grad, Married-civ-spouse, Adm-clerical, Husband, White, Female,0,0,30, Nicaragua, <=50K
19, Private, Assoc-acdm, Never-married, Handlers-cleaners, Own-child, Other, Male,0,0,20, Hong, <=50K
40, Private, Some-college, Divorced, Craft-repair, Own-child, White, Female,0,0,40, Hong, <=50K
45, Self-emp-not-inc, HS-grad, Never-married, Sales, Husband, Asian-Pac-Islander, Female,0,0,37, Ecuador, <=50K
53, Local-gov, HS-grad, Married-civ-spouse, Sales, Not-in-family, Black, Female,0,0,40, India, <=50K
24, Private, Bachelors, Married-civ-spouse, Other-service, Not-in-family, Black, Female,0,0,40, Mexico, <=50K
43, Self-emp-not-inc, Bachelors, Married-civ-spouse, Exec-managerial, Wife, Amer-Indian-Eskimo, Female,0,1903,35, United-States, <=50K
38, Private, HS-grad, Divorced, Sales, Not-in-family, Other, Female,0,0,40, Peru, <=50K
44, Self-emp-not-inc, HS-grad, Never-married, Exec-managerial, Husband, Amer-Indian-Eskimo, Female,0,0,60, Puerto-Rico, <=50K
53, State-gov, Some-college, Divorced, Protective-serv, Unmarried, Amer-Indian-Eskimo, Male,0,0,40, United-States, <=50K
59, Self-emp-inc, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,73, United-States, >50K
48, Private, Masters, Married-civ-spouse, Sales, Unmarried, Asian-Pac-Islander, Male,0,0,40, Italy, >50K
59, Private, 5th-6th, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, Dominican-Republic, <=50K
20, Private, Some-college, Never-married, Adm-clerical, Husband, White, Male,0,0,30, Vietnam, <=50K
21, Private, 11th, Never-married, Other-service, Own-child, Black, Female,0,0,20, India, >50K
27, Self-emp-inc, HS-grad, Married-civ-spouse, Craft-repair, Husband, Amer-Indian-Eskimo, Male,0,0,60, South, <=50K
26, State-gov, HS-grad, Never-married, Other-service, Own-child, White, Male,0,0,37, Mexico, >50K
35, Private, Assoc-acdm, Divorced, Tech-support, Wife, White, Male,2600,0,40, Scotland, >50K
34, Private, HS-grad, Never-married, Adm-clerical, Husband, Black, Male,0,0,60, United-States, >50K
21, Private, HS-grad, Never-married, Craft-repair, Own-child, Amer-Indian-Eskimo, Female,0,0,40, Jamaica, <=50K
82, Private, Bachelors, Married-civ-spouse, Exec-managerial, Not-in-family, Other, Female,0,0,35, El-Salvador, <=50K
43, Private, Masters, Never-married, Protective-serv, Unmarried, White, Male,6822,0,45, Trinadad&Tobago, >50K
18, Private, Bachelors, Never-married, Tech-support, Own-child, Other, Male,0,0,16, Jamaica, <=50K
64, Local-gov, 10th, Married-civ-spouse, Other-service, Unmarried, Black, Male,0,0,30, Jamaica, <=50K
42, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, Other, Male,0,0,50, United-States, <=50K
47, Private, Bachelors, Divorced, Other-service, Husband, Black, Male,0,0,40, Puerto-Rico, >50K
63, Self-emp-not-inc, Doctorate, Married-civ-spouse, Exec-managerial, Husband, Asian-Pac-Islander, Female,338,0,40, Philippines, >50K
38, Self-emp-not-inc, Some-college, Never-married, Craft-repair, Unmarried, Other, Female,0,1902,40, Honduras, >50K
33, Private, Some-college, Never-married, Sales, Not-in-family, White, Male,0,0,40, England, <=50K
28, Local-gov, 5th-6th, Never-married, Craft-repair, Unmarried, Asian-Pac-Islander, Male,0,1902,40, Italy, <=50K
51, Private, Bachelors, Divorced, Prof-specialty, Husband, Black, Male,0,0,40, Philippines, >50K
20, Private, Some-college, Never-married, Adm-clerical, Own-child, Other, Female,0,0,40, United-States, >50K
52, Private, Some-college, Married-civ-spouse, Transport-moving, Husband, Black, Female,0,0,40, South, <=50K
41, Private, Some-college, Never-married, Adm-clerical, Husband, Amer-Indian-Eskimo, Male,5178,0,40, United-States, >50K
23, Private, Some-college, Never-married, Sales, Own-child, Amer-Indian-Eskimo, Male,0,0,40, Outlying-US(Guam-USVI-etc), >50K
50, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Female,0,0,40, England, <=50K
48, Private, Some-college, Married-civ-spouse, Prof-specialty, Husband, Amer-Indian-Eskimo, Male,0,0,60, Scotland, >50K
47, Federal-gov, Bachelors, Divorced, Sales, Husband, White, Male,0,0,40, United-States, >50K
23, Private, 11th, Never-married, Adm-clerical, Own-child, Asian-Pac-Islander, Male,0,0,20, Jamaica, <=50K
54, Private, Some-college, Married-civ-spouse, Prof-specialty, Husband, Black, Female,0,0,40, India, >50K
26, Private, HS-grad, Married-civ-spouse, Transport-moving, Unmarried, Other, Male,0,0,40, United-States, <=50K
35, Self-emp-not-inc, Bachelors, Married-civ-spouse, Transport-moving, Husband, Other, Male,0,0,70, Yugoslavia, >50K
39, Self-emp-not-inc, HS-grad, Separated, Craft-repair, Husband, Asian-Pac-Islander, Male,0,0,30, Canada, <=50K
43, Private, Bachelors, Divorced, Exec-managerial, Husband, Asian-Pac-Islander, Male,15024,0,45, India, >50K
60, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,54, United-States, >50K
51, Private, Some-college, Divorced, Tech-support, Husband, White, Male,0,0,40, Honduras, <=50K
41, Private, Masters, Married-civ-spouse, Sales, Husband, White, Male,0,0,45, Cuba, <=50K
25, Private, Some-college, Never-married, Handlers-cleaners, Own-child, Black, Male,0,0,45, Hong, <=50K
24, Private, Some-college, Never-married, Other-service, Not-in-family, White, Male,0,0,35, Vietnam, <=50K
29, Private, Bachelors, Separated, Adm-clerical, Own-child, Other, Male,0,0,40, Poland, <=50K
40, Private, HS-grad, Separated, Exec-managerial, Not-in-family, Asian-Pac-Islander, Male,0,0,40, United-States, <=50K
23, Private, HS-grad, Never-married, Craft-repair, Own-child, Other, Female,0,0,30, Jamaica, <=50K
23, Self-emp-inc, 11th, Never-married, Adm-clerical, Own-child, White, Male,0,0,20, United-States, <=50K
36, Private, Bachelors, Married-civ-spouse, Exec-managerial, Unmarried, Asian-Pac-Islander, Male,0,0,40, India, >50K
24, Private, HS-grad, Never-married, Prof-specialty, Own-child, White, Female,0,0,40, Yugoslavia, <=50K
31, Private, Bachelors, Married-civ-spouse, Prof-specialty, Not-in-family, White, Male,0,0,40, Mexico, >50K
23, Private, Some-college, Never-married, Sales, Not-in-family, White, Male,0,0,30, Cambodia, <=50K
44, Self-emp-not-inc, HS-grad, Married-civ-spouse, Sales, Husband, White, Male,0,0,40, Philippines, <=50K
21, Private, Bachelors, Never-married, Handlers-cleaners, Not-in-family, Other, Male,0,0,40, Hong, <=50K
63, Local-gov, Some-college, Divorced, Sales, Husband, White, Male,0,0,40, Nicaragua, >50K
42, Private, Some-college, Never-married, Tech-support, Wife, Asian-Pac-Islander, Male,0,0,40, Peru, <=50K
38, Private, Bachelors, Married-civ-spouse, Adm-clerical, Husband, White, Male,4828,0,42, Canada, >50K
23, Private, Bachelors, Never-married, Adm-clerical, Not-in-family, Asian-Pac-Islander, Male,0,0,50, United-States, <=50K
25, Private, Some-college, Never-married, Craft-repair, Wife, Asian-Pac-Islander, Female,0,0,30, United-States, <=50K
26, Private, HS-grad, Never-married, Exec-managerial, Wife, Black, Male,0,0,40, Jamaica, <=50K
44, Local-gov, 12th, Married-spouse-absent, Craft-repair, Unmarried, White, Female,0,0,35, El-Salvador, >50K
51, State-gov, Some-college, Married-civ-spouse, Machine-op-inspct, Husband, Other, Female,0,0,40, United-States, >50K
23, Private, Some-college, Never-married, Sales, Wife, Asian-Pac-Islander, Male,0,0,35, Vietnam, <=50K
49, Federal-gov, Some-college, Married-civ-spouse, Prof-specialty, Not-in-family, Black, Male,0,0,74, Cambodia, <=50K
45, Private, Masters, Married-civ-spouse, Adm-clerical, Own-child, Asian-Pac-Islander, Male,7687,0,45, Puerto-Rico, >50K
23, Self-emp-not-inc, 11th, Married-civ-spouse, Craft-repair, Own-child, Other, Female,0,0,40, Nicaragua, <=50K
53, Private, HS-grad, Divorced, Other-service, Not-in-family, White, Female,0,0,50, Haiti, >50K
75, Private, 5th-6th, Married-civ-spouse, Prof-specialty, Wife, White, Male,0,0,40, Mexico, <=50K
59, Private, Bachelors, Married-civ-spouse, Exec-managerial, Unmarried, Black, Female,0,0,40, Poland, >50K
34, Private, HS-grad, Never-married, Craft-repair, Other-relative, Amer-Indian-Eskimo, Female,0,0,32, Japan, <=50K
61, Private, Masters, Married-civ-spouse, Adm-clerical, Husband, White, Male,4383,0,40, United-States, >50K
53, Self-emp-not-inc, HS-grad, Married-civ-spouse, Transport-moving, Husband, Other, Male,0,0,40, Scotland, <=50K
23, Private, 11th, Never-married, Prof-specialty, Not-in-family, Other, Female,0,0,60, Japan, <=50K
55, Self-emp-inc, HS-grad, Married-civ-spouse, Sales, Husband, White, Female,16522,0,60, China, >50K
25, Private, Bachelors, Married-civ-spouse, Adm-clerical, Own-child, Black, Male,0,0,40, Haiti, <=50K
46, Private, Assoc-voc, Separated, Exec-managerial, Unmarried, Other, Male,8614,0,40, United-States, >50K
37, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, Asian-Pac-Islander, Male,0,1902,45, United-States, <=50K
30, Self-emp-not-inc, Masters, Married-civ-spouse, Prof-specialty, Not-in-family, White, Male,0,0,40, Italy, <=50K
24, Private, Some-college, Never-married, Prof-specialty, Unmarried, White, Male,0,0,40, Japan, <=50K
26, Private, Assoc-voc, Married-civ-spouse, Exec-managerial, Husband, Amer-Indian-Eskimo, Female,0,0,50, Iran, <=50K
48, State-gov, HS-grad, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,0,0,60, Honduras, <=50K
39, Private, Bachelors, Separated, Prof-specialty, Husband, Amer-Indian-Eskimo, Male,0,0,45, Italy, <=50K
27, Private, 5th-6th, Married-civ-spouse, Exec-managerial, Husband, Asian-Pac-Islander, Male,0,0,40, Cuba, <=50K
67, Private, Bachelors, Married-civ-spouse, Tech-support, Unmarried, Other, Male,4143,0,20, India, >50K
18, Private, 11th, Never-married, Protective-serv, Own-child, Black, Male,0,0,40, Hungary, <=50K
27, Private, Some-college, Married-civ-spouse, Sales, Not-in-family, Black, Female,0,1902,15, Iran, <=50K
17, Private, HS-grad, Never-married, Other-service, Own-child, White, Male,0,0,10, Honduras, <=50K
39, Self-emp-not-inc, Bachelors, Married-civ-spouse, Craft-repair, Not-in-family, Other, Male,0,0,40, Philippines, <=50K
49, Self-emp-not-inc, HS-grad, Divorced, Exec-managerial, Husband, White, Female,0,0,40, United-States, >50K
43, Private, Assoc-voc, Married-civ-spouse, Machine-op-inspct, Not-in-family, Black, Female,0,0,40, United-States, >50K
21, Private, Some-college, Never-married, Exec-managerial, Not-in-family, Other, Male,0,0,40, Jamaica, <=50K
37, Private, Bachelors, Separated, Craft-repair, Wife, Amer-Indian-Eskimo, Male,0,0,40, United-States, <=50K
46, Private, 9th, Divorced, Adm-clerical, Husband, Asian-Pac-Islander, Male,0,0,35, Vietnam, <=50K
65, Self-emp-not-inc, Prof-school, Married-civ-spouse, Exec-managerial, Not-in-family, Asian-Pac-Islander, Female,0,0,50, Hong, >50K
37, Private, Bachelors, Divorced, Craft-repair, Unmarried, White, Male,0,0,38, Laos, <=50K
18, Private, Bachelors, Never-married, Adm-clerical, Own-child, Black, Male,0,0,40, China, <=50K
40, Private, 10th, Married-civ-spouse, Machine-op-inspct, Unmarried, Other, Male,0,0,30, Taiwan, <=50K
55, Self-emp-inc, HS-grad, Married-civ-spouse, Sales, Husband, White, Male,0,0,60, Taiwan, >50K
43, Local-gov, HS-grad, Married-civ-spouse, Other-service, Husband, White, Male,0,0,40, Cuba, <=50K
29, Private, Masters, Never-married, Tech-support, Other-relative, Asian-Pac-Islander, Female,0,0,45, United-States, <=50K
