39, Self-emp-inc, HS-grad, Divorced, Adm-clerical, Unmarried, Amer-Indian-Eskimo, Male,0,0,50, Ecuador, >50K
49, Self-emp-not-inc, Some-college, Married-civ-spouse, Craft-repair, Unmarried, Asian-Pac-Islander, Male,0,0,40, Japan, <=50K
50, Private, HS-grad, Married-civ-spouse, Exec-managerial, Unmarried, Other, Male,0,0,40, Nicaragua, >50K
44, Local-gov, 5th-6th, Divorced, Craft-repair, Unmarried, Asian-Pac-Islander, Female,0,0,40, Cuba, <=50K
48, Private, Doctorate, Divorced, Adm-clerical, Unmarried, Amer-Indian-Eskimo, Male,0,0,40, Mexico, <=50K
26, Private, HS-grad, Married-civ-spouse, Exec-managerial, Wife, Other, Female,0,0,40, El-Salvador, <=50K
51, Private, Bachelors, Married-civ-spouse, Craft-repair, Husband, Asian-Pac-Islander, Male,0,0,40, United-States, <=50K
18, Private, Bachelors, Never-married, Sales, Unmarried, Asian-Pac-Islander, Male,99999,0,20, Dominican-Republic, <=50K
46, Private, Bachelors, Never-married, Sales, Not-in-family, Amer-Indian-Eskimo, Female,0,0,40, Guatemala, <=50K
54, Private, 5th-6th, Never-married, Adm-clerical, Unmarried, White, Female,0,0,10, United-States, >50K
23, Private, 9th, Never-married, Transport-moving, Own-child, Asian-Pac-Islander, Female,0,0,40, China, <=50K
30, Private, Some-college, Never-married, Exec-managerial, Own-child, Asian-Pac-Islander, Female,0,0,60, Ecuador, >50K
32, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, Amer-Indian-Eskimo, Female,0,0,60, Hong, <=50K
31, Private, HS-grad, Married-civ-spouse, Craft-repair, Unmarried, Asian-Pac-Islander, Female,0,0,40, Japan, >50K
63, Self-emp-not-inc, Assoc-voc, Divorced, Exec-managerial, Husband, Asian-Pac-Islander, Male,0,0,40, United-States, <=50K
33, Private, Assoc-acdm, Never-married, Prof-specialty, Other-relative, White, Male,0,0,40, United-States, <=50K
38, Private, HS-grad, Married-civ-spouse, Tech-support, Husband, Other, Female,0,966,40, Cuba, <=50K
21, Private, HS-grad, Never-married, Exec-managerial, Own-child, Amer-Indian-Eskimo, Female,0,0,35, China, <=50K
58, Private, Some-college, Married-civ-spouse, Exec-managerial, Unmarried, Other, Female,0,0,50, Iran, >50K
32, Private, HS-grad, Married-civ-spouse, Craft-repair, Not-in-family, Asian-Pac-Islander, Male,0,0,40, United-States, <=50K
24, Private, HS-grad, Married-civ-spouse, Tech-support, Own-child, Asian-Pac-Islander, Male,0,0,45, Holand-Netherlands, <=50K
26, State-gov, HS-grad, Married-civ-spouse, Craft-repair, Other-relative, Other, Male,0,0,40, Holand-Netherlands, <=50K
45, Private, HS-grad, Married-civ-spouse, Prof-specialty, Not-in-family, Amer-Indian-Eskimo, Female,0,0,20, United-States, <=50K
59, Private, HS-grad, Married-civ-spouse, Protective-serv, Unmarried, Amer-Indian-Eskimo, Female,0,0,40, China, <=50K
23, Private, HS-grad, Never-married, Other-service, Unmarried, White, Male,0,0,20, France, <=50K
17, Private, 11th, Never-married, Other-service, Own-child, White, Female,0,0,8, United-States, <=50K
27, Private, HS-grad, Never-married, Craft-repair, Not-in-family, White, Male,0,0,40, United-States, <=50K
37, Self-emp-not-inc, Masters, Never-married, Exec-managerial, Husband, White, Male,0,0,60, United-States, <=50K
44, Private, HS-grad, Married-civ-spouse, Prof-specialty, Husband, Other, Female,10549,0,40, United-States, >50K
22, Private, HS-grad, Never-married, Sales, Not-in-family, White, Female,0,0,13, Greece, <=50K
45, Local-gov, Assoc-acdm, Divorced, Machine-op-inspct, Not-in-family, Black, Male,0,0,40, Columbia, >50K
25, Local-gov, 12th, Married-civ-spouse, Sales, Other-relative, Other, Male,0,0,40, Mexico, <=50K
20, Private, Masters, Never-married, Other-service, Wife, White, Male,0,0,20, United-States, <=50K
48, Private, Some-college, Never-married, Sales, Not-in-family, Amer-Indian-Eskimo, Male,0,0,40, Thailand, <=50K
43, Self-emp-not-inc, Prof-school, Married-civ-spouse, Exec-managerial, Not-in-family, Amer-Indian-Eskimo, Male,0,0,70, Jamaica, >50K
40, Self-emp-not-inc, Some-college, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,60, United-States, <=50K
39, Self-emp-inc, HS-grad, Never-married, Sales, Husband, Other, Male,0,0,60, Germany, <=50K
21, State-gov, Some-college, Never-married, Craft-repair, Own-child, Asian-Pac-Islander, Male,0,0,13, Honduras, <=50K
25, Private, HS-grad, Never-married, Adm-clerical, Unmarried, White, Male,0,0,40, United-States, >50K
25, Self-emp-not-inc, Some-college, Never-married, Craft-repair, Own-child, White, Male,0,0,10, United-States, <=50K
60, Without-pay, Some-college, Widowed, Prof-specialty, Husband, White, Female,0,0,4, Holand-Netherlands, <=50K
39, Private, Assoc-voc, Divorced, Other-service, Husband, Black, Male,0,0,20, England, <=50K
31, Private, HS-grad, Never-married, Sales, Husband, Other, Male,0,0,48, Haiti, <=50K
38, Private, Some-college, Divorced, Exec-managerial, Husband, Other, Female,0,0,50, Trinadad&Tobago, <=50K
46, Private, HS-grad, Married-civ-spouse, Machine-op-inspct, Not-in-family, White, Male,0,0,40, United-States, >50K
23, Private, Some-college, Separated, Handlers-cleaners, Own-child, White, Male,0,0,20, Portugal, <=50K
31, Private, HS-grad, Never-married, Sales, Husband, Black, Male,0,0,40, Taiwan, <=50K
32, Self-emp-not-inc, Masters, Never-married, Prof-specialty, Unmarried, Black, Male,0,0,45, United-States, <=50K
35, Private, Some-college, Never-married, Tech-support, Own-child, Asian-Pac-Islander, Male,0,0,40, Scotland, <=50K
47, Private, Assoc-voc, Separated, Handlers-cleaners, Husband, Amer-Indian-Eskimo, Male,0,0,50, United-States, >50K
36, Private, HS-grad, Never-married, Sales, Not-in-family, Amer-Indian-Eskimo, Male,0,0,40, China, <=50K
90, Self-emp-not-inc, Doctorate, Married-civ-spouse, Exec-managerial, Not-in-family, Other, Male,0,0,40, Thailand, <=50K
58, Private, Bachelors, Divorced, Adm-clerical, Husband, White, Female,0,0,40, Portugal, <=50K
39, State-gov, HS-grad, Never-married, Prof-specialty, Husband, Amer-Indian-Eskimo, Female,0,0,40, Italy, <=50K
39, Private, Masters, Never-married, Craft-repair, Husband, Asian-Pac-Islander, Female,0,0,40, Nicaragua, <=50K
46, Federal-gov, 5th-6th, Never-married, Other-service, Wife, White, Male,0,0,20, United-States, <=50K
46, Self-emp-inc, HS-grad, Married-civ-spouse, Exec-managerial, Not-in-family, Amer-Indian-Eskimo, Male,0,0,54, France, >50K
19, State-gov, HS-grad, Never-married, Exec-managerial, Own-child, White, Male,0,0,35, Hungary, <=50K
38, Private, 10th, Married-civ-spouse, Prof-specialty, Not-in-family, Amer-Indian-Eskimo, Female,0,0,40, Guatemala, <=50K
41, Local-gov, Masters, Divorced, Transport-moving, Own-child, Black, Female,0,0,40, Poland, >50K
81, Private, HS-grad, Married-civ-spouse, Other-service, Wife, Black, Female,0,0,20, Laos, <=50K
43, Self-emp-not-inc, HS-grad, Never-married, Handlers-cleaners, Husband, Amer-Indian-Eskimo, Female,0,0,40, Ireland, >50K
30, Private, Bachelors, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,54, Puerto-Rico, <=50K
72, Private, HS-grad, Married-civ-spouse, Prof-specialty, Not-in-family, White, Male,0,0,21, Cuba, >50K
63, Private, Assoc-acdm, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,10, Honduras, <=50K
20, Private, Some-college, Never-married, Prof-specialty, Husband, Black, Female,0,0,40, United-States, <=50K
43, Private, Bachelors, Divorced, Adm-clerical, Husband, White, Male,0,0,40, Laos, >50K
51, Local-gov, 1st-4th, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,55, India, <=50K
25, Local-gov, Assoc-voc, Married-civ-spouse, Adm-clerical, Husband, Amer-Indian-Eskimo, Male,0,0,48, Outlying-US(Guam-USVI-etc), <=50K
40, Private, Some-college, Married-civ-spouse, Handlers-cleaners, Husband, White, Female,0,0,25, Puerto-Rico, <=50K
51, Private, Assoc-voc, Married-civ-spouse, Prof-specialty, Not-in-family, Asian-Pac-Islander, Male,0,0,50, Cuba, <=50K
33, Self-emp-not-inc, HS-grad, Never-married, Adm-clerical, Husband, White, Female,0,0,45, Mexico, >50K
26, Private, Bachelors, Divorced, Craft-repair, Other-relative, Other, Male,0,0,40, Hong, <=50K
33, Private, Some-college, Divorced, Exec-managerial, Not-in-family, White, Female,0,1702,40, Hong, >50K
42, Self-emp-inc, HS-grad, Never-married, Sales, Husband, Asian-Pac-Islander, Female,0,0,40, Ecuador, <=50K
31, Local-gov, Masters, Married-civ-spouse, Sales, Own-child, Black, Female,0,1878,30, India, <=50K
19, Private, Bachelors, Never-married, Other-service, Not-in-family, Black, Female,0,0,45, Mexico, <=50K
59, Self-emp-not-inc, Bachelors, Married-civ-spouse, Exec-managerial, Unmarried, Amer-Indian-Eskimo, Female,0,0,40, United-States, <=50K
24, Private, HS-grad, Married-civ-spouse, Sales, Not-in-family, Other, Female,0,0,40, Peru, <=50K
27, Self-emp-not-inc, HS-grad, Never-married, Exec-managerial, Not-in-family, Amer-Indian-Eskimo, Female,0,0,50, Puerto-Rico, <=50K
53, State-gov, Some-college, Divorced, Sales, Unmarried, Amer-Indian-Eskimo, Male,0,0,40, United-States, <=50K
47, Self-emp-inc, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,70, United-States, <=50K
42, Private, Masters, Married-civ-spouse, Sales, Unmarried, Asian-Pac-Islander, Male,0,0,45, Italy, >50K
37, Private, 9th, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, Dominican-Republic, <=50K
31, Private, Some-college, Never-married, Adm-clerical, Husband, White, Male,0,0,40, Vietnam, <=50K
90, Private, 7th-8th, Widowed, Exec-managerial, Not-in-family, Black, Female,0,0,35, Hungary, >50K
48, Self-emp-not-inc, HS-grad, Married-civ-spouse, Craft-repair, Husband, Amer-Indian-Eskimo, Male,0,0,40, Scotland, <=50K
32, State-gov, HS-grad, Never-married, Other-service, Unmarried, White, Male,0,0,35, Mexico, >50K
30, Private, 1st-4th, Divorced, Tech-support, Wife, White, Male,0,0,25, Puerto-Rico, <=50K
25, Private, HS-grad, Never-married, Adm-clerical, Not-in-family, Black, Male,6552,0,40, United-States, >50K
34, Private, HS-grad, Married-civ-spouse, Craft-repair, Not-in-family, Amer-Indian-Eskimo, Female,0,0,40, Italy, <=50K
32, Private, HS-grad, Married-civ-spouse, Craft-repair, Not-in-family, Other, Female,0,0,50, El-Salvador, >50K
37, Self-emp-inc, Masters, Never-married, Sales, Not-in-family, White, Male,0,0,80, Thailand, >50K
53, Private, HS-grad, Widowed, Transport-moving, Unmarried, Other, Male,0,0,40, Italy, <=50K
39, Private, 10th, Married-civ-spouse, Machine-op-inspct, Own-child, Black, Male,0,0,54, Jamaica, <=50K
35, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, Other, Male,0,0,40, United-States, <=50K
35, Private, Bachelors, Divorced, Other-service, Husband, Black, Male,0,0,40, Puerto-Rico, >50K
34, Private, Doctorate, Never-married, Exec-managerial, Own-child, Asian-Pac-Islander, Female,7687,0,40, Philippines, >50K
29, Self-emp-not-inc, Some-college, Never-married, Craft-repair, Own-child, Other, Female,0,0,40, Holand-Netherlands, <=50K
33, Private, Some-college, Separated, Sales, Not-in-family, White, Male,0,0,36, England, <=50K
39, Local-gov, 5th-6th, Never-married, Adm-clerical, Unmarried, Asian-Pac-Islander, Male,0,0,40, Italy, <=50K
30, Private, Bachelors, Married-civ-spouse, Prof-specialty, Husband, Black, Male,0,0,40, Philippines, <=50K
46, Local-gov, Some-college, Married-civ-spouse, Adm-clerical, Unmarried, Other, Female,0,0,35, United-States, >50K
47, Private, Some-college, Never-married, Transport-moving, Husband, Black, Female,0,0,40, Scotland, <=50K
56, Private, Some-college, Separated, Craft-repair, Husband, Amer-Indian-Eskimo, Male,0,0,40, United-States, <=50K
25, Private, Some-college, Never-married, Sales, Own-child, Amer-Indian-Eskimo, Male,0,0,40, Nicaragua, >50K
31, Private, Bachelors, Never-married, Exec-managerial, Husband, White, Female,0,0,50, England, <=50K
40, Private, Some-college, Married-civ-spouse, Machine-op-inspct, Not-in-family, Amer-Indian-Eskimo, Male,3825,0,40, Scotland, >50K
29, Federal-gov, Bachelors, Married-civ-spouse, Sales, Husband, White, Male,0,0,50, United-States, >50K
19, Private, 10th, Never-married, Adm-clerical, Own-child, Asian-Pac-Islander, Male,0,0,14, Italy, <=50K
48, Private, Some-college, Married-civ-spouse, Prof-specialty, Husband, Black, Female,0,0,40, India, >50K
51, Private, HS-grad, Divorced, Transport-moving, Unmarried, Other, Male,0,0,40, United-States, <=50K
68, State-gov, Doctorate, Married-civ-spouse, Transport-moving, Husband, Other, Male,0,2402,40, Yugoslavia, >50K
62, Self-emp-not-inc, HS-grad, Widowed, Exec-managerial, Husband, Asian-Pac-Islander, Male,0,0,50, Canada, <=50K
41, Private, HS-grad, Divorced, Craft-repair, Husband, Asian-Pac-Islander, Male,0,0,36, Hungary, <=50K
42, Private, Doctorate, Married-civ-spouse, Craft-repair, Husband, White, Male,7298,0,40, United-States, >50K
19, Private, Some-college, Married-spouse-absent, Sales, Own-child, White, Male,0,0,25, Holand-Netherlands, <=50K
55, Self-emp-inc, Masters, Married-civ-spouse, Sales, Husband, White, Male,0,0,40, Cuba, <=50K
61, Private, Some-college, Married-civ-spouse, Farming-fishing, Unmarried, Black, Male,0,0,40, Hong, <=50K
31, Private, Some-college, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,60, Vietnam, <=50K
62, Private, Bachelors, Widowed, Craft-repair, Not-in-family, Other, Male,0,0,50, Poland, <=50K
56, Private, HS-grad, Widowed, Exec-managerial, Husband, Asian-Pac-Islander, Male,0,0,40, United-States, <=50K
22, Private, HS-grad, Never-married, Craft-repair, Own-child, Other, Female,0,0,35, Jamaica, <=50K
23, Private, 7th-8th, Never-married, Adm-clerical, Other-relative, White, Male,0,0,40, United-States, <=50K
39, Private, Bachelors, Married-civ-spouse, Exec-managerial, Unmarried, Asian-Pac-Islander, Male,0,0,45, Hungary, >50K
27, Private, HS-grad, Married-civ-spouse, Prof-specialty, Other-relative, White, Female,0,0,40, Yugoslavia, <=50K
22, Private, Bachelors, Never-married, Prof-specialty, Other-relative, White, Male,0,0,40, Laos, >50K
34, Self-emp-inc, Some-college, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,60, Cambodia, >50K
44, Self-emp-not-inc, HS-grad, Married-civ-spouse, Sales, Husband, White, Male,0,0,40, Philippines, <=50K
49, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, Other, Male,0,0,40, Honduras, <=50K
36, Local-gov, Some-college, Divorced, Sales, Not-in-family, White, Male,0,0,32, Nicaragua, <=50K
27, Private, Some-college, Never-married, Tech-support, Wife, Asian-Pac-Islander, Male,0,0,40, Outlying-US(Guam-USVI-etc), <=50K
47, Private, Bachelors, Divorced, Adm-clerical, Husband, White, Male,0,0,54, Canada, >50K
36, Private, Bachelors, Married-civ-spouse, Adm-clerical, Not-in-family, Asian-Pac-Islander, Male,0,0,40, United-States, <=50K
69, Private, Some-college, Married-civ-spouse, Exec-managerial, Wife, Asian-Pac-Islander, Male,0,2383,27, United-States, >50K
18, Private, Masters, Never-married, Handlers-cleaners, Wife, Black, Female,0,0,20, Jamaica, <=50K
39, Private, 7th-8th, Married-civ-spouse, Craft-repair, Not-in-family, White, Female,0,0,50, El-Salvador, >50K
23, State-gov, Some-college, Never-married, Other-service, Not-in-family, Other, Female,0,0,30, United-States, <=50K
31, Private, Some-college, Never-married, Protective-serv, Wife, Asian-Pac-Islander, Male,0,0,40, Vietnam, <=50K
36, Federal-gov, Some-college, Widowed, Other-service, Unmarried, Black, Male,0,0,6, Cambodia, <=50K
62, Private, HS-grad, Married-civ-spouse, Adm-clerical, Unmarried, Asian-Pac-Islander, Male,0,0,30, Puerto-Rico, >50K
60, State-gov, 11th, Divorced, Craft-repair, Own-child, Other, Female,0,0,26, Nicaragua, <=50K
30, Private, HS-grad, Married-civ-spouse, Other-service, Not-in-family, White, Female,0,0,45, Haiti, >50K
23, Private, 12th, Never-married, Other-service, Wife, White, Male,0,0,32, Laos, <=50K
27, Private, Bachelors, Married-civ-spouse, Exec-managerial, Own-child, Black, Female,7298,0,60, Poland, >50K
24, Private, HS-grad, Never-married, Craft-repair, Other-relative, Amer-Indian-Eskimo, Female,0,0,40, Jamaica, <=50K
38, Private, Some-college, Married-civ-spouse, Adm-clerical, Husband, White, Male,0,0,60, United-States, <=50K
21, Private, HS-grad, Never-married, Transport-moving, Own-child, Other, Male,0,0,40, Scotland, <=50K
29, Private, 12th, Married-civ-spouse, Other-service, Husband, Other, Female,0,0,50, Japan, <=50K
49, Private, HS-grad, Married-civ-spouse, Sales, Not-in-family, White, Female,7298,0,40, China, >50K
20, Private, Bachelors, Married-civ-spouse, Adm-clerical, Own-child, Black, Male,0,0,40, Holand-Netherlands, <=50K
42, Private, Assoc-acdm, Separated, Exec-managerial, Unmarried, Other, Male,0,0,40, United-States, >50K
17, Private, 10th, Never-married, Other-service, Own-child, Asian-Pac-Islander, Male,0,0,20, United-States, <=50K
34, Self-emp-not-inc, Masters, Married-civ-spouse, Prof-specialty, Not-in-family, White, Male,0,0,50, Ireland, <=50K
33, Private, Some-college, Never-married, Prof-specialty, Unmarried, White, Male,0,0,40, Jamaica, <=50K
90, Self-emp-inc, 7th-8th, Married-civ-spouse, Exec-managerial, Husband, Amer-Indian-Eskimo, Female,0,0,54, India, <=50K
30, State-gov, HS-grad, Never-married, Machine-op-inspct, Not-in-family, White, Male,0,0,40, Honduras, <=50K
46, Self-emp-inc, Bachelors, Widowed, Protective-serv, Husband, Amer-Indian-Eskimo, Male,0,0,50, Ireland, <=50K
34, Private, 5th-6th, Married-civ-spouse, Farming-fishing, Husband, Asian-Pac-Islander, Male,0,0,40, Cuba, <=50K
30, Private, Doctorate, Never-married, Tech-support, Own-child, Other, Male,0,0,35, Hungary, <=50K
37, Private, 9th, Married-civ-spouse, Prof-specialty, Not-in-family, Black, Male,0,0,50, Hungary, <=50K
32, Private, Some-college, Divorced, Prof-specialty, Not-in-family, Black, Female,0,0,36, Hungary, <=50K
28, Private, Some-college, Married-civ-spouse, Craft-repair, Other-relative, White, Male,0,0,54, Holand-Netherlands, <=50K
38, Self-emp-not-inc, Bachelors, Married-civ-spouse, Exec-managerial, Not-in-family, Other, Male,0,0,40, Philippines, <=50K
19, Private, HS-grad, Never-married, Machine-op-inspct, Not-in-family, White, Female,0,0,27, United-States, <=50K
53, Private, Bachelors, Married-civ-spouse, Prof-specialty, Not-in-family, Black, Female,0,1902,60, United-States, >50K
40, Private, Some-college, Married-civ-spouse, Craft-repair, Not-in-family, Other, Male,0,0,26, Italy, <=50K
43, Private, Bachelors, Separated, Craft-repair, Wife, Amer-Indian-Eskimo, Male,0,0,40, United-States, <=50K
26, Private, Assoc-acdm, Married-civ-spouse, Craft-repair, Husband, Asian-Pac-Islander, Male,0,0,70, Vietnam, <=50K
19, Private, Some-college, Never-married, Craft-repair, Own-child, Asian-Pac-Islander, Female,0,0,25, Hong, <=50K
21, Private, Bachelors, Never-married, Craft-repair, Own-child, White, Male,0,0,40, Japan, <=50K
48, Private, Bachelors, Widowed, Adm-clerical, Own-child, Black, Male,0,0,40, China, <=50K
41, Private, 10th, Married-civ-spouse, Handlers-cleaners, Not-in-family, Other, Male,0,0,40, Taiwan, <=50K
31, Private, HS-grad, Married-civ-spouse, Tech-support, Husband, White, Male,0,0,60, Taiwan, >50K
21, Local-gov, HS-grad, Never-married, Other-service, Own-child, White, Male,0,0,27, Cuba, <=50K
37, Private, Masters, Married-civ-spouse, Tech-support, Own-child, Asian-Pac-Islander, Female,0,0,40, United-States, <=50K
