43, Self-emp-inc, Doctorate, Married-civ-spouse, Exec-managerial, Wife, Amer-Indian-Eskimo, Male,0,1977,60, Honduras, >50K
29, Private, Assoc-voc, Married-civ-spouse, Protective-serv, Own-child, Black, Female,0,0,20, United-States, >50K
36, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,7298,0,54, Vietnam, >50K
29, Federal-gov, HS-grad, Never-married, Craft-repair, Not-in-family, Black, Male,1085,0,50, Italy, <=50K
34, Self-emp-inc, Bachelors, Married-civ-spouse, Exec-managerial, Not-in-family, White, Male,0,2414,44, United-States, >50K
43, Self-emp-not-inc, Some-college, Married-civ-spouse, Protective-serv, Husband, White, Male,0,0,65, United-States, >50K
41, Private, Masters, Divorced, Exec-managerial, Unmarried, White, Female,0,0,38, Ecuador, <=50K
29, Private, Bachelors, Never-married, Handlers-cleaners, Own-child, White, Female,0,0,36, Jamaica, <=50K
34, Private, HS-grad, Divorced, Other-service, Unmarried, White, Female,0,0,40, Honduras, <=50K
24, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,45, Portugal, <=50K
58, Self-emp-not-inc, HS-grad, Widowed, Craft-repair, Husband, White, Male,0,0,50, China, <=50K
51, Self-emp-inc, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,60, Columbia, >50K
49, State-gov, Some-college, Married-civ-spouse, Exec-managerial, Husband, Other, Male,0,1902,40, Yugoslavia, >50K
62, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,48, United-States, <=50K
40, Local-gov, Some-college, Never-married, Tech-support, Unmarried, Asian-Pac-Islander, Female,0,0,40, United-States, <=50K
41, Private, Some-college, Divorced, Prof-specialty, Unmarried, Other, Female,0,0,40, Ireland, <=50K
26, Private, Some-college, Married-civ-spouse, Farming-fishing, Husband, White, Male,0,0,60, Taiwan, <=50K
32, Private, HS-grad, Never-married, Machine-op-inspct, Husband, White, Male,0,0,40, Trinadad&Tobago, <=50K
69, State-gov, HS-grad, Married-civ-spouse, Prof-specialty, Husband, Asian-Pac-Islander, Male,307,0,80, Iran, <=50K
50, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, Hong, <=50K
57, Self-emp-not-inc, HS-grad, Divorced, Other-service, Not-in-family, White, Female,0,0,45, United-States, <=50K
64, Local-gov, Assoc-acdm, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,70, United-States, <=50K
35, Private, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Male,7687,0,50, United-States, >50K
27, Private, Some-college, Never-married, Sales, Unmarried, Amer-Indian-Eskimo, Female,0,0,40, Mexico, <=50K
41, Private, HS-grad, Divorced, Adm-clerical, Not-in-family, White, Female,0,0,38, United-States, <=50K
64, Private, Assoc-voc, Married-civ-spouse, Prof-specialty, Wife, White, Male,0,0,35, United-States, >50K
29, Local-gov, Bachelors, Never-married, Machine-op-inspct, Not-in-family, Other, Male,0,0,45, Poland, <=50K
28, Local-gov, Bachelors, Never-married, Prof-specialty, Not-in-family, White, Female,0,0,10, United-States, <=50K
51, Federal-gov, HS-grad, Married-civ-spouse, Machine-op-inspct, Husband, Asian-Pac-Islander, Male,2743,0,48, United-States, >50K
20, Private, Bachelors, Separated, Other-service, Unmarried, White, Male,0,0,40, United-States, <=50K
41, Self-emp-not-inc, HS-grad, Divorced, Sales, Not-in-family, White, Female,0,0,54, United-States, <=50K
40, Self-emp-not-inc, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,25, Yugoslavia, <=50K
43, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,50, Guatemala, <=50K
33, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, Iran, <=50K
44, Private, Bachelors, Never-married, Other-service, Unmarried, White, Female,0,0,45, United-States, <=50K
52, Private, Some-college, Divorced, Prof-specialty, Unmarried, White, Female,0,0,40, United-States, <=50K
31, State-gov, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, Hong, >50K
29, Private, 11th, Never-married, Tech-support, Own-child, White, Male,0,0,40, United-States, <=50K
19, Private, Some-college, Married-spouse-absent, Handlers-cleaners, Own-child, Black, Female,0,0,20, United-States, >50K
39, Private, HS-grad, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,65, United-States, >50K
32, Private, Some-college, Never-married, Adm-clerical, Not-in-family, White, Female,0,0,40, United-States, <=50K
47, Private, 10th, Married-civ-spouse, Craft-repair, Husband, White, Female,0,0,40, Iran, <=50K
41, Private, HS-grad, Divorced, Sales, Unmarried, Black, Female,0,0,40, Cuba, <=50K
32, Private, HS-grad, Divorced, Craft-repair, Not-in-family, White, Male,0,0,40, Yugoslavia, <=50K
22, Private, Some-college, Never-married, Prof-specialty, Own-child, Asian-Pac-Islander, Female,0,0,54, United-States, <=50K
34, Private, HS-grad, Never-married, Other-service, Not-in-family, Amer-Indian-Eskimo, Female,0,0,40, Trinadad&Tobago, <=50K
22, Private, Some-college, Never-married, Prof-specialty, Own-child, White, Female,0,0,24, United-States, <=50K
51, Self-emp-not-inc, Some-college, Never-married, Tech-support, Not-in-family, White, Female,0,0,12, United-States, <=50K
32, Private, HS-grad, Never-married, Craft-repair, Husband, White, Male,0,0,54, United-States, <=50K
47, Federal-gov, Some-college, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,50, United-States, <=50K
35, Self-emp-not-inc, Assoc-acdm, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,75, United-States, >50K
57, Private, HS-grad, Divorced, Sales, Not-in-family, White, Male,0,0,40, Nicaragua, <=50K
35, Private, Bachelors, Married-civ-spouse, Sales, Not-in-family, White, Female,0,0,50, Poland, <=50K
24, Self-emp-not-inc, Some-college, Never-married, Farming-fishing, Wife, Black, Female,0,0,40, United-States, <=50K
56, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, <=50K
39, Local-gov, Assoc-acdm, Married-civ-spouse, Exec-managerial, Husband, White, Female,0,0,50, Greece, >50K
50, Private, Bachelors, Married-civ-spouse, Exec-managerial, Wife, Asian-Pac-Islander, Female,0,0,30, United-States, >50K
53, Private, HS-grad, Divorced, Adm-clerical, Wife, White, Female,5017,0,40, Iran, <=50K
39, Private, HS-grad, Never-married, Craft-repair, Not-in-family, Other, Male,0,0,40, United-States, <=50K
50, Self-emp-inc, HS-grad, Married-civ-spouse, Transport-moving, Husband, Black, Male,0,0,40, Haiti, <=50K
43, Private, Bachelors, Married-civ-spouse, Sales, Husband, Amer-Indian-Eskimo, Male,0,0,40, Puerto-Rico, >50K
28, Private, Assoc-acdm, Never-married, Adm-clerical, Own-child, White, Female,0,0,16, United-States, >50K
29, Local-gov, Assoc-acdm, Married-civ-spouse, Tech-support, Husband, Black, Male,0,0,40, Dominican-Republic, >50K
37, Private, Some-college, Never-married, Exec-managerial, Unmarried, Other, Male,0,0,40, Hungary, <=50K
36, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, Black, Male,0,0,40, United-States, <=50K
34, Private, Some-college, Married-civ-spouse, Exec-managerial, Wife, Black, Female,0,0,40, United-States, >50K
46, Self-emp-not-inc, Bachelors, Divorced, Machine-op-inspct, Not-in-family, Black, Male,0,0,40, United-States, <=50K
33, Private, Assoc-acdm, Married-civ-spouse, Protective-serv, Husband, White, Male,0,0,38, United-States, <=50K
41, Private, HS-grad, Married-civ-spouse, Sales, Husband, White, Male,99999,0,70, France, >50K
64, Local-gov, Doctorate, Divorced, Exec-managerial, Unmarried, Asian-Pac-Islander, Female,0,0,40, Ecuador, <=50K
59, Private, Some-college, Never-married, Machine-op-inspct, Wife, White, Male,0,0,40, United-States, <=50K
28, Private, Masters, Never-married, Adm-clerical, Not-in-family, White, Male,0,0,38, United-States, <=50K
31, Private, HS-grad, Married-civ-spouse, Tech-support, Husband, Other, Male,0,0,43, Scotland, >50K
35, State-gov, HS-grad, Divorced, Craft-repair, Not-in-family, White, Male,0,0,40, Trinadad&Tobago, <=50K
30, Private, HS-grad, Married-civ-spouse, Machine-op-inspct, Husband, Amer-Indian-Eskimo, Male,0,0,40, United-States, <=50K
57, Self-emp-not-inc, HS-grad, Married-civ-spouse, Sales, Wife, Asian-Pac-Islander, Female,0,0,40, Dominican-Republic, <=50K
30, Self-emp-inc, Masters, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,45, Laos, >50K
31, Private, HS-grad, Divorced, Farming-fishing, Unmarried, White, Female,0,0,80, United-States, <=50K
38, Private, HS-grad, Never-married, Adm-clerical, Unmarried, White, Female,0,0,40, United-States, <=50K
50, Self-emp-not-inc, Some-college, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, United-States, >50K
45, Private, Doctorate, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,60, United-States, >50K
17, Private, 11th, Never-married, Sales, Own-child, White, Female,0,0,5, Scotland, <=50K
21, Local-gov, 12th, Never-married, Other-service, Own-child, White, Male,0,0,8, England, <=50K
46, Federal-gov, Assoc-acdm, Divorced, Sales, Not-in-family, White, Male,0,0,45, United-States, <=50K
37, Self-emp-inc, HS-grad, Married-civ-spouse, Craft-repair, Own-child, White, Male,0,0,40, United-States, <=50K
60, Private, Some-college, Married-civ-spouse, Sales, Husband, Asian-Pac-Islander, Male,0,0,54, United-States, <=50K
46, Self-emp-not-inc, Some-college, Married-civ-spouse, Exec-managerial, Wife, Amer-Indian-Eskimo, Male,0,0,40, United-States, >50K
40, Self-emp-not-inc, Some-college, Never-married, Tech-support, Not-in-family, White, Male,0,0,60, United-States, >50K
28, Private, HS-grad, Never-married, Sales, Not-in-family, White, Female,0,0,50, Poland, <=50K
21, State-gov, Some-college, Never-married, Craft-repair, Not-in-family, White, Male,0,0,40, United-States, <=50K
48, Self-emp-not-inc, Some-college, Widowed, Adm-clerical, Wife, White, Female,0,0,25, United-States, >50K
35, Self-emp-not-inc, Masters, Never-married, Exec-managerial, Not-in-family, White, Male,10729,0,40, United-States, <=50K
58, State-gov, Prof-school, Married-spouse-absent, Prof-specialty, Husband, White, Male,99999,0,42, United-States, >50K
21, Private, Bachelors, Divorced, Other-service, Own-child, Other, Male,0,0,40, Italy, <=50K
43, Private, HS-grad, Married-civ-spouse, Other-service, Husband, White, Male,0,0,30, Scotland, <=50K
18, Private, Some-college, Never-married, Machine-op-inspct, Own-child, White, Male,0,0,40, United-States, <=50K
47, Self-emp-not-inc, Some-college, Married-civ-spouse, Prof-specialty, Husband, White, Male,7687,0,40, United-States, >50K
25, Private, HS-grad, Never-married, Craft-repair, Not-in-family, White, Male,0,0,50, United-States, <=50K
25, Private, HS-grad, Never-married, Sales, Husband, White, Male,0,0,54, United-States, <=50K
26, Private, Some-college, Never-married, Other-service, Unmarried, White, Female,0,0,38, United-States, <=50K
26, Private, Some-college, Married-spouse-absent, Tech-support, Own-child, Black, Male,0,0,40, United-States, <=50K
75, Private, 7th-8th, Married-civ-spouse, Other-service, Husband, Black, Male,0,0,10, United-States, <=50K
46, Self-emp-not-inc, Masters, Married-civ-spouse, Sales, Husband, Black, Male,0,0,60, Ecuador, >50K
41, Self-emp-not-inc, Bachelors, Married-civ-spouse, Farming-fishing, Husband, White, Male,0,0,80, United-States, >50K
43, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Female,4226,0,52, United-States, >50K
79, State-gov, HS-grad, Married-civ-spouse, Sales, Husband, Asian-Pac-Islander, Male,0,0,40, United-States, <=50K
25, Private, Masters, Never-married, Exec-managerial, Not-in-family, White, Female,0,0,40, United-States, <=50K
33, Local-gov, Assoc-acdm, Never-married, Other-service, Unmarried, White, Male,0,0,40, United-States, <=50K
66, Self-emp-not-inc, Prof-school, Widowed, Machine-op-inspct, Unmarried, Amer-Indian-Eskimo, Female,0,0,24, Italy, >50K
39, State-gov, HS-grad, Married-spouse-absent, Exec-managerial, Husband, White, Male,0,0,54, United-States, <=50K
29, Private, 10th, Married-civ-spouse, Prof-specialty, Husband, Black, Male,0,0,54, Poland, <=50K
22, Private, Some-college, Married-civ-spouse, Tech-support, Own-child, White, Female,0,0,35, United-States, >50K
59, Private, HS-grad, Divorced, Other-service, Wife, White, Female,0,0,40, United-States, <=50K
41, State-gov, Masters, Married-civ-spouse, Prof-specialty, Husband, Amer-Indian-Eskimo, Female,7687,0,40, United-States, >50K
37, Private, Bachelors, Divorced, Tech-support, Not-in-family, White, Male,0,0,60, United-States, <=50K
40, Private, Some-college, Never-married, Prof-specialty, Not-in-family, White, Male,0,0,20, Germany, <=50K
35, Local-gov, Bachelors, Never-married, Machine-op-inspct, Not-in-family, White, Female,0,0,40, United-States, <=50K
17, Private, Some-college, Never-married, Sales, Own-child, White, Female,0,0,9, United-States, <=50K
25, Private, HS-grad, Divorced, Craft-repair, Husband, White, Male,0,0,48, United-States, >50K
26, Local-gov, 11th, Married-civ-spouse, Farming-fishing, Husband, White, Male,0,0,60, United-States, <=50K
21, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, Amer-Indian-Eskimo, Male,0,0,40, United-States, <=50K
28, Private, Some-college, Never-married, Machine-op-inspct, Not-in-family, White, Female,0,0,40, United-States, <=50K
39, Private, Bachelors, Married-civ-spouse, Prof-specialty, Husband, Other, Male,1844,0,70, Germany, <=50K
35, Self-emp-not-inc, HS-grad, Never-married, Exec-managerial, Not-in-family, White, Female,0,0,99, United-States, <=50K
69, Self-emp-not-inc, HS-grad, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,35, United-States, <=50K
36, Private, HS-grad, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,65, United-States, <=50K
17, Private, 11th, Never-married, Sales, Own-child, White, Female,0,0,24, India, <=50K
61, Local-gov, Masters, Married-civ-spouse, Sales, Husband, White, Male,0,0,40, United-States, >50K
69, Self-emp-not-inc, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,3, United-States, <=50K
28, Self-emp-inc, HS-grad, Divorced, Exec-managerial, Unmarried, Amer-Indian-Eskimo, Female,0,0,40, United-States, <=50K
34, Private, HS-grad, Divorced, Sales, Not-in-family, White, Female,0,0,70, United-States, <=50K
17, Self-emp-not-inc, 11th, Never-married, Other-service, Own-child, Amer-Indian-Eskimo, Female,0,0,30, United-States, <=50K
29, State-gov, Some-college, Married-civ-spouse, Sales, Wife, Asian-Pac-Islander, Male,0,0,50, United-States, >50K
32, Private, Bachelors, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,50, United-States, <=50K
53, Private, Some-college, Married-civ-spouse, Tech-support, Husband, Other, Male,0,0,40, United-States, >50K
44, Private, Assoc-acdm, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,37, Honduras, >50K
26, Private, Some-college, Never-married, Exec-managerial, Not-in-family, White, Male,0,0,35, United-States, <=50K
40, Private, Assoc-voc, Never-married, Exec-managerial, Husband, White, Male,0,0,40, United-States, >50K
62, Self-emp-not-inc, HS-grad, Married-civ-spouse, Exec-managerial, Husband, Black, Male,0,0,60, United-States, <=50K
34, State-gov, HS-grad, Married-civ-spouse, Other-service, Husband, White, Male,0,0,40, United-States, >50K
52, Private, HS-grad, Divorced, Tech-support, Unmarried, White, Female,0,0,39, United-States, <=50K
21, Private, HS-grad, Never-married, Adm-clerical, Not-in-family, White, Female,0,0,40, United-States, <=50K
28, Private, Some-college, Married-spouse-absent, Exec-managerial, Own-child, Asian-Pac-Islander, Female,0,1573,40, United-States, >50K
47, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,15024,0,40, Ireland, >50K
62, Self-emp-not-inc, Masters, Married-civ-spouse, Sales, Husband, White, Male,0,0,40, United-States, >50K
51, Private, HS-grad, Widowed, Transport-moving, Unmarried, White, Male,0,1715,40, United-States, <=50K
41, Local-gov, 11th, Married-civ-spouse, Prof-specialty, Wife, White, Male,0,0,40, United-States, <=50K
36, Private, Bachelors, Married-civ-spouse, Farming-fishing, Husband, White, Male,7298,0,40, United-States, >50K
59, Private, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,25, United-States, >50K
34, Self-emp-not-inc, Bachelors, Married-civ-spouse, Exec-managerial, Husband, Black, Male,2984,0,40, United-States, >50K
53, Self-emp-not-inc, Some-college, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,50, Taiwan, >50K
29, Private, Some-college, Never-married, Sales, Husband, White, Male,0,0,25, Italy, <=50K
27, Local-gov, Assoc-acdm, Never-married, Exec-managerial, Wife, White, Male,0,0,40, United-States, <=50K
61, Private, HS-grad, Married-civ-spouse, Sales, Husband, White, Male,0,0,54, United-States, <=50K
18, Private, Masters, Never-married, Adm-clerical, Own-child, White, Female,3040,0,40, United-States, >50K
30, Private, Some-college, Never-married, Transport-moving, Own-child, White, Female,0,0,40, United-States, >50K
35, Private, Some-college, Never-married, Adm-clerical, Unmarried, Amer-Indian-Eskimo, Female,0,0,42, United-States, <=50K
37, Private, Some-college, Never-married, Sales, Not-in-family, Asian-Pac-Islander, Male,0,0,60, United-States, >50K
56, Self-emp-not-inc, Bachelors, Married-civ-spouse, Prof-specialty, Wife, White, Female,0,0,25, Italy, >50K
19, Private, Some-college, Never-married, Other-service, Own-child, Amer-Indian-Eskimo, Female,0,0,40, United-States, <=50K
23, Local-gov, Bachelors, Married-civ-spouse, Sales, Own-child, White, Male,0,0,40, United-States, <=50K
26, Private, Assoc-acdm, Never-married, Craft-repair, Not-in-family, White, Male,7298,0,65, United-States, <=50K
59, Private, Some-college, Divorced, Other-service, Unmarried, Black, Female,0,0,38, United-States, <=50K
29, Private, HS-grad, Divorced, Transport-moving, Unmarried, White, Male,0,0,40, United-States, <=50K
39, State-gov, Bachelors, Married-civ-spouse, Transport-moving, Husband, White, Male,15024,0,50, Vietnam, >50K
48, Self-emp-not-inc, Masters, Widowed, Adm-clerical, Unmarried, Black, Female,0,0,44, Columbia, <=50K
26, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, Other, Male,0,0,40, United-States, >50K
46, Private, HS-grad, Divorced, Craft-repair, Not-in-family, White, Male,0,0,44, United-States, <=50K
51, Private, Some-college, Divorced, Sales, Not-in-family, White, Male,0,0,48, United-States, <=50K
34, Self-emp-not-inc, Some-college, Married-civ-spouse, Protective-serv, Wife, White, Female,0,0,40, Germany, >50K
22, Private, Some-college, Never-married, Other-service, Own-child, White, Female,0,0,30, United-States, <=50K
40, Private, Some-college, Never-married, Machine-op-inspct, Not-in-family, White, Male,0,0,40, United-States, <=50K
35, Private, HS-grad, Widowed, Adm-clerical, Unmarried, White, Female,0,0,19, United-States, <=50K
30, Private, Some-college, Separated, Machine-op-inspct, Own-child, Black, Male,0,0,48, United-States, <=50K
40, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,65, United-States, >50K
37, Self-emp-not-inc, Assoc-acdm, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,60, United-States, <=50K
19, Private, Bachelors, Never-married, Other-service, Own-child, Black, Male,0,0,20, United-States, <=50K
41, Private, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, Yugoslavia, >50K
60, Private, Bachelors, Married-civ-spouse, Protective-serv, Wife, White, Female,0,0,16, United-States, >50K
37, Private, Some-college, Married-civ-spouse, Tech-support, Husband, White, Male,0,0,30, Cambodia, <=50K
20, Private, HS-grad, Never-married, Sales, Not-in-family, White, Male,0,0,40, United-States, <=50K
20, Private, HS-grad, Never-married, Handlers-cleaners, Own-child, White, Male,0,0,40, Trinadad&Tobago, <=50K
37, Local-gov, Some-college, Married-civ-spouse, Sales, Husband, White, Male,0,0,54, United-States, >50K
21, Private, Some-college, Never-married, Tech-support, Unmarried, Black, Male,0,0,40, United-States, <=50K
28, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, Columbia, <=50K
19, Private, Bachelors, Never-married, Adm-clerical, Own-child, Other, Female,0,0,40, United-States, <=50K
20, Private, Some-college, Never-married, Handlers-cleaners, Own-child, Other, Male,0,0,20, United-States, <=50K
35, Self-emp-not-inc, HS-grad, Married-civ-spouse, Farming-fishing, Own-child, White, Male,0,0,65, United-States, <=50K
22, Private, Assoc-acdm, Never-married, Exec-managerial, Unmarried, White, Female,0,0,43, Iran, <=50K
32, State-gov, Some-college, Divorced, Adm-clerical, Unmarried, White, Female,0,0,40, United-States, <=50K
36, Private, HS-grad, Never-married, Other-service, Unmarried, Other, Male,0,0,40, United-States, <=50K
43, Federal-gov, HS-grad, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,40, Cambodia, <=50K
30, Private, HS-grad, Divorced, Adm-clerical, Unmarried, Black, Male,0,0,40, United-States, <=50K
39, Self-emp-not-inc, 11th, Married-civ-spouse, Exec-managerial, Husband, White, Male,15024,0,50, United-States, >50K
18, Private, HS-grad, Never-married, Other-service, Own-child, White, Female,0,0,20, Trinadad&Tobago, <=50K
29, Private, Assoc-acdm, Married-civ-spouse, Prof-specialty, Wife, White, Male,7687,0,40, United-States, <=50K
53, Private, Bachelors, Married-civ-spouse, Exec-managerial, Wife, White, Male,0,0,40, United-States, >50K
44, Private, Masters, Married-civ-spouse, Farming-fishing, Husband, Amer-Indian-Eskimo, Male,0,1848,99, United-States, >50K
28, Private, Some-college, Never-married, Adm-clerical, Not-in-family, White, Male,0,0,40, United-States, <=50K
33, Private, HS-grad, Never-married, Transport-moving, Own-child, White, Male,0,0,40, United-States, <=50K
21, Private, 11th, Never-married, Other-service, Own-child, White, Female,0,0,40, United-States, <=50K
40, Private, Some-college, Never-married, Sales, Unmarried, White, Female,0,0,20, Ecuador, <=50K
24, Private, Bachelors, Divorced, Adm-clerical, Unmarried, White, Female,0,0,45, South, <=50K
42, Private, Assoc-acdm, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, United-States, >50K
55, Private, Assoc-voc, Separated, Farming-fishing, Not-in-family, Black, Female,0,0,40, United-States, <=50K
78, Self-emp-not-inc, HS-grad, Married-civ-spouse, Protective-serv, Not-in-family, White, Male,0,0,40, United-States, <=50K
54, Self-emp-not-inc, Some-college, Married-civ-spouse, Other-service, Husband, White, Male,0,0,40, United-States, <=50K
27, Private, Bachelors, Never-married, Farming-fishing, Not-in-family, Asian-Pac-Islander, Female,0,0,50, United-States, <=50K
60, State-gov, HS-grad, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,3578,0,46, United-States, <=50K
26, Private, Bachelors, Separated, Sales, Not-in-family, Black, Male,0,0,50, United-States, <=50K
50, Private, 9th, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,1902,60, France, >50K
22, Private, HS-grad, Never-married, Transport-moving, Own-child, White, Male,0,0,60, United-States, <=50K
30, Private, Assoc-acdm, Married-civ-spouse, Sales, Husband, White, Male,0,0,55, United-States, >50K
50, Local-gov, Some-college, Married-civ-spouse, Protective-serv, Husband, White, Male,0,0,40, United-States, >50K
58, Self-emp-not-inc, Some-college, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,48, United-States, <=50K
50, Self-emp-not-inc, HS-grad, Divorced, Adm-clerical, Unmarried, White, Female,0,0,40, United-States, <=50K
39, Self-emp-not-inc, HS-grad, Divorced, Farming-fishing, Not-in-family, White, Female,0,0,54, United-States, <=50K
52, Private, Assoc-acdm, Separated, Prof-specialty, Unmarried, White, Female,0,0,20, United-States, <=50K
26, Private, HS-grad, Married-civ-spouse, Handlers-cleaners, Own-child, White, Male,0,0,40, United-States, <=50K
37, Private, Bachelors, Separated, Adm-clerical, Unmarried, Asian-Pac-Islander, Female,0,0,40, United-States, <=50K
22, Private, Bachelors, Never-married, Craft-repair, Own-child, Black, Male,0,0,24, United-States, <=50K
41, Private, HS-grad, Married-civ-spouse, Craft-repair, Not-in-family, White, Female,0,0,40, United-States, <=50K
63, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, United-States, <=50K
38, Private, HS-grad, Never-married, Craft-repair, Not-in-family, White, Male,5013,0,20, Dominican-Republic, <=50K
27, Private, 11th, Never-married, Prof-specialty, Not-in-family, White, Female,0,0,40, United-States, <=50K
39, Private, HS-grad, Divorced, Sales, Not-in-family, White, Male,7213,0,60, United-States, >50K
50, Federal-gov, HS-grad, Divorced, Prof-specialty, Not-in-family, White, Male,0,2354,40, Germany, >50K
44, Private, HS-grad, Never-married, Tech-support, Not-in-family, Black, Male,0,0,30, United-States, <=50K
27, Private, Some-college, Divorced, Adm-clerical, Unmarried, White, Female,0,0,40, United-States, <=50K
34, Private, HS-grad, Never-married, Machine-op-inspct, Not-in-family, White, Male,0,0,30, United-States, <=50K
49, Private, HS-grad, Divorced, Machine-op-inspct, Unmarried, White, Male,0,0,40, United-States, <=50K
35, Private, Masters, Divorced, Transport-moving, Own-child, White, Female,0,0,40, Japan, >50K
24, Private, Bachelors, Never-married, Machine-op-inspct, Not-in-family, White, Female,0,0,45, United-States, <=50K
36, Private, HS-grad, Divorced, Sales, Unmarried, White, Female,0,0,48, United-States, <=50K
30, Private, HS-grad, Married-spouse-absent, Other-service, Unmarried, White, Female,0,0,60, United-States, <=50K
25, Private, Assoc-acdm, Never-married, Adm-clerical, Not-in-family, Other, Female,0,0,40, Laos, <=50K
48, Private, Some-college, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,60, Canada, >50K
30, Private, HS-grad, Married-civ-spouse, Adm-clerical, Unmarried, White, Male,0,0,48, United-States, <=50K
23, Private, HS-grad, Never-married, Adm-clerical, Not-in-family, Black, Female,0,0,45, Puerto-Rico, <=50K
24, Self-emp-not-inc, Some-college, Never-married, Adm-clerical, Own-child, White, Female,0,0,40, United-States, <=50K
