25, Private, HS-grad, Married-civ-spouse, Craft-repair, Wife, Amer-Indian-Eskimo, Male,0,0,35, Dominican-Republic, <=50K
35, Private, Assoc-voc, Separated, Prof-specialty, Wife, White, Male,0,0,40, Japan, <=50K
22, Private, HS-grad, Married-civ-spouse, Sales, Own-child, White, Male,0,0,40, Honduras, <=50K
32, Self-emp-not-inc, Prof-school, Married-civ-spouse, Craft-repair, Not-in-family, White, Female,0,2210,40, Yugoslavia, <=50K
32, Private, Assoc-voc, Divorced, Exec-managerial, Husband, White, Male,0,0,50, Cuba, <=50K
56, Self-emp-inc, HS-grad, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,1974,60, Ecuador, <=50K
46, Self-emp-not-inc, Assoc-voc, Married-civ-spouse, Other-service, Husband, White, Male,0,0,40, India, <=50K
47, Private, Some-college, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, Outlying-US(Guam-USVI-etc), <=50K
38, State-gov, HS-grad, Divorced, Adm-clerical, Unmarried, Black, Female,0,1694,40, Cuba, <=50K
44, Self-emp-not-inc, 11th, Married-civ-spouse, Sales, Husband, White, Male,0,0,40, Jamaica, >50K
45, Private, HS-grad, Divorced, Adm-clerical, Not-in-family, White, Female,0,0,40, Japan, <=50K
54, Private, HS-grad, Divorced, Transport-moving, Unmarried, White, Female,0,0,40, South, <=50K
35, Private, Some-college, Never-married, Adm-clerical, Not-in-family, White, Female,0,0,40, Thailand, <=50K
26, Private, 11th, Never-married, Craft-repair, Own-child, White, Female,0,0,40, Ecuador, <=50K
35, Private, HS-grad, Married-civ-spouse, Transport-moving, Husband, Black, Male,0,0,40, Canada, <=50K
21, Private, HS-grad, Married-civ-spouse, Exec-managerial, Husband, Black, Male,0,0,40, Yugoslavia, <=50K
17, Private, 11th, Never-married, Sales, Own-child, White, Female,0,0,16, Thailand, <=50K
40, Private, HS-grad, Married-civ-spouse, Machine-op-inspct, Husband, Asian-Pac-Islander, Male,0,0,45, Greece, <=50K
55, Private, HS-grad, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,45, Poland, <=50K
23, Private, Some-college, Never-married, Tech-support, Not-in-family, White, Female,4439,0,40, Guatemala, <=50K
55, Private, Assoc-voc, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,50, Puerto-Rico, >50K
33, Federal-gov, Some-college, Never-married, Adm-clerical, Wife, White, Female,0,0,40, Jamaica, <=50K
39, Private, 9th, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, India, <=50K
29, Private, HS-grad, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, France, >50K
59, Private, HS-grad, Divorced, Sales, Husband, Black, Female,2576,0,52, France, <=50K
32, Self-emp-not-inc, Prof-school, Married-civ-spouse, Exec-managerial, Husband, Other, Male,99999,0,40, Iran, >50K
25, Private, HS-grad, Never-married, Handlers-cleaners, Own-child, White, Male,0,0,40, Japan, <=50K
26, Local-gov, 11th, Never-married, Adm-clerical, Own-child, White, Female,0,0,40, Columbia, <=50K
40, Private, Doctorate, Divorced, Adm-clerical, Wife, Black, Female,99999,0,60, Jamaica, >50K
57, Private, Bachelors, Married-civ-spouse, Exec-managerial, Not-in-family, White, Male,0,0,40, Ecuador, >50K
21, Private, Bachelors, Never-married, Adm-clerical, Own-child, White, Female,0,0,40, Taiwan, <=50K
19, Private, HS-grad, Never-married, Tech-support, Own-child, White, Female,0,0,40, Dominican-Republic, <=50K
48, Private, HS-grad, Widowed, Sales, Unmarried, Asian-Pac-Islander, Female,0,0,35, Germany, <=50K
21, Private, 11th, Never-married, Adm-clerical, Own-child, White, Male,0,0,40, South, >50K
49, Local-gov, 9th, Divorced, Tech-support, Unmarried, White, Female,0,0,35, Canada, <=50K
24, Private, Some-college, Never-married, Adm-clerical, Unmarried, White, Female,0,0,45, Dominican-Republic, <=50K
42, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,15024,0,54, Honduras, >50K
60, Private, HS-grad, Divorced, Exec-managerial, Wife, White, Female,7687,0,45, Ireland, >50K
31, Private, HS-grad, Divorced, Handlers-cleaners, Husband, Black, Male,0,0,40, Trinadad&Tobago, <=50K
24, Private, Assoc-acdm, Never-married, Sales, Husband, White, Male,5976,0,30, United-States, >50K
33, Private, HS-grad, Married-spouse-absent, Tech-support, Not-in-family, White, Female,0,0,40, Columbia, <=50K
28, Private, HS-grad, Never-married, Exec-managerial, Own-child, White, Male,0,0,46, China, <=50K
22, Private, Some-college, Never-married, Handlers-cleaners, Own-child, White, Male,0,0,60, Hungary, <=50K
24, Private, HS-grad, Never-married, Exec-managerial, Own-child, White, Male,0,0,35, Taiwan, <=50K
39, Local-gov, Bachelors, Divorced, Sales, Not-in-family, White, Female,0,0,45, Guatemala, <=50K
23, State-gov, HS-grad, Never-married, Farming-fishing, Other-relative, White, Male,0,0,25, Guatemala, <=50K
20, Private, HS-grad, Never-married, Protective-serv, Own-child, Black, Female,0,0,45, Trinadad&Tobago, <=50K
62, Private, HS-grad, Married-spouse-absent, Prof-specialty, Wife, White, Female,0,0,20, China, <=50K
41, Self-emp-inc, HS-grad, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,3325,0,30, El-Salvador, >50K
32, Private, HS-grad, Married-civ-spouse, Machine-op-inspct, Own-child, White, Male,0,0,40, Taiwan, <=50K
35, Private, HS-grad, Separated, Farming-fishing, Own-child, White, Male,0,0,20, South, <=50K
43, Self-emp-not-inc, HS-grad, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,43, Thailand, >50K
27, Private, Bachelors, Never-married, Prof-specialty, Husband, White, Male,0,0,50, South, >50K
23, Private, HS-grad, Never-married, Tech-support, Not-in-family, White, Female,0,1887,40, France, <=50K
23, Local-gov, 7th-8th, Never-married, Other-service, Own-child, White, Male,0,0,35, China, <=50K
36, Federal-gov, 9th, Divorced, Sales, Own-child, White, Female,0,0,50, Jamaica, <=50K
54, Self-emp-not-inc, HS-grad, Divorced, Craft-repair, Wife, White, Female,6545,0,40, Thailand, >50K
27, Private, Some-college, Never-married, Sales, Own-child, White, Male,0,0,40, Portugal, <=50K
23, Private, Some-college, Never-married, Adm-clerical, Own-child, Amer-Indian-Eskimo, Female,0,0,32, Ireland, <=50K
27, Self-emp-not-inc, Some-college, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,45, Thailand, >50K
43, Self-emp-inc, HS-grad, Married-civ-spouse, Sales, Husband, White, Male,15024,0,45, England, >50K
28, State-gov, Some-college, Married-civ-spouse, Exec-managerial, Husband, White, Male,7687,0,40, Guatemala, >50K
26, Self-emp-inc, HS-grad, Separated, Craft-repair, Wife, White, Male,0,0,45, Thailand, <=50K
34, Self-emp-not-inc, HS-grad, Separated, Exec-managerial, Not-in-family, White, Male,0,0,65, Thailand, <=50K
48, Without-pay, Masters, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, Guatemala, <=50K
28, Private, Bachelors, Divorced, Adm-clerical, Not-in-family, White, Female,0,0,40, El-Salvador, <=50K
40, Private, HS-grad, Married-civ-spouse, Sales, Husband, White, Male,0,0,40, Greece, <=50K
42, Private, Some-college, Divorced, Adm-clerical, Unmarried, White, Female,2454,0,40, Puerto-Rico, <=50K
50, Self-emp-not-inc, HS-grad, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, Thailand, >50K
58, Private, Prof-school, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,1968,45, Peru, >50K
51, Private, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, Portugal, >50K
25, Private, Some-college, Never-married, Other-service, Unmarried, Black, Female,0,0,35, Puerto-Rico, <=50K
44, Private, Some-college, Separated, Sales, Unmarried, Black, Female,0,0,35, Peru, <=50K
23, Private, Assoc-voc, Never-married, Machine-op-inspct, Husband, White, Male,0,0,54, Thailand, <=50K
55, Self-emp-not-inc, HS-grad, Married-civ-spouse, Sales, Husband, White, Male,0,0,46, China, <=50K
58, Self-emp-not-inc, HS-grad, Divorced, Machine-op-inspct, Wife, White, Male,0,2012,40, Portugal, <=50K
42, Private, Bachelors, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,60, Outlying-US(Guam-USVI-etc), <=50K
45, State-gov, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,45, India, >50K
32, Private, HS-grad, Never-married, Machine-op-inspct, Not-in-family, White, Female,0,0,45, Laos, <=50K
18, Local-gov, 11th, Never-married, Other-service, Own-child, White, Male,0,0,40, Taiwan, <=50K
24, Private, HS-grad, Never-married, Exec-managerial, Own-child, Other, Male,0,0,40, El-Salvador, >50K
50, State-gov, HS-grad, Widowed, Adm-clerical, Unmarried, White, Female,0,0,33, Honduras, <=50K
28, Private, 10th, Divorced, Other-service, Unmarried, Black, Female,0,0,40, Germany, <=50K
55, Local-gov, HS-grad, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,40, Nicaragua, >50K
52, Private, HS-grad, Divorced, Machine-op-inspct, Wife, White, Female,0,0,40, Italy, <=50K
20, Self-emp-not-inc, Some-college, Never-married, Other-service, Not-in-family, Black, Male,0,0,20, India, <=50K
56, Private, HS-grad, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,40, Outlying-US(Guam-USVI-etc), <=50K
34, Private, HS-grad, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, Columbia, >50K
27, Private, Bachelors, Married-civ-spouse, Farming-fishing, Husband, White, Male,0,0,40, Haiti, >50K
59, Private, Some-college, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, United-States, <=50K
31, Private, HS-grad, Divorced, Adm-clerical, Own-child, White, Male,0,0,20, Ireland, >50K
40, Local-gov, 9th, Married-civ-spouse, Prof-specialty, Not-in-family, White, Male,0,0,60, Hong, <=50K
34, Federal-gov, Bachelors, Never-married, Adm-clerical, Not-in-family, White, Male,0,0,35, Laos, <=50K
25, Private, Some-college, Never-married, Handlers-cleaners, Husband, White, Male,0,0,40, Outlying-US(Guam-USVI-etc), <=50K
48, Private, Assoc-voc, Separated, Other-service, Unmarried, White, Female,0,0,40, Columbia, <=50K
28, State-gov, HS-grad, Never-married, Craft-repair, Husband, White, Female,0,0,35, Jamaica, <=50K
27, Self-emp-not-inc, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,45, Haiti, >50K
56, Private, Some-college, Divorced, Exec-managerial, Husband, White, Male,0,0,40, Haiti, <=50K
44, Self-emp-inc, HS-grad, Separated, Sales, Not-in-family, White, Female,0,0,40, Dominican-Republic, <=50K
34, Private, HS-grad, Never-married, Sales, Unmarried, Black, Female,0,0,20, Honduras, <=50K
30, Private, HS-grad, Divorced, Prof-specialty, Not-in-family, White, Male,0,0,45, Jamaica, <=50K
27, Self-emp-not-inc, HS-grad, Married-civ-spouse, Farming-fishing, Unmarried, Asian-Pac-Islander, Female,0,0,45, Thailand, <=50K
49, Private, HS-grad, Married-civ-spouse, Tech-support, Husband, White, Female,0,1902,40, Laos, <=50K
58, Self-emp-not-inc, HS-grad, Never-married, Handlers-cleaners, Husband, Asian-Pac-Islander, Female,0,0,20, Peru, <=50K
55, State-gov, Some-college, Married-civ-spouse, Sales, Husband, White, Male,0,0,40, Taiwan, <=50K
23, Private, HS-grad, Never-married, Other-service, Not-in-family, White, Male,0,0,20, United-States, <=50K
43, Private, Some-college, Never-married, Sales, Unmarried, White, Female,0,0,40, India, <=50K
32, Private, 7th-8th, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, Cuba, <=50K
36, Private, Some-college, Never-married, Craft-repair, Husband, White, Male,0,0,40, Vietnam, <=50K
56, Private, Assoc-acdm, Never-married, Farming-fishing, Not-in-family, White, Male,0,0,45, Honduras, >50K
36, Self-emp-not-inc, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,60, Philippines, <=50K
25, State-gov, HS-grad, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,40, Jamaica, >50K
41, Private, 7th-8th, Divorced, Transport-moving, Unmarried, Black, Female,0,0,40, Outlying-US(Guam-USVI-etc), <=50K
50, Private, HS-grad, Separated, Adm-clerical, Not-in-family, White, Male,0,0,37, Vietnam, <=50K
32, Private, HS-grad, Never-married, Exec-managerial, Not-in-family, White, Male,0,0,40, Iran, <=50K
19, Private, HS-grad, Never-married, Craft-repair, Own-child, White, Male,0,0,40, Ecuador, <=50K
28, Private, HS-grad, Never-married, Sales, Own-child, Black, Male,0,0,40, Poland, <=50K
68, Private, HS-grad, Widowed, Tech-support, Unmarried, White, Female,0,0,5, Iran, <=50K
29, Local-gov, 10th, Never-married, Prof-specialty, Own-child, White, Male,0,0,40, Ireland, <=50K
20, Private, HS-grad, Married-civ-spouse, Farming-fishing, Husband, White, Male,0,0,40, South, <=50K
23, Private, Bachelors, Never-married, Prof-specialty, Not-in-family, White, Male,0,0,40, Peru, >50K
32, Private, HS-grad, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,45, Mexico, >50K
24, Private, Some-college, Separated, Adm-clerical, Unmarried, Black, Female,0,0,40, Guatemala, <=50K
26, Private, Some-college, Never-married, Sales, Not-in-family, White, Male,0,0,40, El-Salvador, <=50K
39, Local-gov, 9th, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, India, <=50K
25, Private, Bachelors, Married-civ-spouse, Sales, Husband, White, Male,0,0,40, Mexico, <=50K
45, Local-gov, Some-college, Never-married, Adm-clerical, Not-in-family, White, Female,0,0,38, Scotland, >50K
32, Private, Some-college, Married-civ-spouse, Transport-moving, Husband, White, Male,2679,0,40, Philippines, <=50K
23, Private, Some-college, Never-married, Adm-clerical, Own-child, Amer-Indian-Eskimo, Female,0,0,35, Taiwan, <=50K
37, Private, Some-college, Married-civ-spouse, Tech-support, Husband, Black, Male,0,0,50, Japan, >50K
34, Self-emp-inc, Bachelors, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,0,0,40, El-Salvador, >50K
30, Private, Some-college, Never-married, Other-service, Own-child, Black, Female,0,0,52, Peru, <=50K
29, Federal-gov, Bachelors, Never-married, Sales, Not-in-family, White, Male,0,0,40, Thailand, >50K
34, Private, 5th-6th, Never-married, Adm-clerical, Unmarried, White, Female,0,0,40, Iran, <=50K
45, Private, Some-college, Separated, Sales, Not-in-family, White, Male,0,0,54, Hong, <=50K
50, Private, HS-grad, Divorced, Transport-moving, Wife, White, Male,0,0,42, Taiwan, <=50K
28, Self-emp-not-inc, HS-grad, Married-civ-spouse, Transport-moving, Husband, Black, Male,0,0,45, Yugoslavia, <=50K
60, Self-emp-not-inc, HS-grad, Widowed, Adm-clerical, Not-in-family, White, Female,0,0,40, Canada, <=50K
25, Private, HS-grad, Divorced, Adm-clerical, Not-in-family, White, Female,0,0,40, Honduras, <=50K
20, Private, HS-grad, Never-married, Handlers-cleaners, Own-child, Other, Male,0,0,20, Trinadad&Tobago, <=50K
54, Private, Some-college, Married-civ-spouse, Transport-moving, Husband, White, Male,0,1902,45, Guatemala, <=50K
39, Private, Masters, Married-civ-spouse, Sales, Not-in-family, White, Female,15024,0,40, Columbia, <=50K
62, Self-emp-inc, Some-college, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,1977,60, Haiti, >50K
25, Private, Some-college, Never-married, Other-service, Not-in-family, White, Male,0,0,40, Yugoslavia, <=50K
37, Private, HS-grad, Widowed, Craft-repair, Unmarried, Black, Male,0,0,40, Nicaragua, <=50K
36, Private, HS-grad, Never-married, Handlers-cleaners, Husband, White, Male,0,0,40, United-States, <=50K
33, Private, HS-grad, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, Iran, <=50K
46, Self-emp-not-inc, Assoc-acdm, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,45, Scotland, <=50K
23, Private, Bachelors, Never-married, Prof-specialty, Own-child, White, Male,0,0,40, Hong, >50K
30, Private, HS-grad, Married-civ-spouse, Protective-serv, Husband, White, Male,6895,0,40, Yugoslavia, <=50K
27, Private, HS-grad, Never-married, Other-service, Unmarried, Black, Female,0,0,40, Italy, <=50K
27, Private, Some-college, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,54, Cambodia, >50K
40, Self-emp-not-inc, HS-grad, Never-married, Sales, Husband, White, Male,0,0,50, Mexico, <=50K
31, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, Haiti, <=50K
48, Local-gov, Some-college, Divorced, Sales, Not-in-family, White, Male,0,0,45, Japan, <=50K
19, Private, Some-college, Never-married, Sales, Own-child, White, Male,0,0,15, Laos, <=50K
67, Local-gov, Bachelors, Married-civ-spouse, Craft-repair, Husband, White, Male,0,1887,20, Canada, >50K
59, Self-emp-inc, Bachelors, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,83, South, <=50K
51, Private, Some-college, Separated, Adm-clerical, Wife, White, Female,7751,0,16, Taiwan, <=50K
49, Private, HS-grad, Separated, Adm-clerical, Wife, White, Female,0,0,35, Iran, <=50K
32, Private, 12th, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,1901,50, Ecuador, >50K
39, State-gov, Some-college, Divorced, Machine-op-inspct, Not-in-family, White, Female,0,0,40, Taiwan, <=50K
35, Private, Some-college, Separated, Sales, Wife, White, Male,0,0,40, Vietnam, <=50K
20, Federal-gov, Some-college, Never-married, Craft-repair, Own-child, White, Female,0,0,40, Cambodia, <=50K
43, Private, Some-college, Divorced, Adm-clerical, Unmarried, White, Female,0,0,50, Outlying-US(Guam-USVI-etc), <=50K
44, State-gov, 5th-6th, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, Japan, >50K
59, Private, HS-grad, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, Greece, >50K
59, Private, 7th-8th, Divorced, Other-service, Wife, White, Female,0,0,40, Italy, <=50K
57, Private, Bachelors, Married-civ-spouse, Farming-fishing, Other-relative, White, Male,0,0,35, Nicaragua, >50K
44, Local-gov, HS-grad, Never-married, Exec-managerial, Not-in-family, White, Female,0,0,40, Ireland, <=50K
37, Private, Some-college, Separated, Adm-clerical, Own-child, White, Male,0,0,40, United-States, <=50K
40, Self-emp-not-inc, HS-grad, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,50, Philippines, <=50K
56, Private, 5th-6th, Divorced, Other-service, Unmarried, Black, Female,0,0,40, Ireland, <=50K
38, Private, HS-grad, Married-civ-spouse, Tech-support, Wife, White, Female,0,1902,30, China, <=50K
33, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,50, Guatemala, <=50K
27, Private, Assoc-acdm, Separated, Craft-repair, Own-child, White, Female,3792,0,42, South, <=50K
39, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,1902,40, Taiwan, <=50K
25, Self-emp-not-inc, Some-college, Never-married, Prof-specialty, Not-in-family, White, Female,0,0,40, India, <=50K
44, Self-emp-not-inc, Some-college, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,35, Ireland, >50K
23, Private, Assoc-acdm, Never-married, Machine-op-inspct, Own-child, White, Female,0,0,30, Hong, <=50K
26, State-gov, HS-grad, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,40, Guatemala, <=50K
24, Private, Bachelors, Never-married, Sales, Husband, White, Male,0,0,40, India, <=50K
61, Local-gov, 7th-8th, Married-civ-spouse, Farming-fishing, Husband, White, Male,0,0,45, Columbia, <=50K
46, Private, Bachelors, Married-civ-spouse, Sales, Husband, White, Male,0,0,40, Honduras, >50K
37, Private, Assoc-acdm, Married-civ-spouse, Prof-specialty, Husband, White, Male,7298,0,40, Honduras, >50K
47, Local-gov, Some-college, Divorced, Prof-specialty, Not-in-family, White, Female,0,0,54, Hong, <=50K
54, Self-emp-not-inc, Some-college, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, Greece, <=50K
33, Self-emp-not-inc, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,50, Mexico, <=50K
23, Private, HS-grad, Never-married, Handlers-cleaners, Other-relative, White, Male,0,0,40, South, <=50K
22, Private, Assoc-voc, Never-married, Other-service, Own-child, White, Female,0,0,60, Scotland, <=50K
52, Self-emp-not-inc, HS-grad, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, India, >50K
18, Private, 5th-6th, Never-married, Handlers-cleaners, Own-child, White, Male,0,0,20, Taiwan, <=50K
29, Private, Bachelors, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, Yugoslavia, >50K
17, Private, 11th, Never-married, Machine-op-inspct, Own-child, White, Female,0,0,20, Haiti, <=50K
37, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,7298,0,40, Ireland, >50K
37, Private, Bachelors, Separated, Craft-repair, Not-in-family, White, Male,0,0,60, Canada, <=50K
35, Private, 10th, Never-married, Prof-specialty, Not-in-family, White, Male,15024,0,50, Portugal, >50K
39, Private, HS-grad, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,50, Philippines, <=50K
36, Local-gov, HS-grad, Married-civ-spouse, Other-service, Husband, White, Male,0,0,42, Columbia, >50K
35, Private, Some-college, Never-married, Tech-support, Unmarried, White, Female,0,0,20, Trinadad&Tobago, <=50K
21, Private, Some-college, Married-civ-spouse, Exec-managerial, Own-child, Black, Female,0,0,30, Philippines, <=50K
48, Self-emp-inc, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,45, South, >50K
51, Private, HS-grad, Married-civ-spouse, Prof-specialty, Wife, White, Female,0,0,50, Vietnam, >50K
46, Private, HS-grad, Divorced, Transport-moving, Husband, White, Male,0,0,35, El-Salvador, >50K
46, Private, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Male,15024,0,40, Jamaica, >50K
47, Private, Bachelors, Married-civ-spouse, Sales, Husband, White, Male,0,0,45, Iran, >50K
23, Private, HS-grad, Never-married, Prof-specialty, Own-child, White, Female,0,0,40, Iran, <=50K
30, Private, Assoc-acdm, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, Ecuador, >50K
51, Private, Some-college, Married-civ-spouse, Craft-repair, Husband, White, Male,7096,0,40, Cambodia, >50K
41, Local-gov, Bachelors, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,50, Hong, >50K
40, Self-emp-inc, HS-grad, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, Greece, <=50K
28, Private, HS-grad, Separated, Handlers-cleaners, Own-child, White, Male,0,0,40, Haiti, <=50K
25, Federal-gov, Assoc-voc, Never-married, Prof-specialty, Not-in-family, White, Male,0,0,45, India, <=50K
25, Private, Some-college, Never-married, Sales, Unmarried, White, Female,0,0,40, Taiwan, <=50K
