26, Private, HS-grad, Married-civ-spouse, Craft-repair, Wife, Amer-Indian-Eskimo, Male,0,0,40, United-States, <=50K
31, Private, Assoc-voc, Married-civ-spouse, Sales, Not-in-family, White, Male,4894,0,50, United-States, >50K
30, Private, Bachelors, Never-married, Prof-specialty, Husband, White, Male,99999,0,50, United-States, >50K
27, Federal-gov, HS-grad, Never-married, Adm-clerical, Unmarried, Black, Male,0,0,60, United-States, <=50K
41, Self-emp-inc, HS-grad, Divorced, Prof-specialty, Unmarried, White, Female,0,0,70, United-States, <=50K
34, Private, Some-college, Divorced, Sales, Own-child, White, Male,0,0,40, United-States, <=50K
62, Private, HS-grad, Divorced, Exec-managerial, Husband, White, Male,0,0,40, Philippines, <=50K
40, Private, Bachelors, Divorced, Adm-clerical, Unmarried, White, Female,0,0,40, United-States, <=50K
33, Private, HS-grad, Married-civ-spouse, Sales, Husband, White, Male,0,0,40, United-States, <=50K
36, Private, Bachelors, Married-civ-spouse, Exec-managerial, Own-child, White, Female,0,0,50, United-States, >50K
25, Private, HS-grad, Separated, Adm-clerical, Own-child, Other, Female,0,0,40, Greece, <=50K
67, Self-emp-not-inc, HS-grad, Married-civ-spouse, Farming-fishing, Husband, White, Male,0,0,16, Honduras, >50K
47, State-gov, Some-college, Married-civ-spouse, Other-service, Husband, White, Male,0,0,40, United-States, >50K
29, Private, HS-grad, Never-married, Exec-managerial, Not-in-family, White, Male,0,0,50, United-States, <=50K
37, Local-gov, Some-college, Never-married, Tech-support, Unmarried, Black, Female,27758,0,25, United-States, <=50K
47, Private, Some-college, Divorced, Sales, Not-in-family, White, Female,0,0,40, United-States, <=50K
65, Private, Some-college, Married-civ-spouse, Farming-fishing, Husband, White, Male,0,0,19, United-States, <=50K
78, Private, Assoc-voc, Widowed, Prof-specialty, Not-in-family, White, Female,0,0,24, United-States, <=50K
60, State-gov, HS-grad, Widowed, Other-service, Unmarried, Black, Female,0,0,40, United-States, <=50K
47, Private, HS-grad, Divorced, Machine-op-inspct, Wife, White, Female,0,0,40, United-States, <=50K
25, Self-emp-inc, Masters, Never-married, Sales, Own-child, White, Male,0,0,40, United-States, <=50K
32, Local-gov, Bachelors, Never-married, Adm-clerical, Unmarried, White, Male,0,1887,60, United-States, <=50K
29, Private, HS-grad, Never-married, Other-service, Own-child, White, Male,0,0,35, United-States, <=50K
52, Private, Some-college, Married-civ-spouse, Transport-moving, Husband, Asian-Pac-Islander, Male,0,0,60, United-States, >50K
25, Private, Assoc-voc, Never-married, Machine-op-inspct, Husband, White, Male,0,0,40, United-States, <=50K
51, Private, Assoc-voc, Married-civ-spouse, Other-service, Husband, White, Male,7687,0,40, United-States, >50K
26, Local-gov, Assoc-acdm, Divorced, Prof-specialty, Unmarried, White, Male,0,0,50, United-States, <=50K
58, Local-gov, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Male,7687,0,45, United-States, >50K
22, Local-gov, HS-grad, Never-married, Other-service, Husband, Asian-Pac-Islander, Male,0,0,40, United-States, <=50K
20, Private, 5th-6th, Separated, Other-service, Wife, White, Male,0,0,35, United-States, <=50K
41, Self-emp-not-inc, HS-grad, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,50, United-States, <=50K
29, Self-emp-not-inc, Some-college, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,20, Vietnam, <=50K
22, Private, Assoc-voc, Never-married, Adm-clerical, Not-in-family, White, Female,0,0,40, United-States, <=50K
30, Self-emp-not-inc, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,45, United-States, >50K
43, Self-emp-not-inc, Assoc-voc, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, United-States, >50K
26, Private, Some-college, Married-civ-spouse, Other-service, Husband, White, Male,0,0,40, United-States, <=50K
20, Private, HS-grad, Never-married, Craft-repair, Not-in-family, White, Male,0,0,40, United-States, <=50K
18, Private, 10th, Never-married, Tech-support, Own-child, White, Male,0,0,40, United-States, <=50K
46, Private, HS-grad, Divorced, Craft-repair, Unmarried, Black, Female,0,0,50, United-States, >50K
61, Private, Masters, Divorced, Tech-support, Unmarried, White, Female,0,0,40, United-States, <=50K
35, Private, Some-college, Never-married, Exec-managerial, Other-relative, White, Female,0,0,40, United-States, <=50K
33, Private, 5th-6th, Divorced, Adm-clerical, Unmarried, White, Female,0,0,40, United-States, <=50K
34, Self-emp-inc, HS-grad, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,65, Mexico, <=50K
34, Private, Bachelors, Divorced, Exec-managerial, Other-relative, White, Female,0,1858,35, Yugoslavia, >50K
21, Private, Some-college, Never-married, Sales, Own-child, Black, Female,0,0,10, United-States, <=50K
55, Private, HS-grad, Separated, Other-service, Not-in-family, Asian-Pac-Islander, Female,0,0,40, United-States, <=50K
26, Private, HS-grad, Divorced, Machine-op-inspct, Unmarried, White, Female,0,0,40, United-States, <=50K
32, Private, HS-grad, Never-married, Tech-support, Not-in-family, White, Female,0,1590,40, United-States, >50K
30, Private, Bachelors, Never-married, Exec-managerial, Husband, White, Male,0,0,45, United-States, <=50K
31, Federal-gov, Some-college, Never-married, Craft-repair, Wife, White, Male,0,0,40, United-States, <=50K
31, Private, Assoc-voc, Never-married, Adm-clerical, Husband, White, Male,0,0,40, United-States, <=50K
46, Private, HS-grad, Divorced, Prof-specialty, Not-in-family, White, Female,0,0,29, United-States, <=50K
46, Private, Bachelors, Divorced, Prof-specialty, Not-in-family, White, Female,0,0,40, United-States, <=50K
35, Private, Some-college, Never-married, Adm-clerical, Unmarried, Black, Female,0,0,40, United-States, <=50K
40, Private, HS-grad, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, United-States, >50K
25, Private, 11th, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, Scotland, <=50K
57, Private, Bachelors, Divorced, Craft-repair, Wife, Black, Female,0,0,45, United-States, <=50K
19, Private, HS-grad, Never-married, Handlers-cleaners, Own-child, White, Male,0,0,40, United-States, <=50K
22, Private, Bachelors, Never-married, Other-service, Own-child, Black, Female,0,0,12, United-States, <=50K
42, Self-emp-inc, Masters, Married-civ-spouse, Tech-support, Unmarried, Black, Female,0,0,50, United-States, <=50K
57, Private, Bachelors, Widowed, Tech-support, Not-in-family, Asian-Pac-Islander, Female,0,0,25, United-States, <=50K
29, Private, Assoc-acdm, Married-civ-spouse, Craft-repair, Husband, White, Male,7394,0,44, United-States, >50K
31, Local-gov, Assoc-acdm, Never-married, Tech-support, Unmarried, Other, Female,0,0,45, Philippines, <=50K
36, Self-emp-not-inc, Some-college, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,0,1977,35, United-States, >50K
33, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,60, United-States, >50K
49, Private, HS-grad, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,60, United-States, >50K
29, Private, Bachelors, Divorced, Farming-fishing, Husband, White, Male,0,0,40, United-States, <=50K
27, Private, Bachelors, Never-married, Sales, Other-relative, White, Male,0,0,40, United-States, <=50K
42, Private, HS-grad, Divorced, Tech-support, Not-in-family, White, Female,0,0,40, United-States, <=50K
28, Private, HS-grad, Never-married, Exec-managerial, Own-child, Black, Male,0,0,50, Mexico, <=50K
32, Private, Some-college, Married-civ-spouse, Farming-fishing, Husband, White, Male,0,0,40, United-States, >50K
24, Private, Bachelors, Never-married, Exec-managerial, Unmarried, White, Male,8610,0,45, United-States, <=50K
17, Private, 11th, Never-married, Sales, Own-child, White, Male,0,0,15, United-States, <=50K
49, State-gov, HS-grad, Married-civ-spouse, Exec-managerial, Husband, White, Male,15024,0,50, United-States, >50K
48, Private, HS-grad, Married-civ-spouse, Sales, Husband, Asian-Pac-Islander, Male,0,0,50, United-States, <=50K
49, Self-emp-inc, HS-grad, Married-civ-spouse, Sales, Not-in-family, White, Male,0,0,70, Taiwan, <=50K
36, Private, HS-grad, Married-civ-spouse, Other-service, Not-in-family, White, Male,0,0,78, United-States, <=50K
61, Private, HS-grad, Divorced, Prof-specialty, Wife, White, Female,0,0,70, United-States, <=50K
27, Private, Bachelors, Never-married, Machine-op-inspct, Own-child, White, Female,0,0,35, United-States, <=50K
42, Private, HS-grad, Never-married, Exec-managerial, Husband, White, Male,0,0,40, United-States, <=50K
18, Private, HS-grad, Never-married, Other-service, Not-in-family, White, Female,0,0,28, United-States, <=50K
44, Private, HS-grad, Never-married, Transport-moving, Not-in-family, White, Female,0,0,50, United-States, <=50K
32, Local-gov, Assoc-voc, Married-civ-spouse, Other-service, Husband, White, Male,0,1977,54, United-States, >50K
43, Local-gov, Assoc-acdm, Divorced, Prof-specialty, Unmarried, White, Female,0,0,40, United-States, <=50K
22, Private, HS-grad, Never-married, Machine-op-inspct, Unmarried, White, Male,0,0,40, United-States, <=50K
33, Local-gov, Some-college, Separated, Sales, Unmarried, Black, Female,15024,0,50, United-States, <=50K
43, Private, HS-grad, Divorced, Exec-managerial, Own-child, Amer-Indian-Eskimo, Male,0,1780,40, United-States, <=50K
32, Private, Some-college, Never-married, Transport-moving, Not-in-family, White, Male,0,0,40, United-States, <=50K
29, Private, HS-grad, Separated, Sales, Not-in-family, White, Female,0,0,45, United-States, <=50K
39, State-gov, HS-grad, Married-civ-spouse, Craft-repair, Not-in-family, White, Male,0,0,40, United-States, <=50K
54, Self-emp-not-inc, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,45, United-States, >50K
44, State-gov, HS-grad, Separated, Exec-managerial, Not-in-family, White, Male,13705,0,40, United-States, <=50K
55, State-gov, Some-college, Widowed, Prof-specialty, Not-in-family, White, Female,0,0,40, United-States, <=50K
37, Private, Bachelors, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,0,0,50, United-States, <=50K
40, Private, HS-grad, Widowed, Sales, Not-in-family, White, Female,0,0,20, United-States, <=50K
37, Private, Some-college, Divorced, Machine-op-inspct, Not-in-family, White, Male,0,0,35, United-States, <=50K
43, Self-emp-inc, HS-grad, Married-civ-spouse, Other-service, Husband, White, Male,0,0,40, United-States, >50K
48, Private, Some-college, Widowed, Exec-managerial, Unmarried, White, Female,0,0,40, United-States, <=50K
46, Private, Bachelors, Married-civ-spouse, Sales, Husband, White, Male,0,0,40, United-States, >50K
21, Self-emp-not-inc, Some-college, Never-married, Prof-specialty, Unmarried, White, Female,0,0,19, United-States, <=50K
58, Private, Prof-school, Widowed, Tech-support, Wife, Black, Female,0,0,40, United-States, <=50K
31, Private, HS-grad, Separated, Machine-op-inspct, Not-in-family, Black, Male,0,0,40, United-States, <=50K
42, Private, HS-grad, Never-married, Tech-support, Not-in-family, Black, Male,0,0,50, Mexico, <=50K
31, Private, HS-grad, Never-married, Handlers-cleaners, Unmarried, White, Male,0,0,40, United-States, <=50K
40, Private, Bachelors, Married-civ-spouse, Craft-repair, Husband, White, Female,0,0,40, United-States, <=50K
32, State-gov, HS-grad, Never-married, Sales, Own-child, Asian-Pac-Islander, Female,0,0,20, United-States, <=50K
56, Private, Masters, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, United-States, >50K
62, Local-gov, 9th, Widowed, Other-service, Unmarried, White, Female,0,0,35, United-States, <=50K
32, Private, HS-grad, Never-married, Farming-fishing, Own-child, Asian-Pac-Islander, Male,0,0,40, United-States, <=50K
48, State-gov, HS-grad, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,60, United-States, <=50K
58, Private, 10th, Divorced, Prof-specialty, Unmarried, Black, Female,0,0,35, United-States, <=50K
36, Local-gov, Masters, Divorced, Tech-support, Unmarried, Black, Female,0,0,29, United-States, <=50K
67, Private, HS-grad, Never-married, Other-service, Wife, White, Female,0,0,25, United-States, <=50K
25, Private, HS-grad, Never-married, Machine-op-inspct, Not-in-family, Asian-Pac-Islander, Female,0,0,40, United-States, <=50K
37, Private, HS-grad, Never-married, Tech-support, Own-child, White, Male,0,0,29, United-States, <=50K
41, Private, HS-grad, Never-married, Prof-specialty, Unmarried, White, Female,0,0,35, United-States, <=50K
20, Private, HS-grad, Never-married, Handlers-cleaners, Not-in-family, White, Male,0,0,48, United-States, <=50K
41, Private, Some-college, Divorced, Sales, Husband, White, Male,0,0,50, United-States, <=50K
42, Private, Doctorate, Divorced, Craft-repair, Husband, White, Male,0,0,50, United-States, >50K
38, Local-gov, 11th, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,12754,0,40, United-States, <=50K
50, Federal-gov, Assoc-voc, Divorced, Craft-repair, Not-in-family, Asian-Pac-Islander, Male,0,0,50, United-States, <=50K
17, Private, 11th, Never-married, Other-service, Own-child, White, Male,0,0,9, United-States, <=50K
35, Private, HS-grad, Never-married, Prof-specialty, Not-in-family, Black, Male,0,0,40, Thailand, <=50K
28, State-gov, Bachelors, Never-married, Exec-managerial, Own-child, White, Female,0,0,40, United-States, >50K
64, Self-emp-not-inc, HS-grad, Divorced, Exec-managerial, Husband, White, Male,3899,0,50, United-States, >50K
27, Private, Some-college, Divorced, Farming-fishing, Unmarried, White, Female,0,0,25, United-States, <=50K
21, Private, HS-grad, Never-married, Sales, Not-in-family, White, Male,0,0,40, United-States, <=50K
61, Local-gov, HS-grad, Married-civ-spouse, Tech-support, Husband, White, Male,0,0,40, United-States, <=50K
29, Self-emp-inc, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,45, United-States, >50K
28, Private, HS-grad, Married-civ-spouse, Exec-managerial, Own-child, Asian-Pac-Islander, Male,0,0,40, United-States, <=50K
25, Private, Bachelors, Married-civ-spouse, Sales, Own-child, White, Female,0,0,40, United-States, <=50K
26, Private, HS-grad, Never-married, Craft-repair, Husband, Amer-Indian-Eskimo, Male,0,0,40, United-States, <=50K
45, State-gov, Some-college, Married-civ-spouse, Prof-specialty, Wife, Black, Male,43412,0,36, United-States, >50K
55, Private, Bachelors, Married-civ-spouse, Prof-specialty, Not-in-family, White, Male,4977,0,40, United-States, >50K
32, Private, HS-grad, Never-married, Tech-support, Own-child, White, Male,0,0,40, United-States, <=50K
33, Private, 5th-6th, Never-married, Farming-fishing, Husband, White, Male,0,0,35, United-States, <=50K
19, Private, Some-college, Never-married, Adm-clerical, Not-in-family, White, Male,0,0,15, United-States, <=50K
30, Private, 11th, Never-married, Other-service, Own-child, White, Female,0,0,8, United-States, >50K
25, State-gov, Bachelors, Married-civ-spouse, Other-service, Other-relative, Other, Female,0,0,29, United-States, >50K
58, State-gov, HS-grad, Separated, Other-service, Unmarried, White, Female,0,0,29, United-States, <=50K
22, Private, Assoc-acdm, Never-married, Tech-support, Unmarried, White, Male,0,0,40, United-States, <=50K
56, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, <=50K
58, Private, HS-grad, Separated, Exec-managerial, Own-child, Black, Female,0,0,10, United-States, <=50K
55, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, <=50K
20, Private, HS-grad, Never-married, Sales, Own-child, White, Male,0,0,60, United-States, <=50K
28, Private, HS-grad, Never-married, Transport-moving, Own-child, White, Male,0,0,60, United-States, <=50K
34, Local-gov, 11th, Divorced, Prof-specialty, Wife, White, Female,0,0,40, United-States, <=50K
53, Private, Bachelors, Married-civ-spouse, Farming-fishing, Husband, White, Male,7687,0,40, United-States, >50K
42, Private, Bachelors, Divorced, Prof-specialty, Own-child, White, Female,0,0,29, United-States, >50K
35, Private, HS-grad, Separated, Adm-clerical, Unmarried, Black, Female,0,0,40, United-States, <=50K
64, State-gov, Some-college, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, United-States, >50K
26, Private, Masters, Never-married, Tech-support, Not-in-family, White, Male,0,0,40, United-States, <=50K
21, Local-gov, 11th, Never-married, Adm-clerical, Unmarried, Other, Male,0,0,25, United-States, <=50K
18, Private, Assoc-acdm, Never-married, Sales, Own-child, White, Female,0,0,29, United-States, <=50K
34, Private, HS-grad, Never-married, Adm-clerical, Own-child, White, Female,0,0,50, United-States, >50K
43, Private, Prof-school, Married-civ-spouse, Transport-moving, Husband, White, Male,4059,0,50, United-States, >50K
30, Private, Some-college, Married-civ-spouse, Craft-repair, Husband, Amer-Indian-Eskimo, Male,0,0,35, United-States, >50K
48, Private, Some-college, Married-civ-spouse, Transport-moving, Husband, Asian-Pac-Islander, Male,0,0,40, United-States, >50K
42, Self-emp-inc, Bachelors, Married-civ-spouse, Farming-fishing, Husband, White, Male,0,0,60, United-States, <=50K
58, Private, Some-college, Married-civ-spouse, Machine-op-inspct, Husband, Asian-Pac-Islander, Male,0,0,40, United-States, <=50K
44, Federal-gov, Bachelors, Divorced, Sales, Not-in-family, White, Female,0,1591,40, United-States, <=50K
32, Private, 9th, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,50, United-States, >50K
33, Private, Some-college, Married-civ-spouse, Sales, Husband, White, Male,0,0,40, United-States, >50K
33, Private, HS-grad, Married-civ-spouse, Transport-moving, Wife, White, Male,0,0,35, United-States, <=50K
30, Self-emp-not-inc, HS-grad, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,40, United-States, >50K
38, Private, HS-grad, Widowed, Adm-clerical, Not-in-family, Black, Female,0,0,40, India, <=50K
27, Private, Bachelors, Divorced, Machine-op-inspct, Husband, White, Male,0,0,35, United-States, >50K
24, Private, HS-grad, Never-married, Craft-repair, Not-in-family, White, Male,0,0,40, United-States, <=50K
30, Private, Some-college, Divorced, Tech-support, Not-in-family, White, Female,0,0,40, United-States, <=50K
65, Self-emp-not-inc, HS-grad, Married-civ-spouse, Tech-support, Husband, White, Male,0,0,18, United-States, <=50K
54, Self-emp-inc, Some-college, Married-civ-spouse, Prof-specialty, Husband, White, Male,7687,0,40, United-States, >50K
41, Private, Some-college, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,0,0,40, United-States, <=50K
51, Private, Doctorate, Never-married, Craft-repair, Husband, White, Male,0,0,54, United-States, <=50K
38, Private, HS-grad, Never-married, Farming-fishing, Husband, White, Male,0,0,40, United-States, <=50K
29, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, United-States, >50K
46, Self-emp-not-inc, Assoc-voc, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, <=50K
55, Private, HS-grad, Divorced, Craft-repair, Unmarried, Black, Female,0,0,45, United-States, <=50K
48, Private, HS-grad, Married-civ-spouse, Sales, Husband, White, Male,14083,0,40, Yugoslavia, <=50K
42, Self-emp-inc, Bachelors, Married-civ-spouse, Sales, Husband, White, Male,0,0,90, United-States, >50K
66, Private, Some-college, Widowed, Tech-support, Not-in-family, White, Female,0,0,25, Canada, <=50K
53, Self-emp-not-inc, HS-grad, Divorced, Sales, Not-in-family, White, Female,0,0,50, United-States, <=50K
36, Private, HS-grad, Never-married, Handlers-cleaners, Not-in-family, White, Male,0,0,40, United-States, <=50K
19, Private, Some-college, Married-civ-spouse, Sales, Own-child, White, Male,0,0,20, United-States, <=50K
47, Private, Some-college, Separated, Tech-support, Wife, Black, Male,3005,0,40, United-States, <=50K
29, Private, Bachelors, Divorced, Adm-clerical, Other-relative, White, Female,0,0,40, Iran, <=50K
45, Private, HS-grad, Married-civ-spouse, Adm-clerical, Not-in-family, White, Male,3907,0,40, United-States, <=50K
29, Private, Some-college, Never-married, Adm-clerical, Unmarried, Black, Female,0,0,40, United-States, <=50K
41, Private, HS-grad, Married-civ-spouse, Exec-managerial, Other-relative, White, Male,0,0,40, United-States, <=50K
24, Private, 7th-8th, Never-married, Craft-repair, Own-child, White, Male,0,0,45, United-States, <=50K
54, State-gov, Prof-school, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,2407,50, United-States, >50K
31, Private, Some-college, Never-married, Sales, Wife, White, Male,0,0,45, United-States, <=50K
30, Federal-gov, Prof-school, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,40, China, <=50K
35, Private, Prof-school, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,60, United-States, >50K
26, Self-emp-not-inc, 5th-6th, Divorced, Craft-repair, Unmarried, White, Female,0,0,50, United-States, <=50K
28, Private, HS-grad, Married-civ-spouse, Other-service, Husband, White, Male,0,0,40, United-States, >50K
39, Private, Assoc-acdm, Married-civ-spouse, Prof-specialty, Wife, White, Male,0,0,40, United-States, <=50K
23, Private, Bachelors, Never-married, Machine-op-inspct, Own-child, White, Male,0,0,40, United-States, <=50K
20, Private, HS-grad, Never-married, Adm-clerical, Own-child, Amer-Indian-Eskimo, Female,0,0,29, United-States, <=50K
43, Self-emp-inc, Prof-school, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, >50K
33, Private, HS-grad, Never-married, Transport-moving, Not-in-family, White, Male,0,0,65, United-States, <=50K
32, Private, 11th, Never-married, Other-service, Not-in-family, White, Female,0,1854,40, United-States, <=50K
47, Private, HS-grad, Married-civ-spouse, Transport-moving, Husband, White, Female,0,0,40, Mexico, <=50K
21, Private, Bachelors, Divorced, Adm-clerical, Unmarried, White, Female,0,0,40, United-States, <=50K
22, Private, 11th, Separated, Other-service, Own-child, White, Female,0,0,13, United-States, <=50K
44, Private, Assoc-voc, Never-married, Adm-clerical, Unmarried, Black, Female,0,0,40, United-States, <=50K
45, State-gov, Masters, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, United-States, >50K
47, Private, Some-college, Separated, Prof-specialty, Unmarried, White, Male,0,0,35, United-States, <=50K
37, Private, HS-grad, Divorced, Farming-fishing, Not-in-family, Black, Female,0,0,40, United-States, <=50K
53, State-gov, HS-grad, Separated, Machine-op-inspct, Not-in-family, White, Male,0,0,45, United-States, <=50K
35, Private, Bachelors, Widowed, Sales, Not-in-family, Black, Male,0,0,50, United-States, <=50K
31, Private, 7th-8th, Married-civ-spouse, Machine-op-inspct, Not-in-family, White, Male,0,0,40, Thailand, <=50K
47, Private, Bachelors, Married-civ-spouse, Tech-support, Husband, White, Male,0,0,45, United-States, >50K
25, Private, 7th-8th, Never-married, Sales, Own-child, White, Male,0,0,40, United-States, <=50K
52, Local-gov, Some-college, Divorced, Prof-specialty, Not-in-family, White, Female,0,0,50, United-States, <=50K
52, Self-emp-not-inc, Some-college, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,54, United-States, >50K
51, Self-emp-not-inc, HS-grad, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, United-States, <=50K
23, Private, HS-grad, Never-married, Adm-clerical, Not-in-family, White, Female,0,0,40, United-States, <=50K
49, Private, Assoc-voc, Married-civ-spouse, Prof-specialty, Husband, White, Female,0,0,40, United-States, >50K
58, Self-emp-not-inc, Masters, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, United-States, >50K
43, Private, Bachelors, Separated, Prof-specialty, Wife, Black, Male,99999,0,40, United-States, >50K
67, Private, 9th, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, <=50K
38, Self-emp-inc, Masters, Married-civ-spouse, Exec-managerial, Husband, White, Female,0,1977,50, United-States, >50K
42, Private, Bachelors, Divorced, Craft-repair, Unmarried, White, Female,0,0,40, United-States, <=50K
30, Private, HS-grad, Never-married, Craft-repair, Husband, White, Male,0,0,40, Mexico, <=50K
49, Private, 11th, Divorced, Machine-op-inspct, Other-relative, White, Male,0,0,40, United-States, <=50K
41, Private, HS-grad, Never-married, Sales, Not-in-family, White, Female,0,0,28, United-States, <=50K
26, Private, HS-grad, Never-married, Prof-specialty, Not-in-family, White, Male,0,0,54, United-States, <=50K
17, Private, 11th, Never-married, Sales, Own-child, White, Female,0,0,35, United-States, <=50K
49, Private, HS-grad, Divorced, Exec-managerial, Not-in-family, White, Female,0,0,60, United-States, <=50K
40, Private, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Male,7687,0,65, United-States, >50K
43, Private, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, United-States, >50K
22, Private, Prof-school, Divorced, Tech-support, Unmarried, Black, Female,0,0,25, United-States, <=50K
30, Private, HS-grad, Never-married, Other-service, Own-child, White, Female,0,0,40, United-States, <=50K
41, Private, Bachelors, Married-civ-spouse, Sales, Not-in-family, White, Female,56868,0,50, United-States, >50K
25, Private, HS-grad, Married-civ-spouse, Other-service, Husband, White, Male,0,0,40, United-States, <=50K
39, Private, 7th-8th, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, >50K
29, Private, Some-college, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,38, Cuba, <=50K
69, Local-gov, HS-grad, Married-civ-spouse, Craft-repair, Wife, White, Male,0,0,20, United-States, <=50K
45, Private, HS-grad, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, United-States, <=50K
28, Private, Masters, Never-married, Farming-fishing, Unmarried, White, Female,0,0,45, United-States, <=50K
33, Federal-gov, Assoc-acdm, Never-married, Sales, Husband, White, Male,0,0,35, United-States, <=50K
44, Private, Some-college, Separated, Sales, Unmarried, White, Female,0,0,40, United-States, <=50K
33, Private, Some-college, Divorced, Other-service, Husband, White, Male,0,0,60, United-States, >50K
25, Private, Bachelors, Never-married, Prof-specialty, Own-child, White, Female,0,0,40, United-States, <=50K
41, Self-emp-not-inc, HS-grad, Married-civ-spouse, Sales, Husband, White, Male,0,0,50, United-States, >50K
42, Local-gov, Prof-school, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,54, United-States, >50K
46, Private, HS-grad, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,40, United-States, <=50K
41, Private, Some-college, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,4, United-States, <=50K
37, Self-emp-not-inc, Masters, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,45, United-States, >50K
30, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, United-States, >50K
