47, Private, HS-grad, Divorced, Adm-clerical, Wife, Amer-Indian-Eskimo, Female,0,0,35, Hungary, <=50K
30, Private, Some-college, Married-civ-spouse, Sales, Wife, Amer-Indian-Eskimo, Female,7298,0,15, Taiwan, >50K
22, Private, Assoc-acdm, Never-married, Other-service, Not-in-family, White, Female,0,0,45, United-States, <=50K
25, Private, Assoc-voc, Married-civ-spouse, Machine-op-inspct, Own-child, White, Male,0,0,52, United-States, <=50K
33, Federal-gov, Assoc-acdm, Married-civ-spouse, Prof-specialty, Wife, Other, Male,0,0,40, Philippines, >50K
60, Federal-gov, HS-grad, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,40, United-States, <=50K
50, Federal-gov, HS-grad, Widowed, Prof-specialty, Not-in-family, Asian-Pac-Islander, Male,0,0,60, United-States, <=50K
25, Private, Assoc-acdm, Separated, Prof-specialty, Wife, White, Male,0,0,40, United-States, <=50K
43, Self-emp-not-inc, Doctorate, Married-civ-spouse, Sales, Husband, White, Male,0,0,50, United-States, <=50K
45, Private, HS-grad, Married-civ-spouse, Craft-repair, Not-in-family, White, Female,0,0,40, Yugoslavia, <=50K
55, Local-gov, 9th, Divorced, Exec-managerial, Not-in-family, White, Female,0,0,40, Haiti, <=50K
43, Private, HS-grad, Never-married, Craft-repair, Not-in-family, White, Male,0,0,40, Hong, <=50K
41, Private, Assoc-acdm, Separated, Other-service, Unmarried, Other, Female,0,0,40, United-States, <=50K
47, Private, Some-college, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, United-States, <=50K
47, State-gov, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, Haiti, >50K
27, Private, 11th, Never-married, Sales, Own-child, White, Female,0,0,50, United-States, <=50K
35, Private, HS-grad, Divorced, Adm-clerical, Unmarried, Black, Female,0,0,40, United-States, <=50K
32, Private, HS-grad, Never-married, Transport-moving, Not-in-family, White, Male,0,0,40, United-States, <=50K
59, Self-emp-not-inc, Some-college, Married-civ-spouse, Exec-managerial, Wife, White, Female,0,0,40, United-States, <=50K
39, Private, 11th, Married-civ-spouse, Craft-repair, Husband, White, Female,0,1887,40, Ireland, <=50K
32, Private, HS-grad, Never-married, Sales, Not-in-family, Black, Male,0,0,20, Cuba, <=50K
37, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,1977,40, Yugoslavia, >50K
56, Self-emp-inc, Masters, Married-civ-spouse, Protective-serv, Husband, Asian-Pac-Islander, Male,0,0,50, United-States, >50K
50, Private, HS-grad, Married-civ-spouse, Other-service, Husband, Amer-Indian-Eskimo, Male,0,0,54, Puerto-Rico, <=50K
45, Private, HS-grad, Divorced, Other-service, Unmarried, White, Male,0,0,40, United-States, <=50K
37, Private, HS-grad, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,50, United-States, >50K
19, Private, 11th, Never-married, Other-service, Own-child, Other, Female,0,0,20, United-States, <=50K
62, Federal-gov, Some-college, Widowed, Adm-clerical, Wife, White, Female,0,0,40, United-States, <=50K
20, Private, 11th, Never-married, Adm-clerical, Husband, White, Male,0,0,40, United-States, <=50K
18, Private, HS-grad, Never-married, Sales, Not-in-family, White, Male,0,0,45, Peru, <=50K
36, Private, Bachelors, Divorced, Prof-specialty, Not-in-family, White, Female,0,0,40, Puerto-Rico, <=50K
20, Private, Some-college, Never-married, Craft-repair, Own-child, Black, Female,0,1887,24, United-States, <=50K
43, Private, Masters, Never-married, Craft-repair, Unmarried, White, Male,0,0,40, United-States, <=50K
33, Local-gov, 11th, Divorced, Exec-managerial, Unmarried, Black, Female,0,0,32, Germany, <=50K
35, Private, Bachelors, Divorced, Adm-clerical, Unmarried, Black, Female,0,0,40, United-States, <=50K
27, Private, Bachelors, Married-civ-spouse, Exec-managerial, Wife, White, Male,0,0,45, Japan, >50K
29, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,65, United-States, <=50K
39, Self-emp-inc, HS-grad, Married-civ-spouse, Transport-moving, Husband, Black, Male,0,1887,40, Hong, <=50K
18, Private, Assoc-acdm, Never-married, Sales, Own-child, Amer-Indian-Eskimo, Female,0,0,20, Outlying-US(Guam-USVI-etc), <=50K
56, Private, 7th-8th, Never-married, Adm-clerical, Unmarried, White, Female,0,0,40, United-States, >50K
28, Private, Assoc-acdm, Married-civ-spouse, Transport-moving, Husband, Black, Male,0,0,50, Cuba, <=50K
21, Private, Some-college, Never-married, Handlers-cleaners, Unmarried, Black, Female,0,0,35, Hong, <=50K
63, Private, HS-grad, Married-civ-spouse, Adm-clerical, Not-in-family, Black, Female,0,0,35, United-States, <=50K
31, Private, HS-grad, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,60, United-States, >50K
27, Private, Bachelors, Divorced, Handlers-cleaners, Not-in-family, Black, Male,0,0,40, United-States, <=50K
34, Self-emp-inc, Assoc-acdm, Never-married, Sales, Not-in-family, White, Female,0,0,76, United-States, <=50K
47, Private, HS-grad, Married-civ-spouse, Tech-support, Husband, White, Male,0,0,40, France, <=50K
51, Local-gov, Bachelors, Married-civ-spouse, Exec-managerial, Wife, Asian-Pac-Islander, Female,0,0,40, Ecuador, <=50K
48, Private, Some-college, Never-married, Machine-op-inspct, Wife, White, Female,0,1848,5, United-States, <=50K
23, Private, Prof-school, Never-married, Farming-fishing, Own-child, Other, Male,0,0,27, United-States, <=50K
19, Private, HS-grad, Never-married, Sales, Own-child, Black, Male,0,0,45, Taiwan, <=50K
40, State-gov, Masters, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,0,0,20, South, <=50K
40, Private, HS-grad, Never-married, Prof-specialty, Not-in-family, Amer-Indian-Eskimo, Female,0,1978,54, United-States, <=50K
29, Private, HS-grad, Never-married, Sales, Wife, Black, Female,0,0,40, Dominican-Republic, <=50K
43, Self-emp-not-inc, HS-grad, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, Mexico, >50K
39, Private, Bachelors, Divorced, Other-service, Unmarried, White, Female,0,0,20, United-States, <=50K
70, Private, HS-grad, Widowed, Exec-managerial, Not-in-family, White, Male,0,0,40, United-States, <=50K
23, Private, Some-college, Never-married, Exec-managerial, Not-in-family, White, Female,0,0,40, United-States, <=50K
45, Private, HS-grad, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,40, United-States, >50K
50, Private, HS-grad, Married-civ-spouse, Transport-moving, Husband, White, Female,0,0,45, Outlying-US(Guam-USVI-etc), >50K
42, Local-gov, Assoc-acdm, Divorced, Other-service, Unmarried, White, Male,0,0,40, France, >50K
48, Federal-gov, 7th-8th, Married-civ-spouse, Sales, Husband, White, Male,0,0,45, United-States, >50K
49, Self-emp-not-inc, HS-grad, Married-civ-spouse, Machine-op-inspct, Wife, White, Male,0,0,40, United-States, >50K
22, Private, Some-college, Never-married, Sales, Own-child, Black, Female,0,0,24, United-States, <=50K
33, Private, Some-college, Divorced, Farming-fishing, Unmarried, Amer-Indian-Eskimo, Female,0,0,40, United-States, <=50K
43, Self-emp-not-inc, Some-college, Married-civ-spouse, Transport-moving, Husband, White, Male,0,1126,40, United-States, <=50K
46, Private, Masters, Widowed, Sales, Not-in-family, White, Female,0,0,35, Peru, <=50K
44, State-gov, Some-college, Divorced, Adm-clerical, Not-in-family, Black, Male,0,0,40, United-States, <=50K
40, Self-emp-not-inc, HS-grad, Married-civ-spouse, Craft-repair, Not-in-family, White, Male,0,0,70, United-States, >50K
29, Self-emp-not-inc, HS-grad, Never-married, Craft-repair, Not-in-family, White, Male,0,0,60, United-States, <=50K
37, Without-pay, Masters, Separated, Prof-specialty, Not-in-family, White, Female,0,0,45, United-States, <=50K
39, Private, Assoc-voc, Divorced, Machine-op-inspct, Not-in-family, White, Male,0,0,45, Ireland, <=50K
47, Private, HS-grad, Married-spouse-absent, Sales, Husband, White, Male,0,0,45, Scotland, <=50K
27, Private, Some-college, Married-civ-spouse, Machine-op-inspct, Not-in-family, White, Female,0,0,35, United-States, <=50K
46, Private, Masters, Divorced, Prof-specialty, Unmarried, White, Female,0,0,35, United-States, <=50K
20, Private, Some-college, Never-married, Other-service, Own-child, White, Female,0,0,1, United-States, <=50K
35, Private, HS-grad, Never-married, Sales, Husband, White, Male,0,0,40, United-States, <=50K
38, Self-emp-not-inc, Masters, Married-spouse-absent, Protective-serv, Unmarried, White, Male,0,0,60, United-States, <=50K
29, Private, Some-college, Married-civ-spouse, Tech-support, Not-in-family, Black, Male,0,0,40, United-States, <=50K
23, Private, 1st-4th, Never-married, Other-service, Own-child, Asian-Pac-Islander, Male,0,0,20, United-States, <=50K
20, Private, Some-college, Never-married, Sales, Own-child, Black, Male,0,0,30, Dominican-Republic, <=50K
35, Self-emp-not-inc, HS-grad, Never-married, Farming-fishing, Own-child, White, Male,0,0,40, United-States, <=50K
37, Private, Bachelors, Married-civ-spouse, Craft-repair, Husband, White, Female,0,0,60, United-States, >50K
41, State-gov, HS-grad, Never-married, Prof-specialty, Not-in-family, Asian-Pac-Islander, Female,0,0,50, United-States, <=50K
37, Private, Some-college, Never-married, Adm-clerical, Unmarried, Black, Female,0,0,40, United-States, <=50K
30, Local-gov, 9th, Never-married, Other-service, Unmarried, White, Female,0,0,40, United-States, <=50K
33, Private, HS-grad, Never-married, Craft-repair, Own-child, Amer-Indian-Eskimo, Male,0,0,40, Italy, <=50K
53, State-gov, Doctorate, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,95, United-States, <=50K
52, Private, 11th, Divorced, Prof-specialty, Unmarried, Black, Female,0,0,34, Taiwan, <=50K
58, Local-gov, Masters, Divorced, Transport-moving, Unmarried, Other, Female,0,0,40, United-States, <=50K
62, Private, HS-grad, Married-civ-spouse, Other-service, Wife, White, Female,0,0,40, United-States, <=50K
40, Self-emp-not-inc, HS-grad, Married-civ-spouse, Exec-managerial, Husband, Amer-Indian-Eskimo, Male,0,0,40, United-States, <=50K
29, Private, Bachelors, Never-married, Transport-moving, Not-in-family, White, Male,0,0,40, United-States, <=50K
31, Private, HS-grad, Never-married, Machine-op-inspct, Not-in-family, White, Male,0,0,40, France, <=50K
22, Private, HS-grad, Never-married, Machine-op-inspct, Own-child, White, Male,0,0,30, Scotland, <=50K
35, Private, Some-college, Married-civ-spouse, Sales, Husband, White, Male,0,0,65, United-States, <=50K
28, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,35, United-States, >50K
51, Federal-gov, 12th, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,50, United-States, <=50K
45, Federal-gov, Assoc-voc, Married-civ-spouse, Craft-repair, Husband, Amer-Indian-Eskimo, Male,1173,0,40, United-States, <=50K
32, Private, Some-college, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,50, United-States, <=50K
21, Private, Assoc-acdm, Never-married, Prof-specialty, Own-child, Black, Female,0,0,45, Guatemala, <=50K
76, State-gov, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Female,0,0,44, United-States, >50K
30, Self-emp-inc, Bachelors, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, South, <=50K
51, Private, Some-college, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, United-States, >50K
48, Self-emp-inc, HS-grad, Married-civ-spouse, Sales, Husband, Other, Male,4057,0,40, Honduras, <=50K
29, Local-gov, Some-college, Married-civ-spouse, Sales, Husband, White, Male,0,1887,30, United-States, <=50K
31, Private, HS-grad, Married-spouse-absent, Other-service, Not-in-family, White, Female,0,0,40, United-States, <=50K
32, Self-emp-not-inc, Bachelors, Married-civ-spouse, Exec-managerial, Own-child, Amer-Indian-Eskimo, Female,0,0,40, United-States, <=50K
48, Private, HS-grad, Married-civ-spouse, Sales, Husband, White, Female,0,0,40, United-States, <=50K
24, Self-emp-not-inc, Bachelors, Never-married, Other-service, Own-child, Amer-Indian-Eskimo, Female,0,0,40, United-States, <=50K
46, State-gov, Some-college, Divorced, Prof-specialty, Unmarried, Black, Female,0,0,15, United-States, <=50K
46, Private, Bachelors, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,45, United-States, >50K
35, Private, Masters, Married-civ-spouse, Sales, Husband, White, Male,0,0,45, United-States, >50K
25, Private, 7th-8th, Never-married, Craft-repair, Husband, White, Male,0,0,40, Guatemala, <=50K
63, Private, Some-college, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,50, United-States, <=50K
53, Private, Assoc-voc, Never-married, Prof-specialty, Not-in-family, White, Female,99999,0,35, United-States, >50K
35, Self-emp-not-inc, Bachelors, Married-civ-spouse, Exec-managerial, Husband, Black, Male,0,0,40, United-States, >50K
53, State-gov, Bachelors, Married-civ-spouse, Prof-specialty, Wife, White, Male,0,0,60, United-States, >50K
30, Private, 9th, Married-civ-spouse, Transport-moving, Own-child, White, Male,0,0,60, United-States, <=50K
38, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,1977,60, United-States, >50K
59, Private, Masters, Married-civ-spouse, Exec-managerial, Husband, Asian-Pac-Islander, Male,0,0,60, United-States, >50K
20, Private, HS-grad, Never-married, Craft-repair, Own-child, White, Male,0,0,40, India, <=50K
25, Private, HS-grad, Never-married, Sales, Unmarried, White, Female,0,0,50, United-States, <=50K
24, Private, HS-grad, Never-married, Tech-support, Unmarried, White, Female,0,0,35, United-States, <=50K
18, Private, 11th, Never-married, Other-service, Own-child, White, Male,0,0,32, United-States, <=50K
30, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,45, United-States, <=50K
73, Private, 7th-8th, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,5, United-States, >50K
34, Self-emp-not-inc, HS-grad, Never-married, Farming-fishing, Not-in-family, Other, Male,0,0,99, United-States, <=50K
37, Self-emp-not-inc, Some-college, Married-civ-spouse, Craft-repair, Not-in-family, White, Male,0,0,40, Puerto-Rico, <=50K
25, Private, Some-college, Married-civ-spouse, Sales, Husband, White, Male,0,0,50, Mexico, <=50K
23, Local-gov, 11th, Never-married, Adm-clerical, Unmarried, Other, Male,0,0,40, United-States, <=50K
67, Local-gov, Bachelors, Divorced, Sales, Husband, White, Male,0,2363,40, United-States, >50K
23, Private, Some-college, Never-married, Adm-clerical, Unmarried, White, Female,0,0,40, United-States, <=50K
28, Private, Prof-school, Never-married, Transport-moving, Husband, White, Male,0,0,40, United-States, <=50K
45, Private, Some-college, Widowed, Adm-clerical, Unmarried, Amer-Indian-Eskimo, Female,0,0,40, United-States, <=50K
50, Private, Some-college, Married-civ-spouse, Sales, Husband, Asian-Pac-Islander, Male,0,1671,40, United-States, >50K
49, Private, Bachelors, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, Iran, <=50K
32, Private, Some-college, Never-married, Other-service, Unmarried, Asian-Pac-Islander, Female,0,0,40, United-States, <=50K
73, Federal-gov, 7th-8th, Married-civ-spouse, Sales, Husband, White, Male,0,0,10, United-States, >50K
28, Local-gov, Assoc-acdm, Married-civ-spouse, Exec-managerial, Wife, Other, Male,0,0,40, United-States, >50K
29, Private, Some-college, Married-civ-spouse, Protective-serv, Husband, White, Male,0,0,50, United-States, >50K
22, Private, HS-grad, Never-married, Transport-moving, Own-child, White, Male,0,0,40, United-States, <=50K
62, State-gov, Bachelors, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,35, Vietnam, <=50K
39, Self-emp-not-inc, HS-grad, Widowed, Craft-repair, Not-in-family, Black, Male,0,0,40, Columbia, <=50K
44, Private, Bachelors, Divorced, Machine-op-inspct, Not-in-family, Black, Female,0,0,28, United-States, >50K
17, Private, 11th, Never-married, Craft-repair, Own-child, White, Male,0,1221,40, United-States, <=50K
40, Private, Some-college, Divorced, Transport-moving, Not-in-family, White, Male,0,0,60, Trinadad&Tobago, <=50K
25, Private, Prof-school, Never-married, Sales, Own-child, White, Male,0,0,40, Germany, <=50K
19, Private, Some-college, Never-married, Other-service, Own-child, White, Male,0,0,20, Thailand, <=50K
21, Private, Some-college, Never-married, Other-service, Not-in-family, White, Male,0,0,40, United-States, <=50K
34, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,45, United-States, >50K
44, Private, Masters, Married-civ-spouse, Exec-managerial, Husband, Black, Male,0,0,45, United-States, >50K
30, Private, Bachelors, Divorced, Adm-clerical, Unmarried, White, Female,0,0,40, United-States, <=50K
31, Private, Assoc-acdm, Never-married, Adm-clerical, Own-child, White, Male,0,0,40, United-States, <=50K
57, Private, Assoc-acdm, Never-married, Other-service, Wife, Black, Female,0,0,30, United-States, <=50K
22, Private, HS-grad, Never-married, Sales, Own-child, White, Female,0,0,35, Yugoslavia, <=50K
47, Private, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, United-States, >50K
23, Private, Some-college, Married-civ-spouse, Tech-support, Husband, White, Male,0,0,22, Cambodia, <=50K
18, Private, HS-grad, Never-married, Sales, Not-in-family, White, Male,0,0,25, United-States, <=50K
25, Private, Bachelors, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,0,0,40, United-States, <=50K
60, Federal-gov, Some-college, Married-civ-spouse, Sales, Husband, White, Male,0,0,35, United-States, >50K
18, Private, Some-college, Never-married, Sales, Own-child, Black, Male,0,0,15, United-States, <=50K
44, Private, Bachelors, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,50, Columbia, <=50K
36, Private, Bachelors, Never-married, Adm-clerical, Not-in-family, Other, Female,0,0,40, United-States, <=50K
38, Private, Some-college, Never-married, Adm-clerical, Unmarried, Black, Female,0,0,40, United-States, <=50K
55, Self-emp-not-inc, HS-grad, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,50, United-States, <=50K
45, Local-gov, 7th-8th, Never-married, Adm-clerical, Unmarried, White, Female,0,0,40, Italy, <=50K
47, State-gov, Some-college, Married-civ-spouse, Other-service, Husband, White, Male,0,0,40, United-States, >50K
54, Private, Some-college, Widowed, Protective-serv, Wife, Black, Female,0,0,40, United-States, <=50K
37, Federal-gov, Masters, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,45, Cambodia, >50K
52, Private, Masters, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,60, United-States, >50K
43, State-gov, 5th-6th, Divorced, Exec-managerial, Wife, White, Female,0,0,45, United-States, >50K
26, Private, HS-grad, Married-civ-spouse, Other-service, Own-child, White, Female,0,0,40, Poland, >50K
56, Private, Assoc-voc, Married-civ-spouse, Prof-specialty, Not-in-family, White, Male,0,1902,70, United-States, <=50K
50, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, <=50K
29, Local-gov, HS-grad, Never-married, Exec-managerial, Own-child, Amer-Indian-Eskimo, Female,0,0,40, United-States, <=50K
52, Private, Some-college, Married-civ-spouse, Adm-clerical, Unmarried, White, Female,0,0,40, United-States, <=50K
32, Private, HS-grad, Married-civ-spouse, Transport-moving, Husband, White, Male,1512,0,40, United-States, <=50K
23, Private, 11th, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,40, United-States, <=50K
38, Private, HS-grad, Married-civ-spouse, Sales, Husband, White, Female,0,0,40, England, >50K
34, Private, Bachelors, Divorced, Craft-repair, Not-in-family, White, Male,0,0,60, Scotland, <=50K
30, Private, Assoc-acdm, Separated, Machine-op-inspct, Wife, White, Male,0,0,40, United-States, <=50K
47, Private, Assoc-voc, Married-civ-spouse, Exec-managerial, Husband, Other, Male,15024,0,40, United-States, <=50K
43, Self-emp-not-inc, Masters, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,50, United-States, >50K
66, Private, Some-college, Widowed, Prof-specialty, Unmarried, White, Male,0,0,40, United-States, <=50K
31, Private, Bachelors, Married-civ-spouse, Prof-specialty, Unmarried, Asian-Pac-Islander, Female,0,0,40, United-States, <=50K
31, State-gov, HS-grad, Never-married, Farming-fishing, Husband, White, Male,0,0,50, Scotland, <=50K
42, Private, Bachelors, Never-married, Protective-serv, Husband, Black, Male,0,0,40, United-States, <=50K
29, Private, 7th-8th, Never-married, Machine-op-inspct, Not-in-family, Black, Male,0,0,40, Germany, <=50K
24, Private, HS-grad, Never-married, Tech-support, Own-child, White, Male,0,0,40, United-States, <=50K
27, Private, Assoc-acdm, Married-civ-spouse, Sales, Husband, White, Male,0,0,44, United-States, >50K
19, Private, Some-college, Never-married, Prof-specialty, Own-child, White, Female,0,0,7, United-States, <=50K
27, Private, Some-college, Married-civ-spouse, Exec-managerial, Own-child, White, Male,0,0,32, Scotland, <=50K
32, Self-emp-not-inc, Bachelors, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,0,0,40, United-States, <=50K
41, Private, HS-grad, Divorced, Machine-op-inspct, Not-in-family, White, Female,0,0,40, United-States, <=50K
37, Private, Assoc-acdm, Married-civ-spouse, Prof-specialty, Husband, White, Female,0,1902,40, United-States, >50K
51, Self-emp-not-inc, Some-college, Divorced, Exec-managerial, Not-in-family, White, Male,3669,0,60, United-States, <=50K
53, Private, Bachelors, Married-civ-spouse, Exec-managerial, Not-in-family, Asian-Pac-Islander, Male,0,1977,54, United-States, <=50K
39, Private, Assoc-acdm, Divorced, Adm-clerical, Not-in-family, Black, Male,0,0,40, United-States, <=50K
28, Private, Some-college, Never-married, Adm-clerical, Unmarried, Black, Female,0,0,40, United-States, <=50K
46, Private, Bachelors, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, >50K
26, Private, Bachelors, Never-married, Craft-repair, Not-in-family, White, Male,4046,0,45, Dominican-Republic, <=50K
50, Private, 11th, Married-civ-spouse, Handlers-cleaners, Not-in-family, White, Male,7687,0,40, United-States, <=50K
33, Private, Bachelors, Married-civ-spouse, Sales, Husband, White, Male,0,0,45, United-States, >50K
28, Federal-gov, Bachelors, Married-civ-spouse, Prof-specialty, Not-in-family, White, Female,615,0,50, Greece, >50K
49, Private, Masters, Never-married, Sales, Unmarried, Black, Female,0,0,40, United-States, <=50K
30, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Female,0,0,45, United-States, <=50K
28, Private, Bachelors, Never-married, Other-service, Not-in-family, Other, Female,0,0,40, United-States, <=50K
39, Private, HS-grad, Never-married, Other-service, Unmarried, White, Female,0,0,40, United-States, >50K
35, Private, HS-grad, Divorced, Transport-moving, Unmarried, Black, Female,0,0,40, Italy, <=50K
51, Private, HS-grad, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,40, United-States, <=50K
32, Private, Bachelors, Married-civ-spouse, Sales, Husband, White, Female,0,0,40, United-States, >50K
44, Private, HS-grad, Never-married, Other-service, Not-in-family, White, Female,0,0,40, United-States, <=50K
42, Private, 9th, Never-married, Craft-repair, Not-in-family, Black, Female,0,0,40, Hungary, <=50K
54, Private, Some-college, Married-civ-spouse, Craft-repair, Husband, White, Female,0,0,40, Canada, >50K
40, Local-gov, Bachelors, Married-civ-spouse, Adm-clerical, Wife, White, Male,0,0,60, United-States, <=50K
31, Private, Bachelors, Married-civ-spouse, Handlers-cleaners, Husband, Other, Male,0,0,40, South, <=50K
72, Self-emp-not-inc, Masters, Widowed, Other-service, Unmarried, White, Female,0,0,40, United-States, <=50K
47, Federal-gov, 9th, Married-spouse-absent, Protective-serv, Husband, White, Male,0,0,35, United-States, <=50K
19, Private, Some-college, Never-married, Sales, Own-child, White, Male,0,0,32, United-States, <=50K
48, Private, Some-college, Divorced, Exec-managerial, Husband, Other, Male,0,0,44, Hong, <=50K
