50, Self-emp-not-inc, HS-grad, Divorced, Craft-repair, Wife, Asian-Pac-Islander, Male,0,0,65, United-States, <=50K
51, Private, Some-college, Married-civ-spouse, Exec-managerial, Not-in-family, White, Male,0,0,60, United-States, >50K
47, Private, Masters, Married-civ-spouse, Exec-managerial, Husband, White, Male,15024,0,54, United-States, >50K
50, Local-gov, HS-grad, Divorced, Sales, Unmarried, White, Male,0,0,40, United-States, <=50K
43, State-gov, HS-grad, Divorced, Craft-repair, Not-in-family, White, Male,0,0,45, United-States, <=50K
28, Private, HS-grad, Married-civ-spouse, Prof-specialty, Husband, Black, Male,0,0,50, United-States, <=50K
33, Private, HS-grad, Married-civ-spouse, Protective-serv, Wife, Black, Female,0,0,20, India, <=50K
45, Self-emp-not-inc, HS-grad, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,0,1602,40, United-States, >50K
47, Private, HS-grad, Married-civ-spouse, Farming-fishing, Husband, White, Male,0,0,40, United-States, >50K
68, Private, HS-grad, Widowed, Exec-managerial, Not-in-family, White, Male,2630,0,40, United-States, <=50K
56, Self-emp-not-inc, HS-grad, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, United-States, >50K
23, Private, HS-grad, Never-married, Other-service, Not-in-family, White, Female,0,0,40, United-States, <=50K
29, Private, HS-grad, Never-married, Transport-moving, Husband, White, Female,4016,0,50, United-States, >50K
62, Local-gov, 7th-8th, Divorced, Other-service, Not-in-family, White, Male,0,0,40, Mexico, <=50K
48, Federal-gov, 5th-6th, Divorced, Prof-specialty, Not-in-family, White, Female,0,0,35, United-States, <=50K
26, Private, HS-grad, Never-married, Machine-op-inspct, Wife, White, Male,0,0,40, United-States, <=50K
19, Private, Some-college, Never-married, Sales, Own-child, Black, Female,0,0,20, United-States, <=50K
41, Private, HS-grad, Divorced, Craft-repair, Not-in-family, Amer-Indian-Eskimo, Male,2160,0,40, United-States, <=50K
38, Self-emp-not-inc, Some-college, Never-married, Transport-moving, Not-in-family, White, Female,0,0,40, United-States, <=50K
25, Private, HS-grad, Never-married, Sales, Husband, White, Male,0,0,45, United-States, <=50K
41, State-gov, Some-college, Divorced, Adm-clerical, Not-in-family, Other, Female,0,0,35, United-States, <=50K
56, Self-emp-not-inc, HS-grad, Widowed, Adm-clerical, Wife, White, Male,0,0,40, United-States, <=50K
42, State-gov, HS-grad, Separated, Adm-clerical, Own-child, White, Male,0,0,29, United-States, <=50K
40, State-gov, Some-college, Separated, Prof-specialty, Not-in-family, White, Female,0,0,50, United-States, <=50K
44, Private, Bachelors, Divorced, Exec-managerial, Husband, White, Male,15024,0,54, United-States, >50K
48, Private, HS-grad, Married-civ-spouse, Protective-serv, Husband, White, Male,15024,0,40, United-States, <=50K
60, Private, Some-college, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,1977,45, United-States, >50K
25, Private, HS-grad, Never-married, Machine-op-inspct, Not-in-family, White, Male,0,0,50, United-States, <=50K
21, Private, Some-college, Never-married, Machine-op-inspct, Own-child, White, Male,0,0,15, United-States, <=50K
48, Private, HS-grad, Married-civ-spouse, Sales, Husband, White, Male,0,0,40, United-States, >50K
38, State-gov, Some-college, Married-spouse-absent, Other-service, Unmarried, White, Female,0,0,40, United-States, <=50K
79, Private, HS-grad, Married-civ-spouse, Tech-support, Husband, White, Male,0,0,24, United-States, <=50K
18, Private, 11th, Never-married, Other-service, Own-child, Black, Female,0,0,15, United-States, <=50K
45, Self-emp-inc, HS-grad, Married-civ-spouse, Sales, Husband, White, Male,0,0,40, Jamaica, >50K
30, Self-emp-not-inc, HS-grad, Divorced, Farming-fishing, Other-relative, White, Male,0,0,60, United-States, <=50K
29, Private, Bachelors, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,50, United-States, <=50K
31, State-gov, HS-grad, Never-married, Prof-specialty, Not-in-family, Black, Female,0,0,40, United-States, <=50K
24, Private, Some-college, Never-married, Adm-clerical, Not-in-family, White, Female,0,0,40, United-States, <=50K
36, Local-gov, 5th-6th, Never-married, Other-service, Unmarried, White, Male,0,0,40, United-States, <=50K
20, Private, Some-college, Never-married, Handlers-cleaners, Own-child, Black, Male,0,0,20, United-States, <=50K
57, State-gov, HS-grad, Widowed, Adm-clerical, Not-in-family, White, Male,2434,0,40, United-States, <=50K
33, Private, 10th, Married-civ-spouse, Prof-specialty, Not-in-family, Black, Male,0,0,40, United-States, <=50K
85, Local-gov, HS-grad, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,10, United-States, >50K
42, Private, HS-grad, Married-civ-spouse, Machine-op-inspct, Unmarried, White, Male,0,0,40, United-States, >50K
40, Self-emp-not-inc, HS-grad, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,48, United-States, >50K
45, Private, HS-grad, Divorced, Transport-moving, Not-in-family, White, Male,3363,0,40, United-States, <=50K
59, Private, HS-grad, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,50, United-States, >50K
18, Private, Assoc-voc, Never-married, Other-service, Own-child, White, Female,0,0,10, United-States, <=50K
46, Private, Some-college, Divorced, Prof-specialty, Husband, White, Male,0,0,40, United-States, <=50K
50, Private, Bachelors, Divorced, Adm-clerical, Not-in-family, White, Male,0,0,40, United-States, >50K
29, Local-gov, 10th, Never-married, Craft-repair, Not-in-family, White, Female,0,0,40, United-States, <=50K
43, Local-gov, Assoc-acdm, Divorced, Adm-clerical, Not-in-family, Black, Male,0,0,38, United-States, <=50K
67, Private, Some-college, Never-married, Machine-op-inspct, Not-in-family, White, Female,0,0,20, United-States, <=50K
62, Private, 7th-8th, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,45, United-States, <=50K
28, State-gov, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, >50K
38, Self-emp-inc, Bachelors, Divorced, Craft-repair, Not-in-family, White, Male,0,0,40, United-States, <=50K
47, Private, Some-college, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,45, United-States, >50K
25, Private, HS-grad, Never-married, Sales, Husband, White, Male,0,0,40, Portugal, <=50K
45, Private, Masters, Married-civ-spouse, Sales, Husband, White, Male,0,0,54, United-States, <=50K
50, Private, Bachelors, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,40, United-States, <=50K
51, Self-emp-not-inc, Bachelors, Married-civ-spouse, Exec-managerial, Husband, Black, Male,0,0,45, United-States, <=50K
29, Private, HS-grad, Married-civ-spouse, Sales, Not-in-family, White, Female,0,0,40, United-States, <=50K
23, Private, HS-grad, Never-married, Farming-fishing, Not-in-family, Asian-Pac-Islander, Female,0,0,50, United-States, <=50K
27, Self-emp-not-inc, Some-college, Never-married, Sales, Own-child, Black, Male,0,0,50, United-States, <=50K
25, Private, HS-grad, Never-married, Machine-op-inspct, Not-in-family, White, Male,0,0,40, United-States, <=50K
39, Private, Masters, Never-married, Sales, Unmarried, White, Female,5178,0,40, United-States, >50K
29, Private, 12th, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,54, South, <=50K
35, Private, Masters, Never-married, Craft-repair, Husband, White, Male,0,1735,50, United-States, <=50K
29, Private, Assoc-acdm, Never-married, Handlers-cleaners, Own-child, White, Female,0,0,80, United-States, <=50K
50, Self-emp-not-inc, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, <=50K
26, State-gov, HS-grad, Never-married, Machine-op-inspct, Own-child, White, Male,0,0,40, United-States, <=50K
55, Private, 5th-6th, Married-civ-spouse, Transport-moving, Unmarried, White, Male,0,0,40, United-States, >50K
27, Private, HS-grad, Never-married, Adm-clerical, Not-in-family, White, Male,0,0,48, United-States, <=50K
47, Private, HS-grad, Married-civ-spouse, Craft-repair, Not-in-family, Black, Male,0,0,40, United-States, <=50K
39, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,45, United-States, >50K
49, Private, HS-grad, Married-civ-spouse, Protective-serv, Husband, White, Male,0,0,40, United-States, >50K
56, Private, HS-grad, Separated, Transport-moving, Husband, White, Male,0,0,40, United-States, <=50K
42, Local-gov, 10th, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,0,0,40, United-States, <=50K
31, Private, HS-grad, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, United-States, <=50K
17, Private, 10th, Never-married, Other-service, Own-child, White, Male,0,0,24, United-States, <=50K
19, Private, HS-grad, Never-married, Handlers-cleaners, Own-child, White, Male,0,0,10, United-States, <=50K
27, Self-emp-not-inc, Some-college, Never-married, Craft-repair, Own-child, White, Male,0,0,40, United-States, <=50K
42, Private, Prof-school, Married-civ-spouse, Sales, Husband, White, Male,0,1898,54, United-States, <=50K
22, Private, 11th, Never-married, Adm-clerical, Own-child, White, Male,0,0,40, United-States, <=50K
25, Private, Bachelors, Never-married, Prof-specialty, Not-in-family, White, Male,0,0,40, United-States, <=50K
42, Local-gov, Some-college, Married-civ-spouse, Adm-clerical, Unmarried, White, Female,0,0,54, United-States, >50K
50, Private, Some-college, Married-civ-spouse, Transport-moving, Husband, White, Male,7298,0,40, United-States, >50K
26, Private, Some-college, Never-married, Craft-repair, Husband, Amer-Indian-Eskimo, Male,0,0,35, United-States, <=50K
21, Private, Some-college, Never-married, Sales, Own-child, Black, Male,0,0,50, United-States, <=50K
51, Self-emp-not-inc, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, United-States, >50K
42, Private, Some-college, Married-civ-spouse, Prof-specialty, Not-in-family, Other, Male,0,0,60, United-States, >50K
29, Federal-gov, Bachelors, Married-civ-spouse, Sales, Husband, White, Male,0,1696,40, United-States, >50K
23, Private, 11th, Never-married, Adm-clerical, Own-child, White, Male,0,0,40, United-States, <=50K
30, Private, Some-college, Never-married, Prof-specialty, Not-in-family, White, Female,0,0,20, United-States, <=50K
32, Private, HS-grad, Married-civ-spouse, Transport-moving, Wife, White, Male,0,0,20, United-States, <=50K
40, State-gov, Bachelors, Divorced, Transport-moving, Husband, White, Male,7687,0,50, United-States, >50K
20, Private, HS-grad, Never-married, Craft-repair, Not-in-family, White, Male,0,0,40, Honduras, <=50K
34, Private, HS-grad, Divorced, Craft-repair, Not-in-family, White, Female,0,0,40, United-States, <=50K
28, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,50, United-States, <=50K
31, Private, Some-college, Divorced, Sales, Not-in-family, White, Female,0,0,40, United-States, <=50K
22, Private, Masters, Never-married, Sales, Not-in-family, White, Female,0,0,60, Mexico, <=50K
52, Private, Some-college, Separated, Farming-fishing, Unmarried, White, Female,0,0,40, United-States, <=50K
27, Private, Some-college, Never-married, Handlers-cleaners, Not-in-family, White, Male,0,0,40, United-States, <=50K
23, Private, HS-grad, Never-married, Adm-clerical, Own-child, White, Male,0,0,40, United-States, <=50K
62, Private, HS-grad, Widowed, Exec-managerial, Husband, White, Male,0,0,40, United-States, <=50K
37, Private, HS-grad, Divorced, Adm-clerical, Not-in-family, White, Female,0,0,40, United-States, <=50K
43, Self-emp-not-inc, 9th, Never-married, Adm-clerical, Not-in-family, White, Male,0,0,50, United-States, <=50K
30, Private, Bachelors, Married-civ-spouse, Exec-managerial, Not-in-family, White, Male,0,0,60, United-States, >50K
33, Private, HS-grad, Divorced, Other-service, Not-in-family, White, Female,0,0,40, Yugoslavia, <=50K
36, Private, Bachelors, Divorced, Prof-specialty, Not-in-family, White, Male,2287,0,50, United-States, <=50K
26, Private, Some-college, Never-married, Sales, Not-in-family, White, Female,0,0,35, Canada, <=50K
42, Self-emp-not-inc, HS-grad, Married-civ-spouse, Sales, Husband, White, Male,0,0,40, United-States, <=50K
44, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,48, United-States, <=50K
25, Local-gov, Some-college, Married-spouse-absent, Sales, Not-in-family, White, Female,0,0,40, United-States, <=50K
18, Private, Some-college, Never-married, Sales, Own-child, White, Male,0,0,25, United-States, <=50K
49, Private, Bachelors, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,45, Haiti, >50K
45, Private, Bachelors, Married-civ-spouse, Adm-clerical, Husband, White, Male,15024,0,40, United-States, >50K
47, Private, Some-college, Separated, Adm-clerical, Wife, Other, Female,0,0,25, United-States, <=50K
31, Private, HS-grad, Never-married, Exec-managerial, Wife, White, Female,0,0,38, United-States, <=50K
32, Private, 11th, Married-civ-spouse, Craft-repair, Not-in-family, White, Male,3424,0,40, United-States, >50K
51, State-gov, Some-college, Divorced, Machine-op-inspct, Not-in-family, White, Male,0,0,40, United-States, <=50K
45, Private, Some-college, Married-civ-spouse, Protective-serv, Other-relative, White, Male,7298,0,40, United-States, >50K
37, Federal-gov, Preschool, Never-married, Machine-op-inspct, Husband, White, Male,0,0,40, Canada, <=50K
57, Private, Masters, Divorced, Adm-clerical, Unmarried, White, Male,0,0,50, United-States, >50K
34, Self-emp-not-inc, 11th, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,50, United-States, >50K
18, Private, HS-grad, Never-married, Other-service, Own-child, White, Female,2588,0,20, United-States, >50K
36, Private, 7th-8th, Married-civ-spouse, Prof-specialty, Unmarried, White, Male,0,0,90, United-States, <=50K
34, Private, Bachelors, Married-civ-spouse, Exec-managerial, Own-child, White, Male,0,0,40, United-States, >50K
63, Private, HS-grad, Married-civ-spouse, Exec-managerial, Husband, Black, Male,0,0,15, United-States, <=50K
45, Private, Some-college, Married-civ-spouse, Adm-clerical, Husband, White, Male,0,0,40, United-States, <=50K
34, Private, HS-grad, Never-married, Transport-moving, Not-in-family, White, Male,0,1537,40, United-States, <=50K
52, Private, 11th, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,54, United-States, >50K
24, Private, HS-grad, Never-married, Sales, Own-child, White, Female,0,0,40, Mexico, <=50K
24, Private, HS-grad, Divorced, Adm-clerical, Own-child, White, Male,0,0,40, United-States, <=50K
19, Private, 11th, Never-married, Handlers-cleaners, Own-child, White, Male,0,0,33, United-States, <=50K
31, Private, Assoc-voc, Never-married, Exec-managerial, Not-in-family, White, Male,0,0,50, United-States, <=50K
18, Private, Some-college, Never-married, Other-service, Own-child, White, Male,0,0,22, United-States, <=50K
36, Private, Some-college, Married-civ-spouse, Prof-specialty, Not-in-family, White, Male,0,0,45, United-States, >50K
54, Private, Assoc-voc, Married-civ-spouse, Exec-managerial, Husband, White, Female,5191,0,40, United-States, <=50K
31, State-gov, HS-grad, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,1885,40, United-States, >50K
20, Private, Assoc-voc, Never-married, Prof-specialty, Own-child, White, Male,0,0,32, United-States, <=50K
30, Private, 11th, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, Mexico, <=50K
48, Private, HS-grad, Divorced, Tech-support, Not-in-family, White, Male,0,1977,40, United-States, <=50K
21, Private, 11th, Never-married, Prof-specialty, Own-child, White, Male,0,0,40, United-States, <=50K
41, Private, Some-college, Divorced, Prof-specialty, Not-in-family, White, Female,0,0,48, United-States, <=50K
50, Private, Some-college, Divorced, Adm-clerical, Unmarried, White, Female,0,0,45, United-States, <=50K
31, State-gov, Bachelors, Married-civ-spouse, Exec-managerial, Other-relative, White, Male,0,0,40, United-States, <=50K
29, Private, HS-grad, Married-civ-spouse, Handlers-cleaners, Not-in-family, White, Male,0,0,40, United-States, <=50K
48, Private, Assoc-voc, Married-civ-spouse, Machine-op-inspct, Husband, White, Female,7298,0,50, United-States, >50K
34, Private, Some-college, Divorced, Adm-clerical, Not-in-family, White, Female,0,0,35, United-States, <=50K
30, Private, Bachelors, Never-married, Exec-managerial, Wife, White, Male,4651,0,40, United-States, <=50K
49, Private, Assoc-acdm, Divorced, Adm-clerical, Not-in-family, White, Male,0,0,40, United-States, <=50K
29, Private, Some-college, Divorced, Adm-clerical, Unmarried, White, Female,2609,0,40, United-States, <=50K
43, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,45, United-States, <=50K
25, Private, HS-grad, Never-married, Adm-clerical, Own-child, White, Male,0,0,40, Iran, <=50K
24, Private, 10th, Never-married, Machine-op-inspct, Own-child, White, Male,0,0,29, United-States, <=50K
59, Self-emp-inc, HS-grad, Married-civ-spouse, Sales, Husband, White, Male,0,0,40, United-States, >50K
65, Local-gov, HS-grad, Married-civ-spouse, Priv-house-serv, Husband, White, Male,0,0,25, Portugal, >50K
20, Private, Some-college, Never-married, Sales, Own-child, White, Female,0,0,35, United-States, <=50K
28, Private, HS-grad, Divorced, Craft-repair, Other-relative, White, Female,0,0,40, United-States, <=50K
40, Self-emp-inc, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,60, United-States, >50K
48, Private, HS-grad, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,0,0,40, United-States, >50K
42, Private, HS-grad, Divorced, Tech-support, Unmarried, Other, Female,0,0,40, United-States, <=50K
28, Private, HS-grad, Never-married, Other-service, Unmarried, White, Female,2701,0,35, United-States, <=50K
27, Private, HS-grad, Never-married, Sales, Own-child, White, Female,0,0,40, United-States, <=50K
56, Self-emp-inc, HS-grad, Married-civ-spouse, Prof-specialty, Husband, White, Male,7687,0,40, United-States, >50K
40, Self-emp-inc, 5th-6th, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,54, United-States, >50K
36, Private, Some-college, Married-civ-spouse, Adm-clerical, Not-in-family, White, Female,0,0,10, Columbia, <=50K
40, Local-gov, HS-grad, Divorced, Adm-clerical, Wife, White, Female,0,1610,40, United-States, <=50K
26, Private, HS-grad, Never-married, Craft-repair, Not-in-family, White, Female,0,0,40, United-States, <=50K
44, Self-emp-not-inc, HS-grad, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, United-States, <=50K
50, Federal-gov, 7th-8th, Married-spouse-absent, Other-service, Not-in-family, White, Female,0,0,36, United-States, <=50K
62, Private, Some-college, Widowed, Sales, Wife, White, Female,10425,0,38, United-States, >50K
33, Private, Some-college, Divorced, Machine-op-inspct, Unmarried, Other, Female,0,0,32, South, <=50K
48, Private, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Male,7687,0,40, United-States, >50K
57, Self-emp-not-inc, HS-grad, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, United-States, >50K
33, Private, Some-college, Never-married, Farming-fishing, Not-in-family, White, Male,0,0,40, United-States, <=50K
21, Private, HS-grad, Never-married, Tech-support, Own-child, White, Male,0,0,40, United-States, <=50K
65, Private, Some-college, Divorced, Other-service, Not-in-family, White, Female,0,0,40, United-States, <=50K
53, Self-emp-not-inc, Masters, Married-civ-spouse, Craft-repair, Wife, White, Male,0,0,40, United-States, >50K
