25, Private, HS-grad, Never-married, Adm-clerical, Wife, Amer-Indian-Eskimo, Male,0,0,40, Hungary, <=50K
44, Self-emp-inc, 12th, Married-civ-spouse, Tech-support, Husband, White, Female,0,1902,40, United-States, >50K
44, Private, HS-grad, Divorced, Craft-repair, Not-in-family, Black, Female,7687,0,41, United-States, >50K
59, Private, Masters, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,40, United-States, >50K
77, Self-emp-not-inc, Some-college, Married-civ-spouse, Exec-managerial, Husband, White, Female,0,0,40, United-States, <=50K
35, Private, 1st-4th, Married-civ-spouse, Craft-repair, Husband, White, Female,0,0,30, Italy, <=50K
38, Private, HS-grad, Never-married, Sales, Not-in-family, Other, Male,0,0,50, Dominican-Republic, <=50K
44, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, Yugoslavia, >50K
26, Private, Some-college, Never-married, Prof-specialty, Own-child, Asian-Pac-Islander, Female,0,0,36, United-States, <=50K
24, Private, HS-grad, Never-married, Other-service, Not-in-family, Amer-Indian-Eskimo, Female,0,0,50, Taiwan, <=50K
41, Private, HS-grad, Married-civ-spouse, Prof-specialty, Wife, White, Male,0,0,30, United-States, <=50K
47, Self-emp-inc, Masters, Married-civ-spouse, Tech-support, Husband, White, Male,99999,0,50, Thailand, >50K
32, Private, Assoc-voc, Never-married, Farming-fishing, Not-in-family, Other, Female,0,0,60, United-States, <=50K
53, Federal-gov, Some-college, Married-civ-spouse, Craft-repair, Wife, White, Male,0,0,45, United-States, <=50K
23, Private, Assoc-acdm, Never-married, Adm-clerical, Not-in-family, White, Male,0,0,45, United-States, <=50K
28, Private, HS-grad, Divorced, Sales, Not-in-family, White, Male,0,0,50, Poland, <=50K
21, Private, Bachelors, Married-civ-spouse, Sales, Husband, White, Male,0,0,40, Poland, <=50K
46, Self-emp-not-inc, Some-college, Married-civ-spouse, Exec-managerial, Husband, Other, Male,0,1858,40, United-States, >50K
35, Private, HS-grad, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,45, United-States, >50K
40, Local-gov, 7th-8th, Married-civ-spouse, Exec-managerial, Unmarried, Black, Female,0,0,40, Greece, <=50K
32, Private, HS-grad, Divorced, Adm-clerical, Unmarried, Black, Female,0,0,40, United-States, <=50K
31, Private, HS-grad, Married-civ-spouse, Exec-managerial, Wife, White, Male,0,0,40, Italy, <=50K
43, Private, Bachelors, Divorced, Adm-clerical, Unmarried, Black, Female,0,0,35, United-States, <=50K
37, Private, HS-grad, Never-married, Transport-moving, Unmarried, Black, Male,0,0,37, Hong, <=50K
41, Private, Bachelors, Separated, Sales, Unmarried, Amer-Indian-Eskimo, Female,0,0,40, Scotland, <=50K
30, Private, Assoc-voc, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, >50K
39, Local-gov, Assoc-voc, Married-civ-spouse, Transport-moving, Husband, Black, Male,0,2038,40, Dominican-Republic, <=50K
37, Private, Some-college, Married-civ-spouse, Exec-managerial, Husband, Black, Male,0,0,35, Hungary, >50K
33, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, Black, Male,0,0,40, United-States, >50K
70, Private, HS-grad, Never-married, Exec-managerial, Wife, Black, Female,0,0,8, United-States, <=50K
47, Self-emp-inc, Bachelors, Married-civ-spouse, Farming-fishing, Husband, Black, Male,0,0,50, United-States, <=50K
40, Private, Assoc-voc, Never-married, Sales, Husband, White, Male,0,0,50, United-States, <=50K
45, Private, HS-grad, Married-civ-spouse, Tech-support, Husband, White, Male,0,0,40, Greece, <=50K
41, Private, Doctorate, Married-civ-spouse, Exec-managerial, Not-in-family, Asian-Pac-Islander, Male,0,0,61, El-Salvador, >50K
51, Private, Some-college, Married-civ-spouse, Exec-managerial, Wife, White, Male,3594,0,54, United-States, >50K
39, Private, HS-grad, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,60, United-States, >50K
50, Local-gov, Bachelors, Married-civ-spouse, Sales, Husband, Black, Male,3325,0,44, United-States, >50K
47, State-gov, HS-grad, Divorced, Adm-clerical, Not-in-family, White, Male,0,0,45, United-States, <=50K
45, Private, HS-grad, Married-civ-spouse, Prof-specialty, Husband, Amer-Indian-Eskimo, Male,0,0,40, United-States, <=50K
50, Private, HS-grad, Married-civ-spouse, Sales, Wife, Asian-Pac-Islander, Female,0,0,40, Dominican-Republic, <=50K
48, Private, HS-grad, Divorced, Farming-fishing, Unmarried, White, Female,0,0,40, Mexico, <=50K
43, Private, HS-grad, Married-civ-spouse, Machine-op-inspct, Wife, White, Female,0,0,40, United-States, <=50K
36, Private, HS-grad, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, United-States, >50K
54, Self-emp-inc, Preschool, Never-married, Craft-repair, Not-in-family, White, Male,0,0,50, United-States, <=50K
68, Private, HS-grad, Married-civ-spouse, Priv-house-serv, Husband, White, Male,0,1719,3, United-States, >50K
48, Private, HS-grad, Never-married, Transport-moving, Husband, White, Female,0,0,60, South, <=50K
45, Local-gov, Assoc-voc, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,52, France, >50K
26, Local-gov, 9th, Married-civ-spouse, Sales, Own-child, White, Male,0,0,40, United-States, <=50K
45, Private, HS-grad, Divorced, Machine-op-inspct, Wife, White, Female,0,0,30, United-States, <=50K
22, Private, Some-college, Never-married, Sales, Own-child, Asian-Pac-Islander, Male,0,0,40, United-States, <=50K
28, Private, Masters, Married-civ-spouse, Exec-managerial, Husband, Amer-Indian-Eskimo, Male,0,0,45, United-States, <=50K
21, Private, Some-college, Never-married, Transport-moving, Own-child, White, Male,0,0,35, United-States, <=50K
26, Private, HS-grad, Never-married, Sales, Not-in-family, White, Male,0,0,40, Nicaragua, <=50K
40, State-gov, Some-college, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,48, United-States, >50K
33, Private, HS-grad, Separated, Adm-clerical, Unmarried, White, Female,0,0,36, United-States, <=50K
34, Self-emp-not-inc, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, <=50K
24, Without-pay, Prof-school, Never-married, Prof-specialty, Husband, White, Male,0,2427,40, United-States, <=50K
48, Private, Assoc-voc, Divorced, Machine-op-inspct, Not-in-family, Other, Male,0,0,42, Laos, <=50K
49, Private, HS-grad, Widowed, Sales, Not-in-family, White, Female,0,0,18, Taiwan, <=50K
60, Private, Some-college, Divorced, Exec-managerial, Not-in-family, White, Female,0,0,47, United-States, <=50K
24, Private, Some-college, Never-married, Other-service, Own-child, White, Male,0,0,40, United-States, <=50K
44, Private, Some-college, Never-married, Exec-managerial, Husband, White, Male,0,0,40, United-States, <=50K
32, Private, Bachelors, Never-married, Sales, Husband, White, Male,0,0,50, United-States, <=50K
32, Self-emp-not-inc, Some-college, Never-married, Prof-specialty, Wife, White, Male,0,0,37, United-States, <=50K
43, Private, Masters, Married-civ-spouse, Transport-moving, Husband, Black, Male,0,0,50, United-States, <=50K
25, Private, Assoc-voc, Separated, Handlers-cleaners, Own-child, Asian-Pac-Islander, Female,0,0,40, United-States, <=50K
34, Private, Masters, Never-married, Sales, Unmarried, Black, Female,0,0,40, Ecuador, <=50K
29, Private, HS-grad, Never-married, Handlers-cleaners, Own-child, White, Male,0,0,40, United-States, <=50K
27, Private, Bachelors, Never-married, Adm-clerical, Not-in-family, White, Female,0,0,50, United-States, <=50K
30, State-gov, HS-grad, Never-married, Sales, Not-in-family, Asian-Pac-Islander, Female,0,0,40, United-States, <=50K
27, Private, Some-college, Never-married, Farming-fishing, Own-child, Other, Female,0,0,20, United-States, <=50K
64, Local-gov, 7th-8th, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, United-States, <=50K
49, Private, HS-grad, Separated, Craft-repair, Unmarried, Amer-Indian-Eskimo, Male,0,0,40, Mexico, <=50K
46, State-gov, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,60, United-States, >50K
26, Private, 10th, Never-married, Prof-specialty, Other-relative, Asian-Pac-Islander, Male,0,0,40, Puerto-Rico, <=50K
40, Local-gov, Masters, Married-civ-spouse, Transport-moving, Unmarried, Other, Female,0,0,40, United-States, >50K
37, Private, HS-grad, Never-married, Prof-specialty, Wife, White, Female,0,0,40, United-States, <=50K
52, Self-emp-not-inc, Masters, Separated, Machine-op-inspct, Not-in-family, Amer-Indian-Eskimo, Female,0,0,40, United-States, <=50K
23, Private, Doctorate, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,50, United-States, <=50K
24, Private, HS-grad, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, Guatemala, >50K
36, Private, Bachelors, Married-civ-spouse, Farming-fishing, Husband, White, Male,0,0,50, United-States, <=50K
27, Private, Some-college, Divorced, Prof-specialty, Not-in-family, Other, Female,0,0,40, United-States, <=50K
28, Private, Bachelors, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, >50K
27, Local-gov, 10th, Married-civ-spouse, Farming-fishing, Husband, White, Male,0,0,69, United-States, <=50K
38, Federal-gov, Assoc-voc, Married-civ-spouse, Adm-clerical, Not-in-family, Amer-Indian-Eskimo, Male,7687,0,40, United-States, <=50K
24, Private, Some-college, Never-married, Handlers-cleaners, Not-in-family, White, Female,0,0,40, United-States, <=50K
23, Private, Assoc-voc, Never-married, Prof-specialty, Own-child, Black, Male,0,0,40, Guatemala, <=50K
30, Self-emp-not-inc, HS-grad, Never-married, Adm-clerical, Not-in-family, White, Female,0,0,40, United-States, <=50K
73, Self-emp-not-inc, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, United-States, <=50K
53, Private, Some-college, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, United-States, >50K
23, Private, HS-grad, Never-married, Sales, Not-in-family, Other, Female,0,0,40, India, <=50K
53, Local-gov, Masters, Never-married, Sales, Own-child, Other, Female,0,0,40, United-States, <=50K
29, Private, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, United-States, <=50K
35, Self-emp-not-inc, Bachelors, Never-married, Exec-managerial, Unmarried, Amer-Indian-Eskimo, Female,0,0,54, United-States, <=50K
47, Private, Bachelors, Married-civ-spouse, Sales, Husband, White, Female,3374,0,45, United-States, <=50K
32, Self-emp-not-inc, HS-grad, Never-married, Exec-managerial, Husband, Amer-Indian-Eskimo, Female,0,0,45, United-States, <=50K
56, Self-emp-not-inc, Some-college, Married-civ-spouse, Sales, Husband, Asian-Pac-Islander, Male,0,0,50, United-States, <=50K
24, Private, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,45, United-States, >50K
27, Private, HS-grad, Never-married, Sales, Wife, Black, Male,4386,0,40, United-States, >50K
24, Private, Assoc-acdm, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, Hong, <=50K
42, Private, Prof-school, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,45, United-States, <=50K
49, Private, Assoc-voc, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,40, United-States, >50K
66, Self-emp-not-inc, HS-grad, Separated, Adm-clerical, Not-in-family, Black, Female,0,0,15, United-States, <=50K
21, State-gov, HS-grad, Married-civ-spouse, Machine-op-inspct, Own-child, White, Male,0,0,40, United-States, >50K
24, Private, Assoc-acdm, Married-civ-spouse, Transport-moving, Own-child, White, Male,0,0,40, United-States, >50K
52, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, >50K
30, Private, HS-grad, Never-married, Adm-clerical, Not-in-family, Asian-Pac-Islander, Female,0,0,40, United-States, <=50K
36, Private, HS-grad, Never-married, Craft-repair, Unmarried, White, Female,0,0,40, Italy, <=50K
70, Private, HS-grad, Widowed, Sales, Not-in-family, White, Male,0,0,40, United-States, >50K
33, Private, HS-grad, Never-married, Transport-moving, Husband, White, Male,0,0,40, United-States, <=50K
31, Private, 10th, Divorced, Machine-op-inspct, Unmarried, White, Male,4069,0,45, United-States, <=50K
42, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, United-States, <=50K
50, Private, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, United-States, >50K
25, Private, HS-grad, Never-married, Handlers-cleaners, Other-relative, Black, Male,0,0,35, United-States, >50K
27, Private, Some-college, Never-married, Craft-repair, Unmarried, White, Female,0,0,45, United-States, <=50K
56, Private, Some-college, Never-married, Tech-support, Husband, White, Male,0,0,50, Mexico, <=50K
49, Local-gov, 7th-8th, Never-married, Craft-repair, Unmarried, Other, Male,0,0,50, United-States, <=50K
19, Private, 12th, Never-married, Sales, Other-relative, White, Male,0,0,20, United-States, <=50K
34, Private, Some-college, Never-married, Adm-clerical, Unmarried, White, Female,0,0,50, United-States, <=50K
39, Private, Some-college, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,40, United-States, <=50K
45, Private, Some-college, Married-civ-spouse, Craft-repair, Husband, Amer-Indian-Eskimo, Male,15024,0,42, United-States, >50K
43, Private, Some-college, Separated, Sales, Unmarried, Asian-Pac-Islander, Female,0,0,20, United-States, <=50K
26, Private, Bachelors, Never-married, Exec-managerial, Not-in-family, White, Female,0,0,40, Japan, <=50K
46, Private, Some-college, Married-civ-spouse, Prof-specialty, Husband, Asian-Pac-Islander, Male,0,0,40, United-States, >50K
26, Federal-gov, Bachelors, Married-civ-spouse, Sales, Not-in-family, White, Male,0,0,40, United-States, <=50K
45, Private, 7th-8th, Never-married, Adm-clerical, Own-child, Black, Male,0,0,15, United-States, <=50K
25, Private, Some-college, Never-married, Sales, Not-in-family, White, Female,0,0,50, United-States, <=50K
62, Private, Masters, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,45, United-States, <=50K
59, State-gov, Bachelors, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,40, Vietnam, >50K
18, Private, Masters, Never-married, Farming-fishing, Own-child, Black, Male,0,0,20, Dominican-Republic, <=50K
26, Private, HS-grad, Married-civ-spouse, Exec-managerial, Husband, Black, Male,0,0,36, United-States, >50K
39, Private, Doctorate, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, >50K
27, Private, Some-college, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,50, United-States, <=50K
44, Private, Masters, Married-civ-spouse, Sales, Husband, White, Male,0,0,32, Greece, <=50K
29, Private, Some-college, Married-civ-spouse, Handlers-cleaners, Wife, White, Male,2226,0,40, United-States, >50K
23, Private, Some-college, Never-married, Machine-op-inspct, Not-in-family, White, Male,0,0,36, United-States, <=50K
41, Private, Bachelors, Separated, Adm-clerical, Unmarried, White, Male,4386,0,45, United-States, <=50K
33, Private, Masters, Never-married, Machine-op-inspct, Husband, Black, Male,0,0,65, United-States, <=50K
44, Private, HS-grad, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,37, United-States, <=50K
52, Self-emp-not-inc, Assoc-acdm, Widowed, Adm-clerical, Not-in-family, White, Male,0,1887,40, United-States, <=50K
52, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, Other, Male,0,0,48, United-States, >50K
32, Private, Doctorate, Married-civ-spouse, Sales, Husband, White, Female,0,0,90, Yugoslavia, <=50K
36, Private, Bachelors, Never-married, Prof-specialty, Not-in-family, White, Male,3861,0,40, United-States, <=50K
21, Private, Some-college, Never-married, Sales, Not-in-family, White, Female,0,0,35, Cambodia, <=50K
62, Self-emp-not-inc, HS-grad, Divorced, Sales, Not-in-family, White, Male,0,0,42, United-States, <=50K
51, Private, Bachelors, Divorced, Craft-repair, Not-in-family, White, Female,0,0,40, United-States, <=50K
18, Private, Some-college, Never-married, Sales, Own-child, White, Male,0,0,16, United-States, <=50K
55, Private, Some-college, Married-civ-spouse, Tech-support, Not-in-family, Black, Male,3103,0,40, United-States, >50K
32, Private, Bachelors, Divorced, Adm-clerical, Not-in-family, White, Male,0,0,50, Cuba, <=50K
40, Private, Bachelors, Married-civ-spouse, Craft-repair, Husband, Other, Male,0,0,40, United-States, >50K
39, Private, Some-college, Married-civ-spouse, Exec-managerial, Own-child, Other, Male,0,1887,50, United-States, >50K
58, Private, HS-grad, Separated, Exec-managerial, Wife, White, Male,0,0,40, United-States, <=50K
25, Private, 12th, Never-married, Adm-clerical, Unmarried, White, Female,0,0,40, Jamaica, <=50K
18, State-gov, Some-college, Never-married, Priv-house-serv, Own-child, White, Female,0,0,6, United-States, <=50K
35, Private, Some-college, Never-married, Sales, Wife, Black, Female,0,0,40, United-States, <=50K
29, Federal-gov, Some-college, Never-married, Machine-op-inspct, Husband, White, Male,0,0,40, Cambodia, <=50K
42, Private, Masters, Married-civ-spouse, Craft-repair, Not-in-family, Other, Male,0,0,40, United-States, >50K
54, Self-emp-not-inc, 10th, Married-civ-spouse, Farming-fishing, Not-in-family, White, Female,0,0,99, United-States, <=50K
17, Private, 11th, Never-married, Sales, Own-child, White, Female,0,0,13, United-States, <=50K
57, Private, 9th, Married-civ-spouse, Prof-specialty, Wife, White, Male,0,0,40, United-States, <=50K
24, Private, Bachelors, Married-civ-spouse, Machine-op-inspct, Wife, White, Female,0,0,30, United-States, <=50K
76, Local-gov, HS-grad, Widowed, Exec-managerial, Not-in-family, Amer-Indian-Eskimo, Female,0,0,10, United-States, <=50K
22, Private, Some-college, Never-married, Adm-clerical, Husband, White, Male,0,0,80, United-States, <=50K
31, Private, HS-grad, Never-married, Transport-moving, Not-in-family, White, Male,0,0,45, United-States, <=50K
49, Private, 7th-8th, Divorced, Other-service, Not-in-family, White, Female,0,0,40, United-States, <=50K
44, Private, HS-grad, Married-civ-spouse, Sales, Wife, White, Female,0,0,40, El-Salvador, <=50K
34, Private, Bachelors, Divorced, Adm-clerical, Unmarried, White, Female,0,0,40, United-States, <=50K
31, Private, Assoc-voc, Never-married, Exec-managerial, Husband, White, Male,0,0,40, United-States, >50K
42, Private, Bachelors, Never-married, Machine-op-inspct, Not-in-family, Black, Male,0,0,20, United-States, <=50K
38, Self-emp-not-inc, HS-grad, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, United-States, <=50K
46, Private, Some-college, Married-spouse-absent, Other-service, Unmarried, White, Male,0,0,40, United-States, <=50K
40, Private, Assoc-voc, Married-civ-spouse, Exec-managerial, Not-in-family, Asian-Pac-Islander, Female,0,0,45, United-States, <=50K
41, State-gov, HS-grad, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,40, United-States, <=50K
42, Private, Bachelors, Married-civ-spouse, Sales, Husband, Asian-Pac-Islander, Male,0,0,35, United-States, >50K
46, Local-gov, 7th-8th, Divorced, Craft-repair, Not-in-family, Black, Male,0,0,40, Germany, <=50K
43, Private, Bachelors, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,50, United-States, >50K
50, Private, 9th, Married-civ-spouse, Protective-serv, Husband, White, Male,0,0,40, United-States, >50K
40, Private, Some-college, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, United-States, <=50K
55, Private, Some-college, Married-civ-spouse, Craft-repair, Wife, White, Male,0,0,30, United-States, <=50K
26, Self-emp-inc, Bachelors, Never-married, Exec-managerial, Own-child, White, Male,0,0,50, United-States, <=50K
30, Private, HS-grad, Divorced, Adm-clerical, Not-in-family, White, Female,0,0,35, United-States, <=50K
37, Private, Assoc-voc, Never-married, Other-service, Unmarried, Other, Female,0,0,40, United-States, <=50K
40, Private, Some-college, Divorced, Adm-clerical, Not-in-family, White, Female,0,0,40, United-States, <=50K
19, Private, 12th, Never-married, Handlers-cleaners, Own-child, Asian-Pac-Islander, Male,0,0,10, United-States, <=50K
20, Private, Assoc-acdm, Never-married, Adm-clerical, Other-relative, Black, Male,0,0,40, United-States, <=50K
41, Private, Preschool, Married-civ-spouse, Exec-managerial, Husband, White, Female,3434,0,50, United-States, >50K
33, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,99999,0,50, United-States, >50K
65, Private, Bachelors, Widowed, Adm-clerical, Unmarried, White, Male,0,0,20, Dominican-Republic, <=50K
24, Private, 10th, Never-married, Handlers-cleaners, Own-child, White, Male,0,0,40, United-States, <=50K
37, Private, HS-grad, Married-civ-spouse, Tech-support, Husband, White, Male,0,0,51, United-States, >50K
27, Local-gov, HS-grad, Never-married, Other-service, Not-in-family, White, Female,0,0,40, Greece, <=50K
33, Private, Masters, Married-civ-spouse, Tech-support, Husband, Black, Male,4386,0,48, United-States, >50K
26, Private, HS-grad, Married-civ-spouse, Exec-managerial, Husband, White, Female,0,0,50, United-States, <=50K
26, Private, Bachelors, Never-married, Prof-specialty, Not-in-family, White, Male,0,0,40, United-States, <=50K
42, Private, HS-grad, Divorced, Handlers-cleaners, Unmarried, White, Female,0,0,40, United-States, <=50K
37, Private, Masters, Divorced, Tech-support, Unmarried, Black, Female,0,0,30, Japan, <=50K
48, Private, HS-grad, Never-married, Prof-specialty, Wife, White, Female,0,0,35, United-States, <=50K
22, Private, HS-grad, Never-married, Sales, Own-child, White, Female,0,0,30, United-States, <=50K
34, Private, HS-grad, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,45, United-States, <=50K
39, Private, Assoc-acdm, Married-civ-spouse, Craft-repair, Husband, Black, Male,0,0,40, Italy, >50K
36, Private, Some-college, Married-civ-spouse, Craft-repair, Husband, White, Female,0,0,45, Canada, >50K
26, Local-gov, Bachelors, Married-civ-spouse, Adm-clerical, Wife, White, Male,0,0,54, United-States, <=50K
28, Private, HS-grad, Never-married, Exec-managerial, Not-in-family, Black, Female,0,0,40, Trinadad&Tobago, <=50K
41, Self-emp-not-inc, HS-grad, Married-civ-spouse, Farming-fishing, Husband, White, Male,0,0,40, United-States, <=50K
20, Local-gov, 12th, Never-married, Protective-serv, Not-in-family, White, Male,0,0,40, United-States, <=50K
30, Private, Some-college, Never-married, Sales, Wife, White, Female,0,0,40, United-States, <=50K
46, Private, Some-college, Divorced, Other-service, Unmarried, Black, Female,0,0,30, Iran, <=50K
