25, Private, HS-grad, Married-civ-spouse, Craft-repair, Wife, Amer-Indian-Eskimo, Male,0,0,35, Ecuador, <=50K
32, Self-emp-not-inc, Masters, Married-civ-spouse, Craft-repair, Husband, Other, Female,0,2074,40, Yugoslavia, >50K
32, Private, Assoc-voc, Married-civ-spouse, Farming-fishing, Husband, White, Male,0,0,50, Dominican-Republic, <=50K
57, Self-emp-inc, Doctorate, Married-civ-spouse, Exec-managerial, Husband, Other, Female,0,1977,60, El-Salvador, <=50K
47, Self-emp-not-inc, Bachelors, Married-civ-spouse, Prof-specialty, Husband, Black, Female,0,0,40, Jamaica, <=50K
48, Private, Some-college, Married-civ-spouse, Prof-specialty, Husband, Other, Female,0,0,40, Scotland, <=50K
41, State-gov, HS-grad, Divorced, Adm-clerical, Not-in-family, Black, Male,0,1593,40, Ecuador, <=50K
45, Self-emp-not-inc, 11th, Married-civ-spouse, Sales, Husband, White, Female,0,0,40, Outlying-US(Guam-USVI-etc), >50K
46, Private, HS-grad, Divorced, Adm-clerical, Not-in-family, Asian-Pac-Islander, Female,0,0,40, Peru, <=50K
55, Private, Some-college, Divorced, Transport-moving, Not-in-family, White, Male,0,0,40, United-States, <=50K
36, Private, Some-college, Never-married, Adm-clerical, Not-in-family, Black, Female,0,0,40, United-States, <=50K
26, Private, 11th, Never-married, Craft-repair, Own-child, White, Female,0,0,40, El-Salvador, <=50K
36, Private, HS-grad, Married-civ-spouse, Sales, Husband, Asian-Pac-Islander, Male,0,0,40, China, <=50K
21, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Female,0,0,40, Yugoslavia, >50K
17, Private, 11th, Never-married, Sales, Own-child, Amer-Indian-Eskimo, Female,0,0,20, United-States, <=50K
42, Private, HS-grad, Married-civ-spouse, Prof-specialty, Husband, Amer-Indian-Eskimo, Female,0,0,50, Honduras, <=50K
56, Private, HS-grad, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,45, Trinadad&Tobago, <=50K
24, Private, Masters, Never-married, Tech-support, Not-in-family, White, Male,4998,0,40, Hungary, <=50K
56, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, Asian-Pac-Islander, Female,0,0,50, United-States, >50K
34, Federal-gov, Some-college, Never-married, Adm-clerical, Wife, White, Male,0,0,40, Outlying-US(Guam-USVI-etc), <=50K
40, Private, Assoc-acdm, Never-married, Adm-clerical, Husband, White, Male,0,0,40, Japan, <=50K
30, Private, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, Greece, >50K
61, Private, Bachelors, Divorced, Protective-serv, Not-in-family, White, Female,2331,0,54, Guatemala, <=50K
36, Self-emp-not-inc, Prof-school, Married-civ-spouse, Exec-managerial, Wife, Asian-Pac-Islander, Male,99999,0,40, Mexico, >50K
26, Private, Masters, Never-married, Craft-repair, Own-child, Other, Male,0,0,40, Philippines, <=50K
26, Private, 11th, Never-married, Adm-clerical, Own-child, Asian-Pac-Islander, Female,0,0,40, Cuba, <=50K
42, Private, Bachelors, Married-civ-spouse, Craft-repair, Own-child, Amer-Indian-Eskimo, Male,99999,0,60, Peru, >50K
57, Private, Bachelors, Married-civ-spouse, Exec-managerial, Wife, White, Female,0,0,40, El-Salvador, >50K
21, Private, Bachelors, Never-married, Craft-repair, Not-in-family, Asian-Pac-Islander, Male,0,0,40, United-States, <=50K
19, Private, HS-grad, Never-married, Tech-support, Own-child, Asian-Pac-Islander, Male,0,0,40, Ecuador, <=50K
50, Private, Bachelors, Widowed, Sales, Not-in-family, Amer-Indian-Eskimo, Female,0,0,35, Haiti, <=50K
21, Private, Assoc-acdm, Never-married, Adm-clerical, Own-child, White, Female,0,0,40, United-States, >50K
50, Local-gov, 9th, Divorced, Transport-moving, Unmarried, Asian-Pac-Islander, Female,0,0,35, China, <=50K
25, Private, Some-college, Never-married, Adm-clerical, Unmarried, Asian-Pac-Islander, Female,0,0,48, Ecuador, <=50K
43, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, Asian-Pac-Islander, Female,15024,0,54, India, >50K
61, Private, HS-grad, Divorced, Exec-managerial, Not-in-family, Asian-Pac-Islander, Female,7687,0,50, Mexico, >50K
31, Private, Bachelors, Married-civ-spouse, Farming-fishing, Husband, Asian-Pac-Islander, Male,0,0,40, United-States, <=50K
25, Private, Assoc-voc, Never-married, Protective-serv, Own-child, White, Male,4994,0,30, United-States, >50K
34, Private, HS-grad, Never-married, Sales, Not-in-family, Other, Female,0,0,40, Cuba, <=50K
29, Private, HS-grad, Married-civ-spouse, Adm-clerical, Unmarried, Amer-Indian-Eskimo, Female,0,0,50, China, <=50K
22, Private, Some-college, Never-married, Farming-fishing, Own-child, Other, Female,0,0,60, Italy, <=50K
24, Private, HS-grad, Never-married, Exec-managerial, Own-child, Black, Male,0,0,35, United-States, <=50K
40, Local-gov, HS-grad, Divorced, Sales, Not-in-family, Asian-Pac-Islander, Male,0,0,45, Hong, <=50K
23, State-gov, Some-college, Never-married, Adm-clerical, Own-child, White, Male,0,0,26, Hong, <=50K
20, Private, HS-grad, Never-married, Prof-specialty, Own-child, Amer-Indian-Eskimo, Female,0,0,48, United-States, <=50K
64, Private, HS-grad, Never-married, Protective-serv, Unmarried, Amer-Indian-Eskimo, Female,0,0,20, China, <=50K
42, Private, HS-grad, Married-civ-spouse, Other-service, Wife, White, Male,2816,0,30, France, >50K
33, Private, HS-grad, Married-civ-spouse, Machine-op-inspct, Wife, White, Female,0,0,40, United-States, <=50K
36, Private, HS-grad, Never-married, Craft-repair, Unmarried, White, Male,0,0,20, United-States, <=50K
44, Self-emp-not-inc, HS-grad, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,45, United-States, >50K
28, Private, HS-grad, Never-married, Prof-specialty, Husband, White, Female,0,0,50, United-States, <=50K
23, Private, Bachelors, Never-married, Tech-support, Not-in-family, White, Female,0,1902,40, Guatemala, <=50K
23, Local-gov, 7th-8th, Never-married, Other-service, Own-child, Black, Male,0,0,35, Columbia, <=50K
37, Federal-gov, Assoc-acdm, Married-civ-spouse, Sales, Husband, Other, Male,0,0,50, Outlying-US(Guam-USVI-etc), <=50K
56, Self-emp-not-inc, HS-grad, Married-civ-spouse, Machine-op-inspct, Wife, White, Male,6276,0,40, United-States, >50K
27, Private, Some-college, Never-married, Sales, Not-in-family, Amer-Indian-Eskimo, Male,0,0,40, United-States, <=50K
23, Private, Some-college, Married-civ-spouse, Exec-managerial, Own-child, Amer-Indian-Eskimo, Male,0,0,35, Laos, <=50K
27, Self-emp-not-inc, Some-college, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,45, United-States, >50K
45, Self-emp-inc, HS-grad, Married-civ-spouse, Sales, Husband, Other, Male,15024,0,45, Germany, >50K
30, State-gov, Some-college, Married-civ-spouse, Exec-managerial, Husband, Black, Male,7687,0,40, Hungary, >50K
26, Self-emp-inc, HS-grad, Never-married, Adm-clerical, Unmarried, White, Male,0,0,48, United-States, <=50K
35, Self-emp-not-inc, HS-grad, Never-married, Adm-clerical, Not-in-family, White, Male,0,0,65, United-States, <=50K
49, Without-pay, Masters, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, Hungary, <=50K
29, Private, Bachelors, Divorced, Machine-op-inspct, Not-in-family, Black, Male,0,0,40, England, <=50K
41, Private, HS-grad, Married-civ-spouse, Sales, Husband, Other, Male,0,0,40, Haiti, <=50K
44, Private, Some-college, Divorced, Exec-managerial, Not-in-family, Other, Female,2573,0,40, United-States, <=50K
51, Self-emp-not-inc, Masters, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, United-States, >50K
59, Private, Some-college, Separated, Exec-managerial, Husband, White, Male,0,1968,48, Scotland, >50K
51, Private, Bachelors, Married-civ-spouse, Prof-specialty, Husband, Black, Male,0,0,40, United-States, >50K
25, Self-emp-inc, Some-college, Never-married, Other-service, Unmarried, Other, Male,0,0,35, United-States, <=50K
46, Private, Some-college, Divorced, Sales, Unmarried, Asian-Pac-Islander, Male,0,0,35, Taiwan, <=50K
23, Private, Bachelors, Never-married, Machine-op-inspct, Husband, Amer-Indian-Eskimo, Male,0,0,54, United-States, >50K
56, Self-emp-not-inc, HS-grad, Married-civ-spouse, Sales, Husband, Amer-Indian-Eskimo, Male,0,0,50, China, <=50K
58, Self-emp-not-inc, HS-grad, Divorced, Farming-fishing, Unmarried, Other, Male,0,1998,40, United-States, <=50K
44, Private, Bachelors, Married-civ-spouse, Craft-repair, Husband, White, Female,0,0,60, South, <=50K
46, State-gov, Bachelors, Married-civ-spouse, Prof-specialty, Husband, Amer-Indian-Eskimo, Female,0,0,45, Japan, >50K
32, Private, Prof-school, Never-married, Exec-managerial, Not-in-family, Asian-Pac-Islander, Female,0,0,45, Philippines, <=50K
18, Local-gov, 11th, Never-married, Other-service, Own-child, White, Male,0,0,40, United-States, <=50K
24, Private, HS-grad, Never-married, Farming-fishing, Own-child, Amer-Indian-Eskimo, Male,0,0,40, France, <=50K
52, State-gov, HS-grad, Widowed, Craft-repair, Unmarried, White, Male,0,0,37, India, <=50K
29, Private, 10th, Married-civ-spouse, Prof-specialty, Not-in-family, Amer-Indian-Eskimo, Female,0,0,40, Haiti, <=50K
56, Local-gov, HS-grad, Married-civ-spouse, Transport-moving, Husband, Black, Female,0,0,40, Scotland, >50K
53, Private, HS-grad, Divorced, Craft-repair, Unmarried, Black, Female,0,0,40, Nicaragua, <=50K
20, Self-emp-inc, Some-college, Never-married, Other-service, Not-in-family, Amer-Indian-Eskimo, Female,0,0,20, Jamaica, <=50K
58, Private, HS-grad, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,40, South, <=50K
35, Private, HS-grad, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, Cuba, >50K
28, Private, Bachelors, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,0,0,40, Hungary, >50K
60, Private, Some-college, Married-civ-spouse, Prof-specialty, Husband, Black, Male,0,0,40, United-States, <=50K
33, Private, HS-grad, Divorced, Adm-clerical, Own-child, White, Male,0,0,25, Mexico, >50K
40, Local-gov, 12th, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,60, Ireland, <=50K
35, Federal-gov, Assoc-voc, Never-married, Adm-clerical, Not-in-family, Amer-Indian-Eskimo, Male,0,0,35, Philippines, <=50K
25, Private, Some-college, Never-married, Handlers-cleaners, Husband, White, Female,0,0,40, South, <=50K
49, Private, Assoc-voc, Married-spouse-absent, Other-service, Unmarried, Asian-Pac-Islander, Male,0,0,40, Cuba, <=50K
29, State-gov, HS-grad, Married-civ-spouse, Adm-clerical, Husband, White, Female,0,0,35, Outlying-US(Guam-USVI-etc), <=50K
28, Self-emp-not-inc, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,45, Hungary, >50K
57, Private, Some-college, Married-civ-spouse, Exec-managerial, Husband, White, Female,0,0,40, Hungary, <=50K
45, Private, HS-grad, Never-married, Sales, Not-in-family, Asian-Pac-Islander, Female,0,0,40, Ecuador, <=50K
34, Local-gov, HS-grad, Married-civ-spouse, Sales, Unmarried, Black, Female,0,0,20, Iran, <=50K
31, Private, HS-grad, Divorced, Farming-fishing, Not-in-family, Black, Female,0,0,45, Nicaragua, <=50K
28, Self-emp-not-inc, Doctorate, Married-civ-spouse, Exec-managerial, Unmarried, Amer-Indian-Eskimo, Female,0,0,45, United-States, <=50K
49, Private, HS-grad, Married-civ-spouse, Sales, Husband, Other, Female,0,1902,40, Poland, <=50K
59, Self-emp-not-inc, HS-grad, Separated, Machine-op-inspct, Husband, Amer-Indian-Eskimo, Female,0,0,20, South, <=50K
56, State-gov, Some-college, Married-civ-spouse, Sales, Husband, Amer-Indian-Eskimo, Male,0,0,40, United-States, <=50K
23, Private, Bachelors, Never-married, Other-service, Not-in-family, White, Male,0,0,25, United-States, <=50K
44, Private, HS-grad, Divorced, Sales, Unmarried, Asian-Pac-Islander, Male,0,0,40, Japan, <=50K
33, Private, Assoc-acdm, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, Dominican-Republic, <=50K
36, Private, Some-college, Never-married, Adm-clerical, Husband, White, Male,0,0,40, Vietnam, <=50K
57, Private, Assoc-acdm, Separated, Farming-fishing, Not-in-family, Black, Female,0,0,45, Iran, >50K
36, Self-emp-not-inc, HS-grad, Married-civ-spouse, Exec-managerial, Husband, Asian-Pac-Islander, Male,0,0,60, Thailand, >50K
25, State-gov, HS-grad, Married-civ-spouse, Other-service, Own-child, White, Male,0,0,40, Nicaragua, >50K
42, Private, Assoc-acdm, Divorced, Tech-support, Unmarried, White, Male,0,0,40, Taiwan, <=50K
51, Private, HS-grad, Separated, Adm-clerical, Not-in-family, Black, Male,0,0,39, United-States, <=50K
33, Private, HS-grad, Married-civ-spouse, Exec-managerial, Husband, Amer-Indian-Eskimo, Male,0,0,40, Japan, >50K
19, Private, HS-grad, Never-married, Craft-repair, Own-child, White, Female,0,0,40, England, <=50K
28, Private, HS-grad, Never-married, Sales, Unmarried, White, Male,0,0,40, United-States, >50K
70, Private, Bachelors, Widowed, Tech-support, Not-in-family, Other, Male,0,0,6, Laos, <=50K
31, Local-gov, 11th, Married-civ-spouse, Prof-specialty, Husband, Black, Male,0,0,40, Laos, <=50K
20, Private, HS-grad, Married-civ-spouse, Farming-fishing, Husband, Other, Male,0,0,40, United-States, <=50K
23, Private, Bachelors, Never-married, Other-service, Not-in-family, Black, Male,0,0,40, Taiwan, <=50K
32, Self-emp-inc, HS-grad, Married-civ-spouse, Exec-managerial, Husband, Asian-Pac-Islander, Male,0,0,45, Portugal, >50K
24, Self-emp-not-inc, Some-college, Never-married, Adm-clerical, Unmarried, Other, Female,0,0,40, Hong, <=50K
26, Private, Some-college, Never-married, Sales, Not-in-family, White, Male,0,0,44, France, <=50K
40, Local-gov, 9th, Married-civ-spouse, Exec-managerial, Husband, Asian-Pac-Islander, Male,0,0,40, Japan, >50K
25, Private, Bachelors, Married-civ-spouse, Sales, Husband, Other, Male,0,0,40, Portugal, >50K
46, Local-gov, Some-college, Never-married, Adm-clerical, Not-in-family, White, Female,0,0,39, United-States, <=50K
33, Private, Some-college, Married-civ-spouse, Transport-moving, Husband, Black, Female,2266,0,40, Taiwan, >50K
23, Private, Some-college, Never-married, Adm-clerical, Own-child, Amer-Indian-Eskimo, Male,0,0,38, United-States, <=50K
39, Private, Some-college, Married-civ-spouse, Sales, Husband, Amer-Indian-Eskimo, Male,0,0,50, Philippines, >50K
35, Private, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Female,0,0,40, England, >50K
31, Private, Some-college, Married-civ-spouse, Machine-op-inspct, Not-in-family, Amer-Indian-Eskimo, Male,0,0,54, Taiwan, >50K
30, Federal-gov, Bachelors, Never-married, Sales, Not-in-family, White, Male,0,0,40, United-States, <=50K
35, Private, 7th-8th, Divorced, Adm-clerical, Unmarried, Asian-Pac-Islander, Male,0,0,40, Japan, <=50K
46, Private, Some-college, Never-married, Sales, Not-in-family, Black, Female,0,0,54, Ireland, <=50K
51, Private, HS-grad, Divorced, Transport-moving, Unmarried, Other, Male,0,0,45, United-States, <=50K
28, Self-emp-not-inc, HS-grad, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,45, Yugoslavia, >50K
61, Self-emp-not-inc, HS-grad, Widowed, Craft-repair, Not-in-family, Asian-Pac-Islander, Male,0,0,40, Canada, <=50K
25, Private, HS-grad, Divorced, Adm-clerical, Not-in-family, Asian-Pac-Islander, Male,0,0,40, Iran, <=50K
20, Private, HS-grad, Never-married, Craft-repair, Own-child, White, Male,0,0,20, United-States, <=50K
55, Private, Some-college, Married-civ-spouse, Transport-moving, Husband, White, Male,0,1887,48, Hong, <=50K
40, Private, Masters, Married-civ-spouse, Sales, Husband, White, Male,15024,0,40, Cuba, >50K
64, Self-emp-inc, Some-college, Married-civ-spouse, Exec-managerial, Husband, Other, Male,0,1977,60, Hungary, >50K
25, Private, Some-college, Never-married, Other-service, Not-in-family, White, Male,0,0,40, Vietnam, <=50K
38, Private, HS-grad, Separated, Adm-clerical, Unmarried, Other, Male,0,0,40, Puerto-Rico, <=50K
37, Private, HS-grad, Separated, Handlers-cleaners, Husband, Asian-Pac-Islander, Male,0,0,40, United-States, <=50K
34, Private, HS-grad, Married-civ-spouse, Exec-managerial, Husband, Other, Female,0,0,40, Japan, <=50K
46, Self-emp-not-inc, Assoc-voc, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,45, United-States, <=50K
23, Private, Bachelors, Never-married, Machine-op-inspct, Own-child, Asian-Pac-Islander, Male,0,0,40, Iran, <=50K
31, Private, HS-grad, Married-civ-spouse, Protective-serv, Husband, White, Female,5013,0,40, Yugoslavia, <=50K
28, Private, Bachelors, Never-married, Prof-specialty, Own-child, White, Male,0,0,40, Nicaragua, <=50K
27, Private, Some-college, Married-civ-spouse, Tech-support, Husband, White, Male,0,0,54, Cambodia, >50K
41, Self-emp-not-inc, HS-grad, Never-married, Sales, Not-in-family, White, Male,0,0,50, Portugal, <=50K
31, Private, Bachelors, Married-civ-spouse, Farming-fishing, Husband, Other, Male,0,0,40, Hungary, <=50K
49, Local-gov, Some-college, Divorced, Sales, Not-in-family, White, Male,0,0,45, Peru, <=50K
19, Private, Some-college, Never-married, Sales, Unmarried, Asian-Pac-Islander, Male,0,0,15, Philippines, <=50K
67, Private, Bachelors, Married-civ-spouse, Craft-repair, Husband, White, Male,0,1902,20, Canada, >50K
60, Self-emp-inc, Bachelors, Married-civ-spouse, Craft-repair, Husband, Asian-Pac-Islander, Male,0,0,87, United-States, <=50K
52, Private, Some-college, Never-married, Craft-repair, Wife, Asian-Pac-Islander, Male,10915,0,16, United-States, <=50K
51, Private, HS-grad, Separated, Exec-managerial, Unmarried, Black, Female,0,0,38, Laos, <=50K
33, Private, Assoc-acdm, Married-civ-spouse, Exec-managerial, Husband, White, Female,0,1902,50, El-Salvador, >50K
40, State-gov, Some-college, Divorced, Craft-repair, Not-in-family, Other, Female,0,0,40, United-States, <=50K
36, Private, Some-college, Never-married, Sales, Wife, Asian-Pac-Islander, Male,0,0,40, Vietnam, <=50K
20, Federal-gov, Some-college, Never-married, Machine-op-inspct, Own-child, Black, Male,0,0,40, Cambodia, <=50K
44, Private, HS-grad, Divorced, Adm-clerical, Unmarried, Asian-Pac-Islander, Male,0,0,50, South, <=50K
45, State-gov, 7th-8th, Married-civ-spouse, Exec-managerial, Husband, White, Female,0,0,40, Peru, >50K
60, Private, HS-grad, Married-civ-spouse, Prof-specialty, Husband, White, Female,0,0,40, Honduras, >50K
59, Private, 7th-8th, Never-married, Prof-specialty, Unmarried, White, Male,0,0,40, Nicaragua, <=50K
58, Private, Bachelors, Married-civ-spouse, Farming-fishing, Wife, Black, Female,0,0,37, Puerto-Rico, >50K
45, Local-gov, HS-grad, Never-married, Adm-clerical, Not-in-family, Amer-Indian-Eskimo, Female,0,0,40, Laos, <=50K
37, Private, Some-college, Never-married, Adm-clerical, Not-in-family, White, Male,0,0,40, United-States, <=50K
42, Self-emp-not-inc, HS-grad, Married-civ-spouse, Transport-moving, Husband, Other, Male,0,0,50, Thailand, <=50K
58, Private, 5th-6th, Divorced, Machine-op-inspct, Not-in-family, Other, Female,0,0,40, Mexico, <=50K
38, Private, HS-grad, Never-married, Sales, Own-child, White, Female,0,1902,30, Columbia, <=50K
34, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, Black, Male,0,0,50, Honduras, <=50K
28, Private, Assoc-voc, Never-married, Exec-managerial, Own-child, Other, Male,3081,0,45, United-States, <=50K
40, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, Asian-Pac-Islander, Male,0,1902,40, United-States, <=50K
26, Self-emp-not-inc, Some-college, Divorced, Other-service, Not-in-family, White, Male,0,0,40, Jamaica, <=50K
45, Self-emp-not-inc, Some-college, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,35, Laos, >50K
23, Private, Assoc-voc, Married-civ-spouse, Handlers-cleaners, Own-child, Amer-Indian-Eskimo, Female,0,0,30, Ireland, <=50K
27, State-gov, HS-grad, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,40, Hong, <=50K
24, Private, Bachelors, Separated, Protective-serv, Husband, Amer-Indian-Eskimo, Male,0,0,40, Jamaica, <=50K
62, Local-gov, 7th-8th, Married-civ-spouse, Farming-fishing, Husband, Black, Male,0,0,48, Cuba, <=50K
47, Private, Bachelors, Married-civ-spouse, Sales, Husband, White, Male,0,0,40, Iran, >50K
38, Private, Assoc-voc, Married-civ-spouse, Prof-specialty, Husband, Black, Male,7298,0,40, India, >50K
48, Private, Some-college, Divorced, Prof-specialty, Husband, Black, Female,0,0,60, Iran, <=50K
55, Self-emp-inc, Some-college, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, Hong, <=50K
33, Self-emp-not-inc, Bachelors, Married-civ-spouse, Exec-managerial, Husband, Other, Male,0,0,50, Portugal, >50K
23, Private, HS-grad, Never-married, Exec-managerial, Not-in-family, White, Female,0,0,40, United-States, <=50K
22, Private, Assoc-voc, Never-married, Prof-specialty, Own-child, Black, Female,0,0,60, United-States, <=50K
53, Self-emp-not-inc, Masters, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, Japan, >50K
18, Private, Assoc-acdm, Never-married, Machine-op-inspct, Own-child, Amer-Indian-Eskimo, Male,0,0,20, United-States, <=50K
30, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, Asian-Pac-Islander, Male,0,0,40, Vietnam, >50K
17, Private, 11th, Never-married, Handlers-cleaners, Own-child, Black, Female,0,0,20, India, <=50K
38, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,7298,0,40, Mexico, >50K
39, Private, Doctorate, Separated, Adm-clerical, Not-in-family, Other, Male,0,0,60, China, <=50K
35, Private, 11th, Married-civ-spouse, Prof-specialty, Husband, White, Male,15024,0,50, United-States, >50K
40, Private, HS-grad, Divorced, Sales, Not-in-family, White, Male,0,0,50, Trinadad&Tobago, <=50K
37, Local-gov, HS-grad, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,45, Cuba, >50K
36, Private, Some-college, Never-married, Tech-support, Unmarried, Asian-Pac-Islander, Female,0,0,20, United-States, <=50K
21, Private, Some-college, Never-married, Craft-repair, Own-child, Other, Female,0,0,30, Trinadad&Tobago, <=50K
