27, Private, HS-grad, Never-married, Craft-repair, Own-child, Amer-Indian-Eskimo, Male,0,0,40, United-States, <=50K
36, Private, HS-grad, Never-married, Other-service, Not-in-family, White, Male,0,0,40, Philippines, <=50K
29, State-gov, Bachelors, Married-civ-spouse, Exec-managerial, Unmarried, White, Female,0,0,40, United-States, >50K
65, Self-emp-inc, HS-grad, Divorced, Exec-managerial, Husband, White, Male,2249,0,50, United-States, <=50K
27, Private, Some-college, Divorced, Exec-managerial, Unmarried, White, Female,0,0,24, United-States, <=50K
21, Private, HS-grad, Never-married, Sales, Own-child, White, Male,0,0,40, Scotland, <=50K
61, Private, HS-grad, Married-civ-spouse, Tech-support, Husband, White, Male,0,0,40, United-States, <=50K
30, Self-emp-inc, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,45, United-States, >50K
29, Self-emp-not-inc, Bachelors, Married-civ-spouse, Handlers-cleaners, Wife, Asian-Pac-Islander, Female,0,0,40, United-States, <=50K
25, Private, Bachelors, Married-civ-spouse, Sales, Own-child, White, Female,0,0,40, United-States, <=50K
27, Private, HS-grad, Never-married, Craft-repair, Husband, Amer-Indian-Eskimo, Male,0,0,40, United-States, <=50K
46, State-gov, Some-college, Married-civ-spouse, Prof-specialty, Wife, White, Male,27792,0,35, United-States, >50K
55, Private, Bachelors, Married-civ-spouse, Prof-specialty, Not-in-family, White, Male,3776,0,40, United-States, <=50K
32, Private, Some-college, Never-married, Tech-support, Not-in-family, White, Male,0,0,40, United-States, <=50K
34, Private, 11th, Never-married, Farming-fishing, Husband, White, Male,0,0,35, Puerto-Rico, <=50K
19, Private, Some-college, Never-married, Adm-clerical, Not-in-family, White, Male,0,0,15, United-States, <=50K
31, Private, 11th, Never-married, Other-service, Wife, White, Female,0,0,7, United-States, >50K
25, State-gov, Bachelors, Married-civ-spouse, Prof-specialty, Own-child, Black, Female,0,0,29, United-States, >50K
58, State-gov, HS-grad, Separated, Other-service, Not-in-family, White, Female,0,0,25, United-States, <=50K
22, Private, Assoc-voc, Never-married, Tech-support, Unmarried, White, Male,0,0,40, United-States, <=50K
56, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, <=50K
58, Private, HS-grad, Separated, Craft-repair, Unmarried, Black, Female,0,0,10, United-States, <=50K
55, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, <=50K
21, Private, HS-grad, Never-married, Sales, Own-child, White, Male,0,0,60, United-States, <=50K
29, Private, HS-grad, Never-married, Transport-moving, Own-child, White, Male,0,0,60, United-States, <=50K
34, Local-gov, 5th-6th, Divorced, Prof-specialty, Wife, White, Female,0,0,40, United-States, <=50K
53, Private, Bachelors, Married-civ-spouse, Farming-fishing, Husband, White, Male,7687,0,40, United-States, >50K
43, Local-gov, Bachelors, Divorced, Prof-specialty, Unmarried, White, Female,0,0,29, United-States, >50K
35, Private, HS-grad, Never-married, Adm-clerical, Unmarried, Black, Female,0,0,40, United-States, <=50K
64, State-gov, Some-college, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, United-States, >50K
26, Private, Some-college, Never-married, Tech-support, Not-in-family, White, Male,0,0,40, United-States, <=50K
21, Local-gov, 11th, Never-married, Adm-clerical, Unmarried, White, Male,0,0,25, United-States, <=50K
18, Private, 12th, Never-married, Sales, Own-child, White, Female,0,0,29, United-States, <=50K
35, Private, HS-grad, Never-married, Adm-clerical, Unmarried, White, Female,0,0,50, United-States, <=50K
43, Private, Some-college, Married-civ-spouse, Transport-moving, Husband, White, Male,3103,0,48, United-States, >50K
30, Private, Some-college, Married-civ-spouse, Exec-managerial, Husband, Amer-Indian-Eskimo, Male,0,0,35, United-States, >50K
49, Private, HS-grad, Married-civ-spouse, Tech-support, Husband, Black, Male,0,0,40, United-States, <=50K
43, Self-emp-inc, HS-grad, Married-civ-spouse, Farming-fishing, Husband, White, Male,0,0,60, United-States, <=50K
58, Private, Masters, Married-civ-spouse, Machine-op-inspct, Husband, Black, Male,0,0,40, United-States, <=50K
45, Federal-gov, Doctorate, Divorced, Prof-specialty, Not-in-family, White, Female,0,1872,40, United-States, <=50K
33, Private, 11th, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,50, United-States, >50K
34, Private, Some-college, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, United-States, >50K
33, Private, HS-grad, Married-civ-spouse, Transport-moving, Wife, White, Male,0,0,35, United-States, <=50K
30, Self-emp-not-inc, Bachelors, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,40, United-States, >50K
39, Private, HS-grad, Separated, Adm-clerical, Own-child, Black, Female,0,0,40, England, <=50K
27, Private, Bachelors, Divorced, Other-service, Not-in-family, White, Male,0,0,35, United-States, >50K
24, Private, HS-grad, Never-married, Craft-repair, Not-in-family, White, Male,0,0,40, United-States, <=50K
30, Private, Some-college, Divorced, Tech-support, Own-child, White, Male,0,0,40, United-States, <=50K
65, Self-emp-not-inc, Masters, Married-civ-spouse, Tech-support, Husband, White, Male,0,0,15, Outlying-US(Guam-USVI-etc), <=50K
54, Self-emp-inc, Some-college, Married-civ-spouse, Other-service, Unmarried, White, Male,7298,0,40, United-States, >50K
41, Private, Some-college, Married-civ-spouse, Farming-fishing, Husband, White, Male,0,0,40, United-States, <=50K
52, Private, HS-grad, Married-spouse-absent, Craft-repair, Husband, White, Male,0,0,54, United-States, <=50K
39, Private, HS-grad, Never-married, Exec-managerial, Husband, White, Male,0,0,40, United-States, <=50K
30, Private, Bachelors, Married-civ-spouse, Farming-fishing, Husband, White, Male,0,0,40, United-States, >50K
46, Self-emp-not-inc, Assoc-voc, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, <=50K
55, Private, HS-grad, Divorced, Adm-clerical, Unmarried, White, Female,0,0,45, United-States, <=50K
49, Private, HS-grad, Married-civ-spouse, Sales, Not-in-family, White, Female,7687,0,40, Yugoslavia, <=50K
43, Self-emp-inc, Bachelors, Married-civ-spouse, Sales, Husband, White, Male,0,0,88, United-States, >50K
66, Self-emp-not-inc, Some-college, Widowed, Tech-support, Not-in-family, White, Female,0,0,25, Canada, <=50K
54, Self-emp-not-inc, Masters, Divorced, Sales, Not-in-family, White, Female,0,0,50, United-States, <=50K
36, Private, HS-grad, Never-married, Handlers-cleaners, Not-in-family, White, Male,0,0,40, United-States, <=50K
19, Private, Some-college, Married-civ-spouse, Sales, Own-child, White, Male,0,0,20, United-States, <=50K
47, Private, Some-college, Never-married, Sales, Unmarried, Black, Male,2196,0,40, United-States, <=50K
29, Private, Bachelors, Divorced, Adm-clerical, Own-child, White, Female,0,0,40, England, <=50K
46, Private, HS-grad, Married-civ-spouse, Adm-clerical, Not-in-family, White, Male,3391,0,40, United-States, <=50K
29, Private, Some-college, Never-married, Adm-clerical, Unmarried, White, Female,0,0,40, United-States, <=50K
42, Private, HS-grad, Married-civ-spouse, Exec-managerial, Own-child, White, Male,0,0,40, United-States, <=50K
24, Private, Assoc-acdm, Never-married, Craft-repair, Own-child, White, Male,0,0,45, United-States, <=50K
55, State-gov, Prof-school, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,2421,50, United-States, >50K
31, Private, Some-college, Never-married, Sales, Own-child, White, Male,0,0,45, United-States, <=50K
30, Federal-gov, Some-college, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,40, Canada, <=50K
35, Private, Prof-school, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,60, United-States, >50K
26, Self-emp-not-inc, 11th, Divorced, Craft-repair, Not-in-family, White, Female,0,0,50, United-States, <=50K
28, Private, HS-grad, Married-civ-spouse, Other-service, Husband, White, Male,0,0,40, United-States, >50K
39, Private, Assoc-voc, Married-civ-spouse, Prof-specialty, Wife, White, Male,0,0,40, United-States, <=50K
23, Private, Bachelors, Never-married, Other-service, Own-child, White, Male,0,0,40, United-States, <=50K
20, Private, Masters, Never-married, Adm-clerical, Own-child, Asian-Pac-Islander, Female,0,0,29, United-States, <=50K
44, Self-emp-inc, Prof-school, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, >50K
34, Self-emp-not-inc, HS-grad, Never-married, Transport-moving, Not-in-family, White, Male,0,0,65, United-States, <=50K
32, Private, 7th-8th, Married-civ-spouse, Other-service, Not-in-family, White, Female,0,1738,40, United-States, <=50K
47, Private, HS-grad, Married-civ-spouse, Tech-support, Husband, White, Female,0,0,40, Iran, <=50K
21, Private, Bachelors, Divorced, Adm-clerical, Own-child, White, Female,0,0,40, United-States, <=50K
22, Private, 11th, Separated, Other-service, Unmarried, White, Female,0,0,12, United-States, <=50K
44, Private, Assoc-voc, Divorced, Adm-clerical, Unmarried, Black, Female,0,0,40, United-States, <=50K
45, State-gov, Masters, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, United-States, >50K
47, Private, Some-college, Never-married, Other-service, Not-in-family, White, Male,0,0,32, United-States, <=50K
37, Private, HS-grad, Married-spouse-absent, Craft-repair, Not-in-family, Black, Female,0,0,40, United-States, <=50K
54, State-gov, HS-grad, Separated, Other-service, Not-in-family, White, Male,0,0,45, United-States, <=50K
36, Private, Bachelors, Separated, Sales, Not-in-family, White, Male,0,0,50, United-States, <=50K
31, Local-gov, 5th-6th, Never-married, Other-service, Not-in-family, White, Male,0,0,40, Mexico, <=50K
47, Private, Bachelors, Married-civ-spouse, Tech-support, Husband, White, Male,0,0,45, United-States, >50K
25, Private, 11th, Never-married, Sales, Not-in-family, White, Male,0,0,40, United-States, <=50K
52, Local-gov, Some-college, Divorced, Prof-specialty, Not-in-family, White, Female,0,0,50, United-States, <=50K
53, Self-emp-not-inc, Some-college, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,50, United-States, <=50K
51, Self-emp-not-inc, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, <=50K
23, Private, HS-grad, Never-married, Adm-clerical, Not-in-family, White, Female,0,0,40, United-States, <=50K
50, Private, 9th, Married-civ-spouse, Prof-specialty, Husband, White, Female,0,0,40, United-States, >50K
58, Self-emp-not-inc, Prof-school, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, United-States, >50K
45, Self-emp-inc, Bachelors, Never-married, Prof-specialty, Wife, White, Male,99999,0,40, United-States, >50K
67, Private, 5th-6th, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, <=50K
39, Self-emp-inc, Prof-school, Married-civ-spouse, Exec-managerial, Husband, White, Female,0,1977,50, United-States, >50K
42, Private, Bachelors, Divorced, Exec-managerial, Unmarried, White, Female,0,0,40, United-States, <=50K
31, Private, HS-grad, Married-spouse-absent, Craft-repair, Husband, White, Male,0,0,40, Haiti, <=50K
49, Private, 10th, Divorced, Machine-op-inspct, Unmarried, White, Male,0,0,40, United-States, <=50K
41, Private, Bachelors, Divorced, Sales, Not-in-family, White, Female,0,0,25, United-States, <=50K
27, Private, HS-grad, Never-married, Other-service, Not-in-family, White, Male,0,0,50, Mexico, <=50K
17, Private, 11th, Never-married, Sales, Own-child, White, Female,0,0,29, United-States, <=50K
50, Private, HS-grad, Divorced, Exec-managerial, Not-in-family, White, Female,0,0,60, United-States, <=50K
40, Self-emp-inc, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Male,7620,0,65, United-States, >50K
43, Private, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, United-States, >50K
22, Private, Some-college, Divorced, Tech-support, Unmarried, White, Female,0,0,25, United-States, <=50K
31, Private, HS-grad, Never-married, Prof-specialty, Own-child, White, Female,0,0,40, United-States, <=50K
42, Private, Bachelors, Married-civ-spouse, Sales, Unmarried, White, Female,27771,0,50, United-States, >50K
26, Private, HS-grad, Married-civ-spouse, Other-service, Husband, White, Male,0,0,40, United-States, <=50K
39, Private, 11th, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, >50K
29, Private, Some-college, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,36, China, <=50K
69, Private, HS-grad, Married-civ-spouse, Craft-repair, Wife, White, Male,0,0,20, United-States, <=50K
46, Private, HS-grad, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, United-States, <=50K
29, Self-emp-not-inc, Some-college, Never-married, Handlers-cleaners, Own-child, White, Female,0,0,43, United-States, <=50K
34, Federal-gov, 7th-8th, Never-married, Sales, Not-in-family, White, Male,0,0,29, United-States, <=50K
45, Private, Some-college, Separated, Sales, Unmarried, White, Female,0,0,40, United-States, <=50K
34, Private, Some-college, Divorced, Other-service, Husband, White, Male,0,0,60, United-States, <=50K
25, Private, Bachelors, Never-married, Prof-specialty, Not-in-family, White, Female,0,0,40, United-States, <=50K
42, Self-emp-not-inc, Masters, Married-civ-spouse, Sales, Husband, White, Male,0,0,50, United-States, >50K
43, Local-gov, Prof-school, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,54, United-States, >50K
46, Private, HS-grad, Married-civ-spouse, Transport-moving, Not-in-family, White, Male,0,0,40, United-States, <=50K
