35, Self-emp-not-inc, Bachelors, Married-civ-spouse, Craft-repair, Unmarried, Black, Male,0,0,50, United-States, >50K
36, Private, Bachelors, Divorced, Adm-clerical, Unmarried, White, Male,0,0,60, United-States, <=50K
52, Private, Bachelors, Married-civ-spouse, Craft-repair, Wife, White, Male,0,0,40, United-States, <=50K
27, Private, Bachelors, Never-married, Craft-repair, Not-in-family, White, Male,0,0,40, United-States, <=50K
44, Self-emp-not-inc, HS-grad, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,50, United-States, <=50K
34, Private, Bachelors, Never-married, Sales, Not-in-family, Black, Female,0,0,45, United-States, <=50K
42, Private, Assoc-acdm, Married-civ-spouse, Adm-clerical, Husband, White, Male,7298,0,40, United-States, >50K
43, Local-gov, 9th, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,50, Mexico, <=50K
24, Private, Some-college, Never-married, Craft-repair, Unmarried, White, Female,0,0,40, United-States, <=50K
46, Private, Doctorate, Married-civ-spouse, Exec-managerial, Husband, White, Female,24531,0,35, United-States, >50K
51, Private, HS-grad, Divorced, Adm-clerical, Unmarried, White, Female,0,0,45, United-States, <=50K
36, Self-emp-not-inc, Assoc-voc, Divorced, Exec-managerial, Husband, White, Male,0,0,40, United-States, <=50K
27, Private, Assoc-acdm, Never-married, Prof-specialty, Not-in-family, White, Male,0,0,45, United-States, <=50K
22, Private, HS-grad, Never-married, Sales, Own-child, White, Female,0,0,16, United-States, <=50K
50, Private, Bachelors, Married-civ-spouse, Farming-fishing, Wife, White, Male,0,0,15, Mexico, <=50K
27, Private, Some-college, Married-civ-spouse, Exec-managerial, Own-child, White, Male,0,0,50, United-States, <=50K
43, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,50, United-States, >50K
35, Local-gov, Bachelors, Married-civ-spouse, Sales, Husband, White, Male,0,0,45, United-States, >50K
52, State-gov, HS-grad, Divorced, Craft-repair, Not-in-family, White, Male,0,1884,50, United-States, <=50K
40, Private, HS-grad, Never-married, Other-service, Unmarried, Black, Female,0,0,20, United-States, <=50K
38, Private, Bachelors, Married-civ-spouse, Prof-specialty, Not-in-family, White, Male,15024,0,40, Philippines, >50K
48, Self-emp-not-inc, HS-grad, Married-civ-spouse, Farming-fishing, Not-in-family, White, Male,0,0,60, United-States, >50K
28, Private, Bachelors, Married-civ-spouse, Handlers-cleaners, Own-child, White, Female,0,0,45, United-States, <=50K
45, Private, Doctorate, Never-married, Exec-managerial, Not-in-family, White, Male,0,0,50, United-States, <=50K
47, Self-emp-not-inc, HS-grad, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,48, United-States, >50K
30, Private, HS-grad, Never-married, Prof-specialty, Husband, White, Female,0,0,84, United-States, <=50K
43, Self-emp-inc, Doctorate, Married-civ-spouse, Tech-support, Husband, White, Female,0,3115,45, United-States, >50K
37, Local-gov, 9th, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,0,0,40, Mexico, >50K
41, Federal-gov, 5th-6th, Divorced, Prof-specialty, Own-child, White, Female,0,0,40, United-States, <=50K
31, Self-emp-not-inc, HS-grad, Married-civ-spouse, Handlers-cleaners, Unmarried, White, Male,0,0,60, United-States, >50K
34, Private, Some-college, Married-civ-spouse, Sales, Husband, White, Male,0,0,40, United-States, <=50K
65, Self-emp-inc, HS-grad, Divorced, Exec-managerial, Not-in-family, Amer-Indian-Eskimo, Male,0,0,40, United-States, <=50K
30, Self-emp-not-inc, Some-college, Never-married, Transport-moving, Not-in-family, White, Female,0,0,20, United-States, <=50K
46, Self-emp-not-inc, HS-grad, Married-civ-spouse, Sales, Husband, White, Male,0,0,84, United-States, <=50K
22, State-gov, Some-college, Never-married, Craft-repair, Not-in-family, White, Male,0,0,40, United-States, <=50K
43, Self-emp-not-inc, HS-grad, Never-married, Craft-repair, Other-relative, White, Male,0,1902,50, United-States, >50K
40, Self-emp-not-inc, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,54, United-States, <=50K
40, Without-pay, Masters, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,35, United-States, <=50K
25, Private, Assoc-acdm, Divorced, Other-service, Not-in-family, White, Male,0,0,20, United-States, <=50K
51, Private, HS-grad, Married-civ-spouse, Sales, Husband, White, Male,0,0,45, United-States, <=50K
18, Private, Some-college, Never-married, Machine-op-inspct, Own-child, White, Female,0,0,30, United-States, <=50K
37, Self-emp-not-inc, HS-grad, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,50, United-States, >50K
17, Private, 11th, Never-married, Other-service, Own-child, White, Male,0,0,15, United-States, <=50K
20, Private, HS-grad, Never-married, Sales, Husband, White, Female,0,0,15, United-States, <=50K
32, Self-emp-not-inc, HS-grad, Never-married, Other-service, Unmarried, White, Male,0,0,40, United-States, <=50K
54, Private, Masters, Married-civ-spouse, Sales, Not-in-family, White, Male,0,0,54, United-States, <=50K
49, Private, 9th, Separated, Farming-fishing, Not-in-family, Black, Female,0,0,40, United-States, <=50K
62, Self-emp-not-inc, HS-grad, Never-married, Sales, Not-in-family, White, Male,0,0,20, Mexico, <=50K
19, Self-emp-not-inc, Masters, Never-married, Other-service, Own-child, White, Male,0,0,16, United-States, <=50K
37, Private, Bachelors, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,42, United-States, <=50K
42, State-gov, HS-grad, Married-civ-spouse, Prof-specialty, Husband, Black, Female,3103,0,40, United-States, <=50K
72, Private, HS-grad, Widowed, Craft-repair, Not-in-family, White, Female,0,0,40, United-States, <=50K
24, Local-gov, 5th-6th, Never-married, Machine-op-inspct, Own-child, White, Male,0,0,50, United-States, <=50K
17, Private, 11th, Never-married, Other-service, Own-child, White, Male,0,0,15, United-States, <=50K
39, State-gov, Bachelors, Never-married, Exec-managerial, Not-in-family, White, Male,10591,0,50, United-States, <=50K
40, Private, 10th, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,30, United-States, <=50K
55, Local-gov, HS-grad, Divorced, Tech-support, Unmarried, White, Female,0,0,35, United-States, <=50K
59, Private, HS-grad, Married-civ-spouse, Machine-op-inspct, Wife, White, Female,0,0,40, United-States, >50K
44, Self-emp-not-inc, HS-grad, Married-civ-spouse, Machine-op-inspct, Husband, Black, Male,0,1740,40, United-States, >50K
39, Private, Bachelors, Divorced, Tech-support, Not-in-family, White, Male,0,0,40, United-States, <=50K
27, Private, Some-college, Never-married, Other-service, Own-child, White, Female,0,0,15, United-States, <=50K
21, Private, Bachelors, Never-married, Handlers-cleaners, Not-in-family, White, Male,0,0,40, United-States, <=50K
49, Private, Some-college, Divorced, Sales, Husband, White, Female,0,0,60, United-States, <=50K
21, Private, Bachelors, Divorced, Adm-clerical, Own-child, White, Male,0,0,35, United-States, >50K
37, Local-gov, 11th, Married-civ-spouse, Craft-repair, Not-in-family, White, Male,0,0,45, United-States, <=50K
24, Local-gov, Assoc-acdm, Never-married, Adm-clerical, Not-in-family, Black, Male,0,0,38, United-States, <=50K
59, Private, Some-college, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, United-States, <=50K
49, Private, Assoc-acdm, Never-married, Other-service, Unmarried, Black, Female,0,0,40, United-States, <=50K
47, State-gov, HS-grad, Married-civ-spouse, Adm-clerical, Husband, White, Male,0,0,40, United-States, >50K
30, Self-emp-not-inc, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,1887,50, United-States, >50K
37, Private, Some-college, Divorced, Exec-managerial, Not-in-family, White, Male,0,1976,35, United-States, >50K
34, Self-emp-not-inc, HS-grad, Married-civ-spouse, Sales, Husband, White, Male,0,0,60, United-States, >50K
35, Local-gov, HS-grad, Married-civ-spouse, Protective-serv, Husband, White, Male,0,0,40, United-States, <=50K
21, Private, Bachelors, Married-civ-spouse, Machine-op-inspct, Not-in-family, White, Male,0,0,40, United-States, <=50K
34, Self-emp-not-inc, Bachelors, Married-civ-spouse, Exec-managerial, Own-child, Other, Female,0,0,70, United-States, <=50K
29, Private, Bachelors, Married-civ-spouse, Sales, Husband, White, Female,0,0,50, United-States, <=50K
64, Self-emp-not-inc, Bachelors, Widowed, Machine-op-inspct, Not-in-family, Black, Female,0,0,8, United-States, <=50K
60, Self-emp-not-inc, Some-college, Married-civ-spouse, Protective-serv, Not-in-family, White, Male,0,0,40, United-States, <=50K
24, Private, Bachelors, Never-married, Machine-op-inspct, Not-in-family, White, Male,0,0,50, United-States, <=50K
22, Private, Masters, Never-married, Sales, Own-child, White, Male,0,0,40, United-States, <=50K
28, Private, 5th-6th, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, <=50K
43, Private, Masters, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, <=50K
39, Private, Assoc-acdm, Separated, Exec-managerial, Unmarried, White, Female,0,0,40, United-States, <=50K
23, Private, HS-grad, Never-married, Adm-clerical, Not-in-family, White, Female,4386,0,40, United-States, <=50K
32, State-gov, HS-grad, Never-married, Handlers-cleaners, Unmarried, White, Male,0,0,40, United-States, <=50K
20, Private, 11th, Never-married, Sales, Own-child, White, Male,0,0,35, United-States, <=50K
45, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, >50K
28, Private, HS-grad, Never-married, Adm-clerical, Not-in-family, Black, Female,0,0,40, United-States, <=50K
66, Private, Doctorate, Married-civ-spouse, Exec-managerial, Not-in-family, White, Male,0,2530,40, United-States, >50K
63, Private, HS-grad, Widowed, Protective-serv, Unmarried, White, Male,0,0,40, United-States, >50K
67, Private, Bachelors, Widowed, Tech-support, Unmarried, White, Male,8227,0,20, United-States, >50K
24, Private, 11th, Married-civ-spouse, Handlers-cleaners, Not-in-family, White, Male,3377,0,50, United-States, <=50K
27, Private, Bachelors, Never-married, Exec-managerial, Not-in-family, White, Male,0,0,60, United-States, <=50K
59, Private, Bachelors, Married-civ-spouse, Other-service, Husband, White, Male,0,0,45, United-States, >50K
32, Private, HS-grad, Never-married, Craft-repair, Unmarried, Black, Female,4342,0,40, United-States, <=50K
52, Self-emp-not-inc, Some-college, Married-civ-spouse, Craft-repair, Not-in-family, White, Male,0,0,40, United-States, >50K
36, Private, Some-college, Separated, Sales, Not-in-family, White, Male,0,0,40, United-States, <=50K
36, Local-gov, 1st-4th, Never-married, Adm-clerical, Wife, White, Male,2174,0,35, United-States, <=50K
30, Private, Assoc-voc, Divorced, Prof-specialty, Not-in-family, White, Male,0,0,36, United-States, <=50K
42, Local-gov, Some-college, Married-civ-spouse, Adm-clerical, Unmarried, White, Female,0,0,36, United-States, >50K
44, Private, Some-college, Separated, Transport-moving, Not-in-family, White, Male,0,0,25, United-States, <=50K
35, Private, Some-college, Married-civ-spouse, Craft-repair, Husband, Asian-Pac-Islander, Male,0,0,40, United-States, >50K
41, Private, Some-college, Married-civ-spouse, Sales, Husband, White, Male,0,0,40, United-States, >50K
23, Private, Bachelors, Never-married, Exec-managerial, Not-in-family, White, Female,0,0,40, United-States, <=50K
64, Private, Some-college, Married-civ-spouse, Other-service, Not-in-family, White, Male,0,0,20, United-States, >50K
22, Local-gov, Bachelors, Married-civ-spouse, Sales, Husband, White, Male,0,0,45, United-States, <=50K
19, Private, 10th, Never-married, Adm-clerical, Own-child, White, Male,0,0,15, United-States, <=50K
42, Private, Some-college, Never-married, Prof-specialty, Not-in-family, White, Female,0,0,40, United-States, <=50K
25, Private, HS-grad, Married-civ-spouse, Transport-moving, Unmarried, White, Male,0,0,40, United-States, <=50K
22, Self-emp-not-inc, Bachelors, Never-married, Transport-moving, Not-in-family, White, Male,0,0,35, United-States, <=50K
29, Private, HS-grad, Never-married, Craft-repair, Not-in-family, White, Male,0,0,48, Laos, <=50K
48, Private, Bachelors, Divorced, Craft-repair, Husband, White, Male,0,0,40, United-States, >50K
53, Private, HS-grad, Divorced, Adm-clerical, Husband, White, Male,2765,0,40, United-States, <=50K
40, Private, Some-college, Divorced, Sales, Not-in-family, White, Male,0,0,40, United-States, <=50K
38, Self-emp-not-inc, Masters, Married-civ-spouse, Sales, Husband, White, Male,0,0,50, United-States, <=50K
60, Self-emp-not-inc, Some-college, Married-civ-spouse, Farming-fishing, Not-in-family, White, Male,0,0,75, United-States, >50K
38, Private, Some-college, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,0,0,40, United-States, <=50K
31, Private, Bachelors, Never-married, Adm-clerical, Own-child, White, Male,0,0,54, United-States, <=50K
21, Private, Some-college, Never-married, Other-service, Own-child, White, Male,0,0,24, United-States, <=50K
75, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,30, United-States, <=50K
29, Self-emp-not-inc, Assoc-acdm, Never-married, Craft-repair, Husband, White, Male,0,0,50, United-States, <=50K
21, Private, Assoc-voc, Married-civ-spouse, Handlers-cleaners, Own-child, White, Male,0,0,40, United-States, <=50K
27, Private, HS-grad, Never-married, Prof-specialty, Own-child, White, Female,0,0,35, Yugoslavia, <=50K
30, Private, Assoc-voc, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, United-States, >50K
21, Private, Some-college, Never-married, Sales, Husband, White, Male,0,0,45, Columbia, <=50K
24, Private, HS-grad, Married-civ-spouse, Sales, Husband, White, Male,0,0,40, United-States, <=50K
35, Private, Assoc-voc, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,54, United-States, >50K
24, Local-gov, Some-college, Married-civ-spouse, Sales, Not-in-family, White, Male,0,0,40, United-States, <=50K
52, Private, Some-college, Never-married, Sales, Wife, White, Male,0,0,40, United-States, <=50K
38, Private, Assoc-voc, Divorced, Adm-clerical, Not-in-family, White, Male,0,0,50, Jamaica, <=50K
20, Private, Bachelors, Never-married, Adm-clerical, Other-relative, White, Male,0,0,30, United-States, <=50K
35, Private, Some-college, Married-civ-spouse, Exec-managerial, Not-in-family, White, Male,7298,0,60, United-States, >50K
38, Private, HS-grad, Married-civ-spouse, Exec-managerial, Wife, White, Male,0,0,40, United-States, <=50K
58, Private, 1st-4th, Married-civ-spouse, Exec-managerial, Not-in-family, White, Male,0,0,72, United-States, >50K
40, State-gov, Masters, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,7298,0,40, United-States, >50K
56, Private, Some-college, Separated, Prof-specialty, Wife, White, Male,0,0,40, United-States, <=50K
34, Federal-gov, Masters, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,0,0,40, Columbia, <=50K
48, Private, Masters, Married-civ-spouse, Craft-repair, Husband, White, Male,5069,0,50, United-States, >50K
41, State-gov, 10th, Married-civ-spouse, Craft-repair, Not-in-family, White, Male,0,0,35, United-States, <=50K
22, Private, Some-college, Never-married, Other-service, Own-child, White, Female,0,0,12, United-States, <=50K
46, Private, 7th-8th, Married-civ-spouse, Prof-specialty, Own-child, White, Male,0,0,50, United-States, <=50K
26, Private, Bachelors, Married-civ-spouse, Farming-fishing, Own-child, White, Female,0,0,75, United-States, <=50K
25, Private, HS-grad, Never-married, Craft-repair, Own-child, Asian-Pac-Islander, Female,0,0,40, United-States, <=50K
31, Private, Some-college, Never-married, Adm-clerical, Not-in-family, White, Male,0,0,40, United-States, <=50K
20, Private, HS-grad, Never-married, Tech-support, Own-child, White, Male,0,0,40, United-States, <=50K
36, Private, 11th, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,54, United-States, >50K
37, Private, HS-grad, Married-civ-spouse, Sales, Husband, White, Female,0,0,50, Portugal, >50K
23, Private, Bachelors, Married-civ-spouse, Adm-clerical, Own-child, White, Male,0,0,40, United-States, <=50K
17, Private, 10th, Never-married, Other-service, Own-child, White, Male,0,0,25, United-States, <=50K
20, Private, Assoc-acdm, Never-married, Handlers-cleaners, Own-child, White, Male,0,0,30, United-States, <=50K
47, Self-emp-not-inc, HS-grad, Divorced, Prof-specialty, Not-in-family, White, Male,0,0,48, United-States, <=50K
36, Private, Some-college, Never-married, Other-service, Unmarried, White, Male,0,0,30, United-States, <=50K
45, Private, Assoc-acdm, Divorced, Craft-repair, Not-in-family, Black, Female,0,0,40, United-States, <=50K
24, State-gov, HS-grad, Never-married, Other-service, Own-child, White, Male,0,0,30, United-States, <=50K
57, Self-emp-not-inc, Bachelors, Separated, Sales, Husband, White, Male,0,0,60, United-States, >50K
31, Private, 5th-6th, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,50, United-States, <=50K
31, Private, Bachelors, Married-civ-spouse, Sales, Husband, White, Male,0,0,40, United-States, >50K
22, Private, 11th, Never-married, Prof-specialty, Own-child, White, Male,0,0,16, United-States, <=50K
48, Local-gov, Some-college, Divorced, Prof-specialty, Not-in-family, White, Female,0,1740,32, United-States, <=50K
51, Self-emp-not-inc, Some-college, Divorced, Craft-repair, Unmarried, White, Male,0,0,35, United-States, <=50K
63, Self-emp-not-inc, Assoc-voc, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,50, United-States, >50K
47, Self-emp-inc, HS-grad, Divorced, Exec-managerial, Husband, White, Female,0,0,40, United-States, <=50K
46, Private, 7th-8th, Married-civ-spouse, Machine-op-inspct, Husband, White, Female,0,0,40, United-States, >50K
31, Self-emp-not-inc, Prof-school, Never-married, Farming-fishing, Not-in-family, White, Male,0,0,99, United-States, <=50K
29, Private, Assoc-voc, Never-married, Craft-repair, Unmarried, White, Male,0,0,40, United-States, <=50K
55, Private, 7th-8th, Divorced, Adm-clerical, Not-in-family, White, Male,0,0,40, United-States, <=50K
20, Private, Some-college, Never-married, Craft-repair, Own-child, White, Female,0,0,40, United-States, <=50K
32, Private, Bachelors, Divorced, Craft-repair, Own-child, White, Male,0,0,40, United-States, <=50K
54, Private, Bachelors, Never-married, Craft-repair, Husband, White, Male,15024,0,40, Peru, >50K
31, Private, 10th, Never-married, Other-service, Unmarried, White, Female,0,0,26, United-States, <=50K
33, Private, HS-grad, Never-married, Sales, Husband, White, Male,0,0,40, United-States, <=50K
29, Local-gov, HS-grad, Never-married, Machine-op-inspct, Not-in-family, White, Female,0,0,40, Poland, <=50K
37, Private, Masters, Never-married, Tech-support, Not-in-family, White, Female,0,0,56, United-States, <=50K
53, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,45, United-States, <=50K
21, Private, Assoc-voc, Never-married, Other-service, Other-relative, White, Male,0,0,30, United-States, <=50K
36, Private, Bachelors, Married-civ-spouse, Handlers-cleaners, Not-in-family, White, Male,0,0,40, United-States, >50K
22, Private, Prof-school, Divorced, Sales, Own-child, White, Female,0,0,35, United-States, <=50K
31, Private, HS-grad, Never-married, Handlers-cleaners, Unmarried, White, Female,0,0,40, United-States, <=50K
59, Private, Bachelors, Married-civ-spouse, Sales, Not-in-family, White, Female,0,0,40, United-States, >50K
50, Self-emp-inc, HS-grad, Divorced, Prof-specialty, Own-child, White, Female,0,0,54, United-States, <=50K
43, Private, 5th-6th, Married-civ-spouse, Adm-clerical, Not-in-family, White, Female,0,0,40, United-States, <=50K
22, Private, Some-college, Married-civ-spouse, Adm-clerical, Husband, White, Male,0,0,40, Dominican-Republic, <=50K
56, Local-gov, Bachelors, Married-civ-spouse, Adm-clerical, Wife, White, Male,0,0,40, United-States, >50K
24, Private, Doctorate, Never-married, Machine-op-inspct, Husband, White, Male,0,0,12, United-States, <=50K
26, Private, HS-grad, Never-married, Exec-managerial, Own-child, White, Male,0,0,40, United-States, <=50K
43, Federal-gov, 9th, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,50, United-States, <=50K
39, Self-emp-inc, Prof-school, Married-civ-spouse, Prof-specialty, Not-in-family, White, Male,99999,0,65, United-States, >50K
36, Private, Some-college, Divorced, Handlers-cleaners, Unmarried, White, Female,0,0,40, United-States, <=50K
19, Private, HS-grad, Never-married, Prof-specialty, Own-child, White, Female,0,0,40, United-States, <=50K
37, Self-emp-not-inc, HS-grad, Married-civ-spouse, Sales, Husband, White, Male,0,0,70, United-States, >50K
17, Private, 11th, Never-married, Other-service, Own-child, White, Male,0,0,40, United-States, <=50K
55, Private, Bachelors, Married-civ-spouse, Sales, Husband, White, Male,0,0,40, United-States, >50K
47, Private, Some-college, Divorced, Prof-specialty, Not-in-family, White, Female,0,0,54, United-States, <=50K
