25, Private, Bachelors, Never-married, Adm-clerical, Wife, Amer-Indian-Eskimo, Male,0,0,40, Ecuador, <=50K
45, Private, HS-grad, Divorced, Exec-managerial, Not-in-family, White, Male,0,0,50, Columbia, <=50K
36, Private, Bachelors, Never-married, Handlers-cleaners, Not-in-family, Black, Female,0,0,40, France, <=50K
49, Private, Bachelors, Divorced, Prof-specialty, Unmarried, Other, Male,0,0,13, El-Salvador, <=50K
61, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, Black, Female,0,0,40, Haiti, <=50K
53, Private, HS-grad, Widowed, Adm-clerical, Unmarried, Black, Female,0,0,30, Canada, <=50K
68, Self-emp-inc, HS-grad, Married-civ-spouse, Exec-managerial, Husband, Black, Male,0,0,40, Canada, >50K
40, State-gov, Some-college, Married-civ-spouse, Exec-managerial, Wife, Asian-Pac-Islander, Female,0,0,40, Yugoslavia, <=50K
29, Private, HS-grad, Married-civ-spouse, Exec-managerial, Own-child, Other, Male,0,0,40, United-States, <=50K
27, Local-gov, Some-college, Never-married, Sales, Own-child, Amer-Indian-Eskimo, Female,0,0,40, United-States, <=50K
62, Self-emp-inc, Some-college, Married-civ-spouse, Sales, Husband, Black, Male,0,0,40, France, <=50K
39, Private, Some-college, Divorced, Craft-repair, Not-in-family, Black, Female,0,0,40, Hong, <=50K
22, Private, Bachelors, Never-married, Prof-specialty, Not-in-family, White, Male,0,0,25, Hungary, <=50K
41, State-gov, HS-grad, Never-married, Prof-specialty, Wife, Amer-Indian-Eskimo, Male,0,0,30, England, <=50K
57, Private, Bachelors, Never-married, Handlers-cleaners, Unmarried, Black, Female,0,0,40, Ecuador, <=50K
28, Self-emp-not-inc, Some-college, Never-married, Sales, Own-child, White, Female,0,0,1, South, <=50K
47, Local-gov, Assoc-voc, Separated, Adm-clerical, Unmarried, Other, Male,0,0,32, Philippines, <=50K
34, Private, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Female,0,1977,45, Philippines, >50K
50, Private, Some-college, Married-civ-spouse, Sales, Husband, Amer-Indian-Eskimo, Male,0,0,40, Guatemala, <=50K
61, Private, Assoc-voc, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, Portugal, <=50K
57, Private, Assoc-voc, Divorced, Machine-op-inspct, Unmarried, Other, Male,0,0,40, United-States, <=50K
40, Federal-gov, Assoc-voc, Married-civ-spouse, Prof-specialty, Wife, Asian-Pac-Islander, Male,0,0,40, Germany, >50K
43, Local-gov, Bachelors, Never-married, Prof-specialty, Own-child, Black, Female,99999,0,40, Ireland, >50K
48, Local-gov, HS-grad, Widowed, Machine-op-inspct, Not-in-family, Amer-Indian-Eskimo, Male,0,0,40, Puerto-Rico, <=50K
23, Private, Bachelors, Separated, Prof-specialty, Unmarried, Other, Male,0,0,60, Peru, <=50K
43, Private, HS-grad, Divorced, Sales, Not-in-family, Black, Male,0,0,40, Iran, <=50K
49, Self-emp-inc, HS-grad, Married-civ-spouse, Craft-repair, Husband, Other, Female,0,0,60, Yugoslavia, <=50K
22, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, Dominican-Republic, <=50K
55, Private, HS-grad, Never-married, Craft-repair, Not-in-family, Black, Female,0,0,40, El-Salvador, <=50K
19, Private, 12th, Never-married, Other-service, Own-child, Black, Female,0,0,24, Japan, <=50K
51, Private, Some-college, Married-civ-spouse, Prof-specialty, Not-in-family, Other, Female,3737,0,40, South, <=50K
59, State-gov, HS-grad, Never-married, Craft-repair, Husband, Black, Male,0,0,40, Ecuador, <=50K
45, Self-emp-inc, 11th, Married-civ-spouse, Tech-support, Husband, White, Female,0,1977,40, Outlying-US(Guam-USVI-etc), >50K
44, Private, HS-grad, Divorced, Craft-repair, Not-in-family, Asian-Pac-Islander, Female,9172,0,40, Peru, >50K
60, Private, Masters, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,40, United-States, >50K
78, Self-emp-not-inc, Some-college, Married-civ-spouse, Exec-managerial, Husband, Black, Female,0,0,40, United-States, <=50K
35, Private, 12th, Married-civ-spouse, Craft-repair, Own-child, White, Female,0,0,25, England, <=50K
38, Private, Bachelors, Never-married, Sales, Not-in-family, Asian-Pac-Islander, Male,0,0,50, China, <=50K
45, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Female,0,0,40, Yugoslavia, >50K
26, Private, Some-college, Never-married, Prof-specialty, Not-in-family, Amer-Indian-Eskimo, Female,0,0,35, United-States, <=50K
25, Private, HS-grad, Never-married, Machine-op-inspct, Not-in-family, Amer-Indian-Eskimo, Female,0,0,50, Honduras, <=50K
41, Private, HS-grad, Married-civ-spouse, Prof-specialty, Wife, White, Male,0,0,25, Trinadad&Tobago, <=50K
48, Self-emp-inc, Masters, Married-civ-spouse, Sales, Husband, White, Male,99999,0,48, Hungary, >50K
33, Private, Bachelors, Never-married, Exec-managerial, Not-in-family, Asian-Pac-Islander, Female,0,0,60, United-States, <=50K
54, Federal-gov, Some-college, Married-civ-spouse, Craft-repair, Wife, White, Male,0,0,40, Peru, <=50K
23, Private, Assoc-voc, Never-married, Adm-clerical, Not-in-family, White, Male,0,0,40, Japan, <=50K
29, Private, HS-grad, Divorced, Sales, Not-in-family, White, Male,0,0,50, Greece, <=50K
21, Private, HS-grad, Married-civ-spouse, Protective-serv, Husband, White, Female,0,0,40, Guatemala, <=50K
46, Self-emp-not-inc, Some-college, Married-civ-spouse, Exec-managerial, Husband, Asian-Pac-Islander, Male,0,1887,40, Mexico, >50K
36, Private, HS-grad, Married-civ-spouse, Exec-managerial, Husband, Other, Male,0,0,43, Philippines, >50K
40, Local-gov, Assoc-acdm, Married-civ-spouse, Farming-fishing, Wife, Asian-Pac-Islander, Female,0,0,40, Cuba, <=50K
33, Private, HS-grad, Divorced, Adm-clerical, Unmarried, Amer-Indian-Eskimo, Male,0,0,40, Peru, <=50K
32, Private, Bachelors, Married-civ-spouse, Exec-managerial, Wife, White, Female,0,0,40, England, <=50K
44, Private, Bachelors, Divorced, Adm-clerical, Not-in-family, Asian-Pac-Islander, Male,0,0,35, United-States, <=50K
38, Private, HS-grad, Never-married, Tech-support, Unmarried, Asian-Pac-Islander, Male,0,0,35, Ecuador, <=50K
41, Private, HS-grad, Never-married, Sales, Unmarried, Amer-Indian-Eskimo, Female,0,0,40, Haiti, <=50K
31, Private, Bachelors, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, >50K
40, Local-gov, Assoc-voc, Married-civ-spouse, Transport-moving, Husband, Asian-Pac-Islander, Female,0,2099,40, China, <=50K
38, Private, Some-college, Married-civ-spouse, Craft-repair, Own-child, Asian-Pac-Islander, Female,0,0,32, Ecuador, >50K
33, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, Asian-Pac-Islander, Female,0,0,40, India, >50K
70, Private, HS-grad, Married-civ-spouse, Craft-repair, Unmarried, Asian-Pac-Islander, Female,0,0,5, Mexico, <=50K
48, Self-emp-inc, Bachelors, Married-civ-spouse, Handlers-cleaners, Husband, Asian-Pac-Islander, Male,0,0,50, United-States, <=50K
40, Private, Bachelors, Never-married, Protective-serv, Not-in-family, White, Male,0,0,50, United-States, <=50K
46, Private, HS-grad, Married-civ-spouse, Tech-support, Husband, Other, Male,0,0,40, Cuba, <=50K
41, Private, HS-grad, Married-civ-spouse, Exec-managerial, Husband, Amer-Indian-Eskimo, Male,0,0,60, Columbia, <=50K
51, Private, Masters, Married-civ-spouse, Exec-managerial, Own-child, Other, Female,4921,0,50, Italy, >50K
40, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, Black, Male,0,0,60, United-States, <=50K
50, Local-gov, Bachelors, Married-civ-spouse, Sales, Husband, Asian-Pac-Islander, Male,5013,0,40, Hong, >50K
48, State-gov, HS-grad, Divorced, Adm-clerical, Not-in-family, White, Male,0,0,45, Hong, <=50K
46, Private, Bachelors, Never-married, Prof-specialty, Own-child, Amer-Indian-Eskimo, Female,0,0,40, United-States, <=50K
50, Private, HS-grad, Married-civ-spouse, Protective-serv, Wife, Amer-Indian-Eskimo, Female,0,0,40, China, <=50K
48, Private, HS-grad, Divorced, Other-service, Unmarried, White, Male,0,0,40, Germany, <=50K
44, Private, HS-grad, Married-civ-spouse, Handlers-cleaners, Wife, White, Female,0,0,40, United-States, <=50K
36, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, United-States, >50K
55, Self-emp-inc, HS-grad, Separated, Craft-repair, Not-in-family, White, Male,0,0,48, United-States, <=50K
66, Private, HS-grad, Never-married, Prof-specialty, Husband, White, Male,0,1579,3, United-States, <=50K
49, Private, Bachelors, Never-married, Transport-moving, Not-in-family, White, Female,0,0,56, Guatemala, <=50K
46, Local-gov, Assoc-voc, Married-civ-spouse, Machine-op-inspct, Husband, Black, Male,0,0,50, Columbia, >50K
27, Federal-gov, Assoc-acdm, Never-married, Sales, Own-child, Other, Female,0,0,40, Outlying-US(Guam-USVI-etc), <=50K
45, Private, HS-grad, Divorced, Other-service, Wife, White, Male,0,0,30, United-States, <=50K
22, Private, Some-college, Never-married, Sales, Own-child, Amer-Indian-Eskimo, Male,0,0,40, United-States, <=50K
28, Private, HS-grad, Married-civ-spouse, Exec-managerial, Husband, Amer-Indian-Eskimo, Male,0,0,42, Mexico, >50K
21, Private, Some-college, Never-married, Transport-moving, Own-child, White, Male,0,0,32, United-States, <=50K
26, Private, HS-grad, Never-married, Sales, Not-in-family, Other, Male,0,0,40, Greece, <=50K
41, State-gov, Prof-school, Married-civ-spouse, Exec-managerial, Husband, Black, Male,0,0,45, Hungary, >50K
34, Private, HS-grad, Separated, Adm-clerical, Unmarried, White, Female,0,0,35, United-States, <=50K
34, Self-emp-not-inc, HS-grad, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, United-States, <=50K
25, Without-pay, Some-college, Never-married, Prof-specialty, Not-in-family, White, Male,0,2419,40, Hungary, <=50K
49, Private, Bachelors, Divorced, Handlers-cleaners, Not-in-family, Black, Male,0,0,40, England, <=50K
50, Private, HS-grad, Widowed, Sales, Not-in-family, Other, Male,0,0,13, Haiti, <=50K
60, Private, Some-college, Divorced, Craft-repair, Not-in-family, Other, Female,0,0,45, United-States, <=50K
25, Private, Masters, Married-civ-spouse, Prof-specialty, Own-child, White, Male,0,0,40, United-States, <=50K
44, Private, HS-grad, Never-married, Craft-repair, Husband, White, Male,0,0,40, Scotland, <=50K
32, Private, Bachelors, Never-married, Sales, Husband, Black, Male,0,0,50, United-States, <=50K
33, Private, HS-grad, Never-married, Other-service, Wife, Other, Male,0,0,35, United-States, <=50K
43, Private, Masters, Married-civ-spouse, Tech-support, Husband, Asian-Pac-Islander, Male,0,0,50, Thailand, >50K
25, Private, Bachelors, Never-married, Handlers-cleaners, Not-in-family, Amer-Indian-Eskimo, Male,2457,0,40, United-States, <=50K
35, Private, HS-grad, Never-married, Protective-serv, Unmarried, Amer-Indian-Eskimo, Male,0,0,40, China, <=50K
29, Private, HS-grad, Never-married, Handlers-cleaners, Own-child, Other, Male,0,0,40, United-States, <=50K
28, Private, Bachelors, Never-married, Adm-clerical, Not-in-family, White, Female,0,0,50, South, <=50K
30, State-gov, HS-grad, Never-married, Protective-serv, Not-in-family, Amer-Indian-Eskimo, Female,0,0,40, Japan, <=50K
28, Private, HS-grad, Never-married, Craft-repair, Own-child, Black, Female,0,0,20, Philippines, <=50K
65, Federal-gov, 7th-8th, Married-civ-spouse, Other-service, Husband, White, Male,0,0,40, United-States, <=50K
49, Private, HS-grad, Separated, Craft-repair, Unmarried, Amer-Indian-Eskimo, Male,0,0,40, France, <=50K
46, State-gov, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,60, Iran, >50K
26, Private, 10th, Never-married, Prof-specialty, Own-child, Amer-Indian-Eskimo, Female,0,0,40, Haiti, <=50K
40, Local-gov, HS-grad, Married-civ-spouse, Transport-moving, Unmarried, Black, Female,0,0,40, Scotland, <=50K
38, Private, HS-grad, Never-married, Other-service, Wife, Black, Female,0,0,40, Nicaragua, <=50K
53, Self-emp-not-inc, HS-grad, Widowed, Machine-op-inspct, Not-in-family, Amer-Indian-Eskimo, Female,0,0,40, Jamaica, <=50K
23, Private, HS-grad, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,50, South, <=50K
24, Private, HS-grad, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, Cuba, <=50K
37, Private, Bachelors, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,0,0,50, Hungary, >50K
28, Private, Some-college, Never-married, Prof-specialty, Not-in-family, Black, Female,2917,0,40, United-States, <=50K
29, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, Mexico, >50K
28, Local-gov, 11th, Married-civ-spouse, Farming-fishing, Husband, White, Male,0,0,65, Ireland, <=50K
38, Federal-gov, Bachelors, Married-civ-spouse, Adm-clerical, Not-in-family, Amer-Indian-Eskimo, Male,13183,0,40, Philippines, <=50K
25, Private, Some-college, Never-married, Handlers-cleaners, Not-in-family, White, Female,0,0,40, South, <=50K
23, Private, Bachelors, Never-married, Prof-specialty, Own-child, Asian-Pac-Islander, Male,0,0,40, Dominican-Republic, <=50K
30, Self-emp-not-inc, HS-grad, Never-married, Adm-clerical, Not-in-family, White, Female,0,0,40, Outlying-US(Guam-USVI-etc), <=50K
74, Self-emp-not-inc, Doctorate, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, Hungary, <=50K
53, Private, Some-college, Married-civ-spouse, Craft-repair, Husband, White, Female,0,0,40, Hungary, <=50K
23, Private, HS-grad, Never-married, Sales, Not-in-family, Asian-Pac-Islander, Female,0,0,40, Ecuador, <=50K
53, Local-gov, HS-grad, Divorced, Sales, Unmarried, Black, Female,0,0,40, Ireland, <=50K
30, Private, Bachelors, Married-civ-spouse, Prof-specialty, Own-child, Black, Female,0,0,40, Nicaragua, <=50K
36, Self-emp-not-inc, Bachelors, Never-married, Exec-managerial, Unmarried, Amer-Indian-Eskimo, Female,0,0,50, United-States, <=50K
47, Private, Bachelors, Married-civ-spouse, Sales, Husband, Other, Female,6518,0,40, Poland, <=50K
33, Private, HS-grad, Never-married, Craft-repair, Husband, Amer-Indian-Eskimo, Female,0,0,40, Taiwan, <=50K
56, Self-emp-not-inc, Some-college, Married-civ-spouse, Sales, Husband, Amer-Indian-Eskimo, Male,0,0,50, United-States, <=50K
24, Private, HS-grad, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,42, United-States, <=50K
26, Private, HS-grad, Never-married, Sales, Wife, Asian-Pac-Islander, Male,6628,0,40, Laos, >50K
24, Private, Assoc-voc, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, Ecuador, <=50K
43, Private, Masters, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, Vietnam, <=50K
49, Private, Bachelors, Married-civ-spouse, Handlers-cleaners, Husband, Black, Female,0,0,40, Iran, >50K
67, Self-emp-not-inc, HS-grad, Married-civ-spouse, Adm-clerical, Not-in-family, Asian-Pac-Islander, Male,0,0,10, Thailand, <=50K
21, State-gov, HS-grad, Married-civ-spouse, Handlers-cleaners, Own-child, White, Male,0,0,40, Outlying-US(Guam-USVI-etc), <=50K
24, Private, Bachelors, Married-civ-spouse, Tech-support, Own-child, White, Male,0,0,40, Taiwan, <=50K
52, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, Black, Male,0,0,40, United-States, <=50K
30, Private, HS-grad, Never-married, Exec-managerial, Own-child, Amer-Indian-Eskimo, Female,0,0,40, Japan, <=50K
37, Private, HS-grad, Never-married, Adm-clerical, Unmarried, White, Female,0,0,40, England, <=50K
72, Private, HS-grad, Separated, Sales, Husband, White, Male,0,0,40, United-States, >50K
34, Private, Bachelors, Never-married, Tech-support, Wife, Other, Male,0,0,40, Japan, >50K
32, Private, 11th, Divorced, Machine-op-inspct, Unmarried, Black, Male,5178,0,40, Laos, <=50K
43, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, Other, Male,0,0,40, United-States, >50K
50, Private, Bachelors, Married-civ-spouse, Prof-specialty, Husband, Black, Male,0,0,40, Taiwan, >50K
25, Private, Bachelors, Married-civ-spouse, Machine-op-inspct, Own-child, Asian-Pac-Islander, Female,0,0,32, Puerto-Rico, >50K
28, Private, Some-college, Never-married, Craft-repair, Unmarried, Other, Female,0,0,40, Hong, <=50K
56, Private, Some-college, Never-married, Sales, Husband, White, Male,0,0,50, France, <=50K
50, Local-gov, 7th-8th, Separated, Craft-repair, Unmarried, Asian-Pac-Islander, Male,0,0,50, Japan, <=50K
19, Private, HS-grad, Never-married, Sales, Other-relative, Other, Male,0,0,20, Puerto-Rico, <=50K
35, Local-gov, Some-college, Never-married, Adm-clerical, Own-child, White, Female,0,0,50, United-States, >50K
40, Private, HS-grad, Married-civ-spouse, Transport-moving, Husband, Black, Male,0,0,40, Thailand, <=50K
46, Private, Some-college, Married-civ-spouse, Exec-managerial, Husband, Amer-Indian-Eskimo, Male,15024,0,40, United-States, >50K
44, Private, Some-college, Separated, Sales, Unmarried, Amer-Indian-Eskimo, Male,0,0,20, Philippines, <=50K
27, Private, HS-grad, Never-married, Farming-fishing, Own-child, White, Female,0,0,40, England, <=50K
46, Private, Some-college, Married-civ-spouse, Machine-op-inspct, Husband, Amer-Indian-Eskimo, Male,0,0,40, Taiwan, >50K
27, Federal-gov, Bachelors, Never-married, Sales, Own-child, White, Male,0,0,40, United-States, <=50K
45, Private, 7th-8th, Never-married, Adm-clerical, Own-child, Asian-Pac-Islander, Male,0,0,12, Japan, <=50K
26, Private, Some-college, Never-married, Protective-serv, Not-in-family, Black, Female,0,0,50, Ireland, <=50K
62, Private, HS-grad, Married-civ-spouse, Transport-moving, Husband, Other, Male,0,0,40, United-States, <=50K
59, State-gov, HS-grad, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,40, Yugoslavia, >50K
18, Private, HS-grad, Never-married, Craft-repair, Own-child, Asian-Pac-Islander, Male,0,0,20, Canada, <=50K
27, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, Asian-Pac-Islander, Male,0,0,35, Iran, <=50K
39, Private, Bachelors, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, >50K
27, Private, Some-college, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,50, Hong, <=50K
44, Private, Masters, Married-civ-spouse, Sales, Husband, White, Male,0,0,30, Cuba, <=50K
29, Private, Some-college, Married-civ-spouse, Craft-repair, Own-child, Other, Male,3397,0,40, India, <=50K
23, Private, Some-college, Never-married, Other-service, Not-in-family, White, Male,0,0,35, Vietnam, <=50K
41, Private, HS-grad, Widowed, Craft-repair, Not-in-family, Other, Male,5668,0,45, Scotland, <=50K
34, Private, HS-grad, Never-married, Prof-specialty, Husband, Asian-Pac-Islander, Male,0,0,60, United-States, <=50K
44, Private, Bachelors, Married-civ-spouse, Handlers-cleaners, Husband, Other, Female,0,0,35, Laos, >50K
54, Self-emp-not-inc, Assoc-acdm, Never-married, Adm-clerical, Not-in-family, White, Male,0,1887,35, United-States, <=50K
52, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, Asian-Pac-Islander, Male,3325,0,44, Iran, >50K
32, Private, HS-grad, Married-civ-spouse, Sales, Husband, White, Female,0,0,84, Yugoslavia, <=50K
37, Private, HS-grad, Divorced, Other-service, Not-in-family, White, Male,4973,0,40, Outlying-US(Guam-USVI-etc), <=50K
21, Private, Some-college, Never-married, Sales, Not-in-family, White, Male,0,0,32, Cambodia, <=50K
62, Self-emp-inc, HS-grad, Never-married, Sales, Not-in-family, White, Male,0,0,40, Portugal, <=50K
52, Private, Bachelors, Divorced, Craft-repair, Not-in-family, Other, Male,0,0,40, Hungary, <=50K
18, Private, Some-college, Never-married, Sales, Own-child, White, Male,0,0,15, Philippines, <=50K
56, Private, Some-college, Married-civ-spouse, Sales, Husband, Asian-Pac-Islander, Male,4901,0,40, Poland, >50K
33, Private, Bachelors, Divorced, Adm-clerical, Not-in-family, White, Male,0,0,50, Canada, <=50K
41, Private, Bachelors, Married-civ-spouse, Craft-repair, Husband, Asian-Pac-Islander, Male,0,0,40, United-States, >50K
38, Private, Some-college, Married-civ-spouse, Exec-managerial, Own-child, Asian-Pac-Islander, Male,0,1902,50, United-States, >50K
59, Private, HS-grad, Separated, Exec-managerial, Wife, Black, Male,0,0,40, Laos, <=50K
25, Private, Assoc-acdm, Never-married, Adm-clerical, Unmarried, White, Female,0,0,40, England, <=50K
18, State-gov, Some-college, Never-married, Other-service, Own-child, Other, Female,0,0,5, United-States, <=50K
36, Private, Some-college, Never-married, Protective-serv, Wife, Asian-Pac-Islander, Male,0,0,40, Vietnam, <=50K
30, Federal-gov, HS-grad, Never-married, Handlers-cleaners, Own-child, Black, Male,0,0,40, Cambodia, <=50K
42, Private, HS-grad, Married-civ-spouse, Craft-repair, Not-in-family, Asian-Pac-Islander, Male,0,0,40, South, >50K
54, Self-emp-not-inc, 10th, Divorced, Farming-fishing, Not-in-family, White, Female,0,0,99, Philippines, <=50K
17, Private, 11th, Never-married, Protective-serv, Own-child, White, Female,0,0,12, Honduras, <=50K
58, Private, Assoc-acdm, Married-civ-spouse, Prof-specialty, Wife, White, Male,0,0,40, Nicaragua, <=50K
24, Private, HS-grad, Never-married, Handlers-cleaners, Unmarried, Black, Female,0,0,25, Puerto-Rico, <=50K
77, Local-gov, HS-grad, Widowed, Exec-managerial, Not-in-family, Amer-Indian-Eskimo, Female,0,0,7, Mexico, <=50K
22, Private, HS-grad, Never-married, Adm-clerical, Husband, White, Male,0,0,75, United-States, <=50K
31, Private, HS-grad, Never-married, Transport-moving, Not-in-family, Other, Male,0,0,42, Thailand, <=50K
49, Private, 7th-8th, Divorced, Machine-op-inspct, Not-in-family, Other, Female,0,0,40, Mexico, <=50K
44, Private, HS-grad, Married-civ-spouse, Sales, Wife, White, Female,0,0,40, Columbia, <=50K
35, Private, Bachelors, Divorced, Adm-clerical, Unmarried, Black, Male,0,0,40, Hong, <=50K
31, Private, Bachelors, Never-married, Exec-managerial, Own-child, Other, Male,0,0,40, United-States, <=50K
42, Private, Bachelors, Married-civ-spouse, Handlers-cleaners, Husband, Asian-Pac-Islander, Male,0,0,20, United-States, <=50K
39, Self-emp-not-inc, HS-grad, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, Jamaica, <=50K
47, Private, Some-college, Divorced, Other-service, Unmarried, White, Male,0,0,40, Mexico, <=50K
41, Private, Bachelors, Married-civ-spouse, Exec-managerial, Not-in-family, Amer-Indian-Eskimo, Female,0,0,43, Italy, <=50K
41, State-gov, HS-grad, Married-civ-spouse, Other-service, Husband, White, Male,0,0,40, Hong, <=50K
42, Private, Bachelors, Married-civ-spouse, Prof-specialty, Husband, Amer-Indian-Eskimo, Male,0,0,32, Jamaica, >50K
46, Private, Assoc-acdm, Divorced, Exec-managerial, Not-in-family, Black, Male,0,0,40, Cuba, <=50K
44, Private, Bachelors, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,50, Iran, >50K
51, Local-gov, Assoc-voc, Married-civ-spouse, Prof-specialty, Husband, Black, Male,0,0,40, Iran, >50K
40, Private, Some-college, Married-civ-spouse, Prof-specialty, Husband, Black, Female,0,0,40, Iran, <=50K
55, Self-emp-inc, Some-college, Married-civ-spouse, Farming-fishing, Wife, White, Male,0,0,27, Hong, <=50K
27, Self-emp-not-inc, Bachelors, Never-married, Handlers-cleaners, Own-child, Other, Male,0,0,50, Puerto-Rico, <=50K
31, Private, HS-grad, Divorced, Adm-clerical, Not-in-family, White, Female,0,0,32, United-States, <=50K
37, Private, Assoc-voc, Never-married, Other-service, Unmarried, Black, Female,0,0,40, United-States, <=50K
40, Private, Some-college, Divorced, Adm-clerical, Not-in-family, Other, Male,0,0,40, Japan, <=50K
19, Private, 11th, Never-married, Handlers-cleaners, Own-child, Amer-Indian-Eskimo, Male,0,0,10, United-States, <=50K
20, Private, Assoc-voc, Never-married, Adm-clerical, Not-in-family, Asian-Pac-Islander, Male,0,0,40, Vietnam, <=50K
41, Private, Masters, Married-civ-spouse, Craft-repair, Husband, Black, Female,4801,0,48, India, >50K
34, Private, Bachelors, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,99999,0,48, Mexico, >50K
67, Private, HS-grad, Widowed, Adm-clerical, Not-in-family, Black, Male,0,0,15, China, <=50K
24, Private, 10th, Never-married, Prof-specialty, Own-child, White, Male,0,0,40, United-States, <=50K
38, Private, HS-grad, Married-civ-spouse, Tech-support, Husband, White, Male,0,0,50, United-States, >50K
28, Local-gov, Bachelors, Never-married, Prof-specialty, Not-in-family, White, Female,0,0,40, Cuba, <=50K
33, Private, HS-grad, Married-civ-spouse, Tech-support, Husband, Asian-Pac-Islander, Female,6836,0,45, United-States, <=50K
27, Private, HS-grad, Married-civ-spouse, Exec-managerial, Husband, Other, Female,0,0,50, Trinadad&Tobago, <=50K
27, Private, Bachelors, Never-married, Other-service, Not-in-family, Black, Male,0,0,40, United-States, <=50K
