20, Private, HS-grad, Never-married, Adm-clerical, Wife, Amer-Indian-Eskimo, Male,0,0,30, Dominican-Republic, <=50K
24, Private, Assoc-acdm, Married-civ-spouse, Exec-managerial, Not-in-family, Other, Male,0,0,35, Cuba, <=50K
37, Private, HS-grad, Married-civ-spouse, Craft-repair, Not-in-family, Black, Female,0,0,40, Ecuador, <=50K
27, Private, Assoc-voc, Never-married, Other-service, Own-child, Asian-Pac-Islander, Female,0,0,40, India, <=50K
26, Private, Some-college, Married-civ-spouse, Priv-house-serv, Own-child, Other, Female,0,0,40, Outlying-US(Guam-USVI-etc), <=50K
36, State-gov, HS-grad, Married-civ-spouse, Craft-repair, Husband, Black, Male,0,0,40, Cuba, >50K
60, Self-emp-not-inc, 10th, Married-civ-spouse, Tech-support, Not-in-family, Other, Female,0,0,40, Jamaica, <=50K
62, Private, HS-grad, Divorced, Exec-managerial, Husband, Amer-Indian-Eskimo, Female,0,0,48, Jamaica, >50K
26, Private, Some-college, Married-spouse-absent, Transport-moving, Not-in-family, White, Male,0,0,40, South, >50K
59, Self-emp-not-inc, Some-college, Married-civ-spouse, Exec-managerial, Husband, Black, Female,0,1977,40, Thailand, <=50K
65, Private, 1st-4th, Married-civ-spouse, Adm-clerical, Not-in-family, Other, Female,0,0,36, Ecuador, <=50K
56, Self-emp-inc, HS-grad, Married-civ-spouse, Sales, Husband, Asian-Pac-Islander, Male,0,0,40, Canada, <=50K
23, Private, HS-grad, Divorced, Craft-repair, Not-in-family, Other, Female,0,0,40, Yugoslavia, >50K
42, Private, HS-grad, Married-civ-spouse, Prof-specialty, Husband, Amer-Indian-Eskimo, Female,0,0,50, Taiwan, >50K
43, Private, Masters, Married-civ-spouse, Other-service, Husband, Amer-Indian-Eskimo, Female,0,0,40, Greece, <=50K
29, Private, HS-grad, Married-civ-spouse, Other-service, Own-child, White, Male,0,0,40, Philippines, <=50K
26, Private, HS-grad, Never-married, Transport-moving, Husband, White, Male,0,0,40, Guatemala, >50K
34, Private, Assoc-voc, Never-married, Exec-managerial, Husband, Asian-Pac-Islander, Female,0,0,40, Portugal, <=50K
30, Federal-gov, Some-college, Never-married, Adm-clerical, Wife, White, Male,0,0,24, Jamaica, <=50K
29, Private, 9th, Never-married, Adm-clerical, Husband, White, Male,0,0,45, India, <=50K
52, Private, HS-grad, Divorced, Protective-serv, Husband, White, Male,0,0,35, France, <=50K
82, Private, Assoc-acdm, Married-civ-spouse, Prof-specialty, Husband, Other, Female,0,0,20, Germany, <=50K
47, Self-emp-not-inc, Some-college, Married-civ-spouse, Craft-repair, Unmarried, Asian-Pac-Islander, Female,0,0,40, Ireland, <=50K
56, Private, HS-grad, Married-civ-spouse, Exec-managerial, Unmarried, Other, Male,0,0,40, Japan, >50K
49, Local-gov, 5th-6th, Divorced, Craft-repair, Unmarried, Asian-Pac-Islander, Female,0,0,40, Columbia, <=50K
23, Private, HS-grad, Married-civ-spouse, Adm-clerical, Unmarried, Amer-Indian-Eskimo, Male,0,0,40, Jamaica, <=50K
29, Private, HS-grad, Divorced, Craft-repair, Wife, Other, Female,0,0,40, Ecuador, <=50K
31, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, Asian-Pac-Islander, Male,0,0,77, South, <=50K
32, Private, HS-grad, Married-civ-spouse, Transport-moving, Own-child, Amer-Indian-Eskimo, Male,0,0,40, Cuba, <=50K
22, Private, Bachelors, Never-married, Sales, Own-child, Amer-Indian-Eskimo, Female,0,0,40, Germany, <=50K
60, Private, 9th, Married-civ-spouse, Craft-repair, Husband, White, Female,0,0,50, South, >50K
20, Private, 12th, Never-married, Transport-moving, Own-child, Asian-Pac-Islander, Female,0,0,40, Canada, <=50K
23, Private, Some-college, Never-married, Exec-managerial, Own-child, Asian-Pac-Islander, Female,0,0,60, Dominican-Republic, <=50K
23, Private, HS-grad, Never-married, Adm-clerical, Husband, Amer-Indian-Eskimo, Female,0,0,40, Haiti, <=50K
49, Private, Masters, Married-civ-spouse, Exec-managerial, Not-in-family, Asian-Pac-Islander, Female,0,1902,50, Ireland, >50K
35, Self-emp-inc, Bachelors, Divorced, Exec-managerial, Husband, Asian-Pac-Islander, Male,0,0,50, Trinadad&Tobago, <=50K
19, Private, 11th, Never-married, Prof-specialty, Own-child, White, Male,0,0,20, Trinadad&Tobago, <=50K
43, Private, HS-grad, Divorced, Tech-support, Husband, Black, Female,0,0,40, Columbia, <=50K
21, Private, Bachelors, Never-married, Machine-op-inspct, Wife, Amer-Indian-Eskimo, Female,0,1902,10, China, <=50K
61, Private, Some-college, Married-civ-spouse, Exec-managerial, Unmarried, Black, Female,0,0,40, Hong, >50K
24, Private, HS-grad, Married-civ-spouse, Craft-repair, Own-child, Asian-Pac-Islander, Male,0,0,40, Taiwan, <=50K
21, Private, HS-grad, Never-married, Sales, Own-child, Asian-Pac-Islander, Male,0,0,30, Guatemala, <=50K
33, State-gov, HS-grad, Married-civ-spouse, Craft-repair, Not-in-family, Other, Male,0,0,45, Greece, <=50K
23, Private, HS-grad, Never-married, Other-service, Own-child, Amer-Indian-Eskimo, Female,0,0,30, Thailand, <=50K
23, Private, HS-grad, Never-married, Sales, Unmarried, Amer-Indian-Eskimo, Female,0,0,49, Canada, <=50K
38, Private, HS-grad, Married-civ-spouse, Handlers-cleaners, Unmarried, White, Male,0,0,40, El-Salvador, <=50K
19, Private, HS-grad, Never-married, Other-service, Own-child, Other, Female,0,0,17, Taiwan, <=50K
27, Private, HS-grad, Never-married, Exec-managerial, Not-in-family, Other, Male,0,0,48, South, <=50K
48, Self-emp-inc, Masters, Married-civ-spouse, Exec-managerial, Husband, White, Male,15022,0,40, Taiwan, >50K
34, Private, HS-grad, Never-married, Other-service, Husband, Other, Female,0,0,40, Scotland, >50K
26, Private, HS-grad, Never-married, Tech-support, Husband, White, Female,0,0,40, France, >50K
39, Local-gov, Assoc-acdm, Divorced, Machine-op-inspct, Not-in-family, Black, Male,0,0,40, China, >50K
60, Federal-gov, Assoc-acdm, Married-civ-spouse, Prof-specialty, Husband, Black, Female,15024,0,50, Jamaica, >50K
49, Self-emp-not-inc, HS-grad, Married-civ-spouse, Farming-fishing, Unmarried, Other, Male,0,0,50, Thailand, >50K
21, Private, Some-college, Never-married, Sales, Own-child, Amer-Indian-Eskimo, Male,0,0,30, Portugal, <=50K
36, Private, Prof-school, Divorced, Craft-repair, Own-child, Amer-Indian-Eskimo, Male,0,0,38, Iran, <=50K
24, Self-emp-not-inc, Some-college, Never-married, Transport-moving, Not-in-family, White, Female,0,0,35, Thailand, <=50K
37, Private, HS-grad, Never-married, Sales, Husband, Black, Female,0,0,45, England, <=50K
68, State-gov, Prof-school, Married-civ-spouse, Exec-managerial, Husband, Asian-Pac-Islander, Male,0,0,50, Guatemala, >50K
34, Self-emp-inc, HS-grad, Never-married, Adm-clerical, Unmarried, White, Male,0,0,40, Thailand, >50K
24, Self-emp-not-inc, HS-grad, Never-married, Craft-repair, Not-in-family, White, Male,0,0,50, Taiwan, <=50K
58, Without-pay, Masters, Separated, Prof-specialty, Husband, White, Male,0,0,60, Guatemala, <=50K
19, Private, 11th, Married-civ-spouse, Other-service, Own-child, Asian-Pac-Islander, Male,0,0,12, Ecuador, <=50K
34, Private, HS-grad, Never-married, Sales, Husband, Black, Male,0,0,40, Germany, <=50K
81, Self-emp-inc, Prof-school, Married-civ-spouse, Exec-managerial, Husband, Black, Female,0,0,50, Puerto-Rico, >50K
44, Self-emp-not-inc, Masters, Married-civ-spouse, Prof-specialty, Husband, Other, Male,0,1886,71, Taiwan, >50K
38, Private, Some-college, Separated, Exec-managerial, Not-in-family, Other, Male,0,0,40, Outlying-US(Guam-USVI-etc), <=50K
36, Private, HS-grad, Never-married, Sales, Husband, Asian-Pac-Islander, Male,0,0,40, Poland, <=50K
54, Self-emp-not-inc, Masters, Married-civ-spouse, Prof-specialty, Wife, Black, Male,7687,0,40, Scotland, <=50K
50, Self-emp-inc, Prof-school, Married-civ-spouse, Transport-moving, Not-in-family, Amer-Indian-Eskimo, Male,0,0,84, Peru, <=50K
27, Private, Assoc-acdm, Never-married, Prof-specialty, Not-in-family, Amer-Indian-Eskimo, Female,0,0,99, Taiwan, >50K
47, Private, Masters, Married-civ-spouse, Sales, Not-in-family, Amer-Indian-Eskimo, Male,0,0,40, China, <=50K
46, Self-emp-not-inc, HS-grad, Married-civ-spouse, Exec-managerial, Not-in-family, Black, Male,0,0,50, Portugal, <=50K
21, Private, Assoc-voc, Never-married, Adm-clerical, Other-relative, Other, Female,0,0,12, Outlying-US(Guam-USVI-etc), <=50K
22, State-gov, Some-college, Never-married, Sales, Own-child, Amer-Indian-Eskimo, Female,0,1892,9, India, <=50K
25, Private, Some-college, Never-married, Craft-repair, Not-in-family, Asian-Pac-Islander, Female,0,0,40, Japan, <=50K
47, Local-gov, 7th-8th, Married-civ-spouse, Other-service, Unmarried, White, Male,0,0,40, Taiwan, <=50K
53, Self-emp-inc, HS-grad, Married-civ-spouse, Craft-repair, Not-in-family, Amer-Indian-Eskimo, Male,0,0,40, El-Salvador, >50K
58, State-gov, HS-grad, Widowed, Craft-repair, Not-in-family, White, Male,0,0,40, Honduras, <=50K
19, Private, 10th, Never-married, Prof-specialty, Own-child, Amer-Indian-Eskimo, Female,0,0,12, Germany, <=50K
23, Private, Some-college, Married-civ-spouse, Tech-support, Own-child, Asian-Pac-Islander, Female,0,0,40, Nicaragua, >50K
42, Private, HS-grad, Married-civ-spouse, Other-service, Wife, Black, Female,0,0,30, Italy, <=50K
42, Self-emp-not-inc, Masters, Never-married, Handlers-cleaners, Husband, Amer-Indian-Eskimo, Female,0,0,40, Hungary, >50K
43, Private, Bachelors, Married-civ-spouse, Transport-moving, Husband, Other, Male,0,0,40, Outlying-US(Guam-USVI-etc), <=50K
30, Private, HS-grad, Married-civ-spouse, Prof-specialty, Not-in-family, White, Male,0,0,60, Columbia, >50K
46, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,50, Guatemala, >50K
65, Private, Some-college, Married-civ-spouse, Prof-specialty, Husband, Asian-Pac-Islander, Female,0,0,45, United-States, <=50K
41, Private, Bachelors, Divorced, Exec-managerial, Husband, Other, Male,15024,0,50, Ireland, >50K
42, Local-gov, 10th, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,70, Hong, <=50K
62, Federal-gov, 9th, Divorced, Adm-clerical, Husband, Amer-Indian-Eskimo, Male,0,0,40, Japan, <=50K
45, Private, Some-college, Married-civ-spouse, Exec-managerial, Husband, White, Female,0,0,40, Outlying-US(Guam-USVI-etc), <=50K
55, Private, Assoc-voc, Married-civ-spouse, Prof-specialty, Husband, Asian-Pac-Islander, Male,0,0,48, Columbia, <=50K
47, State-gov, HS-grad, Married-civ-spouse, Adm-clerical, Husband, White, Female,0,0,34, Jamaica, <=50K
20, Private, Bachelors, Married-civ-spouse, Exec-managerial, Own-child, Other, Male,0,0,25, Haiti, <=50K
42, Private, Some-college, Divorced, Exec-managerial, Other-relative, White, Female,0,0,40, Haiti, <=50K
48, Self-emp-not-inc, HS-grad, Never-married, Sales, Husband, Asian-Pac-Islander, Female,0,0,40, Dominican-Republic, <=50K
56, Local-gov, Masters, Married-civ-spouse, Sales, Not-in-family, Asian-Pac-Islander, Female,0,0,40, Hong, <=50K
25, Private, Bachelors, Married-civ-spouse, Other-service, Not-in-family, Asian-Pac-Islander, Female,0,0,40, Italy, <=50K
47, Self-emp-not-inc, Bachelors, Married-civ-spouse, Exec-managerial, Wife, Amer-Indian-Eskimo, Female,0,1976,37, Thailand, <=50K
40, Private, HS-grad, Divorced, Sales, Not-in-family, Black, Female,0,0,40, Laos, <=50K
47, Self-emp-not-inc, HS-grad, Never-married, Exec-managerial, Husband, Amer-Indian-Eskimo, Female,0,0,60, Outlying-US(Guam-USVI-etc), <=50K
56, State-gov, Some-college, Divorced, Sales, Unmarried, Amer-Indian-Eskimo, Male,0,0,40, Taiwan, <=50K
59, Self-emp-not-inc, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,80, United-States, >50K
51, Private, Masters, Married-civ-spouse, Sales, Unmarried, Asian-Pac-Islander, Male,0,0,40, India, >50K
61, Private, 7th-8th, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, Cuba, <=50K
21, Private, Some-college, Never-married, Adm-clerical, Husband, White, Male,0,0,35, Vietnam, <=50K
23, Private, 7th-8th, Never-married, Machine-op-inspct, Unmarried, Black, Female,0,0,25, Honduras, >50K
28, Self-emp-not-inc, HS-grad, Married-civ-spouse, Exec-managerial, Husband, Amer-Indian-Eskimo, Male,0,0,60, Philippines, <=50K
28, State-gov, HS-grad, Never-married, Machine-op-inspct, Own-child, White, Male,0,0,40, Italy, >50K
37, Private, Assoc-acdm, Married-civ-spouse, Transport-moving, Wife, White, Male,7298,0,40, Peru, >50K
37, Private, HS-grad, Never-married, Craft-repair, Husband, Asian-Pac-Islander, Male,0,0,60, Vietnam, >50K
22, Private, HS-grad, Never-married, Craft-repair, Not-in-family, Amer-Indian-Eskimo, Female,0,0,40, India, <=50K
86, Private, Bachelors, Married-civ-spouse, Craft-repair, Not-in-family, Other, Female,0,0,32, Ecuador, >50K
45, Private, HS-grad, Never-married, Prof-specialty, Own-child, Other, Male,8704,0,48, Portugal, >50K
19, Private, HS-grad, Never-married, Tech-support, Own-child, Black, Male,0,0,20, Iran, <=50K
67, Local-gov, 10th, Married-civ-spouse, Other-service, Unmarried, Black, Male,0,0,32, Iran, <=50K
45, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, Black, Male,0,0,50, South, <=50K
50, Private, Bachelors, Divorced, Other-service, Husband, Black, Male,0,0,40, Peru, >50K
69, Self-emp-not-inc, Doctorate, Married-civ-spouse, Exec-managerial, Husband, Asian-Pac-Islander, Female,7308,0,45, Mexico, >50K
40, Self-emp-not-inc, Some-college, Never-married, Craft-repair, Other-relative, Black, Female,0,1902,40, Guatemala, >50K
36, Private, Some-college, Never-married, Sales, Not-in-family, White, Male,0,0,40, El-Salvador, <=50K
30, Local-gov, 12th, Never-married, Craft-repair, Unmarried, Asian-Pac-Islander, Male,0,1902,40, India, <=50K
54, Private, Bachelors, Divorced, Protective-serv, Husband, Black, Male,0,0,40, Mexico, >50K
21, Private, Some-college, Never-married, Adm-clerical, Own-child, Other, Female,0,0,40, Puerto-Rico, >50K
55, Private, Some-college, Married-civ-spouse, Transport-moving, Husband, Black, Female,0,0,40, Philippines, <=50K
42, Private, Some-college, Never-married, Adm-clerical, Husband, Amer-Indian-Eskimo, Male,7687,0,40, Taiwan, >50K
25, Private, Some-college, Never-married, Sales, Own-child, Amer-Indian-Eskimo, Male,0,0,40, Japan, >50K
52, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Female,0,0,40, Ecuador, <=50K
51, Private, Some-college, Married-civ-spouse, Prof-specialty, Husband, Amer-Indian-Eskimo, Male,0,0,60, Peru, >50K
49, Federal-gov, Bachelors, Divorced, Sales, Husband, White, Male,0,0,40, Taiwan, >50K
25, Private, 11th, Never-married, Adm-clerical, Own-child, Asian-Pac-Islander, Male,0,0,25, India, <=50K
59, Private, Some-college, Married-civ-spouse, Protective-serv, Husband, Asian-Pac-Islander, Female,7687,0,40, Honduras, >50K
28, Private, HS-grad, Married-civ-spouse, Transport-moving, Unmarried, Other, Male,0,0,40, South, <=50K
37, Self-emp-not-inc, Bachelors, Married-civ-spouse, Transport-moving, Husband, Other, Male,0,0,74, Yugoslavia, >50K
43, Self-emp-not-inc, HS-grad, Widowed, Craft-repair, Husband, Asian-Pac-Islander, Male,0,0,35, Canada, <=50K
44, Private, Bachelors, Divorced, Exec-managerial, Husband, Asian-Pac-Islander, Male,15024,0,48, Honduras, >50K
62, Private, Doctorate, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,60, Trinadad&Tobago, >50K
54, Private, Some-college, Divorced, Tech-support, Husband, Other, Male,0,0,40, Guatemala, <=50K
44, Private, Masters, Married-civ-spouse, Sales, Husband, Other, Female,0,0,48, Columbia, <=50K
28, Private, Some-college, Never-married, Handlers-cleaners, Own-child, Black, Male,0,0,48, Haiti, <=50K
26, Private, Some-college, Never-married, Machine-op-inspct, Husband, Other, Male,0,0,40, Yugoslavia, <=50K
31, Private, Bachelors, Separated, Adm-clerical, Own-child, Black, Male,0,0,40, Nicaragua, <=50K
42, Private, HS-grad, Never-married, Exec-managerial, Husband, Amer-Indian-Eskimo, Male,0,0,40, Trinadad&Tobago, <=50K
24, Private, HS-grad, Never-married, Craft-repair, Own-child, Other, Female,0,0,37, Iran, <=50K
25, Self-emp-inc, 1st-4th, Never-married, Adm-clerical, Own-child, White, Male,0,0,24, Puerto-Rico, <=50K
39, Private, Bachelors, Married-civ-spouse, Exec-managerial, Unmarried, Asian-Pac-Islander, Male,0,0,40, Honduras, >50K
26, Private, HS-grad, Never-married, Prof-specialty, Own-child, White, Female,0,0,40, Yugoslavia, <=50K
34, Private, Bachelors, Married-civ-spouse, Prof-specialty, Not-in-family, White, Male,0,0,40, Italy, >50K
25, Private, Some-college, Never-married, Sales, Husband, White, Male,0,0,35, Cambodia, <=50K
46, Self-emp-not-inc, HS-grad, Married-civ-spouse, Sales, Husband, White, Male,0,0,40, Mexico, <=50K
22, Private, Bachelors, Never-married, Exec-managerial, Not-in-family, Black, Male,0,0,40, Haiti, <=50K
66, Federal-gov, Some-college, Divorced, Sales, Husband, Other, Male,0,0,40, Jamaica, >50K
44, Private, Some-college, Married-civ-spouse, Tech-support, Wife, Amer-Indian-Eskimo, Male,0,0,40, Japan, <=50K
39, Private, Bachelors, Married-civ-spouse, Adm-clerical, Husband, White, Male,7298,0,45, Canada, >50K
26, Private, Bachelors, Never-married, Adm-clerical, Not-in-family, Asian-Pac-Islander, Male,0,0,50, Scotland, <=50K
27, Private, Some-college, Never-married, Craft-repair, Wife, Asian-Pac-Islander, Female,0,0,35, South, <=50K
28, Private, HS-grad, Never-married, Exec-managerial, Wife, Black, Male,0,0,40, Iran, <=50K
47, Local-gov, 5th-6th, Married-civ-spouse, Adm-clerical, Unmarried, White, Female,0,0,38, Ecuador, >50K
54, State-gov, Some-college, Married-civ-spouse, Machine-op-inspct, Husband, Black, Female,0,0,40, South, >50K
24, Private, Some-college, Never-married, Prof-specialty, Wife, Asian-Pac-Islander, Male,0,0,40, Vietnam, <=50K
51, Federal-gov, Prof-school, Married-civ-spouse, Machine-op-inspct, Not-in-family, Asian-Pac-Islander, Male,0,0,80, Cambodia, <=50K
47, Private, Masters, Married-civ-spouse, Craft-repair, Not-in-family, Asian-Pac-Islander, Male,12742,0,50, Outlying-US(Guam-USVI-etc), >50K
24, Self-emp-not-inc, 11th, Married-civ-spouse, Craft-repair, Own-child, Other, Female,0,0,40, Jamaica, <=50K
55, Private, HS-grad, Married-civ-spouse, Prof-specialty, Husband, Other, Female,0,0,50, Greece, >50K
76, Private, 7th-8th, Married-civ-spouse, Prof-specialty, Wife, White, Male,0,0,40, Italy, <=50K
61, Private, Bachelors, Divorced, Exec-managerial, Unmarried, Black, Female,0,0,40, Nicaragua, >50K
37, Private, HS-grad, Never-married, Craft-repair, Not-in-family, Amer-Indian-Eskimo, Female,0,0,35, Iran, <=50K
65, Private, Masters, Married-civ-spouse, Adm-clerical, Husband, White, Male,8614,0,40, United-States, >50K
55, Self-emp-not-inc, HS-grad, Married-civ-spouse, Transport-moving, Husband, Black, Male,0,0,40, Peru, <=50K
24, Private, 11th, Never-married, Prof-specialty, Not-in-family, Black, Female,0,0,60, Ireland, <=50K
53, Self-emp-inc, HS-grad, Married-civ-spouse, Sales, Husband, White, Female,14983,0,60, China, >50K
26, Private, Bachelors, Divorced, Adm-clerical, Own-child, Black, Male,0,0,40, Greece, <=50K
49, Private, Assoc-voc, Never-married, Exec-managerial, Not-in-family, Black, Male,12882,0,45, Scotland, >50K
40, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, Asian-Pac-Islander, Male,0,1902,50, South, <=50K
33, Self-emp-not-inc, Masters, Married-civ-spouse, Prof-specialty, Not-in-family, White, Male,0,0,40, India, <=50K
25, Private, Some-college, Never-married, Prof-specialty, Unmarried, Other, Male,0,0,40, Iran, <=50K
27, Private, Assoc-voc, Married-civ-spouse, Farming-fishing, Husband, Amer-Indian-Eskimo, Female,0,0,50, Hong, <=50K
50, State-gov, HS-grad, Married-civ-spouse, Handlers-cleaners, Husband, Other, Male,0,0,65, Guatemala, <=50K
41, Private, Bachelors, Separated, Prof-specialty, Husband, Amer-Indian-Eskimo, Male,0,0,48, India, >50K
29, Private, 5th-6th, Married-civ-spouse, Exec-managerial, Husband, Asian-Pac-Islander, Male,0,0,40, Columbia, <=50K
72, Private, Bachelors, Married-civ-spouse, Tech-support, Not-in-family, Other, Male,7135,0,20, Honduras, >50K
18, Private, 11th, Never-married, Prof-specialty, Own-child, Asian-Pac-Islander, Male,0,0,40, Honduras, <=50K
33, Private, Some-college, Married-civ-spouse, Prof-specialty, Husband, Asian-Pac-Islander, Female,0,1975,16, Honduras, <=50K
17, Private, Some-college, Never-married, Other-service, Own-child, Other, Male,0,0,10, Greece, <=50K
41, Self-emp-not-inc, Bachelors, Married-civ-spouse, Exec-managerial, Not-in-family, Black, Male,0,0,40, Mexico, <=50K
52, Self-emp-not-inc, HS-grad, Divorced, Exec-managerial, Husband, White, Female,0,0,40, South, >50K
46, Private, Assoc-acdm, Married-civ-spouse, Other-service, Not-in-family, Asian-Pac-Islander, Female,0,0,45, Puerto-Rico, >50K
23, Private, Some-college, Never-married, Craft-repair, Not-in-family, Other, Male,0,0,40, India, <=50K
39, Private, Bachelors, Separated, Craft-repair, Wife, Amer-Indian-Eskimo, Male,0,0,40, Taiwan, <=50K
50, Private, 9th, Divorced, Adm-clerical, Husband, Asian-Pac-Islander, Male,0,0,37, Yugoslavia, <=50K
