49, Self-emp-inc, HS-grad, Divorced, Adm-clerical, Wife, Amer-Indian-Eskimo, Male,0,1977,45, United-States, >50K
62, State-gov, HS-grad, Married-civ-spouse, Exec-managerial, Husband, White, Male,24483,0,40, United-States, >50K
25, Self-emp-inc, 10th, Never-married, Transport-moving, Not-in-family, White, Female,0,0,60, United-States, <=50K
20, Private, HS-grad, Divorced, Exec-managerial, Own-child, Other, Female,0,0,21, United-States, <=50K
27, Private, Masters, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,60, United-States, >50K
19, Private, Some-college, Never-married, Craft-repair, Own-child, White, Female,0,0,40, United-States, <=50K
38, Private, 11th, Married-civ-spouse, Adm-clerical, Other-relative, White, Female,0,0,40, United-States, <=50K
19, Private, Some-college, Never-married, Sales, Own-child, White, Male,0,0,30, Jamaica, <=50K
42, Private, HS-grad, Divorced, Craft-repair, Husband, White, Female,0,0,40, Yugoslavia, >50K
29, Private, Some-college, Never-married, Prof-specialty, Own-child, Black, Female,0,0,20, United-States, <=50K
31, Private, Masters, Never-married, Prof-specialty, Husband, Asian-Pac-Islander, Male,0,0,60, United-States, <=50K
33, Private, HS-grad, Divorced, Other-service, Unmarried, White, Male,0,0,40, United-States, <=50K
56, Self-emp-inc, Masters, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,50, United-States, >50K
35, Private, Assoc-voc, Never-married, Exec-managerial, Husband, White, Female,0,0,50, United-States, <=50K
69, Federal-gov, Some-college, Widowed, Adm-clerical, Wife, White, Female,0,0,8, United-States, <=50K
68, Private, 7th-8th, Widowed, Adm-clerical, Husband, White, Male,1413,0,40, United-States, <=50K
76, Private, HS-grad, Divorced, Sales, Husband, White, Male,0,0,30, United-States, <=50K
26, Private, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Female,0,0,40, United-States, <=50K
51, Self-emp-not-inc, Some-college, Married-civ-spouse, Exec-managerial, Not-in-family, White, Male,0,0,45, United-States, <=50K
42, Private, Masters, Married-civ-spouse, Exec-managerial, Not-in-family, White, Male,0,0,60, United-States, >50K
61, Local-gov, 11th, Divorced, Craft-repair, Unmarried, White, Female,0,0,40, United-States, <=50K
33, Private, HS-grad, Married-civ-spouse, Adm-clerical, Unmarried, Black, Male,0,0,40, United-States, <=50K
58, Private, Bachelors, Married-civ-spouse, Exec-managerial, Wife, White, Female,15024,0,35, United-States, >50K
32, Private, Bachelors, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, <=50K
20, Private, Some-college, Never-married, Tech-support, Own-child, Other, Female,0,0,35, United-States, <=50K
23, Private, Bachelors, Never-married, Sales, Not-in-family, Asian-Pac-Islander, Female,0,0,50, United-States, <=50K
30, Private, 11th, Never-married, Adm-clerical, Wife, White, Female,3399,0,14, United-States, >50K
37, Private, Assoc-acdm, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,70, Mexico, <=50K
30, Private, Some-college, Never-married, Craft-repair, Unmarried, Other, Female,0,0,40, United-States, <=50K
22, Private, HS-grad, Never-married, Adm-clerical, Not-in-family, Black, Female,0,0,42, United-States, <=50K
34, Private, HS-grad, Married-civ-spouse, Exec-managerial, Own-child, White, Male,0,0,60, United-States, >50K
37, Self-emp-inc, Bachelors, Divorced, Exec-managerial, Husband, White, Male,0,0,54, United-States, <=50K
33, Private, Assoc-voc, Never-married, Protective-serv, Not-in-family, White, Male,0,0,54, United-States, <=50K
44, Private, HS-grad, Divorced, Sales, Husband, White, Female,0,0,40, Trinadad&Tobago, <=50K
20, Private, HS-grad, Never-married, Craft-repair, Own-child, Black, Female,0,0,40, Mexico, <=50K
42, Private, Some-college, Married-civ-spouse, Exec-managerial, Unmarried, White, Male,0,0,54, United-States, >50K
20, Private, Some-college, Never-married, Machine-op-inspct, Own-child, White, Male,0,1519,21, United-States, <=50K
29, Private, HS-grad, Married-civ-spouse, Tech-support, Other-relative, White, Male,0,0,45, United-States, >50K
32, State-gov, HS-grad, Married-civ-spouse, Craft-repair, Not-in-family, White, Male,0,0,50, United-States, <=50K
28, Private, HS-grad, Never-married, Prof-specialty, Not-in-family, Asian-Pac-Islander, Female,0,0,40, United-States, <=50K
24, Private, HS-grad, Never-married, Protective-serv, Unmarried, Black, Female,0,0,20, Laos, <=50K
45, Self-emp-inc, HS-grad, Married-civ-spouse, Handlers-cleaners, Not-in-family, White, Male,0,0,48, United-States, >50K
40, Private, HS-grad, Divorced, Handlers-cleaners, Unmarried, White, Female,0,0,40, United-States, <=50K
31, Private, HS-grad, Never-married, Exec-managerial, Husband, White, Male,0,0,65, United-States, <=50K
31, Private, HS-grad, Never-married, Craft-repair, Husband, White, Male,0,0,40, United-States, <=50K
38, Private, HS-grad, Married-civ-spouse, Prof-specialty, Husband, White, Male,7298,0,60, United-States, >50K
36, Private, HS-grad, Never-married, Tech-support, Husband, White, Female,0,0,40, United-States, >50K
42, Local-gov, Assoc-acdm, Divorced, Machine-op-inspct, Not-in-family, White, Male,0,0,40, Philippines, >50K
27, Local-gov, 12th, Divorced, Sales, Not-in-family, White, Male,0,0,40, United-States, <=50K
24, Private, HS-grad, Never-married, Handlers-cleaners, Wife, White, Male,0,0,40, United-States, >50K
24, Private, Some-college, Never-married, Sales, Not-in-family, Other, Male,2859,0,40, United-States, <=50K
38, Private, Masters, Divorced, Craft-repair, Not-in-family, Amer-Indian-Eskimo, Male,0,0,40, United-States, <=50K
47, Self-emp-not-inc, Some-college, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,40, United-States, <=50K
38, Private, HS-grad, Never-married, Sales, Husband, White, Male,0,0,52, United-States, <=50K
43, State-gov, Some-college, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, <=50K
21, Private, HS-grad, Never-married, Adm-clerical, Unmarried, White, Male,0,0,50, United-States, >50K
25, Self-emp-not-inc, Some-college, Never-married, Craft-repair, Own-child, White, Male,0,0,35, United-States, <=50K
36, Without-pay, Some-college, Never-married, Sales, Husband, White, Male,0,0,75, United-States, <=50K
29, Private, Assoc-acdm, Divorced, Other-service, Not-in-family, White, Male,0,0,16, United-States, <=50K
41, Private, HS-grad, Never-married, Sales, Husband, White, Male,0,0,50, United-States, <=50K
35, Private, Some-college, Divorced, Craft-repair, Husband, White, Female,0,0,40, United-States, <=50K
54, Private, HS-grad, Married-civ-spouse, Other-service, Not-in-family, White, Male,0,0,35, United-States, <=50K
59, Private, Masters, Widowed, Exec-managerial, Not-in-family, White, Male,0,0,30, United-States, <=50K
51, Private, Doctorate, Separated, Sales, Husband, White, Male,0,0,40, United-States, <=50K
44, Self-emp-not-inc, Masters, Married-civ-spouse, Prof-specialty, Not-in-family, White, Male,0,0,50, United-States, <=50K
26, Private, Prof-school, Never-married, Transport-moving, Other-relative, White, Male,0,0,60, United-States, <=50K
90, Private, 7th-8th, Widowed, Other-service, Husband, White, Female,0,0,24, United-States, >50K
48, Private, HS-grad, Married-civ-spouse, Sales, Not-in-family, Black, Male,0,0,40, Mexico, <=50K
41, Self-emp-not-inc, HS-grad, Married-civ-spouse, Exec-managerial, Unmarried, White, Male,0,0,40, United-States, <=50K
53, Private, Bachelors, Married-civ-spouse, Adm-clerical, Husband, White, Female,4842,0,40, United-States, >50K
68, State-gov, HS-grad, Married-civ-spouse, Sales, Husband, Black, Female,0,0,45, United-States, >50K
20, Private, Some-college, Never-married, Craft-repair, Other-relative, White, Female,0,0,40, United-States, <=50K
41, Local-gov, 7th-8th, Married-civ-spouse, Prof-specialty, Own-child, White, Male,0,0,60, United-States, <=50K
19, Private, Some-college, Never-married, Handlers-cleaners, Own-child, Asian-Pac-Islander, Male,0,0,15, United-States, <=50K
31, State-gov, HS-grad, Never-married, Craft-repair, Not-in-family, White, Male,0,0,40, United-States, <=50K
29, Private, 10th, Married-civ-spouse, Prof-specialty, Other-relative, Black, Female,0,0,30, United-States, <=50K
42, Local-gov, Masters, Divorced, Transport-moving, Own-child, White, Female,0,0,40, United-States, >50K
47, Private, HS-grad, Married-civ-spouse, Other-service, Wife, White, Female,0,0,35, United-States, <=50K
31, Self-emp-not-inc, Masters, Never-married, Handlers-cleaners, Husband, Asian-Pac-Islander, Female,0,0,40, United-States, <=50K
21, Private, HS-grad, Never-married, Transport-moving, Own-child, White, Male,0,0,40, United-States, <=50K
39, Private, HS-grad, Married-civ-spouse, Priv-house-serv, Not-in-family, White, Male,0,0,40, United-States, >50K
24, Private, Bachelors, Never-married, Other-service, Own-child, White, Female,0,0,8, United-States, <=50K
48, Private, Some-college, Divorced, Prof-specialty, Husband, White, Male,0,0,40, United-States, <=50K
61, Private, Bachelors, Divorced, Craft-repair, Husband, White, Male,0,0,48, United-States, >50K
21, Local-gov, 11th, Never-married, Handlers-cleaners, Other-relative, White, Female,0,0,35, United-States, <=50K
17, Private, 10th, Never-married, Adm-clerical, Own-child, Black, Male,0,0,20, United-States, <=50K
51, Private, Some-college, Married-civ-spouse, Other-service, Husband, White, Female,0,0,10, United-States, <=50K
54, Private, Assoc-acdm, Married-civ-spouse, Protective-serv, Husband, White, Male,0,0,50, United-States, <=50K
29, State-gov, HS-grad, Never-married, Adm-clerical, Husband, White, Female,0,0,40, United-States, <=50K
31, Private, Bachelors, Divorced, Craft-repair, Not-in-family, White, Male,0,0,40, United-States, <=50K
45, Private, Some-college, Divorced, Exec-managerial, Not-in-family, White, Male,0,0,40, United-States, >50K
42, Self-emp-not-inc, HS-grad, Married-civ-spouse, Sales, Husband, White, Female,0,0,45, United-States, <=50K
68, Local-gov, HS-grad, Married-civ-spouse, Sales, Not-in-family, White, Female,0,0,20, United-States, <=50K
34, Private, Bachelors, Divorced, Other-service, Not-in-family, White, Female,0,0,40, United-States, <=50K
28, Self-emp-not-inc, Bachelors, Married-civ-spouse, Exec-managerial, Unmarried, Asian-Pac-Islander, Female,0,0,40, United-States, <=50K
55, Private, HS-grad, Married-civ-spouse, Sales, Husband, White, Female,0,0,50, United-States, <=50K
18, Private, HS-grad, Never-married, Machine-op-inspct, Own-child, Amer-Indian-Eskimo, Female,0,0,35, United-States, <=50K
32, Self-emp-not-inc, Some-college, Married-civ-spouse, Sales, Other-relative, Other, Male,0,1976,45, United-States, <=50K
30, Private, Bachelors, Never-married, Other-service, Husband, White, Male,0,0,40, United-States, <=50K
50, Private, Prof-school, Married-civ-spouse, Sales, Not-in-family, White, Male,0,0,80, United-States, >50K
49, Private, 5th-6th, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, <=50K
47, Private, Prof-school, Married-civ-spouse, Adm-clerical, Husband, White, Male,0,0,40, United-States, <=50K
54, Private, 7th-8th, Widowed, Machine-op-inspct, Unmarried, White, Female,0,0,35, United-States, >50K
19, Private, HS-grad, Never-married, Adm-clerical, Other-relative, Black, Female,0,0,15, United-States, <=50K
63, State-gov, HS-grad, Married-civ-spouse, Machine-op-inspct, Not-in-family, White, Male,0,0,40, United-States, >50K
56, Private, 5th-6th, Divorced, Transport-moving, Unmarried, White, Male,0,0,40, United-States, >50K
32, Private, HS-grad, Never-married, Adm-clerical, Not-in-family, White, Male,0,0,50, United-States, >50K
27, Private, HS-grad, Never-married, Craft-repair, Not-in-family, Black, Male,0,0,40, United-States, <=50K
19, Private, HS-grad, Never-married, Craft-repair, Own-child, White, Female,0,0,30, United-States, <=50K
57, Private, HS-grad, Widowed, Protective-serv, Unmarried, White, Male,0,0,25, United-States, >50K
25, Private, HS-grad, Never-married, Transport-moving, Unmarried, White, Male,0,0,40, United-States, <=50K
27, Private, 10th, Married-civ-spouse, Other-service, Unmarried, White, Male,0,0,30, United-States, <=50K
39, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,50, United-States, <=50K
39, Private, Bachelors, Divorced, Other-service, Husband, White, Male,0,0,40, United-States, >50K
41, Self-emp-not-inc, HS-grad, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,60, United-States, >50K
23, Self-emp-not-inc, Some-college, Never-married, Adm-clerical, Unmarried, White, Female,0,0,25, United-States, <=50K
76, Private, Some-college, Widowed, Sales, Husband, White, Male,2233,0,20, United-States, <=50K
62, Federal-gov, 11th, Married-civ-spouse, Adm-clerical, Unmarried, White, Male,0,0,40, United-States, <=50K
36, Private, Bachelors, Married-civ-spouse, Sales, Husband, White, Male,0,0,50, United-States, >50K
31, Private, Some-college, Never-married, Adm-clerical, Unmarried, White, Female,0,0,40, United-States, >50K
33, Private, Some-college, Never-married, Transport-moving, Husband, White, Male,0,0,40, United-States, <=50K
48, Private, Some-college, Married-civ-spouse, Craft-repair, Husband, Amer-Indian-Eskimo, Male,0,0,60, United-States, >50K
19, Private, Some-college, Never-married, Sales, Own-child, Black, Male,0,0,40, United-States, <=50K
21, Private, Bachelors, Never-married, Prof-specialty, Own-child, White, Female,0,1824,30, United-States, <=50K
65, Private, Some-college, Married-civ-spouse, Other-service, Not-in-family, Black, Female,0,0,35, United-States, >50K
23, Federal-gov, Bachelors, Married-spouse-absent, Sales, Not-in-family, White, Male,0,0,40, United-States, <=50K
51, Private, 1st-4th, Married-civ-spouse, Adm-clerical, Not-in-family, White, Male,0,0,40, United-States, <=50K
46, Private, Some-college, Married-civ-spouse, Prof-specialty, Husband, White, Female,0,0,40, United-States, >50K
22, Private, Some-college, Never-married, Transport-moving, Unmarried, White, Male,0,0,30, United-States, <=50K
41, Self-emp-not-inc, Bachelors, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,54, United-States, >50K
62, Self-emp-not-inc, HS-grad, Widowed, Craft-repair, Husband, White, Male,0,0,35, Honduras, <=50K
44, Private, Bachelors, Divorced, Exec-managerial, Husband, White, Male,15024,0,50, United-States, >50K
20, Private, HS-grad, Never-married, Adm-clerical, Not-in-family, White, Female,0,0,25, United-States, <=50K
50, Private, Some-college, Divorced, Tech-support, Husband, White, Male,0,0,40, United-States, <=50K
31, Private, Masters, Married-civ-spouse, Sales, Not-in-family, White, Male,0,0,50, United-States, <=50K
36, Private, Some-college, Never-married, Handlers-cleaners, Unmarried, White, Male,0,0,40, United-States, <=50K
29, Private, Some-college, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,0,0,40, United-States, <=50K
32, Private, Bachelors, Never-married, Craft-repair, Not-in-family, White, Male,0,0,70, United-States, <=50K
63, Private, HS-grad, Widowed, Farming-fishing, Husband, White, Male,0,0,40, United-States, <=50K
19, Private, HS-grad, Never-married, Craft-repair, Own-child, White, Female,0,0,50, United-States, <=50K
43, Self-emp-not-inc, Assoc-acdm, Never-married, Adm-clerical, Husband, White, Male,4386,0,40, United-States, <=50K
53, Private, Assoc-voc, Married-civ-spouse, Exec-managerial, Unmarried, White, Male,0,0,40, United-States, >50K
40, Private, HS-grad, Married-civ-spouse, Prof-specialty, Husband, White, Female,0,1977,40, Yugoslavia, <=50K
64, Private, Assoc-acdm, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, United-States, >50K
34, Private, Some-college, Married-civ-spouse, Tech-support, Husband, White, Male,0,0,40, China, >50K
62, Self-emp-not-inc, Masters, Married-civ-spouse, Sales, Husband, White, Male,0,0,97, United-States, >50K
25, Private, Bachelors, Never-married, Exec-managerial, Not-in-family, White, Male,0,0,45, United-States, <=50K
42, Local-gov, Some-college, Divorced, Sales, Husband, White, Male,0,0,40, United-States, >50K
23, Private, Some-college, Never-married, Sales, Unmarried, Other, Male,0,0,40, United-States, <=50K
53, Private, Bachelors, Married-civ-spouse, Adm-clerical, Husband, White, Male,0,0,60, Hong, >50K
44, Private, Bachelors, Married-civ-spouse, Adm-clerical, Husband, White, Male,0,0,40, United-States, <=50K
37, Private, Some-college, Married-civ-spouse, Craft-repair, Wife, White, Male,7687,0,45, United-States, >50K
32, Private, HS-grad, Never-married, Exec-managerial, Unmarried, White, Male,0,0,45, United-States, <=50K
42, Private, 1st-4th, Married-civ-spouse, Craft-repair, Unmarried, White, Female,0,0,40, United-States, >50K
41, State-gov, Some-college, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,40, United-States, >50K
42, Private, Some-college, Never-married, Protective-serv, Wife, White, Female,0,0,12, United-States, <=50K
34, Federal-gov, Some-college, Never-married, Machine-op-inspct, Unmarried, White, Male,0,0,40, China, <=50K
19, Private, Some-college, Never-married, Adm-clerical, Own-child, White, Female,0,0,20, United-States, >50K
17, Private, 10th, Never-married, Handlers-cleaners, Own-child, White, Female,0,0,16, United-States, <=50K
31, Private, HS-grad, Divorced, Other-service, Own-child, White, Female,0,0,40, United-States, >50K
25, Private, Assoc-acdm, Married-civ-spouse, Other-service, Wife, White, Male,0,0,40, United-States, <=50K
17, Private, 10th, Never-married, Other-service, Own-child, White, Female,0,0,15, United-States, <=50K
59, Local-gov, HS-grad, Married-civ-spouse, Craft-repair, Not-in-family, Amer-Indian-Eskimo, Female,0,1977,40, United-States, <=50K
26, Private, Some-college, Never-married, Adm-clerical, Not-in-family, White, Male,0,0,40, United-States, <=50K
25, Private, HS-grad, Never-married, Transport-moving, Not-in-family, White, Male,0,0,40, United-States, <=50K
47, Private, 12th, Married-civ-spouse, Other-service, Husband, White, Female,0,0,40, United-States, <=50K
52, Private, HS-grad, Married-civ-spouse, Sales, Other-relative, White, Female,0,0,40, Mexico, <=50K
23, Private, Bachelors, Married-civ-spouse, Adm-clerical, Own-child, White, Male,0,0,40, United-States, <=50K
34, Private, Assoc-acdm, Never-married, Exec-managerial, Unmarried, White, Male,0,0,40, United-States, >50K
21, Private, Assoc-voc, Never-married, Exec-managerial, Not-in-family, White, Male,0,0,40, United-States, <=50K
44, Self-emp-not-inc, Prof-school, Married-civ-spouse, Prof-specialty, Husband, White, Male,99999,0,40, United-States, >50K
31, Private, Some-college, Never-married, Prof-specialty, Own-child, White, Male,0,0,50, United-States, <=50K
43, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, Black, Female,0,1902,40, United-States, <=50K
52, State-gov, HS-grad, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,40, United-States, <=50K
29, Self-emp-inc, Bachelors, Separated, Sales, Husband, White, Male,0,0,65, United-States, <=50K
70, Local-gov, 10th, Married-civ-spouse, Other-service, Husband, White, Male,0,0,15, Puerto-Rico, <=50K
51, Private, Bachelors, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,50, United-States, >50K
34, Private, 7th-8th, Married-civ-spouse, Protective-serv, Not-in-family, White, Male,0,0,50, United-States, <=50K
17, Private, 12th, Never-married, Sales, Own-child, White, Female,0,0,20, United-States, <=50K
51, Private, Some-college, Divorced, Craft-repair, Unmarried, White, Male,0,0,40, United-States, <=50K
56, Self-emp-not-inc, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, United-States, >50K
30, Self-emp-inc, HS-grad, Married-civ-spouse, Exec-managerial, Husband, White, Male,8743,0,50, United-States, >50K
54, Private, 9th, Married-civ-spouse, Other-service, Not-in-family, White, Female,0,0,40, United-States, >50K
63, Self-emp-not-inc, Masters, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, <=50K
72, Private, 9th, Widowed, Exec-managerial, Wife, Black, Male,0,0,33, United-States, <=50K
53, Private, Assoc-voc, Married-civ-spouse, Craft-repair, Husband, White, Male,4952,0,40, United-States, <=50K
36, Private, Prof-school, Married-civ-spouse, Craft-repair, Not-in-family, White, Female,0,0,50, United-States, <=50K
43, Private, Bachelors, Divorced, Craft-repair, Unmarried, White, Male,0,0,30, United-States, <=50K
34, Private, Bachelors, Never-married, Craft-repair, Not-in-family, White, Male,0,1977,45, Mexico, >50K
47, Private, 10th, Married-civ-spouse, Farming-fishing, Not-in-family, White, Male,0,0,45, United-States, <=50K
38, Private, HS-grad, Married-civ-spouse, Tech-support, Husband, White, Male,0,0,60, United-States, >50K
42, Local-gov, HS-grad, Married-civ-spouse, Other-service, Husband, White, Male,0,0,40, Taiwan, <=50K
22, Private, Some-college, Never-married, Transport-moving, Own-child, White, Female,0,1902,40, United-States, <=50K
59, Private, HS-grad, Divorced, Adm-clerical, Not-in-family, White, Female,0,0,37, United-States, <=50K
27, Private, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,53, United-States, <=50K
60, Private, Bachelors, Married-civ-spouse, Machine-op-inspct, Wife, White, Female,9673,0,40, United-States, >50K
19, Private, Some-college, Divorced, Tech-support, Own-child, White, Female,0,0,15, United-States, <=50K
50, Private, HS-grad, Married-civ-spouse, Other-service, Unmarried, White, Female,0,0,30, United-States, <=50K
26, Private, HS-grad, Never-married, Sales, Own-child, White, Female,0,0,40, United-States, <=50K
46, Private, HS-grad, Married-civ-spouse, Prof-specialty, Unmarried, White, Female,0,0,20, United-States, <=50K
43, Private, 7th-8th, Married-civ-spouse, Adm-clerical, Husband, Other, Female,0,0,40, United-States, <=50K
27, Private, Some-college, Married-civ-spouse, Adm-clerical, Not-in-family, White, Female,0,0,50, Cuba, <=50K
43, Local-gov, Doctorate, Married-civ-spouse, Adm-clerical, Wife, White, Female,0,0,40, United-States, <=50K
36, Private, HS-grad, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, United-States, <=50K
34, Self-emp-not-inc, HS-grad, Never-married, Exec-managerial, Not-in-family, White, Male,0,0,50, United-States, <=50K
33, Local-gov, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Male,99999,0,69, United-States, >50K
41, Private, Some-college, Never-married, Sales, Unmarried, White, Male,0,0,60, United-States, >50K
39, Private, Some-college, Divorced, Machine-op-inspct, Not-in-family, White, Female,0,0,50, United-States, <=50K
72, Private, Doctorate, Married-civ-spouse, Prof-specialty, Husband, White, Male,10279,0,45, United-States, >50K
34, Private, HS-grad, Married-civ-spouse, Protective-serv, Not-in-family, White, Male,0,0,45, United-States, >50K
66, Local-gov, Some-college, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,2602,0,20, United-States, <=50K
35, Private, HS-grad, Married-civ-spouse, Tech-support, Husband, White, Male,0,1902,40, United-States, >50K
53, Private, Some-college, Divorced, Other-service, Not-in-family, White, Female,0,0,40, United-States, <=50K
25, Private, Some-college, Never-married, Adm-clerical, Wife, Black, Female,0,0,35, United-States, <=50K
