42, Self-emp-not-inc, HS-grad, Married-civ-spouse, Craft-repair, Not-in-family, Asian-Pac-Islander, Male,0,1977,60, United-States, >50K
17, Private, Some-college, Never-married, Sales, Own-child, White, Female,0,0,9, United-States, <=50K
25, Private, Bachelors, Divorced, Craft-repair, Husband, White, Male,0,0,45, United-States, >50K
26, Local-gov, 12th, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,60, United-States, <=50K
21, Local-gov, Assoc-acdm, Married-civ-spouse, Craft-repair, Husband, Black, Male,0,0,40, United-States, <=50K
27, Private, Some-college, Never-married, Handlers-cleaners, Not-in-family, White, Female,0,0,40, United-States, <=50K
38, Private, Bachelors, Married-civ-spouse, Sales, Not-in-family, White, Male,2174,0,70, United-States, <=50K
35, Self-emp-not-inc, HS-grad, Never-married, Exec-managerial, Not-in-family, White, Female,0,0,99, United-States, <=50K
68, Self-emp-not-inc, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,35, United-States, <=50K
36, Private, Some-college, Divorced, Exec-managerial, Husband, White, Male,0,0,65, United-States, >50K
17, Private, 11th, Never-married, Sales, Own-child, White, Female,0,0,23, United-States, <=50K
60, Local-gov, Masters, Married-civ-spouse, Sales, Husband, White, Male,0,0,40, United-States, >50K
69, Self-emp-not-inc, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,2, United-States, <=50K
28, Self-emp-not-inc, Bachelors, Divorced, Adm-clerical, Unmarried, Asian-Pac-Islander, Female,0,0,40, United-States, <=50K
33, Private, HS-grad, Divorced, Sales, Not-in-family, White, Female,0,0,70, United-States, <=50K
17, Private, 11th, Never-married, Other-service, Own-child, Asian-Pac-Islander, Female,0,0,25, United-States, <=50K
29, State-gov, Some-college, Divorced, Sales, Unmarried, Black, Male,0,0,50, United-States, <=50K
31, Private, Bachelors, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,50, United-States, <=50K
52, Private, Masters, Married-civ-spouse, Sales, Husband, White, Male,0,0,40, United-States, >50K
43, Private, 9th, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,35, United-States, >50K
26, Private, Some-college, Never-married, Adm-clerical, Not-in-family, White, Male,0,0,35, United-States, <=50K
39, Private, Assoc-voc, Married-spouse-absent, Handlers-cleaners, Not-in-family, White, Male,0,0,40, United-States, >50K
62, Self-emp-not-inc, HS-grad, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,60, United-States, <=50K
33, State-gov, HS-grad, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,40, United-States, >50K
51, Private, 7th-8th, Divorced, Sales, Wife, White, Female,0,0,38, United-States, <=50K
21, Private, HS-grad, Never-married, Adm-clerical, Own-child, White, Female,0,0,40, United-States, <=50K
26, Private, HS-grad, Never-married, Adm-clerical, Own-child, Black, Female,0,1591,40, United-States, <=50K
46, Private, Doctorate, Married-civ-spouse, Craft-repair, Husband, White, Male,15024,0,40, United-States, >50K
61, Self-emp-inc, HS-grad, Married-spouse-absent, Sales, Not-in-family, White, Male,0,0,40, United-States, >50K
50, Private, HS-grad, Widowed, Tech-support, Unmarried, White, Female,0,1887,40, United-States, <=50K
40, Local-gov, 10th, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,40, United-States, <=50K
36, Private, Bachelors, Married-civ-spouse, Exec-managerial, Not-in-family, White, Male,7298,0,40, United-States, <=50K
58, Private, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,25, United-States, >50K
34, Self-emp-inc, HS-grad, Married-civ-spouse, Exec-managerial, Husband, White, Male,2905,0,40, United-States, >50K
52, Self-emp-not-inc, Some-college, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,50, United-States, >50K
28, Private, Some-college, Never-married, Sales, Not-in-family, White, Male,0,0,25, United-States, <=50K
26, Local-gov, 12th, Never-married, Craft-repair, Wife, White, Male,0,0,40, United-States, <=50K
61, Private, Bachelors, Married-civ-spouse, Sales, Husband, White, Male,0,0,50, United-States, >50K
18, Private, Masters, Never-married, Adm-clerical, Own-child, White, Female,2149,0,40, United-States, >50K
29, Private, Some-college, Never-married, Transport-moving, Not-in-family, White, Female,0,0,40, United-States, <=50K
35, Private, Some-college, Never-married, Adm-clerical, Unmarried, Amer-Indian-Eskimo, Female,0,0,40, United-States, <=50K
36, Private, Some-college, Never-married, Sales, Not-in-family, Black, Male,0,0,60, United-States, >50K
54, Self-emp-not-inc, Bachelors, Separated, Machine-op-inspct, Not-in-family, White, Female,0,0,25, United-States, <=50K
19, Private, Some-college, Never-married, Other-service, Own-child, Black, Female,0,0,40, United-States, <=50K
23, Federal-gov, Bachelors, Never-married, Sales, Own-child, White, Male,0,0,40, United-States, <=50K
26, Private, Assoc-acdm, Never-married, Adm-clerical, Not-in-family, White, Male,7298,0,65, United-States, <=50K
57, Private, Some-college, Widowed, Other-service, Unmarried, White, Female,0,0,36, United-States, <=50K
29, Private, HS-grad, Divorced, Transport-moving, Unmarried, White, Male,0,0,40, United-States, <=50K
39, State-gov, Bachelors, Married-civ-spouse, Transport-moving, Husband, White, Male,15024,0,50, United-States, >50K
47, Self-emp-not-inc, HS-grad, Widowed, Adm-clerical, Own-child, Black, Female,0,0,40, Hong, <=50K
26, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, United-States, >50K
45, Private, HS-grad, Divorced, Craft-repair, Not-in-family, White, Male,0,0,40, United-States, <=50K
51, Private, Some-college, Divorced, Sales, Not-in-family, White, Female,0,0,45, United-States, <=50K
33, Private, Masters, Married-civ-spouse, Sales, Other-relative, White, Male,0,0,40, Taiwan, <=50K
22, Private, Some-college, Never-married, Machine-op-inspct, Unmarried, White, Female,0,0,30, United-States, <=50K
39, Private, Some-college, Married-civ-spouse, Machine-op-inspct, Not-in-family, White, Male,0,0,40, United-States, <=50K
34, Private, Bachelors, Widowed, Adm-clerical, Unmarried, White, Female,0,0,16, United-States, <=50K
30, Private, HS-grad, Never-married, Handlers-cleaners, Not-in-family, White, Male,0,0,45, United-States, <=50K
40, Private, HS-grad, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,64, United-States, >50K
37, Self-emp-not-inc, Assoc-voc, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,60, United-States, <=50K
19, Private, Assoc-voc, Never-married, Handlers-cleaners, Unmarried, White, Female,0,0,20, United-States, <=50K
40, Private, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, Yugoslavia, <=50K
59, Private, Assoc-voc, Married-civ-spouse, Prof-specialty, Not-in-family, White, Male,0,0,15, United-States, >50K
36, Private, Some-college, Married-civ-spouse, Tech-support, Husband, White, Male,0,0,30, Canada, >50K
20, Private, HS-grad, Never-married, Sales, Not-in-family, White, Male,0,0,40, United-States, <=50K
20, Private, Bachelors, Never-married, Handlers-cleaners, Own-child, White, Male,0,0,40, United-States, <=50K
37, Local-gov, Some-college, Married-civ-spouse, Sales, Husband, White, Male,0,0,54, United-States, >50K
21, Private, Some-college, Never-married, Tech-support, Unmarried, White, Male,0,0,40, United-States, <=50K
28, Private, Bachelors, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, Germany, >50K
19, Private, Bachelors, Never-married, Adm-clerical, Own-child, White, Female,0,0,40, United-States, <=50K
20, Private, Some-college, Never-married, Exec-managerial, Unmarried, White, Male,0,0,20, United-States, <=50K
35, Self-emp-not-inc, HS-grad, Married-civ-spouse, Exec-managerial, Own-child, White, Male,0,0,63, United-States, <=50K
22, Private, 12th, Never-married, Adm-clerical, Unmarried, White, Female,0,0,40, United-States, <=50K
31, State-gov, Some-college, Divorced, Adm-clerical, Unmarried, White, Female,0,0,37, United-States, <=50K
35, Private, Some-college, Never-married, Sales, Wife, White, Male,0,0,40, United-States, <=50K
42, Federal-gov, Masters, Married-spouse-absent, Machine-op-inspct, Husband, White, Male,0,0,40, China, <=50K
29, Private, HS-grad, Married-civ-spouse, Adm-clerical, Unmarried, White, Male,0,0,40, United-States, <=50K
39, Self-emp-not-inc, 9th, Married-civ-spouse, Exec-managerial, Husband, White, Male,15024,0,50, United-States, >50K
18, Private, Masters, Never-married, Other-service, Own-child, White, Female,0,0,20, United-States, <=50K
29, Private, Assoc-voc, Married-civ-spouse, Prof-specialty, Wife, White, Male,7687,0,40, United-States, <=50K
52, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, United-States, >50K
44, Private, HS-grad, Married-civ-spouse, Farming-fishing, Husband, White, Male,0,1667,99, United-States, >50K
28, Private, Some-college, Never-married, Adm-clerical, Not-in-family, White, Male,0,0,40, United-States, <=50K
32, Private, HS-grad, Never-married, Transport-moving, Not-in-family, White, Male,0,0,40, United-States, <=50K
21, Private, 11th, Never-married, Other-service, Own-child, White, Female,0,0,40, United-States, <=50K
39, Private, HS-grad, Divorced, Protective-serv, Unmarried, White, Female,0,0,20, Mexico, <=50K
24, Private, Bachelors, Divorced, Adm-clerical, Unmarried, White, Female,0,0,45, United-States, <=50K
41, Private, Assoc-voc, Never-married, Exec-managerial, Not-in-family, White, Male,0,0,40, United-States, >50K
54, Private, Assoc-voc, Never-married, Exec-managerial, Not-in-family, White, Female,0,0,40, United-States, <=50K
75, State-gov, HS-grad, Divorced, Prof-specialty, Not-in-family, White, Male,0,0,40, United-States, <=50K
53, Self-emp-not-inc, Some-college, Married-civ-spouse, Prof-specialty, Not-in-family, White, Male,0,0,40, United-States, >50K
27, Private, Bachelors, Never-married, Farming-fishing, Not-in-family, Black, Female,0,0,50, United-States, <=50K
59, State-gov, HS-grad, Married-civ-spouse, Other-service, Husband, White, Male,1943,0,45, United-States, >50K
26, Private, Bachelors, Separated, Sales, Not-in-family, Other, Male,0,0,50, United-States, <=50K
49, Local-gov, Assoc-acdm, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,1902,60, United-States, >50K
22, Private, HS-grad, Never-married, Tech-support, Own-child, White, Male,0,0,60, United-States, <=50K
29, Private, Assoc-acdm, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,54, United-States, >50K
50, Local-gov, Some-college, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, United-States, >50K
57, Self-emp-not-inc, Some-college, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,45, United-States, <=50K
49, State-gov, Bachelors, Divorced, Adm-clerical, Unmarried, White, Female,0,0,40, United-States, <=50K
39, Self-emp-not-inc, HS-grad, Divorced, Farming-fishing, Not-in-family, White, Female,0,0,50, United-States, <=50K
50, Private, Assoc-acdm, Separated, Other-service, Wife, White, Female,0,0,20, United-States, <=50K
25, Private, Prof-school, Never-married, Craft-repair, Not-in-family, White, Male,0,0,40, United-States, <=50K
37, Private, Bachelors, Widowed, Adm-clerical, Wife, Black, Female,0,0,40, United-States, <=50K
22, Private, Assoc-acdm, Never-married, Adm-clerical, Own-child, White, Male,0,0,22, United-States, <=50K
40, Private, HS-grad, Married-civ-spouse, Craft-repair, Own-child, White, Female,0,0,40, United-States, <=50K
61, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, United-States, <=50K
38, Private, HS-grad, Never-married, Adm-clerical, Other-relative, White, Male,5013,0,23, India, >50K
27, Private, 10th, Never-married, Machine-op-inspct, Unmarried, White, Female,0,0,40, United-States, <=50K
38, Private, Bachelors, Divorced, Sales, Not-in-family, White, Female,6655,0,60, United-States, >50K
49, Federal-gov, HS-grad, Divorced, Prof-specialty, Not-in-family, White, Female,0,1991,40, United-States, >50K
44, Private, HS-grad, Never-married, Tech-support, Own-child, White, Female,0,0,30, United-States, <=50K
27, Private, Masters, Divorced, Adm-clerical, Own-child, White, Female,0,0,40, United-States, <=50K
33, Private, Bachelors, Never-married, Other-service, Not-in-family, White, Male,0,0,30, United-States, <=50K
48, Private, HS-grad, Married-spouse-absent, Machine-op-inspct, Wife, White, Female,0,0,40, United-States, >50K
34, Private, HS-grad, Divorced, Tech-support, Not-in-family, White, Male,0,0,40, United-States, >50K
24, Private, HS-grad, Never-married, Machine-op-inspct, Unmarried, White, Female,0,0,45, United-States, <=50K
36, Private, HS-grad, Divorced, Sales, Unmarried, White, Female,0,0,45, United-States, <=50K
29, Private, HS-grad, Never-married, Prof-specialty, Own-child, White, Female,0,0,54, United-States, <=50K
25, Private, 9th, Never-married, Adm-clerical, Other-relative, White, Female,0,0,40, United-States, <=50K
47, Private, Some-college, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,60, Cuba, >50K
30, Local-gov, HS-grad, Never-married, Adm-clerical, Wife, White, Male,0,0,45, United-States, <=50K
23, Private, HS-grad, Never-married, Adm-clerical, Not-in-family, Black, Female,0,0,45, United-States, <=50K
24, Private, Some-college, Never-married, Craft-repair, Unmarried, White, Female,0,0,40, United-States, <=50K
32, Federal-gov, Assoc-acdm, Never-married, Protective-serv, Not-in-family, White, Male,0,0,46, United-States, <=50K
43, Private, Some-college, Married-civ-spouse, Sales, Husband, White, Male,0,0,40, United-States, >50K
69, Self-emp-not-inc, Masters, Divorced, Other-service, Not-in-family, White, Female,0,0,4, United-States, <=50K
27, Private, Bachelors, Never-married, Prof-specialty, Own-child, White, Female,0,0,36, United-States, <=50K
18, Private, HS-grad, Never-married, Sales, Own-child, White, Male,0,0,40, United-States, <=50K
23, Private, Some-college, Never-married, Handlers-cleaners, Not-in-family, White, Male,0,0,54, United-States, <=50K
57, Self-emp-inc, HS-grad, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,45, United-States, >50K
21, Private, Some-college, Never-married, Other-service, Own-child, White, Female,0,0,37, United-States, <=50K
23, Private, Some-college, Never-married, Adm-clerical, Wife, Black, Female,0,0,35, United-States, <=50K
