62, Private, Bachelors, Divorced, Adm-clerical, Wife, Black, Female,0,0,45, United-States, <=50K
43, Private, 10th, Never-married, Tech-support, Not-in-family, White, Female,0,0,40, United-States, <=50K
21, Private, HS-grad, Never-married, Adm-clerical, Not-in-family, White, Female,0,0,45, United-States, <=50K
35, Private, HS-grad, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,40, United-States, >50K
24, Private, Some-college, Never-married, Craft-repair, Own-child, White, Female,0,0,40, United-States, <=50K
45, Private, 10th, Married-civ-spouse, Craft-repair, Not-in-family, White, Female,0,0,6, United-States, <=50K
60, Self-emp-not-inc, HS-grad, Married-civ-spouse, Tech-support, Husband, White, Male,0,0,40, Scotland, >50K
68, Private, Bachelors, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,35, Yugoslavia, >50K
27, Private, HS-grad, Never-married, Prof-specialty, Not-in-family, White, Male,0,0,40, United-States, <=50K
57, Private, HS-grad, Married-civ-spouse, Other-service, Husband, Black, Male,0,0,40, United-States, <=50K
43, Private, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Male,15024,0,50, United-States, >50K
32, Private, HS-grad, Never-married, Transport-moving, Not-in-family, White, Male,0,0,54, United-States, >50K
19, Private, 11th, Never-married, Adm-clerical, Not-in-family, White, Female,0,0,30, United-States, <=50K
46, Federal-gov, Some-college, Divorced, Adm-clerical, Unmarried, White, Female,0,0,40, United-States, <=50K
36, Private, Assoc-acdm, Never-married, Adm-clerical, Not-in-family, White, Male,0,0,50, United-States, <=50K
30, Private, HS-grad, Married-civ-spouse, Sales, Husband, White, Male,0,1759,50, United-States, <=50K
39, Private, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Male,7298,0,50, United-States, <=50K
38, State-gov, Some-college, Married-civ-spouse, Farming-fishing, Not-in-family, White, Male,0,0,10, United-States, <=50K
39, Self-emp-not-inc, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,60, United-States, <=50K
73, Local-gov, 10th, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,25, United-States, <=50K
22, Private, HS-grad, Never-married, Adm-clerical, Own-child, White, Male,0,0,40, United-States, <=50K
47, Private, Bachelors, Married-civ-spouse, Exec-managerial, Wife, White, Male,0,0,50, United-States, >50K
41, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,60, United-States, >50K
22, Private, HS-grad, Never-married, Transport-moving, Own-child, White, Male,0,0,40, United-States, <=50K
27, Private, Bachelors, Never-married, Sales, Not-in-family, Black, Female,0,0,40, United-States, <=50K
71, Private, 5th-6th, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,38, United-States, >50K
31, Private, Assoc-acdm, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,45, Taiwan, <=50K
48, Private, Some-college, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,50, United-States, >50K
59, Private, HS-grad, Divorced, Adm-clerical, Not-in-family, White, Female,0,0,40, United-States, <=50K
63, Private, HS-grad, Divorced, Adm-clerical, Unmarried, White, Female,0,0,40, United-States, <=50K
70, Private, 9th, Divorced, Other-service, Not-in-family, White, Female,0,0,20, United-States, <=50K
40, Private, Assoc-voc, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, United-States, >50K
23, Private, HS-grad, Never-married, Tech-support, Not-in-family, White, Male,0,0,40, United-States, <=50K
44, Private, HS-grad, Divorced, Adm-clerical, Unmarried, Black, Female,0,0,40, United-States, <=50K
29, Private, Prof-school, Never-married, Farming-fishing, Wife, White, Male,0,0,50, United-States, >50K
21, Private, Some-college, Never-married, Adm-clerical, Own-child, White, Female,0,0,20, United-States, <=50K
58, Local-gov, Bachelors, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,40, United-States, >50K
34, State-gov, HS-grad, Never-married, Exec-managerial, Own-child, White, Male,0,0,40, United-States, <=50K
22, Private, HS-grad, Never-married, Other-service, Not-in-family, Black, Female,0,0,40, United-States, <=50K
40, Private, HS-grad, Divorced, Other-service, Unmarried, Black, Female,0,0,40, Portugal, <=50K
39, Private, Bachelors, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,50, United-States, >50K
37, Private, HS-grad, Divorced, Farming-fishing, Unmarried, White, Female,0,0,80, United-States, <=50K
26, Private, Bachelors, Never-married, Exec-managerial, Not-in-family, White, Male,0,0,40, United-States, <=50K
30, Private, HS-grad, Never-married, Exec-managerial, Husband, White, Male,7687,0,45, United-States, >50K
22, Private, HS-grad, Never-married, Other-service, Husband, White, Male,0,0,35, United-States, <=50K
26, Private, HS-grad, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,45, United-States, <=50K
57, Local-gov, 7th-8th, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,50, United-States, >50K
29, Local-gov, 9th, Divorced, Sales, Not-in-family, White, Male,0,0,50, United-States, <=50K
23, Private, Some-college, Never-married, Other-service, Unmarried, White, Female,0,0,16, United-States, <=50K
43, Private, Some-college, Married-civ-spouse, Sales, Husband, White, Male,0,0,40, United-States, <=50K
57, Self-emp-not-inc, Masters, Married-civ-spouse, Exec-managerial, Husband, Asian-Pac-Islander, Male,0,0,60, United-States, >50K
28, Self-emp-not-inc, Some-college, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,35, United-States, <=50K
49, Self-emp-inc, HS-grad, Married-civ-spouse, Sales, Husband, White, Male,0,0,45, United-States, <=50K
42, State-gov, Masters, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,50, United-States, >50K
43, Private, HS-grad, Separated, Adm-clerical, Wife, White, Female,1709,0,40, United-States, >50K
22, Private, HS-grad, Never-married, Craft-repair, Own-child, White, Male,0,0,40, United-States, <=50K
30, State-gov, Some-college, Never-married, Prof-specialty, Not-in-family, White, Female,0,0,40, United-States, <=50K
48, Private, Bachelors, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,1977,45, United-States, >50K
44, Private, Bachelors, Separated, Prof-specialty, Not-in-family, White, Male,0,0,40, United-States, <=50K
45, Private, Some-college, Married-civ-spouse, Craft-repair, Husband, White, Male,3367,0,40, United-States, <=50K
45, Private, HS-grad, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,38, United-States, >50K
39, Private, Some-college, Separated, Craft-repair, Not-in-family, White, Female,0,0,45, United-States, <=50K
46, Private, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, United-States, >50K
80, Self-emp-not-inc, HS-grad, Widowed, Other-service, Unmarried, White, Female,0,0,32, United-States, <=50K
34, Private, Some-college, Never-married, Sales, Unmarried, Black, Female,0,0,40, United-States, <=50K
52, Private, 9th, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,40, United-States, >50K
52, Self-emp-not-inc, HS-grad, Married-civ-spouse, Prof-specialty, Not-in-family, Other, Male,0,0,38, United-States, <=50K
73, Self-emp-not-inc, HS-grad, Widowed, Machine-op-inspct, Not-in-family, White, Male,0,0,15, United-States, <=50K
40, Private, Bachelors, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,50, United-States, <=50K
52, State-gov, HS-grad, Divorced, Other-service, Not-in-family, Black, Female,0,0,40, United-States, <=50K
48, Private, Some-college, Never-married, Adm-clerical, Unmarried, White, Female,0,0,40, United-States, <=50K
20, Private, 11th, Never-married, Machine-op-inspct, Own-child, White, Male,0,0,40, United-States, <=50K
37, Private, HS-grad, Married-civ-spouse, Exec-managerial, Husband, Other, Male,7298,0,40, United-States, >50K
23, State-gov, HS-grad, Never-married, Adm-clerical, Not-in-family, White, Female,0,0,30, United-States, <=50K
35, Private, 10th, Married-civ-spouse, Prof-specialty, Husband, White, Male,4078,0,40, United-States, >50K
43, Private, HS-grad, Divorced, Transport-moving, Not-in-family, White, Male,0,0,40, United-States, <=50K
33, Private, HS-grad, Divorced, Exec-managerial, Unmarried, White, Female,0,0,40, United-States, <=50K
26, Private, Some-college, Never-married, Adm-clerical, Not-in-family, Black, Female,0,0,40, United-States, <=50K
31, Private, Bachelors, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,50, United-States, <=50K
47, Self-emp-inc, HS-grad, Married-civ-spouse, Prof-specialty, Not-in-family, White, Male,0,0,70, United-States, <=50K
36, Private, Bachelors, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, <=50K
42, Private, Some-college, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,45, United-States, >50K
33, Private, Bachelors, Divorced, Craft-repair, Husband, White, Male,0,0,50, United-States, >50K
29, Local-gov, 11th, Never-married, Exec-managerial, Not-in-family, White, Female,0,0,40, United-States, <=50K
18, Private, 11th, Never-married, Adm-clerical, Own-child, Black, Male,0,0,15, United-States, <=50K
45, Private, Masters, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,0,0,40, United-States, >50K
17, Private, 10th, Never-married, Prof-specialty, Own-child, White, Male,0,0,16, United-States, <=50K
20, Self-emp-not-inc, HS-grad, Never-married, Adm-clerical, Not-in-family, White, Female,0,0,40, United-States, <=50K
52, Self-emp-inc, Assoc-voc, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, <=50K
45, Private, Some-college, Divorced, Exec-managerial, Not-in-family, White, Male,0,0,61, United-States, <=50K
63, Self-emp-not-inc, Doctorate, Married-civ-spouse, Sales, Husband, White, Male,0,0,45, United-States, >50K
27, Private, HS-grad, Married-civ-spouse, Sales, Husband, White, Male,0,0,50, United-States, <=50K
32, Private, Bachelors, Divorced, Handlers-cleaners, Not-in-family, White, Female,1889,0,40, United-States, <=50K
58, Self-emp-not-inc, Bachelors, Married-civ-spouse, Exec-managerial, Not-in-family, Black, Male,0,0,50, United-States, <=50K
58, Private, HS-grad, Married-civ-spouse, Sales, Husband, White, Female,0,0,40, United-States, <=50K
51, Self-emp-not-inc, HS-grad, Never-married, Exec-managerial, Husband, Black, Female,0,0,50, United-States, <=50K
63, State-gov, Some-college, Married-civ-spouse, Sales, Husband, White, Male,0,0,10, United-States, <=50K
34, Private, Bachelors, Never-married, Other-service, Not-in-family, White, Male,0,0,40, United-States, <=50K
39, Private, HS-grad, Never-married, Sales, Not-in-family, White, Male,0,0,40, United-States, <=50K
50, Private, 7th-8th, Never-married, Adm-clerical, Not-in-family, White, Female,0,877,20, United-States, <=50K
27, Private, Some-college, Never-married, Craft-repair, Husband, White, Male,0,0,40, United-States, <=50K
29, Private, Assoc-voc, Never-married, Handlers-cleaners, Own-child, White, Female,0,0,54, United-States, >50K
51, Self-emp-not-inc, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, <=50K
48, State-gov, HS-grad, Divorced, Craft-repair, Unmarried, White, Female,0,0,40, United-States, <=50K
30, Private, Assoc-acdm, Divorced, Sales, Unmarried, White, Female,0,0,40, United-States, <=50K
33, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,45, United-States, <=50K
57, Private, HS-grad, Divorced, Adm-clerical, Not-in-family, White, Female,0,1595,45, United-States, <=50K
32, Private, HS-grad, Never-married, Craft-repair, Not-in-family, White, Male,0,0,37, United-States, <=50K
44, Self-emp-inc, HS-grad, Married-civ-spouse, Sales, Husband, White, Male,0,0,70, United-States, >50K
43, Private, HS-grad, Separated, Transport-moving, Unmarried, White, Female,0,0,30, United-States, <=50K
63, Private, 10th, Married-civ-spouse, Machine-op-inspct, Not-in-family, White, Male,0,0,40, United-States, <=50K
24, Private, HS-grad, Never-married, Farming-fishing, Not-in-family, White, Male,0,0,80, United-States, <=50K
31, Private, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, United-States, >50K
43, Private, Bachelors, Separated, Other-service, Wife, White, Female,0,0,35, United-States, >50K
27, Private, Some-college, Never-married, Craft-repair, Own-child, White, Male,0,0,40, United-States, <=50K
41, Private, Some-college, Never-married, Sales, Not-in-family, White, Male,0,0,40, United-States, <=50K
45, Local-gov, 1st-4th, Married-civ-spouse, Craft-repair, Not-in-family, White, Male,0,0,40, United-States, <=50K
29, Private, Assoc-voc, Never-married, Prof-specialty, Not-in-family, White, Male,0,0,35, United-States, <=50K
30, Private, Some-college, Never-married, Adm-clerical, Own-child, White, Female,0,0,45, United-States, >50K
21, Private, Some-college, Never-married, Transport-moving, Own-child, White, Female,0,0,16, United-States, <=50K
22, Private, Some-college, Never-married, Adm-clerical, Not-in-family, Amer-Indian-Eskimo, Male,0,0,40, United-States, <=50K
56, Private, Some-college, Widowed, Prof-specialty, Unmarried, Black, Female,0,0,40, United-States, >50K
36, Private, Bachelors, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,5013,0,35, United-States, >50K
19, Private, Some-college, Never-married, Machine-op-inspct, Own-child, Black, Female,0,1755,8, United-States, <=50K
32, Local-gov, Bachelors, Never-married, Sales, Not-in-family, White, Female,0,0,60, United-States, <=50K
38, Private, 5th-6th, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,50, United-States, <=50K
30, Private, Some-college, Never-married, Other-service, Not-in-family, White, Female,0,0,25, United-States, <=50K
23, Private, HS-grad, Never-married, Transport-moving, Own-child, White, Male,0,0,35, United-States, <=50K
22, Private, HS-grad, Never-married, Transport-moving, Not-in-family, White, Male,0,0,40, United-States, <=50K
43, Self-emp-not-inc, Bachelors, Married-civ-spouse, Craft-repair, Husband, White, Male,0,1977,40, Mexico, >50K
54, Private, HS-grad, Divorced, Craft-repair, Husband, White, Male,0,0,50, United-States, >50K
21, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, <=50K
24, Private, Some-college, Married-civ-spouse, Tech-support, Not-in-family, White, Male,0,0,40, United-States, <=50K
51, Self-emp-inc, Masters, Married-civ-spouse, Protective-serv, Husband, White, Male,0,1977,35, United-States, <=50K
55, Private, Some-college, Married-civ-spouse, Farming-fishing, Husband, White, Male,4060,0,40, United-States, >50K
27, Private, Some-college, Never-married, Prof-specialty, Own-child, White, Male,0,0,40, United-States, >50K
33, Private, Bachelors, Never-married, Craft-repair, Not-in-family, White, Male,0,0,45, United-States, <=50K
47, Private, Doctorate, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,60, United-States, >50K
42, Private, HS-grad, Never-married, Adm-clerical, Unmarried, White, Female,0,0,40, United-States, <=50K
45, Self-emp-not-inc, 9th, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,50, United-States, <=50K
48, Private, Assoc-voc, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,70, United-States, >50K
18, Private, Bachelors, Never-married, Sales, Own-child, White, Male,0,0,12, Yugoslavia, <=50K
18, Private, 11th, Never-married, Protective-serv, Own-child, White, Male,0,0,25, United-States, >50K
41, Private, Some-college, Divorced, Prof-specialty, Not-in-family, White, Female,0,0,38, Cuba, <=50K
56, Private, HS-grad, Never-married, Prof-specialty, Not-in-family, White, Female,0,0,40, United-States, <=50K
63, Private, 9th, Widowed, Other-service, Not-in-family, White, Female,0,0,25, United-States, <=50K
25, Private, Some-college, Never-married, Sales, Own-child, White, Female,0,0,8, United-States, <=50K
68, Private, Some-college, Widowed, Sales, Wife, White, Male,0,0,30, United-States, <=50K
26, Private, Assoc-voc, Married-spouse-absent, Adm-clerical, Not-in-family, White, Male,0,0,45, Mexico, <=50K
44, Private, Bachelors, Married-civ-spouse, Craft-repair, Husband, White, Male,15024,0,50, United-States, >50K
30, Private, Some-college, Never-married, Craft-repair, Own-child, White, Male,0,0,40, United-States, <=50K
52, Self-emp-inc, HS-grad, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,54, United-States, <=50K
25, Private, 11th, Never-married, Craft-repair, Own-child, White, Male,0,0,40, United-States, <=50K
62, State-gov, Some-college, Divorced, Other-service, Not-in-family, White, Female,0,0,24, United-States, <=50K
41, Private, Some-college, Married-civ-spouse, Prof-specialty, Wife, White, Male,0,2415,44, United-States, >50K
46, Federal-gov, HS-grad, Married-civ-spouse, Farming-fishing, Husband, White, Male,0,0,40, Ecuador, <=50K
42, Private, HS-grad, Married-civ-spouse, Exec-managerial, Wife, White, Male,0,0,36, United-States, >50K
49, Self-emp-not-inc, 11th, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, <=50K
62, Private, HS-grad, Divorced, Other-service, Unmarried, White, Female,0,0,32, United-States, <=50K
27, Private, 9th, Never-married, Other-service, Wife, White, Female,0,0,25, United-States, <=50K
53, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,45, United-States, >50K
36, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, Black, Male,0,0,40, United-States, >50K
40, Private, Some-college, Never-married, Adm-clerical, Not-in-family, White, Female,0,0,45, United-States, <=50K
36, Self-emp-not-inc, HS-grad, Divorced, Transport-moving, Not-in-family, White, Male,0,0,50, United-States, <=50K
35, Private, 5th-6th, Never-married, Other-service, Unmarried, White, Female,0,0,32, United-States, <=50K
32, Private, HS-grad, Divorced, Sales, Not-in-family, White, Female,0,0,40, United-States, <=50K
52, Private, Bachelors, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, <=50K
18, Private, 11th, Never-married, Other-service, Own-child, White, Male,0,0,12, United-States, <=50K
35, Private, Assoc-voc, Never-married, Exec-managerial, Not-in-family, White, Male,0,0,40, United-States, <=50K
46, Self-emp-not-inc, HS-grad, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,42, United-States, >50K
37, Private, Some-college, Never-married, Other-service, Unmarried, White, Female,0,0,40, United-States, <=50K
56, Private, 7th-8th, Married-civ-spouse, Handlers-cleaners, Husband, White, Female,0,0,24, United-States, <=50K
37, State-gov, HS-grad, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,0,0,40, United-States, <=50K
30, Private, Assoc-voc, Never-married, Prof-specialty, Husband, White, Male,0,0,40, United-States, <=50K
18, Private, 10th, Never-married, Handlers-cleaners, Own-child, White, Male,0,0,35, United-States, <=50K
60, Private, Bachelors, Married-civ-spouse, Tech-support, Husband, White, Male,0,0,40, United-States, >50K
55, Private, 5th-6th, Never-married, Prof-specialty, Unmarried, White, Female,0,0,20, United-States, <=50K
19, Private, Some-college, Never-married, Other-service, Not-in-family, White, Male,0,0,30, United-States, <=50K
33, Private, Some-college, Married-civ-spouse, Exec-managerial, Wife, White, Male,0,0,40, United-States, >50K
39, Self-emp-not-inc, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,50, United-States, >50K
33, Self-emp-not-inc, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, >50K
37, Private, Assoc-voc, Never-married, Prof-specialty, Unmarried, White, Female,0,0,50, United-States, >50K
29, Private, Some-college, Divorced, Adm-clerical, Not-in-family, White, Female,0,0,40, United-States, <=50K
30, Private, Bachelors, Separated, Adm-clerical, Wife, Black, Female,0,0,25, United-States, <=50K
60, Private, Assoc-acdm, Divorced, Adm-clerical, Not-in-family, White, Male,0,0,35, United-States, <=50K
29, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,45, United-States, <=50K
40, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,48, United-States, >50K
42, Private, Bachelors, Separated, Adm-clerical, Unmarried, White, Female,0,0,40, Portugal, <=50K
46, Private, 11th, Married-civ-spouse, Other-service, Wife, White, Male,0,0,40, United-States, >50K
43, Private, Bachelors, Married-civ-spouse, Sales, Husband, White, Male,15024,0,40, United-States, >50K
45, Local-gov, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,60, United-States, >50K
38, Private, Masters, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,54, United-States, >50K
49, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, <=50K
26, Private, Bachelors, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,2110,40, United-States, >50K
43, Private, Bachelors, Married-civ-spouse, Other-service, Unmarried, White, Male,0,1887,50, United-States, >50K
30, Private, HS-grad, Divorced, Tech-support, Unmarried, White, Female,0,0,30, United-States, <=50K
43, Private, Bachelors, Never-married, Prof-specialty, Wife, White, Female,0,0,50, United-States, >50K
37, Private, HS-grad, Divorced, Other-service, Unmarried, White, Female,0,0,45, United-States, <=50K
25, Private, Bachelors, Never-married, Other-service, Own-child, White, Female,0,0,40, United-States, <=50K
60, Private, 5th-6th, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, >50K
37, Private, Some-college, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,50, Germany, >50K
46, Private, Bachelors, Married-civ-spouse, Adm-clerical, Wife, White, Male,0,0,40, United-States, <=50K
40, Self-emp-inc, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, <=50K
53, Self-emp-not-inc, HS-grad, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, United-States, <=50K
51, Federal-gov, 9th, Divorced, Other-service, Not-in-family, White, Female,0,0,40, United-States, <=50K
48, Private, Some-college, Married-civ-spouse, Sales, Wife, White, Male,0,0,35, United-States, >50K
21, Private, Some-college, Never-married, Other-service, Own-child, White, Female,0,0,30, United-States, <=50K
56, Private, Bachelors, Widowed, Prof-specialty, Unmarried, White, Female,0,0,38, United-States, <=50K
36, Self-emp-inc, HS-grad, Married-civ-spouse, Protective-serv, Husband, White, Male,0,0,50, United-States, >50K
48, Private, Masters, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,40, United-States, >50K
40, Private, Bachelors, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,60, United-States, >50K
49, Private, Some-college, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, United-States, <=50K
26, Private, Masters, Never-married, Craft-repair, Wife, White, Male,0,0,50, United-States, >50K
17, Private, 10th, Never-married, Handlers-cleaners, Own-child, White, Female,0,0,20, United-States, <=50K
27, Private, Bachelors, Never-married, Craft-repair, Own-child, Black, Male,0,0,40, United-States, <=50K
26, Private, Some-college, Married-civ-spouse, Handlers-cleaners, Own-child, White, Male,0,0,40, United-States, <=50K
