34, Self-emp-not-inc, Bachelors, Married-civ-spouse, Craft-repair, Wife, Amer-Indian-Eskimo, Male,0,0,50, Greece, >50K
64, Self-emp-not-inc, HS-grad, Divorced, Exec-managerial, Unmarried, Amer-Indian-Eskimo, Male,0,0,40, United-States, <=50K
29, Self-emp-not-inc, Some-college, Never-married, Tech-support, Not-in-family, White, Female,0,0,20, United-States, <=50K
45, Self-emp-not-inc, HS-grad, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,84, India, <=50K
23, State-gov, Some-college, Never-married, Craft-repair, Not-in-family, Other, Male,0,0,40, Philippines, <=50K
43, Self-emp-not-inc, HS-grad, Married-civ-spouse, Craft-repair, Wife, White, Male,0,1902,50, United-States, >50K
39, Self-emp-not-inc, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,54, United-States, <=50K
39, Without-pay, Masters, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,35, Peru, <=50K
25, Private, Bachelors, Married-civ-spouse, Prof-specialty, Not-in-family, White, Male,0,0,20, India, <=50K
51, Private, HS-grad, Married-civ-spouse, Sales, Husband, White, Male,0,0,45, Laos, <=50K
18, Private, Some-college, Married-civ-spouse, Handlers-cleaners, Own-child, White, Female,0,0,30, United-States, <=50K
37, Self-emp-inc, Masters, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,0,0,50, United-States, <=50K
17, Private, 11th, Never-married, Other-service, Own-child, White, Male,0,0,15, United-States, <=50K
20, Private, HS-grad, Never-married, Sales, Not-in-family, Other, Female,0,0,15, United-States, <=50K
32, Self-emp-not-inc, Prof-school, Never-married, Other-service, Wife, White, Male,0,0,40, United-States, <=50K
54, Private, Some-college, Married-civ-spouse, Transport-moving, Husband, Asian-Pac-Islander, Male,0,0,54, United-States, <=50K
50, Private, Assoc-voc, Widowed, Handlers-cleaners, Unmarried, Asian-Pac-Islander, Female,0,0,40, United-States, <=50K
62, Self-emp-not-inc, Masters, Married-civ-spouse, Sales, Husband, Asian-Pac-Islander, Male,0,0,20, Cuba, <=50K
19, Self-emp-not-inc, Some-college, Never-married, Other-service, Own-child, White, Male,0,0,16, United-States, <=50K
38, Private, Bachelors, Married-civ-spouse, Craft-repair, Husband, White, Female,0,0,45, United-States, <=50K
41, State-gov, HS-grad, Married-civ-spouse, Prof-specialty, Husband, Amer-Indian-Eskimo, Female,2472,0,40, Trinadad&Tobago, <=50K
72, Private, Some-college, Widowed, Exec-managerial, Not-in-family, Other, Female,0,0,40, United-States, <=50K
24, Local-gov, Assoc-voc, Married-civ-spouse, Handlers-cleaners, Own-child, White, Male,0,0,50, United-States, <=50K
17, Private, 11th, Never-married, Handlers-cleaners, Own-child, Amer-Indian-Eskimo, Male,0,0,15, Hungary, <=50K
38, Self-emp-not-inc, HS-grad, Never-married, Exec-managerial, Not-in-family, White, Male,11309,0,50, Poland, <=50K
39, Private, 11th, Married-civ-spouse, Other-service, Husband, Asian-Pac-Islander, Male,0,0,30, Jamaica, <=50K
54, Local-gov, HS-grad, Divorced, Tech-support, Unmarried, Black, Female,0,0,35, United-States, <=50K
58, Private, Bachelors, Married-civ-spouse, Prof-specialty, Wife, White, Female,0,0,40, United-States, >50K
45, Self-emp-not-inc, HS-grad, Married-civ-spouse, Farming-fishing, Husband, Amer-Indian-Eskimo, Female,0,1887,40, Taiwan, >50K
39, Private, Bachelors, Never-married, Sales, Not-in-family, White, Male,0,0,40, United-States, <=50K
26, Private, Some-college, Never-married, Other-service, Own-child, White, Male,0,0,15, El-Salvador, <=50K
21, Private, HS-grad, Never-married, Farming-fishing, Own-child, White, Male,0,0,40, Mexico, <=50K
48, Private, Some-college, Divorced, Sales, Not-in-family, Other, Female,0,0,60, United-States, <=50K
21, Private, HS-grad, Divorced, Adm-clerical, Own-child, White, Male,0,0,35, United-States, >50K
37, Local-gov, 7th-8th, Married-civ-spouse, Exec-managerial, Not-in-family, White, Male,0,0,45, Scotland, <=50K
24, Local-gov, Assoc-voc, Never-married, Adm-clerical, Not-in-family, Amer-Indian-Eskimo, Male,0,0,37, United-States, <=50K
59, Private, Some-college, Married-civ-spouse, Farming-fishing, Husband, White, Male,0,0,40, United-States, <=50K
49, Private, Assoc-voc, Separated, Other-service, Unmarried, Black, Female,0,0,40, El-Salvador, <=50K
47, Self-emp-not-inc, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Female,0,0,40, United-States, >50K
30, Self-emp-inc, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,1887,50, Philippines, >50K
37, Private, Some-college, Married-civ-spouse, Handlers-cleaners, Wife, White, Male,0,1977,35, Peru, >50K
33, Self-emp-not-inc, Bachelors, Married-civ-spouse, Sales, Husband, Other, Female,0,0,60, Greece, >50K
35, Private, HS-grad, Married-civ-spouse, Sales, Husband, Other, Male,0,0,40, Puerto-Rico, <=50K
21, Private, Bachelors, Never-married, Other-service, Own-child, Other, Male,0,0,40, United-States, <=50K
34, Self-emp-not-inc, HS-grad, Married-civ-spouse, Exec-managerial, Own-child, Amer-Indian-Eskimo, Female,0,0,70, United-States, <=50K
28, Private, Bachelors, Married-civ-spouse, Sales, Husband, White, Female,0,0,50, United-States, <=50K
64, Self-emp-not-inc, HS-grad, Widowed, Other-service, Not-in-family, Amer-Indian-Eskimo, Female,0,0,8, United-States, <=50K
59, Self-emp-not-inc, Some-college, Married-civ-spouse, Protective-serv, Husband, Asian-Pac-Islander, Male,0,0,40, United-States, <=50K
24, Private, Bachelors, Never-married, Prof-specialty, Not-in-family, White, Male,0,0,50, United-States, <=50K
22, Private, Some-college, Never-married, Sales, Own-child, Black, Male,0,0,40, Trinadad&Tobago, <=50K
27, Private, Assoc-voc, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, France, <=50K
43, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, <=50K
39, Private, Assoc-voc, Separated, Machine-op-inspct, Wife, White, Female,0,0,40, Puerto-Rico, >50K
22, Private, Doctorate, Never-married, Adm-clerical, Not-in-family, Asian-Pac-Islander, Male,2754,0,40, United-States, <=50K
32, State-gov, HS-grad, Never-married, Handlers-cleaners, Unmarried, White, Male,0,0,40, United-States, <=50K
20, Private, 12th, Never-married, Sales, Unmarried, White, Male,0,0,35, United-States, <=50K
45, Private, Bachelors, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, >50K
27, Private, Some-college, Never-married, Adm-clerical, Not-in-family, Asian-Pac-Islander, Female,0,0,40, Trinadad&Tobago, <=50K
65, Private, HS-grad, Divorced, Adm-clerical, Not-in-family, White, Female,0,3143,40, Haiti, <=50K
63, Private, HS-grad, Widowed, Sales, Wife, White, Male,0,0,40, United-States, >50K
67, Private, HS-grad, Widowed, Tech-support, Wife, White, Male,9169,0,24, Thailand, >50K
24, Private, 11th, Married-civ-spouse, Handlers-cleaners, Own-child, White, Male,1650,0,50, United-States, <=50K
26, Private, HS-grad, Never-married, Farming-fishing, Not-in-family, White, Male,0,0,60, United-States, <=50K
59, Private, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,45, United-States, >50K
33, Private, HS-grad, Never-married, Craft-repair, Own-child, Black, Male,6956,0,40, United-States, >50K
51, Self-emp-not-inc, Some-college, Married-civ-spouse, Craft-repair, Own-child, White, Male,0,0,40, Mexico, <=50K
36, Private, Some-college, Separated, Sales, Not-in-family, White, Male,0,0,40, Hungary, <=50K
36, Local-gov, Assoc-acdm, Never-married, Adm-clerical, Unmarried, Black, Male,0,0,35, Thailand, <=50K
30, Private, Bachelors, Never-married, Prof-specialty, Not-in-family, White, Male,0,0,36, United-States, <=50K
42, Local-gov, Some-college, Never-married, Adm-clerical, Not-in-family, White, Female,0,0,36, United-States, >50K
43, Private, Some-college, Never-married, Transport-moving, Not-in-family, White, Female,0,0,25, United-States, <=50K
34, Private, Some-college, Married-civ-spouse, Craft-repair, Husband, Amer-Indian-Eskimo, Male,0,0,40, United-States, >50K
41, Private, Some-college, Married-civ-spouse, Sales, Husband, Amer-Indian-Eskimo, Male,0,0,40, United-States, >50K
23, Private, Bachelors, Never-married, Handlers-cleaners, Own-child, White, Female,0,0,40, Honduras, <=50K
65, Private, Some-college, Married-civ-spouse, Prof-specialty, Not-in-family, Amer-Indian-Eskimo, Male,0,0,20, United-States, >50K
22, Local-gov, Bachelors, Married-civ-spouse, Sales, Husband, White, Male,0,0,45, United-States, >50K
19, Private, 11th, Never-married, Adm-clerical, Own-child, Black, Male,0,0,15, United-States, <=50K
42, Private, Some-college, Never-married, Prof-specialty, Not-in-family, White, Female,0,0,40, Thailand, <=50K
25, Private, Masters, Never-married, Tech-support, Own-child, White, Male,0,0,40, United-States, <=50K
22, Self-emp-not-inc, HS-grad, Divorced, Transport-moving, Own-child, White, Male,0,0,35, Yugoslavia, <=50K
28, Self-emp-not-inc, HS-grad, Separated, Adm-clerical, Not-in-family, Black, Male,0,0,48, Columbia, <=50K
48, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, Black, Male,0,0,40, Portugal, <=50K
51, Private, Bachelors, Divorced, Craft-repair, Not-in-family, White, Male,0,0,40, United-States, <=50K
40, Private, Some-college, Married-civ-spouse, Sales, Not-in-family, White, Male,0,0,40, Portugal, <=50K
37, Self-emp-not-inc, Masters, Married-civ-spouse, Sales, Husband, White, Male,0,0,50, England, <=50K
59, Self-emp-not-inc, Some-college, Married-civ-spouse, Farming-fishing, Husband, White, Male,0,0,73, Poland, >50K
37, Private, Some-college, Divorced, Handlers-cleaners, Not-in-family, White, Male,0,0,40, Vietnam, <=50K
30, Private, Bachelors, Never-married, Craft-repair, Not-in-family, White, Male,0,0,54, United-States, <=50K
21, Private, HS-grad, Never-married, Handlers-cleaners, Own-child, Asian-Pac-Islander, Male,0,0,24, United-States, <=50K
75, Private, HS-grad, Married-civ-spouse, Exec-managerial, Husband, White, Female,0,0,30, United-States, >50K
29, Self-emp-not-inc, Assoc-voc, Never-married, Craft-repair, Husband, White, Male,0,0,50, United-States, <=50K
21, Private, HS-grad, Married-civ-spouse, Craft-repair, Own-child, Black, Male,0,0,40, Philippines, <=50K
27, Private, Bachelors, Never-married, Prof-specialty, Not-in-family, White, Female,0,0,35, Yugoslavia, <=50K
30, Private, HS-grad, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,40, United-States, >50K
21, Private, Some-college, Never-married, Sales, Husband, White, Male,0,0,48, Cambodia, >50K
24, Private, HS-grad, Married-civ-spouse, Sales, Husband, White, Male,0,0,40, United-States, <=50K
34, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,54, Philippines, <=50K
24, Local-gov, Some-college, Married-civ-spouse, Sales, Own-child, White, Male,0,0,40, United-States, <=50K
52, Private, Some-college, Separated, Tech-support, Wife, Black, Male,0,0,40, United-States, <=50K
38, Private, Assoc-voc, Divorced, Adm-clerical, Not-in-family, White, Male,0,0,50, China, <=50K
20, Private, Bachelors, Married-civ-spouse, Adm-clerical, Husband, Other, Male,0,0,30, United-States, <=50K
34, Private, Some-college, Married-civ-spouse, Exec-managerial, Not-in-family, Black, Male,5563,0,60, United-States, >50K
39, Private, HS-grad, Married-civ-spouse, Exec-managerial, Wife, White, Male,0,0,40, United-States, <=50K
57, Private, Assoc-acdm, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,71, Guatemala, >50K
40, State-gov, Some-college, Married-civ-spouse, Prof-specialty, Husband, White, Male,7069,0,40, United-States, >50K
55, Private, Some-college, Separated, Prof-specialty, Unmarried, Black, Male,0,0,40, United-States, <=50K
34, Federal-gov, HS-grad, Married-civ-spouse, Handlers-cleaners, Husband, Other, Male,0,0,40, Cambodia, <=50K
48, Private, Masters, Married-civ-spouse, Craft-repair, Husband, Other, Male,3396,0,50, United-States, >50K
40, Self-emp-not-inc, Assoc-acdm, Married-civ-spouse, Craft-repair, Own-child, White, Male,0,0,35, United-States, <=50K
22, Private, Some-college, Never-married, Prof-specialty, Own-child, White, Female,0,0,12, Outlying-US(Guam-USVI-etc), >50K
46, Private, Assoc-voc, Married-civ-spouse, Prof-specialty, Wife, White, Male,0,0,50, United-States, <=50K
26, Private, Bachelors, Never-married, Handlers-cleaners, Own-child, White, Female,0,0,75, United-States, >50K
26, Private, HS-grad, Never-married, Craft-repair, Own-child, Amer-Indian-Eskimo, Female,0,0,40, Thailand, <=50K
31, Private, Some-college, Never-married, Adm-clerical, Not-in-family, White, Male,0,0,40, United-States, <=50K
20, Private, HS-grad, Never-married, Transport-moving, Own-child, White, Male,0,0,40, United-States, <=50K
35, Private, Assoc-acdm, Married-civ-spouse, Prof-specialty, Husband, White, Female,0,0,54, United-States, >50K
37, Private, HS-grad, Married-civ-spouse, Sales, Husband, White, Female,0,0,50, Dominican-Republic, <=50K
23, Private, Bachelors, Never-married, Adm-clerical, Not-in-family, White, Male,0,0,40, Peru, <=50K
17, Private, 10th, Never-married, Handlers-cleaners, Own-child, White, Male,0,0,25, United-States, <=50K
20, Private, Bachelors, Never-married, Handlers-cleaners, Not-in-family, Black, Male,0,0,30, United-States, <=50K
46, Self-emp-not-inc, Some-college, Divorced, Prof-specialty, Not-in-family, White, Male,0,0,48, United-States, <=50K
37, Private, Some-college, Never-married, Other-service, Unmarried, White, Male,0,0,30, Taiwan, <=50K
46, Private, Bachelors, Never-married, Prof-specialty, Not-in-family, Asian-Pac-Islander, Female,0,0,40, United-States, <=50K
23, State-gov, HS-grad, Never-married, Craft-repair, Unmarried, White, Male,0,0,30, Mexico, <=50K
57, Self-emp-not-inc, Bachelors, Never-married, Prof-specialty, Husband, Asian-Pac-Islander, Male,0,0,60, United-States, >50K
30, Private, Assoc-acdm, Married-civ-spouse, Exec-managerial, Husband, Other, Male,0,0,52, El-Salvador, >50K
30, Private, Bachelors, Married-civ-spouse, Tech-support, Not-in-family, White, Male,0,0,40, Portugal, <=50K
22, Private, 12th, Never-married, Prof-specialty, Own-child, Other, Male,0,0,16, Portugal, <=50K
50, Local-gov, Some-college, Divorced, Other-service, Unmarried, Black, Female,0,1722,35, Portugal, <=50K
51, Self-emp-not-inc, Some-college, Married-civ-spouse, Exec-managerial, Wife, White, Male,0,0,35, Mexico, <=50K
62, Self-emp-not-inc, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,50, United-States, >50K
47, Private, HS-grad, Divorced, Handlers-cleaners, Not-in-family, White, Female,0,0,40, United-States, <=50K
46, Private, Assoc-voc, Married-civ-spouse, Machine-op-inspct, Husband, Other, Female,0,0,40, United-States, >50K
30, Self-emp-not-inc, Some-college, Never-married, Farming-fishing, Not-in-family, White, Male,0,0,99, Trinadad&Tobago, <=50K
29, Private, HS-grad, Married-civ-spouse, Craft-repair, Wife, Asian-Pac-Islander, Male,0,0,40, United-States, <=50K
54, Private, Assoc-acdm, Divorced, Adm-clerical, Not-in-family, Black, Male,0,0,40, United-States, <=50K
20, Private, Some-college, Never-married, Exec-managerial, Own-child, Other, Female,0,0,40, Peru, <=50K
33, Private, Bachelors, Married-civ-spouse, Handlers-cleaners, Wife, White, Male,0,0,40, United-States, <=50K
54, Private, Bachelors, Never-married, Craft-repair, Husband, White, Male,15024,0,40, Columbia, >50K
31, Private, 12th, Never-married, Prof-specialty, Not-in-family, White, Male,0,0,27, United-States, <=50K
32, Private, HS-grad, Divorced, Other-service, Own-child, White, Male,0,0,40, United-States, <=50K
29, Local-gov, Masters, Never-married, Other-service, Not-in-family, White, Female,0,0,40, El-Salvador, <=50K
36, Private, HS-grad, Divorced, Transport-moving, Unmarried, Black, Female,0,0,56, United-States, <=50K
53, Private, Masters, Married-civ-spouse, Exec-managerial, Husband, White, Female,0,0,45, United-States, <=50K
21, Private, Assoc-voc, Never-married, Other-service, Own-child, Other, Male,0,0,30, United-States, <=50K
36, Private, Bachelors, Married-civ-spouse, Prof-specialty, Wife, White, Male,0,0,40, United-States, >50K
22, Private, Some-college, Divorced, Sales, Unmarried, Black, Female,0,0,35, Haiti, <=50K
31, Private, HS-grad, Never-married, Machine-op-inspct, Wife, White, Female,0,0,40, United-States, <=50K
59, Private, Bachelors, Married-civ-spouse, Sales, Wife, White, Female,0,0,40, United-States, >50K
49, Private, HS-grad, Divorced, Prof-specialty, Not-in-family, White, Female,0,0,54, United-States, <=50K
43, Self-emp-inc, Assoc-voc, Never-married, Exec-managerial, Not-in-family, Black, Female,0,0,40, Honduras, <=50K
