60, Self-emp-not-inc, HS-grad, Divorced, Adm-clerical, Wife, Amer-Indian-Eskimo, Male,0,0,40, Honduras, <=50K
40, Private, Bachelors, Never-married, Prof-specialty, Unmarried, White, Female,0,0,40, United-States, <=50K
19, Private, Some-college, Never-married, Sales, Own-child, Asian-Pac-Islander, Male,0,0,40, Philippines, <=50K
61, Private, 7th-8th, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, United-States, <=50K
58, Private, 9th, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,0,0,40, United-States, >50K
63, Local-gov, 7th-8th, Divorced, Prof-specialty, Unmarried, Black, Male,0,0,99, Jamaica, <=50K
41, Local-gov, Bachelors, Married-civ-spouse, Machine-op-inspct, Husband, White, Female,0,0,40, United-States, <=50K
27, Local-gov, HS-grad, Never-married, Other-service, Husband, Asian-Pac-Islander, Male,0,0,30, United-States, <=50K
36, Private, Assoc-voc, Separated, Prof-specialty, Unmarried, White, Male,0,0,50, United-States, <=50K
43, Self-emp-not-inc, HS-grad, Divorced, Sales, Not-in-family, Other, Male,0,0,25, United-States, <=50K
50, Self-emp-not-inc, Some-college, Divorced, Adm-clerical, Not-in-family, White, Female,0,0,20, Yugoslavia, <=50K
84, Private, 7th-8th, Married-civ-spouse, Exec-managerial, Husband, White, Male,2313,0,32, Haiti, >50K
79, Self-emp-not-inc, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Female,0,0,12, India, <=50K
34, Private, Assoc-voc, Never-married, Other-service, Unmarried, Other, Female,0,0,40, United-States, <=50K
18, Private, Some-college, Never-married, Protective-serv, Own-child, White, Female,0,0,40, United-States, <=50K
29, State-gov, HS-grad, Never-married, Craft-repair, Husband, White, Male,0,0,60, Honduras, <=50K
44, Private, 11th, Never-married, Sales, Unmarried, White, Female,0,0,40, United-States, <=50K
23, Private, HS-grad, Divorced, Craft-repair, Not-in-family, Black, Female,0,0,40, United-States, <=50K
32, Private, Masters, Married-civ-spouse, Transport-moving, Not-in-family, White, Male,0,0,40, United-States, <=50K
56, Self-emp-not-inc, Some-college, Married-civ-spouse, Farming-fishing, Unmarried, White, Female,0,0,20, United-States, <=50K
45, Private, 5th-6th, Married-civ-spouse, Craft-repair, Not-in-family, White, Female,15024,0,45, Ireland, >50K
37, Private, HS-grad, Married-civ-spouse, Sales, Husband, White, Male,0,0,40, Cuba, >50K
39, Private, HS-grad, Divorced, Adm-clerical, Not-in-family, White, Female,0,0,10, Yugoslavia, <=50K
47, Self-emp-inc, Masters, Married-civ-spouse, Protective-serv, Husband, Asian-Pac-Islander, Male,0,0,45, United-States, >50K
27, Private, Masters, Never-married, Machine-op-inspct, Husband, Amer-Indian-Eskimo, Female,0,0,40, Scotland, <=50K
19, Private, Some-college, Never-married, Prof-specialty, Own-child, White, Male,0,0,15, United-States, <=50K
38, Private, HS-grad, Divorced, Transport-moving, Not-in-family, White, Female,0,0,40, United-States, <=50K
26, Private, Assoc-voc, Never-married, Exec-managerial, Not-in-family, Other, Female,0,0,40, United-States, <=50K
20, Local-gov, Some-college, Never-married, Adm-clerical, Unmarried, White, Male,0,0,17, United-States, <=50K
47, Private, 5th-6th, Never-married, Adm-clerical, Husband, White, Male,0,0,40, United-States, <=50K
38, Private, HS-grad, Married-civ-spouse, Sales, Husband, White, Male,0,0,40, Peru, <=50K
62, Private, Bachelors, Married-civ-spouse, Protective-serv, Husband, White, Female,0,0,30, Portugal, <=50K
38, Self-emp-not-inc, Some-college, Married-civ-spouse, Craft-repair, Unmarried, Black, Male,7298,0,40, United-States, >50K
32, Private, HS-grad, Married-civ-spouse, Craft-repair, Not-in-family, White, Male,0,0,40, United-States, >50K
22, Private, 11th, Never-married, Handlers-cleaners, Own-child, Other, Female,0,0,13, Greece, <=50K
43, Private, HS-grad, Divorced, Adm-clerical, Unmarried, Asian-Pac-Islander, Female,0,0,40, United-States, <=50K
55, Private, Bachelors, Married-civ-spouse, Craft-repair, Unmarried, White, Male,0,0,40,, <=50K
38, Private, HS-grad, Divorced, Handlers-cleaners, Not-in-family, Other, Female,0,0,40, United-States, <=50K
23, Private, Some-college, Never-married, Other-service, Wife, White, Female,0,0,15, United-States, <=50K
26, Federal-gov, HS-grad, Never-married, Sales, Unmarried, White, Female,0,0,40, Guatemala, <=50K
49, Private, HS-grad, Divorced, Prof-specialty, Husband, White, Male,0,0,30, United-States, <=50K
42, State-gov, Assoc-acdm, Married-civ-spouse, Other-service, Not-in-family, White, Male,0,0,50, United-States, <=50K
32, Private, Some-college, Separated, Sales, Not-in-family, White, Female,0,0,35, Nicaragua, <=50K
52, Private, Bachelors, Married-civ-spouse, Craft-repair, Husband, Black, Female,0,0,40, Philippines, <=50K
32, Private, Bachelors, Never-married, Craft-repair, Husband, White, Female,0,0,40, Thailand, <=50K
24, Private, Some-college, Never-married, Adm-clerical, Not-in-family, White, Female,0,0,35, United-States, <=50K
34, Local-gov, Masters, Married-civ-spouse, Sales, Husband, White, Male,0,0,40, United-States, >50K
58, Private, Assoc-acdm, Married-civ-spouse, Craft-repair, Not-in-family, White, Male,0,0,40, United-States, <=50K
24, Private, Bachelors, Never-married, Other-service, Not-in-family, White, Female,0,0,54, United-States, <=50K
26, Private, HS-grad, Never-married, Prof-specialty, Not-in-family, White, Female,0,0,35, United-States, <=50K
60, Private, HS-grad, Separated, Exec-managerial, Not-in-family, White, Female,0,0,30, United-States, <=50K
56, Private, 7th-8th, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,45, United-States, <=50K
66, Self-emp-not-inc, Some-college, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, <=50K
37, Private, HS-grad, Married-civ-spouse, Other-service, Unmarried, White, Female,0,0,40, Puerto-Rico, <=50K
71, Self-emp-not-inc, HS-grad, Married-civ-spouse, Machine-op-inspct, Husband, White, Female,1941,0,12, India, <=50K
30, Private, Some-college, Married-civ-spouse, Exec-managerial, Not-in-family, White, Male,0,0,40, United-States, <=50K
36, Self-emp-inc, HS-grad, Divorced, Craft-repair, Not-in-family, White, Male,0,0,80, Columbia, <=50K
24, Private, HS-grad, Married-civ-spouse, Sales, Husband, White, Male,0,0,60, United-States, <=50K
32, Private, Some-college, Married-civ-spouse, Sales, Husband, Asian-Pac-Islander, Male,0,0,40, United-States, >50K
32, Private, HS-grad, Never-married, Other-service, Own-child, Amer-Indian-Eskimo, Female,0,0,40, United-States, <=50K
46, Self-emp-not-inc, HS-grad, Divorced, Sales, Unmarried, Black, Male,0,0,60, Cuba, <=50K
37, Self-emp-not-inc, 5th-6th, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,35, United-States, <=50K
52, Self-emp-not-inc, 11th, Divorced, Adm-clerical, Unmarried, White, Female,0,0,40, United-States, <=50K
29, Private, Some-college, Never-married, Farming-fishing, Not-in-family, White, Male,0,0,40, United-States, <=50K
40, Self-emp-not-inc, Bachelors, Married-civ-spouse, Sales, Not-in-family, White, Female,0,0,45, United-States, >50K
26, Private, Some-college, Married-civ-spouse, Craft-repair, Husband, White, Female,0,0,40, United-States, <=50K
46, Self-emp-not-inc, Some-college, Never-married, Prof-specialty, Unmarried, White, Male,0,0,70, United-States, >50K
27, Private, Some-college, Never-married, Sales, Own-child, Black, Male,0,0,40, United-States, <=50K
25, Private, Some-college, Never-married, Exec-managerial, Husband, White, Female,0,0,40, United-States, <=50K
50, Private, Some-college, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,40, United-States, <=50K
19, Self-emp-not-inc, Some-college, Never-married, Sales, Not-in-family, White, Male,0,0,30, Yugoslavia, <=50K
33, Local-gov, Some-college, Never-married, Transport-moving, Own-child, Asian-Pac-Islander, Male,0,0,40, United-States, <=50K
19, Private, 12th, Never-married, Adm-clerical, Own-child, Black, Female,0,0,15, United-States, <=50K
40, Private, Bachelors, Married-civ-spouse, Tech-support, Unmarried, Black, Male,0,0,35, United-States, <=50K
27, Federal-gov, HS-grad, Never-married, Craft-repair, Husband, White, Male,6850,0,45, Scotland, >50K
34, Private, Some-college, Never-married, Other-service, Not-in-family, White, Male,0,0,45, United-States, <=50K
44, Private, HS-grad, Never-married, Transport-moving, Not-in-family, White, Male,0,0,40, United-States, <=50K
27, Private, HS-grad, Never-married, Tech-support, Unmarried, Amer-Indian-Eskimo, Female,0,0,40, United-States, <=50K
22, Private, Some-college, Never-married, Other-service, Own-child, White, Female,0,0,15, United-States, <=50K
63, Private, HS-grad, Married-civ-spouse, Sales, Husband, White, Male,0,1887,40, United-States, >50K
58, Private, Doctorate, Married-civ-spouse, Transport-moving, Husband, White, Female,0,1728,48, United-States, >50K
54, Self-emp-not-inc, Some-college, Married-civ-spouse, Sales, Husband, White, Male,0,0,50, United-States, <=50K
35, Private, Some-college, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,50, United-States, >50K
60, Private, HS-grad, Divorced, Craft-repair, Husband, Black, Male,0,0,40, France, <=50K
29, Private, Some-college, Never-married, Sales, Unmarried, White, Female,0,0,30, Honduras, <=50K
45, Private, HS-grad, Married-civ-spouse, Sales, Not-in-family, Other, Female,0,0,40, Ireland, <=50K
40, Private, 5th-6th, Divorced, Sales, Not-in-family, White, Male,0,0,50, United-States, >50K
28, Private, Some-college, Never-married, Sales, Not-in-family, White, Female,0,0,40, United-States, <=50K
25, Self-emp-not-inc, Some-college, Married-civ-spouse, Tech-support, Husband, White, Male,0,0,45, United-States, <=50K
25, Private, Bachelors, Divorced, Craft-repair, Own-child, White, Female,0,0,40, United-States, <=50K
44, Private, 7th-8th, Married-civ-spouse, Adm-clerical, Unmarried, White, Female,0,0,40, Japan, <=50K
49, State-gov, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, Germany, <=50K
18, Private, Some-college, Never-married, Sales, Own-child, Asian-Pac-Islander, Female,0,0,40, Mexico, <=50K
37, Private, HS-grad, Married-civ-spouse, Exec-managerial, Unmarried, White, Male,0,0,40, United-States, >50K
35, Private, HS-grad, Married-civ-spouse, Prof-specialty, Not-in-family, White, Male,14575,0,40, United-States, >50K
60, Self-emp-not-inc, Assoc-voc, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,50, United-States, <=50K
49, Private, HS-grad, Separated, Craft-repair, Not-in-family, Asian-Pac-Islander, Male,0,0,30, United-States, >50K
41, Private, HS-grad, Married-civ-spouse, Adm-clerical, Husband, White, Male,0,0,60, United-States, <=50K
30, Without-pay, 12th, Divorced, Exec-managerial, Not-in-family, Other, Male,0,0,40, United-States, <=50K
58, Federal-gov, 12th, Married-civ-spouse, Exec-managerial, Husband, Black, Female,0,2285,40, United-States, >50K
19, Private, HS-grad, Never-married, Other-service, Own-child, Asian-Pac-Islander, Male,0,0,16, United-States, <=50K
62, Local-gov, Bachelors, Married-civ-spouse, Protective-serv, Husband, White, Female,0,0,40, United-States, <=50K
34, Private, Some-college, Married-civ-spouse, Prof-specialty, Not-in-family, Black, Male,0,0,45, England, <=50K
35, Private, Some-college, Married-civ-spouse, Adm-clerical, Husband, White, Male,0,0,40, United-States, <=50K
21, Private, HS-grad, Never-married, Adm-clerical, Not-in-family, White, Male,0,0,40, United-States, <=50K
52, Private, Some-college, Married-civ-spouse, Sales, Not-in-family, White, Male,0,0,40, Guatemala, <=50K
40, Private, Assoc-voc, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,0,0,50, Poland, >50K
26, Private, Some-college, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, <=50K
19, Private, Some-college, Never-married, Other-service, Own-child, White, Female,0,0,25, El-Salvador, <=50K
41, Private, Masters, Married-civ-spouse, Exec-managerial, Not-in-family, White, Male,8846,0,50, Canada, >50K
40, Private, Some-college, Divorced, Transport-moving, Not-in-family, White, Female,0,0,45, Canada, <=50K
38, Federal-gov, Some-college, Separated, Farming-fishing, Unmarried, White, Female,0,0,99, United-States, <=50K
34, Private, Masters, Married-civ-spouse, Prof-specialty, Husband, Asian-Pac-Islander, Male,0,1848,40, United-States, >50K
53, Private, Bachelors, Married-civ-spouse, Prof-specialty, Not-in-family, White, Male,0,0,40, United-States, <=50K
68, Self-emp-not-inc, HS-grad, Divorced, Other-service, Husband, Amer-Indian-Eskimo, Male,0,0,35, United-States, <=50K
26, Private, Bachelors, Never-married, Other-service, Not-in-family, Amer-Indian-Eskimo, Male,0,0,40, United-States, <=50K
60, Private, HS-grad, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,40, Germany, <=50K
40, State-gov, Some-college, Divorced, Craft-repair, Not-in-family, Asian-Pac-Islander, Female,0,0,40, United-States, <=50K
45, Private, Some-college, Divorced, Prof-specialty, Not-in-family, White, Male,0,0,60, United-States, <=50K
50, State-gov, HS-grad, Divorced, Adm-clerical, Unmarried, White, Male,0,0,35, United-States, <=50K
46, Self-emp-not-inc, HS-grad, Never-married, Sales, Husband, White, Female,0,0,5, United-States, <=50K
37, Self-emp-inc, HS-grad, Married-civ-spouse, Prof-specialty, Husband, White, Female,12566,0,45, United-States, >50K
27, Private, Bachelors, Never-married, Machine-op-inspct, Husband, White, Male,0,0,40, United-States, <=50K
46, Self-emp-not-inc, Masters, Never-married, Sales, Unmarried, White, Male,0,0,16, United-States, <=50K
53, Self-emp-not-inc, HS-grad, Married-civ-spouse, Transport-moving, Unmarried, White, Male,0,0,54, United-States, <=50K
23, Private, 9th, Divorced, Craft-repair, Not-in-family, White, Female,2904,0,40, United-States, <=50K
24, Local-gov, HS-grad, Married-civ-spouse, Exec-managerial, Husband, Black, Male,0,0,60, United-States, >50K
47, Private, Bachelors, Married-civ-spouse, Craft-repair, Husband, Black, Male,0,0,45, United-States, >50K
29, State-gov, Some-college, Never-married, Sales, Not-in-family, White, Female,0,0,35, United-States, <=50K
29, Private, Some-college, Never-married, Sales, Husband, White, Male,0,0,40, United-States, <=50K
59, Private, HS-grad, Married-civ-spouse, Transport-moving, Not-in-family, White, Male,0,0,40, United-States, <=50K
45, Local-gov, 12th, Divorced, Sales, Husband, White, Male,0,0,40, Yugoslavia, <=50K
34, Private, Bachelors, Divorced, Adm-clerical, Unmarried, Asian-Pac-Islander, Female,0,0,42, United-States, <=50K
24, Private, Assoc-voc, Never-married, Prof-specialty, Husband, White, Male,0,0,45, Canada, <=50K
42, State-gov, HS-grad, Never-married, Sales, Wife, Other, Male,4744,0,40, United-States, >50K
20, Private, HS-grad, Never-married, Sales, Not-in-family, White, Female,0,0,20, United-States, <=50K
23, Private, HS-grad, Never-married, Sales, Own-child, White, Female,0,0,25, United-States, <=50K
23, Private, Some-college, Never-married, Prof-specialty, Not-in-family, White, Male,0,0,40, France, <=50K
25, Private, HS-grad, Never-married, Other-service, Not-in-family, White, Female,0,0,40, United-States, <=50K
65, Self-emp-not-inc, 10th, Married-civ-spouse, Exec-managerial, Unmarried, White, Male,0,0,6, United-States, <=50K
48, Self-emp-not-inc, Assoc-voc, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,40, United-States, <=50K
57, Private, HS-grad, Widowed, Protective-serv, Unmarried, Other, Female,0,0,40, United-States, <=50K
45, Self-emp-not-inc, HS-grad, Married-civ-spouse, Farming-fishing, Unmarried, White, Male,0,0,99, United-States, <=50K
39, Private, Some-college, Married-civ-spouse, Craft-repair, Unmarried, Asian-Pac-Islander, Male,0,0,42, United-States, >50K
39, Self-emp-not-inc, Some-college, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,55, United-States, <=50K
56, Private, HS-grad, Married-civ-spouse, Adm-clerical, Husband, Amer-Indian-Eskimo, Male,4225,0,40, United-States, <=50K
32, Self-emp-not-inc, Bachelors, Married-civ-spouse, Exec-managerial, Husband, Other, Male,0,0,54, United-States, >50K
19, Private, HS-grad, Never-married, Adm-clerical, Own-child, White, Male,0,0,40, United-States, <=50K
25, Private, Some-college, Never-married, Craft-repair, Own-child, White, Male,0,0,40, United-States, <=50K
55, Private, Masters, Widowed, Sales, Husband, White, Male,0,0,50, United-States, <=50K
63, Private, HS-grad, Widowed, Handlers-cleaners, Not-in-family, Black, Male,0,0,45, United-States, >50K
42, Private, HS-grad, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,40, United-States, >50K
27, Private, HS-grad, Never-married, Tech-support, Not-in-family, White, Female,0,0,20, United-States, <=50K
49, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, Puerto-Rico, >50K
36, Private, Some-college, Married-civ-spouse, Sales, Husband, White, Male,0,0,40, United-States, >50K
56, Local-gov, Doctorate, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,3314,0,40, United-States, <=50K
39, Self-emp-not-inc, Bachelors, Divorced, Farming-fishing, Unmarried, White, Male,0,0,45, Ireland, >50K
29, Private, HS-grad, Married-civ-spouse, Machine-op-inspct, Not-in-family, White, Male,0,1887,50, United-States, >50K
48, State-gov, Some-college, Married-civ-spouse, Other-service, Not-in-family, Black, Male,0,0,35, United-States, <=50K
34, Private, Some-college, Never-married, Handlers-cleaners, Unmarried, Amer-Indian-Eskimo, Male,0,0,40, United-States, <=50K
41, Private, Bachelors, Married-civ-spouse, Machine-op-inspct, Husband, Other, Male,0,0,40, United-States, <=50K
18, Private, 11th, Never-married, Craft-repair, Own-child, White, Male,0,0,18, United-States, <=50K
58, Self-emp-not-inc, 9th, Widowed, Protective-serv, Unmarried, White, Female,0,0,40, United-States, <=50K
23, Private, Bachelors, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,35, United-States, <=50K
43, Self-emp-not-inc, HS-grad, Married-civ-spouse, Other-service, Husband, White, Female,0,0,30, United-States, >50K
23, Private, HS-grad, Never-married, Prof-specialty, Not-in-family, White, Female,0,0,40, United-States, <=50K
65, Private, Prof-school, Married-civ-spouse, Sales, Husband, White, Male,0,2251,65, United-States, >50K
43, Private, Assoc-voc, Divorced, Sales, Husband, White, Male,0,0,50, Philippines, <=50K
53, Self-emp-not-inc, Some-college, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, United-States, >50K
55, Self-emp-not-inc, Bachelors, Married-civ-spouse, Sales, Husband, White, Male,0,0,54, United-States, >50K
21, Private, 11th, Never-married, Sales, Other-relative, White, Female,0,0,40, United-States, <=50K
45, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Female,0,0,48, United-States, <=50K
43, State-gov, Some-college, Divorced, Craft-repair, Husband, White, Male,0,0,54, Thailand, >50K
35, Private, Bachelors, Never-married, Craft-repair, Not-in-family, White, Male,0,0,50, France, <=50K
24, Self-emp-not-inc, Bachelors, Married-civ-spouse, Craft-repair, Own-child, White, Male,0,0,40, United-States, <=50K
73, Federal-gov, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, Portugal, <=50K
55, Self-emp-not-inc, 7th-8th, Divorced, Prof-specialty, Not-in-family, White, Female,0,0,35, United-States, <=50K
25, Private, HS-grad, Never-married, Priv-house-serv, Husband, Other, Male,0,0,40, United-States, <=50K
44, Private, Some-college, Married-civ-spouse, Other-service, Wife, White, Male,0,0,35, United-States, <=50K
34, Private, Bachelors, Married-civ-spouse, Machine-op-inspct, Not-in-family, White, Male,7298,0,35, Germany, <=50K
36, Private, Masters, Married-civ-spouse, Exec-managerial, Own-child, White, Male,2829,0,40, Canada, <=50K
61, Self-emp-inc, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,7687,0,50, United-States, >50K
47, Private, Masters, Married-civ-spouse, Transport-moving, Husband, White, Male,0,1902,47, United-States, >50K
41, Self-emp-inc, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,1843,40, United-States, >50K
19, Local-gov, Some-college, Never-married, Handlers-cleaners, Own-child, White, Male,0,0,20, United-States, <=50K
65, Private, Prof-school, Widowed, Sales, Not-in-family, White, Male,0,0,50, United-States, <=50K
56, Private, HS-grad, Divorced, Craft-repair, Not-in-family, Black, Female,0,0,40, Cambodia, <=50K
37, Private, Some-college, Married-civ-spouse, Sales, Husband, White, Male,5028,0,50, United-States, >50K
44, Private, Some-college, Divorced, Transport-moving, Unmarried, White, Female,0,0,35, United-States, <=50K
39, Private, Assoc-acdm, Divorced, Craft-repair, Not-in-family, Black, Female,0,0,35, United-States, <=50K
36, Private, Bachelors, Married-civ-spouse, Other-service, Not-in-family, White, Male,0,0,50, United-States, <=50K
27, Private, Bachelors, Divorced, Other-service, Unmarried, White, Female,0,0,38, United-States, <=50K
45, Private, Bachelors, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,70, Poland, <=50K
38, Private, Prof-school, Never-married, Adm-clerical, Husband, White, Male,0,0,40, United-States, <=50K
24, Private, Some-college, Never-married, Exec-managerial, Not-in-family, White, Male,0,0,50, United-States, <=50K
55, Self-emp-inc, Some-college, Married-civ-spouse, Craft-repair, Husband, Black, Male,0,0,36, United-States, >50K
43, State-gov, HS-grad, Divorced, Prof-specialty, Unmarried, White, Female,0,0,35, Cambodia, <=50K
25, Self-emp-not-inc, Some-college, Never-married, Craft-repair, Not-in-family, White, Male,0,0,40, United-States, <=50K
37, Private, HS-grad, Married-civ-spouse, Transport-moving, Husband, White, Female,0,0,40, United-States, >50K
22, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Female,0,0,40, United-States, >50K
33, Private, Prof-school, Married-civ-spouse, Exec-managerial, Husband, White, Male,7687,0,50, Cambodia, >50K
53, Private, Bachelors, Married-civ-spouse, Craft-repair, Husband, White, Male,7687,0,20, United-States, >50K
76, Private, HS-grad, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,20, United-States, <=50K
62, Private, HS-grad, Married-civ-spouse, Farming-fishing, Husband, White, Male,2881,0,40, United-States, >50K
33, Private, Some-college, Never-married, Other-service, Unmarried, Amer-Indian-Eskimo, Male,0,0,25, United-States, <=50K
46, Self-emp-inc, 11th, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, United-States, <=50K
50, Private, Bachelors, Married-civ-spouse, Other-service, Unmarried, White, Female,0,0,40, Puerto-Rico, <=50K
36, Private, HS-grad, Married-civ-spouse, Adm-clerical, Husband, White, Male,3998,0,35, Columbia, <=50K
29, Private, Masters, Married-civ-spouse, Machine-op-inspct, Husband, Other, Male,0,0,40, United-States, >50K
57, Private, Bachelors, Divorced, Other-service, Not-in-family, White, Female,0,0,32, Taiwan, >50K
47, State-gov, Bachelors, Married-civ-spouse, Adm-clerical, Not-in-family, White, Male,0,0,40, Columbia, <=50K
26, Self-emp-not-inc, HS-grad, Never-married, Prof-specialty, Own-child, White, Male,0,0,20, Portugal, <=50K
28, Private, HS-grad, Married-civ-spouse, Exec-managerial, Own-child, White, Male,0,0,40, Haiti, <=50K
37, Self-emp-not-inc, Masters, Married-civ-spouse, Farming-fishing, Husband, White, Male,0,0,50, Italy, <=50K
63, Private, Masters, Divorced, Priv-house-serv, Husband, White, Female,0,0,35, Germany, <=50K
37, Private, HS-grad, Never-married, Craft-repair, Husband, White, Male,0,0,40, Guatemala, <=50K
37, Private, 7th-8th, Divorced, Craft-repair, Husband, White, Female,0,0,40, Philippines, <=50K
61, Self-emp-inc, Preschool, Divorced, Prof-specialty, Not-in-family, Amer-Indian-Eskimo, Female,0,0,50, United-States, <=50K
36, Local-gov, Some-college, Never-married, Sales, Husband, White, Male,15024,0,40, United-States, >50K
41, Private, 11th, Married-civ-spouse, Other-service, Husband, Asian-Pac-Islander, Male,0,0,40, United-States, <=50K
48, Private, HS-grad, Married-civ-spouse, Sales, Not-in-family, White, Male,0,0,40, Scotland, >50K
