41, Self-emp-not-inc, HS-grad, Married-civ-spouse, Exec-managerial, Unmarried, Amer-Indian-Eskimo, Male,0,1902,60, Dominican-Republic, >50K
26, Federal-gov, Bachelors, Married-civ-spouse, Exec-managerial, Not-in-family, Amer-Indian-Eskimo, Male,7298,0,50, Ecuador, >50K
34, Private, HS-grad, Married-civ-spouse, Exec-managerial, Not-in-family, Black, Female,0,1977,40, Jamaica, >50K
42, Self-emp-not-inc, Some-college, Divorced, Sales, Husband, White, Female,0,0,64, United-States, <=50K
40, Private, HS-grad, Divorced, Exec-managerial, Husband, White, Male,0,0,35, China, <=50K
28, Private, Bachelors, Never-married, Exec-managerial, Not-in-family, Black, Female,0,0,35, El-Salvador, <=50K
33, Private, Bachelors, Divorced, Prof-specialty, Own-child, Black, Male,0,0,40, Dominican-Republic, <=50K
24, Private, Bachelors, Never-married, Craft-repair, Husband, Black, Female,0,0,45, Germany, <=50K
58, Private, HS-grad, Widowed, Craft-repair, Husband, Black, Female,0,0,50, Cambodia, <=50K
50, Private, HS-grad, Married-civ-spouse, Exec-managerial, Husband, Asian-Pac-Islander, Male,0,0,60, Canada, >50K
48, State-gov, Some-college, Married-spouse-absent, Exec-managerial, Unmarried, Asian-Pac-Islander, Female,0,1977,40, Yugoslavia, <=50K
61, Private, Masters, Married-civ-spouse, Exec-managerial, Not-in-family, Black, Male,0,0,48, Thailand, <=50K
39, Private, Some-college, Married-civ-spouse, Tech-support, Not-in-family, Amer-Indian-Eskimo, Female,0,0,40, Scotland, <=50K
40, Private, Some-college, Married-civ-spouse, Sales, Husband, Black, Male,0,0,40, El-Salvador, <=50K
26, Private, Some-college, Never-married, Exec-managerial, Husband, Asian-Pac-Islander, Female,0,0,60, Guatemala, <=50K
31, Private, Bachelors, Never-married, Prof-specialty, Husband, Other, Male,0,0,40, Guatemala, <=50K
68, State-gov, Masters, Married-civ-spouse, Prof-specialty, Husband, Amer-Indian-Eskimo, Male,7298,0,75, Ecuador, >50K
49, Private, Bachelors, Married-civ-spouse, Exec-managerial, Unmarried, Asian-Pac-Islander, Female,0,0,40, Dominican-Republic, <=50K
56, Self-emp-not-inc, HS-grad, Married-civ-spouse, Prof-specialty, Husband, White, Female,0,0,45, Nicaragua, >50K
63, Local-gov, Assoc-voc, Married-civ-spouse, Craft-repair, Not-in-family, Black, Male,0,0,70, Japan, >50K
34, Private, Bachelors, Married-civ-spouse, Prof-specialty, Not-in-family, White, Female,14135,0,50, Japan, >50K
26, Private, Some-college, Never-married, Sales, Own-child, Amer-Indian-Eskimo, Male,0,0,40, France, <=50K
40, Private, Assoc-acdm, Never-married, Farming-fishing, Husband, White, Male,0,0,36, Mexico, <=50K
63, Private, Assoc-acdm, Divorced, Other-service, Not-in-family, Black, Male,0,0,35, Poland, >50K
28, Local-gov, 5th-6th, Married-civ-spouse, Prof-specialty, Unmarried, Asian-Pac-Islander, Male,0,0,45, England, <=50K
26, Local-gov, HS-grad, Never-married, Other-service, Not-in-family, Black, Female,0,0,10, Hong, <=50K
50, Federal-gov, HS-grad, Separated, Other-service, Husband, Amer-Indian-Eskimo, Male,7298,0,45, Nicaragua, >50K
20, Private, Assoc-acdm, Separated, Other-service, Wife, Black, Male,0,0,40, Japan, <=50K
41, Self-emp-not-inc, HS-grad, Married-civ-spouse, Sales, Husband, Asian-Pac-Islander, Male,0,0,54, Honduras, <=50K
39, Private, Some-college, Divorced, Adm-clerical, Not-in-family, Black, Female,0,0,24, Yugoslavia, <=50K
42, Private, Assoc-acdm, Divorced, Exec-managerial, Husband, Other, Male,0,0,50, Cuba, >50K
32, Private, HS-grad, Married-civ-spouse, Craft-repair, Not-in-family, Black, Female,0,0,40, Ecuador, <=50K
44, Self-emp-inc, Assoc-voc, Never-married, Other-service, Not-in-family, Asian-Pac-Islander, Female,0,0,45, India, <=50K
51, Private, Some-college, Divorced, Prof-specialty, Not-in-family, Other, Female,0,0,40, Outlying-US(Guam-USVI-etc), <=50K
30, State-gov, HS-grad, Never-married, Craft-repair, Husband, Black, Male,0,0,40, Cuba, >50K
28, Private, 10th, Never-married, Tech-support, Own-child, Other, Female,0,0,40, Jamaica, <=50K
19, Private, HS-grad, Divorced, Craft-repair, Own-child, Amer-Indian-Eskimo, Female,0,0,20, Japan, <=50K
39, Private, Masters, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,65, Taiwan, >50K
31, Private, Some-college, Married-civ-spouse, Craft-repair, Own-child, Black, Female,0,0,40, Thailand, <=50K
47, Private, 12th, Married-civ-spouse, Adm-clerical, Other-relative, Other, Female,0,0,40, Ecuador, <=50K
40, Private, HS-grad, Married-civ-spouse, Sales, Husband, Asian-Pac-Islander, Male,0,0,40, Canada, <=50K
31, Private, HS-grad, Divorced, Craft-repair, Not-in-family, Other, Female,0,0,40, Yugoslavia, >50K
21, Private, HS-grad, Never-married, Prof-specialty, Not-in-family, Amer-Indian-Eskimo, Female,0,0,54, Taiwan, >50K
33, Private, Masters, Never-married, Other-service, Husband, Amer-Indian-Eskimo, Female,0,0,40, Greece, <=50K
22, Private, HS-grad, Married-civ-spouse, Other-service, Own-child, White, Male,0,0,20, Poland, <=50K
51, Private, Masters, Married-civ-spouse, Tech-support, Not-in-family, White, Male,0,0,11, Haiti, >50K
32, Private, Assoc-voc, Never-married, Exec-managerial, Husband, Asian-Pac-Islander, Female,0,0,54, Puerto-Rico, <=50K
47, Federal-gov, Some-college, Married-civ-spouse, Adm-clerical, Unmarried, White, Male,0,0,50, Jamaica, <=50K
34, Private, Assoc-acdm, Never-married, Adm-clerical, Husband, White, Male,0,0,72, India, <=50K
55, Private, HS-grad, Divorced, Sales, Husband, White, Male,0,0,40, France, <=50K
35, Private, Bachelors, Married-civ-spouse, Prof-specialty, Husband, Other, Female,0,0,50, Germany, <=50K
24, Private, Some-college, Never-married, Craft-repair, Unmarried, Asian-Pac-Islander, Female,0,0,40, Ireland, <=50K
55, Private, HS-grad, Married-civ-spouse, Exec-managerial, Unmarried, Other, Male,0,0,40, Japan, >50K
39, Local-gov, 12th, Married-civ-spouse, Exec-managerial, Other-relative, Asian-Pac-Islander, Female,0,0,50, Columbia, <=50K
50, Private, HS-grad, Divorced, Adm-clerical, Wife, Amer-Indian-Eskimo, Male,0,0,27, Jamaica, <=50K
52, Private, Bachelors, Divorced, Craft-repair, Wife, Other, Female,4858,0,40, Ecuador, >50K
38, Private, Bachelors, Married-civ-spouse, Craft-repair, Husband, Asian-Pac-Islander, Male,0,0,40, Taiwan, <=50K
49, Self-emp-inc, HS-grad, Married-civ-spouse, Transport-moving, Own-child, Amer-Indian-Eskimo, Male,0,0,40, Cuba, <=50K
43, Private, Bachelors, Never-married, Sales, Not-in-family, Amer-Indian-Eskimo, Female,0,0,40, Germany, <=50K
27, Private, 1st-4th, Never-married, Adm-clerical, Own-child, White, Female,0,0,17, South, >50K
27, Private, 9th, Never-married, Transport-moving, Own-child, Asian-Pac-Islander, Female,0,0,40, Canada, <=50K
36, Private, Some-college, Never-married, Craft-repair, Unmarried, Asian-Pac-Islander, Female,0,0,40, Dominican-Republic, <=50K
35, Private, HS-grad, Married-civ-spouse, Adm-clerical, Husband, Amer-Indian-Eskimo, Female,0,0,40, Honduras, <=50K
32, Private, HS-grad, Married-civ-spouse, Craft-repair, Unmarried, Asian-Pac-Islander, Female,0,0,40, Ireland, >50K
45, Private, Bachelors, Divorced, Exec-managerial, Husband, Asian-Pac-Islander, Male,0,0,40, United-States, <=50K
32, Private, Assoc-acdm, Never-married, Prof-specialty, Own-child, White, Male,0,0,36, Trinadad&Tobago, <=50K
47, Private, Prof-school, Married-civ-spouse, Sales, Husband, Black, Female,99999,0,70, Columbia, >50K
64, Private, HS-grad, Married-civ-spouse, Exec-managerial, Unmarried, Amer-Indian-Eskimo, Female,0,0,40, China, >50K
58, Private, Some-college, Married-civ-spouse, Exec-managerial, Unmarried, Black, Female,0,0,40, Hong, <=50K
26, Private, HS-grad, Married-civ-spouse, Craft-repair, Own-child, Asian-Pac-Islander, Male,0,0,37, Taiwan, <=50K
31, Private, HS-grad, Married-civ-spouse, Tech-support, Own-child, Asian-Pac-Islander, Male,0,0,41, Guatemala, >50K
34, State-gov, HS-grad, Divorced, Craft-repair, Not-in-family, Other, Male,0,0,40, Guatemala, <=50K
30, Private, HS-grad, Never-married, Prof-specialty, Not-in-family, Amer-Indian-Eskimo, Female,0,0,40, Trinadad&Tobago, <=50K
56, Private, HS-grad, Married-civ-spouse, Protective-serv, Unmarried, Amer-Indian-Eskimo, Female,0,0,40, Canada, <=50K
29, Private, HS-grad, Married-civ-spouse, Machine-op-inspct, Own-child, White, Male,0,0,45, England, <=50K
31, Private, HS-grad, Married-civ-spouse, Machine-op-inspct, Own-child, Other, Female,0,0,79, Taiwan, >50K
37, Private, HS-grad, Never-married, Craft-repair, Husband, Other, Male,0,0,40, Taiwan, <=50K
50, Self-emp-inc, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, Thailand, <=50K
44, Private, HS-grad, Married-civ-spouse, Prof-specialty, Husband, Other, Female,0,0,60, Scotland, >50K
17, Private, 11th, Never-married, Sales, Own-child, White, Female,0,0,15, France, <=50K
21, Local-gov, 11th, Never-married, Other-service, Own-child, Black, Male,0,0,8, China, <=50K
45, Federal-gov, 7th-8th, Divorced, Sales, Husband, Black, Female,0,0,45, Jamaica, <=50K
36, Self-emp-inc, HS-grad, Married-civ-spouse, Handlers-cleaners, Wife, Other, Male,0,0,40, Thailand, >50K
59, Private, Some-college, Married-civ-spouse, Sales, Husband, Amer-Indian-Eskimo, Male,0,0,54, Portugal, <=50K
45, Private, Masters, Divorced, Exec-managerial, Not-in-family, Amer-Indian-Eskimo, Male,0,0,40, Ireland, <=50K
39, Self-emp-not-inc, Some-college, Married-civ-spouse, Transport-moving, Husband, White, Female,0,0,60, Thailand, >50K
28, Private, HS-grad, Never-married, Sales, Husband, Black, Female,0,0,50, England, <=50K
21, State-gov, Some-college, Never-married, Craft-repair, Not-in-family, Asian-Pac-Islander, Male,0,0,40, Haiti, <=50K
46, Self-emp-not-inc, HS-grad, Widowed, Adm-clerical, Wife, White, Male,0,0,25, Thailand, >50K
36, Self-emp-not-inc, HS-grad, Never-married, Craft-repair, Husband, White, Male,14109,0,40, Thailand, <=50K
58, Without-pay, Prof-school, Never-married, Prof-specialty, Husband, White, Male,99999,0,50, Guatemala, <=50K
21, Private, Assoc-voc, Divorced, Machine-op-inspct, Not-in-family, Asian-Pac-Islander, Male,0,0,40, El-Salvador, <=50K
42, Private, HS-grad, Widowed, Sales, Husband, Other, Male,0,0,30, Greece, <=50K
18, Private, Some-college, Never-married, Handlers-cleaners, Own-child, Black, Female,0,0,40, Puerto-Rico, <=50K
47, Private, Masters, Married-civ-spouse, Machine-op-inspct, Husband, Other, Male,7687,0,40, Thailand, >50K
25, Private, Some-college, Never-married, Exec-managerial, Not-in-family, Other, Male,0,0,50, Outlying-US(Guam-USVI-etc), <=50K
25, Private, Bachelors, Never-married, Sales, Husband, Asian-Pac-Islander, Male,0,0,54, Portugal, <=50K
26, Self-emp-not-inc, Some-college, Never-married, Other-service, Unmarried, Black, Male,0,0,35, Scotland, <=50K
26, Private, Some-college, Never-married, Tech-support, Own-child, Amer-Indian-Eskimo, Male,0,0,40, Peru, <=50K
74, Private, 7th-8th, Widowed, Other-service, Not-in-family, Amer-Indian-Eskimo, Female,0,0,12, Thailand, <=50K
45, Self-emp-inc, Masters, Married-civ-spouse, Sales, Husband, Amer-Indian-Eskimo, Male,0,0,60, China, >50K
40, Self-emp-not-inc, HS-grad, Married-civ-spouse, Farming-fishing, Not-in-family, Black, Male,0,0,80, Portugal, <=50K
42, Private, Bachelors, Married-civ-spouse, Craft-repair, Husband, White, Female,7687,0,50, Outlying-US(Guam-USVI-etc), >50K
77, State-gov, HS-grad, Widowed, Protective-serv, Husband, Amer-Indian-Eskimo, Female,0,0,40, India, >50K
25, Private, Some-college, Never-married, Craft-repair, Not-in-family, Asian-Pac-Islander, Female,0,0,40, Japan, <=50K
32, Local-gov, 5th-6th, Never-married, Other-service, Unmarried, White, Male,0,0,40, Thailand, <=50K
65, Self-emp-not-inc, HS-grad, Widowed, Exec-managerial, Unmarried, Amer-Indian-Eskimo, Male,0,0,20, El-Salvador, >50K
39, State-gov, HS-grad, Never-married, Exec-managerial, Not-in-family, White, Male,0,0,54, Honduras, <=50K
29, Private, 10th, Married-civ-spouse, Prof-specialty, Husband, Amer-Indian-Eskimo, Female,0,0,54, Germany, <=50K
22, Private, Some-college, Married-civ-spouse, Tech-support, Own-child, Asian-Pac-Islander, Female,0,0,35, Outlying-US(Guam-USVI-etc), >50K
58, Private, HS-grad, Married-civ-spouse, Other-service, Wife, Black, Female,0,0,40, Italy, >50K
40, Self-emp-not-inc, Masters, Married-civ-spouse, Farming-fishing, Husband, Amer-Indian-Eskimo, Female,13780,0,40, India, >50K
37, Private, Bachelors, Married-civ-spouse, Transport-moving, Husband, Other, Male,0,0,60, Peru, <=50K
40, Private, Masters, Married-civ-spouse, Other-service, Other-relative, White, Male,0,0,20, Columbia, <=50K
34, Private, Bachelors, Married-civ-spouse, Exec-managerial, Not-in-family, White, Male,0,0,40, Haiti, <=50K
17, Private, Some-college, Never-married, Sales, Own-child, Asian-Pac-Islander, Female,0,0,16, United-States, <=50K
25, Private, Bachelors, Divorced, Adm-clerical, Not-in-family, Other, Male,0,0,48, Italy, >50K
26, Local-gov, 10th, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,60, Hong, <=50K
21, Local-gov, Assoc-acdm, Never-married, Adm-clerical, Not-in-family, Amer-Indian-Eskimo, Male,0,0,40, Japan, <=50K
27, Private, Some-college, Married-civ-spouse, Handlers-cleaners, Husband, White, Female,0,0,40, Peru, <=50K
36, Private, Bachelors, Married-civ-spouse, Sales, Not-in-family, Asian-Pac-Islander, Male,8614,0,71, Columbia, <=50K
35, Self-emp-not-inc, HS-grad, Married-civ-spouse, Exec-managerial, Husband, White, Female,0,0,99, Jamaica, >50K
68, Self-emp-not-inc, Bachelors, Divorced, Exec-managerial, Not-in-family, Other, Male,0,0,35, Haiti, <=50K
36, Private, Some-college, Divorced, Exec-managerial, Not-in-family, White, Female,0,0,65, Haiti, >50K
17, Private, 11th, Never-married, Sales, Own-child, Asian-Pac-Islander, Female,0,0,24, Dominican-Republic, <=50K
61, Local-gov, HS-grad, Married-civ-spouse, Sales, Not-in-family, Asian-Pac-Islander, Female,0,0,40, Hong, <=50K
67, Self-emp-not-inc, Bachelors, Divorced, Prof-specialty, Not-in-family, Asian-Pac-Islander, Female,0,0,5, Jamaica, <=50K
28, Self-emp-not-inc, Bachelors, Married-civ-spouse, Exec-managerial, Unmarried, Amer-Indian-Eskimo, Female,0,0,40, Trinadad&Tobago, <=50K
33, Private, Bachelors, Married-civ-spouse, Sales, Husband, Black, Female,0,0,70, Laos, <=50K
17, Private, 11th, Never-married, Other-service, Own-child, Amer-Indian-Eskimo, Female,0,0,25, Peru, <=50K
29, Self-emp-not-inc, Some-college, Married-civ-spouse, Sales, Own-child, Amer-Indian-Eskimo, Male,0,0,50, Thailand, <=50K
32, Private, Bachelors, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,50, United-States, <=50K
52, Private, HS-grad, Married-civ-spouse, Sales, Unmarried, Asian-Pac-Islander, Male,0,0,40, India, >50K
44, Private, 7th-8th, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,35, Cuba, <=50K
26, Private, Some-college, Never-married, Adm-clerical, Husband, White, Male,0,0,35, Vietnam, <=50K
38, Private, Assoc-acdm, Never-married, Handlers-cleaners, Unmarried, Black, Female,0,0,40, Honduras, >50K
61, Self-emp-not-inc, HS-grad, Married-civ-spouse, Exec-managerial, Husband, Amer-Indian-Eskimo, Male,0,0,60, Philippines, <=50K
33, State-gov, HS-grad, Never-married, Machine-op-inspct, Own-child, White, Male,0,0,40, Jamaica, >50K
51, Private, 7th-8th, Divorced, Tech-support, Wife, White, Male,0,0,38, Peru, >50K
21, Private, HS-grad, Never-married, Adm-clerical, Own-child, Asian-Pac-Islander, Male,0,0,40, Vietnam, <=50K
26, Private, HS-grad, Married-spouse-absent, Craft-repair, Not-in-family, Amer-Indian-Eskimo, Female,0,1902,40, Iran, >50K
46, Private, Doctorate, Married-civ-spouse, Exec-managerial, Not-in-family, Other, Female,20051,0,40, Ecuador, >50K
62, Private, HS-grad, Widowed, Protective-serv, Unmarried, Other, Male,0,0,40, Portugal, >50K
51, Private, Doctorate, Widowed, Transport-moving, Unmarried, Black, Male,0,1977,40, Iran, <=50K
40, Local-gov, 10th, Married-civ-spouse, Machine-op-inspct, Unmarried, Black, Male,0,0,40, Iran, <=50K
35, Private, Doctorate, Married-civ-spouse, Craft-repair, Husband, Other, Male,7298,0,38, South, <=50K
58, Private, Bachelors, Divorced, Priv-house-serv, Husband, Black, Male,0,0,24, Peru, >50K
32, Private, Bachelors, Never-married, Craft-repair, Not-in-family, Asian-Pac-Islander, Female,5162,0,40, Nicaragua, >50K
52, Self-emp-not-inc, Some-college, Married-civ-spouse, Craft-repair, Not-in-family, Black, Female,0,0,50, Guatemala, >50K
29, Private, Some-college, Never-married, Sales, Other-relative, White, Male,0,0,25, El-Salvador, <=50K
26, Local-gov, 11th, Never-married, Adm-clerical, Unmarried, Asian-Pac-Islander, Male,0,0,40, India, <=50K
60, Private, Bachelors, Divorced, Sales, Husband, Black, Male,0,0,50, Mexico, >50K
17, Private, Some-college, Never-married, Adm-clerical, Own-child, Other, Female,2278,0,40, Puerto-Rico, >50K
29, Private, Some-college, Never-married, Transport-moving, Husband, Black, Female,0,0,40, Philippines, <=50K
35, Private, Some-college, Never-married, Craft-repair, Husband, Amer-Indian-Eskimo, Male,0,0,40, Thailand, <=50K
36, Private, Some-college, Never-married, Sales, Not-in-family, Amer-Indian-Eskimo, Male,0,0,60, Japan, >50K
55, Private, Bachelors, Married-civ-spouse, Handlers-cleaners, Not-in-family, White, Female,0,0,24, Ecuador, <=50K
19, Private, Some-college, Never-married, Other-service, Own-child, Amer-Indian-Eskimo, Male,0,0,40, Peru, <=50K
23, Federal-gov, Bachelors, Married-civ-spouse, Sales, Not-in-family, White, Male,0,0,40, Thailand, <=50K
23, Private, 7th-8th, Married-civ-spouse, Craft-repair, Not-in-family, Asian-Pac-Islander, Male,9664,0,70, Iran, >50K
58, Private, Some-college, Never-married, Protective-serv, Husband, Asian-Pac-Islander, Female,0,0,35, Hong, >50K
28, Private, HS-grad, Married-civ-spouse, Transport-moving, Wife, Other, Male,0,0,40, South, <=50K
39, State-gov, Bachelors, Married-civ-spouse, Transport-moving, Husband, Other, Male,15024,0,50, Yugoslavia, >50K
47, Self-emp-not-inc, HS-grad, Separated, Craft-repair, Husband, Asian-Pac-Islander, Male,0,0,42, Canada, <=50K
25, Private, HS-grad, Divorced, Craft-repair, Husband, Asian-Pac-Islander, Male,0,0,40, Honduras, <=50K
45, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,42, United-States, <=50K
50, Private, Some-college, Divorced, Transport-moving, Husband, White, Male,0,0,48, Guatemala, <=50K
33, Private, Masters, Married-civ-spouse, Sales, Not-in-family, Other, Female,0,0,40, Columbia, <=50K
22, Private, Some-college, Never-married, Machine-op-inspct, Unmarried, Black, Male,0,0,30, Haiti, <=50K
38, Private, Some-college, Married-civ-spouse, Machine-op-inspct, Husband, Other, Male,0,0,40, Yugoslavia, <=50K
34, Private, Bachelors, Widowed, Adm-clerical, Unmarried, Black, Male,0,0,19, Nicaragua, <=50K
30, Private, HS-grad, Never-married, Farming-fishing, Not-in-family, Amer-Indian-Eskimo, Male,0,0,47, United-States, <=50K
39, Private, HS-grad, Married-civ-spouse, Exec-managerial, Husband, Other, Female,0,0,65, Iran, >50K
37, Self-emp-not-inc, Assoc-acdm, Never-married, Craft-repair, Husband, White, Male,0,0,60, Scotland, <=50K
19, Private, Assoc-acdm, Never-married, Machine-op-inspct, Own-child, Asian-Pac-Islander, Male,0,0,20, Honduras, <=50K
40, Private, HS-grad, Married-civ-spouse, Prof-specialty, Not-in-family, White, Female,0,0,40, Yugoslavia, <=50K
59, Private, Assoc-voc, Married-civ-spouse, Prof-specialty, Not-in-family, White, Male,0,0,15, Italy, >50K
36, Private, Some-college, Married-civ-spouse, Tech-support, Husband, White, Male,0,0,30, Cambodia, <=50K
20, Private, HS-grad, Never-married, Sales, Husband, White, Male,0,0,40, Mexico, <=50K
20, Private, Assoc-voc, Never-married, Handlers-cleaners, Not-in-family, Black, Male,0,0,40, Haiti, <=50K
37, Local-gov, Some-college, Married-civ-spouse, Sales, Husband, Other, Male,0,0,54, Japan, >50K
21, Private, Some-college, Never-married, Sales, Unmarried, Asian-Pac-Islander, Male,0,0,40, Laos, <=50K
28, Private, Bachelors, Married-civ-spouse, Adm-clerical, Not-in-family, White, Male,0,0,40, Canada, <=50K
19, Private, Bachelors, Never-married, Adm-clerical, Own-child, Asian-Pac-Islander, Male,0,0,40, Scotland, <=50K
20, Private, Some-college, Never-married, Craft-repair, Wife, Asian-Pac-Islander, Female,0,0,20, South, <=50K
35, Self-emp-inc, HS-grad, Never-married, Exec-managerial, Unmarried, Black, Male,0,0,65, Iran, <=50K
22, Private, 11th, Never-married, Craft-repair, Own-child, White, Female,0,0,40, Ecuador, <=50K
31, State-gov, Some-college, Married-civ-spouse, Other-service, Not-in-family, Black, Female,0,0,38, Taiwan, >50K
35, Private, Some-college, Never-married, Protective-serv, Wife, Asian-Pac-Islander, Male,0,0,40, Vietnam, <=50K
43, Federal-gov, Some-college, Never-married, Machine-op-inspct, Unmarried, Asian-Pac-Islander, Male,0,0,40, Cambodia, <=50K
29, Private, Some-college, Married-civ-spouse, Adm-clerical, Unmarried, Asian-Pac-Islander, Male,0,0,40, Outlying-US(Guam-USVI-etc), >50K
39, Self-emp-not-inc, 1st-4th, Married-civ-spouse, Exec-managerial, Not-in-family, Other, Female,15024,0,50, Japan, >50K
18, Private, HS-grad, Never-married, Other-service, Own-child, Other, Female,0,0,20, Greece, <=50K
29, Private, Assoc-acdm, Married-civ-spouse, Prof-specialty, Wife, White, Male,7687,0,40, Italy, <=50K
53, Private, Bachelors, Married-civ-spouse, Exec-managerial, Unmarried, Black, Female,0,0,40, Nicaragua, >50K
33, Private, HS-grad, Married-civ-spouse, Exec-managerial, Husband, Amer-Indian-Eskimo, Female,0,0,99, Ireland, >50K
27, Private, Some-college, Never-married, Adm-clerical, Not-in-family, White, Male,0,0,40, United-States, <=50K
32, Private, HS-grad, Married-civ-spouse, Transport-moving, Not-in-family, Black, Male,0,0,40, Philippines, <=50K
21, Private, 11th, Never-married, Other-service, Not-in-family, Black, Female,0,0,40, Ireland, <=50K
40, Private, HS-grad, Married-civ-spouse, Sales, Unmarried, White, Female,0,0,20, China, <=50K
23, Private, Bachelors, Married-civ-spouse, Adm-clerical, Own-child, Black, Male,0,0,45, Greece, <=50K
42, Private, Assoc-acdm, Separated, Exec-managerial, Unmarried, Black, Male,0,0,40, South, >50K
55, Private, Assoc-voc, Married-civ-spouse, Exec-managerial, Husband, Asian-Pac-Islander, Male,0,0,40, South, <=50K
75, Self-emp-not-inc, HS-grad, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, India, <=50K
53, Private, Some-college, Married-civ-spouse, Prof-specialty, Unmarried, Other, Male,0,0,40, Ireland, >50K
27, Private, Assoc-voc, Married-civ-spouse, Exec-managerial, Husband, Amer-Indian-Eskimo, Female,0,0,50, Hong, <=50K
61, State-gov, HS-grad, Married-civ-spouse, Farming-fishing, Husband, Other, Male,7298,0,45, Guatemala, >50K
26, Private, Bachelors, Separated, Protective-serv, Not-in-family, Amer-Indian-Eskimo, Male,0,0,50, India, <=50K
48, Local-gov, Assoc-acdm, Married-civ-spouse, Exec-managerial, Husband, Asian-Pac-Islander, Male,0,1887,60, Columbia, >50K
22, Private, Bachelors, Never-married, Transport-moving, Own-child, Other, Male,0,0,60, Honduras, <=50K
30, Private, 5th-6th, Married-civ-spouse, Protective-serv, Not-in-family, Asian-Pac-Islander, Male,0,0,54, Honduras, <=50K
50, Private, Some-college, Divorced, Prof-specialty, Husband, Asian-Pac-Islander, Female,0,0,40, Honduras, <=50K
56, Self-emp-inc, Some-college, Divorced, Craft-repair, Not-in-family, Other, Male,0,0,47, Guatemala, <=50K
49, Self-emp-not-inc, Bachelors, Married-civ-spouse, Exec-managerial, Not-in-family, Black, Male,0,0,40, Mexico, <=50K
39, Self-emp-not-inc, HS-grad, Married-civ-spouse, Exec-managerial, Husband, White, Female,0,0,50, Taiwan, >50K
51, Private, Assoc-acdm, Never-married, Other-service, Unmarried, Asian-Pac-Islander, Female,0,0,20, Scotland, >50K
25, Private, Some-college, Married-civ-spouse, Craft-repair, Not-in-family, Other, Male,0,0,40, India, <=50K
36, Private, Bachelors, Separated, Craft-repair, Wife, Amer-Indian-Eskimo, Male,0,0,40, Taiwan, <=50K
22, Private, 5th-6th, Never-married, Adm-clerical, Own-child, Asian-Pac-Islander, Male,0,0,24, Yugoslavia, <=50K
40, Private, Prof-school, Married-civ-spouse, Craft-repair, Own-child, Asian-Pac-Islander, Female,0,0,40, Haiti, <=50K
61, Private, Bachelors, Divorced, Craft-repair, Not-in-family, Other, Male,0,0,40, Ireland, <=50K
