49, Self-emp-not-inc, HS-grad, Divorced, Exec-managerial, Wife, Asian-Pac-Islander, Male,0,0,64, United-States, >50K
18, Private, Some-college, Never-married, Handlers-cleaners, Own-child, White, Male,0,0,15, Holand-Netherlands, <=50K
56, State-gov, Some-college, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, United-States, >50K
31, Private, Some-college, Never-married, Adm-clerical, Unmarried, White, Female,0,0,35, United-States, <=50K
49, Private, Masters, Divorced, Transport-moving, Unmarried, Black, Female,0,0,65, United-States, <=50K
41, Private, Some-college, Married-civ-spouse, Prof-specialty, Husband, White, Male,2766,0,40, United-States, <=50K
18, Private, Some-college, Never-married, Exec-managerial, Own-child, White, Female,0,0,40, United-States, <=50K
23, Private, Bachelors, Never-married, Sales, Not-in-family, White, Male,0,0,40, United-States, <=50K
36, State-gov, HS-grad, Never-married, Other-service, Own-child, Black, Female,0,0,40, United-States, <=50K
22, Private, Bachelors, Never-married, Handlers-cleaners, Own-child, White, Male,0,0,45, United-States, <=50K
53, Self-emp-not-inc, Masters, Married-civ-spouse, Prof-specialty, Wife, White, Female,0,0,54, United-States, >50K
20, Private, HS-grad, Never-married, Craft-repair, Own-child, White, Male,0,0,35, United-States, <=50K
28, Private, Bachelors, Never-married, Prof-specialty, Own-child, White, Female,0,0,45, United-States, >50K
40, Private, Some-college, Married-civ-spouse, Sales, Husband, Other, Male,5249,0,40, United-States, >50K
59, Private, 7th-8th, Married-civ-spouse, Farming-fishing, Husband, White, Male,0,0,40, United-States, <=50K
19, Private, Assoc-voc, Never-married, Other-service, Own-child, White, Male,0,1727,22, United-States, <=50K
53, Federal-gov, Assoc-acdm, Married-civ-spouse, Prof-specialty, Not-in-family, White, Male,0,0,40, United-States, >50K
28, Local-gov, Bachelors, Never-married, Prof-specialty, Not-in-family, White, Female,0,0,40, United-States, <=50K
43, Local-gov, HS-grad, Never-married, Handlers-cleaners, Husband, Black, Male,0,0,50, United-States, <=50K
28, Private, Assoc-voc, Never-married, Machine-op-inspct, Not-in-family, White, Male,0,0,50, United-States, <=50K
27, Self-emp-inc, HS-grad, Never-married, Sales, Not-in-family, White, Male,0,0,45, United-States, <=50K
19, Private, HS-grad, Never-married, Craft-repair, Own-child, White, Male,0,0,40, Vietnam, <=50K
24, Private, Assoc-acdm, Married-civ-spouse, Handlers-cleaners, Not-in-family, White, Male,0,0,28, Mexico, <=50K
36, Private, HS-grad, Never-married, Adm-clerical, Not-in-family, White, Female,0,0,29, United-States, <=50K
63, Self-emp-inc, Bachelors, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,45, United-States, <=50K
33, Private, Some-college, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, United-States, >50K
27, State-gov, HS-grad, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,60, United-States, >50K
57, Self-emp-not-inc, 10th, Widowed, Sales, Not-in-family, White, Female,0,0,40, United-States, <=50K
39, Private, Bachelors, Divorced, Exec-managerial, Not-in-family, White, Female,0,0,40, United-States, >50K
43, Private, Some-college, Divorced, Tech-support, Not-in-family, White, Female,0,0,40, United-States, <=50K
66, Self-emp-not-inc, Some-college, Married-spouse-absent, Exec-managerial, Unmarried, White, Female,0,0,50, United-States, <=50K
17, Private, 10th, Never-married, Handlers-cleaners, Own-child, White, Female,0,0,15, United-States, <=50K
59, Private, HS-grad, Divorced, Sales, Not-in-family, White, Female,0,0,40, Haiti, <=50K
27, Private, HS-grad, Divorced, Craft-repair, Husband, White, Male,0,0,60, Yugoslavia, >50K
42, Private, HS-grad, Never-married, Other-service, Not-in-family, Black, Female,0,0,46, United-States, <=50K
18, Private, Some-college, Never-married, Other-service, Not-in-family, Black, Female,0,0,20, United-States, <=50K
43, Private, Bachelors, Divorced, Prof-specialty, Wife, White, Female,0,0,40, United-States, <=50K
43, Self-emp-inc, Masters, Married-civ-spouse, Tech-support, Husband, White, Male,15024,0,40, United-States, >50K
26, Private, HS-grad, Never-married, Adm-clerical, Not-in-family, Black, Female,0,0,47, United-States, <=50K
59, Federal-gov, Some-college, Separated, Adm-clerical, Wife, White, Male,0,0,40, United-States, <=50K
37, Private, Assoc-acdm, Separated, Adm-clerical, Not-in-family, White, Female,0,0,40, United-States, <=50K
45, Private, Some-college, Divorced, Other-service, Not-in-family, White, Female,0,0,40, United-States, <=50K
19, Private, Bachelors, Never-married, Prof-specialty, Not-in-family, White, Female,0,0,24, United-States, <=50K
19, Private, Some-college, Never-married, Handlers-cleaners, Own-child, White, Male,0,0,20, United-States, <=50K
26, Private, Some-college, Never-married, Handlers-cleaners, Wife, White, Male,0,0,35, United-States, <=50K
34, Private, 9th, Divorced, Adm-clerical, Unmarried, Black, Female,0,0,40, Mexico, <=50K
29, Private, HS-grad, Married-civ-spouse, Craft-repair, Not-in-family, White, Male,0,0,40, United-States, <=50K
35, Private, HS-grad, Divorced, Craft-repair, Unmarried, White, Male,0,0,40, United-States, <=50K
31, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, <=50K
43, Self-emp-not-inc, Bachelors, Married-civ-spouse, Sales, Wife, White, Male,15024,0,35, United-States, <=50K
32, Private, Bachelors, Married-civ-spouse, Sales, Husband, White, Male,0,0,50, United-States, >50K
30, Private, Assoc-acdm, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, United-States, >50K
45, Private, Assoc-acdm, Divorced, Tech-support, Unmarried, White, Female,0,0,40, Hungary, <=50K
27, Private, Some-college, Separated, Adm-clerical, Unmarried, Black, Female,0,0,35, Portugal, <=50K
42, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, United-States, >50K
28, Private, Masters, Married-civ-spouse, Exec-managerial, Not-in-family, White, Male,0,0,40, United-States, >50K
40, Private, Bachelors, Divorced, Other-service, Not-in-family, White, Female,0,0,15, United-States, <=50K
35, Private, HS-grad, Never-married, Protective-serv, Not-in-family, White, Male,0,0,50, United-States, <=50K
34, Private, HS-grad, Married-civ-spouse, Tech-support, Husband, White, Male,0,0,40, Mexico, <=50K
47, Private, HS-grad, Married-civ-spouse, Exec-managerial, Not-in-family, White, Male,0,0,70, Mexico, <=50K
50, Private, Some-college, Married-civ-spouse, Exec-managerial, Wife, White, Male,0,0,60, United-States, >50K
46, Private, Masters, Married-civ-spouse, Exec-managerial, Husband, White, Male,15024,0,54, United-States, >50K
49, Private, HS-grad, Divorced, Tech-support, Unmarried, Black, Male,0,0,40, United-States, <=50K
43, State-gov, Masters, Divorced, Exec-managerial, Not-in-family, White, Male,0,0,45, United-States, <=50K
28, Private, Bachelors, Never-married, Prof-specialty, Not-in-family, White, Male,0,0,50, United-States, >50K
32, Private, HS-grad, Married-civ-spouse, Sales, Wife, White, Male,0,0,20, Ireland, <=50K
44, Self-emp-inc, HS-grad, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,1664,40, United-States, >50K
46, Private, Bachelors, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,40, United-States, >50K
68, Private, HS-grad, Widowed, Craft-repair, Not-in-family, White, Male,2570,0,40, United-States, <=50K
55, Self-emp-not-inc, HS-grad, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, United-States, <=50K
23, Private, HS-grad, Never-married, Machine-op-inspct, Not-in-family, White, Female,0,0,40, United-States, <=50K
29, Private, HS-grad, Married-civ-spouse, Transport-moving, Husband, White, Male,4596,0,50, United-States, >50K
61, Local-gov, Assoc-voc, Married-civ-spouse, Prof-specialty, Wife, White, Male,0,0,40, Philippines, >50K
48, Local-gov, Assoc-acdm, Divorced, Other-service, Unmarried, White, Female,0,0,35, United-States, <=50K
25, Private, HS-grad, Never-married, Handlers-cleaners, Wife, White, Male,0,0,40, United-States, <=50K
19, Private, Some-college, Never-married, Sales, Own-child, Black, Female,0,0,20, United-States, <=50K
40, Private, HS-grad, Divorced, Craft-repair, Not-in-family, Amer-Indian-Eskimo, Male,1861,0,40, United-States, <=50K
37, Private, HS-grad, Divorced, Transport-moving, Unmarried, White, Female,0,0,40, United-States, <=50K
24, Private, HS-grad, Never-married, Sales, Husband, White, Male,0,0,45, United-States, <=50K
40, State-gov, Some-college, Divorced, Adm-clerical, Not-in-family, White, Female,0,0,35, United-States, <=50K
55, Private, HS-grad, Widowed, Adm-clerical, Unmarried, White, Male,0,0,40, United-States, <=50K
41, Private, HS-grad, Separated, Adm-clerical, Unmarried, White, Male,0,0,29, United-States, <=50K
39, State-gov, Masters, Separated, Other-service, Not-in-family, White, Female,0,0,50, United-States, <=50K
43, Private, Bachelors, Divorced, Exec-managerial, Husband, White, Male,15024,0,54, United-States, >50K
47, Private, Masters, Married-civ-spouse, Sales, Husband, White, Male,15024,0,40, United-States, <=50K
58, Private, Prof-school, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,1977,47, United-States, >50K
24, Private, Masters, Never-married, Prof-specialty, Not-in-family, White, Male,0,0,50, United-States, >50K
21, Private, Some-college, Separated, Machine-op-inspct, Own-child, White, Female,0,0,15, United-States, <=50K
47, Private, HS-grad, Married-civ-spouse, Sales, Husband, White, Male,0,0,40, United-States, <=50K
36, Self-emp-not-inc, Some-college, Never-married, Other-service, Unmarried, White, Female,0,0,40, United-States, <=50K
79, Private, Masters, Married-civ-spouse, Tech-support, Husband, White, Male,0,0,24, United-States, <=50K
18, Private, 11th, Never-married, Other-service, Own-child, Black, Female,0,0,15, United-States, <=50K
44, Self-emp-not-inc, Masters, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, Japan, >50K
30, Self-emp-not-inc, Bachelors, Never-married, Farming-fishing, Not-in-family, White, Female,0,0,60, United-States, <=50K
28, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,50, United-States, <=50K
30, State-gov, HS-grad, Never-married, Other-service, Not-in-family, Black, Female,0,0,40, United-States, <=50K
24, Private, Some-college, Never-married, Adm-clerical, Not-in-family, White, Female,0,0,40, United-States, <=50K
35, Private, Assoc-acdm, Never-married, Machine-op-inspct, Wife, White, Male,0,0,40, United-States, <=50K
20, Private, HS-grad, Never-married, Handlers-cleaners, Own-child, Black, Male,0,0,20, United-States, <=50K
57, State-gov, HS-grad, Widowed, Adm-clerical, Unmarried, White, Female,2596,0,40, United-States, <=50K
32, Private, 10th, Married-civ-spouse, Other-service, Not-in-family, Black, Male,0,0,40, United-States, <=50K
82, Private, HS-grad, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,10, United-States, <=50K
41, Private, HS-grad, Married-civ-spouse, Craft-repair, Not-in-family, White, Male,0,0,40, United-States, <=50K
39, Self-emp-not-inc, Some-college, Married-civ-spouse, Farming-fishing, Husband, White, Male,0,0,45, United-States, >50K
44, Private, HS-grad, Divorced, Transport-moving, Not-in-family, White, Male,3480,0,40, United-States, <=50K
58, Private, Masters, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,50, United-States, >50K
18, Private, Bachelors, Never-married, Other-service, Own-child, White, Female,0,0,10, United-States, <=50K
45, Private, Some-college, Married-civ-spouse, Prof-specialty, Not-in-family, White, Female,0,0,40, United-States, <=50K
49, Private, Bachelors, Divorced, Adm-clerical, Not-in-family, White, Male,0,0,40, United-States, >50K
28, Local-gov, 11th, Never-married, Adm-clerical, Not-in-family, White, Female,0,0,40, United-States, <=50K
42, Federal-gov, Assoc-voc, Never-married, Adm-clerical, Not-in-family, Black, Female,0,0,36, United-States, <=50K
67, Private, Some-college, Separated, Machine-op-inspct, Not-in-family, White, Female,0,0,20, United-States, <=50K
61, Private, 9th, Married-civ-spouse, Protective-serv, Husband, White, Male,0,0,45, United-States, <=50K
27, Self-emp-not-inc, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, <=50K
37, Private, HS-grad, Divorced, Craft-repair, Not-in-family, White, Male,0,0,40, United-States, <=50K
47, Private, Some-college, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,45, United-States, >50K
24, Private, HS-grad, Married-civ-spouse, Sales, Husband, White, Male,0,0,40, Philippines, <=50K
44, Private, Some-college, Married-civ-spouse, Sales, Husband, White, Male,0,0,54, United-States, <=50K
49, Private, HS-grad, Married-civ-spouse, Farming-fishing, Husband, White, Male,0,0,40, United-States, <=50K
50, Self-emp-not-inc, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,45, United-States, >50K
28, Private, Bachelors, Never-married, Sales, Not-in-family, White, Female,0,0,40, United-States, <=50K
23, Private, HS-grad, Never-married, Farming-fishing, Not-in-family, Asian-Pac-Islander, Female,0,0,50, United-States, <=50K
27, State-gov, Some-college, Never-married, Prof-specialty, Own-child, White, Female,0,0,50, United-States, <=50K
24, Private, Bachelors, Never-married, Other-service, Not-in-family, White, Male,0,0,40, United-States, <=50K
39, Private, Masters, Never-married, Prof-specialty, Unmarried, White, Female,5608,0,40, United-States, >50K
28, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,54, Philippines, <=50K
33, Private, Masters, Never-married, Craft-repair, Husband, White, Male,0,1732,50, United-States, <=50K
29, Private, Bachelors, Never-married, Prof-specialty, Own-child, White, Female,0,0,80, United-States, >50K
49, Self-emp-not-inc, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, <=50K
25, State-gov, HS-grad, Never-married, Other-service, Own-child, White, Female,0,0,40, United-States, <=50K
54, Private, 7th-8th, Married-civ-spouse, Transport-moving, Not-in-family, White, Male,0,0,40, United-States, >50K
26, Private, HS-grad, Never-married, Craft-repair, Not-in-family, White, Male,0,0,46, United-States, <=50K
46, Private, HS-grad, Married-civ-spouse, Craft-repair, Not-in-family, Black, Male,0,0,40, United-States, <=50K
38, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,45, United-States, <=50K
49, Self-emp-inc, Masters, Married-civ-spouse, Protective-serv, Husband, White, Male,0,0,40, United-States, >50K
55, Private, HS-grad, Never-married, Transport-moving, Husband, White, Male,0,0,40, United-States, <=50K
41, Private, 10th, Married-civ-spouse, Other-service, Husband, White, Male,0,0,40, United-States, <=50K
30, Private, Bachelors, Married-civ-spouse, Prof-specialty, Not-in-family, White, Male,0,0,40, United-States, >50K
17, Private, 10th, Never-married, Other-service, Own-child, White, Male,0,0,25, United-States, <=50K
19, Self-emp-not-inc, Bachelors, Never-married, Other-service, Own-child, White, Male,0,0,10, United-States, <=50K
26, Self-emp-not-inc, Some-college, Never-married, Craft-repair, Own-child, White, Male,0,0,40, United-States, <=50K
40, Private, Some-college, Married-civ-spouse, Tech-support, Husband, White, Male,0,1887,54, United-States, <=50K
22, Local-gov, 11th, Never-married, Adm-clerical, Own-child, White, Male,0,0,40, United-States, <=50K
25, Private, Bachelors, Never-married, Prof-specialty, Not-in-family, White, Female,0,0,40, United-States, <=50K
41, Private, HS-grad, Divorced, Adm-clerical, Unmarried, White, Female,0,0,54, United-States, <=50K
50, Private, Some-college, Married-civ-spouse, Transport-moving, Husband, White, Male,7298,0,40, United-States, >50K
25, Private, Some-college, Never-married, Craft-repair, Husband, Amer-Indian-Eskimo, Male,0,0,35, United-States, <=50K
21, Private, Some-college, Never-married, Sales, Own-child, Other, Female,0,0,50, United-States, <=50K
50, Self-emp-not-inc, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, United-States, >50K
41, Private, Some-college, Never-married, Prof-specialty, Not-in-family, White, Male,0,0,60, United-States, >50K
28, Local-gov, Bachelors, Married-civ-spouse, Sales, Husband, White, Male,0,1671,40, United-States, >50K
23, Private, 11th, Never-married, Adm-clerical, Not-in-family, White, Male,0,0,40, United-States, <=50K
30, Private, Some-college, Never-married, Other-service, Not-in-family, White, Female,0,0,20, United-States, <=50K
31, Private, HS-grad, Married-civ-spouse, Transport-moving, Own-child, White, Male,0,0,18, United-States, <=50K
40, State-gov, Bachelors, Married-civ-spouse, Tech-support, Husband, White, Male,7687,0,50, United-States, >50K
20, Private, HS-grad, Never-married, Exec-managerial, Not-in-family, White, Male,0,0,40, Haiti, <=50K
33, Private, HS-grad, Divorced, Exec-managerial, Not-in-family, White, Female,0,0,40, United-States, <=50K
28, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,50, United-States, <=50K
30, Private, Some-college, Divorced, Sales, Unmarried, White, Female,0,0,40, United-States, <=50K
22, Private, HS-grad, Never-married, Sales, Not-in-family, White, Female,0,0,60, Philippines, <=50K
51, Private, Some-college, Separated, Exec-managerial, Unmarried, White, Female,0,0,40, United-States, <=50K
26, Private, Some-college, Never-married, Craft-repair, Not-in-family, White, Male,0,0,40, United-States, <=50K
23, Private, Bachelors, Never-married, Adm-clerical, Own-child, White, Female,0,0,40, United-States, <=50K
61, Private, HS-grad, Widowed, Craft-repair, Husband, Black, Male,0,0,40, United-States, <=50K
36, Private, Bachelors, Never-married, Adm-clerical, Not-in-family, White, Female,0,0,40, United-States, <=50K
42, Self-emp-not-inc, Assoc-acdm, Separated, Adm-clerical, Not-in-family, White, Female,0,0,50, United-States, <=50K
29, Private, HS-grad, Married-civ-spouse, Craft-repair, Not-in-family, White, Male,0,0,60, United-States, <=50K
33, Private, HS-grad, Never-married, Prof-specialty, Not-in-family, White, Female,0,0,40, Yugoslavia, <=50K
35, Private, Bachelors, Never-married, Prof-specialty, Not-in-family, White, Female,2635,0,50, United-States, <=50K
25, Self-emp-not-inc, Some-college, Never-married, Sales, Not-in-family, White, Female,0,0,35, China, >50K
41, Private, HS-grad, Married-civ-spouse, Protective-serv, Husband, White, Male,0,0,40, United-States, <=50K
43, Private, Assoc-voc, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,46, United-States, >50K
25, Local-gov, Some-college, Never-married, Sales, Not-in-family, White, Female,0,0,40, United-States, <=50K
18, Private, Some-college, Never-married, Sales, Own-child, Black, Male,0,0,25, United-States, <=50K
48, Private, Bachelors, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,45, Haiti, >50K
45, Private, Bachelors, Married-civ-spouse, Adm-clerical, Husband, White, Male,15024,0,40, United-States, >50K
46, Private, Some-college, Never-married, Exec-managerial, Wife, White, Female,0,0,24, United-States, <=50K
30, Private, Some-college, Never-married, Exec-managerial, Wife, White, Female,0,0,35, United-States, <=50K
31, Private, Assoc-voc, Married-civ-spouse, Craft-repair, Husband, White, Male,3414,0,40, United-States, <=50K
50, State-gov, Some-college, Divorced, Machine-op-inspct, Not-in-family, White, Male,0,0,40, United-States, <=50K
44, Private, Some-college, Married-civ-spouse, Sales, Not-in-family, White, Male,7298,0,40, United-States, >50K
36, Local-gov, HS-grad, Married-spouse-absent, Exec-managerial, Husband, White, Male,0,0,40, China, <=50K
56, Private, HS-grad, Divorced, Craft-repair, Unmarried, Black, Male,0,0,50, United-States, <=50K
33, Self-emp-not-inc, 9th, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,50, United-States, <=50K
18, Private, HS-grad, Never-married, Other-service, Own-child, White, Female,2336,0,20, United-States, >50K
35, Private, Assoc-acdm, Married-civ-spouse, Sales, Wife, White, Male,0,0,94, United-States, <=50K
33, Private, HS-grad, Married-civ-spouse, Craft-repair, Not-in-family, White, Male,0,0,40, United-States, <=50K
63, Private, HS-grad, Married-civ-spouse, Farming-fishing, Husband, Asian-Pac-Islander, Male,0,0,15, United-States, <=50K
45, Private, Some-college, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, <=50K
33, Private, HS-grad, Never-married, Transport-moving, Not-in-family, White, Male,0,1590,40, United-States, <=50K
51, Private, 1st-4th, Married-civ-spouse, Other-service, Husband, White, Male,0,0,54, United-States, >50K
23, Private, HS-grad, Never-married, Sales, Own-child, White, Female,0,0,40, Mexico, <=50K
23, Private, HS-grad, Divorced, Adm-clerical, Own-child, White, Male,0,0,40, United-States, <=50K
19, Private, 12th, Never-married, Handlers-cleaners, Own-child, White, Male,0,0,29, United-States, <=50K
31, Private, Bachelors, Never-married, Adm-clerical, Not-in-family, White, Female,0,0,50, United-States, <=50K
18, Self-emp-inc, Some-college, Never-married, Other-service, Own-child, White, Male,0,0,20, United-States, <=50K
35, Private, Some-college, Married-civ-spouse, Machine-op-inspct, Not-in-family, White, Male,0,0,45, United-States, <=50K
54, Private, Bachelors, Married-civ-spouse, Craft-repair, Husband, Black, Female,6469,0,40, United-States, <=50K
29, State-gov, HS-grad, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,1759,40, United-States, >50K
20, Private, HS-grad, Separated, Other-service, Own-child, Black, Male,0,0,29, United-States, <=50K
29, Private, 5th-6th, Married-civ-spouse, Farming-fishing, Husband, White, Male,0,0,40, Mexico, <=50K
46, Private, HS-grad, Divorced, Tech-support, Unmarried, White, Male,0,1902,40, United-States, <=50K
20, Private, 11th, Never-married, Sales, Own-child, White, Male,0,0,40, United-States, <=50K
40, Private, Some-college, Divorced, Prof-specialty, Not-in-family, White, Male,0,0,48, United-States, <=50K
50, Private, Some-college, Divorced, Adm-clerical, Unmarried, White, Female,0,0,47, United-States, <=50K
30, Self-emp-not-inc, Bachelors, Married-civ-spouse, Farming-fishing, Own-child, White, Male,0,0,40, United-States, <=50K
28, Private, HS-grad, Married-civ-spouse, Handlers-cleaners, Not-in-family, White, Male,0,0,40, United-States, <=50K
47, Private, Assoc-voc, Married-civ-spouse, Farming-fishing, Husband, White, Male,7342,0,50, United-States, >50K
33, Private, HS-grad, Divorced, Adm-clerical, Unmarried, White, Female,0,0,35, United-States, <=50K
30, Private, HS-grad, Never-married, Craft-repair, Own-child, Black, Male,4938,0,40, United-States, <=50K
48, Private, Assoc-acdm, Divorced, Adm-clerical, Not-in-family, White, Male,0,0,40, United-States, <=50K
29, Private, Some-college, Divorced, Adm-clerical, Unmarried, Black, Female,1957,0,40, United-States, <=50K
42, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,45, United-States, <=50K
24, Private, Bachelors, Never-married, Craft-repair, Own-child, White, Male,0,0,40, Iran, <=50K
23, Private, 10th, Never-married, Machine-op-inspct, Own-child, White, Male,0,0,29, United-States, <=50K
58, Self-emp-not-inc, Bachelors, Married-civ-spouse, Sales, Husband, White, Male,0,0,40, United-States, >50K
65, Local-gov, HS-grad, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,24, Philippines, <=50K
20, Private, HS-grad, Never-married, Tech-support, Own-child, Black, Male,0,0,35, United-States, <=50K
27, Private, HS-grad, Divorced, Craft-repair, Other-relative, White, Female,0,0,40, United-States, <=50K
38, Self-emp-inc, Assoc-voc, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,60, United-States, <=50K
47, Private, Doctorate, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,0,0,40, United-States, >50K
41, Private, Some-college, Divorced, Sales, Unmarried, White, Female,0,0,40, United-States, <=50K
28, Private, HS-grad, Never-married, Machine-op-inspct, Unmarried, White, Female,2779,0,35, United-States, <=50K
26, Private, Bachelors, Never-married, Sales, Own-child, White, Female,0,0,40, United-States, <=50K
56, Self-emp-not-inc, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Male,7687,0,40, United-States, >50K
39, Private, 7th-8th, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,54, United-States, >50K
35, Private, Some-college, Never-married, Adm-clerical, Not-in-family, White, Female,0,0,10, Columbia, <=50K
38, Local-gov, HS-grad, Divorced, Adm-clerical, Wife, White, Female,0,1485,40, United-States, <=50K
25, Private, HS-grad, Never-married, Adm-clerical, Not-in-family, White, Female,0,0,40, United-States, <=50K
43, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, <=50K
49, Federal-gov, 9th, Never-married, Prof-specialty, Not-in-family, White, Female,0,0,35, United-States, <=50K
61, Private, Some-college, Widowed, Prof-specialty, Wife, White, Female,8614,0,37, United-States, >50K
32, Private, HS-grad, Divorced, Other-service, Unmarried, Black, Female,0,0,29, South, <=50K
48, Private, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Male,7687,0,40, United-States, >50K
56, Private, HS-grad, Married-civ-spouse, Other-service, Husband, White, Male,0,0,40, United-States, <=50K
32, Private, Some-college, Never-married, Handlers-cleaners, Not-in-family, White, Female,0,0,40, United-States, <=50K
21, Private, HS-grad, Never-married, Tech-support, Own-child, White, Male,0,0,40, United-States, <=50K
64, Private, Some-college, Divorced, Other-service, Not-in-family, White, Female,0,0,40, United-States, <=50K
52, Self-emp-not-inc, Masters, Married-civ-spouse, Craft-repair, Unmarried, White, Male,0,0,40, United-States, >50K
35, Private, HS-grad, Never-married, Craft-repair, Not-in-family, Black, Male,0,0,35, United-States, <=50K
40, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, Black, Male,0,0,40, United-States, <=50K
