42, Self-emp-inc, HS-grad, Divorced, Craft-repair, Wife, Asian-Pac-Islander, Male,0,1977,60, United-States, >50K
63, Local-gov, Assoc-voc, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,70, United-States, >50K
36, Private, Bachelors, Married-civ-spouse, Prof-specialty, Not-in-family, White, Male,7687,0,50, United-States, >50K
27, Private, Some-college, Never-married, Sales, Own-child, Black, Male,0,0,40, United-States, <=50K
41, Private, Assoc-acdm, Married-spouse-absent, Farming-fishing, Husband, White, Male,0,0,36, United-States, <=50K
63, Private, 9th, Divorced, Machine-op-inspct, Not-in-family, White, Male,0,0,35, United-States, >50K
29, Local-gov, 9th, Married-civ-spouse, Prof-specialty, Unmarried, White, Male,0,0,45, United-States, <=50K
28, Local-gov, HS-grad, Never-married, Other-service, Other-relative, White, Female,0,0,10, United-States, <=50K
50, Federal-gov, HS-grad, Widowed, Machine-op-inspct, Husband, Black, Male,2164,0,45, United-States, >50K
20, Private, Assoc-acdm, Separated, Other-service, Wife, White, Male,0,0,40, United-States, <=50K
41, Self-emp-not-inc, HS-grad, Married-civ-spouse, Sales, Husband, White, Male,0,0,54, United-States, <=50K
40, Private, Some-college, Divorced, Adm-clerical, Not-in-family, White, Female,0,0,23, Vietnam, <=50K
42, Private, Assoc-voc, Divorced, Exec-managerial, Husband, White, Male,0,0,50, United-States, >50K
33, Private, HS-grad, Married-civ-spouse, Craft-repair, Not-in-family, White, Male,0,0,40, United-States, <=50K
44, Self-emp-inc, Assoc-voc, Never-married, Prof-specialty, Not-in-family, White, Female,0,0,45, United-States, <=50K
53, Private, Some-college, Divorced, Prof-specialty, Husband, White, Female,0,0,40, United-States, <=50K
31, State-gov, HS-grad, Never-married, Craft-repair, Husband, White, Male,0,0,40, United-States, >50K
29, Private, 10th, Never-married, Tech-support, Other-relative, White, Female,0,0,40, United-States, <=50K
19, Private, HS-grad, Divorced, Exec-managerial, Own-child, White, Female,0,0,20, United-States, >50K
40, Private, Masters, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,65, United-States, >50K
32, Private, Some-college, Married-civ-spouse, Craft-repair, Other-relative, White, Female,0,0,40, United-States, <=50K
48, Private, 11th, Married-civ-spouse, Adm-clerical, Not-in-family, White, Female,0,0,40, United-States, <=50K
41, Private, HS-grad, Married-civ-spouse, Sales, Husband, White, Male,0,0,40, Italy, <=50K
32, Private, HS-grad, Divorced, Craft-repair, Husband, White, Female,0,0,40, Yugoslavia, >50K
22, Private, HS-grad, Never-married, Prof-specialty, Not-in-family, White, Female,0,0,54, United-States, >50K
34, Private, HS-grad, Never-married, Other-service, Husband, Asian-Pac-Islander, Female,0,0,40, United-States, <=50K
22, Private, HS-grad, Never-married, Other-service, Own-child, White, Male,0,0,20, United-States, <=50K
50, Private, Masters, Married-civ-spouse, Transport-moving, Not-in-family, White, Female,0,0,12, United-States, <=50K
32, Private, Assoc-voc, Never-married, Exec-managerial, Husband, White, Female,0,0,54, United-States, <=50K
47, Federal-gov, Some-college, Married-civ-spouse, Adm-clerical, Unmarried, White, Male,0,0,50, United-States, <=50K
35, Private, Assoc-acdm, Never-married, Adm-clerical, Husband, White, Male,0,0,72, United-States, <=50K
57, Private, HS-grad, Divorced, Sales, Husband, White, Male,0,0,40, United-States, <=50K
34, Private, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,50, United-States, <=50K
24, Private, Some-college, Never-married, Craft-repair, Unmarried, White, Male,0,0,40, United-States, <=50K
57, Private, HS-grad, Married-civ-spouse, Exec-managerial, Unmarried, White, Male,0,0,40, United-States, >50K
39, Private, 5th-6th, Married-civ-spouse, Exec-managerial, Own-child, White, Female,0,0,50, United-States, <=50K
50, Private, HS-grad, Divorced, Adm-clerical, Wife, Black, Male,0,0,30, United-States, <=50K
54, Private, Bachelors, Divorced, Exec-managerial, Wife, White, Male,7298,0,40, United-States, >50K
39, Private, Bachelors, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, <=50K
51, Self-emp-inc, HS-grad, Married-civ-spouse, Transport-moving, Other-relative, White, Male,0,0,40, United-States, <=50K
43, Private, Bachelors, Never-married, Sales, Not-in-family, Asian-Pac-Islander, Female,0,0,40, United-States, <=50K
28, Private, 12th, Never-married, Adm-clerical, Own-child, White, Female,0,0,15, United-States, >50K
28, Private, Assoc-acdm, Never-married, Transport-moving, Own-child, White, Female,0,0,40, Japan, <=50K
36, Private, Some-college, Never-married, Craft-repair, Unmarried, White, Female,0,0,40, United-States, <=50K
36, Private, HS-grad, Married-civ-spouse, Adm-clerical, Husband, Black, Female,0,0,40, United-States, <=50K
33, Private, HS-grad, Married-civ-spouse, Craft-repair, Unmarried, White, Female,0,0,40, United-States, >50K
46, Private, Bachelors, Divorced, Exec-managerial, Husband, White, Male,0,0,40, United-States, <=50K
33, Private, Assoc-acdm, Never-married, Prof-specialty, Own-child, White, Male,0,0,35, United-States, <=50K
39, Private, Masters, Married-civ-spouse, Sales, Husband, White, Male,99999,0,65, Puerto-Rico, >50K
64, Local-gov, HS-grad, Married-civ-spouse, Exec-managerial, Unmarried, Black, Male,0,0,40, Mexico, >50K
59, Private, Some-college, Married-civ-spouse, Exec-managerial, Unmarried, White, Male,0,0,40, United-States, <=50K
27, Private, HS-grad, Married-civ-spouse, Craft-repair, Own-child, White, Male,0,0,37, United-States, <=50K
31, Private, HS-grad, Married-civ-spouse, Sales, Own-child, White, Male,0,0,42, United-States, >50K
35, State-gov, HS-grad, Married-civ-spouse, Craft-repair, Not-in-family, White, Male,0,0,40, United-States, <=50K
30, Private, HS-grad, Never-married, Prof-specialty, Not-in-family, Asian-Pac-Islander, Female,0,0,40, United-States, <=50K
58, Private, HS-grad, Married-civ-spouse, Protective-serv, Unmarried, Black, Female,0,0,40, Mexico, <=50K
30, Private, HS-grad, Married-civ-spouse, Machine-op-inspct, Own-child, White, Male,0,0,45, United-States, <=50K
30, Private, HS-grad, Married-civ-spouse, Handlers-cleaners, Own-child, White, Female,0,0,80, United-States, <=50K
38, Private, HS-grad, Never-married, Craft-repair, Husband, White, Male,0,0,40, United-States, <=50K
51, Self-emp-inc, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, <=50K
45, Private, HS-grad, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,60, United-States, >50K
17, Private, 11th, Never-married, Sales, Own-child, White, Female,0,0,10, United-States, <=50K
21, Local-gov, 11th, Never-married, Other-service, Own-child, White, Male,0,0,8, Trinadad&Tobago, <=50K
45, Federal-gov, 7th-8th, Divorced, Sales, Husband, White, Male,0,0,45, United-States, <=50K
37, Self-emp-inc, HS-grad, Married-civ-spouse, Handlers-cleaners, Wife, White, Male,0,0,40, United-States, >50K
60, Private, Some-college, Married-civ-spouse, Sales, Husband, White, Male,0,0,54, United-States, <=50K
46, Private, Masters, Divorced, Exec-managerial, Not-in-family, Amer-Indian-Eskimo, Male,0,0,40, United-States, <=50K
40, Self-emp-not-inc, Some-college, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,60, United-States, >50K
28, Private, HS-grad, Never-married, Sales, Husband, White, Male,0,0,50, United-States, <=50K
21, State-gov, Some-college, Never-married, Craft-repair, Not-in-family, White, Male,0,0,40, United-States, <=50K
47, Self-emp-not-inc, HS-grad, Widowed, Adm-clerical, Wife, White, Female,0,0,25, United-States, >50K
36, Self-emp-not-inc, HS-grad, Never-married, Craft-repair, Not-in-family, White, Male,14233,0,40, United-States, <=50K
58, Without-pay, Prof-school, Never-married, Prof-specialty, Husband, White, Male,99999,0,40, United-States, >50K
21, Private, Assoc-voc, Divorced, Machine-op-inspct, Not-in-family, White, Male,0,0,40, United-States, <=50K
43, Private, HS-grad, Separated, Protective-serv, Husband, White, Male,0,0,30, United-States, <=50K
18, Private, Some-college, Married-spouse-absent, Handlers-cleaners, Own-child, White, Female,0,0,40, United-States, <=50K
47, Self-emp-inc, Masters, Married-civ-spouse, Other-service, Husband, White, Male,7687,0,40, United-States, >50K
26, Private, Some-college, Separated, Exec-managerial, Not-in-family, White, Male,0,0,50, United-States, <=50K
26, Private, HS-grad, Never-married, Sales, Husband, White, Male,0,0,53, United-States, <=50K
26, Self-emp-not-inc, Some-college, Never-married, Other-service, Unmarried, White, Male,0,0,35, United-States, <=50K
26, Private, Some-college, Never-married, Sales, Own-child, White, Male,0,0,40, United-States, <=50K
71, Private, 5th-6th, Widowed, Other-service, Not-in-family, Black, Female,0,0,12, United-States, <=50K
46, Self-emp-not-inc, Masters, Married-civ-spouse, Sales, Husband, White, Male,0,0,60, Outlying-US(Guam-USVI-etc), >50K
41, Self-emp-not-inc, HS-grad, Married-civ-spouse, Farming-fishing, Not-in-family, White, Male,0,0,80, United-States, <=50K
41, Private, Bachelors, Married-civ-spouse, Adm-clerical, Husband, White, Female,5013,0,50, United-States, <=50K
78, State-gov, HS-grad, Widowed, Sales, Husband, Black, Female,0,0,40, United-States, >50K
25, Private, Some-college, Never-married, Craft-repair, Not-in-family, White, Female,0,0,40, United-States, <=50K
33, Local-gov, 7th-8th, Never-married, Other-service, Unmarried, White, Male,0,0,40, United-States, <=50K
65, Self-emp-inc, HS-grad, Widowed, Exec-managerial, Unmarried, Black, Male,0,0,24, United-States, >50K
39, State-gov, HS-grad, Never-married, Exec-managerial, Not-in-family, White, Male,0,0,54, United-States, <=50K
30, Private, 10th, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,54, United-States, <=50K
22, Private, Some-college, Married-civ-spouse, Tech-support, Own-child, White, Female,0,0,35, United-States, >50K
59, Private, HS-grad, Married-civ-spouse, Other-service, Wife, White, Female,0,0,40, United-States, >50K
41, Self-emp-not-inc, Masters, Never-married, Handlers-cleaners, Husband, Black, Female,7687,0,40, United-States, >50K
37, Private, Bachelors, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,60, United-States, <=50K
39, Private, HS-grad, Married-civ-spouse, Other-service, Own-child, White, Male,0,0,20, United-States, <=50K
35, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, United-States, <=50K
17, Private, Some-college, Never-married, Sales, Own-child, White, Female,0,0,12, United-States, <=50K
26, Private, Bachelors, Divorced, Adm-clerical, Not-in-family, White, Male,0,0,48, United-States, >50K
27, Local-gov, 11th, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,60, United-States, <=50K
21, Local-gov, Assoc-acdm, Never-married, Adm-clerical, Not-in-family, Black, Male,0,0,40, United-States, <=50K
27, Private, Some-college, Married-civ-spouse, Farming-fishing, Husband, White, Female,0,0,40, United-States, <=50K
38, Private, Bachelors, Married-civ-spouse, Prof-specialty, Not-in-family, White, Male,5178,0,65, United-States, <=50K
39, Self-emp-not-inc, HS-grad, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,99, United-States, >50K
68, Self-emp-not-inc, Assoc-voc, Divorced, Craft-repair, Not-in-family, White, Male,0,0,35, United-States, <=50K
36, Private, Some-college, Divorced, Exec-managerial, Not-in-family, White, Male,0,0,64, United-States, >50K
17, Private, 11th, Never-married, Sales, Own-child, White, Female,0,0,20, United-States, <=50K
61, Local-gov, HS-grad, Married-civ-spouse, Sales, Not-in-family, White, Female,0,0,40, United-States, <=50K
64, Self-emp-not-inc, 9th, Divorced, Priv-house-serv, Not-in-family, White, Female,0,0,4, United-States, <=50K
28, Self-emp-not-inc, Bachelors, Married-civ-spouse, Exec-managerial, Unmarried, Asian-Pac-Islander, Female,0,0,40, United-States, <=50K
33, Private, HS-grad, Married-civ-spouse, Sales, Husband, White, Female,0,0,70, United-States, <=50K
17, Private, 11th, Never-married, Other-service, Own-child, Asian-Pac-Islander, Female,0,0,20, United-States, <=50K
29, Self-emp-not-inc, Some-college, Married-civ-spouse, Sales, Own-child, White, Male,0,0,50, United-States, <=50K
32, Private, Bachelors, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,50, United-States, <=50K
54, Private, Masters, Married-civ-spouse, Sales, Unmarried, White, Male,0,0,40, United-States, >50K
44, Private, 7th-8th, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,35, United-States, <=50K
26, Private, Some-college, Never-married, Adm-clerical, Husband, White, Male,0,0,35, United-States, <=50K
39, Private, Assoc-acdm, Never-married, Handlers-cleaners, Unmarried, White, Female,0,0,40, United-States, >50K
61, Self-emp-not-inc, HS-grad, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,60, United-States, <=50K
33, State-gov, HS-grad, Never-married, Machine-op-inspct, Own-child, White, Male,0,0,40, United-States, >50K
52, Private, 7th-8th, Divorced, Transport-moving, Wife, White, Male,0,0,37, United-States, >50K
21, Private, HS-grad, Never-married, Adm-clerical, Own-child, White, Male,0,0,40, United-States, <=50K
27, Private, HS-grad, Never-married, Craft-repair, Not-in-family, White, Male,0,1887,40, United-States, >50K
48, Private, Bachelors, Married-civ-spouse, Craft-repair, Not-in-family, White, Male,15024,0,40, United-States, >50K
63, Private, HS-grad, Widowed, Protective-serv, Unmarried, White, Male,0,0,40, United-States, >50K
53, Private, Doctorate, Widowed, Transport-moving, Own-child, White, Male,0,1887,40, United-States, <=50K
40, Local-gov, 10th, Married-civ-spouse, Machine-op-inspct, Unmarried, White, Male,0,0,40, United-States, <=50K
36, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,7298,0,38, United-States, <=50K
58, Private, Bachelors, Divorced, Other-service, Husband, White, Male,0,0,25, United-States, >50K
32, Private, Doctorate, Never-married, Exec-managerial, Other-relative, White, Male,0,0,40, United-States, >50K
53, Self-emp-not-inc, Some-college, Married-civ-spouse, Craft-repair, Not-in-family, White, Male,0,0,50, United-States, >50K
30, Private, Some-college, Separated, Sales, Other-relative, White, Male,0,0,25, United-States, <=50K
27, Local-gov, 11th, Never-married, Adm-clerical, Unmarried, White, Male,0,0,40, United-States, <=50K
61, Private, Bachelors, Divorced, Sales, Husband, White, Male,0,0,50, United-States, >50K
18, Private, Some-college, Never-married, Adm-clerical, Own-child, White, Female,0,0,40, United-States, >50K
30, Private, Some-college, Never-married, Transport-moving, Husband, White, Male,0,0,40, United-States, <=50K
35, Private, Some-college, Never-married, Craft-repair, Husband, Amer-Indian-Eskimo, Male,0,0,40, United-States, <=50K
36, Private, Some-college, Never-married, Sales, Not-in-family, Black, Male,0,0,60, United-States, >50K
55, Private, Assoc-voc, Married-civ-spouse, Exec-managerial, Not-in-family, White, Female,0,0,25, United-States, <=50K
19, Private, Some-college, Never-married, Other-service, Own-child, Black, Male,0,0,40, United-States, <=50K
23, Federal-gov, Bachelors, Married-civ-spouse, Sales, Not-in-family, White, Male,0,0,40, United-States, <=50K
26, Private, Assoc-acdm, Married-civ-spouse, Craft-repair, Husband, White, Male,7298,0,70, United-States, >50K
58, Private, Some-college, Married-civ-spouse, Prof-specialty, Husband, White, Female,0,0,35, United-States, >50K
29, Private, HS-grad, Married-civ-spouse, Transport-moving, Wife, White, Male,0,0,40, United-States, <=50K
40, State-gov, Bachelors, Married-civ-spouse, Transport-moving, Husband, White, Male,15024,0,50, United-States, >50K
47, Self-emp-not-inc, HS-grad, Separated, Craft-repair, Husband, White, Male,0,0,42, Iran, <=50K
26, Private, HS-grad, Divorced, Craft-repair, Husband, White, Male,0,0,40, United-States, <=50K
45, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,42, United-States, <=50K
51, Private, Some-college, Divorced, Tech-support, Husband, White, Male,0,0,45, United-States, <=50K
34, Private, Masters, Married-civ-spouse, Sales, Not-in-family, White, Male,0,0,40, Puerto-Rico, <=50K
22, Private, Some-college, Never-married, Machine-op-inspct, Own-child, White, Male,0,0,30, United-States, <=50K
39, Private, Some-college, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,40, United-States, <=50K
34, Private, Bachelors, Separated, Adm-clerical, Unmarried, White, Male,0,0,16, United-States, <=50K
30, Private, HS-grad, Never-married, Exec-managerial, Not-in-family, White, Male,0,0,45, United-States, <=50K
41, Private, HS-grad, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,65, United-States, >50K
37, Self-emp-not-inc, Assoc-acdm, Never-married, Craft-repair, Husband, White, Male,0,0,60, United-States, <=50K
19, Private, 12th, Never-married, Machine-op-inspct, Own-child, White, Male,0,0,20, United-States, <=50K
41, Private, HS-grad, Married-civ-spouse, Prof-specialty, Not-in-family, White, Female,0,0,40, Yugoslavia, <=50K
59, Private, 9th, Married-civ-spouse, Prof-specialty, Not-in-family, White, Male,0,0,16, United-States, >50K
37, Private, Some-college, Married-civ-spouse, Tech-support, Husband, White, Female,0,0,30, Canada, <=50K
20, Private, HS-grad, Never-married, Sales, Husband, White, Male,0,0,40, United-States, <=50K
20, Private, Bachelors, Never-married, Farming-fishing, Not-in-family, White, Male,0,0,40, United-States, <=50K
37, Local-gov, Some-college, Married-civ-spouse, Sales, Husband, White, Male,0,0,54, United-States, >50K
21, Private, Some-college, Never-married, Sales, Unmarried, White, Male,0,0,40, United-States, <=50K
28, Private, Bachelors, Married-civ-spouse, Adm-clerical, Not-in-family, White, Male,0,0,40, Hong, <=50K
19, Private, Bachelors, Never-married, Adm-clerical, Own-child, White, Male,0,0,40, United-States, <=50K
20, Private, Some-college, Never-married, Craft-repair, Unmarried, White, Female,0,0,20, United-States, <=50K
35, Self-emp-inc, HS-grad, Never-married, Exec-managerial, Unmarried, White, Male,0,0,65, United-States, <=50K
22, Private, 11th, Never-married, Craft-repair, Own-child, White, Female,0,0,40, United-States, >50K
32, State-gov, Some-college, Married-civ-spouse, Other-service, Not-in-family, White, Female,0,0,37, United-States, >50K
36, Private, Some-college, Never-married, Protective-serv, Wife, White, Male,0,0,40, United-States, <=50K
43, Federal-gov, Prof-school, Never-married, Machine-op-inspct, Own-child, White, Male,0,0,40, China, <=50K
29, Private, Masters, Married-civ-spouse, Adm-clerical, Unmarried, White, Male,0,0,40, United-States, >50K
40, Self-emp-not-inc, 5th-6th, Married-civ-spouse, Craft-repair, Not-in-family, White, Male,15024,0,50, United-States, >50K
18, Private, Some-college, Never-married, Other-service, Own-child, White, Female,0,0,20, United-States, >50K
31, Private, Assoc-acdm, Married-civ-spouse, Prof-specialty, Wife, White, Male,10520,0,40, United-States, <=50K
54, Private, Bachelors, Married-civ-spouse, Exec-managerial, Unmarried, White, Female,0,0,40, United-States, >50K
49, Local-gov, HS-grad, Married-civ-spouse, Exec-managerial, Husband, Asian-Pac-Islander, Male,0,0,99, United-States, >50K
28, Private, Some-college, Never-married, Adm-clerical, Husband, White, Male,0,0,40, United-States, <=50K
32, Private, HS-grad, Married-civ-spouse, Transport-moving, Not-in-family, White, Male,0,0,40, United-States, <=50K
21, Private, 11th, Never-married, Other-service, Not-in-family, White, Female,0,0,40, United-States, <=50K
40, Private, HS-grad, Married-civ-spouse, Sales, Unmarried, White, Female,0,0,20, Mexico, <=50K
24, Private, Bachelors, Divorced, Adm-clerical, Own-child, White, Male,0,0,45, United-States, <=50K
42, Private, Assoc-acdm, Separated, Exec-managerial, Unmarried, White, Male,0,0,40, United-States, >50K
55, Private, Assoc-acdm, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, United-States, <=50K
76, Self-emp-not-inc, HS-grad, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, United-States, <=50K
55, Private, Some-college, Married-civ-spouse, Prof-specialty, Unmarried, White, Male,0,0,40, United-States, >50K
28, Private, Assoc-voc, Married-civ-spouse, Exec-managerial, Husband, Black, Female,0,0,50, United-States, <=50K
61, State-gov, HS-grad, Married-civ-spouse, Farming-fishing, Husband, White, Male,4386,0,45, United-States, >50K
27, Private, Bachelors, Separated, Protective-serv, Husband, White, Male,0,0,50, United-States, <=50K
50, Local-gov, 9th, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,1977,60, United-States, >50K
22, Private, HS-grad, Never-married, Transport-moving, Own-child, White, Male,0,0,60, United-States, <=50K
31, Private, Assoc-acdm, Married-civ-spouse, Protective-serv, Not-in-family, White, Male,0,0,54, United-States, <=50K
51, Private, Some-college, Divorced, Prof-specialty, Husband, White, Female,0,0,40, United-States, <=50K
58, Self-emp-not-inc, Some-college, Divorced, Craft-repair, Not-in-family, White, Male,0,0,47, United-States, <=50K
50, Self-emp-not-inc, Bachelors, Married-civ-spouse, Exec-managerial, Not-in-family, White, Male,0,0,40, United-States, <=50K
39, Self-emp-not-inc, HS-grad, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,50, United-States, >50K
51, Private, 7th-8th, Never-married, Other-service, Unmarried, White, Female,0,0,20, United-States, >50K
26, Private, Some-college, Married-civ-spouse, Craft-repair, Not-in-family, White, Male,0,0,40, United-States, <=50K
37, Private, Bachelors, Separated, Craft-repair, Wife, Black, Male,0,0,40, United-States, <=50K
22, Private, 12th, Never-married, Adm-clerical, Own-child, White, Male,0,0,24, United-States, <=50K
41, Private, Masters, Married-civ-spouse, Craft-repair, Own-child, White, Female,0,0,40, United-States, <=50K
62, Private, Bachelors, Divorced, Craft-repair, Not-in-family, White, Male,0,0,40, United-States, <=50K
40, Private, Bachelors, Separated, Adm-clerical, Unmarried, White, Male,5229,0,20, Puerto-Rico, >50K
27, Private, 10th, Never-married, Handlers-cleaners, Own-child, White, Male,0,0,40, United-States, <=50K
39, Private, HS-grad, Married-civ-spouse, Sales, Husband, White, Male,7298,0,60, United-States, >50K
50, Federal-gov, HS-grad, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,1953,40, United-States, >50K
43, Private, Prof-school, Married-civ-spouse, Tech-support, Unmarried, Other, Female,0,0,30, United-States, <=50K
27, Private, HS-grad, Married-civ-spouse, Craft-repair, Other-relative, White, Female,0,0,40, United-States, <=50K
34, Private, Assoc-voc, Never-married, Other-service, Not-in-family, White, Male,0,0,30, United-States, <=50K
49, Private, HS-grad, Married-civ-spouse, Machine-op-inspct, Wife, White, Female,0,0,40, United-States, >50K
35, Private, HS-grad, Divorced, Transport-moving, Unmarried, White, Female,0,0,40, United-States, >50K
24, Private, HS-grad, Never-married, Machine-op-inspct, Own-child, White, Female,0,0,45, United-States, <=50K
36, Private, HS-grad, Married-civ-spouse, Sales, Other-relative, White, Female,0,0,46, United-States, >50K
30, Private, HS-grad, Married-civ-spouse, Prof-specialty, Not-in-family, White, Female,0,0,54, United-States, <=50K
25, Private, 1st-4th, Never-married, Adm-clerical, Not-in-family, White, Female,0,0,40, United-States, <=50K
48, Private, Some-college, Married-civ-spouse, Craft-repair, Husband, White, Female,0,0,60, Cuba, >50K
30, Private, Doctorate, Married-civ-spouse, Adm-clerical, Wife, White, Female,0,0,48, United-States, <=50K
23, Private, HS-grad, Never-married, Exec-managerial, Husband, White, Male,0,0,45, United-States, <=50K
24, Private, Masters, Never-married, Farming-fishing, Own-child, White, Female,0,0,40, United-States, <=50K
32, Federal-gov, Assoc-acdm, Never-married, Protective-serv, Husband, White, Male,0,0,48, United-States, <=50K
44, Private, Some-college, Never-married, Sales, Wife, White, Female,0,0,40, United-States, >50K
66, Self-emp-not-inc, Some-college, Divorced, Other-service, Unmarried, White, Female,0,0,6, United-States, <=50K
27, Private, HS-grad, Never-married, Prof-specialty, Own-child, White, Female,0,0,38, United-States, <=50K
18, Private, HS-grad, Never-married, Prof-specialty, Own-child, White, Female,0,0,40, United-States, <=50K
23, Private, Some-college, Never-married, Handlers-cleaners, Husband, White, Male,0,0,52, United-States, <=50K
58, Private, HS-grad, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,45, United-States, >50K
21, Private, Some-college, Never-married, Other-service, Own-child, White, Female,0,0,38, United-States, <=50K
23, Private, Some-college, Never-married, Adm-clerical, Wife, Black, Female,0,0,35, United-States, >50K
