26, Private, HS-grad, Never-married, Adm-clerical, Unmarried, Amer-Indian-Eskimo, Male,0,0,40, Ecuador, <=50K
33, Private, Doctorate, Married-civ-spouse, Sales, Husband, Other, Male,0,0,40, Ecuador, <=50K
36, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, Black, Female,0,0,50, Guatemala, >50K
25, Private, HS-grad, Separated, Adm-clerical, Not-in-family, Black, Female,0,0,40, Canada, <=50K
66, Self-emp-not-inc, HS-grad, Married-civ-spouse, Farming-fishing, Husband, Black, Male,0,0,15, Canada, >50K
46, State-gov, Some-college, Married-civ-spouse, Prof-specialty, Wife, Asian-Pac-Islander, Female,0,0,40, Yugoslavia, >50K
29, Private, HS-grad, Married-civ-spouse, Exec-managerial, Husband, Other, Male,0,0,50, United-States, <=50K
38, Private, Some-college, Married-civ-spouse, Tech-support, Unmarried, Amer-Indian-Eskimo, Female,27679,0,24, United-States, >50K
46, Private, Some-college, Divorced, Sales, Not-in-family, Black, Male,0,0,40, England, <=50K
64, Private, Some-college, Married-civ-spouse, Handlers-cleaners, Husband, Black, Female,0,0,15, Hong, <=50K
76, Private, Assoc-voc, Widowed, Priv-house-serv, Not-in-family, White, Male,0,0,20, Hong, <=50K
59, State-gov, HS-grad, Never-married, Other-service, Not-in-family, Amer-Indian-Eskimo, Male,0,0,40, England, <=50K
46, Private, HS-grad, Married-civ-spouse, Farming-fishing, Wife, Black, Female,0,0,40, Ecuador, <=50K
24, Self-emp-inc, Some-college, Never-married, Sales, Own-child, White, Female,0,0,40, Puerto-Rico, <=50K
32, Local-gov, Assoc-voc, Never-married, Adm-clerical, Unmarried, Other, Male,0,1902,60, Peru, <=50K
29, Private, HS-grad, Never-married, Other-service, Unmarried, White, Female,0,0,35, Peru, <=50K
52, Private, Some-college, Married-civ-spouse, Transport-moving, Husband, Amer-Indian-Eskimo, Male,0,0,57, Greece, <=50K
24, Private, Assoc-voc, Never-married, Farming-fishing, Not-in-family, White, Male,0,0,40, Poland, <=50K
50, Private, Assoc-voc, Married-civ-spouse, Machine-op-inspct, Husband, Other, Male,7687,0,40, Trinadad&Tobago, >50K
26, Local-gov, Assoc-acdm, Never-married, Prof-specialty, Not-in-family, Asian-Pac-Islander, Male,0,0,48, Germany, <=50K
57, Local-gov, Bachelors, Married-civ-spouse, Prof-specialty, Husband, Black, Female,7687,0,45, Ireland, >50K
22, Private, HS-grad, Never-married, Other-service, Husband, Amer-Indian-Eskimo, Male,0,0,40, Portugal, <=50K
20, Private, Assoc-acdm, Never-married, Other-service, Wife, Other, Male,0,0,35, Peru, <=50K
41, Self-emp-not-inc, HS-grad, Married-civ-spouse, Transport-moving, Husband, Asian-Pac-Islander, Male,0,0,50, Iran, <=50K
29, Self-emp-not-inc, Some-college, Married-civ-spouse, Craft-repair, Husband, Other, Female,0,0,20, Yugoslavia, <=50K
22, Private, Assoc-voc, Never-married, Exec-managerial, Not-in-family, White, Male,0,0,40, Dominican-Republic, <=50K
30, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, Other, Female,0,0,45, El-Salvador, >50K
42, Self-emp-not-inc, Assoc-voc, Married-civ-spouse, Prof-specialty, Husband, Black, Female,0,0,40, Jamaica, >50K
25, Private, Masters, Married-civ-spouse, Other-service, Husband, Other, Female,0,0,40, Scotland, <=50K
20, Self-emp-not-inc, HS-grad, Never-married, Adm-clerical, Not-in-family, Black, Male,0,0,40, Ecuador, <=50K
18, Private, 10th, Never-married, Sales, Own-child, White, Female,0,0,40, Outlying-US(Guam-USVI-etc), <=50K
46, Private, HS-grad, Divorced, Craft-repair, Unmarried, Asian-Pac-Islander, Female,0,0,50, Peru, >50K
61, Private, HS-grad, Never-married, Transport-moving, Unmarried, White, Male,0,0,37, United-States, <=50K
34, Private, Some-college, Never-married, Craft-repair, Unmarried, Black, Female,0,0,40, United-States, <=50K
33, Private, 7th-8th, Divorced, Adm-clerical, Unmarried, White, Female,0,0,40, El-Salvador, <=50K
33, Self-emp-inc, HS-grad, Married-civ-spouse, Transport-moving, Husband, Asian-Pac-Islander, Male,0,0,65, China, <=50K
34, Private, HS-grad, Married-civ-spouse, Craft-repair, Own-child, Other, Female,0,1887,35, Yugoslavia, >50K
21, Private, Some-college, Never-married, Prof-specialty, Own-child, Amer-Indian-Eskimo, Female,0,0,10, United-States, <=50K
55, Private, HS-grad, Separated, Other-service, Not-in-family, Amer-Indian-Eskimo, Female,0,0,40, Haiti, <=50K
25, Private, HS-grad, Divorced, Other-service, Not-in-family, White, Male,0,0,40, Thailand, <=50K
31, Private, HS-grad, Never-married, Tech-support, Not-in-family, White, Male,0,1601,40, Hungary, >50K
29, Private, HS-grad, Married-civ-spouse, Exec-managerial, Husband, Asian-Pac-Islander, Female,0,0,45, United-States, <=50K
30, Federal-gov, Some-college, Never-married, Adm-clerical, Unmarried, White, Male,0,0,40, Outlying-US(Guam-USVI-etc), <=50K
31, Private, Assoc-voc, Separated, Adm-clerical, Husband, White, Male,0,0,40, Jamaica, <=50K
45, Private, HS-grad, Divorced, Other-service, Own-child, White, Male,0,0,29, Greece, <=50K
45, Private, Bachelors, Married-civ-spouse, Sales, Husband, White, Female,0,0,40, Guatemala, <=50K
35, Private, Some-college, Divorced, Adm-clerical, Unmarried, Asian-Pac-Islander, Female,0,0,40, Mexico, <=50K
39, Private, Masters, Married-civ-spouse, Exec-managerial, Husband, Other, Male,0,0,40, Peru, >50K
25, Private, Assoc-acdm, Married-civ-spouse, Craft-repair, Husband, Asian-Pac-Islander, Female,0,0,40, Cuba, <=50K
55, Private, Bachelors, Divorced, Craft-repair, Unmarried, Amer-Indian-Eskimo, Male,0,0,45, Outlying-US(Guam-USVI-etc), >50K
19, Private, HS-grad, Never-married, Farming-fishing, Unmarried, White, Female,0,0,40, England, <=50K
22, Private, Assoc-voc, Never-married, Other-service, Own-child, Asian-Pac-Islander, Male,0,0,11, United-States, <=50K
42, Private, HS-grad, Never-married, Transport-moving, Unmarried, Asian-Pac-Islander, Male,0,0,50, Ecuador, <=50K
56, Private, Bachelors, Widowed, Sales, Unmarried, Amer-Indian-Eskimo, Female,0,0,25, Guatemala, <=50K
28, Private, Assoc-voc, Married-civ-spouse, Craft-repair, Husband, White, Female,7298,0,42, United-States, >50K
30, Private, Assoc-acdm, Divorced, Transport-moving, Unmarried, Asian-Pac-Islander, Female,0,1589,45, China, <=50K
36, Private, Some-college, Married-civ-spouse, Exec-managerial, Wife, Asian-Pac-Islander, Female,0,1977,35, Ecuador, >50K
32, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, Asian-Pac-Islander, Female,0,0,60, India, >50K
48, Private, Masters, Married-civ-spouse, Exec-managerial, Husband, Asian-Pac-Islander, Female,0,0,60, Mexico, >50K
28, Private, Bachelors, Married-civ-spouse, Farming-fishing, Husband, Asian-Pac-Islander, Male,0,0,40, United-States, <=50K
27, Private, HS-grad, Never-married, Other-service, Own-child, White, Male,0,0,40, United-States, <=50K
41, Private, HS-grad, Married-civ-spouse, Tech-support, Own-child, Other, Female,0,0,40, Cuba, <=50K
28, Private, HS-grad, Never-married, Craft-repair, Unmarried, Amer-Indian-Eskimo, Female,0,0,48, China, <=50K
31, Private, Some-college, Married-civ-spouse, Exec-managerial, Husband, Other, Female,0,0,40, Ireland, >50K
24, Private, Bachelors, Married-civ-spouse, Exec-managerial, Own-child, Black, Male,7687,0,45, United-States, >50K
17, Private, 11th, Never-married, Sales, Own-child, Asian-Pac-Islander, Male,0,0,15, Hong, <=50K
48, State-gov, Masters, Married-civ-spouse, Exec-managerial, Husband, White, Male,15024,0,50, Honduras, >50K
47, Private, HS-grad, Married-civ-spouse, Other-service, Husband, Amer-Indian-Eskimo, Female,0,0,50, United-States, <=50K
49, Self-emp-not-inc, HS-grad, Married-civ-spouse, Sales, Husband, Amer-Indian-Eskimo, Female,0,0,70, China, <=50K
36, Self-emp-not-inc, HS-grad, Never-married, Handlers-cleaners, Own-child, White, Male,0,0,75, France, <=50K
60, Private, Bachelors, Divorced, Prof-specialty, Not-in-family, White, Female,0,0,70, United-States, <=50K
26, Private, Bachelors, Never-married, Machine-op-inspct, Not-in-family, White, Male,0,0,35, United-States, <=50K
41, Private, Some-college, Never-married, Adm-clerical, Not-in-family, White, Male,0,0,40, United-States, <=50K
18, Private, HS-grad, Never-married, Other-service, Not-in-family, White, Female,0,0,25, United-States, <=50K
43, Private, HS-grad, Never-married, Transport-moving, Unmarried, White, Female,0,0,50, Guatemala, <=50K
30, Local-gov, Assoc-voc, Married-civ-spouse, Prof-specialty, Husband, Black, Male,0,1977,54, Columbia, >50K
43, Federal-gov, Assoc-acdm, Divorced, Prof-specialty, Not-in-family, Other, Female,0,0,40, Outlying-US(Guam-USVI-etc), <=50K
22, Private, HS-grad, Never-married, Machine-op-inspct, Unmarried, White, Male,0,0,40, United-States, <=50K
32, Private, Some-college, Married-civ-spouse, Sales, Own-child, Amer-Indian-Eskimo, Male,15024,0,50, United-States, >50K
43, Private, Masters, Divorced, Craft-repair, Not-in-family, Amer-Indian-Eskimo, Male,0,1740,40, Laos, <=50K
31, Private, Some-college, Divorced, Transport-moving, Not-in-family, White, Female,0,0,40, United-States, <=50K
28, Private, Bachelors, Never-married, Sales, Not-in-family, Other, Female,0,0,45, Germany, <=50K
38, State-gov, HS-grad, Never-married, Craft-repair, Own-child, Black, Male,0,0,40, Hungary, <=50K
54, Self-emp-not-inc, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,45, United-States, >50K
43, Self-emp-not-inc, Masters, Never-married, Exec-managerial, Not-in-family, White, Male,9434,0,40, United-States, <=50K
54, State-gov, Masters, Widowed, Prof-specialty, Not-in-family, White, Male,0,0,40, Hong, <=50K
37, Private, Bachelors, Married-civ-spouse, Farming-fishing, Husband, Black, Male,0,0,50, England, <=50K
39, Private, HS-grad, Never-married, Sales, Husband, Other, Male,0,0,20, Haiti, <=50K
36, Private, Some-college, Divorced, Machine-op-inspct, Not-in-family, Other, Female,0,0,33, United-States, <=50K
42, Private, Prof-school, Married-civ-spouse, Other-service, Husband, White, Male,0,0,40, United-States, >50K
47, Private, Some-college, Widowed, Adm-clerical, Not-in-family, White, Male,0,0,39, Scotland, <=50K
45, Private, HS-grad, Married-civ-spouse, Sales, Husband, Black, Male,0,0,40, United-States, >50K
21, Self-emp-not-inc, Some-college, Never-married, Other-service, Unmarried, Other, Male,0,0,17, United-States, <=50K
57, Private, Masters, Never-married, Sales, Not-in-family, Asian-Pac-Islander, Male,0,0,40, Taiwan, <=50K
31, Private, Assoc-voc, Never-married, Machine-op-inspct, Not-in-family, Amer-Indian-Eskimo, Male,0,0,40, United-States, <=50K
41, Private, HS-grad, Never-married, Sales, Unmarried, Amer-Indian-Eskimo, Female,0,0,48, China, <=50K
30, Private, HS-grad, Divorced, Craft-repair, Own-child, Other, Male,0,0,40, United-States, <=50K
40, Private, Bachelors, Married-civ-spouse, Exec-managerial, Not-in-family, White, Female,0,0,40, Scotland, >50K
32, State-gov, Masters, Never-married, Prof-specialty, Not-in-family, Amer-Indian-Eskimo, Female,0,0,20, Jamaica, <=50K
55, Private, Prof-school, Married-civ-spouse, Exec-managerial, Husband, Asian-Pac-Islander, Female,0,0,40, Peru, >50K
62, Local-gov, 7th-8th, Widowed, Other-service, Unmarried, White, Male,0,0,34, United-States, <=50K
32, Private, HS-grad, Never-married, Adm-clerical, Unmarried, Amer-Indian-Eskimo, Male,0,0,40, France, <=50K
47, State-gov, HS-grad, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,60, India, <=50K
58, Private, 10th, Married-civ-spouse, Prof-specialty, Unmarried, Amer-Indian-Eskimo, Female,0,0,32, Guatemala, <=50K
35, Private, HS-grad, Divorced, Transport-moving, Unmarried, Black, Female,0,0,29, Scotland, <=50K
66, Private, HS-grad, Never-married, Other-service, Unmarried, Black, Female,0,0,24, Nicaragua, <=50K
25, Private, HS-grad, Never-married, Exec-managerial, Other-relative, Amer-Indian-Eskimo, Female,0,0,40, Jamaica, <=50K
36, Private, Bachelors, Divorced, Tech-support, Not-in-family, White, Male,0,0,29, South, <=50K
41, Private, Masters, Never-married, Prof-specialty, Own-child, White, Male,0,0,35, Cuba, <=50K
20, Private, HS-grad, Never-married, Farming-fishing, Not-in-family, White, Male,0,0,48, Hungary, <=50K
40, Private, Some-college, Divorced, Sales, Not-in-family, Black, Female,0,0,50, United-States, <=50K
42, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,48, Mexico, >50K
37, Federal-gov, 7th-8th, Never-married, Machine-op-inspct, Not-in-family, White, Male,12254,0,40, Iran, <=50K
49, Local-gov, Doctorate, Divorced, Adm-clerical, Own-child, Amer-Indian-Eskimo, Male,0,0,50, Peru, <=50K
17, Private, 11th, Never-married, Other-service, Not-in-family, White, Female,0,0,8, South, <=50K
34, Private, HS-grad, Never-married, Other-service, Unmarried, Asian-Pac-Islander, Male,0,0,40, Cuba, <=50K
28, Self-emp-not-inc, Bachelors, Married-civ-spouse, Craft-repair, Husband, White, Female,0,0,40, Outlying-US(Guam-USVI-etc), >50K
63, Self-emp-not-inc, Bachelors, Married-civ-spouse, Exec-managerial, Husband, Other, Male,3106,0,50, Hungary, <=50K
27, Private, Some-college, Divorced, Machine-op-inspct, Unmarried, White, Female,0,0,24, Hungary, <=50K
21, Private, HS-grad, Never-married, Sales, Own-child, Asian-Pac-Islander, Female,0,0,40, Ecuador, <=50K
60, Private, HS-grad, Married-civ-spouse, Sales, Husband, Black, Female,0,0,40, Iran, <=50K
29, Private, Bachelors, Married-civ-spouse, Prof-specialty, Husband, Black, Female,0,0,45, Nicaragua, >50K
28, Private, HS-grad, Married-civ-spouse, Farming-fishing, Wife, Amer-Indian-Eskimo, Female,0,0,40, United-States, <=50K
24, Private, Bachelors, Never-married, Sales, Own-child, Other, Female,0,0,40, Philippines, <=50K
26, Private, HS-grad, Never-married, Craft-repair, Husband, Amer-Indian-Eskimo, Female,0,0,40, South, <=50K
44, Self-emp-not-inc, Some-college, Divorced, Sales, Wife, Amer-Indian-Eskimo, Male,27415,0,35, United-States, >50K
54, Private, Bachelors, Married-civ-spouse, Other-service, Husband, White, Male,4413,0,40, United-States, <=50K
31, Private, Some-college, Never-married, Sales, Not-in-family, Asian-Pac-Islander, Male,0,0,40, Japan, <=50K
32, Private, 9th, Never-married, Farming-fishing, Not-in-family, White, Male,0,0,35, Dominican-Republic, <=50K
19, Private, Some-college, Never-married, Adm-clerical, Not-in-family, White, Male,0,0,15, Vietnam, <=50K
30, Private, 7th-8th, Never-married, Other-service, Wife, Black, Female,0,0,8, Iran, <=50K
25, Private, Bachelors, Married-civ-spouse, Machine-op-inspct, Husband, Asian-Pac-Islander, Female,0,0,29, Thailand, >50K
57, State-gov, Bachelors, Never-married, Other-service, Not-in-family, White, Male,0,0,29, Nicaragua, <=50K
22, Private, Assoc-voc, Never-married, Tech-support, Unmarried, White, Male,0,0,40, Taiwan, <=50K
55, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, Black, Male,0,0,40, United-States, <=50K
58, Private, HS-grad, Never-married, Adm-clerical, Unmarried, Amer-Indian-Eskimo, Female,0,0,10, Japan, <=50K
54, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, El-Salvador, <=50K
20, Private, Prof-school, Never-married, Sales, Own-child, White, Male,0,0,60, United-States, <=50K
28, Private, HS-grad, Never-married, Transport-moving, Own-child, Other, Male,0,0,60, Japan, <=50K
33, Local-gov, 9th, Never-married, Prof-specialty, Own-child, Black, Male,0,0,40, Laos, <=50K
52, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, Other, Male,7687,0,40, United-States, >50K
41, Private, Bachelors, Divorced, Prof-specialty, Not-in-family, Black, Female,0,0,29, Taiwan, >50K
34, Private, HS-grad, Never-married, Adm-clerical, Unmarried, Asian-Pac-Islander, Female,0,0,40, Portugal, <=50K
63, State-gov, Some-college, Married-civ-spouse, Exec-managerial, Husband, Other, Female,0,0,40, Hong, >50K
26, Private, Some-college, Never-married, Sales, Not-in-family, White, Male,0,0,40, France, <=50K
21, Private, 11th, Never-married, Adm-clerical, Own-child, Asian-Pac-Islander, Male,0,0,25, Japan, <=50K
18, Private, 11th, Never-married, Sales, Other-relative, Other, Male,0,0,29, Portugal, <=50K
34, Private, HS-grad, Never-married, Adm-clerical, Unmarried, White, Female,0,0,50, United-States, <=50K
42, Private, Some-college, Married-civ-spouse, Transport-moving, Husband, Other, Female,3980,0,48, Thailand, >50K
29, Private, Some-college, Married-civ-spouse, Craft-repair, Husband, Amer-Indian-Eskimo, Male,0,0,35, United-States, >50K
47, Private, Some-college, Married-civ-spouse, Transport-moving, Husband, Amer-Indian-Eskimo, Male,0,0,40, Peru, <=50K
42, Self-emp-not-inc, HS-grad, Married-civ-spouse, Farming-fishing, Husband, White, Female,0,0,60, England, <=50K
58, Private, Some-college, Married-civ-spouse, Machine-op-inspct, Husband, Amer-Indian-Eskimo, Male,0,0,40, Taiwan, <=50K
44, Federal-gov, Bachelors, Divorced, Sales, Not-in-family, White, Male,0,1876,40, United-States, <=50K
32, Private, Assoc-acdm, Married-civ-spouse, Craft-repair, Husband, Asian-Pac-Islander, Male,0,0,50, Japan, >50K
33, Private, Some-college, Married-civ-spouse, Prof-specialty, Husband, Black, Female,0,0,40, Iran, >50K
32, Private, HS-grad, Divorced, Tech-support, Unmarried, Other, Male,0,0,35, United-States, <=50K
29, State-gov, HS-grad, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,40, Yugoslavia, <=50K
38, Private, HS-grad, Separated, Craft-repair, Own-child, Asian-Pac-Islander, Male,0,0,40, Canada, <=50K
26, Private, Bachelors, Divorced, Machine-op-inspct, Not-in-family, Asian-Pac-Islander, Male,0,0,35, Iran, <=50K
24, Private, HS-grad, Never-married, Craft-repair, Own-child, White, Male,0,0,40, United-States, <=50K
29, Private, Some-college, Divorced, Tech-support, Own-child, White, Male,0,0,40, Hong, <=50K
64, Self-emp-not-inc, HS-grad, Married-civ-spouse, Sales, Husband, White, Male,0,0,15, Cuba, <=50K
52, Private, Some-college, Married-civ-spouse, Machine-op-inspct, Husband, Other, Male,7606,0,40, Hungary, >50K
41, Private, Some-college, Married-civ-spouse, Farming-fishing, Husband, White, Male,0,0,40, Vietnam, <=50K
51, Private, HS-grad, Separated, Craft-repair, Husband, Other, Male,0,0,54, Puerto-Rico, <=50K
37, Private, HS-grad, Separated, Exec-managerial, Husband, Asian-Pac-Islander, Male,0,0,40, United-States, <=50K
29, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, Other, Female,0,0,40, Japan, >50K
45, Self-emp-not-inc, Assoc-voc, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, <=50K
55, Private, Bachelors, Divorced, Exec-managerial, Unmarried, Asian-Pac-Islander, Male,0,0,45, India, <=50K
47, Private, HS-grad, Married-civ-spouse, Sales, Unmarried, White, Female,13700,0,40, Yugoslavia, <=50K
41, Self-emp-inc, Bachelors, Married-civ-spouse, Sales, Husband, White, Male,0,0,88, Nicaragua, >50K
65, Private, Some-college, Widowed, Sales, Not-in-family, White, Female,0,0,25, Cambodia, <=50K
53, Self-emp-not-inc, Bachelors, Divorced, Sales, Not-in-family, White, Male,0,0,50, Portugal, <=50K
36, Private, HS-grad, Never-married, Exec-managerial, Not-in-family, Other, Male,0,0,40, Hungary, <=50K
19, Private, Some-college, Married-civ-spouse, Sales, Own-child, White, Male,0,0,20, Peru, <=50K
46, Private, Some-college, Never-married, Tech-support, Unmarried, Asian-Pac-Islander, Male,3154,0,40, Philippines, <=50K
28, Private, Bachelors, Never-married, Adm-clerical, Own-child, White, Male,0,0,40, Canada, <=50K
44, Private, HS-grad, Never-married, Adm-clerical, Not-in-family, Asian-Pac-Islander, Male,3432,0,40, United-States, <=50K
28, Private, Some-college, Divorced, Adm-clerical, Unmarried, Asian-Pac-Islander, Female,0,0,40, United-States, <=50K
41, Private, HS-grad, Married-civ-spouse, Exec-managerial, Wife, Black, Male,0,0,40, Japan, <=50K
24, Private, Assoc-acdm, Never-married, Craft-repair, Own-child, White, Female,0,0,45, El-Salvador, <=50K
54, State-gov, Some-college, Married-civ-spouse, Prof-specialty, Husband, Other, Female,0,2422,50, United-States, >50K
31, Private, Some-college, Never-married, Sales, Not-in-family, Asian-Pac-Islander, Male,0,0,45, Vietnam, <=50K
29, Local-gov, HS-grad, Married-civ-spouse, Handlers-cleaners, Husband, Black, Male,0,0,40, Cambodia, <=50K
34, Private, Prof-school, Married-civ-spouse, Craft-repair, Husband, Asian-Pac-Islander, Male,0,0,60, South, >50K
25, Self-emp-not-inc, Assoc-acdm, Divorced, Exec-managerial, Not-in-family, White, Female,0,0,50, Peru, <=50K
27, Private, HS-grad, Married-civ-spouse, Machine-op-inspct, Husband, White, Female,0,0,40, Haiti, >50K
38, Private, Assoc-voc, Never-married, Prof-specialty, Wife, White, Male,0,0,40, Nicaragua, <=50K
23, Private, Bachelors, Never-married, Handlers-cleaners, Not-in-family, Black, Female,0,0,40, Puerto-Rico, <=50K
20, Private, HS-grad, Never-married, Craft-repair, Own-child, Amer-Indian-Eskimo, Female,0,0,29, Laos, <=50K
43, Private, Masters, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, >50K
33, Self-emp-inc, HS-grad, Never-married, Transport-moving, Not-in-family, Other, Male,0,0,65, Taiwan, <=50K
31, Private, Assoc-acdm, Never-married, Other-service, Other-relative, Other, Female,0,1845,40, Mexico, <=50K
46, Private, HS-grad, Married-civ-spouse, Tech-support, Husband, White, Female,0,0,40, Columbia, <=50K
21, Private, HS-grad, Never-married, Adm-clerical, Own-child, Black, Male,0,0,40, Honduras, <=50K
22, Private, 11th, Never-married, Other-service, Own-child, Other, Male,0,0,12, United-States, <=50K
43, Private, Assoc-voc, Divorced, Adm-clerical, Unmarried, Asian-Pac-Islander, Male,0,0,40, United-States, <=50K
44, Self-emp-not-inc, Prof-school, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, Jamaica, >50K
47, Private, Some-college, Never-married, Other-service, Unmarried, White, Male,0,0,35, Laos, <=50K
37, Private, Assoc-voc, Never-married, Exec-managerial, Not-in-family, Amer-Indian-Eskimo, Female,0,0,40, Ireland, <=50K
53, State-gov, HS-grad, Never-married, Farming-fishing, Not-in-family, White, Male,0,0,45, Hong, <=50K
35, Private, Bachelors, Separated, Sales, Not-in-family, Amer-Indian-Eskimo, Male,0,0,50, Jamaica, <=50K
30, Local-gov, Assoc-acdm, Never-married, Other-service, Not-in-family, Asian-Pac-Islander, Male,0,0,40, Cuba, <=50K
46, Private, Bachelors, Married-civ-spouse, Tech-support, Husband, White, Male,0,0,45, Iran, >50K
24, Private, Assoc-acdm, Never-married, Prof-specialty, Not-in-family, Black, Male,0,0,40, India, <=50K
51, Local-gov, Some-college, Divorced, Prof-specialty, Not-in-family, Black, Female,0,0,50, Iran, <=50K
52, Self-emp-not-inc, Some-college, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,50, Honduras, <=50K
50, Self-emp-not-inc, HS-grad, Married-civ-spouse, Craft-repair, Husband, Other, Male,0,0,40, Portugal, <=50K
23, Private, HS-grad, Never-married, Adm-clerical, Not-in-family, White, Female,0,0,40, United-States, <=50K
48, Private, Assoc-acdm, Married-civ-spouse, Other-service, Husband, Black, Female,0,0,40, United-States, >50K
57, Self-emp-not-inc, Prof-school, Married-civ-spouse, Exec-managerial, Husband, Other, Male,0,0,40, Japan, >50K
43, Self-emp-inc, Bachelors, Never-married, Prof-specialty, Wife, Amer-Indian-Eskimo, Male,99999,0,40, United-States, >50K
66, Private, 7th-8th, Married-civ-spouse, Craft-repair, Husband, Asian-Pac-Islander, Male,0,0,40, Vietnam, <=50K
37, Self-emp-inc, Prof-school, Married-civ-spouse, Exec-managerial, Husband, Asian-Pac-Islander, Female,0,1977,50, Hungary, >50K
41, Private, Bachelors, Divorced, Adm-clerical, Unmarried, White, Male,0,0,40, Mexico, <=50K
30, Private, HS-grad, Never-married, Craft-repair, Husband, Black, Male,0,0,40, China, <=50K
48, Private, 12th, Divorced, Craft-repair, Unmarried, Other, Male,0,0,40, United-States, <=50K
40, Private, HS-grad, Divorced, Sales, Not-in-family, White, Male,0,0,25, Trinadad&Tobago, <=50K
26, Private, HS-grad, Never-married, Machine-op-inspct, Own-child, White, Male,0,0,51, Cuba, <=50K
17, Private, 11th, Never-married, Sales, Own-child, Asian-Pac-Islander, Female,0,0,35, United-States, <=50K
48, Private, Masters, Divorced, Craft-repair, Not-in-family, Other, Female,0,0,60, Thailand, <=50K
39, Self-emp-inc, Bachelors, Married-civ-spouse, Prof-specialty, Husband, Black, Male,7687,0,65, United-States, >50K
