28, Private, HS-grad, Married-civ-spouse, Adm-clerical, Wife, Amer-Indian-Eskimo, Male,0,0,25, Poland, <=50K
24, Private, HS-grad, Never-married, Transport-moving, Own-child, Other, Male,0,0,40, Philippines, <=50K
34, Private, Bachelors, Never-married, Sales, Unmarried, Asian-Pac-Islander, Female,0,0,38, United-States, <=50K
38, Private, 9th, Married-civ-spouse, Adm-clerical, Not-in-family, White, Male,0,0,50, United-States, >50K
33, Private, 9th, Married-civ-spouse, Transport-moving, Own-child, Other, Female,0,0,40, Greece, <=50K
23, Private, Some-college, Never-married, Exec-managerial, Unmarried, Black, Female,0,0,30, Taiwan, <=50K
58, Private, HS-grad, Married-civ-spouse, Adm-clerical, Husband, Black, Female,0,0,40, United-States, <=50K
37, Private, HS-grad, Married-civ-spouse, Exec-managerial, Wife, White, Female,7687,0,40, United-States, >50K
51, Private, Bachelors, Divorced, Exec-managerial, Husband, White, Male,0,0,42, United-States, <=50K
38, Self-emp-inc, Assoc-acdm, Never-married, Sales, Not-in-family, White, Male,0,0,60, United-States, <=50K
52, Private, HS-grad, Divorced, Tech-support, Husband, White, Male,0,0,40, Mexico, <=50K
36, Private, HS-grad, Married-civ-spouse, Exec-managerial, Unmarried, Black, Male,0,0,50, Jamaica, >50K
47, Private, Some-college, Married-civ-spouse, Exec-managerial, Wife, White, Female,0,0,40, United-States, <=50K
45, Private, HS-grad, Divorced, Craft-repair, Not-in-family, White, Male,0,0,40, United-States, <=50K
35, Local-gov, HS-grad, Divorced, Sales, Unmarried, Other, Male,0,0,40, United-States, <=50K
39, State-gov, HS-grad, Divorced, Exec-managerial, Husband, White, Male,0,0,80, United-States, <=50K
47, Private, HS-grad, Married-civ-spouse, Prof-specialty, Husband, Asian-Pac-Islander, Male,0,0,45, United-States, >50K
28, Private, HS-grad, Never-married, Protective-serv, Unmarried, Black, Female,0,0,40, Guatemala, <=50K
33, Private, HS-grad, Married-civ-spouse, Machine-op-inspct, Unmarried, White, Male,0,0,40, United-States, <=50K
55, Private, HS-grad, Divorced, Machine-op-inspct, Unmarried, White, Female,0,0,40, United-States, <=50K
37, Private, HS-grad, Never-married, Exec-managerial, Husband, White, Male,7298,0,40, United-States, >50K
55, Self-emp-inc, HS-grad, Separated, Exec-managerial, Husband, White, Male,0,0,20, United-States, <=50K
47, Private, HS-grad, Married-civ-spouse, Other-service, Husband, White, Male,0,0,40, United-States, >50K
59, Private, HS-grad, Married-civ-spouse, Transport-moving, Husband, White, Female,0,0,50, United-States, >50K
70, Local-gov, 7th-8th, Married-civ-spouse, Other-service, Husband, White, Male,0,0,50, Japan, >50K
75, Local-gov, 7th-8th, Married-civ-spouse, Sales, Husband, White, Male,1700,0,26, United-States, <=50K
46, Self-emp-inc, HS-grad, Married-civ-spouse, Machine-op-inspct, Wife, White, Male,0,0,40, United-States, >50K
39, Private, Some-college, Never-married, Sales, Not-in-family, Black, Male,0,0,40, United-States, <=50K
61, Self-emp-inc, HS-grad, Married-civ-spouse, Exec-managerial, Husband, Amer-Indian-Eskimo, Male,0,1886,40, United-States, >50K
44, Self-emp-not-inc, Some-college, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,40, United-States, <=50K
28, Private, HS-grad, Never-married, Sales, Husband, White, Male,0,0,50, United-States, <=50K
28, State-gov, Some-college, Married-civ-spouse, Craft-repair, Not-in-family, White, Male,0,0,40, United-States, <=50K
46, Self-emp-not-inc, HS-grad, Widowed, Adm-clerical, Unmarried, White, Male,3072,0,60, United-States, >50K
35, Self-emp-not-inc, HS-grad, Never-married, Exec-managerial, Not-in-family, White, Male,0,0,54, United-States, <=50K
36, Without-pay, Some-college, Never-married, Protective-serv, Husband, White, Male,0,0,60, United-States, <=50K
25, Private, Assoc-acdm, Divorced, Other-service, Not-in-family, White, Male,0,0,15, United-States, <=50K
76, Private, HS-grad, Widowed, Sales, Husband, White, Male,0,0,16, United-States, <=50K
58, Private, Some-college, Divorced, Exec-managerial, Husband, White, Male,0,0,54, United-States, <=50K
22, Private, Some-college, Never-married, Other-service, Own-child, White, Male,0,0,40, United-States, <=50K
34, Private, Some-college, Separated, Exec-managerial, Not-in-family, White, Male,0,0,50, United-States, <=50K
45, Private, HS-grad, Separated, Sales, Husband, White, Male,0,0,40, United-States, <=50K
31, Self-emp-not-inc, Some-college, Never-married, Other-service, Wife, White, Female,0,0,25, United-States, <=50K
34, Private, Some-college, Never-married, Tech-support, Unmarried, Black, Male,0,0,40, United-States, <=50K
42, Private, Assoc-acdm, Never-married, Machine-op-inspct, Husband, Other, Male,0,0,55, United-States, >50K
36, Private, HS-grad, Never-married, Sales, Own-child, Black, Male,0,0,40, Haiti, <=50K
31, Private, HS-grad, Married-civ-spouse, Farming-fishing, Unmarried, White, Male,0,0,40, United-States, <=50K
47, Private, Bachelors, Divorced, Adm-clerical, Husband, White, Female,0,0,40, United-States, <=50K
28, State-gov, HS-grad, Never-married, Protective-serv, Not-in-family, Black, Female,0,0,40, United-States, <=50K
46, Private, Prof-school, Never-married, Craft-repair, Husband, White, Female,0,0,45, United-States, <=50K
30, Local-gov, 1st-4th, Never-married, Other-service, Wife, White, Male,0,0,33, United-States, <=50K
30, Private, HS-grad, Never-married, Exec-managerial, Not-in-family, Asian-Pac-Islander, Male,0,1887,45, United-States, >50K
21, State-gov, HS-grad, Never-married, Exec-managerial, Own-child, White, Male,0,0,40, United-States, <=50K
74, Private, 10th, Married-civ-spouse, Protective-serv, Not-in-family, Black, Female,0,0,25, United-States, <=50K
22, Private, Some-college, Never-married, Tech-support, Own-child, White, Female,0,0,16, United-States, <=50K
54, Private, HS-grad, Married-civ-spouse, Other-service, Wife, White, Female,0,0,40, United-States, >50K
23, Private, Prof-school, Never-married, Machine-op-inspct, Husband, Asian-Pac-Islander, Female,0,0,40, United-States, <=50K
40, Private, Bachelors, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,60, United-States, <=50K
50, Private, HS-grad, Married-civ-spouse, Prof-specialty, Not-in-family, White, Male,0,0,40, Outlying-US(Guam-USVI-etc), >50K
42, Private, Bachelors, Divorced, Exec-managerial, Husband, White, Male,0,0,40, United-States, <=50K
45, Private, Some-college, Married-civ-spouse, Sales, Husband, White, Male,0,0,60, United-States, <=50K
46, Private, Bachelors, Divorced, Craft-repair, Husband, White, Male,0,0,52, United-States, >50K
52, Local-gov, 10th, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, United-States, <=50K
55, Local-gov, 9th, Married-civ-spouse, Craft-repair, Husband, Black, Male,0,0,70, United-States, <=50K
22, Private, Some-college, Never-married, Handlers-cleaners, Husband, White, Male,0,0,61, United-States, <=50K
38, Private, Assoc-acdm, Never-married, Prof-specialty, Unmarried, Black, Male,0,0,38, Mexico, <=50K
40, Self-emp-not-inc, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Female,0,0,50, United-States, >50K
42, Private, Bachelors, Divorced, Craft-repair, Not-in-family, White, Male,0,0,40, United-States, <=50K
38, Private, Some-college, Divorced, Exec-managerial, Unmarried, White, Female,0,0,40, United-States, <=50K
25, Private, HS-grad, Never-married, Sales, Not-in-family, White, Female,0,0,40, Poland, <=50K
40, Private, Masters, Married-civ-spouse, Sales, Own-child, White, Female,0,0,40, United-States, <=50K
50, Private, Bachelors, Divorced, Prof-specialty, Husband, White, Male,0,0,45, United-States, <=50K
60, Self-emp-not-inc, Bachelors, Married-civ-spouse, Exec-managerial, Unmarried, Asian-Pac-Islander, Female,0,0,40, United-States, <=50K
27, Private, HS-grad, Married-civ-spouse, Sales, Own-child, White, Female,0,0,36, United-States, <=50K
55, Self-emp-not-inc, HS-grad, Widowed, Machine-op-inspct, Not-in-family, Amer-Indian-Eskimo, Female,0,0,10, United-States, <=50K
49, Self-emp-not-inc, Some-college, Married-civ-spouse, Sales, Not-in-family, Other, Male,0,1977,50, United-States, >50K
65, Private, Bachelors, Married-civ-spouse, Other-service, Husband, White, Male,0,0,20, United-States, <=50K
35, Private, Masters, Married-civ-spouse, Sales, Own-child, White, Male,0,0,60, United-States, >50K
35, Private, 11th, Married-civ-spouse, Exec-managerial, Husband, White, Male,7687,0,20, Taiwan, >50K
43, Private, Some-college, Never-married, Adm-clerical, Husband, White, Male,0,0,20, United-States, <=50K
62, Private, 7th-8th, Widowed, Other-service, Wife, White, Female,0,0,20, United-States, >50K
52, Self-emp-inc, HS-grad, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,2415,60, United-States, >50K
30, State-gov, HS-grad, Never-married, Other-service, Unmarried, White, Male,0,0,12, United-States, <=50K
51, Private, 5th-6th, Divorced, Transport-moving, Unmarried, White, Male,0,0,50, United-States, >50K
49, Private, HS-grad, Never-married, Adm-clerical, Not-in-family, White, Male,0,0,40, United-States, >50K
36, Private, HS-grad, Married-civ-spouse, Exec-managerial, Husband, Black, Male,0,2241,40, United-States, >50K
22, Private, HS-grad, Never-married, Craft-repair, Own-child, White, Male,0,0,40, United-States, <=50K
25, Private, HS-grad, Never-married, Sales, Unmarried, White, Male,0,0,42, United-States, >50K
21, Private, HS-grad, Never-married, Transport-moving, Own-child, White, Male,0,0,40, United-States, <=50K
44, Local-gov, 10th, Divorced, Machine-op-inspct, Unmarried, White, Male,0,0,40, United-States, <=50K
56, Private, HS-grad, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, United-States, <=50K
27, Private, Bachelors, Married-civ-spouse, Other-service, Husband, White, Male,0,0,40, United-States, >50K
22, Private, HS-grad, Never-married, Exec-managerial, Own-child, White, Male,0,0,40, United-States, <=50K
28, Private, Some-college, Never-married, Craft-repair, Unmarried, White, Female,0,0,40, United-States, <=50K
41, Private, Some-college, Separated, Sales, Not-in-family, White, Male,0,0,38, United-States, <=50K
25, Local-gov, 11th, Never-married, Craft-repair, Own-child, White, Male,0,0,50, United-States, <=50K
62, Private, Bachelors, Married-civ-spouse, Sales, Husband, White, Male,7298,0,40, United-States, >50K
29, Private, Some-college, Never-married, Adm-clerical, Unmarried, White, Female,0,0,40, United-States, >50K
29, Private, Some-college, Never-married, Transport-moving, Not-in-family, White, Male,0,0,40, United-States, <=50K
18, Private, Some-college, Never-married, Adm-clerical, Own-child, Amer-Indian-Eskimo, Male,0,0,15, United-States, <=50K
28, Private, Some-college, Never-married, Sales, Own-child, Black, Male,3103,0,40, United-States, >50K
52, Self-emp-inc, Bachelors, Married-civ-spouse, Farming-fishing, Husband, White, Female,7298,0,40, United-States, >50K
39, Private, Some-college, Married-civ-spouse, Prof-specialty, Husband, Black, Male,0,1902,50, United-States, >50K
47, Federal-gov, Bachelors, Divorced, Sales, Husband, White, Male,0,0,40, United-States, >50K
30, Private, 12th, Never-married, Adm-clerical, Not-in-family, White, Male,0,0,45, United-States, <=50K
33, Private, Some-college, Never-married, Prof-specialty, Not-in-family, White, Female,0,0,40, United-States, >50K
24, Private, HS-grad, Married-civ-spouse, Transport-moving, Unmarried, White, Male,0,0,40, United-States, <=50K
69, State-gov, Bachelors, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,40, United-States, >50K
23, Private, HS-grad, Never-married, Craft-repair, Not-in-family, White, Male,0,0,40, France, <=50K
24, Private, HS-grad, Divorced, Craft-repair, Husband, Other, Male,0,0,38, United-States, <=50K
17, Private, 11th, Never-married, Handlers-cleaners, Own-child, White, Male,0,0,12, United-States, <=50K
54, Private, Some-college, Divorced, Transport-moving, Husband, White, Male,0,0,60, United-States, <=50K
43, Private, HS-grad, Married-civ-spouse, Sales, Husband, White, Male,0,1902,40, Outlying-US(Guam-USVI-etc), <=50K
32, Private, Some-college, Never-married, Machine-op-inspct, Unmarried, White, Male,0,0,35, United-States, <=50K
39, Private, Some-college, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,60, United-States, <=50K
20, Private, HS-grad, Never-married, Adm-clerical, Own-child, White, Male,0,0,15, United-States, <=50K
39, Private, HS-grad, Separated, Handlers-cleaners, Not-in-family, Black, Male,0,0,36, United-States, <=50K
19, Private, HS-grad, Never-married, Farming-fishing, Own-child, White, Female,0,0,29, United-States, <=50K
26, Private, 5th-6th, Never-married, Adm-clerical, Own-child, White, Male,0,0,20, United-States, <=50K
44, Private, Bachelors, Married-civ-spouse, Exec-managerial, Unmarried, White, Male,0,0,40, United-States, >50K
44, Private, HS-grad, Married-civ-spouse, Prof-specialty, Unmarried, White, Female,0,0,38, Yugoslavia, <=50K
26, Private, Bachelors, Never-married, Prof-specialty, Not-in-family, White, Male,0,0,40, United-States, >50K
31, Private, Some-college, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,45, Canada, >50K
29, Private, HS-grad, Married-civ-spouse, Sales, Husband, White, Male,0,0,45, United-States, <=50K
18, Private, Bachelors, Never-married, Handlers-cleaners, Not-in-family, White, Male,0,0,50, United-States, <=50K
52, Local-gov, Some-college, Divorced, Sales, Husband, White, Male,0,0,60, United-States, >50K
24, Private, Some-college, Never-married, Tech-support, Unmarried, White, Male,0,0,48, United-States, <=50K
42, Private, Bachelors, Married-civ-spouse, Adm-clerical, Husband, White, Male,7687,0,45, England, >50K
44, Private, Bachelors, Married-civ-spouse, Adm-clerical, Not-in-family, White, Male,0,0,40, United-States, <=50K
48, Private, Some-college, Married-civ-spouse, Exec-managerial, Unmarried, White, Male,0,0,50, United-States, <=50K
34, Self-emp-not-inc, HS-grad, Never-married, Farming-fishing, Unmarried, White, Male,0,0,72, United-States, <=50K
42, Private, 11th, Married-civ-spouse, Craft-repair, Own-child, White, Female,0,0,40, United-States, >50K
38, State-gov, Some-college, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,45, United-States, >50K
52, Private, Some-college, Married-civ-spouse, Sales, Wife, White, Male,0,1977,40, United-States, >50K
31, Federal-gov, Some-college, Never-married, Machine-op-inspct, Unmarried, White, Male,3274,0,40, Canada, <=50K
33, Private, Masters, Married-civ-spouse, Adm-clerical, Unmarried, White, Male,0,0,45, United-States, >50K
30, Self-emp-not-inc, 11th, Divorced, Craft-repair, Own-child, White, Female,0,0,40, United-States, <=50K
51, Private, HS-grad, Divorced, Other-service, Unmarried, White, Female,0,0,40, United-States, >50K
42, Private, 9th, Married-civ-spouse, Prof-specialty, Wife, White, Male,0,0,60, United-States, <=50K
31, Private, Bachelors, Married-civ-spouse, Farming-fishing, Unmarried, White, Male,0,0,60, United-States, >50K
50, Local-gov, HS-grad, Married-civ-spouse, Craft-repair, Not-in-family, Amer-Indian-Eskimo, Female,0,0,40, United-States, <=50K
32, Private, Some-college, Never-married, Adm-clerical, Husband, White, Male,0,0,48, United-States, <=50K
26, Private, HS-grad, Never-married, Transport-moving, Own-child, White, Male,0,0,30, United-States, <=50K
20, Private, 10th, Never-married, Other-service, Own-child, White, Female,0,0,12, United-States, <=50K
36, Private, HS-grad, Married-civ-spouse, Sales, Unmarried, White, Female,0,0,15, India, <=50K
41, Private, Bachelors, Divorced, Adm-clerical, Not-in-family, White, Male,0,1902,40, United-States, <=50K
51, Private, 7th-8th, Widowed, Exec-managerial, Unmarried, White, Male,0,0,40, United-States, >50K
21, Private, Bachelors, Never-married, Exec-managerial, Not-in-family, White, Male,0,0,48, United-States, <=50K
29, Self-emp-inc, Masters, Married-civ-spouse, Prof-specialty, Not-in-family, White, Male,0,0,40, United-States, <=50K
51, Private, Some-college, Married-spouse-absent, Prof-specialty, Wife, White, Male,3916,0,30, United-States, <=50K
35, Private, Assoc-voc, Married-civ-spouse, Farming-fishing, Husband, Black, Female,3432,0,40, United-States, <=50K
41, State-gov, HS-grad, Never-married, Machine-op-inspct, Husband, White, Male,0,0,45, United-States, <=50K
21, Private, Bachelors, Never-married, Protective-serv, Own-child, Black, Male,0,0,25, United-States, <=50K
44, Private, 1st-4th, Divorced, Exec-managerial, Husband, White, Male,0,0,40, Mexico, <=50K
44, Private, Bachelors, Married-civ-spouse, Transport-moving, Not-in-family, White, Male,0,0,54, United-States, >50K
39, Private, 1st-4th, Married-civ-spouse, Sales, Not-in-family, White, Male,0,0,54, United-States, <=50K
28, Private, Some-college, Divorced, Protective-serv, Husband, White, Male,0,0,65, United-States, <=50K
25, Private, Some-college, Married-civ-spouse, Craft-repair, Own-child, White, Male,0,0,50, United-States, <=50K
45, Self-emp-not-inc, Bachelors, Married-civ-spouse, Exec-managerial, Not-in-family, White, Male,0,0,54, United-States, >50K
40, Private, HS-grad, Divorced, Handlers-cleaners, Husband, White, Female,0,0,35, United-States, >50K
55, Private, Assoc-voc, Married-civ-spouse, Prof-specialty, Husband, White, Female,7687,0,50, United-States, >50K
36, Self-emp-inc, Masters, Married-civ-spouse, Exec-managerial, Husband, White, Male,14185,0,40, United-States, >50K
35, Private, Bachelors, Separated, Craft-repair, Wife, Black, Male,0,0,40, United-States, <=50K
17, Private, 10th, Never-married, Handlers-cleaners, Own-child, White, Male,0,0,25, United-States, <=50K
34, Private, Prof-school, Married-civ-spouse, Exec-managerial, Not-in-family, White, Female,0,0,54, United-States, >50K
37, Private, Bachelors, Divorced, Craft-repair, Unmarried, White, Male,0,0,35, United-States, <=50K
29, Private, Bachelors, Never-married, Adm-clerical, Own-child, White, Male,0,0,40, Greece, <=50K
20, Private, 10th, Never-married, Machine-op-inspct, Own-child, White, Male,0,0,40, United-States, <=50K
33, Private, HS-grad, Married-civ-spouse, Tech-support, Husband, White, Male,0,0,60, United-States, >50K
35, Local-gov, HS-grad, Married-civ-spouse, Other-service, Husband, White, Male,0,0,40, Mexico, <=50K
25, Private, Some-college, Never-married, Tech-support, Own-child, Other, Female,0,0,40, United-States, <=50K
48, Private, HS-grad, Divorced, Craft-repair, Not-in-family, White, Female,0,0,40, United-States, <=50K
44, Private, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, United-States, <=50K
55, Private, Bachelors, Married-civ-spouse, Machine-op-inspct, Wife, White, Male,0,2297,40, United-States, >50K
49, Private, Masters, Divorced, Transport-moving, Not-in-family, White, Female,0,0,70, United-States, >50K
37, Private, HS-grad, Married-civ-spouse, Machine-op-inspct, Other-relative, White, Male,0,0,50, United-States, <=50K
31, Private, HS-grad, Married-civ-spouse, Sales, Unmarried, White, Female,3127,0,40, United-States, <=50K
20, Private, HS-grad, Never-married, Other-service, Own-child, White, Female,0,0,35, United-States, <=50K
49, Private, 1st-4th, Married-civ-spouse, Adm-clerical, Husband, White, Female,0,0,40, United-States, <=50K
58, Private, Some-college, Married-civ-spouse, Craft-repair, Husband, White, Female,0,0,50, China, >50K
44, Local-gov, HS-grad, Married-civ-spouse, Adm-clerical, Wife, White, Female,0,0,45, United-States, >50K
58, Private, HS-grad, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, United-States, <=50K
34, Self-emp-inc, HS-grad, Never-married, Exec-managerial, Not-in-family, White, Male,0,0,45, United-States, <=50K
39, Federal-gov, 9th, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, United-States, <=50K
35, Private, Some-college, Never-married, Sales, Unmarried, White, Male,0,0,60, United-States, >50K
38, Private, Masters, Divorced, Other-service, Not-in-family, White, Female,0,2011,40, United-States, >50K
51, Private, HS-grad, Never-married, Protective-serv, Husband, White, Male,0,0,50, United-States, >50K
58, Self-emp-inc, HS-grad, Married-civ-spouse, Sales, Not-in-family, White, Male,0,0,50, United-States, >50K
27, Private, Some-college, Never-married, Handlers-cleaners, Not-in-family, White, Male,0,0,40, United-States, <=50K
47, Private, HS-grad, Married-civ-spouse, Transport-moving, Not-in-family, White, Male,0,0,40, United-States, <=50K
33, Private, Some-college, Married-civ-spouse, Priv-house-serv, Not-in-family, White, Female,0,0,40, United-States, <=50K
44, Self-emp-not-inc, Some-college, Married-civ-spouse, Adm-clerical, Wife, Black, Male,0,0,54, United-States, >50K
