34, Self-emp-inc, HS-grad, Married-civ-spouse, Craft-repair, Unmarried, Asian-Pac-Islander, Male,0,0,50, United-States, >50K
17, Private, 11th, Never-married, Other-service, Own-child, Black, Male,0,0,15, United-States, <=50K
38, State-gov, HS-grad, Never-married, Craft-repair, Not-in-family, White, Male,10541,0,50, United-States, <=50K
39, Private, 10th, Married-civ-spouse, Prof-specialty, Husband, Black, Male,0,0,30, United-States, <=50K
53, Local-gov, HS-grad, Divorced, Transport-moving, Unmarried, White, Female,0,0,35, United-States, >50K
58, Private, HS-grad, Married-civ-spouse, Other-service, Unmarried, White, Female,0,0,40, United-States, >50K
44, Self-emp-not-inc, Masters, Never-married, Machine-op-inspct, Husband, Black, Female,0,1902,40, United-States, >50K
38, Private, HS-grad, Married-civ-spouse, Transport-moving, Not-in-family, White, Male,0,0,40, United-States, <=50K
26, Private, Some-college, Never-married, Other-service, Own-child, White, Male,0,0,15, United-States, <=50K
21, Private, Bachelors, Never-married, Exec-managerial, Not-in-family, White, Male,0,0,40, United-States, <=50K
49, Private, Some-college, Divorced, Protective-serv, Husband, White, Male,0,0,54, United-States, <=50K
21, Private, Bachelors, Divorced, Adm-clerical, Own-child, White, Male,0,0,35, United-States, >50K
36, Local-gov, 11th, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,45, United-States, <=50K
24, Local-gov, Assoc-acdm, Married-civ-spouse, Adm-clerical, Not-in-family, Black, Male,0,0,38, United-States, <=50K
58, Private, Some-college, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, United-States, <=50K
48, Private, Assoc-voc, Married-civ-spouse, Prof-specialty, Unmarried, White, Female,0,0,40, United-States, <=50K
47, State-gov, HS-grad, Married-civ-spouse, Adm-clerical, Husband, White, Female,0,0,40, United-States, >50K
28, Self-emp-inc, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,1887,50, United-States, >50K
36, Private, Some-college, Married-civ-spouse, Exec-managerial, Own-child, White, Male,0,1977,35, United-States, >50K
33, Self-emp-not-inc, HS-grad, Never-married, Sales, Husband, White, Female,0,0,60, United-States, <=50K
34, Private, HS-grad, Married-civ-spouse, Sales, Not-in-family, White, Male,0,0,40, United-States, <=50K
21, Private, HS-grad, Never-married, Other-service, Other-relative, White, Female,0,0,40, United-States, <=50K
34, Self-emp-not-inc, Bachelors, Married-civ-spouse, Exec-managerial, Not-in-family, Black, Female,0,0,70, United-States, <=50K
28, Private, HS-grad, Married-civ-spouse, Sales, Husband, White, Female,0,0,50, United-States, <=50K
64, Self-emp-not-inc, HS-grad, Widowed, Other-service, Not-in-family, Asian-Pac-Islander, Female,0,0,8, United-States, <=50K
59, State-gov, Some-college, Married-civ-spouse, Sales, Not-in-family, White, Male,0,0,40, United-States, <=50K
24, Private, Bachelors, Never-married, Machine-op-inspct, Husband, White, Male,0,0,50, United-States, <=50K
22, Private, Masters, Never-married, Sales, Own-child, White, Male,0,0,40, United-States, >50K
27, Private, 7th-8th, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, <=50K
43, Private, Prof-school, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, <=50K
38, Private, Assoc-voc, Never-married, Farming-fishing, Unmarried, White, Female,0,0,40, United-States, >50K
22, Private, HS-grad, Never-married, Adm-clerical, Husband, White, Male,3371,0,40, United-States, <=50K
31, State-gov, HS-grad, Never-married, Handlers-cleaners, Unmarried, White, Male,0,0,40, United-States, >50K
20, Private, 11th, Never-married, Sales, Unmarried, White, Male,0,0,35, United-States, <=50K
45, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, >50K
27, Private, HS-grad, Never-married, Adm-clerical, Not-in-family, Black, Female,0,0,40, United-States, <=50K
63, Private, HS-grad, Divorced, Adm-clerical, Unmarried, White, Female,0,2003,40, United-States, <=50K
63, Private, HS-grad, Widowed, Sales, Unmarried, White, Male,0,0,40, United-States, >50K
66, Private, HS-grad, Widowed, Transport-moving, Unmarried, White, Male,7687,0,24, United-States, <=50K
24, Private, 11th, Married-civ-spouse, Handlers-cleaners, Unmarried, White, Male,1319,0,50, United-States, <=50K
26, Private, HS-grad, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,60, United-States, <=50K
58, Private, Bachelors, Divorced, Prof-specialty, Husband, White, Male,0,0,45, United-States, >50K
32, Private, HS-grad, Never-married, Craft-repair, Not-in-family, White, Female,5118,0,40, United-States, >50K
51, Self-emp-not-inc, Some-college, Married-civ-spouse, Craft-repair, Not-in-family, White, Male,0,0,40, United-States, >50K
35, Private, Some-college, Never-married, Sales, Not-in-family, White, Male,0,0,40, United-States, <=50K
37, Local-gov, 5th-6th, Never-married, Adm-clerical, Wife, White, Male,640,0,35, United-States, <=50K
30, Private, Bachelors, Divorced, Prof-specialty, Not-in-family, White, Male,0,0,37, United-States, <=50K
41, Private, Some-college, Married-civ-spouse, Adm-clerical, Unmarried, White, Female,0,0,36, United-States, >50K
43, Private, Some-college, Never-married, Transport-moving, Not-in-family, White, Female,0,0,25, United-States, <=50K
34, Private, Some-college, Never-married, Craft-repair, Husband, Amer-Indian-Eskimo, Male,0,0,40, United-States, <=50K
40, Private, Some-college, Married-civ-spouse, Sales, Husband, Black, Male,0,0,40, United-States, >50K
23, Private, Bachelors, Never-married, Exec-managerial, Not-in-family, White, Female,0,0,40, United-States, <=50K
64, Private, Some-college, Married-civ-spouse, Other-service, Not-in-family, Black, Male,0,0,20, United-States, >50K
22, Federal-gov, Bachelors, Married-civ-spouse, Sales, Not-in-family, White, Male,0,0,45, United-States, <=50K
19, Private, 11th, Never-married, Adm-clerical, Own-child, White, Male,0,0,15, United-States, <=50K
41, Private, Some-college, Never-married, Prof-specialty, Husband, White, Female,0,0,40, United-States, >50K
25, Private, HS-grad, Married-civ-spouse, Transport-moving, Unmarried, White, Male,0,0,40, United-States, <=50K
22, State-gov, Bachelors, Never-married, Transport-moving, Not-in-family, White, Male,0,0,35, United-States, <=50K
28, Self-emp-inc, HS-grad, Never-married, Adm-clerical, Not-in-family, White, Male,0,0,48, Iran, <=50K
47, Private, Doctorate, Divorced, Craft-repair, Husband, White, Male,0,0,40, United-States, >50K
52, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,3166,0,40, United-States, >50K
39, Private, Some-college, Divorced, Sales, Not-in-family, White, Male,0,0,40, United-States, <=50K
37, Self-emp-inc, Masters, Married-civ-spouse, Sales, Husband, White, Male,0,0,50, United-States, <=50K
58, Self-emp-inc, Some-college, Married-civ-spouse, Farming-fishing, Not-in-family, White, Male,0,0,72, United-States, >50K
37, Private, Some-college, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,0,0,40, United-States, <=50K
30, Private, Bachelors, Never-married, Adm-clerical, Not-in-family, White, Male,0,0,54, United-States, <=50K
21, Private, Some-college, Never-married, Other-service, Own-child, White, Male,0,0,24, United-States, <=50K
74, Private, HS-grad, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,30, United-States, >50K
28, Self-emp-not-inc, Assoc-acdm, Never-married, Craft-repair, Husband, White, Male,0,0,50, United-States, <=50K
21, Private, Bachelors, Never-married, Handlers-cleaners, Own-child, White, Male,0,0,40, United-States, <=50K
27, Private, HS-grad, Never-married, Prof-specialty, Own-child, White, Female,0,0,35, Yugoslavia, <=50K
29, Private, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, United-States, >50K
21, Private, Some-college, Never-married, Tech-support, Husband, White, Male,0,0,48, China, <=50K
24, Private, HS-grad, Never-married, Sales, Husband, White, Male,0,0,40, United-States, <=50K
34, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,54, United-States, <=50K
24, Local-gov, Some-college, Married-civ-spouse, Sales, Not-in-family, White, Male,0,0,40, United-States, <=50K
51, Private, Some-college, Married-civ-spouse, Tech-support, Unmarried, White, Male,0,0,40, United-States, <=50K
37, Private, Bachelors, Divorced, Adm-clerical, Husband, White, Male,0,0,50, India, >50K
20, Private, Bachelors, Never-married, Adm-clerical, Own-child, White, Male,0,0,30, United-States, <=50K
34, Private, Some-college, Married-civ-spouse, Exec-managerial, Unmarried, White, Male,6594,0,60, United-States, >50K
38, Private, HS-grad, Married-civ-spouse, Exec-managerial, Unmarried, White, Male,0,0,40, United-States, <=50K
56, Private, 7th-8th, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,72, United-States, >50K
40, State-gov, Some-college, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,6846,0,40, United-States, >50K
55, Private, Some-college, Married-civ-spouse, Protective-serv, Unmarried, White, Male,0,0,40, United-States, <=50K
34, Federal-gov, Prof-school, Never-married, Machine-op-inspct, Not-in-family, White, Male,0,0,40, China, <=50K
48, Private, Masters, Married-civ-spouse, Craft-repair, Not-in-family, White, Male,3948,0,50, United-States, >50K
40, State-gov, 11th, Married-civ-spouse, Craft-repair, Own-child, White, Female,0,0,35, United-States, <=50K
22, Private, Some-college, Never-married, Priv-house-serv, Own-child, White, Female,0,0,12, United-States, <=50K
46, Private, Assoc-acdm, Married-civ-spouse, Prof-specialty, Unmarried, White, Male,0,0,50, United-States, <=50K
25, Private, Bachelors, Married-civ-spouse, Farming-fishing, Own-child, White, Male,0,0,75, United-States, >50K
25, Private, HS-grad, Never-married, Adm-clerical, Own-child, Asian-Pac-Islander, Female,0,0,40, United-States, <=50K
31, Private, Some-college, Never-married, Adm-clerical, Husband, White, Male,0,0,40, United-States, <=50K
20, Private, HS-grad, Never-married, Transport-moving, Own-child, White, Male,0,0,40, United-States, <=50K
35, Private, 11th, Married-civ-spouse, Prof-specialty, Husband, White, Female,0,0,54, United-States, >50K
37, Private, HS-grad, Married-civ-spouse, Sales, Not-in-family, White, Female,0,0,50, Nicaragua, >50K
23, Private, Bachelors, Married-civ-spouse, Adm-clerical, Own-child, White, Male,0,0,40, United-States, <=50K
17, Private, 10th, Never-married, Other-service, Own-child, White, Male,0,0,25, United-States, <=50K
20, Private, Assoc-acdm, Never-married, Handlers-cleaners, Own-child, White, Male,0,0,30, United-States, <=50K
46, Self-emp-not-inc, Masters, Divorced, Prof-specialty, Not-in-family, White, Male,0,0,48, United-States, <=50K
36, Private, Some-college, Never-married, Other-service, Unmarried, White, Male,0,0,30, United-States, <=50K
45, Private, Assoc-voc, Divorced, Craft-repair, Not-in-family, Black, Female,0,0,40, United-States, <=50K
23, State-gov, HS-grad, Never-married, Machine-op-inspct, Own-child, White, Male,0,0,30, United-States, <=50K
56, Self-emp-not-inc, Bachelors, Never-married, Sales, Husband, White, Male,0,0,60, United-States, >50K
30, Private, 1st-4th, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,50, United-States, <=50K
30, Private, Bachelors, Married-civ-spouse, Tech-support, Not-in-family, White, Male,0,0,40, United-States, <=50K
22, Private, 11th, Never-married, Prof-specialty, Own-child, White, Male,0,0,16, United-States, <=50K
49, Local-gov, Some-college, Divorced, Prof-specialty, Not-in-family, White, Female,0,1876,35, United-States, <=50K
50, Private, Some-college, Divorced, Craft-repair, Unmarried, White, Male,0,0,35, United-States, <=50K
62, Self-emp-not-inc, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,50, United-States, >50K
46, Self-emp-not-inc, HS-grad, Divorced, Exec-managerial, Husband, White, Female,0,0,40, United-States, >50K
46, Private, Assoc-acdm, Married-civ-spouse, Other-service, Husband, White, Female,0,0,40, United-States, >50K
32, Self-emp-not-inc, Prof-school, Married-civ-spouse, Farming-fishing, Husband, White, Male,0,0,99, United-States, <=50K
28, Private, Bachelors, Never-married, Exec-managerial, Wife, Black, Male,0,0,40, United-States, <=50K
54, Private, Assoc-acdm, Divorced, Adm-clerical, Not-in-family, White, Male,0,0,40, United-States, <=50K
20, Private, Some-college, Never-married, Craft-repair, Own-child, White, Female,0,0,40, United-States, <=50K
32, Private, Bachelors, Divorced, Craft-repair, Own-child, White, Male,0,0,40, United-States, <=50K
54, Private, Bachelors, Separated, Craft-repair, Not-in-family, White, Male,15024,0,40, Jamaica, >50K
31, Private, 10th, Married-civ-spouse, Other-service, Unmarried, White, Male,0,0,27, United-States, <=50K
32, Private, HS-grad, Married-civ-spouse, Sales, Husband, White, Male,0,0,40, United-States, <=50K
28, Local-gov, HS-grad, Married-civ-spouse, Machine-op-inspct, Not-in-family, White, Female,0,0,40, Peru, <=50K
36, Private, Masters, Married-civ-spouse, Transport-moving, Not-in-family, White, Female,0,0,56, United-States, <=50K
53, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Female,0,0,45, United-States, <=50K
21, Private, Assoc-voc, Never-married, Other-service, Other-relative, White, Male,0,0,30, United-States, <=50K
36, Private, Bachelors, Married-civ-spouse, Machine-op-inspct, Unmarried, White, Male,0,0,40, United-States, >50K
22, Private, Masters, Divorced, Tech-support, Unmarried, White, Female,0,0,35, United-States, <=50K
31, Private, HS-grad, Never-married, Machine-op-inspct, Unmarried, White, Female,0,0,40, United-States, <=50K
58, Private, HS-grad, Married-civ-spouse, Sales, Not-in-family, White, Female,0,0,40, United-States, >50K
49, Self-emp-inc, HS-grad, Married-civ-spouse, Prof-specialty, Not-in-family, White, Female,0,0,54, United-States, >50K
42, Private, 7th-8th, Married-civ-spouse, Craft-repair, Husband, White, Female,0,0,40, United-States, <=50K
22, Private, Some-college, Married-civ-spouse, Adm-clerical, Not-in-family, White, Female,0,0,40, Cuba, <=50K
55, Local-gov, Bachelors, Married-civ-spouse, Adm-clerical, Unmarried, White, Male,0,0,40, United-States, >50K
24, Private, HS-grad, Never-married, Other-service, Husband, White, Female,0,0,12, United-States, <=50K
26, Private, HS-grad, Never-married, Exec-managerial, Own-child, White, Female,0,0,40, United-States, <=50K
42, Federal-gov, Assoc-acdm, Married-civ-spouse, Sales, Husband, White, Male,0,0,50, United-States, <=50K
38, Self-emp-inc, Prof-school, Married-civ-spouse, Sales, Unmarried, White, Male,99999,0,60, United-States, >50K
35, Private, Some-college, Divorced, Handlers-cleaners, Unmarried, White, Female,0,0,40, United-States, <=50K
19, Private, HS-grad, Never-married, Other-service, Own-child, White, Female,0,0,40, United-States, <=50K
37, Self-emp-not-inc, HS-grad, Married-civ-spouse, Sales, Husband, White, Male,0,0,70, United-States, >50K
17, Private, 12th, Never-married, Other-service, Own-child, White, Male,0,0,40, United-States, <=50K
54, Private, HS-grad, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,40, United-States, >50K
47, Private, Some-college, Divorced, Prof-specialty, Not-in-family, White, Female,0,0,54, United-States, <=50K
