48, Self-emp-not-inc, Bachelors, Married-civ-spouse, Exec-managerial, Not-in-family, Amer-Indian-Eskimo, Male,0,0,60, United-States, >50K
61, Federal-gov, 5th-6th, Married-civ-spouse, Prof-specialty, Not-in-family, White, Male,0,0,16, United-States, >50K
36, Local-gov, HS-grad, Never-married, Machine-op-inspct, Not-in-family, White, Female,0,0,40, United-States, <=50K
17, Private, 11th, Never-married, Other-service, Own-child, White, Male,0,0,16, United-States, <=50K
62, Self-emp-not-inc, Bachelors, Separated, Prof-specialty, Not-in-family, White, Male,28076,0,73, United-States, >50K
28, State-gov, Bachelors, Never-married, Sales, Not-in-family, White, Male,0,0,40, United-States, <=50K
52, Self-emp-not-inc, Masters, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, Vietnam, <=50K
25, Private, Bachelors, Married-civ-spouse, Craft-repair, Not-in-family, White, Female,0,0,30, Poland, <=50K
29, Private, HS-grad, Never-married, Craft-repair, Not-in-family, White, Female,0,0,40, United-States, <=50K
62, Self-emp-not-inc, Assoc-acdm, Widowed, Prof-specialty, Not-in-family, White, Female,0,0,35, United-States, <=50K
31, Private, Some-college, Divorced, Prof-specialty, Not-in-family, White, Female,0,0,40, United-States, >50K
59, State-gov, Masters, Divorced, Exec-managerial, Not-in-family, White, Female,0,0,42, United-States, >50K
46, State-gov, 10th, Separated, Sales, Not-in-family, White, Female,0,0,25, United-States, <=50K
57, Private, HS-grad, Divorced, Exec-managerial, Husband, White, Male,0,0,40, United-States, >50K
56, Private, Masters, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,45, United-States, >50K
43, Self-emp-inc, Some-college, Divorced, Adm-clerical, Unmarried, White, Female,0,0,45, United-States, <=50K
29, Private, 11th, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, <=50K
37, Private, HS-grad, Married-civ-spouse, Sales, Husband, White, Male,0,0,40, Haiti, <=50K
36, Private, HS-grad, Divorced, Adm-clerical, Unmarried, White, Female,0,0,40, Yugoslavia, <=50K
80, Self-emp-not-inc, HS-grad, Married-civ-spouse, Sales, Husband, Black, Male,0,0,10, United-States, >50K
49, Private, Masters, Married-civ-spouse, Prof-specialty, Husband, Asian-Pac-Islander, Male,0,0,60, United-States, >50K
34, Private, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,43, United-States, >50K
23, Private, HS-grad, Never-married, Tech-support, Own-child, White, Female,0,0,40, United-States, <=50K
23, Private, Assoc-acdm, Never-married, Machine-op-inspct, Own-child, White, Female,0,0,15, United-States, <=50K
29, Federal-gov, Some-college, Never-married, Craft-repair, Wife, White, Male,0,0,8, United-States, <=50K
32, Private, Assoc-voc, Never-married, Adm-clerical, Husband, White, Male,0,0,40, United-States, <=50K
43, Private, HS-grad, Divorced, Sales, Husband, White, Male,0,0,40, United-States, <=50K
57, Self-emp-inc, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,1902,40, United-States, >50K
29, State-gov, Some-college, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, United-States, >50K
27, Private, Masters, Never-married, Exec-managerial, Unmarried, White, Male,0,0,48, United-States, <=50K
61, Local-gov, 5th-6th, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,30, Mexico, <=50K
41, Private, HS-grad, Divorced, Adm-clerical, Unmarried, Black, Female,0,0,40, United-States, <=50K
32, Private, HS-grad, Divorced, Craft-repair, Wife, White, Male,0,0,40, United-States, <=50K
53, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,1902,50, United-States, >50K
24, Private, HS-grad, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,40, Taiwan, <=50K
29, Private, HS-grad, Never-married, Sales, Own-child, Amer-Indian-Eskimo, Female,0,0,40, United-States, <=50K
36, Private, Assoc-acdm, Never-married, Craft-repair, Own-child, White, Male,0,0,35, United-States, >50K
45, Local-gov, Assoc-voc, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,60, Hong, <=50K
33, Private, Some-college, Never-married, Exec-managerial, Not-in-family, White, Male,0,0,45, United-States, >50K
23, Private, HS-grad, Never-married, Craft-repair, Not-in-family, Black, Male,0,0,40, United-States, <=50K
27, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,60, United-States, <=50K
39, Private, Bachelors, Divorced, Handlers-cleaners, Not-in-family, Other, Male,0,0,40, United-States, <=50K
26, Private, Bachelors, Never-married, Prof-specialty, Not-in-family, White, Male,0,0,40, United-States, <=50K
57, Private, HS-grad, Married-civ-spouse, Tech-support, Husband, White, Male,0,1729,40, Taiwan, <=50K
40, Local-gov, Bachelors, Never-married, Exec-managerial, Unmarried, Black, Female,0,0,40, Jamaica, <=50K
46, Private, Some-college, Married-civ-spouse, Exec-managerial, Not-in-family, White, Male,0,0,54, United-States, >50K
34, Private, HS-grad, Divorced, Adm-clerical, Unmarried, White, Male,0,0,65, United-States, <=50K
40, Local-gov, HS-grad, Divorced, Protective-serv, Unmarried, Black, Female,0,0,30, United-States, <=50K
39, State-gov, Masters, Divorced, Exec-managerial, Not-in-family, White, Female,0,0,10, United-States, <=50K
20, Private, Some-college, Never-married, Prof-specialty, Own-child, Asian-Pac-Islander, Female,0,0,16, United-States, <=50K
51, Private, HS-grad, Divorced, Protective-serv, Unmarried, Black, Female,0,0,40, Honduras, <=50K
17, Private, 11th, Never-married, Other-service, Own-child, White, Male,0,0,11, United-States, <=50K
25, Private, HS-grad, Never-married, Other-service, Unmarried, White, Female,0,0,24, United-States, <=50K
22, Private, HS-grad, Never-married, Craft-repair, Own-child, White, Female,0,0,35, United-States, <=50K
46, Private, Masters, Never-married, Craft-repair, Husband, White, Male,0,0,40, United-States, <=50K
45, Private, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, United-States, >50K
40, Private, HS-grad, Never-married, Tech-support, Not-in-family, White, Female,0,0,40, United-States, <=50K
24, Local-gov, Assoc-voc, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,50, Mexico, >50K
37, Federal-gov, Assoc-acdm, Divorced, Sales, Not-in-family, White, Female,0,0,50, United-States, <=50K
32, Private, HS-grad, Married-civ-spouse, Exec-managerial, Unmarried, White, Male,0,0,40, United-States, <=50K
39, Private, Some-college, Married-civ-spouse, Sales, Husband, Black, Male,0,0,50, United-States, <=50K
31, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, Amer-Indian-Eskimo, Male,0,0,40, United-States, <=50K
38, Self-emp-not-inc, Some-college, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,40, United-States, <=50K
29, Private, Masters, Never-married, Sales, Not-in-family, White, Female,0,0,35, United-States, <=50K
22, State-gov, Some-college, Never-married, Exec-managerial, Not-in-family, White, Male,0,0,45, United-States, <=50K
29, Self-emp-not-inc, Masters, Separated, Exec-managerial, Unmarried, White, Female,0,0,99, United-States, <=50K
22, State-gov, Some-college, Never-married, Adm-clerical, Own-child, White, Male,0,0,35, United-States, <=50K
46, Without-pay, Some-college, Married-spouse-absent, Prof-specialty, Husband, White, Male,5399,0,40, United-States, <=50K
46, Local-gov, Bachelors, Divorced, Machine-op-inspct, Not-in-family, White, Female,0,0,40, United-States, <=50K
46, Private, HS-grad, Widowed, Sales, Not-in-family, White, Female,0,0,45, United-States, <=50K
55, Private, Some-college, Divorced, Machine-op-inspct, Not-in-family, White, Female,0,0,40, United-States, <=50K
22, Private, Some-college, Never-married, Prof-specialty, Own-child, White, Male,0,0,40, United-States, <=50K
57, Private, Some-college, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,50, United-States, <=50K
31, Private, HS-grad, Never-married, Sales, Husband, White, Male,0,0,40, United-States, <=50K
44, Self-emp-not-inc, Some-college, Divorced, Machine-op-inspct, Unmarried, White, Female,0,0,60, United-States, <=50K
24, Private, Some-college, Never-married, Sales, Own-child, Black, Male,0,0,40, United-States, <=50K
40, Private, Assoc-voc, Separated, Prof-specialty, Not-in-family, Black, Male,15024,0,40, United-States, >50K
24, Private, Some-college, Never-married, Sales, Own-child, Black, Female,0,0,24, Ireland, <=50K
31, State-gov, HS-grad, Married-civ-spouse, Machine-op-inspct, Own-child, White, Male,0,0,38, United-States, <=50K
29, Private, Bachelors, Never-married, Adm-clerical, Not-in-family, White, Female,0,0,40, United-States, <=50K
42, State-gov, Bachelors, Married-civ-spouse, Protective-serv, Husband, Other, Male,0,0,60, United-States, >50K
25, Private, Masters, Never-married, Craft-repair, Own-child, Other, Female,0,0,40, United-States, <=50K
20, Local-gov, 11th, Never-married, Prof-specialty, Own-child, White, Male,0,0,25, United-States, <=50K
34, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, Asian-Pac-Islander, Male,0,0,40, United-States, >50K
44, State-gov, HS-grad, Separated, Adm-clerical, Unmarried, White, Female,0,0,40, United-States, <=50K
33, Private, 10th, Married-civ-spouse, Other-service, Husband, Black, Male,0,0,40, United-States, <=50K
29, Local-gov, Some-college, Divorced, Tech-support, Unmarried, White, Female,0,0,20, United-States, <=50K
61, Private, HS-grad, Married-civ-spouse, Machine-op-inspct, Wife, White, Male,0,0,40, United-States, <=50K
48, State-gov, Masters, Married-civ-spouse, Farming-fishing, Husband, Black, Male,0,0,50, United-States, >50K
18, Private, HS-grad, Never-married, Tech-support, Own-child, White, Male,0,0,20, United-States, <=50K
37, Private, Masters, Never-married, Priv-house-serv, Unmarried, White, Female,0,0,40, Puerto-Rico, <=50K
20, Private, Bachelors, Never-married, Machine-op-inspct, Own-child, White, Male,0,0,25, United-States, <=50K
24, Private, Some-college, Never-married, Other-service, Husband, White, Male,0,0,40, United-States, <=50K
40, Private, HS-grad, Divorced, Adm-clerical, Unmarried, White, Male,0,0,40, United-States, >50K
42, Federal-gov, 11th, Married-civ-spouse, Exec-managerial, Not-in-family, White, Male,0,1599,40, United-States, <=50K
60, Federal-gov, Assoc-voc, Married-civ-spouse, Craft-repair, Husband, Asian-Pac-Islander, Male,0,0,40, United-States, <=50K
22, Private, Some-college, Never-married, Priv-house-serv, Not-in-family, White, Female,0,0,20, United-States, <=50K
31, Private, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, Philippines, <=50K
59, State-gov, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, >50K
37, Self-emp-not-inc, Bachelors, Divorced, Exec-managerial, Not-in-family, White, Male,8562,0,60, United-States, >50K
20, Private, Some-college, Divorced, Craft-repair, Own-child, White, Male,0,0,40, United-States, <=50K
39, Self-emp-not-inc, Bachelors, Married-civ-spouse, Sales, Husband, White, Male,0,0,50, United-States, >50K
39, Local-gov, HS-grad, Married-civ-spouse, Sales, Not-in-family, White, Female,0,0,60, United-States, >50K
54, Self-emp-inc, HS-grad, Married-civ-spouse, Other-service, Husband, White, Male,0,0,25, United-States, <=50K
22, Self-emp-not-inc, HS-grad, Never-married, Exec-managerial, Unmarried, Asian-Pac-Islander, Female,0,0,60, United-States, <=50K
24, Private, HS-grad, Never-married, Sales, Own-child, White, Female,0,0,30, United-States, <=50K
19, State-gov, HS-grad, Never-married, Other-service, Own-child, Amer-Indian-Eskimo, Female,0,0,10, United-States, <=50K
28, State-gov, Some-college, Never-married, Sales, Not-in-family, White, Male,0,0,60, United-States, <=50K
50, Private, Bachelors, Divorced, Other-service, Not-in-family, White, Male,0,0,40, United-States, <=50K
31, Private, HS-grad, Married-civ-spouse, Sales, Husband, White, Male,0,0,45, United-States, >50K
41, Private, Assoc-acdm, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, United-States, >50K
35, Private, Some-college, Married-civ-spouse, Craft-repair, Husband, White, Male,7298,0,40, United-States, <=50K
47, Private, Assoc-voc, Widowed, Other-service, Wife, White, Female,0,0,35, United-States, >50K
22, Private, HS-grad, Never-married, Craft-repair, Not-in-family, Black, Male,0,0,40, United-States, <=50K
34, State-gov, HS-grad, Never-married, Other-service, Own-child, White, Male,0,0,30, United-States, <=50K
45, Private, Assoc-voc, Married-civ-spouse, Tech-support, Husband, White, Male,0,0,45, United-States, >50K
24, Private, HS-grad, Never-married, Adm-clerical, Own-child, White, Male,0,0,60, United-States, <=50K
23, Private, Some-college, Never-married, Adm-clerical, Own-child, Black, Female,0,0,20, United-States, <=50K
19, Private, HS-grad, Never-married, Adm-clerical, Own-child, White, Female,0,0,32, United-States, <=50K
31, Private, Masters, Never-married, Sales, Wife, White, Male,7298,0,35, United-States, >50K
23, Private, HS-grad, Never-married, Transport-moving, Other-relative, White, Male,0,0,40, United-States, <=50K
38, Private, 10th, Divorced, Machine-op-inspct, Unmarried, White, Female,0,0,40, United-States, <=50K
61, Private, HS-grad, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, United-States, <=50K
46, Private, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, United-States, >50K
35, Private, HS-grad, Never-married, Adm-clerical, Unmarried, Black, Female,0,0,42, United-States, <=50K
37, State-gov, Some-college, Married-civ-spouse, Craft-repair, Husband, White, Male,7298,0,40, United-States, >50K
29, Private, Some-college, Separated, Sales, Unmarried, White, Female,0,0,30, United-States, <=50K
56, Federal-gov, 7th-8th, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,50, United-States, <=50K
52, Private, Bachelors, Married-civ-spouse, Sales, Husband, White, Male,0,0,40, United-States, >50K
34, Local-gov, Some-college, Never-married, Adm-clerical, Own-child, White, Female,0,0,40, United-States, >50K
56, Private, Some-college, Widowed, Transport-moving, Not-in-family, White, Female,0,0,40, United-States, <=50K
41, Private, Some-college, Married-civ-spouse, Craft-repair, Husband, Amer-Indian-Eskimo, Male,7687,0,45, United-States, >50K
36, Private, Some-college, Never-married, Sales, Unmarried, Black, Male,0,0,50, United-States, <=50K
52, Private, HS-grad, Never-married, Craft-repair, Not-in-family, White, Female,0,1878,40, United-States, <=50K
35, Private, Some-college, Never-married, Other-service, Unmarried, Asian-Pac-Islander, Female,0,0,40, United-States, <=50K
45, Federal-gov, Bachelors, Married-civ-spouse, Sales, Husband, White, Male,0,0,72, United-States, >50K
47, Private, Assoc-acdm, Divorced, Adm-clerical, Unmarried, Other, Male,0,1594,45, United-States, <=50K
51, Private, Some-college, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, United-States, >50K
28, Private, Some-college, Never-married, Transport-moving, Wife, White, Male,0,0,30, United-States, <=50K
50, State-gov, Bachelors, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,40, United-States, >50K
27, Self-emp-not-inc, HS-grad, Never-married, Craft-repair, Not-in-family, Black, Male,0,0,24, Germany, <=50K
27, Private, HS-grad, Divorced, Craft-repair, Husband, White, Male,0,0,40, United-States, <=50K
51, Private, HS-grad, Divorced, Craft-repair, Not-in-family, White, Male,0,0,45, United-States, <=50K
32, Private, Some-college, Married-civ-spouse, Tech-support, Husband, White, Male,0,0,45, United-States, <=50K
48, Self-emp-not-inc, Masters, Married-civ-spouse, Sales, Husband, White, Male,0,1904,40, United-States, <=50K
60, Private, Some-college, Married-civ-spouse, Exec-managerial, Not-in-family, White, Male,0,0,40, United-States, <=50K
41, Private, Some-college, Married-civ-spouse, Farming-fishing, Husband, White, Male,15024,0,70, United-States, >50K
58, Private, HS-grad, Never-married, Craft-repair, Husband, White, Male,0,0,40, United-States, <=50K
19, Private, Some-college, Never-married, Handlers-cleaners, Own-child, Black, Female,0,0,16, United-States, <=50K
54, Private, HS-grad, Divorced, Adm-clerical, Own-child, White, Female,3901,0,40, United-States, <=50K
52, Self-emp-not-inc, Assoc-voc, Married-civ-spouse, Craft-repair, Husband, White, Male,0,1977,40, United-States, <=50K
32, Private, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, United-States, >50K
31, Private, HS-grad, Never-married, Other-service, Own-child, White, Male,0,0,40, Yugoslavia, <=50K
48, Private, Bachelors, Married-civ-spouse, Protective-serv, Not-in-family, White, Male,0,0,40, United-States, >50K
24, Private, Some-college, Never-married, Tech-support, Not-in-family, White, Male,0,0,40, Canada, <=50K
36, State-gov, HS-grad, Never-married, Sales, Not-in-family, White, Male,0,0,2, United-States, <=50K
29, Private, HS-grad, Never-married, Craft-repair, Not-in-family, White, Male,0,0,40, United-States, <=50K
45, Federal-gov, Some-college, Married-civ-spouse, Sales, Husband, White, Male,7298,0,50, United-States, >50K
25, Local-gov, Some-college, Never-married, Sales, Wife, White, Male,0,0,38, United-States, <=50K
73, Private, 7th-8th, Married-spouse-absent, Adm-clerical, Not-in-family, White, Female,0,0,8, Haiti, <=50K
29, Private, Bachelors, Never-married, Adm-clerical, Not-in-family, White, Female,0,0,50, United-States, <=50K
37, Private, Some-college, Married-civ-spouse, Craft-repair, Not-in-family, White, Male,0,0,50, United-States, <=50K
38, Self-emp-not-inc, HS-grad, Married-civ-spouse, Exec-managerial, Not-in-family, White, Male,0,0,60, United-States, <=50K
27, Private, 7th-8th, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,60, United-States, <=50K
18, State-gov, Some-college, Never-married, Other-service, Own-child, White, Male,0,0,8, United-States, <=50K
27, Private, Some-college, Never-married, Sales, Unmarried, White, Male,0,0,50, United-States, <=50K
39, Federal-gov, Some-college, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,50, China, >50K
26, Private, Some-college, Never-married, Adm-clerical, Own-child, White, Male,0,0,20, United-States, <=50K
38, State-gov, 12th, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, <=50K
18, Private, Some-college, Never-married, Other-service, Own-child, White, Female,0,0,20, United-States, <=50K
27, Private, Assoc-voc, Married-civ-spouse, Machine-op-inspct, Own-child, White, Male,0,0,40, United-States, <=50K
55, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,50, United-States, <=50K
26, Private, HS-grad, Never-married, Exec-managerial, Not-in-family, Amer-Indian-Eskimo, Male,0,0,45, United-States, <=50K
50, Private, Some-college, Married-civ-spouse, Craft-repair, Husband, White, Male,15024,0,40, United-States, >50K
57, Self-emp-inc, HS-grad, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,40, United-States, <=50K
49, Private, 7th-8th, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,1721,70, United-States, >50K
28, Private, HS-grad, Never-married, Sales, Own-child, White, Female,0,0,60, Mexico, <=50K
71, Self-emp-not-inc, Doctorate, Married-civ-spouse, Craft-repair, Husband, White, Male,0,2309,25, United-States, <=50K
39, Private, Assoc-voc, Separated, Adm-clerical, Unmarried, White, Female,0,0,40, United-States, <=50K
36, Private, Bachelors, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, <=50K
18, State-gov, Some-college, Never-married, Prof-specialty, Own-child, White, Female,0,0,12, United-States, <=50K
46, Self-emp-inc, Some-college, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,60, United-States, >50K
36, Private, Bachelors, Married-civ-spouse, Craft-repair, Husband, Black, Female,0,0,50, United-States, <=50K
42, State-gov, HS-grad, Never-married, Exec-managerial, Unmarried, White, Male,0,0,50, United-States, <=50K
50, Private, Bachelors, Widowed, Protective-serv, Not-in-family, Black, Male,0,0,40, United-States, <=50K
64, Local-gov, 1st-4th, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,15, Philippines, <=50K
53, Private, HS-grad, Married-civ-spouse, Transport-moving, Not-in-family, White, Male,0,1887,50, United-States, <=50K
31, Private, Assoc-acdm, Never-married, Prof-specialty, Own-child, White, Male,0,0,40, United-States, <=50K
51, Local-gov, Some-college, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, United-States, >50K
22, Private, Some-college, Never-married, Adm-clerical, Unmarried, White, Female,0,0,40, United-States, <=50K
34, State-gov, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, United-States, >50K
44, Self-emp-not-inc, Doctorate, Married-civ-spouse, Exec-managerial, Husband, White, Male,15024,0,50, United-States, >50K
34, Private, Bachelors, Married-civ-spouse, Machine-op-inspct, Husband, White, Female,0,0,40, United-States, >50K
48, State-gov, Some-college, Divorced, Farming-fishing, Not-in-family, White, Female,0,0,30, United-States, <=50K
43, Private, Bachelors, Widowed, Exec-managerial, Wife, Black, Male,0,0,45, United-States, <=50K
40, Private, Assoc-voc, Married-civ-spouse, Craft-repair, Husband, White, Male,7687,0,40, United-States, >50K
37, Private, Some-college, Divorced, Adm-clerical, Unmarried, Black, Female,0,0,30, United-States, <=50K
48, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, <=50K
59, Private, HS-grad, Widowed, Adm-clerical, Unmarried, White, Male,0,0,40, Holand-Netherlands, <=50K
60, Private, 10th, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,50, United-States, >50K
28, Private, HS-grad, Never-married, Sales, Husband, White, Male,0,0,50, United-States, <=50K
47, Federal-gov, HS-grad, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,12, Mexico, <=50K
39, Private, Masters, Never-married, Sales, Unmarried, Black, Female,0,0,40, United-States, <=50K
69, Private, HS-grad, Divorced, Adm-clerical, Not-in-family, White, Female,0,0,35, United-States, <=50K
50, Private, Bachelors, Never-married, Prof-specialty, Not-in-family, White, Male,0,1631,40, United-States, <=50K
37, Private, Bachelors, Never-married, Other-service, Wife, White, Female,0,0,38, United-States, >50K
46, Local-gov, HS-grad, Married-civ-spouse, Tech-support, Husband, White, Male,0,0,38, United-States, >50K
36, Private, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,45, United-States, >50K
23, Private, HS-grad, Never-married, Sales, Unmarried, White, Female,0,0,25, United-States, <=50K
22, Private, HS-grad, Never-married, Other-service, Own-child, White, Female,0,0,35, United-States, <=50K
42, Private, Assoc-acdm, Never-married, Adm-clerical, Unmarried, Black, Female,0,0,40, United-States, <=50K
37, Private, Some-college, Divorced, Craft-repair, Not-in-family, White, Female,0,0,50, Columbia, <=50K
28, Private, HS-grad, Married-civ-spouse, Adm-clerical, Wife, White, Male,0,0,40, United-States, <=50K
25, Private, HS-grad, Never-married, Adm-clerical, Not-in-family, Black, Female,0,0,40, United-States, <=50K
24, Self-emp-not-inc, Some-college, Never-married, Machine-op-inspct, Own-child, White, Female,0,0,40, United-States, <=50K
22, Federal-gov, Assoc-voc, Never-married, Prof-specialty, Husband, White, Male,0,0,40, United-States, <=50K
27, Private, Some-college, Never-married, Sales, Not-in-family, White, Male,0,0,50, United-States, >50K
17, Private, Some-college, Never-married, Other-service, Own-child, White, Female,0,0,15, United-States, <=50K
30, Private, HS-grad, Never-married, Machine-op-inspct, Husband, White, Male,0,0,40, United-States, <=50K
30, Private, HS-grad, Never-married, Other-service, Own-child, White, Male,0,0,45, United-States, <=50K
43, Private, Some-college, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,50, United-States, >50K
46, Private, HS-grad, Divorced, Tech-support, Not-in-family, White, Male,0,0,40, United-States, <=50K
34, Private, Some-college, Never-married, Other-service, Own-child, White, Female,0,0,6, United-States, <=50K
39, Self-emp-not-inc, Some-college, Married-civ-spouse, Craft-repair, Husband, Other, Male,0,0,54, United-States, >50K
