55, Self-emp-not-inc, HS-grad, Married-civ-spouse, Craft-repair, Husband, Amer-Indian-Eskimo, Male,0,0,50, Cuba, >50K
25, Private, Some-college, Never-married, Exec-managerial, Own-child, Black, Female,0,0,40, Thailand, <=50K
19, Private, 10th, Never-married, Adm-clerical, Own-child, Other, Female,0,0,35, Ecuador, <=50K
57, Self-emp-inc, Masters, Married-civ-spouse, Sales, Husband, Asian-Pac-Islander, Male,5072,0,60, Canada, >50K
37, Private, HS-grad, Divorced, Adm-clerical, Unmarried, Black, Female,0,0,35, Yugoslavia, >50K
41, Private, Some-college, Married-civ-spouse, Prof-specialty, Husband, Amer-Indian-Eskimo, Male,0,0,40, Taiwan, >50K
28, Private, HS-grad, Never-married, Other-service, Husband, Amer-Indian-Eskimo, Female,0,0,21, Greece, <=50K
46, Private, Masters, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,60, Philippines, >50K
43, Private, Masters, Married-civ-spouse, Transport-moving, Husband, White, Male,15024,0,50, Guatemala, >50K
39, Private, Assoc-voc, Widowed, Adm-clerical, Unmarried, Asian-Pac-Islander, Female,0,0,40, Portugal, <=50K
29, Federal-gov, Some-college, Never-married, Adm-clerical, Unmarried, White, Male,0,0,54, Jamaica, <=50K
59, Private, 7th-8th, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, India, <=50K
48, Private, HS-grad, Married-civ-spouse, Protective-serv, Husband, White, Male,0,0,40, France, <=50K
38, Private, HS-grad, Divorced, Other-service, Not-in-family, Other, Female,0,0,40, France, <=50K
33, Private, HS-grad, Never-married, Craft-repair, Unmarried, Asian-Pac-Islander, Female,0,0,45, Ireland, <=50K
57, Private, Some-college, Widowed, Exec-managerial, Unmarried, Black, Male,0,0,40, Japan, <=50K
60, Private, 11th, Divorced, Craft-repair, Not-in-family, Asian-Pac-Islander, Female,0,0,40, Columbia, <=50K
38, Private, Bachelors, Married-civ-spouse, Craft-repair, Husband, Amer-Indian-Eskimo, Male,7298,0,50, Jamaica, >50K
46, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, Other, Male,0,1977,60, Dominican-Republic, >50K
40, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, Asian-Pac-Islander, Male,0,0,40, South, <=50K
33, Self-emp-inc, Masters, Married-civ-spouse, Tech-support, Husband, Amer-Indian-Eskimo, Male,0,1900,40, Cuba, <=50K
47, Private, Bachelors, Married-civ-spouse, Tech-support, Husband, Amer-Indian-Eskimo, Female,0,0,40, Germany, >50K
47, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, Scotland, >50K
43, Private, 7th-8th, Divorced, Sales, Unmarried, Asian-Pac-Islander, Female,0,0,35, Canada, <=50K
43, Private, Some-college, Married-civ-spouse, Exec-managerial, Husband, Asian-Pac-Islander, Male,0,0,40, Dominican-Republic, >50K
30, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, Amer-Indian-Eskimo, Male,0,0,40, Haiti, <=50K
48, Private, Masters, Married-civ-spouse, Exec-managerial, Husband, Asian-Pac-Islander, Male,0,0,50, Ireland, >50K
32, Private, Bachelors, Divorced, Adm-clerical, Unmarried, Asian-Pac-Islander, Female,0,0,30, Trinadad&Tobago, <=50K
51, Private, Assoc-acdm, Married-civ-spouse, Protective-serv, Husband, White, Male,0,0,40, Thailand, >50K
20, Private, HS-grad, Never-married, Sales, Other-relative, Black, Male,0,0,40, Columbia, <=50K
59, Private, HS-grad, Divorced, Exec-managerial, Unmarried, Amer-Indian-Eskimo, Female,2174,0,42, China, <=50K
39, Private, Some-college, Married-civ-spouse, Exec-managerial, Husband, Other, Male,0,0,50, Hong, >50K
49, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, Asian-Pac-Islander, Male,0,0,50, Taiwan, <=50K
57, Private, HS-grad, Divorced, Transport-moving, Not-in-family, Asian-Pac-Islander, Male,0,2187,65, Greece, >50K
50, State-gov, Masters, Married-civ-spouse, Exec-managerial, Not-in-family, Other, Male,0,0,65, Greece, <=50K
33, Private, Masters, Married-civ-spouse, Protective-serv, Husband, Amer-Indian-Eskimo, Male,0,0,45, Thailand, >50K
25, Private, HS-grad, Never-married, Prof-specialty, Unmarried, Amer-Indian-Eskimo, Female,0,0,40, Canada, <=50K
45, Self-emp-inc, Masters, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,7687,0,40, El-Salvador, >50K
22, Private, HS-grad, Married-civ-spouse, Machine-op-inspct, Own-child, Other, Female,0,0,40, Taiwan, <=50K
43, Private, HS-grad, Never-married, Craft-repair, Not-in-family, Other, Male,0,0,45, South, <=50K
59, Self-emp-not-inc, Some-college, Widowed, Exec-managerial, Not-in-family, White, Male,0,0,60, Taiwan, <=50K
51, Private, HS-grad, Married-civ-spouse, Machine-op-inspct, Husband, Other, Male,0,0,45, Scotland, >50K
36, Private, Bachelors, Married-civ-spouse, Tech-support, Husband, White, Female,0,0,40, France, >50K
20, Private, 12th, Never-married, Other-service, Own-child, Black, Male,0,0,20, China, <=50K
37, Federal-gov, Assoc-voc, Divorced, Prof-specialty, Not-in-family, Black, Female,0,0,40, Jamaica, <=50K
33, Self-emp-inc, Masters, Married-civ-spouse, Prof-specialty, Wife, Other, Male,7687,0,50, Thailand, >50K
23, Private, Some-college, Married-civ-spouse, Sales, Husband, Amer-Indian-Eskimo, Male,0,1887,50, Puerto-Rico, >50K
23, Private, Some-college, Never-married, Other-service, Own-child, Amer-Indian-Eskimo, Female,0,0,20, Iran, <=50K
22, Private, Some-college, Never-married, Transport-moving, Not-in-family, White, Female,0,0,46, Thailand, <=50K
42, Private, HS-grad, Married-civ-spouse, Sales, Husband, Black, Male,0,0,40, England, <=50K
30, State-gov, Some-college, Never-married, Exec-managerial, Not-in-family, Asian-Pac-Islander, Male,0,0,40, Guatemala, <=50K
42, Self-emp-inc, HS-grad, Widowed, Adm-clerical, Unmarried, White, Female,0,0,40, Taiwan, <=50K
55, Self-emp-not-inc, HS-grad, Widowed, Adm-clerical, Own-child, White, Male,2410,0,35, Taiwan, <=50K
49, Without-pay, Some-college, Widowed, Prof-specialty, Not-in-family, Other, Female,4670,0,40, Guatemala, <=50K
52, Private, Bachelors, Married-civ-spouse, Farming-fishing, Husband, Asian-Pac-Islander, Male,0,0,84, Ecuador, <=50K
20, Private, HS-grad, Never-married, Sales, Not-in-family, Other, Male,0,0,45, Germany, <=50K
37, Private, Some-college, Divorced, Exec-managerial, Not-in-family, Black, Female,0,0,40, Portugal, <=50K
61, Self-emp-not-inc, Masters, Married-civ-spouse, Machine-op-inspct, Husband, Other, Male,0,1902,40, Thailand, >50K
20, Private, Some-college, Never-married, Handlers-cleaners, Own-child, Other, Male,0,0,25, Outlying-US(Guam-USVI-etc), <=50K
21, Private, HS-grad, Never-married, Sales, Husband, Asian-Pac-Islander, Male,0,0,40, Poland, <=50K
38, Self-emp-not-inc, Some-college, Married-civ-spouse, Prof-specialty, Husband, Black, Male,0,0,40, Scotland, >50K
18, Private, Some-college, Never-married, Sales, Own-child, Amer-Indian-Eskimo, Male,0,0,40, Peru, <=50K
34, Private, HS-grad, Separated, Handlers-cleaners, Not-in-family, Amer-Indian-Eskimo, Female,0,0,40, Taiwan, <=50K
27, Private, Some-college, Never-married, Sales, Own-child, Amer-Indian-Eskimo, Female,0,0,40, China, <=50K
33, Self-emp-not-inc, HS-grad, Married-civ-spouse, Machine-op-inspct, Wife, Black, Male,0,0,40, Portugal, <=50K
33, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, Outlying-US(Guam-USVI-etc), <=50K
62, State-gov, HS-grad, Widowed, Sales, Not-in-family, Amer-Indian-Eskimo, Female,0,0,40, India, <=50K
38, Private, Some-college, Married-civ-spouse, Exec-managerial, Husband, Asian-Pac-Islander, Male,0,0,48, Japan, >50K
40, Local-gov, 7th-8th, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,0,0,40, Taiwan, <=50K
23, Private, Some-college, Never-married, Exec-managerial, Own-child, Amer-Indian-Eskimo, Male,0,0,40, El-Salvador, <=50K
36, State-gov, HS-grad, Never-married, Exec-managerial, Husband, White, Male,4386,0,80, Honduras, >50K
18, Private, 10th, Never-married, Other-service, Own-child, Amer-Indian-Eskimo, Female,0,0,16, Germany, <=50K
53, Private, Prof-school, Married-civ-spouse, Transport-moving, Husband, Asian-Pac-Islander, Male,0,0,53, Nicaragua, >50K
47, Private, HS-grad, Married-civ-spouse, Exec-managerial, Husband, Black, Female,0,0,25, Italy, <=50K
27, Private, HS-grad, Never-married, Handlers-cleaners, Not-in-family, Amer-Indian-Eskimo, Female,0,0,40, Hungary, <=50K
38, Private, Bachelors, Married-civ-spouse, Transport-moving, Husband, Other, Male,0,0,40, Outlying-US(Guam-USVI-etc), >50K
26, Private, HS-grad, Never-married, Machine-op-inspct, Own-child, White, Male,0,0,40, Columbia, <=50K
34, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,1611,40, Guatemala, >50K
26, Private, Some-college, Married-spouse-absent, Prof-specialty, Husband, Asian-Pac-Islander, Male,0,0,40, United-States, <=50K
60, Private, HS-grad, Divorced, Craft-repair, Not-in-family, Other, Male,0,0,48, Ireland, >50K
31, Private, 11th, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,50, Hong, <=50K
54, Federal-gov, Assoc-acdm, Married-civ-spouse, Craft-repair, Husband, Amer-Indian-Eskimo, Male,0,0,40, Japan, <=50K
23, Private, Some-college, Never-married, Other-service, Not-in-family, White, Female,0,0,30, Outlying-US(Guam-USVI-etc), <=50K
49, Private, Assoc-voc, Never-married, Prof-specialty, Unmarried, Asian-Pac-Islander, Female,0,0,50, Columbia, <=50K
51, State-gov, Masters, Married-civ-spouse, Exec-managerial, Husband, White, Female,0,0,70, Jamaica, >50K
24, Private, Bachelors, Divorced, Adm-clerical, Own-child, Black, Female,0,0,40, Haiti, <=50K
26, Private, Some-college, Divorced, Machine-op-inspct, Own-child, White, Female,0,0,40, Haiti, <=50K
35, Self-emp-inc, HS-grad, Married-civ-spouse, Sales, Husband, Asian-Pac-Islander, Male,0,0,50, Dominican-Republic, >50K
41, Private, HS-grad, Divorced, Prof-specialty, Unmarried, Asian-Pac-Islander, Female,0,0,40, Honduras, <=50K
59, Private, HS-grad, Divorced, Machine-op-inspct, Not-in-family, Black, Female,0,0,40, Italy, <=50K
58, Self-emp-not-inc, HS-grad, Divorced, Craft-repair, Unmarried, Amer-Indian-Eskimo, Female,3559,0,30, Thailand, <=50K
46, Private, HS-grad, Divorced, Sales, Not-in-family, Black, Female,0,0,17, Japan, <=50K
35, Self-emp-not-inc, HS-grad, Widowed, Adm-clerical, Own-child, Amer-Indian-Eskimo, Female,0,0,38, Outlying-US(Guam-USVI-etc), <=50K
57, State-gov, Some-college, Divorced, Other-service, Unmarried, Amer-Indian-Eskimo, Female,0,0,25, Taiwan, <=50K
25, Private, HS-grad, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,2622,0,50, United-States, >50K
44, Private, HS-grad, Married-civ-spouse, Sales, Husband, Asian-Pac-Islander, Male,0,0,40, India, >50K
26, Private, Bachelors, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, Cuba, <=50K
63, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, Vietnam, <=50K
27, Private, Assoc-voc, Never-married, Other-service, Own-child, Black, Female,0,0,50, Honduras, >50K
28, Private, Some-college, Never-married, Adm-clerical, Not-in-family, Amer-Indian-Eskimo, Female,0,0,35, Philippines, <=50K
25, State-gov, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, Italy, <=50K
45, Private, 7th-8th, Married-civ-spouse, Transport-moving, Wife, White, Male,0,0,35, Peru, <=50K
39, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, Asian-Pac-Islander, Male,0,1977,45, Vietnam, >50K
24, Private, Some-college, Never-married, Exec-managerial, Other-relative, Amer-Indian-Eskimo, Female,0,0,40, India, <=50K
47, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, Other, Male,5168,0,22, Ecuador, >50K
26, Private, Some-college, Never-married, Sales, Own-child, Other, Male,0,0,40, Portugal, <=50K
62, Private, HS-grad, Married-spouse-absent, Transport-moving, Husband, Other, Male,0,0,40, India, <=50K
45, Private, 10th, Married-civ-spouse, Farming-fishing, Husband, Black, Male,0,0,70, Iran, <=50K
31, Private, Bachelors, Never-married, Exec-managerial, Not-in-family, Black, Male,0,1848,36, Taiwan, <=50K
45, Private, Bachelors, Divorced, Prof-specialty, Not-in-family, Asian-Pac-Islander, Female,0,0,60, Peru, >50K
26, Private, HS-grad, Never-married, Craft-repair, Own-child, Asian-Pac-Islander, Male,0,0,30, Mexico, <=50K
29, Self-emp-not-inc, Some-college, Married-civ-spouse, Craft-repair, Husband, Other, Male,0,0,40, Guatemala, <=50K
48, Private, Some-college, Widowed, Sales, Unmarried, White, Female,0,0,45, El-Salvador, <=50K
42, Local-gov, 7th-8th, Never-married, Exec-managerial, Wife, Asian-Pac-Islander, Male,0,0,50, India, <=50K
46, Private, Bachelors, Married-civ-spouse, Sales, Husband, Black, Male,0,0,65, Mexico, >50K
71, Private, Some-college, Widowed, Adm-clerical, Unmarried, Black, Female,0,0,20, Puerto-Rico, <=50K
54, Private, Some-college, Married-civ-spouse, Transport-moving, Husband, Black, Male,0,0,45, Peru, >50K
50, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, Amer-Indian-Eskimo, Male,0,0,40, Taiwan, <=50K
37, Private, Some-college, Married-civ-spouse, Tech-support, Husband, Amer-Indian-Eskimo, Male,0,0,40, Japan, >50K
39, Private, Bachelors, Never-married, Prof-specialty, Not-in-family, White, Female,0,0,50, Ecuador, >50K
19, Private, Some-college, Never-married, Machine-op-inspct, Own-child, Amer-Indian-Eskimo, Male,0,0,45, Peru, <=50K
35, Federal-gov, Doctorate, Married-civ-spouse, Sales, Husband, White, Male,0,0,40, Taiwan, >50K
27, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, Asian-Pac-Islander, Male,0,0,40, India, <=50K
32, Private, Some-college, Never-married, Prof-specialty, Not-in-family, Asian-Pac-Islander, Female,0,0,40, Hong, >50K
27, Private, HS-grad, Never-married, Transport-moving, Unmarried, Other, Male,0,0,70, South, <=50K
19, State-gov, HS-grad, Never-married, Transport-moving, Not-in-family, Other, Male,0,0,16, Yugoslavia, <=50K
31, Private, HS-grad, Separated, Adm-clerical, Not-in-family, Asian-Pac-Islander, Female,0,0,35, Canada, <=50K
28, Private, HS-grad, Divorced, Adm-clerical, Not-in-family, Asian-Pac-Islander, Female,0,0,40, Honduras, <=50K
46, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,54, Trinadad&Tobago, >50K
62, Private, Some-college, Married-civ-spouse, Tech-support, Husband, White, Male,0,0,45, Guatemala, <=50K
31, Private, Some-college, Married-civ-spouse, Sales, Husband, White, Male,0,0,40, Columbia, >50K
18, Private, Some-college, Never-married, Handlers-cleaners, Own-child, Black, Female,0,0,40, Haiti, <=50K
39, Private, Some-college, Married-civ-spouse, Prof-specialty, Husband, White, Male,15024,0,40, Yugoslavia, >50K
43, Private, HS-grad, Widowed, Adm-clerical, Own-child, Black, Female,0,0,40, Nicaragua, <=50K
60, Private, Masters, Married-civ-spouse, Exec-managerial, Husband, Asian-Pac-Islander, Male,0,1977,40, United-States, >50K
17, Private, 11th, Never-married, Other-service, Own-child, Other, Female,0,0,20, Iran, <=50K
46, Self-emp-not-inc, Assoc-voc, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,60, Puerto-Rico, <=50K
42, Private, Bachelors, Divorced, Exec-managerial, Unmarried, Asian-Pac-Islander, Female,0,0,44, Honduras, <=50K
29, Private, HS-grad, Never-married, Other-service, Own-child, White, Female,0,0,33, Yugoslavia, <=50K
29, Private, HS-grad, Never-married, Other-service, Not-in-family, White, Male,0,0,38, Italy, <=50K
44, Private, Some-college, Married-civ-spouse, Tech-support, Husband, White, Male,0,0,40, Cambodia, >50K
36, Self-emp-not-inc, HS-grad, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,83, Mexico, <=50K
32, Private, Bachelors, Never-married, Craft-repair, Not-in-family, Black, Female,0,0,40, Guatemala, <=50K
38, Local-gov, Some-college, Married-civ-spouse, Sales, Husband, White, Male,7687,0,43, Jamaica, >50K
34, Private, Some-college, Married-civ-spouse, Transport-moving, Not-in-family, Asian-Pac-Islander, Male,0,0,50, Laos, <=50K
36, Private, Bachelors, Married-civ-spouse, Adm-clerical, Not-in-family, White, Male,0,0,40, Canada, <=50K
67, Private, HS-grad, Widowed, Adm-clerical, Not-in-family, Asian-Pac-Islander, Female,0,0,30, Puerto-Rico, <=50K
47, Private, Some-college, Married-civ-spouse, Craft-repair, Husband, Asian-Pac-Islander, Male,0,0,40, South, <=50K
31, Private, Some-college, Never-married, Adm-clerical, Unmarried, Black, Female,0,0,38, Iran, <=50K
37, Private, 7th-8th, Never-married, Machine-op-inspct, Wife, White, Female,0,0,30, Ecuador, >50K
54, State-gov, Some-college, Married-civ-spouse, Prof-specialty, Husband, Black, Male,0,0,40, South, >50K
23, Private, Some-college, Never-married, Prof-specialty, Unmarried, Asian-Pac-Islander, Female,0,0,35, Vietnam, <=50K
26, Federal-gov, Some-college, Never-married, Other-service, Unmarried, Asian-Pac-Islander, Male,0,0,45, Cambodia, <=50K
34, Private, Some-college, Married-civ-spouse, Exec-managerial, Husband, Asian-Pac-Islander, Male,0,0,40, Outlying-US(Guam-USVI-etc), >50K
54, State-gov, 5th-6th, Married-civ-spouse, Exec-managerial, Husband, Other, Male,15024,0,38, Jamaica, >50K
52, Private, HS-grad, Divorced, Machine-op-inspct, Not-in-family, Other, Female,0,0,40, Germany, <=50K
54, Private, Assoc-voc, Married-civ-spouse, Prof-specialty, Wife, White, Male,0,0,40, Italy, <=50K
22, Private, HS-grad, Never-married, Craft-repair, Own-child, Black, Male,0,0,54, Nicaragua, <=50K
36, Private, Masters, Married-civ-spouse, Exec-managerial, Husband, Amer-Indian-Eskimo, Male,15024,0,99, Ireland, >50K
32, Private, Some-college, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,16, United-States, <=50K
42, Private, HS-grad, Never-married, Transport-moving, Not-in-family, Black, Male,0,0,40, Peru, <=50K
49, Private, Assoc-acdm, Divorced, Prof-specialty, Not-in-family, Black, Female,0,0,50, Ireland, <=50K
21, Private, Some-college, Never-married, Sales, Own-child, White, Female,0,0,38, China, <=50K
32, Private, HS-grad, Divorced, Adm-clerical, Unmarried, Black, Female,0,0,24, Greece, <=50K
54, Private, HS-grad, Widowed, Craft-repair, Unmarried, Black, Female,0,0,32, Scotland, <=50K
45, Private, Bachelors, Never-married, Craft-repair, Not-in-family, Asian-Pac-Islander, Male,0,0,40, South, <=50K
39, Self-emp-not-inc, Some-college, Married-spouse-absent, Prof-specialty, Not-in-family, White, Male,0,0,45, India, <=50K
59, Self-emp-inc, Some-college, Married-civ-spouse, Prof-specialty, Husband, Other, Male,0,0,40, Iran, >50K
43, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, Amer-Indian-Eskimo, Female,0,0,40, Hong, <=50K
25, State-gov, Bachelors, Never-married, Prof-specialty, Not-in-family, Other, Male,0,0,40, Guatemala, <=50K
56, Self-emp-inc, Assoc-voc, Married-civ-spouse, Sales, Husband, Amer-Indian-Eskimo, Male,0,0,40, India, >50K
90, Private, 7th-8th, Married-civ-spouse, Exec-managerial, Husband, Asian-Pac-Islander, Male,73131,0,60, Columbia, >50K
24, Private, HS-grad, Married-civ-spouse, Transport-moving, Husband, Other, Male,0,0,73, Honduras, >50K
19, Private, 11th, Never-married, Other-service, Own-child, Asian-Pac-Islander, Male,0,0,40, Honduras, <=50K
35, Private, Some-college, Married-civ-spouse, Prof-specialty, Husband, Asian-Pac-Islander, Male,0,0,40, Honduras, >50K
25, Private, Some-college, Married-civ-spouse, Craft-repair, Own-child, Other, Male,0,0,25, Greece, <=50K
22, Self-emp-not-inc, HS-grad, Never-married, Exec-managerial, Own-child, Black, Male,0,0,24, Mexico, <=50K
37, Self-emp-not-inc, HS-grad, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, South, >50K
36, Private, HS-grad, Never-married, Machine-op-inspct, Unmarried, Asian-Pac-Islander, Female,0,0,40, Puerto-Rico, <=50K
51, Self-emp-not-inc, Masters, Married-civ-spouse, Exec-managerial, Husband, Other, Male,0,0,60, India, <=50K
62, Private, HS-grad, Widowed, Craft-repair, Wife, Amer-Indian-Eskimo, Female,0,0,40, Taiwan, <=50K
43, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, Asian-Pac-Islander, Male,0,0,40, Yugoslavia, <=50K
24, Private, Some-college, Married-civ-spouse, Craft-repair, Husband, Asian-Pac-Islander, Female,0,0,60, Haiti, <=50K
33, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, Other, Male,0,0,45, Ireland, >50K
29, Private, Bachelors, Never-married, Craft-repair, Own-child, Black, Male,0,0,40, Canada, <=50K
