49, Self-emp-inc, HS-grad, Divorced, Adm-clerical, Wife, Amer-Indian-Eskimo, Male,0,1977,42, United-States, >50K
70, Federal-gov, Some-college, Widowed, Adm-clerical, Wife, White, Male,0,0,5, United-States, <=50K
64, Private, 7th-8th, Widowed, Adm-clerical, Husband, White, Male,0,0,40, United-States, <=50K
76, Private, HS-grad, Married-civ-spouse, Sales, Husband, White, Male,0,0,25, United-States, <=50K
27, Private, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Female,0,0,40, United-States, <=50K
52, Self-emp-not-inc, Some-college, Married-civ-spouse, Craft-repair, Unmarried, White, Male,0,0,40, United-States, <=50K
45, Private, HS-grad, Married-civ-spouse, Exec-managerial, Not-in-family, White, Male,0,0,52, United-States, >50K
62, Local-gov, 10th, Divorced, Craft-repair, Unmarried, White, Female,0,0,40, United-States, <=50K
35, Private, Doctorate, Married-civ-spouse, Adm-clerical, Unmarried, Black, Male,0,0,40, United-States, <=50K
59, Private, Bachelors, Married-civ-spouse, Exec-managerial, Wife, White, Female,15024,0,25, United-States, >50K
33, Private, Bachelors, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, <=50K
21, Private, Some-college, Never-married, Tech-support, Own-child, White, Male,0,0,24, United-States, <=50K
24, Private, Bachelors, Never-married, Sales, Other-relative, Asian-Pac-Islander, Female,0,0,50, United-States, <=50K
28, Private, 11th, Never-married, Adm-clerical, Unmarried, White, Female,0,0,6, United-States, >50K
39, Private, Assoc-acdm, Married-civ-spouse, Transport-moving, Not-in-family, White, Male,0,0,60, Mexico, <=50K
31, Private, Some-college, Never-married, Craft-repair, Unmarried, White, Female,0,0,40, United-States, <=50K
23, Private, HS-grad, Never-married, Adm-clerical, Husband, White, Female,0,0,40, United-States, <=50K
36, Private, HS-grad, Married-civ-spouse, Craft-repair, Own-child, White, Male,0,0,60, United-States, >50K
40, Self-emp-inc, Bachelors, Divorced, Exec-managerial, Husband, White, Male,0,0,50, United-States, <=50K
35, Private, Assoc-voc, Never-married, Prof-specialty, Not-in-family, White, Male,0,0,50, United-States, <=50K
45, Private, HS-grad, Married-civ-spouse, Tech-support, Husband, White, Male,0,0,40, Puerto-Rico, <=50K
21, Private, HS-grad, Never-married, Craft-repair, Own-child, Black, Male,0,0,40, Mexico, <=50K
45, Private, Some-college, Married-civ-spouse, Exec-managerial, Unmarried, White, Male,0,0,50, United-States, >50K
22, Private, HS-grad, Never-married, Craft-repair, Own-child, White, Male,0,0,16, United-States, <=50K
31, Private, HS-grad, Married-civ-spouse, Sales, Own-child, White, Male,0,0,40, United-States, >50K
33, State-gov, HS-grad, Married-civ-spouse, Craft-repair, Not-in-family, White, Male,0,0,45, United-States, <=50K
29, Private, HS-grad, Never-married, Priv-house-serv, Not-in-family, Asian-Pac-Islander, Female,0,0,40, United-States, <=50K
25, Private, HS-grad, Never-married, Protective-serv, Wife, Black, Female,0,0,15, Mexico, <=50K
47, Self-emp-inc, HS-grad, Married-civ-spouse, Handlers-cleaners, Unmarried, White, Male,0,0,40, United-States, <=50K
41, Private, HS-grad, Divorced, Machine-op-inspct, Wife, White, Female,0,0,40, United-States, <=50K
32, Private, HS-grad, Never-married, Exec-managerial, Husband, White, Male,0,0,60, United-States, <=50K
33, Private, HS-grad, Never-married, Craft-repair, Husband, White, Male,0,0,40, United-States, <=50K
37, Private, HS-grad, Married-civ-spouse, Prof-specialty, Husband, White, Male,4069,0,54, United-States, >50K
37, Private, HS-grad, Never-married, Tech-support, Husband, White, Female,0,0,40, United-States, >50K
43, Local-gov, 9th, Divorced, Machine-op-inspct, Not-in-family, White, Male,0,0,40, Mexico, >50K
28, Local-gov, 5th-6th, Divorced, Protective-serv, Not-in-family, White, Male,0,0,40, United-States, <=50K
25, Private, HS-grad, Never-married, Machine-op-inspct, Wife, White, Male,0,0,40, United-States, >50K
22, Private, Some-college, Never-married, Sales, Other-relative, White, Male,0,0,40, United-States, <=50K
40, Private, HS-grad, Divorced, Craft-repair, Other-relative, Amer-Indian-Eskimo, Male,0,0,40, United-States, <=50K
49, Self-emp-not-inc, Some-college, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,40, United-States, <=50K
40, Private, HS-grad, Never-married, Sales, Husband, White, Male,0,0,50, United-States, <=50K
45, State-gov, Some-college, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, <=50K
22, Private, HS-grad, Never-married, Adm-clerical, Unmarried, White, Male,0,0,45, United-States, >50K
26, Self-emp-not-inc, Some-college, Never-married, Adm-clerical, Own-child, White, Male,0,0,24, United-States, <=50K
37, Without-pay, Some-college, Never-married, Protective-serv, Husband, White, Male,0,0,70, United-States, <=50K
30, Private, Assoc-voc, Divorced, Other-service, Not-in-family, White, Male,0,0,12, United-States, <=50K
43, Private, HS-grad, Separated, Sales, Husband, White, Male,0,0,45, United-States, <=50K
36, Private, Some-college, Divorced, Exec-managerial, Not-in-family, White, Female,0,0,40, United-States, <=50K
55, Self-emp-inc, HS-grad, Married-civ-spouse, Other-service, Not-in-family, White, Male,0,0,30, United-States, <=50K
59, Private, Some-college, Widowed, Exec-managerial, Other-relative, White, Male,0,0,23, United-States, <=50K
52, Private, Bachelors, Widowed, Sales, Husband, White, Male,0,0,40, United-States, <=50K
46, Self-emp-not-inc, Masters, Married-civ-spouse, Prof-specialty, Unmarried, White, Male,0,0,48, United-States, <=50K
27, Private, Some-college, Never-married, Tech-support, Own-child, White, Male,0,0,50, United-States, <=50K
90, Private, 7th-8th, Widowed, Other-service, Not-in-family, White, Male,0,0,15, United-States, >50K
50, Private, HS-grad, Married-civ-spouse, Sales, Not-in-family, Black, Male,0,0,40, Mexico, <=50K
43, Self-emp-not-inc, HS-grad, Married-civ-spouse, Exec-managerial, Unmarried, White, Male,0,0,40, United-States, <=50K
50, Private, Bachelors, Married-civ-spouse, Adm-clerical, Husband, White, Female,0,0,40, United-States, <=50K
69, State-gov, HS-grad, Married-civ-spouse, Sales, Husband, Black, Female,0,0,40, United-States, >50K
21, Private, Some-college, Never-married, Craft-repair, Not-in-family, White, Female,0,0,40, United-States, <=50K
43, Local-gov, 7th-8th, Married-civ-spouse, Other-service, Unmarried, White, Male,0,0,50, United-States, <=50K
19, Private, Some-college, Never-married, Handlers-cleaners, Own-child, Black, Male,0,0,10, United-States, <=50K
32, State-gov, HS-grad, Never-married, Craft-repair, Other-relative, White, Male,0,0,40, United-States, <=50K
30, Private, 10th, Married-civ-spouse, Other-service, Other-relative, Black, Female,0,0,20, United-States, <=50K
43, Local-gov, HS-grad, Divorced, Transport-moving, Unmarried, White, Female,0,0,40, United-States, >50K
48, Private, HS-grad, Married-civ-spouse, Other-service, Wife, White, Female,0,0,25, United-States, <=50K
33, Self-emp-not-inc, HS-grad, Never-married, Handlers-cleaners, Husband, Black, Female,0,0,40, United-States, <=50K
22, Private, HS-grad, Never-married, Transport-moving, Other-relative, White, Male,0,0,40, United-States, <=50K
40, Private, HS-grad, Married-civ-spouse, Other-service, Not-in-family, White, Male,0,0,40, Puerto-Rico, >50K
24, Private, Bachelors, Married-spouse-absent, Other-service, Own-child, White, Female,0,0,5, United-States, <=50K
50, Private, Some-college, Divorced, Prof-specialty, Husband, White, Male,0,0,40, United-States, <=50K
62, Private, Bachelors, Divorced, Adm-clerical, Husband, White, Male,0,0,40, United-States, >50K
22, Local-gov, 11th, Never-married, Handlers-cleaners, Not-in-family, White, Male,0,0,25, United-States, <=50K
17, Private, 11th, Never-married, Adm-clerical, Own-child, Black, Male,0,0,20, United-States, <=50K
51, Private, Some-college, Married-civ-spouse, Machine-op-inspct, Husband, White, Female,0,0,8, United-States, <=50K
56, Private, Assoc-acdm, Married-civ-spouse, Prof-specialty, Not-in-family, White, Male,0,0,45, United-States, <=50K
31, State-gov, HS-grad, Never-married, Adm-clerical, Husband, White, Female,0,0,40, United-States, <=50K
33, Private, Bachelors, Divorced, Craft-repair, Not-in-family, White, Male,0,0,40, United-States, <=50K
46, Private, Some-college, Divorced, Exec-managerial, Unmarried, White, Female,0,0,40, United-States, <=50K
44, Self-emp-inc, HS-grad, Never-married, Sales, Husband, White, Female,0,0,40, United-States, <=50K
67, Local-gov, HS-grad, Married-civ-spouse, Sales, Not-in-family, White, Female,0,0,16, United-States, <=50K
36, Private, Bachelors, Divorced, Other-service, Not-in-family, White, Female,0,0,40, United-States, <=50K
29, Self-emp-not-inc, Bachelors, Married-civ-spouse, Craft-repair, Unmarried, Asian-Pac-Islander, Female,0,0,40, United-States, <=50K
56, Private, HS-grad, Divorced, Sales, Husband, White, Female,0,0,45, United-States, <=50K
18, Private, HS-grad, Never-married, Handlers-cleaners, Own-child, Asian-Pac-Islander, Female,0,0,24, United-States, <=50K
33, Self-emp-not-inc, Some-college, Married-civ-spouse, Protective-serv, Other-relative, White, Male,0,1902,40, United-States, <=50K
31, Private, Bachelors, Never-married, Machine-op-inspct, Husband, White, Male,0,0,40, United-States, <=50K
51, Private, Masters, Married-civ-spouse, Sales, Not-in-family, White, Male,0,0,70, United-States, >50K
51, Private, 5th-6th, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, <=50K
49, Private, Some-college, Married-civ-spouse, Adm-clerical, Husband, White, Male,0,0,40, United-States, <=50K
55, Private, 9th, Widowed, Machine-op-inspct, Wife, White, Female,0,0,30, United-States, >50K
19, Private, Some-college, Never-married, Adm-clerical, Not-in-family, Black, Female,0,0,8, United-States, <=50K
64, State-gov, HS-grad, Married-civ-spouse, Other-service, Not-in-family, White, Male,0,0,40, United-States, >50K
57, Private, 7th-8th, Divorced, Transport-moving, Unmarried, White, Male,0,0,40, United-States, >50K
33, Private, HS-grad, Never-married, Adm-clerical, Not-in-family, White, Male,0,0,45, United-States, >50K
28, Private, HS-grad, Never-married, Craft-repair, Not-in-family, Black, Male,0,0,40, United-States, <=50K
19, Private, HS-grad, Never-married, Adm-clerical, Own-child, White, Female,0,0,20, United-States, <=50K
57, Private, HS-grad, Widowed, Protective-serv, Wife, White, Male,0,0,20, United-States, >50K
26, Private, HS-grad, Never-married, Transport-moving, Unmarried, White, Male,0,0,40, United-States, <=50K
28, Private, 10th, Married-civ-spouse, Other-service, Unmarried, White, Male,0,0,20, United-States, <=50K
41, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,45, United-States, <=50K
40, Private, Bachelors, Divorced, Other-service, Husband, White, Male,0,0,40, United-States, >50K
43, Self-emp-inc, HS-grad, Married-civ-spouse, Exec-managerial, Not-in-family, White, Male,0,0,50, United-States, >50K
24, Self-emp-not-inc, Some-college, Never-married, Adm-clerical, Unmarried, White, Female,0,0,20, United-States, <=50K
70, Private, Some-college, Widowed, Sales, Husband, White, Male,0,0,20, United-States, <=50K
62, Federal-gov, 11th, Separated, Adm-clerical, Unmarried, White, Male,0,0,40, United-States, <=50K
38, Private, Bachelors, Divorced, Protective-serv, Husband, White, Male,0,0,45, United-States, >50K
32, Private, Some-college, Never-married, Adm-clerical, Unmarried, White, Female,0,0,40, United-States, >50K
34, Private, Some-college, Never-married, Transport-moving, Husband, White, Female,0,0,40, United-States, <=50K
50, Private, Some-college, Never-married, Craft-repair, Husband, Amer-Indian-Eskimo, Male,0,0,52, United-States, >50K
19, Private, Some-college, Never-married, Sales, Own-child, Black, Male,0,0,40, United-States, >50K
22, Private, Bachelors, Never-married, Farming-fishing, Own-child, White, Female,0,0,24, United-States, <=50K
64, Private, Some-college, Married-civ-spouse, Other-service, Own-child, Black, Male,0,0,25, United-States, >50K
24, Federal-gov, Bachelors, Married-civ-spouse, Sales, Not-in-family, White, Male,0,0,40, United-States, <=50K
52, Private, 1st-4th, Married-civ-spouse, Adm-clerical, Not-in-family, White, Male,0,0,40, United-States, <=50K
47, Private, Some-college, Never-married, Prof-specialty, Husband, White, Female,0,0,40, United-States, >50K
23, Private, Some-college, Never-married, Transport-moving, Wife, White, Male,0,0,20, United-States, <=50K
43, State-gov, Bachelors, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,50, United-States, >50K
62, Self-emp-not-inc, HS-grad, Widowed, Craft-repair, Husband, White, Male,0,0,29, Honduras, <=50K
44, Private, Bachelors, Divorced, Exec-managerial, Husband, White, Male,15024,0,47, United-States, >50K
21, Private, HS-grad, Never-married, Adm-clerical, Not-in-family, White, Female,0,0,20, United-States, <=50K
51, Private, Some-college, Divorced, Tech-support, Husband, White, Male,0,0,40, United-States, <=50K
33, Private, Masters, Married-civ-spouse, Sales, Not-in-family, White, Male,0,0,45, Taiwan, <=50K
37, Private, Some-college, Never-married, Handlers-cleaners, Unmarried, White, Male,0,0,40, United-States, <=50K
31, Private, Some-college, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,40, United-States, <=50K
34, Private, Bachelors, Separated, Craft-repair, Not-in-family, White, Male,0,0,60, United-States, <=50K
64, Private, HS-grad, Widowed, Farming-fishing, Husband, White, Male,0,0,40, United-States, <=50K
19, Private, HS-grad, Never-married, Craft-repair, Own-child, White, Female,0,0,45, United-States, <=50K
43, Self-emp-not-inc, Assoc-acdm, Never-married, Adm-clerical, Husband, White, Male,3325,0,40, United-States, <=50K
55, Private, Assoc-voc, Married-civ-spouse, Exec-managerial, Unmarried, White, Male,0,0,40, United-States, >50K
40, Private, HS-grad, Married-civ-spouse, Prof-specialty, Not-in-family, White, Female,0,1910,40, Yugoslavia, <=50K
65, Private, Assoc-voc, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, United-States, >50K
36, Private, Some-college, Married-civ-spouse, Tech-support, Husband, White, Male,0,0,40, Canada, <=50K
65, Self-emp-not-inc, HS-grad, Married-civ-spouse, Sales, Husband, White, Male,0,1887,83, United-States, >50K
26, Private, Bachelors, Never-married, Exec-managerial, Husband, White, Male,0,0,40, United-States, <=50K
44, Local-gov, Some-college, Divorced, Sales, Not-in-family, White, Male,0,0,40, United-States, >50K
24, Private, Some-college, Never-married, Tech-support, Wife, White, Male,0,0,40, United-States, <=50K
55, Private, Bachelors, Divorced, Adm-clerical, Husband, White, Male,0,0,50, Honduras, >50K
46, Private, Bachelors, Married-civ-spouse, Adm-clerical, Not-in-family, White, Male,0,0,40, United-States, <=50K
37, Private, Some-college, Married-civ-spouse, Craft-repair, Wife, White, Male,7298,0,40, United-States, >50K
34, Private, HS-grad, Never-married, Exec-managerial, Wife, White, Male,0,0,40, United-States, <=50K
43, Local-gov, 1st-4th, Married-spouse-absent, Craft-repair, Unmarried, White, Female,0,0,40, United-States, >50K
42, State-gov, Some-college, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,40, United-States, >50K
43, Private, Some-college, Separated, Protective-serv, Wife, White, Female,0,0,8, United-States, <=50K
35, Federal-gov, Some-college, Never-married, Machine-op-inspct, Unmarried, White, Male,0,0,40, China, <=50K
19, Private, Some-college, Never-married, Adm-clerical, Own-child, White, Male,0,0,15, United-States, >50K
17, Self-emp-inc, 11th, Never-married, Handlers-cleaners, Own-child, White, Female,0,0,16, United-States, <=50K
33, Private, HS-grad, Married-civ-spouse, Other-service, Own-child, White, Female,0,0,40, United-States, >50K
26, Private, Assoc-acdm, Married-civ-spouse, Other-service, Wife, White, Male,0,0,40, United-States, <=50K
17, Private, 11th, Never-married, Other-service, Own-child, White, Female,0,0,15, United-States, <=50K
61, Local-gov, HS-grad, Married-civ-spouse, Exec-managerial, Husband, Asian-Pac-Islander, Male,0,2045,40, United-States, >50K
28, Private, Some-college, Never-married, Adm-clerical, Not-in-family, White, Male,0,0,40, United-States, <=50K
27, Private, HS-grad, Never-married, Transport-moving, Not-in-family, White, Male,0,0,40, United-States, <=50K
48, Private, 12th, Married-civ-spouse, Other-service, Husband, White, Female,0,0,40, United-States, <=50K
54, Private, HS-grad, Married-civ-spouse, Sales, Unmarried, White, Female,0,0,40, Mexico, <=50K
24, Private, Bachelors, Divorced, Adm-clerical, Own-child, White, Male,0,0,40, United-States, <=50K
36, Private, Assoc-acdm, Separated, Craft-repair, Unmarried, White, Male,0,0,40, United-States, >50K
22, Private, Assoc-voc, Never-married, Exec-managerial, Not-in-family, White, Male,0,0,40, United-States, <=50K
46, Self-emp-not-inc, Prof-school, Married-civ-spouse, Prof-specialty, Husband, White, Male,99999,0,40, United-States, >50K
33, Private, Some-college, Never-married, Prof-specialty, Unmarried, White, Male,0,0,45, United-States, <=50K
41, Private, Assoc-voc, Married-civ-spouse, Exec-managerial, Husband, Black, Female,0,1897,40, United-States, <=50K
54, State-gov, HS-grad, Never-married, Machine-op-inspct, Husband, White, Male,0,0,40, United-States, <=50K
31, Private, Bachelors, Separated, Sales, Husband, White, Male,0,0,60, United-States, <=50K
71, Local-gov, 11th, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,0,0,10, United-States, <=50K
52, Private, Bachelors, Married-civ-spouse, Transport-moving, Not-in-family, White, Male,0,0,45, United-States, >50K
35, Private, 7th-8th, Married-civ-spouse, Prof-specialty, Not-in-family, White, Male,0,0,45, United-States, <=50K
17, Private, Some-college, Never-married, Sales, Own-child, White, Female,0,0,20, United-States, <=50K
52, Private, Some-college, Divorced, Craft-repair, Unmarried, White, Male,0,0,40, United-States, <=50K
58, Self-emp-not-inc, Bachelors, Married-civ-spouse, Exec-managerial, Not-in-family, White, Male,0,0,40, United-States, >50K
27, Self-emp-inc, HS-grad, Married-civ-spouse, Exec-managerial, Husband, White, Male,7687,0,45, United-States, >50K
56, Private, 9th, Married-civ-spouse, Other-service, Other-relative, White, Female,0,0,40, United-States, >50K
63, Self-emp-not-inc, Masters, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, United-States, <=50K
70, Private, Assoc-acdm, Widowed, Exec-managerial, Wife, Black, Male,0,0,26, United-States, <=50K
52, Private, Assoc-voc, Married-civ-spouse, Craft-repair, Husband, White, Male,5178,0,40, United-States, <=50K
38, Private, Masters, Married-civ-spouse, Craft-repair, Not-in-family, White, Female,0,0,45, United-States, <=50K
44, Private, Bachelors, Divorced, Craft-repair, Unmarried, White, Male,0,0,20, United-States, <=50K
37, Private, Bachelors, Separated, Adm-clerical, Not-in-family, White, Male,0,1972,40, Jamaica, >50K
50, Private, 10th, Married-civ-spouse, Farming-fishing, Not-in-family, White, Male,0,0,40, United-States, <=50K
40, Private, HS-grad, Married-civ-spouse, Sales, Husband, White, Male,0,0,51, United-States, >50K
44, Local-gov, HS-grad, Married-civ-spouse, Other-service, Husband, White, Male,0,0,40, Philippines, <=50K
23, Private, Some-college, Never-married, Tech-support, Own-child, White, Female,0,1738,40, United-States, <=50K
59, Private, HS-grad, Divorced, Craft-repair, Not-in-family, White, Female,0,0,30, United-States, <=50K
27, Private, Bachelors, Never-married, Prof-specialty, Husband, White, Male,0,0,50, United-States, <=50K
60, Private, Doctorate, Married-civ-spouse, Prof-specialty, Wife, White, Male,7687,0,40, United-States, >50K
19, Private, Some-college, Divorced, Tech-support, Own-child, White, Female,0,0,8, United-States, <=50K
51, Private, HS-grad, Never-married, Other-service, Unmarried, White, Female,0,0,21, United-States, <=50K
28, Private, HS-grad, Married-civ-spouse, Sales, Own-child, White, Female,0,0,40, United-States, <=50K
46, Private, HS-grad, Married-civ-spouse, Other-service, Unmarried, White, Female,0,0,20, United-States, <=50K
44, Private, 7th-8th, Married-civ-spouse, Adm-clerical, Husband, White, Female,0,0,40, United-States, <=50K
28, Private, Some-college, Married-civ-spouse, Adm-clerical, Not-in-family, White, Female,0,0,48, Cuba, <=50K
45, Local-gov, HS-grad, Married-civ-spouse, Adm-clerical, Wife, White, Female,0,0,40, United-States, <=50K
38, Private, HS-grad, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, United-States, <=50K
36, Self-emp-not-inc, HS-grad, Never-married, Exec-managerial, Not-in-family, White, Male,0,0,45, United-States, <=50K
37, Federal-gov, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Male,99999,0,60, United-States, >50K
44, Private, Some-college, Never-married, Sales, Unmarried, White, Male,0,0,54, United-States, >50K
41, Private, Some-college, Divorced, Machine-op-inspct, Not-in-family, White, Female,0,0,45, United-States, <=50K
71, Private, Bachelors, Widowed, Prof-specialty, Husband, White, Male,10411,0,45, United-States, >50K
36, Private, HS-grad, Married-civ-spouse, Prof-specialty, Other-relative, White, Male,0,0,40, United-States, >50K
62, Private, Some-college, Married-civ-spouse, Other-service, Husband, White, Male,0,0,20, United-States, <=50K
34, Private, HS-grad, Married-civ-spouse, Tech-support, Not-in-family, White, Male,0,1887,40, United-States, >50K
55, Private, Some-college, Divorced, Prof-specialty, Not-in-family, White, Female,0,0,40, United-States, <=50K
26, Private, Some-college, Never-married, Adm-clerical, Wife, Black, Female,0,0,25, United-States, <=50K
23, Private, HS-grad, Never-married, Adm-clerical, Own-child, Black, Female,0,0,15, United-States, <=50K
