26, Private, HS-grad, Married-civ-spouse, Adm-clerical, Unmarried, Amer-Indian-Eskimo, Male,0,0,40, Hong, <=50K
36, Private, Bachelors, Married-civ-spouse, Other-service, Wife, White, Female,0,0,50, Thailand, >50K
25, Private, HS-grad, Separated, Adm-clerical, Not-in-family, White, Female,0,0,40, Columbia, <=50K
67, Self-emp-not-inc, HS-grad, Married-civ-spouse, Farming-fishing, Husband, White, Male,0,0,20, Columbia, >50K
46, State-gov, Some-college, Married-civ-spouse, Prof-specialty, Not-in-family, Other, Male,0,0,40, Yugoslavia, >50K
29, Private, HS-grad, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,50, United-States, <=50K
35, Private, Some-college, Never-married, Tech-support, Unmarried, Asian-Pac-Islander, Female,27401,0,25, United-States, <=50K
47, Private, Some-college, Divorced, Sales, Not-in-family, White, Male,0,0,40, Laos, <=50K
65, Private, Some-college, Married-civ-spouse, Farming-fishing, Husband, White, Male,0,0,20, United-States, <=50K
77, Self-emp-inc, 9th, Widowed, Prof-specialty, Not-in-family, White, Female,0,0,25, South, <=50K
59, State-gov, HS-grad, Widowed, Other-service, Unmarried, Asian-Pac-Islander, Male,0,0,40, Italy, <=50K
47, Private, Bachelors, Married-civ-spouse, Other-service, Wife, Other, Female,0,0,40, Hungary, <=50K
25, Self-emp-inc, Masters, Never-married, Sales, Own-child, White, Female,0,0,40, United-States, <=50K
33, Local-gov, Bachelors, Never-married, Craft-repair, Not-in-family, White, Male,0,1887,60, United-States, <=50K
29, Private, HS-grad, Never-married, Other-service, Own-child, White, Male,0,0,36, United-States, <=50K
52, Private, Some-college, Married-civ-spouse, Transport-moving, Husband, Amer-Indian-Eskimo, Male,0,0,60, Poland, <=50K
25, Private, Bachelors, Never-married, Handlers-cleaners, Husband, White, Male,0,0,40, United-States, <=50K
51, Private, Assoc-voc, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,7687,0,40, United-States, >50K
26, Local-gov, Assoc-acdm, Married-civ-spouse, Prof-specialty, Own-child, Black, Male,0,0,50, Outlying-US(Guam-USVI-etc), <=50K
57, Local-gov, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Female,7687,0,45, United-States, >50K
22, Local-gov, HS-grad, Never-married, Other-service, Husband, Asian-Pac-Islander, Male,0,0,40, United-States, <=50K
20, Private, 11th, Separated, Prof-specialty, Wife, White, Male,0,0,38, United-States, <=50K
41, Self-emp-not-inc, HS-grad, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,50, United-States, <=50K
29, Self-emp-not-inc, Prof-school, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,21, Yugoslavia, <=50K
22, Private, Assoc-acdm, Divorced, Adm-clerical, Not-in-family, White, Female,0,0,40, Haiti, <=50K
30, Self-emp-inc, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,45, Jamaica, >50K
43, Self-emp-inc, Assoc-voc, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, United-States, >50K
26, Private, Some-college, Married-civ-spouse, Other-service, Husband, White, Male,0,0,40, United-States, <=50K
20, Self-emp-not-inc, HS-grad, Never-married, Craft-repair, Not-in-family, White, Male,0,0,40, Hong, <=50K
18, Private, 10th, Never-married, Tech-support, Own-child, White, Female,0,0,40, United-States, <=50K
46, Private, HS-grad, Divorced, Exec-managerial, Unmarried, Black, Female,0,0,50, United-States, >50K
61, Private, Masters, Divorced, Transport-moving, Unmarried, White, Female,0,0,40, United-States, >50K
35, Private, Some-college, Married-spouse-absent, Exec-managerial, Own-child, White, Female,0,0,40, United-States, <=50K
33, Private, 11th, Divorced, Adm-clerical, Unmarried, White, Female,0,0,40, Ireland, <=50K
34, Self-emp-not-inc, HS-grad, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,65, Dominican-Republic, <=50K
35, Private, Bachelors, Divorced, Handlers-cleaners, Own-child, White, Female,0,1887,40, Yugoslavia, >50K
21, Private, Some-college, Never-married, Sales, Own-child, Asian-Pac-Islander, Female,0,0,12, United-States, <=50K
55, Private, HS-grad, Never-married, Other-service, Not-in-family, Amer-Indian-Eskimo, Female,0,0,40, Scotland, <=50K
26, Private, HS-grad, Divorced, Adm-clerical, Unmarried, White, Female,0,0,40, United-States, <=50K
33, Private, Masters, Never-married, Tech-support, Not-in-family, White, Female,0,1678,40, United-States, >50K
30, Private, Bachelors, Never-married, Craft-repair, Husband, Other, Male,0,0,45, United-States, <=50K
31, Federal-gov, Some-college, Never-married, Adm-clerical, Unmarried, White, Male,0,0,40, United-States, <=50K
31, Private, Assoc-acdm, Never-married, Adm-clerical, Husband, White, Male,0,0,40, United-States, <=50K
46, Private, HS-grad, Divorced, Other-service, Not-in-family, White, Female,0,0,32, Outlying-US(Guam-USVI-etc), <=50K
46, Private, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Female,0,0,40, Scotland, >50K
35, Private, Some-college, Divorced, Adm-clerical, Unmarried, Black, Female,0,0,40, United-States, <=50K
40, Private, HS-grad, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, United-States, >50K
25, Private, 11th, Married-civ-spouse, Craft-repair, Husband, Other, Male,0,0,40, Greece, <=50K
56, Private, Bachelors, Divorced, Exec-managerial, Wife, Black, Female,0,0,45, United-States, >50K
19, Private, HS-grad, Never-married, Farming-fishing, Own-child, White, Male,0,0,40, Italy, <=50K
22, Private, Assoc-voc, Never-married, Other-service, Own-child, Black, Female,0,0,15, United-States, <=50K
42, Private, HS-grad, Divorced, Tech-support, Unmarried, Black, Female,0,0,50, Honduras, <=50K
57, Private, Bachelors, Widowed, Tech-support, Not-in-family, Amer-Indian-Eskimo, Female,0,0,29, Puerto-Rico, <=50K
29, Private, Assoc-acdm, Married-civ-spouse, Craft-repair, Husband, White, Male,7298,0,45, United-States, >50K
32, Local-gov, Assoc-acdm, Married-spouse-absent, Tech-support, Own-child, Black, Female,0,871,45, Dominican-Republic, <=50K
37, Private, Some-college, Married-civ-spouse, Machine-op-inspct, Own-child, Black, Male,0,1979,40, India, >50K
33, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, Black, Male,0,0,60, United-States, >50K
49, Private, Masters, Married-civ-spouse, Exec-managerial, Husband, Other, Male,0,0,60, United-States, >50K
29, Private, Bachelors, Married-civ-spouse, Handlers-cleaners, Husband, Black, Male,0,0,40, United-States, <=50K
27, Private, Bachelors, Never-married, Sales, Own-child, White, Male,0,0,40, United-States, <=50K
42, Private, HS-grad, Divorced, Tech-support, Not-in-family, White, Female,0,0,40, Germany, <=50K
28, Private, HS-grad, Never-married, Craft-repair, Own-child, Asian-Pac-Islander, Male,0,0,50, El-Salvador, <=50K
32, Private, Some-college, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,0,0,40, United-States, >50K
24, Private, Bachelors, Married-civ-spouse, Machine-op-inspct, Wife, White, Male,7687,0,45, United-States, >50K
17, Private, 11th, Never-married, Sales, Own-child, Other, Male,0,0,15, United-States, <=50K
49, State-gov, Masters, Married-civ-spouse, Exec-managerial, Husband, White, Male,15024,0,50, United-States, >50K
48, Private, HS-grad, Married-civ-spouse, Sales, Husband, Amer-Indian-Eskimo, Male,0,0,50, United-States, <=50K
49, Self-emp-not-inc, HS-grad, Married-civ-spouse, Sales, Husband, Black, Male,0,0,70, Ecuador, <=50K
37, Self-emp-not-inc, HS-grad, Married-spouse-absent, Machine-op-inspct, Not-in-family, White, Male,0,0,76, Peru, <=50K
61, Private, HS-grad, Divorced, Prof-specialty, Unmarried, White, Female,0,0,70, United-States, <=50K
27, Private, Bachelors, Never-married, Machine-op-inspct, Not-in-family, White, Male,0,0,38, United-States, <=50K
42, Private, HS-grad, Never-married, Craft-repair, Not-in-family, White, Male,0,0,40, United-States, <=50K
18, Private, Bachelors, Never-married, Prof-specialty, Not-in-family, White, Female,0,0,29, United-States, <=50K
44, Private, HS-grad, Never-married, Transport-moving, Not-in-family, White, Female,0,0,50, Philippines, <=50K
31, Local-gov, Assoc-acdm, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,1977,54, France, >50K
43, Federal-gov, 9th, Divorced, Other-service, Not-in-family, White, Female,0,0,40, United-States, <=50K
22, Private, HS-grad, Never-married, Handlers-cleaners, Unmarried, White, Male,0,0,40, United-States, <=50K
33, Local-gov, Prof-school, Never-married, Sales, Wife, Asian-Pac-Islander, Female,15024,0,50, United-States, >50K
44, Private, HS-grad, Divorced, Craft-repair, Not-in-family, Amer-Indian-Eskimo, Male,0,1887,40, United-States, <=50K
32, Private, Some-college, Never-married, Transport-moving, Not-in-family, White, Male,0,0,40, United-States, <=50K
29, Private, HS-grad, Never-married, Sales, Not-in-family, White, Female,0,0,45, Poland, <=50K
39, State-gov, HS-grad, Married-civ-spouse, Craft-repair, Not-in-family, Other, Male,0,0,40, United-States, <=50K
54, Self-emp-not-inc, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,45, United-States, >50K
44, Self-emp-not-inc, HS-grad, Never-married, Farming-fishing, Unmarried, White, Male,12403,0,40, United-States, <=50K
55, State-gov, Prof-school, Widowed, Prof-specialty, Not-in-family, White, Female,0,0,40, United-States, <=50K
37, Private, Bachelors, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,0,0,50, Japan, <=50K
39, Private, HS-grad, Never-married, Sales, Husband, White, Female,0,0,24, Thailand, <=50K
37, Private, Some-college, Divorced, Handlers-cleaners, Not-in-family, White, Male,0,0,35, United-States, <=50K
43, Private, HS-grad, Married-civ-spouse, Other-service, Husband, White, Male,0,0,40, United-States, >50K
48, Private, Masters, Widowed, Craft-repair, Unmarried, White, Female,0,0,40, United-States, <=50K
46, Private, Bachelors, Married-civ-spouse, Sales, Husband, White, Male,0,0,40, United-States, >50K
21, Self-emp-not-inc, Some-college, Never-married, Prof-specialty, Unmarried, White, Female,0,0,20, United-States, <=50K
58, Private, Masters, Widowed, Tech-support, Unmarried, Black, Female,0,0,40, United-States, <=50K
31, Private, HS-grad, Separated, Farming-fishing, Not-in-family, Black, Male,0,0,40, United-States, <=50K
42, Private, HS-grad, Never-married, Sales, Unmarried, Black, Male,0,0,50, Dominican-Republic, <=50K
31, Private, HS-grad, Divorced, Craft-repair, Unmarried, White, Male,0,0,40, United-States, <=50K
40, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Female,0,0,40, United-States, >50K
32, State-gov, Masters, Never-married, Protective-serv, Not-in-family, Asian-Pac-Islander, Female,0,0,20, United-States, <=50K
56, Private, Masters, Married-civ-spouse, Exec-managerial, Husband, White, Female,0,0,40, United-States, >50K
62, Local-gov, 7th-8th, Separated, Farming-fishing, Unmarried, White, Male,0,0,35, United-States, <=50K
32, Private, HS-grad, Never-married, Craft-repair, Unmarried, Amer-Indian-Eskimo, Male,0,0,40, Japan, <=50K
48, State-gov, HS-grad, Married-spouse-absent, Exec-managerial, Husband, White, Male,0,0,60, United-States, <=50K
58, Private, 10th, Married-civ-spouse, Prof-specialty, Unmarried, Black, Female,0,0,35, South, <=50K
35, Local-gov, Masters, Divorced, Tech-support, Unmarried, Other, Female,0,0,32, United-States, <=50K
67, Private, HS-grad, Married-spouse-absent, Other-service, Unmarried, White, Female,0,0,25, United-States, <=50K
25, Private, HS-grad, Never-married, Handlers-cleaners, Not-in-family, Amer-Indian-Eskimo, Female,0,0,40, United-States, <=50K
37, Private, HS-grad, Divorced, Tech-support, Not-in-family, White, Male,0,0,34, United-States, <=50K
41, Private, Masters, Never-married, Prof-specialty, Unmarried, White, Female,0,0,36, Guatemala, >50K
20, Private, HS-grad, Never-married, Exec-managerial, Not-in-family, White, Male,0,0,50, United-States, <=50K
41, Private, Some-college, Divorced, Sales, Not-in-family, White, Male,0,0,50, United-States, <=50K
42, Private, Bachelors, Divorced, Craft-repair, Husband, White, Male,0,0,50, United-States, >50K
37, Local-gov, 5th-6th, Married-civ-spouse, Other-service, Husband, White, Male,10381,0,40, United-States, <=50K
49, Federal-gov, Assoc-voc, Divorced, Adm-clerical, Not-in-family, Amer-Indian-Eskimo, Male,0,0,50, United-States, <=50K
17, Private, 11th, Never-married, Other-service, Own-child, White, Female,0,0,10, United-States, <=50K
35, Private, HS-grad, Never-married, Machine-op-inspct, Not-in-family, Black, Male,0,0,40, Greece, <=50K
28, State-gov, Bachelors, Married-civ-spouse, Exec-managerial, Own-child, White, Female,0,0,40, United-States, >50K
63, Self-emp-not-inc, HS-grad, Divorced, Exec-managerial, Not-in-family, White, Male,1507,0,50, United-States, <=50K
27, Private, Some-college, Divorced, Other-service, Unmarried, White, Female,0,0,25, United-States, <=50K
21, Private, HS-grad, Never-married, Sales, Other-relative, Other, Female,0,0,40, Hungary, <=50K
61, Private, HS-grad, Married-civ-spouse, Tech-support, Husband, White, Male,0,0,40, United-States, <=50K
29, Self-emp-inc, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,45, United-States, >50K
28, Self-emp-not-inc, HS-grad, Married-civ-spouse, Exec-managerial, Own-child, Amer-Indian-Eskimo, Female,0,0,40, United-States, <=50K
25, Private, Bachelors, Married-civ-spouse, Sales, Own-child, White, Female,0,0,40, United-States, <=50K
26, Self-emp-inc, HS-grad, Never-married, Craft-repair, Husband, Amer-Indian-Eskimo, Female,0,0,40, United-States, <=50K
44, State-gov, Some-college, Divorced, Sales, Wife, Asian-Pac-Islander, Female,23250,0,37, United-States, >50K
54, Private, Bachelors, Married-civ-spouse, Prof-specialty, Not-in-family, White, Male,4386,0,40, United-States, >50K
32, Private, HS-grad, Never-married, Tech-support, Own-child, Other, Male,0,0,40, United-States, <=50K
33, Private, 12th, Never-married, Farming-fishing, Husband, White, Male,0,0,36, Hong, <=50K
19, Private, Some-college, Never-married, Adm-clerical, Not-in-family, White, Male,0,0,15, United-States, <=50K
30, Private, 11th, Never-married, Other-service, Own-child, White, Female,0,0,9, United-States, <=50K
25, Self-emp-not-inc, Bachelors, Married-civ-spouse, Other-service, Own-child, Black, Female,0,0,35, United-States, >50K
58, State-gov, HS-grad, Separated, Other-service, Unmarried, White, Male,0,0,29, United-States, <=50K
22, Private, 11th, Never-married, Tech-support, Unmarried, White, Male,0,0,40, United-States, <=50K
55, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, <=50K
58, Private, HS-grad, Never-married, Adm-clerical, Unmarried, Asian-Pac-Islander, Female,0,0,10, United-States, <=50K
55, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, Italy, <=50K
20, Private, HS-grad, Never-married, Sales, Own-child, White, Male,0,0,60, United-States, <=50K
28, Private, HS-grad, Never-married, Transport-moving, Own-child, White, Male,0,0,60, United-States, <=50K
34, Local-gov, 11th, Married-civ-spouse, Prof-specialty, Wife, White, Female,0,0,40, United-States, <=50K
53, Private, Bachelors, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,7687,0,40, United-States, >50K
42, Private, Bachelors, Divorced, Prof-specialty, Unmarried, Other, Female,0,0,35, United-States, >50K
34, Private, HS-grad, Never-married, Adm-clerical, Unmarried, Black, Female,0,0,40, United-States, <=50K
64, Self-emp-not-inc, Some-college, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, United-States, >50K
26, Private, Masters, Never-married, Sales, Not-in-family, White, Male,0,0,40, Laos, <=50K
21, Local-gov, 11th, Never-married, Exec-managerial, Unmarried, Other, Male,0,0,29, United-States, <=50K
18, Private, 11th, Never-married, Sales, Own-child, White, Male,0,0,35, United-States, <=50K
34, Private, HS-grad, Never-married, Adm-clerical, Own-child, White, Female,0,0,50, United-States, <=50K
42, Private, Some-college, Married-civ-spouse, Transport-moving, Husband, White, Male,3191,0,50, United-States, >50K
30, Private, Some-college, Married-civ-spouse, Exec-managerial, Husband, Amer-Indian-Eskimo, Male,0,0,37, United-States, >50K
48, Private, HS-grad, Married-civ-spouse, Tech-support, Husband, Asian-Pac-Islander, Male,0,0,40, United-States, <=50K
42, Self-emp-not-inc, HS-grad, Married-civ-spouse, Farming-fishing, Husband, White, Male,0,0,60, Jamaica, <=50K
58, Private, Some-college, Married-civ-spouse, Machine-op-inspct, Husband, Asian-Pac-Islander, Male,0,0,40, United-States, <=50K
44, Federal-gov, HS-grad, Divorced, Sales, Not-in-family, White, Male,0,1714,40, United-States, <=50K
32, Private, 11th, Married-civ-spouse, Craft-repair, Husband, Other, Male,0,0,50, United-States, >50K
33, Private, Some-college, Married-civ-spouse, Sales, Husband, White, Male,0,0,40, United-States, >50K
33, Private, HS-grad, Married-civ-spouse, Transport-moving, Unmarried, White, Male,0,0,37, United-States, <=50K
30, Self-emp-not-inc, Doctorate, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,40, Vietnam, >50K
38, Private, HS-grad, Separated, Adm-clerical, Not-in-family, Black, Female,0,0,40, Cuba, <=50K
27, Private, Bachelors, Divorced, Other-service, Husband, Black, Female,0,0,37, United-States, <=50K
24, Private, HS-grad, Never-married, Craft-repair, Not-in-family, White, Male,0,0,40, United-States, <=50K
30, Private, Some-college, Divorced, Tech-support, Own-child, White, Male,0,0,40, Thailand, <=50K
65, Self-emp-not-inc, HS-grad, Married-civ-spouse, Tech-support, Husband, White, Male,0,0,20, Greece, <=50K
53, Private, Some-college, Married-civ-spouse, Other-service, Husband, White, Male,7298,0,40, United-States, >50K
41, Private, Some-college, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, <=50K
51, Private, HS-grad, Never-married, Craft-repair, Husband, White, Male,0,0,56, United-States, <=50K
38, Private, HS-grad, Never-married, Craft-repair, Husband, Black, Male,0,0,40, United-States, <=50K
29, Private, Bachelors, Married-civ-spouse, Farming-fishing, Husband, White, Male,0,0,40, United-States, >50K
45, Self-emp-not-inc, Assoc-acdm, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, <=50K
55, Private, HS-grad, Divorced, Adm-clerical, Unmarried, Black, Male,0,0,45, United-States, <=50K
48, Private, HS-grad, Married-civ-spouse, Sales, Not-in-family, White, Female,10141,0,40, Yugoslavia, <=50K
43, Self-emp-inc, Bachelors, Married-civ-spouse, Sales, Husband, White, Male,0,0,90, United-States, >50K
66, Self-emp-inc, Some-college, Separated, Tech-support, Not-in-family, White, Female,0,0,29, Cambodia, <=50K
53, Self-emp-not-inc, HS-grad, Divorced, Sales, Not-in-family, White, Female,0,0,50, United-States, <=50K
36, Private, HS-grad, Never-married, Exec-managerial, Husband, White, Male,0,0,40, United-States, <=50K
19, Private, Some-college, Married-civ-spouse, Sales, Own-child, White, Male,0,0,20, United-States, <=50K
47, Private, Some-college, Never-married, Tech-support, Unmarried, Black, Male,2558,0,40, United-States, <=50K
29, Private, Assoc-voc, Divorced, Adm-clerical, Not-in-family, White, Female,0,0,40, Cuba, <=50K
45, Private, HS-grad, Married-civ-spouse, Adm-clerical, Not-in-family, Other, Male,3833,0,40, United-States, <=50K
29, Private, Some-college, Never-married, Adm-clerical, Unmarried, Black, Female,0,0,40, United-States, <=50K
41, Private, HS-grad, Married-civ-spouse, Exec-managerial, Own-child, White, Male,0,0,40, United-States, <=50K
24, Private, 11th, Never-married, Craft-repair, Own-child, White, Male,0,0,45, Italy, <=50K
55, State-gov, Prof-school, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,2407,50, United-States, >50K
31, Private, Some-college, Never-married, Sales, Wife, Black, Male,0,0,45, United-States, <=50K
30, Federal-gov, Prof-school, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,40, Cambodia, <=50K
34, Private, Prof-school, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,60, United-States, >50K
26, Self-emp-not-inc, 11th, Divorced, Adm-clerical, Own-child, White, Female,0,0,50, United-States, <=50K
28, Private, HS-grad, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,40, Scotland, >50K
39, Private, Assoc-acdm, Married-civ-spouse, Prof-specialty, Wife, White, Male,0,0,40, United-States, <=50K
23, Private, HS-grad, Never-married, Handlers-cleaners, Own-child, White, Female,0,0,40, United-States, <=50K
20, Private, HS-grad, Never-married, Adm-clerical, Own-child, Amer-Indian-Eskimo, Female,0,0,35, United-States, <=50K
43, Private, Prof-school, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, >50K
33, Self-emp-not-inc, HS-grad, Never-married, Transport-moving, Not-in-family, White, Male,0,0,66, United-States, <=50K
32, Private, 1st-4th, Never-married, Other-service, Not-in-family, White, Female,0,1638,40, United-States, <=50K
47, Private, HS-grad, Married-civ-spouse, Tech-support, Husband, White, Female,0,0,40, El-Salvador, <=50K
21, Private, Bachelors, Divorced, Adm-clerical, Own-child, White, Female,0,0,40, Trinadad&Tobago, <=50K
22, Private, 11th, Never-married, Other-service, Own-child, White, Male,0,0,15, United-States, <=50K
44, Private, Assoc-voc, Divorced, Exec-managerial, Unmarried, Black, Female,0,0,40, United-States, <=50K
45, Self-emp-not-inc, Masters, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, United-States, >50K
47, Private, Some-college, Never-married, Other-service, Not-in-family, White, Male,0,0,35, United-States, <=50K
37, Private, HS-grad, Married-civ-spouse, Craft-repair, Not-in-family, Asian-Pac-Islander, Female,0,0,40, United-States, <=50K
53, State-gov, HS-grad, Never-married, Exec-managerial, Not-in-family, White, Male,0,0,45, United-States, <=50K
35, Private, Bachelors, Separated, Sales, Not-in-family, Black, Male,0,0,50, United-States, <=50K
31, Private, 5th-6th, Married-spouse-absent, Machine-op-inspct, Not-in-family, Other, Male,0,0,40, Germany, <=50K
47, Private, Bachelors, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,45, United-States, >50K
25, Private, 1st-4th, Never-married, Sales, Own-child, White, Male,0,0,40, United-States, <=50K
51, Private, Some-college, Divorced, Prof-specialty, Not-in-family, White, Female,0,0,50, United-States, <=50K
52, Self-emp-not-inc, Some-college, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,54, Thailand, >50K
50, Self-emp-not-inc, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, <=50K
23, Private, HS-grad, Never-married, Adm-clerical, Not-in-family, White, Female,0,0,40, United-States, <=50K
49, Private, Assoc-acdm, Married-civ-spouse, Prof-specialty, Husband, White, Female,0,0,40, United-States, >50K
58, Self-emp-not-inc, Masters, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, United-States, >50K
43, Self-emp-inc, Bachelors, Married-civ-spouse, Priv-house-serv, Unmarried, Asian-Pac-Islander, Male,99999,0,40, United-States, >50K
67, Private, 7th-8th, Married-civ-spouse, Craft-repair, Husband, Other, Male,0,0,40, United-States, <=50K
38, Self-emp-not-inc, Prof-school, Married-civ-spouse, Exec-managerial, Husband, White, Female,0,1977,50, United-States, >50K
42, Private, Bachelors, Divorced, Exec-managerial, Unmarried, White, Female,0,0,40, United-States, <=50K
30, Private, HS-grad, Never-married, Craft-repair, Husband, White, Male,0,0,40, Dominican-Republic, <=50K
48, Private, 10th, Divorced, Machine-op-inspct, Unmarried, White, Male,0,0,40, United-States, <=50K
41, Private, HS-grad, Divorced, Sales, Not-in-family, White, Female,0,0,29, United-States, <=50K
26, Private, HS-grad, Never-married, Other-service, Not-in-family, White, Male,0,0,54, Germany, <=50K
17, Private, 11th, Never-married, Sales, Own-child, Black, Female,0,0,35, United-States, <=50K
49, Private, HS-grad, Divorced, Exec-managerial, Not-in-family, White, Female,0,0,60, United-States, <=50K
40, Private, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Male,7687,0,65, United-States, >50K
42, Private, Bachelors, Married-civ-spouse, Prof-specialty, Wife, White, Male,0,0,40, United-States, >50K
22, Private, Some-college, Divorced, Tech-support, Unmarried, Other, Female,0,0,29, Laos, <=50K
30, Private, HS-grad, Never-married, Other-service, Own-child, White, Female,0,0,40, United-States, <=50K
41, Private, Bachelors, Married-civ-spouse, Sales, Not-in-family, White, Female,27687,0,50, United-States, >50K
25, Private, HS-grad, Married-civ-spouse, Other-service, Husband, White, Male,0,0,40, United-States, <=50K
39, Private, 5th-6th, Married-civ-spouse, Craft-repair, Husband, Black, Female,0,0,40, Jamaica, >50K
29, Private, Some-college, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, Canada, <=50K
69, Private, HS-grad, Married-civ-spouse, Craft-repair, Wife, White, Male,0,0,20, United-States, <=50K
45, Private, HS-grad, Married-civ-spouse, Exec-managerial, Husband, Other, Male,0,0,40, Trinadad&Tobago, <=50K
28, Private, HS-grad, Never-married, Adm-clerical, Unmarried, White, Female,0,0,45, United-States, <=50K
33, Federal-gov, Assoc-voc, Never-married, Prof-specialty, Husband, White, Male,0,0,35, United-States, <=50K
44, Private, Some-college, Separated, Sales, Unmarried, White, Female,0,0,40, United-States, <=50K
33, Self-emp-inc, Some-college, Married-civ-spouse, Other-service, Husband, White, Male,0,0,60, Iran, <=50K
